Genus Authority,Photosynthetic types,Species sampled,References,Notes
Astrebla F.Muell.,C4,"Astrebla pectinata (Lindl.) F. Muell. ex Benth., Astrebla squarrosa C.E.Hubb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Athroostachys Benth.,C3,Athroostachys capitata (Hook.) Benth.,Watson & Dallwitz (1992 onwards),
Atractantha McClure,C3,Atractantha falcata McClure,Watson & Dallwitz (1992 onwards),
Aulonemia Goudot,C3,Aulonemia fulgor McClure,Watson & Dallwitz (1992 onwards),
Austrochloris Lazarides,C4,Austrochloris dichanthoides (Everist) Lazarides,Watson & Dallwitz (1992 onwards),
Austroderia N. P. Barker & H. P. Linder,C3,Austroderia richardii (Endl.) N. P. Barker & H. P. Linder,Linder et al. (2010); Linder pers. comm.,
Austrofestuca Alexeev,C3,Austrofestuca littoralis (Labill.) A. Alexeev,Watson & Dallwitz (1992 onwards),
Avena L.,C3,"Avena fatua L., Avena sterilis subsp. ludoviciana (Durieu) Gillet & Magne (=Avena ludoviciana Durieu), Avena strigosa Schreb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Axonopus Beauv.,C4,Axonopus affinis Chase,Watson & Dallwitz (1992 onwards),
Bambusa Caldas,C3,"Bambusa arnhemica F. Muell., Bambusa multiplex (Lour.) Raeusch. ex Schult. (=Bambusa nana Roxb.),  Bambusa vulgaris Schrad.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Baptorhachis Clayton & Renvoize,C4,Baptorhachis foliosa (Clayton) Clayton,Renvoize (1987),
Beckmannia Host.,C3,Beckmannia syzigachne (Steud.) Fernald,Watson & Dallwitz (1992 onwards),
Bewsia Goossens,C4,Bewsia biflora (Hack.) Goossens,"Watson & Dallwitz (1992 onwards), photos provided by R.P. Ellis",
Bhidea Bor,C4,Bhidea burnsiana Bor,Watson & Dallwitz (1992 onwards),
Blepharidachne Hack.,C4,"Blepharidachne bigelovii (S. Watts) Hack., Blepharidachne kingii (S. Watts) Hack.",Watson & Dallwitz (1992 onwards),
Blepharoneuron Nash,C4,Blepharoneuron tricholepis (Torr.) Nash,Watson & Dallwitz (1992 onwards) supplemented from Peterson and Annable (1990),
Boissiera Steud.,C3,Boissiera squarrosa (Banks & Soland.) Nevski,Watson & Dallwitz (1992 onwards),
Bonia Balansa,C3, -,BEP clade,
Bothriochloa Kuntze,C4,"Bothriochloa macra (Steudel) Blake, Bothriochloa bladhii (Retz.) S.T.Blake (=Bothriochloa caucasica (Trin.) C.E.Hubb.), Bothriochloa pertusa (L.) A.Camus",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Bouteloua Lag.,C4,"Bouteloua curtipendula (Michx.) Torr., Bouteloua gracilis (Kunth) Lag. Ex Griffiths (Chondrosum)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Brachiaria Griseb.,C4,"Brachiaria eruciformis (J.E. Sm.) Griseb., Brachiaria deflexa (Schumach.) C.E.Hubb. ex Robyns, Brachiaria villosa (Lam.) A.Camus (=Brachiaria distichophylla (Trin.) Stapf), Brachiaria jubata (Fig. & De Not.) Stapf, Brachiaria reptans (L.) C.A.Gardner & C.E.Hubb,  Brachiaria paspaloides (J.Presl) C.E.Hubb. (Urochloa)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Brachyachne Stapf,C4,Brachyachne convergens (F. Muell.) Stapf,Watson & Dallwitz (1992 onwards),
Brachychloa S.M.Phillips,C4,Brachychloa schiemanniana Phillips,"Watson & Dallwitz (1992 onwards), photos provided by R.P. Ellis",
Brachyelytrum Beauv.,C3,Brachyelytrum erectum Beauv.,Watson & Dallwitz (1992 onwards),
Brachypodium Beauv.,C3,"Brachypodium distachyon (L.) Beauv., Brachypodium pinnatum (L.) Beauv., Brachypodium sylvaticum (Huds.) P.Beauv",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Briza L.,C3,"Briza maxima L., Briza minor L., Briza triloba (= B. subaristata), Briza erecta Lam.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Bromuniola C.E.Hubbard,C3,"Bromuniola gossweileri Stapf & C.E.Hubb, ",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
