species_name,Authority,Pathway,k=Kranz n=non-Kranz,d13C value,Other evidence,Reference
Panicum auricomum,Nees ex Trin.,C3,n,,,Zuloaga (1986)
Panicum auritum,Presl ex Nees,C3,n,-27.7,,Brown (1977)
Panicum aztecanum,F.O. Zuloaga & O. Morrone,C4,k,,,Aliscioni et al. (2003)
Panicum bahiense,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum bambusiculme,Friis & Vollesen,unknown,,,,NA
Panicum bambusiusculum,Stapf,unknown,,,,NA
Panicum barbadense,"(Salariato, Morrone & Zuloaga)",C3,n,,,"Salariato et al. (2011); = Dichanthelium barbadense Salariato, Morrone & Zuloaga"
Panicum bartlettii,Swallen,C3,,-28.3,,Brown (1977)
Panicum bathiei,A.Camus,unknown,,,,NA
Panicum bechuanense,Bremek. & Oberm.,C4,,-13.3,,This study
Panicum beecheyi,Hook. & Arn.,C4,k,-12.7,,Brown (1977)
Panicum bergii,Arechav.,C4,k,-12.2,oxygen insensitivity,Downton (1975); Brown (1977)
Panicum beyeri,Hitchcock & Ekman,C4,k,,,"This study (Morrone, pers. obs.)"
Panicum bicuspidatum,A. Camus,unknown,,,,NA
Panicum biglandulare,Scribn. & J. G. Sm.,C3,,-27.4,,Brown (1977)
Panicum bisulcatum,Thunb.,C3,,-24.3,,Brown (1977)
Panicum bombycinum,B.K.Simon,C4,,-13.4,,This study
Panicum boreale,Nash,C3,n,,,Zuloaga (1986)
Panicum boscii,Poir.,C3,n,-28.5,,Brown & Smith (1975); Zuloaga (1986)
Panicum brachyanthum,Steud.,C3,,-28.3,,Brown (1977)
Panicum brachystachyum,Trin.,C3,n,,,Zuloaga (1986)
Panicum brazzavillense,Franch.,C3,,-25.8,,Brown (1977)
Panicum bresolinii,L.B. Smith & D.C. Wasshausen,C3,n,,,Zuloaga (1986)
Panicum brevifolium  ,L.,C3,n,,,Brown (1977)
Panicum bulbosum,H. B. & K.,C4,k,-10.6,"C4 acids, low compensation point",Downton (1971); Brown (1977); Hattersley (1982)
Panicum bullockii,S.A. Renvoize,C3,,-26.3,,This study
Panicum buncei,F. Muell. ex Benth.,C4,k,-13.1,,Brown (1977)
Panicum caaguazuense,Henrard,C3,n,,,Zuloaga (1986)
Panicum cabrerae,F. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum calcicola,A. Camus,unknown,,,,NA
Panicum callosum  ,Hochst. ex A. Rich,C4,,-11.4,,This study
Panicum calocarpum,Berhaut,unknown,,,,NA
Panicum calvum,Stapf,C3,n,,,Brown (1977)
Panicum campestre,Nees ex Trin.,C4,k,,,Zuloaga (1986)
Panicum caparaoense,F.O. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum capillare  ,L.,C4,k,-14.3,low compensation point,Downton (1971); Brown (1977); Ellis (1977)
Panicum capillarioides,Vasey,C4,k,,,Brown (1977)
Panicum capuronii,A. Camus,unknown,,,,NA
Panicum caricoides,Nees ex Trin.,C4,k,-14,,Brown (1977)
Panicum carneovaginatum,S.A. Renvoize,C4,,-11.3,,This study
Panicum caudiglume,Hack.,C3,n,,,Brown (1977)
Panicum cayennense,Lam.,C4,k,,,Brown (1977)
Panicum cayoense,Swallen,C3,n,,,Zuloaga (1986)
Panicum cervicatum,Chase,C4,k,-13.6,,Brown (1977)
Panicum chambeshii,S.A. Renvoize,C3,,-27.6,,This study
Panicum chapadense,Swallen,C3,n,,,Zuloaga (1986)
Panicum chaseae,"Roseng., Arrill. de Maffei & Izag. deArtucio",C4,k,,,Brown (1977)
Panicum chillagoanum,B.K.Simon,C4,,-12.4,,This study
Panicum chionachne,Mez,C3,n,,,Brown (1977)
Panicum chloroleucum,Griseb.,C4,k,,,Zuloaga (1986)
Panicum chnoodes,Trin.,C3,n,,,Zuloaga (1986)
Panicum cinctum  ,Hack.,C4,,-13.1,,This study
Panicum cipoense,S.A. Renvoize & T. Sendulsky,C3,n,,,Zuloaga (1986)
Panicum clandestinum,L.,C3,n,-25.3,,Brown & Smith (1975); Zuloaga (1986)
Panicum claytonii,Renvoize,C3,,-25.8,,This study
Panicum coloratum,L.,C4,k,-12.6,low compensation point,Downton (1971); Brown (1977); Schulze et al. (1996)
Panicum comorense,Mez,C3,n,-27.3,,Brown & Smith (1975); Zuloaga (1986)
Panicum complanatum,"Guglieri, Longhi-Wagner & Zuloaga",C3,,-33,,This study
Panicum condensatum,Bertol.,C3,n,,,Aliscioni et al. (2003)
Panicum congestum,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum congoense,Franch.,C4,,-11.3,,This study
Panicum cordovense  ,Fourn,C3,n,-29.4,,Brown & Smith (1975); Zuloaga (1986)
Panicum crateriferum,Sohns,C3,n,,,Zuloaga (1986)
Panicum cucaense,F. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum cumbucanum,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum cupressifolium,A.Camus,C3,n,-27.6,,Brown (1977)
Panicum curviflorum,Hornem.,C4,,-12.3,,This study
Panicum cyanescens,Nees ex Trin.,C3,n,-27.6,,Brown (1977)
Panicum cynodon,Reichardt,C3,n,-25.9,,Brown (1977)
Panicum danguyi,A. Camus,unknown,,,,NA
Panicum davidsei,F. Zuloaga & O. Morrone,C3,n,,,Alisconi et al. (2003)
Panicum decaryanum,A.Camus,C3,,-25.5,,This study
Panicum deciduum,Swallen,C4,k,,,Zuloaga (1986)
Panicum decolorans  ,H. B. & K.,C4,k,-12.7,,Brown (1977)
Panicum decompositum,R. Br.,C4,k,-12.2,low compensation point,Downton (1975); Brown (1977)
Panicum delicatulum,Fig. & De Not.,C3,,-30.6,,This study
Panicum depauperatum,Muhl.,C3,n,-25.2,,Brown & Smith (1975); Ellis (1977)
Panicum deustum  ,Thunb.,C4,k,-11.9,low compensation point,Downton (1975); Brown (1977)
Panicum dewinteri,J. G. Anders.,C3,,-26.2,,This study
Panicum dichotomiflorum,Michx.,C4,k,-13.2,low compensation point,Bender (1971); Downton (1971); Brown (1977)
Panicum dichotomum,L.,C3,n,-26.8,,Brown & Smith (1975); Zuloaga (1986)
Panicum diffusum,Sw.,C4,k,,,Brown (1977)
Panicum dinklagei,Mez,C3,,-29.1,,This study
Panicum discrepans,Doell,C4,k,-13.5,,Brown (1977)
Panicum divergens,H. B. & K.,C3,n,,,Zuloaga et al. (1993)
Panicum dolichoadenotrichum,A. Camus,unknown,,,,NA
Panicum dorsense,S.M. Phillips,unknown,,,,NA
Panicum dregeanum,Nees,C4,k,-12.3,,Brown (1977)
Panicum durifolium,S.A. Renvoize & F. Zuloaga,C3,n,,,Aliscioni et al. (2003)
Panicum ecklonii,Nees,C3,n,-25.4,,Brown (1977)
Panicum effusum,R. Br.,C4,k,-12.4,,Brown (1977)
Panicum eickii,Mez,C3,,-27.4,,This study
Panicum elephantipes,Nees ex Trin.,C4,k,-14.2,,Brown (1977)
Panicum eligulatum,N. E. Br.,C3,n,,,Zuloaga (1986)
Panicum ensifolium,Ell.,C3,n,"-24.5, -25.9",,Brown & Smith (1975); Zuloaga (1986)
Panicum ephemeroides,F.O. Zuloaga & O. Morrone,C4,k,,,Aliscioni et al. (2003)
Panicum ephemerum,S.A. Renvoize,unknown,,,,NA
Panicum euprepes,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum exiguum,Mez,C4,k,,,Brown (1977)
Panicum fauriei,Hitchcock,C4,k,-10.9,,Brown (1977)
Panicum filifolium,Clayton,C3,,-25.8,,This study
Panicum fischeri,Bor,C4,,-16.1,,This study
Panicum flacciflorum  ,Stapf,C3,,-28.8,,This study
Panicum flacourtii,A. Camus,unknown,,,,NA
Panicum flexile,(Gatt.) Scribn.,C4,k,,,Brown (1977)
Panicum fluviicola  ,Steud.,C4,k,-12.4,,Brown (1977); Schulze et al. (1996)
Panicum fontanale,Swallen,C3,n,,,Zuloaga (1986)
Panicum fonticola,Swallen,C3,n,,,Zuloaga (1986)
Panicum furvum,Swallen,C4,k,,,Zuloaga (1986)
Panicum gardneri,Thw.,C3,n,-31.4,,Brown (1977)
Panicum genuflexum  ,Stapf,C4,k,,,Brown (1977)
Panicum ghiesbreghtii,Fourn.,C4,k,,,Brown (1977)
Panicum gilvum,Launert,C4,k,-14.1,,Schulze et al. (1996)
Panicum glabripes,Doell,C4,k,,,Brown (1977)
Panicum glanduliferum,K. Schum.,C3,,-29,,This study
Panicum glandulopaniculatum,S.A. Renvoize,C3,,-24.8,,This study
Panicum glaucocladum,C.E.Hubb.,C3,,-28.9,,This study
Panicum glaziovii,Hack.,C3,n,,,Zuloaga (1986)
Panicum gouinii,Fourn.,C4,k,,,Brown (1977)
Panicum gracilicaule,Rendle,C3,,-27.6,,Brown (1977)
Panicum graciliflorum,Rendle,C4,,-12.4,,This study
Panicum grande,Hitchcock & Chase,C3,n,-28.3,,Brown (1977)
Panicum graniflorum,Stapf,C4,,-11.9,,This study
Panicum granuliferum,H. B. & K.,C3,n,,,Zuloaga (1986)
Panicum griffonii,Franch.,C4,k,,,Brown (1977)
Panicum guatemalense,Swallen,C3,n,,,Zuloaga (1986)
Panicum gymnocarpum,Ell.,C3,n,-29.1,,Brown (1977)
Panicum habrothrix,Renvoize,C3,,-29.2,,This study
Panicum haenkeanum,J. & C. Presl,C3,n,-28,,Brown (1977)
Panicum hallii,Vasey,C4,k,-13.4,low compensation point,Downton (1971); Brown (1977)
Panicum hanningtonii  ,Stapf,C4,,-12,,This study
Panicum haplocaulos,Pilger,C4,,-11.8,,This study
Panicum harleyi,"Salariato, Morrone & Zuloaga",C3,n,,,Salariato et al. (2011)
Panicum havardii,Vasey,C4,k,,,Brown (1977)
Panicum hayatae,A.Camus,C3,,-28.2,,This study
Panicum hebotes,Trin.,C3,n,-30.9,,Brown & Smith (1975); Zuloaga (1986)
Panicum heliophilum,Chase ex F.Zuloaga & O.Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum hemitomum,Schult.,C3,,-25.1,,This study
Panicum hillebrandianum,Hitchcock,C3,,-25.8,,Brown & Smith (1975)
Panicum hippothrix,K. Schum. ex Engl.,C4,k,,,Brown (1977)
Panicum hirstii,Swallen,C3,,,inferrence (=Dichanthelium),Brown & Smith (1975)
Panicum hirsutum,Sw.,C4,k,,,Brown (1977)
Panicum hirticaule,J. & C. Presl.,C4,k,,,Brown (1977)
Panicum hirtum,Lam.,C3,n,-30.6,,Brown (1977)
Panicum hispidifolium,Swallen,C4,k,,,Zuloaga (1986)
Panicum hochstetteri  ,Steud.,C3,n,,,Brown (1977)
Panicum homblei,Robyns,C3,,-26.6,,This study
Panicum hubbardii,(A. Camus),C4,,-13.4,,This study
Panicum humidorum,Buch.-Ham. ex Hook.f.,C3,,-26.5,,This study
Panicum humile,Steud.,C4,k,-9.7,,Brown (1977)
Panicum hygrocharis,Steud.,C4,k,-12.7,,Brown 1977; Schulze et al. (1996)
Panicum hylaeicum,Mez,C3,,-24,,Brown (1977)
Panicum hymeniochilum,Nees,C3,n,-26.8,,Brown (1977)
Panicum ibitense,A.Camus,C3,,-26.1,,This study
Panicum ichunense,Swallen,C3,n,,,Zuloaga (1986)
Panicum ikopense,A. Camus,unknown,,,,NA
Panicum impeditum,Launert,C4,k,-12.9,,Schulze et al. (1996)
Panicum inaequilatum,Stapf & C.E.Hubb.,C3,,-28.6,,This study
Panicum incisum,Munro ex C. B. Clarke,C3,,-30.2,,This study
Panicum incomtum,Trin.,C3,,-26.7,,This study
Panicum incumbens,Swallen,C3,n,,,Zuloaga (1986)
Panicum infestum,Anderss ex Peters,C4,k,,,Brown (1977)
Panicum irregulare,Swallen,C3,n,,,Zuloaga (1986)
Panicum isachnoides,Hillebr.,C3,,-24.1,,Brown & Smith (1975)
Panicum issongense,Pilger,C3,,-32,,This study
Panicum itatiaiae,Swallen,C3,n,,,Zuloaga (1986)
Panicum jacobsianum,(R.D.B.Whalley & J.J.Bruhl),C3,n,,,Bruhl & Whalley (2011); = Walwhalleya jacobsiana R.D.B.Whalley & J.J.Bruhl
Panicum jauanum,G. Davidse in J.A. Steyermark & C.Brewer-Carias,C3,n,,,Zuloaga (1986)
Panicum juniperinum,Nees.,unknown,,,,NA
Panicum kalaharense,Mez,C4,k,-13.8,,Brown (1977)
Panicum kasumense,S.A. Renvoize,unknown,,,,NA
Panicum khasianum,Munro ex Hook. f.,C3,,-30.9,,This study
Panicum konaense,Whitney & Hosaka,C4,,-13,,This study
Panicum koolauense,St. John & Hosaka,C3,n,,,Brown (1977)
Panicum lachnophyllum,Benth.,C3,n,-23.3,,Brown (1977)
Panicum lacustre,Hitchcock & Ekman,C4,k,,,Brown (1977)
Panicum laetum,Kunth,C4,k,,,Brown (1977)
Panicum laevinode,Lindl.,C4,k,-13.3,,Brown (1977)
Panicum lagostachyum,S.A. Renvoize & F. Zuloaga,C3,n,,,Zuloaga (1986)
Panicum lanipes,Mez,C4,k,-12.5,biochemistry,Ellis (1977); Schulze et al. (1996)
Panicum larcomianum,D.K.Hughes,C4,k,,,Prendergast & Hattersley (1987)
Panicum laticomum,Nees,C3,n,,,Ellis (1977)
Panicum latifolium,L.,C3,n,-25.3,,Brown & Smith (1975); Zuloaga (1986)
Panicum latissimum,Spreng.,C3,n,,,Zuloaga (1986)
Panicum latzii,R.D. Webster,C4,,-12.8,,This study
Panicum laxiflorum,Lam.,C3,n,-26.6,,Brown & Smith (1975)
Panicum leibergii,(Vasey) Scribn.,C3,,-26.4,,Bender (1971)
Panicum lepidulum,Hitchcock & Chase,C4,k,,,Brown (1977)
Panicum leptachne,Doell,C3,n,,,Zuloaga (1986)
Panicum leptolomoides,A.Camus,C3,,-25.9,,This study
Panicum ligulare,Nees ex Trin.,C4,k,,,Zuloaga (1986)
Panicum lineale,H. St. John,C4,,-13,,This study
Panicum linearifolium,Scribn.,C3,n,-25.9,,Brown & Smith (1975); Zuloaga (1986)
Panicum longifolium,Torr.,C4,k,,,Brown (1977)
Panicum longiloreum,M.M. Rahman,unknown,,,,NA
Panicum longipedicellatum,Swallen,C3,n,,,Zuloaga (1986)
Panicum longissimum,(Mez) Henrard,C4,k,,,Aliscioni et al. (2003)
Panicum longivaginatum,H. St. John,unknown,,,,NA
Panicum longum,Hitchcock & Chase,C3,,-27.9,,Brown (1977)
Panicum loreum,Trin.,C3,n,,,Zuloaga (1986)
Panicum lukwangulense,Pilger,C3,,-26.9,,Finch et al. (2009)
Panicum luridum,Hack ex S. Eliiot,C4,,-14.4,,This study
Panicum lutzii,Swallen,C3,n,,,Zuloaga (1986)
Panicum luzonense  ,J. & C. Presl,C4,k,,,Brown (1977)
Panicum machrisianum,Swallen,C3,n,,,Zuloaga (1986)
Panicum macrospermum,(S.Gould) Espejo  &  López-Ferr.,C3,n,,,Aliscioni et al. (2003)
Panicum madipirense,Mez,C4,,-12.6,,This study
Panicum magnispicula,"F.O. Zuloaga, O. Morrone & J.F.M. Valls",C4,k,,,Aliscioni et al. (2003)
Panicum mahafalense,A.Camus,C4,,-12.9,,This study
Panicum malacophyllum,Nash,C3,n,-27.4,,Brown & Smith (1975); Zuloaga (1986)
Panicum malacotrichum  ,Steud.,C3,n,-27.4,,anatomy P-A Christin (pers. comm.); isotope this study
Panicum mananarense,A. Camus,unknown,,,,NA
Panicum mandrarense,A. Camus,unknown,,,,NA
Panicum manongarivense,A.Camus,unknown,,,,NA
Panicum mapalense,Pilger,C3,,-25.9,,This study
Panicum marauense,S.A. Renvoize & F. Zuloaga,C3,n,,,Zuloaga (1986)
Panicum margaritiferum,(Chiov.) Robyns,C3,,-25.8,,This study
Panicum massaiense,Stapf,C4,,-13.8,,This study
Panicum maximum,Jacq.,C4,k,-13.3,low compensation point,Downton (1971); Brown (1977)
Panicum merkeri,Mez,C4,,-13.4,,This study
Panicum mertensii,Roth ex Roem. & Schult.,C3,,-29.5,,Brown (1977)
Panicum micranthum,Kunth,C3,n,,,Brown (1977)
Panicum miliaceum,L.,C4,k,-16,low compensation point,Downton (1971); Brown (1977)
Panicum millegrana,Poir.,C3,n,,,Zuloaga (1986)
Panicum mindanaense,Merrill,C4,k,-10.6,,Brown (1977)
Panicum missionum,Ekman,C3,n,-28.8,,Brown & Smith (1975); Zuloaga (1986)
Panicum mitchellii,Benth.,C4,k,,,Prendergast & Hattersley (1987)
Panicum mitopus,K. Schum.,C3,,-28.6,,Brown (1977)
Panicum mlahiense,S.A. Renvoize,C4,,-12.8,,This study
Panicum mohavense,J.R. Reeder,C4,k,,,Aliscioni et al. (2003)
Panicum molinioides,Trin.,C3,n,,,Zuloaga (1986)
Panicum monticola,Hook. f.,C3,n,,,Brown (1977)
Panicum morombense,A. Camus,unknown,,,,NA
Panicum mucronulatum,Mez,C4,k,,,Zuloaga (1986)
Panicum mueense,Vanderyst,C3,n,,,Brown (1977)
Panicum muscicola,A. Camus,unknown,,,,NA
Panicum mystasipum,F.O. Zuloaga & O. Morrone,C4,k,,,Duvall et al (2001)
Panicum natalense,Hochst.,C3,n,-23.8,,Brown (1977)
Panicum neobathiei,A. Camus,unknown,,,,NA
Panicum neohumbertii,A. Camus,unknown,,,,NA
Panicum neoperrieri,A.Camus,unknown,,,,NA
Panicum nephelophilum,Gaudich.,C4,k,-11.4,,Brown (1977)
Panicum nervatum  ,(Franch.) Stapf,C3,n,,,Brown (1977)
Panicum nervosum,Lam.,C3,n,,,Brown (1977)
Panicum nigerense  ,Hitchcock,C4,,-11.4,,This study
Panicum nigromarginatum,Robyns,unknown,,,,NA
Panicum niihauense,St. John,C4,,-13.5,,This study
Panicum nodatum,Hitchcock & Chase,C3,n,-28.1,,Brown & Smith (1975); Zuloaga (1986)
Panicum nomnov1,(Wills & Bruhl),C3,,-24.7,,This study; = Whalwhalleya pungens Wills & Bruhl
Panicum notatum  ,Retz.,C3,,-29.1,,This study
Panicum noterophilum,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum novemnerve,Stapf,C4,k,-11.5,,Brown (1977)
Panicum nudicaule,Vasey,C3,n,-26,,Brown & Smith (1975); Zuloaga (1986)
Panicum nudiflorum,S.A. Renvoize,C3,,-29.8,,This study
Panicum nutabundum,F.O. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum nymphoides,S.A. Renvoize,C3,,-30,,This study
Panicum obseptum,Trin.,C4,k,-17.5,,Brown (1977)
Panicum obtusum  ,H. B. & K.,C4,k,-12.7,low compensation point,Downton (1971); Brown (1977)
Panicum oligoadenotrichum,A. Camus,unknown,,,,NA
Panicum oligosanthes  ,Schult.,C3,n,-32.1,high compensation point,Brown & Smith (1975); Zuloaga (1986)
Panicum olyroides,H. B. & K.,C4,k,,,Zuloaga (1986)
Panicum omega,S.A. Renvoize,unknown,,,,NA
Panicum orinocanum,Luces,C3,n,,,Zuloaga (1986)
Panicum ovale,Ell.,C3,n,-25.9,,Brown & Smith (1975); Zuloaga (1986)
Panicum ovuliferum,Trin.,C3,n,-29,,Brown & Smith (1975); Brown (1977)
Panicum paianum,V.N. Naik & B.W. Patunkar,C4,,-12.1,,This study
Panicum palackyanum,A. Camus,unknown,,,,NA
Panicum palauense,Ohwi,unknown,,,,NA
Panicum paludosum,Roxb.,C4,k,-12.8,,Brown (1977)
Panicum pampinosum,Hitchcock & Chase,C4,k,,,Brown (1977)
Panicum pandum,Swallen,C3,n,,,Zuloaga (1986)
Panicum pansum,Rendle,C4,k,-12,,Brown (1977); Schulze et al. (1996)
Panicum pantrichum,Hack.,C3,n,-30.4,,Brown & Smith (1975); Brown (1977)
Panicum parapaurochaetium,A. Camus,unknown,,,,NA
Panicum parcum,Hitchcock & Chase,C4,k,,,Brown (1977)
Panicum parvifolium,Lam.,C3,n,-31.1,,Brown (1977)
Panicum parviglume,Hack.,C3,n,-29.2,,Brown (1977)
Panicum paucinode,Stapf,C4,,-12.2,,This study
Panicum pearsonii,F.Bolus,unknown,,,,NA
Panicum pectinellum  ,Stapf,C3,n,,,Brown (1977)
Panicum pedersenii,F.O. Zuloaga,C4,k,,,Zuloaga (1986)
Panicum pedicellatum,Vasey,C3,n,-25.8,,Brown & Smith (1975); Brown (1977)
Panicum peladoense,Henrard,C4,k,,,Zuloaga (1986)
Panicum pellitum,Trin.,C4,k,-12.5,,Brown (1977)
Panicum penicillatum,Nees ex Trin.,C3,n,,,Brown (1977)
Panicum perangustatum,S.A. Renvoize,C4,,-12.1,,This study
Panicum peristypum,F.O. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum perlongum,Nash,C3,n,,,Aliscioni et al. (2003)
Panicum perrieri,A.Camus,C3,,-29.1,,This study
Panicum peteri,Pilger,C3,,-30,,This study
Panicum petersonii,Hitchcock & Ekman,C4,k,-17,,Brown (1977)
Panicum petilum,Swallen,C3,n,,,Aliscioni et al. (2003)
Panicum petrense,Swallen,C3,n,,,Aliscioni et al. (2003)
Panicum petropolitanum,F. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum philadelphicum,Bernh. ex Trin.,C4,k,,,Brown (1977)
Panicum phippsii,S.A. Renvoize,C3,,-32.3,,This study
Panicum phoiniclados  ,V.N. Naik & B.W. Patunkar,C4,,-12.8,,This study
Panicum phragmitoides  ,Stapf,C4,,-12,,This study
Panicum piauiense,Swallen,C3,n,,,Zuloaga (1986)
Panicum pilgeri,Mez,C4,,-10.4,,This study
Panicum pilgerianum,(Schweick.) Clayton,C4,k,-12.1,,Schulze et al. (1996)
Panicum pilosum,Sw.,C3,n,-28.1,,Brown (1977)
Panicum pinifolium,Chiov.,C4,k,-12.4,,Brown (1977)
Panicum pleianthum,Peter,C3,,-29.9,,This study
Panicum plenum,Hitchcock & Chase,C4,k,-11.9,low compensation point,Downton (1971); Brown (1977)
Panicum poioides,Stapf,C4,,-13.5,,This study
Panicum pole-evansii,C.E.Hubb.,C3,,-27.3,,This study
Panicum poliophyllum,S.A. Renvoize & F. Zuloaga,C3,n,,,Zuloaga (1986)
Panicum polyanthes,Schult.,C3,n,-26.9,,Brown & Smith (1975); Zuloaga (1986)
Panicum polycomum,Trin.,C3,n,,,Zuloaga (1986)
Panicum polygonatum,Schrad.,C3,n,-27.4,low compensation point,Downton (1971); Brown (1977)
Panicum porphyrrhizos,Steud.,C4,k,,,Brown (1977)
Panicum portoricense  ,Desv.,C3,n,-27.1,,Brown & Smith (1975); Zuloaga (1986)
Panicum praealtum,Afzel. ex Sw.,C3,,-25.2,,This study
Panicum prionitis,Nees,C4,k,-12,,Brown (1977)
Panicum prolutum,F. Muell.,C3,n,-25.9,low compensation point,Downton (1971); Brown (1977)
Panicum pseudisachne,Mez,C3,n,,,Zuloaga (1986)
Panicum pseudoracemosum,S.A. Renvoize,C3,,-29.5,,This study
Panicum pseudowoeltzkowii,A.Camus,C4,,-12.7,,This study
Panicum pulchellum,Raddi,C3,n,-30.4,,Brown (1977)
Panicum pusillum,Hook. f.,C3,n,-26.8,,Brown (1977)
Panicum pycnoclados,Tutin,C3,n,,,Zuloaga (1986)
Panicum pygmaeum,R. Br.,C3,n,-29.7,,Brown (1977)
Panicum pyrularium,Hitchcock & Chase,C3,n,-29.4,,Brown (1977)
Panicum quadriglume,(Doell) Hitchcock,C4,k,,,Brown (1977)
Panicum queenslandicum,Domin,C4,k,-12,,Brown (1977)
Panicum racemosum  ,(Beauv.) Spreng.,C4,k,-11.3,,Brown (1977)
Panicum ramosius,Hitchcock,C4,,-11,,This study
Panicum ravenelii,Scribn. & Merrill,C3,n,,,Brown & Smith (1975)
Panicum repens,L.,C4,k,-12.3,low compensation point,Downton (1975); Brown (1977)
Panicum restingae,S.A. Renvoize & F. Zuloaga,C3,n,,,Zuloaga (1986)
Panicum rhizogonum  ,Hack.,C3,n,,,Zuloaga (1986)
Panicum rigidum,Balf.,C4,,-13.3,,This study
Panicum rivale,Swallen,C3,n,,,Zuloaga (1986)
Panicum robustum,B.K.Simon,C4,,-12.9,,This study
Panicum robynsii,A.Camus,C3,n,,,Brown (1977)
Panicum rude,Nees,C3,n,,,Zuloaga (1986)
Panicum rudgei,Roem. & Schult.,C4,k,-14.5,,Brown (1977)
Panicum rupestre,Trin.,C3,n,,,Zuloaga (1986)
Panicum ruspolii,Chiov.,C3-C4?,,-20.3,,This study
Panicum sabiense,S.A. Renvoize,C4,,-11.7,,This study
Panicum sabulorum,Lam.,C3,n,-26.3,,Brown & Smith (1975); Zuloaga (1986)
Panicum sacciolepoides,S.A. Renvoize & F. Zuloaga,C3,n,,,Zuloaga (1986)
Panicum sadinii,(Vanderyst) Renvoize,C3,,-25.5,,This study
Panicum santa-luciense,Fish,C3,,-26.4,,This study
Panicum sarmentosum,Roxb.,C3,,-27.8,,This study
Panicum scabridum,Doell,C3,n,,,Zuloaga (1986)
Panicum scabriusculum,Ell.,C3,n,-29.6,,Brown & Smith (1975); Zuloaga (1986)
Panicum schinzii,Hack. ex Schinz,C4,k,-12.5,,Brown (1977); Schulze et al. (1996)
Panicum schwackeanum,Mez,C3,n,-27.9,,Brown (1977)
Panicum sciurotis,Trin.,C3,n,-27.9,,Brown (1977)
Panicum sciurotoides,F.O. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum scoparium,Lam.,C3,n,-25.1,,Brown & Smith (1975); Zuloaga (1986)
