species_name_edited,species_name_current,speices with edited genus,photosynthetic_pathway
Stipa rudis,Austrostipa rudis,edited genus,C3
Stipa rudis subsp. australis,Austrostipa rudis subsp. australis,edited genus,C3
Stipa rudis subsp. nervosa,Austrostipa rudis subsp. nervosa,edited genus,C3
Stipa scabra,Austrostipa scabra,edited genus,C3
Stipa scabra subsp. falcata,Austrostipa scabra subsp. falcata,edited genus,C3
Stipa scabra subsp. Scabra,Austrostipa scabra subsp. Scabra,edited genus,C3
Stipa semibarbata,Austrostipa semibarbata,edited genus,C3
Stipa setacea,Austrostipa setacea,edited genus,C3
Stipa stipoides,Austrostipa stipoides,edited genus,C3
Stipa stuposa,Austrostipa stuposa,edited genus,C3
Stipa tenuifolia,Austrostipa tenuifolia,edited genus,C3
Stipa trichophylla,Austrostipa trichophylla,edited genus,C3
Stipa tuckeri,Austrostipa tuckeri,edited genus,C3
Stipa variabilis,Austrostipa variabilis,edited genus,C3
Stipa verticillata,Austrostipa verticillata,edited genus,C3
Stipa vickeryana,Austrostipa vickeryana,edited genus,C3
Stipa wakoolica,Austrostipa wakoolica,edited genus,C3
Austrofestuca eriopoda,Hookerochloa eriopoda,edited genus,C3
Austrofestuca hookeriana,Hookerochloa hookeriana,edited genus,C3
Agrostis adamsonii,Lachnagrostis adamsonii,edited genus,C3
Agrostis aemula,Lachnagrostis aemula,edited genus,C3
Agrostis billardierei,Lachnagrostis billardierei,edited genus,C3
Agrostis billardierei subsp. billardierei,Lachnagrostis billardierei subsp. billardierei,edited genus,C3
Agrostis billardierei subsp. tenuiseta,Lachnagrostis billardierei subsp. tenuiseta,edited genus,C3
Agrostis collicola,Lachnagrostis collicola,edited genus,C3
Agrostis drummondiana,Lachnagrostis drummondiana,edited genus,C3
Agrostis filiformis,Lachnagrostis filiformis,edited genus,C3
Agrostis lacunarum,Lachnagrostis lacunarum,edited genus,C3
Agrostis limitanea,Lachnagrostis limitanea,edited genus,C3
Agrostis meionectes,Lachnagrostis meionectes,edited genus,C3
Agrostis plebeia,Lachnagrostis plebeia,edited genus,C3
Agrostis preissii,Lachnagrostis preissii,edited genus,C3
Agrostis punicea,Lachnagrostis punicea,edited genus,C3
Agrostis punicea subsp. filifolia,Lachnagrostis punicea subsp. filifolia,edited genus,C3
Agrostis robusta,Lachnagrostis robusta,edited genus,C3
Agrostis scabra,Lachnagrostis scabra,edited genus,C3
Agrostis scabra subsp. curviseta,Lachnagrostis scabra subsp. curviseta,edited genus,C3
Ehrharta stipoides,Microlaena stipoides,edited genus,C3
Ehrharta stipoides var. breviseta,Microlaena stipoides var. breviseta,edited genus,C3
Ehrharta stipoides var. stipoides,Microlaena stipoides var. stipoides,edited genus,C3
Ehrharta tasmanica,Microlaena tasmanica,edited genus,C3
Ehrharta tasmanica var. subalpina,Microlaena tasmanica var. subalpina,edited genus,C3
Ehrharta tasmanica var. tasmanica,Microlaena tasmanica var. tasmanica,edited genus,C3
Pogonatherum contortum,Pseudopogonatherum contortum,edited genus,C4
Pogonatherum irritans,Pseudopogonatherum irritans,edited genus,C4
Poa saxicola,Saxipoa saxicola,edited genus,C3
Poa queenslandica,Sylvipoa queenslandica,edited genus,C3
Eragrostis advena,Thellungia advena,edited genus,C4
Agropyron distichum,Thinopyrum distichum,edited genus,NA
Panicum prolutum,Walwhalleya proluta,edited genus,C3
Panicum subxerophilum,Walwhalleya subxerophila,edited genus,C3
