Genus Authority,Photosynthetic types,Species sampled,References,Notes,genus_name
Andropogon L.,C4,"Andropogon schirensis Hochst., Andropogon virginicus L., Andropogon polyptychos Steud.  (=Dichanthium polyptychum (Steud.) A.Camus)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Andropogon
Andropterum Stapf,C4,Andropterum variegatum Stapf (= A. stolzii),Watson & Dallwitz (1992 onwards),NA,Andropterum
Aniselytron Merr.,C3,-,BEP clade,NA,Aniselytron
Anisopogon R. Br.,C3,Anisopogon avenaceus R. Br.,Watson & Dallwitz (1992 onwards),NA,Anisopogon
Anomochloa Brongn.,C3,Anomochloa marantoidea Brongn.,Metcalfe (1960); Judziewcz and Soderstrom (1989),NA,Anomochloa
Anthaenantia Beauv.,C4,Anthaenantia rufa (Ell.) Schult.,Watson & Dallwitz (1992 onwards),NA,Anthaenantia
Anthaenantiopsis Pilger,C4,Anthaenantiopsis trachystachya (Nees) Pilger,Morrone et al. (1993); Watson & Dallwitz (1992 onwards),NA,Anthaenantiopsis
Anthephora Schreb.,C4,"Anthephora acuminata (Rendle) Stapf & Hubbard, Anthephora pubescens Nees",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Anthephora
Anthochloa Nees & Meyen,C3,Anthochloa lepidula Nees & Meyen,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Anthochloa
Anthoxanthum L.,C3,Anthoxanthum odoratum L,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Anthoxanthum
Antinoria Parl.,C3,Antinoria agrostidea (DC.) Parl.,Watson & Dallwitz (1992 onwards),NA,Antinoria
Apera Adanson,C3,Apera spica-venti (L.) Beauv.,Watson & Dallwitz (1992 onwards),NA,Apera
Aphanelytrum Hack.,C3,Aphanelytrum procumbens,Watson & Dallwitz (1992 onwards),NA,Aphanelytrum
Apluda L.,C4,Apluda mutica L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Apluda
Apochiton C.E.Hubbard,C4,Apochiton burttii Hubbard,Watson & Dallwitz (1992 onwards),NA,Apochiton
Apoclada McClure,C3,Apoclada cannavierira (Alvarado de Silviera) McClure,Watson & Dallwitz (1992 onwards),NA,Apoclada
Apocopis Nees,C4,"Apocopis courtallumensis (Steud.) Henr., Apocopis mangalorensis (Hochst.) Henr.",Watson & Dallwitz (1992 onwards),NA,Apocopis
Arberella Sod. & Cald.,C3,Arberella dressleri Soderstrom & Calderon,Watson & Dallwitz (1992 onwards),NA,Arberella
Arctagrostis Griseb.,C3,Arctagrostis latifolia (R. Br.) Griseb.,Watson & Dallwitz (1992 onwards),NA,Arctagrostis
Arctophila Anders.,C3,Arctophila fulva (Trin.) N.J. Anderss.,Watson & Dallwitz (1992 onwards),NA,Arctophila
Aristida L.,C4 & C3,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.,Aristida
Arrhenatherum Beauv.,C3,Arrhenatherum elatius (L.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Arrhenatherum
Arthragrostis Lazarides,C4,"Arthragrostis aristispicula B.K. Simon, Arthragrostis deschampsioides (Domin) Lazarides",Watson & Dallwitz (1992 onwards),NA,Arthragrostis
Arthraxon Beauv.,C4,Arthraxon hispidus (Thunb.) Makino,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Arthraxon
Arthropogon Nees,C4,Arthropogon villosus Nees,Filgueiras (1982); Watson & Dallwitz (1992 onwards),NA,Arthropogon
Arthrostylidium Rupr.,C3,"Arthrostylidium farctum (Aubl.) Soderstr. & Lourteig (=Arthrostylidium capillifolium Griseb.), Arthrostylidium pubescens Rupr.",Metcalfe (1960),NA,Arthrostylidium
Arundinaria Michaux,C3,"Arundinaria alpina K. Schuman, Arundinaria sp.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Arundinaria
Arundinella Raddi,C4,"Arundinella metzii Hochst. ex Miq., Arundinella nepalensis Trin, Arundinella villosa Arn. ex Steud.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Arundinella
Arundo L.,C3,Arundo donax L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Arundo
Arundoclaytonia Davidse & Ellis,C3,Arundoclaytonia dissimilis Davidse & Ellis,Davidse and Ellis (1987),NA,Arundoclaytonia
Asthenochloa Buse,C4,Asthenochloa tenera Buse,Watson & Dallwitz (1992 onwards),Watson and Dallwitz (1992 onwards) note that this is based on observations of a very poor specimen,Asthenochloa
Astrebla F.Muell.,C4,"Astrebla pectinata (Lindl.) F. Muell. ex Benth., Astrebla squarrosa C.E.Hubb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Astrebla
Athroostachys Benth.,C3,Athroostachys capitata (Hook.) Benth.,Watson & Dallwitz (1992 onwards),NA,Athroostachys
Atractantha McClure,C3,Atractantha falcata McClure,Watson & Dallwitz (1992 onwards),NA,Atractantha
Aulonemia Goudot,C3,Aulonemia fulgor McClure,Watson & Dallwitz (1992 onwards),NA,Aulonemia
Austrochloris Lazarides,C4,Austrochloris dichanthoides (Everist) Lazarides,Watson & Dallwitz (1992 onwards),NA,Austrochloris
Austroderia N. P. Barker & H. P. Linder,C3,Austroderia richardii (Endl.) N. P. Barker & H. P. Linder,Linder et al. (2010); Linder pers. comm.,NA,Austroderia
Austrofestuca Alexeev,C3,Austrofestuca littoralis (Labill.) A. Alexeev,Watson & Dallwitz (1992 onwards),NA,Austrofestuca
Avena L.,C3,"Avena fatua L., Avena sterilis subsp. ludoviciana (Durieu) Gillet & Magne (=Avena ludoviciana Durieu), Avena strigosa Schreb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Avena
Axonopus Beauv.,C4,Axonopus affinis Chase,Watson & Dallwitz (1992 onwards),NA,Axonopus
Bambusa Caldas,C3,"Bambusa arnhemica F. Muell., Bambusa multiplex (Lour.) Raeusch. ex Schult. (=Bambusa nana Roxb.),  Bambusa vulgaris Schrad.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Bambusa
Baptorhachis Clayton & Renvoize,C4,Baptorhachis foliosa (Clayton) Clayton,Renvoize (1987),NA,Baptorhachis
Beckmannia Host.,C3,Beckmannia syzigachne (Steud.) Fernald,Watson & Dallwitz (1992 onwards),NA,Beckmannia
Bewsia Goossens,C4,Bewsia biflora (Hack.) Goossens,"Watson & Dallwitz (1992 onwards), photos provided by R.P. Ellis",NA,Bewsia
Bhidea Bor,C4,Bhidea burnsiana Bor,Watson & Dallwitz (1992 onwards),NA,Bhidea
Blepharidachne Hack.,C4,"Blepharidachne bigelovii (S. Watts) Hack., Blepharidachne kingii (S. Watts) Hack.",Watson & Dallwitz (1992 onwards),NA,Blepharidachne
Blepharoneuron Nash,C4,Blepharoneuron tricholepis (Torr.) Nash,Watson & Dallwitz (1992 onwards) supplemented from Peterson and Annable (1990),NA,Blepharoneuron
Boissiera Steud.,C3,Boissiera squarrosa (Banks & Soland.) Nevski,Watson & Dallwitz (1992 onwards),NA,Boissiera
Bonia Balansa,C3,-,BEP clade,NA,Bonia
Bothriochloa Kuntze,C4,"Bothriochloa macra (Steudel) Blake, Bothriochloa bladhii (Retz.) S.T.Blake (=Bothriochloa caucasica (Trin.) C.E.Hubb.), Bothriochloa pertusa (L.) A.Camus",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Bothriochloa
Bouteloua Lag.,C4,"Bouteloua curtipendula (Michx.) Torr., Bouteloua gracilis (Kunth) Lag. Ex Griffiths (Chondrosum)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Bouteloua
Brachiaria Griseb.,C4,"Brachiaria eruciformis (J.E. Sm.) Griseb., Brachiaria deflexa (Schumach.) C.E.Hubb. ex Robyns, Brachiaria villosa (Lam.) A.Camus (=Brachiaria distichophylla (Trin.) Stapf), Brachiaria jubata (Fig. & De Not.) Stapf, Brachiaria reptans (L.) C.A.Gardner & C.E.Hubb,  Brachiaria paspaloides (J.Presl) C.E.Hubb. (Urochloa)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Brachiaria
Brachyachne Stapf,C4,Brachyachne convergens (F. Muell.) Stapf,Watson & Dallwitz (1992 onwards),NA,Brachyachne
Brachychloa S.M.Phillips,C4,Brachychloa schiemanniana Phillips,"Watson & Dallwitz (1992 onwards), photos provided by R.P. Ellis",NA,Brachychloa
Brachyelytrum Beauv.,C3,Brachyelytrum erectum Beauv.,Watson & Dallwitz (1992 onwards),NA,Brachyelytrum
Brachypodium Beauv.,C3,"Brachypodium distachyon (L.) Beauv., Brachypodium pinnatum (L.) Beauv., Brachypodium sylvaticum (Huds.) P.Beauv",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Brachypodium
Briza L.,C3,"Briza maxima L., Briza minor L., Briza triloba (= B. subaristata), Briza erecta Lam.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Briza
Bromuniola C.E.Hubbard,C3,"Bromuniola gossweileri Stapf & C.E.Hubb,",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Bromuniola
Bromus L.,C3,"Bromus diandrus Roth, Bromus erectus Huds. (= Zerna), Bromus mollis L. (= B. hordeaceus L.), Bromus unioloides Kunth, Bromus carinatus Hook. & Arn (Bromus laciniatus Beal), Bromus coloratus Steud, Bromus riparius Rehmann (=Bromus fibrosus Hack.), Bromus inermis Leyss., Bromus japonicus Thunb., Bromus sterilis L., Bromus tectorum L., Bromus arvensis L., Bromus ciliatus L., Bromus lanceolatus Roth  (=Bromus macrostachys Desf.), Bromus rigidus Roth (=Bromus maximus Desf.), Bromus kalmii A.Gray (=Bromus purgans L.), Bromus ramosus Huds., Bromus secalinus L. (=Bromus velutinus Schrad.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Bromus
Brylkinia Schmidt,C3,Brylkinia caudata (Munro) Fr. Schmidt,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Brylkinia
Buchloe Engelm.,C4,Buchloë dactyloides (Nutt.) Engelm,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Buchloe
Buchlomimus J. & C. Reeder & Rzedowski,C4,Buchlomimus nervatus (Swallen) Reeder & Rzedowski,Watson & Dallwitz (1992 onwards),NA,Buchlomimus
Buergersiochloa Pilger,C3,Buergersiochloa bambusoides Pilger,Watson & Dallwitz (1992 onwards),NA,Buergersiochloa
Calamagrostis Adanson,C3,Calamagrostis epigejos (L.) Roth,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Calamagrostis
Calamovilfa Scribn.,C4,Calamovilfa longifolia (Hook.) Hack.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Calamovilfa
Calderonella Sod. & Deck.,C3,Calderonella sylvatica Soderstrom & Decker,Watson & Dallwitz (1992 onwards),NA,Calderonella
Calyptochloa C.E.Hubbard,C3,Calyptochloa gracillima Hubbard,Watson & Dallwitz (1992 onwards),NA,Calyptochloa
"Canastra Morrone, Zuloaga, Davidse & Filg.",C3,"Canastra lanceolata (Filgueras) Morrone, Zuloaga, Davidse & Filgueras",Morrone et al. (2001),NA,Canastra
Capeochloa H. P. Linder & N. P. Barker,C3,Capeochloa cincta (Nees) N. P. & N. P. Barker,Linder et al. (2010); Linder pers. comm.,NA,Capeochloa
Capillipedium Stapf,C4,Capillipedium spicigerum Blake,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Capillipedium
Castellia Tineo,C3,Castellia tuberculosa (Moris) Bor,Watson & Dallwitz (1992 onwards),NA,Castellia
Catabrosa Beauv.,C3,Catabrosa aquatica (L.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Catabrosa
Catalepis Stapf & Stent,C4,Catalepis gracilis Stapf & Stent,"Watson & Dallwitz (1992 onwards), photos provided by R.P. Ellis",NA,Catalepis
Catapodium Link,C3,"Catapodium loliaceum (Hudson) Link (= Desmazeria marina), Catapodium rigidum (L.) Hubbard, Catapodium marinum (L.) C.E.Hubb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Catapodium
Cathariostachys S.Dransfield,C3,Cathariostachys capitata (Kunth) S.Dransf. (=Nastus capitatus Kunth),BEP clade,NA,Cathariostachys
Cathestecum Presl,C4,Cathestechum erectum Vasey & Hack.,Watson & Dallwitz (1992 onwards),NA,Cathestecum
Cenchrus L.,C4,"Cenchrus australis R. Br., Cenchrus biflorus Roxb., Cenchrus brownii Roem. & Schultes, Cenchrus ciliaris L., Cenchrus echinatus L., Cenchrus elymoides F. Muell., Cenchrus incertus M.A. Curtis (=Cenchrus pauciflorus Benth.), Cenchrus longispinus (Hack.) Fern., Cenchrus setiger Vahl.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Cenchrus
Centotheca Desv.,C3,"Centotheca sp., Centotheca lappacea (L.) Desvaux",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Centotheca
Centrochloa Swallen,C4,Centrochloa singularis Swallen,Watson & Dallwitz (1992 onwards),NA,Centrochloa
Centropodia Reichenb.,C4,Centropodia glauca (Nees) T.A. Cope (Asthenatherum),Ellis (1984); Watson & Dallwitz (1992 onwards),NA,Centropodia
Cephalostachyum Munro,C3,"Cephalostachyum pergracile Munro, Cephalostachyum capitatum Munro",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Cephalostachyum
Chaetium Nees,C4,Chaetium cubanum Hitchc.,Watson & Dallwitz (1992 onwards),NA,Chaetium
Chaetobromus Nees,C3,Chaetobromus dregeanus Nees,Linder et al. (2010); Linder pers. comm.; This study.,Non-Kranz anatomy in all sub-species; C3 isotope value = -27.3,Chaetobromus
Chaetopoa C.E.Hubbard,C4,Chaetopoa taylori C.E. Hubbard,Watson & Dallwitz (1992 onwards),NA,Chaetopoa
Chaetopogon Janchen,C3,Chaetopogon fasciculatus Link.,Watson & Dallwitz (1992 onwards),NA,Chaetopogon
Chamaeraphis R.Br.,C4,Chamaeraphis hordeacea R. Br.,Watson & Dallwitz (1992 onwards),NA,Chamaeraphis
"Chandrasekharania Nair, Ramach. & Sreek.",C3,"Chandrasekharania keralensis Nair, Ramach. & Sreek.",Clayton & Renvoize (1986),NA,Chandrasekharania
Chasmanthium Link,C3,"Chasmanthium latifolium (Michx.) Yates, Chasmanthium laxum (L.) Yates",Watson & Dallwitz (1992 onwards),NA,Chasmanthium
Chasmopodium Stapf,C4,Chasmopodium caudatum (Hack.) Stapf,Metcalfe (1960),NA,Chasmopodium
Chevalierella A.Camus,C3,"Chevalierella congoensis A. Camus (= C. dewildemanii), Chevalierella dewildemanii (Vand.) Van der Veken",Jacques-Félix (1962); Watson & Dallwitz (1992 onwards),NA,Chevalierella
Chikusichloa Koidzumi,C3,Chikusichloa aquatica Koidz.,Watson & Dallwitz (1992 onwards),NA,Chikusichloa
Chimaerochloa H. P. Linder,C3,Chimaerochloa archboldii (Hitchc.) Pirie & H. P. Linder,Linder et al. (2010); Linder pers. comm.,NA,Chimaerochloa
Chimonobambusa Makino,C3,Chimonobambusa densifolia Nakai,Watson & Dallwitz (1992 onwards),NA,Chimonobambusa
Chimonocalamus Hsueh & Yi,C3,-,BEP clade,NA,Chimonocalamus
Chionachne R.Br.,C4,Chionachne cyathopoda (Muell.) Muell. ex Benth.,Watson & Dallwitz (1992 onwards),NA,Chionachne
Chionochloa Zotov,C3,"Chionochloa conspicua (Forst.) Zotov (=Cortaderia conspicua (E.Forst.) Stapf and =Danthonia cunninghamii Hook.f.), Chionochloa frigida (Vickery) Conert, Chionochloa pallida (R. Br.) Conert, Chionochloa australis (Buchanan) Zotov (=Danthonia australis (Buchanan) Buchanan), Chionochloa bromoides (Hook.f.) Zotov (=Danthonia bromoides Hook.f.), Chionochloa crassiuscula (Kirk) Zotov (=Danthonia crassiuscula Kirk and =Danthonia pungens Cheeseman), Chionochloa rigida (Raoul) Zotov  (=Danthonia flavescens Hook.f. and =Danthonia rigida Raoul), Chionochloa oreophila (Petrie) Zotov (=Danthonia oreophila Petrie), Chionochloa ovata (Buchanan) Zotov (=Danthonia planifolia Petrie), Chionochloa teretifolia (Petrie) Zotov (=Danthonia teretifolia Petrie)",Watson & Dallwitz (1992 onwards),NA,Chionochloa
Chloris Sw.,C4,"Chloris gayana Kunth, Chloris barbata Sw., Chloris filiformis (Vahl) Poir., Chloris pycnothrix Trin., Chloris robusta Stapf, Chloris virgata Sw., Chloris uliginosa Hack. (Eustachys)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Chloris
Chlorocalymma D.Clayton,C4,Chlorocalymma cryptocanthum W. Clayton,Watson & Dallwitz (1992 onwards),NA,Chlorocalymma
Chondrosum Desv.,C4,Chondrosum gracile H. B. & K. (=Bouteloua gracilis (Kunth) Lag. Ex Griffiths),Watson & Dallwitz (1992 onwards),NA,Chondrosum
Chrysochloa Swallen,C4,"Chrysochloa hindsii C.E.Hubb., Chrysochloa hubbardiana Germain & Risopoulos, Chrysochloa orientalis (Hubb.) Swallen",Watson & Dallwitz (1992 onwards); Observations on C. hindsi provided by Christine de Jong (2005),NA,Chrysochloa
Chrysopogon Trin.,C4,"Chrysopogon fallax Blake, Chrysopogon nodulibarbis (Hochst. ex Steud.) Henrard  (=Chrysopogon zeylanicus (Nees) Thwaites), Chrysopogon gryllus (L.) Trin.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Chrysopogon
Chusquea Kunth,C3,"Chusquea longiligulata (Soderstrom & Calderon) Clark (= Swallenochloa), Chusquea abietifolia Griseb., Chusquea tenella Nees",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Chusquea
Cinna L.,C3,Cinna latifolia (Trev.) Griseb.,Watson & Dallwitz (1992 onwards),NA,Cinna
Cladoraphis Franch.,C4,"Cladoraphis cyperoides (Thunb.) S.M. Phillips, Cladoraphis spinosa (L. f.) S.M. Phillips",Van den Borre (1994); Watson & Dallwitz (1992 onwards); Photos of C. cyperoides provided by R.P. Ellis,NA,Cladoraphis
Clausospicula Lazarides,C4,Clausospicula extensa M. Lazarides,Watson & Dallwitz (1992 onwards),NA,Clausospicula
Cleistachne Benth.,C4,Cleistachne sorghoides Benth.,Metcalfe (1960),NA,Cleistachne
Cleistochloa C.E.Hubbard,C3,Cleistochloa subjuncea Hubbard,Watson & Dallwitz (1992 onwards),NA,Cleistochloa
Cleistogenes Keng,C4,"Cleistogenes caespitosa Keng, Cleistogenes kitagawae Honda, Cleistogenes foliosa Keng, Cleistogenes songorica (Roshev.) Ohwi, Cleistogenes squarrosa (Trin.) Keng",Pyankov et al. (2000) [reported from earlier papers in Russian],NA,Cleistogenes
Coelachne R.Br.,C3,"Coelachne pulchella R. Br, Coelachne hackelii Merr., Coelachne perpusilla (Nees ex Steud.) Thwaites, Coelachne simpliciuscula (Steud.) Munro ex Benth.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Coelachne
Coelachyrum Hochst. & Nees,C4,"Coelachyrum poaeflorum Chiov., Coelachyrum brevifolium Hochst. & Nees",Metcalfe (1960); Van den Borre (1994); Watson & Dallwitz (1992 onwards),NA,Coelachyrum
Coelorachis Brongn.,C4,Coelorachis rottboellioides (R. Br.) Camus,Watson & Dallwitz (1992 onwards),NA,Coelorachis
Coix L.,C4,Coix lacryma-jobi L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Coix
Colanthelia McClure & Smith,C3,Colanthelia cingulata (McClure & Smith) McClure,Watson & Dallwitz (1992 onwards),NA,Colanthelia
Coleanthus Seidel,C3,Coleanthus subtilis (Tratt.) Seidel.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Coleanthus
Colpodium Trin.,C3,"Colpodium altaicum Trin. (= Paracolpodium), Colpodium chionogeiton Pilg. (= Keinochloa)",Watson & Dallwitz (1992 onwards),NA,Colpodium
Cornucopiae L.,C3,Cornucopiae cucullatum L.,Watson & Dallwitz (1992 onwards),NA,Cornucopiae
Cortaderia Stapf,C3,"Cortaderia archboldii (Hitchc.) Connor & Edgar, Cortaderia bifida Pilger, Cortaderia selloana (Schultes & Schultes) Aschers & Graebner, Cortaderia conspicua (E.Forst.) Stapf (Chionochloa)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Cortaderia
Corynephorus Beauv.,C3,Corynephorus canescens (L.) Beauv.,Watson & Dallwitz (1992 onwards),NA,Corynephorus
Cottea Kunth,C4,Cottea pappophoroides Kunth,Watson & Dallwitz (1992 onwards),NA,Cottea
Craspedorhachis Benth.,C4,Craspedorhachis africana Benth.,Watson & Dallwitz (1992 onwards),NA,Craspedorhachis
Crinipes Hochst.,C3,Crinipes abyssinicus (A. Rich.) Hochst.,Watson & Dallwitz (1992 onwards),NA,Crinipes
Crithopsis Jaub. & Spach,C3,-,BEP clade,NA,Crithopsis
Crypsis Ait.,C4,Crypsis aculeata (L.) Ait.,Watson & Dallwitz (1992 onwards),NA,Crypsis
Cryptochloa Swallen,C3,Cryptochloa capillata (Trin.) Soderstrom,Watson & Dallwitz (1992 onwards),NA,Cryptochloa
