Species,Site abbreviation,Latitude (S),Longitude (E),LAI,Seed mass (g),Light Treatment,Light Treatment (Categorical),Replicate,Total Seeds,Total Germinated,Proportion Germinated,Number Inviable,lat_lon_combined,park,description,Site
Alchornea ilicifolia,M.N.P,-29.8988,152.7406,2.266644001,0.011248,6/18,short,2,15,0,0,14, (site_at_-29.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-29.8988_S_and_152.7406_E)
Allocasuarina littoralis,C.W,-34.0954,151.1601,1.366652966,0.002356,12/12,control,1,15,9,0.6,6, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Allocasuarina littoralis,C.W,-34.0954,151.1601,1.366652966,0.002356,12/12,control,2,15,5,0.333333333,10, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Allocasuarina littoralis,C.W,-34.0954,151.1601,1.366652966,0.002356,18/6,long,1,15,8,0.533333333,7, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Allocasuarina littoralis,C.W,-34.0954,151.1601,1.366652966,0.002356,18/6,long,2,15,8,0.533333333,7, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Allocasuarina littoralis,C.W,-34.0954,151.1601,1.366652966,0.002356,6/18,short,1,15,11,0.733333333,4, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Allocasuarina littoralis,C.W,-34.0954,151.1601,1.366652966,0.002356,6/18,short,2,15,9,0.6,6, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Alphitonia petrei,Q.L.D.S,-17.4583,145.4697,5.333280087,0.007742,12/12,control,1,30,1,0.033333333,2, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Alphitonia petrei,Q.L.D.S,-17.4583,145.4697,5.333280087,0.007742,18/6,long,1,30,0,0,0, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Alphitonia petrei,Q.L.D.S,-17.4583,145.4697,5.333280087,0.007742,6/18,short,1,30,0,0,1, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Alpinia arctiflora,Q.L.D,-17.4583,145.4697,5.333280087,0.011996,12/12,control,1,20,3,0.15,17, (site_at_-17.4583_S_and_145.4697_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4583_S_and_145.4697_E)
Alpinia arctiflora,Q.L.D,-17.4583,145.4697,5.333280087,0.011996,12/12,control,2,20,2,0.1,18, (site_at_-17.4583_S_and_145.4697_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4583_S_and_145.4697_E)
Alpinia arctiflora,Q.L.D,-17.4583,145.4697,5.333280087,0.011996,18/6,long,1,20,1,0.05,19, (site_at_-17.4583_S_and_145.4697_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4583_S_and_145.4697_E)
Alpinia arctiflora,Q.L.D,-17.4583,145.4697,5.333280087,0.011996,18/6,long,2,20,1,0.05,19, (site_at_-17.4583_S_and_145.4697_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4583_S_and_145.4697_E)
Alpinia arctiflora,Q.L.D,-17.4583,145.4697,5.333280087,0.011996,6/18,short,1,20,4,0.2,16, (site_at_-17.4583_S_and_145.4697_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4583_S_and_145.4697_E)
Alpinia arctiflora,Q.L.D,-17.4583,145.4697,5.333280087,0.011996,6/18,short,2,20,4,0.2,16, (site_at_-17.4583_S_and_145.4697_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4583_S_and_145.4697_E)
Alpinia caerulea,Q.L.D.S,-17.4583,145.4697,5.333280087,0.019724,12/12,control,1,15,2,0.133333333,13, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Alpinia caerulea,Q.L.D.S,-17.4583,145.4697,5.333280087,0.019724,12/12,control,2,15,1,0.066666667,14, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Alpinia caerulea,Q.L.D.S,-17.4583,145.4697,5.333280087,0.019724,18/6,long,1,15,1,0.066666667,14, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Alpinia caerulea,Q.L.D.S,-17.4583,145.4697,5.333280087,0.019724,18/6,long,2,15,1,0.066666667,14, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Alpinia caerulea,Q.L.D.S,-17.4583,145.4697,5.333280087,0.019724,6/18,short,1,15,0,0,14, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Alpinia caerulea,Q.L.D.S,-17.4583,145.4697,5.333280087,0.019724,6/18,short,2,15,0,0,15, (site_at_-17.4583_S_and_145.4697_E),Queensland Wet Sclerophyll Forest,wet sclerophyll forest,Queensland Wet Sclerophyll Forest (site_at_-17.4583_S_and_145.4697_E)
Austrosteenisia blackii,M.N.P,-28.8988,152.7401,4.999949932,0.017584,12/12,control,1,20,20,1,0, (site_at_-28.8988_S_and_152.7401_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7401_E)
Austrosteenisia blackii,M.N.P,-28.8988,152.7401,4.999949932,0.017584,12/12,control,2,20,20,1,0, (site_at_-28.8988_S_and_152.7401_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7401_E)
Austrosteenisia blackii,M.N.P,-28.8988,152.7401,4.999949932,0.017584,18/6,long,1,20,20,1,0, (site_at_-28.8988_S_and_152.7401_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7401_E)
Austrosteenisia blackii,M.N.P,-28.8988,152.7401,4.999949932,0.017584,18/6,long,2,20,20,1,0, (site_at_-28.8988_S_and_152.7401_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7401_E)
Austrosteenisia blackii,M.N.P,-28.8988,152.7401,4.999949932,0.017584,6/18,short,1,20,19,0.95,1, (site_at_-28.8988_S_and_152.7401_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7401_E)
Austrosteenisia blackii,M.N.P,-28.8988,152.7401,4.999949932,0.017584,6/18,short,2,20,19,0.95,1, (site_at_-28.8988_S_and_152.7401_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7401_E)
Banksia aemula,R.C,-29.4718,152.8611,2.499974966,0.101962,12/12,control,1,4,3,0.75,1, (site_at_-29.4718_S_and_152.8611_E),Rocky Creek at Fortis Creek National Park,NA,Rocky Creek at Fortis Creek National Park (site_at_-29.4718_S_and_152.8611_E)
Banksia aemula,R.C,-29.4718,152.8611,2.499974966,0.101962,18/6,long,1,4,4,1,0, (site_at_-29.4718_S_and_152.8611_E),Rocky Creek at Fortis Creek National Park,NA,Rocky Creek at Fortis Creek National Park (site_at_-29.4718_S_and_152.8611_E)
Banksia aemula,R.C,-29.4718,152.8611,2.499974966,0.101962,6/18,short,1,4,4,1,0, (site_at_-29.4718_S_and_152.8611_E),Rocky Creek at Fortis Creek National Park,NA,Rocky Creek at Fortis Creek National Park (site_at_-29.4718_S_and_152.8611_E)
Banksia oblongifolia,R.C,-29.4718,152.8611,2.499974966,0.027793,12/12,control,1,14,14,1,0, (site_at_-29.4718_S_and_152.8611_E),Rocky Creek at Fortis Creek National Park,NA,Rocky Creek at Fortis Creek National Park (site_at_-29.4718_S_and_152.8611_E)
Banksia oblongifolia,R.C,-29.4718,152.8611,2.499974966,0.027793,18/6,long,1,14,13,0.928571429,1, (site_at_-29.4718_S_and_152.8611_E),Rocky Creek at Fortis Creek National Park,NA,Rocky Creek at Fortis Creek National Park (site_at_-29.4718_S_and_152.8611_E)
Banksia oblongifolia,R.C,-29.4718,152.8611,2.499974966,0.027793,6/18,short,1,14,14,1,0, (site_at_-29.4718_S_and_152.8611_E),Rocky Creek at Fortis Creek National Park,NA,Rocky Creek at Fortis Creek National Park (site_at_-29.4718_S_and_152.8611_E)
Banksia serrata,C.W,-34.0954,151.1601,1.366652966,0.074512,12/12,control,1,10,10,1,0, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Banksia serrata,C.W,-34.0954,151.1601,1.366652966,0.074512,18/6,long,1,10,10,1,0, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Banksia serrata,C.W,-34.0954,151.1601,1.366652966,0.074512,6/18,short,1,10,8,0.8,2, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,12/12,control,1,10,0,0,6, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,12/12,control,2,10,0,0,5, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,12/12,control,3,10,0,0,1, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,18/6,long,1,10,0,0,6, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,18/6,long,2,10,0,0,6, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
Breynia cernua,Q.L.D,-17.4123,145.7006,5.366612911,0.013034,18/6,long,3,10,0,0,6, (site_at_-17.4123_S_and_145.7006_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4123_S_and_145.7006_E)
