species,naming_authority,site,edaphic_preference,fire_response,juvenile_period,juvenile_period_value_type,flowering_time,flowering_notes,other_notes
Xanthosia huegelii,(Benth.) Steud.,Northern Sandplain shrublands,Sand,,,,,,
Angianthus tomentosus,Wendle.,Northern Sandplain shrublands,Generalist,Seed,<2,bin,,,
Arctotheca calendula,(L.) Leogns.,Northern Sandplain shrublands,,Seed,1,mean,,,
Helipterum cotula,(Benth.) D.C.,Northern Sandplain shrublands,Sand,Seed,1,mean,,,
Podotheca gnaphalioides,(Grah.) F.Muell.,Northern Sandplain shrublands,,Sprout,,,,,
Podotheca pygmaea,A.Gray,Northern Sandplain shrublands,,Seed,1,mean,,,
Ursinia anthemoides,(L.) Poir.,Northern Sandplain shrublands,,Seed,1,mean,,,
Labichea punctata,Benth.,Northern Sandplain shrublands,Laterite,Sprout,<2,bin,nnnnnnnnynnn,,
Allocasuarina humilis,Otto & Dietr.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnnyyynnnnn,,
Allocasuarina microstachya,Miq.,Northern Sandplain shrublands,Laterite,Sprout,,,,,
Lachnostachys verbascifolia,F.Muell.,Northern Sandplain shrublands,Sand,Sprout,,,,,
Pityrodia bartlingii,(Lehm.) Benth.,Northern Sandplain shrublands,Sand,Sprout,<2,bin,nnnnnnnnnnyn,,
Hibbertia acerosa,(R.Br.) Benth.,Northern Sandplain shrublands,Sand,Sprout,,,nnnnnnnnnnyy,,
Hibbertia aurea,Steud.,Northern Sandplain shrublands,Laterite,Sprout,,,nnnnnnnnnynn,,
Hibbertia crassifolia,(Turcz.) Benth.,Northern Sandplain shrublands,Generalist,Sprout,<2,bin,nnnnnnnyyynn,,
Hibbertia glaberrima,F.Muell.,Northern Sandplain shrublands,Sand,Seed and sprout,<2,bin,nnnnnnnnnyyy,,
Hibbertia huegilii,(Endl.) F.Muell.,Northern Sandplain shrublands,Generalist,Sprout,<2,bin,nnnnnnnnyyyn,,
Hibbertia hypericoides,(DC.) Benth.,Northern Sandplain shrublands,Generalist,Sprout,<2,bin,nnnnnnnyyyyn,,
Hibbertia pilosa,Steud.,Northern Sandplain shrublands,Laterite,Sprout,,,nnnnnnnyyynn,,
Hibbertia racemosa,(Endl.) Gilg.,Northern Sandplain shrublands,Sand,Sprout,,,,,
Drosera drummondii,Lehm.,Northern Sandplain shrublands,Laterite,Seed,,,nnnnnnnnynnn,,
Drosera erythrorrhiza,Lindl.,Northern Sandplain shrublands,,Sprout,,,,,
Drosera heterophylla,Lindl.,Northern Sandplain shrublands,Generalist,Sprout,<2,bin,nnnnnnnyynnn,,
Drosera macrantha,Endl.,Northern Sandplain shrublands,Sand,Sprout,<2,bin,nnnnnnnnnynn,,
Drosera menziesii,R.Br.,Northern Sandplain shrublands,,Sprout,,,,,
Drosera paleacea,DC.,Northern Sandplain shrublands,,Seed,,,,,
Drosera pallida,Lindl.,Northern Sandplain shrublands,,,,,,,
Andersonia heterophylla,Sond.,Northern Sandplain shrublands,Sand,Seed and sprout,≤4,bin,nnnnnnyyynnn,,
Andersonia lehmanniana,Sond.,Northern Sandplain shrublands,Generalist,Sprout,≤4,bin,nnnnnyyynnnn,,
Astroloma microdonta,(F.Muell.) Benth.,Northern Sandplain shrublands,Laterite,Seed,≤4,bin,nnnnyyyyyynn,,
Astroloma pallidum,R.Br.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnnyyynnnnn,,
Astroloma serratifolium,(DC.) Druce.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnnynnnn,,
