Plant_name,location_txt,Lat,Long,date,Poll_order,Poll_Fam,Poll_Sp,Method,Poll_type,Poll_evidence,Pollinator_to_use,Publication
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,Psittacidae,Rainbow Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,Meliphagidae,Red Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,,Variegated Fairy-wren,Observation,flower_visitor,nectar_thief,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,Meliphagidae,White-naped Honeyeater,Observation,flower_visitor,nectar_thief,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,6/6/1996,Aves,,Forest Raven,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,18/6/1996,Aves,,Pied Currawong,Observation,flower_visitor,flower_predator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,6/6/1996,Aves,,Regent Bowerbird,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,21/6/1996,Aves,,Satin Bowerbird,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,Psittacidae,Scaly-breasted Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,25/5/1997,Aves,Meliphagidae,Scarlet Honeyeater,Observation,flower_visitor,nectar_thief,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,Meliphagidae,White-cheeked Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,14/5/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,14/5/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,14/5/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,14/5/1996,Aves,Meliphagidae,White-naped Honeyeater,Observation,flower_visitor,nectar_thief,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Seven Mile Beach National Park,-34.81666667,150.75,12/5/1996,Aves,,Pied Currawong,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,29/4/1996,Aves,Meliphagidae,Blue-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,26/4/1996,Aves,Meliphagidae,Brown Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,26/4/1996,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,26/4/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,3/4/1996,Aves,Psittacidae,Rainbow Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,26/4/1996,Aves,Psittacidae,Scaly-breasted Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,3/4/1996,Aves,Meliphagidae,White-cheeked Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Eurobodalla National Park,-35.93333333,150.1666667,16/1/1997,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Eurobodalla National Park,-35.93333333,150.1666667,29/7/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Eurobodalla National Park,-35.93333333,150.1666667,19/12/1996,Aves,Meliphagidae,Noisy Friarbird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Eurobodalla National Park,-35.93333333,150.1666667,16/1/1997,Aves,Psittacidae,Rainbow Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Eurobodalla National Park,-35.93333333,150.1666667,16/1/1997,Aves,Meliphagidae,Red Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Eurobodalla National Park,-35.93333333,150.1666667,15/1/1997,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,25/9/1996,Aves,Meliphagidae,Blue-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,29/7/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,26/6/1997,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,18/6/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,29/7/1996,Aves,Meliphagidae,Noisy Friarbird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,29/7/1996,Aves,Meliphagidae,Noisy Miner,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,29/7/1996,Aves,Psittacidae,Scaly-breasted Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,White-cheeked Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Myall Lakes National Park,-32.53333333,152.3,29/7/1996,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,15/11/1995,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia serrata,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,24/11/1995,Aves,Meliphagidae,Red Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Billardiera scandens,Seven Mile Beach National Park,-34.81666667,150.75,12/5/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Callistemon citrinus,Myall Lakes National Park,-32.53333333,152.3,4/11/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Correa alba var. alba,Myall Lakes National Park,-32.53333333,152.3,28/5/1997,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Correa alba var. alba,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Corymbia gummifera,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,7/2/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Corymbia gummifera,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,15/2/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Cupaniopsis anacardioides,Myall Lakes National Park,-32.53333333,152.3,6/6/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Cupaniopsis anacardioides,Myall Lakes National Park,-32.53333333,152.3,6/8/1996,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Cupaniopsis anacardioides,Myall Lakes National Park,-32.53333333,152.3,6/6/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Duboisia myoporoides,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,13/11/1995,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Botany Bay National Park,-34.03333333,151.2166667,1/8/1995,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Botany Bay National Park,-34.03333333,151.2166667,1/8/1995,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Myall Lakes National Park,-32.53333333,152.3,13/8/1996,Aves,Meliphagidae,Blue-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Myall Lakes National Park,-32.53333333,152.3,13/8/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Myall Lakes National Park,-32.53333333,152.3,15/5/1996,Aves,Meliphagidae,Noisy Friarbird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Myall Lakes National Park,-32.53333333,152.3,13/8/1996,Aves,Meliphagidae,Noisy Miner,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Myall Lakes National Park,-32.53333333,152.3,28/6/1996,Aves,Meliphagidae,Red Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,6/9/1995,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Seven Mile Beach National Park,-34.81666667,150.75,12/5/1996,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Erythrina X syksii,Wollongong,-34.41666667,150.9166667,19/9/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus botryoides,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,12/2/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus pilularis,Myall Lakes National Park,-32.53333333,152.3,28/1/1997,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus pilularis,Myall Lakes National Park,-32.53333333,152.3,28/1/1997,Aves,Meliphagidae,Scarlet Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus pilularis,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,14/5/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus pilularis,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,15/5/1997,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus pilularis,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,11/4/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus pilularis,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,15/5/1997,Aves,Meliphagidae,White-naped Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus pilularis,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,12/4/1996,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,24/5/1997,Aves,Meliphagidae,Brown-headed Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,15/5/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,21/4/1998,Aves,Psittacidae,Musk Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,13/8/1996,Aves,Meliphagidae,Noisy Friarbird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,24/5/1997,Aves,Meliphagidae,Noisy Miner,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,24/5/1997,Aves,Psittacidae,Rainbow Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,24/5/1997,Aves,Meliphagidae,Red Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,21/4/1998,Aves,Psittacidae,Scaly-breasted Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,21/4/1998,Aves,Meliphagidae,Scarlet Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,15/5/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
