genus,species,binomial,longevity,growth form,height min (m),height (m),leaf type,leaf shape,leaf length min (cm),leaf length max (cm),leaf width min (cm),leaf width max (cm),flowering time,leaf longevity,seed length (mm),seed width (mm),seed breadth (mm),seed shape
Alyxia,ruscifolia,Alyxia ruscifolia,perennial,shrub,,6,simple,ovate,1.8,4,0.7,1.3,dec-may,,,,,
Alyxia,spicata,Alyxia spicata,perennial,liana,,5,simple,ovate,3,9.5,1.8,3.6,dec-feb,,,,,
Amorphophallus,paeoniifolius,Amorphophallus paeoniifolius,perennial,herb,,1.5,simple,ovate,0,0,0,0,oct-dec,,,,,
Ampelocissus,acetosa,Ampelocissus acetosa,perennial,liana,,,compound,ovate,5,13,1,8,sep-mar,,,,,
Amyena,sanguineum,Amyena sanguineum,perennial,parasite,,,simple,ovate,6,25,1,2.5,oct-jan,,,,,
Amyena,thalassium,Amyena thalassium,perennial,parasite,,,simple,ovate,2.5,4.5,2.2,4,jan-sep,,,,,
Antiaris,toxicaria,Antiaris toxicaria,perennial,tree,,20,simple,ovate,9.5,18,3.8,8,jun-nov,deciduous,,,,
Antidesma,ghaesembilla,Antidesma ghaesembilla,perennial,tree,,10,simple,ovate,3.5,9.5,1.5,5,aug-dec,semi-deciduous,,,,
Antidesma,parvifolium,Antidesma parvifolium,perennial,tree,,3,simple,ovate,0.8,2.5,0.1,2.3,nov-jan,semi-deciduous,,,,
Atalaya,hemiglauca,Atalaya hemiglauca,perennial,tree,,6,simple,ovate,6,15,0.5,2,aug-sep,,,,,
Atalaya,variifolia,Atalaya variifolia,perennial,tree,,7,simple,ovate,7,23,1,2,may-oct,,,,,
Avicennia,marina,Avicennia marina,perennial,tree,,10,simple,ovate,6,11.5,1.7,3.5,oct-jan,,,,,
Bambusa,arnhemica,Bambusa arnhemica,perennial,grass,,20,simple,ovate,10,22,1.5,4,oct,,,,,
Banksia,dentata,Banksia dentata,perennial,tree,,7,simple,ovate,10,23,2.5,6,nov-may,,,,,
Barringtonia,acutangula,Barringtonia acutangula,perennial,tree,,8,simple,ovate,5,16,2,6,periodic,deciduous,,,,
Batis,argillicola,Batis argillicola,perennial,shrub,,0.7,simple,ovate,0.3,1.5,0.1,0.2,jul,,,,,
Blepharocarya,depauperata,Blepharocarya depauperata,perennial,tree,,13,compound,ovate,3.5,7,1.5,3.5,apr-jun,semi-deciduous,,,,
bombax,ceiba,bombax ceiba,perennial,tree,,20,compound,ovate,10,15,4,5,aug-oct,deciduous,,,,
Boronia,grandisepala,Boronia grandisepala,perennial,shrub,,0.5,simple,ovate,2.5,5,0.4,1,jan-jun,,,,,
Boronia,lanuginosa,Boronia lanuginosa,perennial,shrub,,1.5,simple,lobed,0,0,0,0,jan-aug,,,,,
Bossiaea,bossiaeoides,Bossiaea bossiaeoides,perennial,shrub,,2,,,0,0,0,0,dec-jun,,,,,
Brachychiton,diversifolius,Brachychiton diversifolius,perennial,tree,,15,simple,ovate,4.5,15,5,10.5,jun-oct,semi-deciduous,,,,
Brachychiton,paradoxum,Brachychiton paradoxum,perennial,tree,,3,simple,ovate,11,30,13.5,25,jun-oct,deciduous,,,,
Breynia,cernua,Breynia cernua,perennial,tree,,5,simple,ovate,3,8,1.8,5.5,periodic,,,,,
Bridelia,tomentosa,Bridelia tomentosa,perennial,tree,,5,simple,ovate,3.5,8.5,1,5,mar-may,semi-deciduous,,,,
Bruguiera,exaristata,Bruguiera exaristata,perennial,tree,,10,simple,ovate,4,10,2,5,may-nov,,,,,
Bruguiera,gymnorrhiza,Bruguiera gymnorrhiza,perennial,tree,,20,simple,ovate,8,20,3,9,periodic,,,,,
Bucchanania,arborescens,Bucchanania arborescens,perennial,tree,,15,simple,ovate,5,26,2,7,aug-oct,evergreen,,,,
Bucchanania,obovata,Bucchanania obovata,perennial,tree,,10,simple,ovate,5,25,1.5,10,jul-nov,deciduous,,,,
Buchnera,linearis,Buchnera linearis,perennial,tree,,1,simple,ovate,1,7,0.2,1.7,jan-jul,,,,,
Caesalpinia,bonduc,Caesalpinia bonduc,perennial,liana,,3,compound,ovate,1.7,4.6,0.8,2.4,jan-apr,,,,,
Calandrinia,uniflora,Calandrinia uniflora,annual,herb,,0.25,simple,ovate,3,10,0,0,jan-may,,,,,
Callitris,intratropica,Callitris intratropica,perennial,tree,,18,simple,ovate,0,0,0,0,periodic,,,,,
Calogyne,pilosa,Calogyne pilosa,annual,herb,,0.3,simple,ovate,1.7,9,0.5,1.5,jan-sep,,,,,
Calophyllum,inophyllum,Calophyllum inophyllum,perennial,tree,,20,simple,ovate,18,18,10,10,nov-feb,evergreen,,,,
Calophyllum,sil,Calophyllum sil,perennial,tree,,20,simple,ovate,8,16,3,5,apr-aug,evergreen,,,,
Calophyllum,soulattri,Calophyllum soulattri,perennial,tree,,15,simple,ovate,10,25,5,7.5,may-aug,evergreen,,,,
Calytrix,achaeta,Calytrix achaeta,perennial,shrub,,3,simple,ovate,0.1,0.3,0.1,0.1,jan-sep,,,,,
Calytrix,brownii,Calytrix brownii,perennial,shrub,,4,simple,ovate,0.2,1.1,0.1,0.1,feb-dec,,,,,
Calytrix,exstipulata,Calytrix exstipulata,perennial,shrub,,4,simple,ovate,0.2,0.2,0.1,0.1,may-aug,,,,,
Capparis,jacobsii,Capparis jacobsii,perennial,shrub,,3,simple,ovate,4,12,2.5,7.5,apr-may,,,,,
Capparis,umbonata,Capparis umbonata,perennial,tree,,7,simple,ovate,10,23,0.7,3,feb-dec,,,,,
Carallia,brachiata,Carallia brachiata,perennial,tree,,20,simple,ovate,5,15,2,10,jul-oct,,,,,
Carpentaria,acuminata,Carpentaria acuminata,perennial,palm,,30,palmate,,0,0,0,0,sep-jan,,,,,
Cartonema,spicatum,Cartonema spicatum,perennial,herb,,0.3,simple,ovate,15,25,0.4,0.7,jan-mar,,,,,
Cassia,leptoclada,Cassia leptoclada,perennial,shrub,,2,compound,ovate,2,4.4,0.9,2.8,jan-oct,,,,,
Cassytha,filiformis,Cassytha filiformis,perennial,parasite,,,simple,ovate,0,0,0,0,feb-may,,,,,
Casuarina,cunninghamiana,Casuarina cunninghamiana,perennial,tree,,20,articles,,0,0,0,0,,,,,,
Casuarina,equisetifolia,Casuarina equisetifolia,perennial,tree,,20,articles,,0,0,0,0,,,,,,
Cathormion,umbellatum,Cathormion umbellatum,perennial,tree,,7,compound,ovate,1.5,4,0.8,2.5,aug-oct,deciduous,,,,
Celtis,philippinensis,Celtis philippinensis,perennial,tree,,10,simple,ovate,4.5,10.5,2,6,oct-jan,semi-deciduous,,,,
Ceriops,tagal,Ceriops tagal,perennial,tree,,6,simple,ovate,3,9,1.5,6,jun-dec,,,,,
Choriceras,tricorne,Choriceras tricorne,perennial,shrub,,4,simple,ovate,2.5,6.5,1,3,oct-may,,,,,
Cleome,cleomoides,Cleome cleomoides,perennial,herb,,1,compound,ovate,6,6,1.5,1.5,jan-may,,,,,
Cleome,viscosa,Cleome viscosa,perennial,shrub,,1,compound,ovate,0.6,6,0.5,3,dec-jul,,,,,
Clerodendrum,floribundum,Clerodendrum floribundum,perennial,tree,,4,simple,ovate,6,17,3.5,13,periodic,,,,,
Clerodendrum,holtzei,Clerodendrum holtzei,perennial,herb,,0.25,simple,ovate,2,6,1,3,dec-apr,,,,,
Clerodendrum,inerme,Clerodendrum inerme,perennial,shrub,,3,simple,ovate,3.5,10,1.7,4,feb-sep,,,,,
Cochlospermum,fraseri,Cochlospermum fraseri,perennial,tree,,6,simple,ovate,5,10,7,15,may-oct,deciduous,,,,
Coelospermum,reticulatum,Coelospermum reticulatum,perennial,tree,,4,simple,ovate,5,9,3,8,aug-dec,,,,,
Coleus,scutellarioides,Coleus scutellarioides,perennial,herb,,1,simple,ovate,3,8.5,1.5,5,periodic,,,,,
Colocasia,esculenta,Colocasia esculenta,perennial,herb,,1.5,simple,orbicular,9,30,9,23,jan-apr,,,,,
Cordia,subcordata,Cordia subcordata,perennial,tree,,15,simple,ovate,8,20,5,15,feb-jun,,,,,
Corypha,elata,Corypha elata,perennial,tree,,20,palmate,,0,0,0,0,aug-oct,,,,,
Crateva,religiosa,Crateva religiosa,perennial,tree,,4,compound,ovate,5.5,18,2.5,7,aug-nov,,,,,
Crinum,angustifolium,Crinum angustifolium,perennial,herb,,1,simple,linear,45,100,2,6,oct-feb,,,,,
Crinum,uniflorum,Crinum uniflorum,perennial,herb,,0.5,simple,linear,10,40,0.1,0.2,nov-feb,,,,,
Crotolaria,novae-hollandiae,Crotolaria novae-hollandiae,perennial,shrub,,1,simple,ovate,3.5,8,1.5,3.5,feb-oct,,,,,
Croton,argyratus,Croton argyratus,perennial,tree,,3,simple,ovate,6,11.5,4,9,nov-feb,,,,,
Croton,arnhemicus,Croton arnhemicus,perennial,tree,,5,simple,orbicular,4.5,20,4.5,20,sep-dec,deciduous,,,,
Cryptocarya,cunninghamii,Cryptocarya cunninghamii,perennial,tree,,15,simple,ovate,8.5,17,4,7,aug-oct,evergreen,,,,
Cupaniopsis,anacardioides,Cupaniopsis anacardioides,perennial,tree,,10,compound,ovate,4.5,19,1.5,7.5,jul-sep,,,,,
Curcuma,australasica,Curcuma australasica,perennial,herb,,0.45,simple,ovate,25,45,9,15,nov-apr,,,,,
Cycas,angulata,Cycas angulata,perennial,cycad,,10,compound,linear,7,17,0.4,0.6,,,,,,
Cycas,armstrongii,Cycas armstrongii,perennial,cycad,,4,compound,linear,7,14,0.5,0.7,,deciduous,,,,
Cycas,calcicola,Cycas calcicola,perennial,cycad,,3,compound,linear,7,12,0.2,0.3,,,,,,
Cymbidium,canaliculatum,Cymbidium canaliculatum,perennial,herb,,,simple,ovate,10,50,2,4,aug-jan,,,,,
Dendrobium,affine,Dendrobium affine,perennial,herb,,0.5,simple,linear,7.5,20,0.5,3,may-oct,deciduous,,,,
Dendrobium,canaliculatum,Dendrobium canaliculatum,perennial,herb,,0.3,simple,linear,10,30,0.5,1.2,jun-oct,,,,,
Dendrophthoe,odontocalyx,Dendrophthoe odontocalyx,perennial,herb,,,simple,linear,4,10,1,3.5,apr-nov,,,,,
Denhamia,obscura,Denhamia obscura,perennial,tree,,10,simple,ovate,5,12,1.5,4,jul-sep,,,,,
Dentella,dioeca,Dentella dioeca,perennial,herb,,0.3,simple,linear,0.7,1.5,0,0,nov-feb,evergreen,,,,
Desmodium,heterocarpum var. strigosum,Desmodium heterocarpum var. strigosum,perennial,herb,1,2,compound,ovate,3,7.5,1.5,3.7,mar-apr,evergreen,,,,
Dillenia,alata,Dillenia alata,perennial,tree,,10,simple,ovate,13,20,7,11.5,oct-jan,evergreen,,,,
Diospyros,compacta,Diospyros compacta,perennial,tree,4,6,simple,ovate,4,9,2,5,oct-dec,evergreen,,,,
Diospyros,maritima,Diospyros maritima,perennial,tree,5,8,simple,ovate,8,20,4,9,jan-mar,evergreen,,,,
Dipodium,stenochilum,Dipodium stenochilum,perennial,herb,0.5,2,leafless,,0,0,0,0,oct-apr,,,,,
Distichostemon,hispidulus,Distichostemon hispidulus,perennial,shrub,,2,simple,ovate,1.5,9,0.8,3.4,ephemeral,evergreen,,,,
Dodonaea,platyptera,Dodonaea platyptera,perennial,tree,4,7,simple,ovate,5,12,1.5,3.5,nov-feb,evergreen,,,,
Dolichandrone,filiformis,Dolichandrone filiformis,perennial,tree,5,6,compound,linear,1,2.7,0.3,0.3,jul-dec,evergreen,,,,
Dracaena,angustifolia,Dracaena angustifolia,perennial,shrub,1,5,simple,linear,15,30,1.2,2.5,jun-oct,evergreen,,,,
Drosera,indica,Drosera indica,perennial,herb,0.2,0.5,simple,linear,5,10,0.5,1,jan-aug,evergreen,,,,
Drosera,petiolaris,Drosera petiolaris,perennial,herb,0.04,0.12,simple,orbicular,0.5,0.5,0.5,0.5,ephemeral,evergreen,,,,
Drypetes,lasiogyna,Drypetes lasiogyna,perennial,tree,5,7,simple,ovate,3.5,13,2,5,apr-nov,evergreen,,,,
Dysoxylum,oppositifolium,Dysoxylum oppositifolium,perennial,tree,5,15,compound,ovate,6,18,2.5,6,aug-feb,evergreen,,,,
Elaeocarpus,arnhemicus,Elaeocarpus arnhemicus,perennial,tree,5,15,simple,ovate,5,11,2.5,5,mar-aug,evergreen,,,,
Emmenosperma,cunninghamii,Emmenosperma cunninghamii,perennial,tree,3,5,simple,ovate,6,11,4,6,feb-mar,evergreen,,,,
Ervatamia,orientalis,Ervatamia orientalis,perennial,shrub,1,3,simple,ovate,8,22.5,3.5,7,sep-may,evergreen,,,,
Ervatamia,pubescens,Ervatamia pubescens,perennial,shrub,1,4,simple,elliptical,6.5,20,4,7,jan-may,evergreen,,,,
Erythrina,variegata var. orientalis,Erythrina variegata var. orientalis,perennial,tree,5,10,simple,elliptical,3.5,15,4,16.5,jul-nov,deciduous,,,,
Erythrophleum,chlorostachys,Erythrophleum chlorostachys,perennial,tree,12,18,compound,elliptical,3.5,6.5,2.5,6,aug-nov,semi-deciduous,,,,
Erythroxylum,elliipticum,Erythroxylum elliipticum,perennial,tree,4,10,simple,elliptical,3.5,8,1.5,4,oct-feb,semi-deciduous,,,,
Eucalyptus,alba,Eucalyptus alba,perennial,tree,5,10,simple,elliptical,5.5,11,2.5,6.5,jun-sep,evergreen,,,,
Eucalyptus,apodophylla,Eucalyptus apodophylla,perennial,tree,10,18,simple,elliptical,6,16.5,3.5,6.5,jul-oct,evergreen,,,,
Eucalyptus,arnhemensis,Eucalyptus arnhemensis,perennial,tree,,12,simple,elliptical,9,15,0.9,2.5,feb-apr,evergreen,,,,
Euodia,elleryana,Euodia elleryana,perennial,tree,10,20,compound,elliptical,8.5,20,4,9,nov-dec,evergreen,,,,
Euphorbia,vachellii,Euphorbia vachellii,perennial,herb,,0.3,simple,elliptical,1.7,5.3,0.2,1.3,ephemeral,evergreen,,,,
Evolvulus,alsinoides,Evolvulus alsinoides,perennial,herb,,0.5,simple,linear,1,2.5,0.2,1,ephemeral,evergreen,,,,
Exocarpus,latifolius,Exocarpus latifolius,perennial,tree,3,5,simple,elliptical,2.5,10,2,8,apr-dec,evergreen,,,,
Fagraea,racemosa,Fagraea racemosa,perennial,tree,4,10,simple,elliptical,11,20,5,10,ephemeral,evergreen,,,,
Ficus,benjamina,Ficus benjamina,perennial,tree,10,15,simple,elliptical,5,12.5,2,4.5,aug-oct,evergreen,,,,
Ficus,coronulata,Ficus coronulata,perennial,tree,5,10,simple,elliptical,12,25,2,4.8,,evergreen,,,,
Ficus,hispida,Ficus hispida,perennial,tree,4,10,simple,elliptical,12,35,6,15,,evergreen,,,,
Ficus,opposita,Ficus opposita,perennial,tree,3,8,simple,elliptical,3,11,2.5,5.5,,semi-deciduous,,,,
Ficus,platypoda,Ficus platypoda,perennial,tree,,6,simple,elliptical,6,10,1,7,,evergreen,,,,
Ficus,racemosa,Ficus racemosa,perennial,tree,12,15,simple,elliptical,7,22,3,9,,evergreen,,,,
Ficus,scobina,Ficus scobina,perennial,tree,3,8,simple,elliptical,4,12,1,6,,evergreen,,,,
Ficus,virens,Ficus virens,perennial,tree,15,30,simple,elliptical,6,14,4,8,,deciduous,,,,
Flagellaria,indica,Flagellaria indica,perennial,vine,,,simple,linear,8,20,0.7,2,ephemeral,evergreen,,,,
Flueggea,virosa,Flueggea virosa,perennial,shrub,1,2,simple,elliptical,3.5,8.5,2.5,5.5,oct-feb,evergreen,,,,
Ganophyllum,falcatum,Ganophyllum falcatum,perennial,tree,10,25,compound,elliptical,3,9.5,1.5,5,oct-jan,evergreen,,,,
Gardenia,fucata,Gardenia fucata,perennial,tree,3,4,simple,elliptical,3,6,0.8,1.8,sep-feb,evergreen,,,,
Gardenia,megasperma,Gardenia megasperma,perennial,tree,3,6,simple,elliptical,9,18,6,13,jun-nov,evergreen,,,,
Gardenia,suffruticosa,Gardenia suffruticosa,perennial,herb,,,simple,elliptical,5,12,1.5,2.8,sep-nov,evergreen,,,,
Glochidion,xerocarpum,Glochidion xerocarpum,perennial,tree,3,7,simple,elliptical,3.5,11.2,2,5,jan-mar,semi-deciduous,,,,
Gmelina,schlechteri,Gmelina schlechteri,perennial,tree,10,20,simple,elliptical,12,25,10,20,sep-nov,deciduous,,,,
Goodenia,armstrongiana,Goodenia armstrongiana,annual,herb,0.3,0.5,simple,elliptical,1,3.5,0.2,1,feb-aug,evergreen,,,,
Goodenia,cirrifica,Goodenia cirrifica,perennial,herb,0.25,0.6,simple,elliptical,1,6,0.1,0.3,jan-jun,evergreen,,,,
Gossypium,australe,Gossypium australe,perennial,shrub,1,2,simple,elliptical,3,7.5,2,5,feb-oct,evergreen,,,,
Grevillea,agrifolia,Grevillea agrifolia,perennial,tree,2,4,simple,elliptical,7,12.5,4,7.5,mar-jul,evergreen,,,,
Grevillea,angulata,Grevillea angulata,perennial,shrub,1,4,simple,elliptical,3.5,15,1.5,4.5,ephemeral,evergreen,,,,
Grevillea,benthamiana,Grevillea benthamiana,perennial,tree,2,4,simple,lobed,,,,,mar-nov,evergreen,,,,
Grevillea,orientalis,Grevillea orientalis,perennial,tree,3,5,simple,elliptical,5,16,1,4,nov-apr,evergreen,,,,
Grevillea,dimidiata,Grevillea dimidiata,perennial,tree,2,4,simple,elliptical,12,20,2,5.5,jun-oct,evergreen,,,,
Grevillea,dryandri,Grevillea dryandri,perennial,shrub,0.5,2,simple,lobed,,,,,jan-may,evergreen,,,,
Grevillea,erythroclada,Grevillea erythroclada,perennial,tree,4,7,simple,linear,9,40,0.1,0.1,jul-aug,evergreen,,,,
Grevillea,formosa,Grevillea formosa,perennial,shrub,,0.5,simple,linear,4,10,3,3,dec-may,evergreen,,,,
Grevillea,goodii,Grevillea goodii,perennial,shrub,,,simple,elliptical,8,17,2,6,nov-apr,evergreen,,,,
Grevillea,heliosperma,Grevillea heliosperma,perennial,tree,5,10,simple,elliptical,5,12,0.6,2,may-sep,evergreen,,,,
Grevillea,longicuspis,Grevillea longicuspis,perennial,shrub,0.3,1,simple,elliptical,3.5,6.5,3,4,apr-dec,evergreen,,,,
Grevillea,mimosoides,Grevillea mimosoides,perennial,tree,3,5,simple,elliptical,15,25,1,2.5,apr-sep,evergreen,,,,
Grevillea,parallela,Grevillea parallela,perennial,tree,3,7,simple,linear,15,30,,,jun-oct,evergreen,,,,
Grevillea,polyacida,Grevillea polyacida,perennial,shrub,1,2,simple,elliptical,4,9.5,3,7.5,mar-oct,evergreen,,,,
Grevillea,pteridifolia,Grevillea pteridifolia,perennial,tree,5,8,simple,lobed,7,30,0.1,0.5,may-oct,evergreen,,,,
Grevillea,pungens,Grevillea pungens,perennial,shrub,1,2.5,simple,elliptical,1.6,6,1.5,2.5,sep-nov,evergreen,,,,
Grevillea,pyramidalis,Grevillea pyramidalis,perennial,tree,3,5,simple,lobed,10,27,0.1,0.6,jun-oct,evergreen,,,,
Grevillea,refracta,Grevillea refracta,perennial,tree,3,5,simple,lobed,,,,,ephemeral,evergreen,,,,
Grevillea,rubicunda,Grevillea rubicunda,perennial,shrub,0.5,1,simple,lobed,3,6,0.2,0.3,dec-jun,evergreen,,,,
Grevillea,striata,Grevillea striata,perennial,tree,5,9,simple,lobed,10,35,0.6,0.8,oct-nov,evergreen,,,,
Grevillea,wickhamii,Grevillea wickhamii,perennial,tree,2,4,simple,elliptical,3,7,3.5,6,may-aug,evergreen,,,,
Grewia,breviflora,Grewia breviflora,perennial,tree,3,8,simple,elliptical,3.5,8,2,4.5,sep-dec,evergreen,,,,
Grewia,multiflora,Grewia multiflora,perennial,shrub,1,2,simple,orbicular,6,13.5,4.5,11,jul-nov,evergreen,,,,
Grewia,retusifolia,Grewia retusifolia,perennial,shrub,,1.5,simple,orbicular,6.5,12,2,4,nov-feb,evergreen,,,,
Gronophyllum,ramsayi,Gronophyllum ramsayi,perennial,palm,15,30,simple,palm,30,90,2,5,jul-oct,evergreen,,,,
Guettarda,speciosa,Guettarda speciosa,perennial,tree,3,6,simple,elliptical,10,25,7,24,ephemeral,deciduous,,,,
Gymnanthera,nitida,Gymnanthera nitida,perennial,liana,,,simple,elliptical,4.5,13,1.2,6,dec-jul,evergreen,,,,
Gyrocarpus,americanus,Gyrocarpus americanus,perennial,tree,6,12,simple,orbicular,8,15,8,15.5,nov-mar,deciduous,,,,
Habenaria,eurystoma,Habenaria eurystoma,perennial,herb,,0.4,simple,,2.5,10,0.5,0.7,nov-feb,evergreen,,,,
Haemodorum,coccineum,Haemodorum coccineum,perennial,herb,,1,simple,linear,45,75,0.2,1,oct-may,evergreen,,,,
Hakea,arborescens,Hakea arborescens,perennial,tree,3,6,simple,linear,7,18,0.5,1.3,nov-mar,evergreen,,,,
Helichrysum,bracteatum,Helichrysum bracteatum,perennial,herb,0.3,0.5,simple,linear,3.5,13,0.5,1.5,aug-oct,evergreen,,,,
Helicia,australasica,Helicia australasica,perennial,tree,5,10,simple,elliptical,10,18.6,3.5,6.5,aug-dec,evergreen,,,,
Helicteres,isora,Helicteres isora,perennial,shrub,2,3,simple,elliptical,8,15,4.5,11.5,dec-apr,evergreen,,,,
Heliotropium,bracteatum,Heliotropium bracteatum,perennial,herb,0.25,0.5,simple,elliptical,0.4,2.8,0.1,0.7,feb-jun,evergreen,,,,
Heliotropium,ventricosum,Heliotropium ventricosum,annual,herb,0.15,0.25,simple,elliptical,0.7,2,0.1,0.1,nov-mar,,,,,
Hibbertia,dealbata,Hibbertia dealbata,perennial,shrub,0.5,1.5,simple,linear,2,9,0.5,2,apr-sep,evergreen,,,,
Hibbertia,tasmanica,Hibbertia tasmanica,annual,shrub,,0.3,simple,elliptical,3.5,8,1,4.7,nov-apr,evergreen,,,,
Hibiscus,leptocladus,Hibiscus leptocladus,annual,shrub,,1,simple,elliptical,2.5,8,0.7,4.5,ephemeral,,,,,
Hibiscus,menzeliae,Hibiscus menzeliae,perennial,shrub,1.5,3,simple,elliptical,7,12.5,4.5,12,oct-mar,,,,,
Hibiscus,meraukensis,Hibiscus meraukensis,annual,shrub,1,2,simple,elliptical,10,18,2.5,8.5,mar-may,,,,,
Hibiscus,panduriformis,Hibiscus panduriformis,perennial,shrub,1,2,simple,elliptical,3,9,3.5,7,apr-sep,evergreen,,,,
Hibiscus,tiliaceus,Hibiscus tiliaceus,perennial,tree,5,8,simple,orbicular,8,14,7.5,12.5,ephemeral,evergreen,,,,
Horsfeldia,australiana,Horsfeldia australiana,perennial,tree,10,15,simple,elliptical,16,23,4.5,7,aug-oct,evergreen,15,,,
Hydriastele,wendlandiana,Hydriastele wendlandiana,perennial,palm,10,15,simple,palm,20,50,2.5,10,jul-nov,evergreen,,,,
Hypoestes,floribunda,Hypoestes floribunda,perennial,herb,0.5,1,simple,elliptical,2,16.5,1,5.3,mar-sep,evergreen,,,,
Ilex,arnhemensis,Ilex arnhemensis,perennial,tree,7,15,simple,elliptical,7.5,13.5,2.5,6.5,jul-oct,evergreen,,,,
Ipomoea,abrupta,Ipomoea abrupta,perennial,liana,,,simple,orbicular,4.5,11,3.5,9,nov-mar,deciduous,,,,
Ipomoea,aquatica,Ipomoea aquatica,perennial,vine,,,simple,elliptical,4.5,12,1.6,6,mar-sep,evergreen,,,,
Ipomoea,pes-caprae,Ipomoea pes-caprae,perennial,vine,,,simple,orbicular,4.5,12,4,12,ephemeral,deciduous,,,,
Ixora,klanderana,Ixora klanderana,perennial,tree,1.5,9,simple,elliptical,9,23,3.5,11.5,jun-oct,evergreen,,,,
Ixora,tomentosa,Ixora tomentosa,perennial,tree,1.5,5,simple,elliptical,7.5,14.5,3,7,sep-dec,evergreen,,,,
Jacksonia,dilatata,Jacksonia dilatata,perennial,tree,2,4,simple,elliptical,4,12,0.6,2,jun-oct,evergreen,,,,
Jacquemontia,paniculata,Jacquemontia paniculata,perennial,vine,,,simple,elliptical,3.5,9.5,1.5,6,mar-oct,evergreen,,,,
Jasminum,aemulum,Jasminum aemulum,perennial,liana,2,10,simple,elliptical,4,8,2,5,oct-dec,evergreen,,,,
Jasminum,didymum,Jasminum didymum,perennial,liana,3,15,compound,elliptical,3,10,1.5,6.5,feb-oct,evergreen,,,,
Leea,rubra,Leea rubra,perennial,shrub,1,3,compound,elliptical,6.5,20,3.5,7,sep-apr,evergreen,,,,
Leptospermum,longifolium,Leptospermum longifolium,perennial,tree,3,5,simple,linear,4,7,0.2,0.5,jul-nov,evergreen,,,,
Litsea,glutinosa,Litsea glutinosa,perennial,tree,10,15,simple,elliptical,8.5,20,3.5,8.5,nov-jan,deciduous,,,,
Livistona,benthamii,Livistona benthamii,perennial,palm,10,15,simple,palm,100,150,100,150,may-aug,evergreen,,,,
Livistona,humilis,Livistona humilis,perennial,palm,2,5,simple,palm,30,50,,,sep-may,evergreen,,,,
Livistona,inermis,Livistona inermis,perennial,palm,5,8,simple,palm,45,60,,,may-feb,evergreen,,,,
Livistona,rigida,Livistona rigida,perennial,palm,10,20,simple,palm,100,150,100,150,aug-sep,evergreen,,,,
Lobelia,dioica,Lobelia dioica,perennial,herb,0.05,0.25,simple,elliptical,0.7,2.5,0.3,0.7,apr-aug,evergreen,,,,
Lophopetalum,arnhemicum,Lophopetalum arnhemicum,perennial,tree,8,15,simple,elliptical,6,17,1.5,3.5,aug-nov,evergreen,37.5,,,
Lophostemon,grandiflorus,Lophostemon grandiflorus,perennial,tree,10,18,simple,elliptical,8,15.5,3.5,5,oct-feb,evergreen,,,,
Lophostemon,lactifluus,Lophostemon lactifluus,perennial,tree,7,15,simple,elliptical,8,17,3.5,10,aug-dec,evergreen,,,,
