Taxa,Tree,Forb,Gram,Terrestrial,Tda,Tdr,Amphibious,Native nonweed,Native,Native weed,Exotic,Perennial,Biennial,Annual,clonality,stolons,rhizomes,prostrate/decumbent,plant height min (m),Plant height max (m),Seed mass (g),Dispersal,dispersal 2,dispersal 3,Leaf size (cm^2),SLA (mm2/mg),Mass per leaf (g)
Carex gaudichaudiana,,,1,,,,1,1,1,,,1,,,1,,1,,0.1,0.9,0.93,,,,32.27133333,17.67323841,0.1826
Carex inversa,,,1,1,,1,,,1,1,,1,,,1,,1,,0.1,0.5,0.37,,,,1.406,11.1,0.0127
Carex tereticaulis,,,1,,,,1,1,1,,,1,,,1,,1,,0.4,1.2,1.46,,,,22.592,2.559130041,0.8828
Centella cordifolia,,1,,1,1,,,1,1,,,1,,,1,1,,1,,0.2,0.0049,Water,,,12.33833333,22.81355932,0.0541
Centipeda cunninghamii,,1,,,,,1,,1,1,,1,,,0,,,,,0.2,0.05,,,,0.577333333,21.65,0.0027
Cirsium vulgare,,1,,1,,1,,,,,1,,1,,0,,,,,1.5,2.9,wind,,,,9.99780569,
Conyza bonariensis,,1,,1,1,,,,,,1,,,1,0,,,,,1,0.1,wind,,,0.785,11.71641791,0.0067
Conyza sumatrensis,,1,,1,1,,,,,,1,,,1,0,,,,,2,0.04,,,,7.149,12.85020971,0.0556
Cuscuta campestris cf,,1,,1,,1,,,,,1,,,1,,,,1,,0.5,0.84,,,,,,
Cynodon dactylon,,,1,1,,1,,,,,1,1,,,1,1,1,,,0.3,0.2,wind,unassisted,,0.525333333,9.270588235,
Cynosurus echinatus,,,1,1,,1,,,,,1,,,1,0,,,,,1,1.46,,,,,,
Cyperus eragrostis,,,1,,,,1,,,,1,1,,,1,,1,,0.25,0.9,0.13,,,,10.58466667,14.34236676,0.0738
Cyperus exaltatus cf,,,1,,,,1,1,1,,,1,,,1,,1,,1,1.8,0.07,,,,,13.92600065,
Cyperus fulvus cf,,,1,,,,1,1,1,,,1,,,1,,1,,0.25,0.5,0.35,,,,,13.92,
Cyperus gunnii,,,1,,,,1,1,1,,,1,,,1,,1,,,1.5,0.19,,,,,13.92,
Cyperus sp. 1,,,1,1,1,,,,,,,1,,,,,,,,1.2,0.35,,,,50.83,13.50963455,
Deyeuxia sp. 1,,,1,1,,,,,,,,,,,,,,,,0.5,0.3,,,,1.231666667,18.475,
Dichondra repens,,1,,1,,1,,1,1,,,1,,,1,1,,,,0.1,0.0025,,,,145.868,24.90429268,
Dysphania littoralis cf,,1,,1,,,,,,,,,1,1,,,,1,,0.1,,,,,,,
Echium plantagineum,,1,,1,,1,,,,,1,,,1,,,,,,1.2,4.2,,,,,12.52201652,
Eclipta platyglossa,,1,,1,1,,,,1,1,,,1,1,1,1,,1,,0.3,6.92308e-4,water,,,,26.27781818,
Elatine gratioloides,,1,,,,,1,1,1,,,,,1,1,1,,1,,0,0.05,,,,,,
Eleocharis acuta,,,1,,,,1,1,1,,,1,,,1,,1,,0.1,0.6,0.56,,,,8.75,7.109967497,0.1231
Eleocharis atricha,,,1,,,,1,1,1,,,1,,,1,,1,,0.03,0.4,0.59,,,,,7.109967497,
Elymus scaber var. scaber,,,1,1,,1,,1,1,,,1,,,,,,,,1.1,5.54,,,,,,
Epilobium hirtigerum,,1,,1,1,,,1,1,,,1,,,1,1,,,,1.2,0.07,wind,,,1.158571429,21.91891892,0.0053
Eragrostis sp. 1,,,1,1,,1,,1,1,,,,,,,,,,,0.6,0.09,,,,0.882,15.38372093,
Eucalyptus camaldulensis,1,,,1,1,,,,1,1,,1,,,,,,,,30,2.4,wind,unassisted,,,5.08910357,
Euchiton sphaericus,,1,,1,,1,,,1,1,,,,1,,,,,0.05,0.5,0.033,,,,1.784,13.86528497,
Eulalia aurea,,,1,1,1,,,1,1,,,1,,,1,,1,,,1,0.25,animal,,,1.979333333,14.48292683,0.0137
Galium aparine,,1,,1,,1,,,,,1,,,1,,,,1,,1.5,8.9,animal,,,,,
Geranium sp. 1,,,,1,,,,,,,,1,,1,,,,,,0.4,4.33,Methods originating from parent plant or diaspore; Explosive mechanism;,,,,,
Gratiola peruviana,,1,,,,,1,1,1,,,1,,,0,,,,0.1,0.3,0.02,,,,,,
Gratiola pubescens,,1,,,,,1,1,1,,,1,,,,,,,0.025,0.2,0.01,,,,,,
Hemarthria uncinata var. uncinata,,,1,1,1,,,1,1,,,1,,,,,,,,1,,,,,,,
Hydrocotyle sibthorpioides,,1,,,,,1,,1,1,,1,,,1,1,,1,,0.1,0.44,,,,,43.63591176,
Hypochaeris glabra,,1,,1,,1,,,,,1,,,1,0,,,,0.1,0.4,0.69,wind,,,31.49266667,24.71951858,0.1274
Hypochaeris radicata,,1,,1,,1,,,,,1,,,1,0,,,,0.15,0.8,0.8,wind,,,16.945,25.4047976,0.0667
Isotoma fluviatalis subsp. australis,,1,,,,,1,1,1,,,1,,,1,1,,1,,0.1,0.04,,,,,35.60466667,
Juncus acuminatus,,,1,1,1,,,,,,1,1,,,1,,1,,0.25,0.6,0.04,,,,,3.209876928,
Juncus aridicola,,,1,1,1,,,,1,1,,1,,,1,,1,,0.55,1.2,5e-5,,,,14.35833333,2.675465839,0.5367
Juncus flavidus,,,1,1,1,,,1,1,,,1,,,1,,1,,0.25,0.9,5e-5,,,,7.623333333,4.160703457,0.1832
Juncus fockei,,,1,,,,,,,,,1,,,1,,1,,0.08,0.5,0.01,,,,,3.21,
Juncus gregiflorus,,,1,1,1,,,1,1,,,1,,,1,,1,,1.1,3,5e-5,,,,6.531153846,3.319194683,0.1899
Juncus holoschoenus,,,1,1,1,,,1,1,,,1,,,1,,1,,0.25,0.8,0.04,,,,,3.21,
Juncus ingens,,,1,,,,1,1,1,,,1,,,1,,1,,1.2,4,0.001,,,,,1.862274628,
Juncus sp. 1,,,1,1,1,,,1,1,,,1,,,1,,1,,,1.1,0.07,animal??,,,,3.21,
Juncus subsecundus,,,1,1,1,,,,1,1,,1,,,1,,1,,0.25,0.7,0.01,wind,,,,3.21,
Juncus usitatus,,,1,1,1,,,,1,1,,1,,,1,,1,,0.4,1.1,0.01,wind,,,5.08,4.031746032,0.126
Lachnagrostis filiformis var. 1,,,1,,,,1,1,1,,,1,,1,,,,,,0.7,0.14,,,,0.62,20.10810811,
Lactuca saligna,,1,,1,,1,,,,,1,,1,1,,,,,0.3,1,0.57,,,,,23.64802152,
Lactuca serriola,,1,,1,,1,,,,,1,,1,,,,,,1,2,0.58,wind,,,,23.64802152,
Lemna disperma,,1,,,,,1,1,1,,,,,,1,,,,,0,0.07,animal,water,,,38.4285,
Limosella australis,,1,,,,,1,1,1,,,1,,,1,1,,,0.01,0.1,0.05,,,,,,
Lobelia concolor,,1,,1,1,,,1,1,,,1,,,0,,,,,1.1,0.073,,,,,,
Lolium perenne,,,1,1,1,,,,,,1,,1,1,,,,,,0.8,2,,,,,,
Lotus angustissimus,,1,,1,1,,,,,,1,1,,1,,,,,0.08,0.4,0.41,,,,,20.451,
Lotus uliginosus,,1,,1,1,,,,,,1,1,,,1,,1,,0.2,0.8,1,,,,,27.1425102,
Ludwigia palustris,,1,,,,,1,,,,1,1,,,1,1,,,,0.2,0.04,water,,,,26.08091139,
Ludwigia peploides subsp. montevidensis,,1,,,,,1,,,,1,1,,,1,1,,1,,0.1,0.07,water,,,7.795333333,29.01488834,
Lycopus australis,,1,,1,1,,,1,1,,,1,,,1,,1,,,1.5,0.49,,,,24.67466667,14.8048,0.1667
Lythrum hyssopifolia,,1,,1,1,,,,1,1,,,,1,,,,1,,0.5,0.5,,,,0.451333333,26.03846154,0.0017
Marsilea drummondii,,1,,,,,1,1,1,,,,,,1,,1,1,,0.3,0.01,,,,,32.55139535,
Mentha pulegium,,1,,1,1,,,,,,1,1,,,1,1,1,,,0.4,0.1,,,,,17.68426724,
Mentha sp. 1,,1,,1,1,,,1,1,,,,,,,,,,,0.5,0.1,,,,9.653529412,17.68426724,
Microlaena stipoides var. stipoides,,,1,1,,1,,1,1,,,1,,,1,,1,,,0.7,4.97,,,,1.76,4.471869328,0.0394
Mollugo verticillata,,1,,1,,1,,,1,1,,,,1,,,,,,0.3,0.09,,,,2.258,15.90140845,0.0142
Myriophyllum crispatum,,1,,,,,1,,1,1,,1,,,1,1,,1,,0.1,0.88,,,,,34.018,
Myriophyllum papillosum,,1,,,,,1,1,1,,,1,,,1,1,,1,,0.1,0.88,,,,,34.018,
Nymphoides crenata,,1,,,,,1,1,1,,,1,,,1,1,,,,2,0.61,water,animal,,,,
Oplismenus sp. 1 cf (O. aemulus),,,1,1,,1,,1,1,,,1,,,,,,,,0.3,0.89,,,,,,
Ottelia ovalifolia subsp. ovalifolia,,1,,,,,1,1,1,,,1,,1,,,,,,1,0.22,,,,,24.56871716,
Oxalis perennans,,1,,1,1,,,,,,1,,,1,,,,1,,0.5,6.6,wind,,,,32.4206625,
Paspalidium jubiflorum,,,1,1,,1,,1,1,,,1,,,,,,,,1.3,0.685,,,,,,
Paspalum dilatatum,,,1,1,,1,,,,,1,1,,,,,,,,2,1.5,animal,,,25.75466667,14.733791,0.1748
Paspalum distichum,,,1,,,,1,,1,1,,1,,,1,,1,,,0.5,1.51,,,,2.960666667,26.91515152,0.011
Persicaria attenuata,,1,,1,1,,,1,1,,,1,,,1,1,,,0.6,1.5,3.32,,,,,24.87567027,
Persicaria decipiens,,1,,,,,1,1,1,,,1,,,1,1,,,0.3,1,1.07,,,,,33.65379988,
Persicaria filiformis,,1,,1,1,,,,,,1,1,,,1,1,,,0.4,1.2,2.08,unassisted,,,,24.88,
Persicaria hydropiper,,1,,,,,1,,,,1,1,,,1,1,,,0.5,1.5,2.032,,,,12.42266667,18.23287671,
Persicaria lapathifolia,,1,,,,,,,,,,1,,,1,1,,,0.5,1.8,1.54,,,,42.418,22.38023215,0.1895
Persicaria praetermissa,,1,,1,1,,,1,1,,,1,,,,1,,1,0.05,1,3.53,,,,,24.88,
Persicaria prostrata,,1,,,,,1,1,1,,,1,,,1,1,1,1,0.05,0.1,1.2,,,,4.138666667,25.23577236,0.0164
Phalaris aquatica,,,1,1,,1,,,,,1,1,,,1,,1,,,1.5,1.66,,,,,21.66905225,
Phalaris minor,,,1,1,,1,,,,,1,,,1,,,,,,1.8,1.71,,,,6.16125,23.36018957,0.0264
Phragmites australis,,,1,,,,1,,1,1,,1,,,1,,1,,,6,0.11,water,wind,animal,47.25333333,10.01129944,0.48775
Plantago lanceolata,,1,,1,,1,,,,,1,,1,1,,,,,0.08,0.2,1.3,animal,wind,,36.36666667,13.81012658,0.2633
Poa labillardierei var. labillardierei,,,1,1,1,,,1,1,,,1,,,,,,,,1.2,0.3,,,,3.154666667,4.607594937,0.0685
Polygonum aviculare,,1,,1,,1,,,,,1,1,,1,1,1,,1,0.02,0.1,1.3,unassisted,,,1.031176471,21.64197531,0.0048
Polypogon monspieliensis,,,1,1,1,,,,,,1,,,1,,,,,,0.8,0.1,,,,,,
Potamogeton sulcaltus,,1,,,,,1,1,1,,,1,,,1,,1,,,4,1.94,,,,,,
Prunus cerasifera cv. atropurpea,1,,,1,,1,,,,,1,1,,,,,,,,8,,,,,,,
Pseudognaphalium luteoalbum,,1,,1,1,,,1,1,,,,,1,,,,,,0.5,0.1,,,,1.0725,21.45,0.005
Pseudoraphis spinescens,,,1,,,,1,1,1,,,1,,,1,1,,,1,10,1.51,,,,3.061333333,23.30964467,0.0131
Ranunculus inundatus,,1,,,,,1,1,1,,,1,,,,,,,0.07,0.3,0.2,,,,,13.96933738,
Ranunculus sceleratus subsp. sceleratus,,1,,1,1,,,,,,1,,,1,,,,,0.2,0.6,0.2,water,,,,13.96933738,
Ricciocarpus natans,,1,,,,,1,1,1,,,,,,,,,1,,0,,,,,,36.217,
Rorippa palustris,,1,,1,1,,,,,,1,,1,1,1,1,,,0.2,1,0.07,,,,10.64,31.62632696,0.0336
Rubus fruticosus agg.,1,,,1,,1,,,,,1,1,,,1,1,,1,,2,2.89,animal,,,,13.38572444,
Rumex brownii,,1,,1,1,,,,1,1,,1,,,,,,,0.5,0.8,1.5,,,,7.815833333,17.36851852,0.045
Rumex conglomeratus,,1,,1,,1,,,,,1,1,,,,,,,0.3,1.5,1.5,wind,water,,,17.2508989,
Rumex crispus,,1,,1,1,,,,,,1,1,,,,,,,0.5,1.5,1.5,wind,,,,19.45110225,
Rumex pulcher subsp. pulcher,,1,,1,,1,,,,,1,1,,,,,,,0.2,0.6,2.1,,,,,17.25,
Rumex sp. 1,,1,,1,,1,,1,1,,,1,,,,,,,,1.1,1.77,,,,8.925384615,14.93307593,
Rumex sp. 2,,1,,1,,1,,1,1,,,1,,,,,,,,1.1,1.77,,,,,17.25,
Sagittaria platyphylla,,1,,,,,1,,,,1,1,,,1,,1,,0.5,1,0.69,water,animal,,,,
Salix x rubens,1,,,1,1,,,,,,1,1,,,,,,,,16,0.164,,,,,,
Senecio quadridentatus,,1,,1,,1,,1,1,,,1,,,,,,,0.4,1,0.173,wind,,,,,
Senecio tenuiflorus cf,,1,,1,,1,,1,1,,,,1,1,,,,,0.3,0.8,1.054,,,,,,
Solanum physalifolium var. nitidibaccatum,,1,,1,,1,,,,,1,,,1,,,,,,0.5,0.002133333,,,,10.43533333,25.74506579,0.0405
Spergularia rubra,,1,,1,,1,,,,,1,,1,1,,,,,0.05,0.3,0.07,wind,,,,,
Spirodela punctata,,1,,,,,1,,1,1,,,,,,,,1,,0,,,,,,,
Stellaria angustifolia,,1,,,,,1,1,1,,,1,,,,,,1,,0.1,0.42,,,,,25.80766667,
Stellaria caespitosa,,1,,1,1,,,1,1,,,,,1,,,,1,,0.2,0.42,,,,,26.9025,
Stellaria sp. 1,,1,,1,1,,,1,1,,,,,,,,,,,0.1,0.42,,,,,26.9025,
Trifolium angustifolium var. angustifolium,,1,,1,1,,,,,,1,,,1,,,,,,0.6,1.9,,,,,12.29701493,
Trifolium arvense var. arvense,,1,,1,1,,,,,,1,,,1,,,,,,0.4,0.4,wind,,,,20.05741818,
Trifolium campestre,,1,,1,1,,,,,,1,,,1,,,,,,0.5,0.3,,,,,41.80635294,
Trifolium glomeratum,,1,,1,1,,,,,,1,,,1,,,,,,0.4,0.4,,,,,23.50680625,
Trifolium repens var. repens,,1,,1,1,,,,,,1,,,1,,,,,,0.3,0.6,animal,,,0,19.86643895,
Trifolium striatum,,1,,1,1,,,,,,1,,,1,,,,,,0.3,1.9,wind,,,,23.51,
Triglochin dubia,,,1,,,,1,1,1,,,1,,,1,,1,,0.3,0.8,4.26,,,,23.92846154,16.1343361,0.1483
Triglochin procera,,,1,,,,1,1,1,,,1,,,1,,1,,,2,25.01,,,,48.27692308,10.77424893,0.4481
Triticum aestivum,,,1,1,,1,,,,,1,,,1,,,,,,1,35.96,,,,,35.91371602,
Typha orientalis,,,1,,,,1,,1,1,,1,,,1,,1,,,4,0.2,,,,,6.004399415,
Verbena bonariensis,,1,,1,,1,,,,,1,1,,,,,,,0.6,2,0.17,,,,13.49333333,10.14028056,
Vicia hirsuta,,1,,1,,1,,,,,1,,,1,,,,,,0.8,5.7,,,,,37.52427907,
Vicia monantha subsp. triflora,,1,,1,,1,,,,,1,,,1,,,,,,0.8,38,,,,,37.52427907,
Vicia sativa subsp. nigra,,1,,1,,1,,,,,1,,,1,,,,,,1,17.3,Methods originating from parent plant or diaspore; Explosive mechanism,,,,37.52427907,
Wahlenbergia fluminalis,,1,,1,,1,,1,1,,,1,,,,,,,0.05,0.8,0.01,,,,,19.48375,
Agrostis avenacea,,,,,,,,,,,,,,,,,,,,,,,,,0.62,20.11,0.0031
Amaranth sp1,,,,,,,,,,,,,,,,,,,,,,,,,16.334,13.16,0.1241
Aster subulatus,,,,,,,,,,,,,,,,,,,,,,,,,10.683,16.54,0.0646
Austrodanthonia sp2,,,,,,,,,,,,,,,,,,,,,,,,,1.271,9.6,0.0132
Austrodanthonia spX,,,,,,,,,,,,,,,,,,,,,,,,,0.514,12.84,0.004
Bromus catharticus,,,,,,,,,,,,,,,,,,,,,,,,,7.825,14.36,0.0545
Chloris truncata,,,,,,,,,,,,,,,,,,,,,,,,,0.643,9.9,0.0065
Cyperus dactylon,,,,,,,,,,,,,,,,,,,,,,,,,0.525,9.27,0.0057
Cyperus sp1,,,,,,,,,,,,,,,,,,,,,,,,,50.83,13.51,0.3763
Deyeuxia quadriseta,,,,,,,,,,,,,,,,,,,,,,,,,1.232,18.48,0.0067
Digitaria sanguinalis,,,,,,,,,,,,,,,,,,,,,,,,,1.679,17.91,0.0094
Dip_uni,,,,,,,,,,,,,,,,,,,,,,,,,1.452,6.79,0.0214
Echnochloa crus-galli,,,,,,,,,,,,,,,,,,,,,,,,,15.159,25.24,0.0601
Epilobium sp1,,,,,,,,,,,,,,,,,,,,,,,,,0.732,25,0.0029
Eragrotis brownii,,,,,,,,,,,,,,,,,,,,,,,,,0.833,8.33,0.01
Eragrotis elongata,,,,,,,,,,,,,,,,,,,,,,,,,1.539,16.15,0.0095
Eragrotis sp1,,,,,,,,,,,,,,,,,,,,,,,,,0.882,15.38,0.0057
Gnaphalium sphaericum,,,,,,,,,,,,,,,,,,,,,,,,,1.784,13.87,0.0129
Ludwigia peploides (subsp montevidensis),,,,,,,,,,,,,,,,,,,,,,,,,7.795,29.01,0.0269
Mentha sp1,,,,,,,,,,,,,,,,,,,,,,,,,9.654,17.68,0.0546
Panicum effersum,,,,,,,,,,,,,,,,,,,,,,,,,8.141,14.76,0.0551
Persicara hydropiper,,,,,,,,,,,,,,,,,,,,,,,,,12.423,18.23,0.0681
Rumex acetoselin,,,,,,,,,,,,,,,,,,,,,,,,,8.925,14.93,0.0598
Setaria sp1,,,,,,,,,,,,,,,,,,,,,,,,,1.287,9.6,0.0134
Sonchus olearaceus,,,,,,,,,,,,,,,,,,,,,,,,,25.185,28.43,0.0886
Verbena banariensis,,,,,,,,,,,,,,,,,,,,,,,,,13.493,10.14,0.1331
