name_original,Wood density (g/cm^3),metadata_id,primary_source_id,secondary_ref
Flindersia ifflaiana,0.848,64,62,ICRAF_2009
Flindersia laevicarpa,0.482,64,62,ICRAF_2009
Flindersia schottiana,0.596,64,62,ICRAF_2009
Galbulimima belgraveana,0.474,64,62,ICRAF_2009
Galbulimima belgraveana,0.525,64,62,ICRAF_2009
Galbulimima belgraveana,0.452,64,62,ICRAF_2009
Hibiscus tiliaceus,0.474,64,62,ICRAF_2009
Lophostemon confertus,0.762,64,62,ICRAF_2009
Lophostemon suaveolens,0.551,64,62,ICRAF_2009
Mimusops elengi,0.87,64,62,ICRAF_2009
Mimusops elengi,0.87,64,62,ICRAF_2009
Mimusops elengi,0.818,64,62,ICRAF_2009
Nauclea orientalis,0.467,64,62,ICRAF_2009
Nauclea orientalis,0.491,64,62,ICRAF_2009
Acacia mangium,0.474,64,62,ICRAF_2009
Acacia mangium,0.519,64,62,ICRAF_2009
Acacia mangium,0.474,64,62,ICRAF_2009
Endiandra palmerstonii,0.619,64,62,ICRAF_2009
Eucalyptus pellita,0.818,64,62,ICRAF_2009
Grevillea robusta,0.525,64,62,ICRAF_2009
Grevillea robusta,0.536,64,62,ICRAF_2009
Grevillea robusta,0.495,64,62,ICRAF_2009
Grevillea robusta,0.534,64,62,ICRAF_2009
Grevillea robusta,0.517,64,62,ICRAF_2009
Acacia nilotica,0.689,63,61,Meier_2007
Eucalyptus gummifera,0.7,60,58,Prospect_2009
Eucalyptus maidenii,0.75,60,58,Prospect_2009
Aphananthe philippinensis,0.5,60,58,Prospect_2009
Blepharocarya involucrigera,0.5,60,58,Prospect_2009
Cardwellia sublimis,0.5,60,58,Prospect_2009
Doryphora sassafras,0.55,60,58,Prospect_2009
Siphonodon australis,0.7,60,58,Prospect_2009
Acacia aneura,0.982,60,58,Prospect_2009
Acacia polyacantha,0.671,60,58,Prospect_2009
Acacia longifolia,0.51,59,57,Seng_1951
Acacia podalyriifolia,0.68,59,57,Seng_1951
Eucalyptus alba,0.72,59,57,Seng_1951
Eucalyptus citriodora,0.8,59,57,Seng_1951
Eucalyptus globulus,0.64,59,57,Seng_1951
Eucalyptus platyphylla,0.82,59,57,Seng_1951
Eucalyptus robusta,0.5,59,57,Seng_1951
Acacia mangium,0.49,59,57,Seng_1951
Acacia oraria,0.92,59,57,Seng_1951
Symplocos cochinchinensis,0.44,59,57,Seng_1951
Vavaea amicorum,0.46,59,57,Seng_1951
Vavaea amicorum,0.55,59,57,Seng_1951
Zanthoxylum ovalifolium,0.61,59,57,Seng_1951
Atractocarpus merikin,0.804,62,60,Wells_2009
Austromatthaea elegans,0.73,62,60,Wells_2009
Beilschmiedia bancroftii,0.646,62,60,Wells_2009
Beilschmiedia tooram,0.784,62,60,Wells_2009
Cinnamomum laubatii,0.405,62,60,Wells_2009
Cryptocarya angulata,0.667,62,60,Wells_2009
Cryptocarya corrugata,0.641,62,60,Wells_2009
Cryptocarya grandis,0.715,62,60,Wells_2009
Cryptocarya mackinnoniana,0.758,62,60,Wells_2009
Cryptocarya murrayi,0.676,62,60,Wells_2009
Cryptocarya oblata,0.469,62,60,Wells_2009
Cryptocarya pleurosperma,0.56,62,60,Wells_2009
Davidsonia pruriens,0.786,62,60,Wells_2009
Delarbrea michieana,0.634,62,60,Wells_2009
Dichapetalum papuanum,0.761,62,60,Wells_2009
