Sampling period,Site,Soil type,species,Tree #,pre-dawn WP (Mpa),midday WP (Mpa),"gs (stomatal conductance, cm.s-1)",leaf area (cm2),SLA (mm2 mg-1),leaf angle to horizontal (deg),Taxon,site_name,woodiness,leaf_phenology,plant_growth_form
2003-03,2,loamy sand,C.ova,3,-1.75,-3.2,0.43,NA,NA,NA,Carissa ovata,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,C.ova,4,-1.5,-2.8,0.463333333,NA,NA,NA,Carissa ovata,"Bondi, S of Warialda",,,
2003-03,3,loamy sand,C.ova,1,-2.65,-4.75,0.108333333,NA,NA,NA,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,C.ova,2,-3,-4.6,0.088333333,NA,NA,NA,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,C.ova,3,-3.25,-3.85,0.063333333,NA,NA,NA,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,C.ova,4,-2.8,-4.7,0.075333333,NA,NA,NA,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,1,silty loam,C.ova,1,-4.15,-4.95,0.33,NA,NA,NA,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,C.ova,2,-4.05,-4.8,0.23,NA,NA,NA,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,C.ova,3,-5.45,-5.7,0.125,NA,NA,NA,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,C.ova,4,-4.85,-5.15,0.0625,NA,NA,NA,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-08,2,loamy sand,C.ova,1,-3.3,-3.7,0.2,NA,NA,NA,Carissa ovata,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,C.ova,2,-3.1,-4.05,0.32,NA,NA,NA,Carissa ovata,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,C.ova,3,-3.45,-4.05,0.32,NA,NA,NA,Carissa ovata,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,C.ova,4,-3.4,-4.4,0.216666667,NA,NA,NA,Carissa ovata,"Bondi, S of Warialda",,,
2003-08,3,loamy sand,C.ova,1,-3.9,-4.4,0.126666667,NA,NA,NA,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,C.ova,2,-3.7,-4.15,0.060666667,NA,NA,NA,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,C.ova,3,-3.85,-4.35,0.068666667,NA,NA,NA,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,C.ova,4,-4.2,-4.6,0.130333333,NA,NA,NA,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,4,silty loam,C.ova,1,-4.3,-4.85,0.083333333,NA,NA,NA,Carissa ovata,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,C.ova,2,-4.2,-5.3,0.075,NA,NA,NA,Carissa ovata,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,C.ova,3,-3.9,-4.65,0.064333333,NA,NA,NA,Carissa ovata,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,C.ova,4,-4.1,-4.6,0.106,NA,NA,NA,Carissa ovata,eastern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,A.con,1,-3.15,-3.8,0.011,9.2,9.49449362,45,Alstonia constricta,southern slope Planchonella Nature Reserve,woody,evergreen,tree
2003-01,1,silty loam,A.con,2,-5,-6.2,0.008,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,A.con,3,-2.1,-3.1,0,9.533333333,11.10645,55.83333333,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,A.con,4,-2.75,-3.5,0.0225,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-01,2,loamy sand,A.con,1,-2.5,-3.3,0,24.68333333,10.98902493,54.16666667,Alstonia constricta,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,A.con,2,-2.25,-3.2,0.0165,31.76666667,12.91923127,63.33333333,Alstonia constricta,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,A.con,3,-4.15,-5.3,0.017,10.96666667,18.67660069,55,Alstonia constricta,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,A.con,4,-3,-3.5,0.0035,11.98333333,11.3566561,55,Alstonia constricta,"Bondi, S of Warialda",,,
2003-01,4,silty loam,A.con,1,-4.05,-7.25,0.014,10.58333333,16.18887795,85,Alstonia constricta,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,A.con,2,-2.7,-3.3,0,10.16666667,11.9754739,78.33333333,Alstonia constricta,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,A.con,3,-4.25,-5.65,0.008,5,18.08711408,86.66666667,Alstonia constricta,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,A.con,4,-2.5,-3.25,0.01,7.1,9.724702859,74.16666667,Alstonia constricta,eastern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,A.con,1,-1.45,-2.25,0.49,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,A.con,2,-1.6,-2.55,0.133333333,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,A.con,3,-0.75,-2.6,0.726666667,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,A.con,4,-1.4,-2.4,0.213333333,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-03,2,loamy sand,A.con,1,-0.75,-1.8,0.933333333,NA,NA,NA,Alstonia constricta,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,A.con,2,-0.65,-1.9,1.056666667,NA,NA,NA,Alstonia constricta,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,A.con,3,-0.85,-1.5,1.123333333,NA,NA,NA,Alstonia constricta,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,A.con,4,-0.7,-2,0.426666667,NA,NA,NA,Alstonia constricta,"Bondi, S of Warialda",,,
2003-03,3,loamy sand,A.con,2,-1.55,-2.4,0.043666667,NA,NA,NA,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,A.con,3,-1.35,-1.7,0.078333333,NA,NA,NA,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,A.con,4,-1.35,-2.25,0.143333333,NA,NA,NA,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,1,silty loam,A.con,1,-1.65,-1.95,0.098,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,A.con,2,-2.25,-2.4,0.058,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,A.con,3,-1.4,-1.75,0,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,A.con,4,-1.8,-2.25,0,NA,NA,NA,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-08,2,loamy sand,A.con,1,-1.9,-2.45,0.62,NA,NA,NA,Alstonia constricta,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,A.con,2,-1.8,-2.4,0.142333333,NA,NA,NA,Alstonia constricta,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,A.con,3,-2.7,-3.05,0.089666667,NA,NA,NA,Alstonia constricta,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,A.con,4,-2.15,-2.55,0.034333333,NA,NA,NA,Alstonia constricta,"Bondi, S of Warialda",,,
2003-08,3,loamy sand,A.con,2,-1.6,-2.05,0.102,NA,NA,NA,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,A.con,3,-1.8,-2.1,0.105666667,NA,NA,NA,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,A.con,4,-1.8,-2.2,0.060666667,NA,NA,NA,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,4,silty loam,A.con,1,-2.4,-2.9,0.047,NA,NA,NA,Alstonia constricta,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,A.con,2,-2.3,-2.5,0.066666667,NA,NA,NA,Alstonia constricta,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,A.con,3,-3.35,-3.25,0.037,NA,NA,NA,Alstonia constricta,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,A.con,4,-1.5,-1.85,0.097666667,NA,NA,NA,Alstonia constricta,eastern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,E.aust,1,-6.2,-6.8,0.004,7.4,5.630964291,39.16666667,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,woody,evergreen,tree
2003-01,1,silty loam,E.aust,2,-5.8,NA,0.015333333,9.5,3.980138596,50,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,E.aust,3,-6.2,NA,0.029666667,11.6,4.696460818,34.16666667,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,E.aust,4,-5.95,NA,0.022,10.76666667,4.803127018,31.66666667,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-01,2,loamy sand,E.aust,1,-5.8,-6.6,0.024,6.333333333,3.459225807,40,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,E.aust,2,-5.8,-6.6,0.0225,5.9,4.729387272,31.66666667,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,E.aust,3,-5.3,-5.9,0.008,6.316666667,4.082945358,51.66666667,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-01,4,silty loam,E.aust,1,-5.05,-6.4,0.039666667,8.766666667,4.391621376,47.5,Elaeodendron australe var. integrifolia,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,E.aust,2,-4.85,-4.8,0.02,5.916666667,5.188205419,34.16666667,Elaeodendron australe var. integrifolia,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,E.aust,3,-4.75,-6.45,0.0475,4.75,4.678442857,40,Elaeodendron australe var. integrifolia,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,E.aust,4,-4.75,-6.1,0.028,5.8,4.983345303,52.5,Elaeodendron australe var. integrifolia,eastern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,E.aust,1,-3.3,-5.4,0.066666667,NA,NA,NA,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,E.aust,2,-4.35,-5.35,0.066,NA,NA,NA,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,E.aust,3,-2.05,-4.7,0.099333333,NA,NA,NA,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,E.aust,4,-3,-4.9,0.008666667,NA,NA,NA,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-03,2,loamy sand,E.aust,1,-2,-4,0.293333333,NA,NA,NA,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,E.aust,2,-1.65,-4.1,0.426666667,NA,NA,NA,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,E.aust,3,-1.45,-3.8,0.446666667,NA,NA,NA,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-03,3,loamy sand,E.aust,1,-3.15,-4.4,0.117666667,NA,NA,NA,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,E.aust,2,-2.65,-5,0.025,NA,NA,NA,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,E.aust,3,-3.4,-4.4,0.044666667,NA,NA,NA,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,E.aust,4,-3.15,-4.75,0.021,NA,NA,NA,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,1,silty loam,E.aust,1,-4,-4.3,0.07,NA,NA,NA,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,E.aust,2,-4.4,-4.85,0.0905,NA,NA,NA,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,E.aust,3,-3.75,-4.6,0.175,NA,NA,NA,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,E.aust,4,-4.4,-4.8,0.18,NA,NA,NA,Elaeodendron australe var. integrifolia,southern slope Planchonella Nature Reserve,,,
2003-08,2,loamy sand,E.aust,1,-2.95,-4.7,0.119666667,NA,NA,NA,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,E.aust,2,-2.9,-4.45,0.253333333,NA,NA,NA,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,E.aust,3,-3.05,-4.75,0.156666667,NA,NA,NA,Elaeodendron australe var. integrifolia,"Bondi, S of Warialda",,,
2003-08,3,loamy sand,E.aust,1,-3.3,-4.25,0.129,NA,NA,NA,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,E.aust,2,-3.2,-4.45,0.059666667,NA,NA,NA,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,E.aust,3,-4.2,-4.8,0.058666667,NA,NA,NA,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,E.aust,4,-4,-4.55,0.038333333,NA,NA,NA,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,4,silty loam,E.aust,1,-4.55,-4.65,0.032333333,NA,NA,NA,Elaeodendron australe var. integrifolia,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,E.aust,2,-3.9,-4.35,0.019666667,NA,NA,NA,Elaeodendron australe var. integrifolia,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,E.aust,3,-3.85,-4.5,0.088333333,NA,NA,NA,Elaeodendron australe var. integrifolia,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,E.aust,4,-4.15,-3.8,0.054666667,NA,NA,NA,Elaeodendron australe var. integrifolia,eastern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,E.mem,1,-3.75,-5,0.0195,1.133333333,11.56262646,61.66666667,Ehretia membranifolia,southern slope Planchonella Nature Reserve,woody,drought_deciduous,tree
2003-01,1,silty loam,E.mem,2,-5.3,-5.45,0.0135,7.666666667,10.87000264,46.66666667,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,E.mem,3,-4.95,-5.2,0.0385,1.933333333,16.20102466,50.83333333,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,E.mem,4,-5.95,-7.6,0.029,1.033333333,11.70648195,46.66666667,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-01,2,loamy sand,E.mem,1,-5.3,-7.15,0.025666667,1.9,11.45746684,46.66666667,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,E.mem,2,-4.25,-5.25,0.0375,2.1,13.82866335,54.16666667,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,E.mem,3,-5.9,-5.9,0,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,E.mem,4,-6.45,-7.5,0.0015,3.166666667,14.45748575,55.83333333,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-01,4,silty loam,E.mem,1,-4.45,-3.9,0.0355,5.133333333,12.94428991,86.66666667,Ehretia membranifolia,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,E.mem,2,-4.55,-5.95,0.0515,4.966666667,11.95325794,65,Ehretia membranifolia,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,E.mem,3,-3.95,-4.75,0.048,3.166666667,11.3301164,47.5,Ehretia membranifolia,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,E.mem,4,-4.5,-6.7,0.059666667,NA,NA,NA,Ehretia membranifolia,eastern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,E.mem,1,-1.05,-2.5,0.6,NA,NA,NA,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,E.mem,2,-1.4,-2.35,0.35,NA,NA,NA,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,E.mem,3,-1.5,-2.5,0.117333333,NA,NA,NA,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,E.mem,4,-1.85,-3,0.101,NA,NA,NA,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-03,2,loamy sand,E.mem,1,-1.15,-2.75,0.503333333,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,E.mem,2,-0.7,-2.8,0.616666667,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,E.mem,3,-1.05,-2.3,0.403333333,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,E.mem,4,-0.65,-1.95,0.166666667,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-03,3,loamy sand,E.mem,1,-2.1,-3.15,0.233333333,NA,NA,NA,Ehretia membranifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,E.mem,2,-2.25,-3.25,0.126666667,NA,NA,NA,Ehretia membranifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,E.mem,3,-1.6,-2.65,0.037333333,NA,NA,NA,Ehretia membranifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-03,3,loamy sand,E.mem,4,-1.5,-2.65,0.126666667,NA,NA,NA,Ehretia membranifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,1,silty loam,E.mem,1,-3.65,-3.8,0.235,NA,NA,NA,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,E.mem,2,-3.65,-4.25,0.073,NA,NA,NA,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,E.mem,3,-4,-4.4,0.245,NA,NA,NA,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-08,1,silty loam,E.mem,4,-5.05,-5.65,0.17,NA,NA,NA,Ehretia membranifolia,southern slope Planchonella Nature Reserve,,,
2003-08,2,loamy sand,E.mem,1,-3.7,-4.4,0.34,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,E.mem,2,-3.8,-4.5,0.253333333,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,E.mem,3,-3.9,-4.3,0.26,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-08,2,loamy sand,E.mem,4,-3.9,-4.3,0.296666667,NA,NA,NA,Ehretia membranifolia,"Bondi, S of Warialda",,,
2003-08,3,loamy sand,E.mem,1,-3.3,-3.9,0.196666667,NA,NA,NA,Ehretia membranifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,E.mem,2,-3.35,-3.8,0.075333333,NA,NA,NA,Ehretia membranifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,E.mem,3,-3.2,-3.55,0.098,NA,NA,NA,Ehretia membranifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,3,loamy sand,E.mem,4,-3.25,-3.75,0.058666667,NA,NA,NA,Ehretia membranifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-08,4,silty loam,E.mem,1,-4.05,-4.1,0.12,NA,NA,NA,Ehretia membranifolia,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,E.mem,2,-4,-4.15,0.1,NA,NA,NA,Ehretia membranifolia,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,E.mem,3,-3.45,-3.9,0.117,NA,NA,NA,Ehretia membranifolia,eastern slope Planchonella Nature Reserve,,,
2003-08,4,silty loam,E.mem,4,-4.05,-4.3,0.16,NA,NA,NA,Ehretia membranifolia,eastern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,A.con,5,NA,NA,NA,8.833333333,9.171303705,66.66666667,Alstonia constricta,southern slope Planchonella Nature Reserve,,,
2003-01,3,loamy sand,A.con,1,NA,NA,NA,20.46666667,12.27695527,74.375,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,A.con,2,NA,NA,NA,19.6,14.44126035,68.88888889,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,A.con,3,NA,NA,NA,24.7,11.59283694,61.66666667,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,A.con,4,NA,NA,NA,13.8,15.19193282,57.5,Alstonia constricta,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,E.aust,1,NA,NA,NA,5.333333333,4.467440371,42.77777778,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,E.aust,2,NA,NA,NA,7.466666667,5.171288113,48.33333333,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,E.aust,3,NA,NA,NA,5.766666667,5.05396397,42.77777778,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,E.aust,4,NA,NA,NA,9.4,5.897487745,46.66666667,Elaeodendron australe var. integrifolia,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,C.ova,1,NA,NA,NA,1.033333333,6.943172201,43.33333333,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,C.ova,2,NA,NA,NA,1.433333333,9.525380704,18.33333333,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,C.ova,3,NA,NA,NA,0.8,7.723653013,23.88888889,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
2003-01,3,loamy sand,C.ova,4,NA,NA,NA,1.7,8.37107065,20,Carissa ovata,"Tank Stand Travelling Stock Route, NW of Warialda",,,
