Genus_species,location,d13C,bark thickness (mm bark/mm whole-stem),wood density (Kasia),wood density (Sean),LMA (g m-2),LMA2 (g m-2),Leaf size (cm2),Leaf size2 (cm2),Ksap (kg m-1 s-1 MPa -1),Kl (10^4 x kg m-1 s-1 MPa -1),LA/SA (m2/m2),PSIpd (MPa),PSImd (MPa),Amass (umol/kg/s),Aarea,Rmass (umol/kg/s),Rarea,WUE (mmol CO2/mol H2O/m2/s,max_ht (m),SA (mm),E (mmol/m2/s)
Allocasuarina torulosa,Cardwell,-28.904,0.19381,0.62,0.66,188.4,188.4,1,1,2.27,7.1,4175,-0.3,-1.99,24.64,4.644,4.13,0.78,4.41,15,17.7421131,0.902
Alphitonia excelsa,Cardwell,-27.104,0.19482,0.37,0.5,80.6,80.6,32.3,32.3,5.68,13.35,5048,-0.35,-1.15,162.4,13.0933,13.5,1.09,3.62,25,21.63371387,3.97
Canarium australianum,Cardwell,-29.864,0.29961,0.45,0.47,94.2,,51.1,255.5,3.26,5.26,5891,-0.21,-0.49,94.37,8.885,9.78,0.92,4.27,20,21.61940392,2.5755
Chionanthus ramiflora,Cardwell,-28.558,0.1847,0.56,0.62,117.9,117.9,100.2,100.2,2.37,3.28,7509,-1.43,-2.86,35.46,4.182,7.75,0.91,7.25,18,29.04088249,0.75175
Corymbia intermedia,Cardwell,-27.192,0.3054,0.6,0.63,93.8,93.8,32.6,32.6,3.61,7.73,6500,-0.22,-1.42,106.31,9.97,24.5,2.3,3.51,35,14.53795562,3.4875
Eucalyptus platyphylla,Cardwell,-27.731,0.21481,0.49,0.56,103.4,103.4,92.4,92.4,2.62,5.28,6787,-0.21,-2.11,162.7,16.82,20.99,2.17,2.09,35,21.61753467,7.9525
Ixora timorensis,Cardwell,-27.007,0.15735,0.52,0.48,81.5,81.5,90.3,90.3,2.4,4.08,6452,-0.69,-1.39,91.57,7.466,8.67,0.71,4.56,8,16.8870187,1.6352
Lophostemon suaveolens,Cardwell,-27.477,0.17454,0.54,0.46,61.8,61.8,51.5,51.5,1.39,5.29,3927,-0.21,-1.68,195.47,12.074,31.15,1.92,3.87,25,28.16048256,3.54
Macaranga involucrata,Cardwell,-28.784,0.15146,0.4,0.39,69.8,69.8,98.6,98,3.09,7.2,6136,-0.15,-0.28,89.04,6.214,11.77,0.82,5.19,5,25.82508934,1.3636
Macaranga tanarius,Cardwell,-25.064,0.22682,0.39,0.31,78.7,78.7,145.2,145.2,4.35,4.54,8549,-0.16,-0.4,88.45,6.96,11.99,0.94,5.03,7,22.58371185,1.6286
Planchonia careya,Cardwell,-26.949,0.3931,0.44,0.59,89.1,89.1,38.1,38.1,9.35,29.8,3678,-0.21,-0.87,106.48,9.488,9.98,0.89,2.34,7,16.3228672,4.128
Polyscias elegans,Cardwell,,0.19272,0.38,0.22,72.8,,35.9,323.4,4.35,3.08,12326,-0.08,-0.31,50.26,3.66,17.17,1.25,6.15,25,8.791401466,0.6112
Timonius timon,Cardwell,-28.649,0.16501,0.47,0.57,84.9,84.9,27.4,27.4,6.36,11.4,5860,-0.37,-0.89,102.11,8.674,15.92,1.35,5.14,10,17.48996887,2.1638
Acacia holosericea,Claraville,-26.874,0.21568,0.577,0.54,133,133,28.4,28.4,4.1,,,-0.461,-1.322,221.98,29.52,31.14,4.14,3.06,3,17.51280825,11.31242267
Alphitonia excelsa,Claraville,,0.29674,0.64,0.69,132.1,132.1,17.2,17.2,2.82,,,-0.605,-2.092,181.14,23.92,12.9,1.7,3.03,8,12.45484408,7.980838816
Archidendropsis basaltica,Claraville,-25.352,0.41689,0.735,0.77,96.8,172.6,0,15.8,4.26,,,-1.007,-2.374,219.71,21.28,28.74,2.78,2.51,10,15.14803721,9.059168765
Carissa lanceolata,Claraville,-28.024,0.32784,0.684,0.77,127.4,127.4,1.2,1.2,2.38,,,-0.837,-2.213,116.25,14.81,12.59,1.6,2.83,2,19.22887182,5.329283113
Corymbia polycarpa,Claraville,-26.606,0.25223,0.576,0.66,156,156,12.9,12.9,8.37,,,-0.526,-1.567,172.68,26.93,20.63,3.22,3.02,15,16.20780637,10.0716407
Dodonaea physocarpa,Claraville,-26.089,0.17069,0.799,0.83,126.5,136.2,0.2,1.7,1.07,,,-0.985,-2.117,185.38,23.45,13.21,1.67,3.59,1.5,15.00839342,7.588945687
Erythrophleum chlorostachys,Claraville,-25.131,0.35206,0.717,0.77,,160.3,15,380.6,2.35,,,-0.671,-2.639,,17.04,,2.35,3.23,15,14.47548505,5.594767293
Gardenia vilhelmii,Claraville,-27.533,0.33747,0.643,0.72,99.7,99.7,2.6,2.6,2.71,,,-1.009,-2.355,139.07,13.86,15.34,1.53,2.47,4,17.63099496,5.23754813
Grevillea parallela,Claraville,,0.2137,0.672,0.72,217.3,217.3,12.2,12.2,3.34,,,-1.197,-2.33,98.75,21.46,5.14,1.12,3.32,7,24.60454526,6.662362386
Grevillea striata,Claraville,-28.21,0.3206,0.661,0.67,386.7,386.7,14.8,14.8,2.31,,,-0.981,-2.729,58.63,22.67,6.42,2.48,3.39,8,21.72851143,6.712687071
Melaleuca citrolens,Claraville,-27.18,0.33066,0.555,0.62,183.4,183.4,2.2,2.2,1.11,,,-0.956,-2.222,104.27,19.12,12.87,2.36,2.75,9,15.02030005,6.347626556
Melaleuca stenostachya,Claraville,-26.389,0.41651,0.6,0.62,156.4,156.4,1.5,1.5,2.74,,,-0.71,-1.88,154.75,24.21,14.98,2.34,3.62,9,12.84149559,8.093080579
Melaleuca viridiflora,Claraville,-26.929,0.30691,0.55,0.57,261.2,261.2,28.3,28.3,3.18,,,-0.305,-1.493,52.24,13.65,12.9,3.37,2.68,5,18.31342743,4.381730332
Petalostigma banksii,Claraville,-26.972,0.304,0.728,0.75,142.1,142.1,3.5,3.5,4.08,,,-0.745,-2.143,111.14,15.79,4.56,0.65,2.65,4,14.55581558,6.10331097
Terminalia platyptera,Claraville,-24.863,0.21274,0.588,0.69,121.1,121.1,9.3,9.3,2.49,,,-1.066,-2.323,144.62,17.52,15.72,1.9,2.5,9,22.03346583,7.697902511
Ventilago viminalis,Claraville,-26.404,0.34644,0.575,0.54,133.4,133.4,5.5,5.5,3.73,,,-0.747,-1.798,169.51,22.61,18.58,2.48,2.8,12,11.7715948,8.300306461
Allocasuarina littoralis,Ku-ring-gai,-24.594,0.21934,0.648,0.69,242,242,0.717,0.72,2.63,,,-0.73,-1.07,55.09,13.33,9.12,2.21,4.92,12,17.89697791,3.004615842
Banksia ericifolia,Ku-ring-gai,-25.172,0.24047,0.639,0.64,202.6,202.6,0.191,0.19,,,,-0.49,-1.07,82.55,16.72,10.46,2.12,3.39,5,,4.826924795
Banksia serrata,Ku-ring-gai,-28.357,0.32139,0.573,0.64,262.1,262.1,26.291,26.29,1.78,,,-0.83,-1.03,62.62,16.41,4.35,1.14,3.53,8,11.62609193,4.638927921
Banksia spinulosa,Ku-ring-gai,-30.056,0.21763,0.611,0.67,231.9,231.9,1.868,1.87,2.21,,,-0.64,-1.13,93.72,21.74,5.12,1.19,4.09,2.5,25.64633272,5.310051295
Corymbia gummifera,Ku-ring-gai,-26.393,0.26493,0.577,0.59,228.1,228.1,20.806,20.81,6.15,,,-0.72,-1.3,54.88,12.52,6.4,1.46,4.79,25,15.78999025,2.644569747
Eucalyptus capitellata,Ku-ring-gai,-28.919,0.2608,0.633,0.68,287.7,287.7,13.644,13.64,2.86,,,-0.71,-2,46.74,13.45,6.1,1.75,4.04,20,21.04825845,3.630118156
Eucalyptus haemastoma,Ku-ring-gai,-27.512,0.24466,0.643,0.65,265.3,265.3,19.345,19.35,2.62,,,-0.9,-1.37,61.62,16.35,6.87,1.82,3.02,18,22.41425827,5.297811541
Grevillea buxifolia,Ku-ring-gai,-27.645,0.18154,0.687,0.74,125.1,125.1,0.565,0.57,1.28,,,-0.53,-1.09,60.44,7.56,13.11,1.64,4.84,1.6,22.85906067,1.788770295
Hakea gibbosa,Ku-ring-gai,,0.21598,0.601,0.7,405,405,0.74,0.74,,,,-0.49,-0.99,27.61,11.18,0.05,0.02,5.83,2,,2.165383853
Hakea sericea,Ku-ring-gai,-27.817,0.1833,,0.66,297.9,297.9,0.361,0.36,2.65,,,-0.44,-1.41,49.2,14.66,3.74,1.11,3.87,3,27.04366208,3.968128671
Hakea teretifolia,Ku-ring-gai,-24.021,0.22105,0.595,0.66,447,447,0.898,0.9,,,,-0.55,-1.22,74.54,33.32,5.82,2.6,4.01,2,,8.341816669
Lambertia formosa,Ku-ring-gai,-26.792,0.23073,0.636,0.69,233.5,233.5,1.85,1.85,2.23,,,-0.99,-1.18,79.86,18.65,6.62,1.55,4.97,1.8,19.12420966,4.347071798
Leptospermum trinervium,Ku-ring-gai,-29.66,0.19269,0.668,0.76,131.5,131.5,0.273,0.27,0.73,,,-0.59,-1.16,81.48,10.72,25.46,3.35,2.9,3,16.10488779,3.693083515
Persoonia levis,Ku-ring-gai,-27.374,0.30871,0.598,0.57,202.7,202.7,21.539,21.54,1.22,,,-0.79,-1.51,62.69,12.71,5.23,1.06,3.11,5,14.78087928,4.199172582
Persoonia pinifolia,Ku-ring-gai,-28.353,0.1583,0.636,0.69,176.1,176.1,0.271,0.27,2.02,,,-0.59,-1.17,84.82,14.93,6.77,1.19,3.99,4,23.34859934,3.05518209
Petrophile pulchella,Ku-ring-gai,-25.877,0.26465,0.603,0.64,258.7,258.7,0.328,0.33,1.85,,,-0.79,-1.1,72.39,18.72,6.8,1.76,3.67,2.5,21.41108491,5.164633344
Acacia dealbata,Longley,,0.18926,0.45,0.52,70.4,77.2,0.033,136.687,3.25,,,-0.27,-0.91,176.31,12.405,25.2,1.77,3.44,8,19.43605985,4.1075
Acacia terminalis,Longley,-24.805,0.22185,0.54,0.65,106.8,145.7,0.253,30.681,0.43,,,-0.42,-1.26,94.23,10.061,12.99,1.39,6.03,4.5,17.41917308,1.608225148
Allocasuarina monilifera,Longley,-26.48,0.16112,0.58,0.58,412.7,412.7,0.772,0.772,1.75,,,-0.35,-1.13,34.38,14.19,6.47,2.67,5.39,5,16.54307714,2.197168559
Aotus ericoides,Longley,-25.361,0.14958,0.68,0.71,139.7,139.7,0.184,0.184,1.3,,,-0.33,-0.99,75.69,10.57,22.53,3.15,4.17,1.7,12.47476177,2.842708847
Banksia marginata,Longley,-28.068,0.16682,0.52,0.57,129,129,2.876,2.876,3.12,,,-0.18,-0.74,95.83,12.362,9.7,1.25,5.06,6,13.43194222,1.813041993
Epacris impressa,Longley,-24.317,0.09093,0.72,0.72,141,141,0.091,0.091,0.38,,,-0.58,-1.12,29.45,4.154,8.26,1.16,5.24,1.5,16.22792827,0.982892055
Epacris lanuginosa,Longley,-25.638,0.10863,0.66,0.65,135.5,135.5,0.066,0.066,0.53,,,-0.38,-1.33,34.49,4.672,10.28,1.39,3.96,1.5,15.25043742,1.188615208
Eucalyptus amygdalina,Longley,-27.268,0.17969,0.6,0.66,185.7,185.7,7.476,7.476,7.27,,,-0.38,-1.23,89.63,16.641,11.92,2.21,3.84,20,19.53330785,4.526931271
Exocarpos cupressiformis,Longley,-26.618,0.24162,0.61,0.63,301.4,301.4,0.546,0.546,3.58,,,-0.66,-2.57,18.34,5.526,11.8,3.56,2.57,7,17.54852816,3.216654629
Leptospermum glaucescens,Longley,-27.525,0.25121,0.65,0.66,102.4,102.4,0.295,0.295,5.01,,,-0.63,-1.36,69.38,7.106,15.11,1.55,3.7,5,16.92201604,1.057491515
Leptospermum scoparium,Longley,-26.425,0.18237,0.74,0.82,107.5,107.5,0.126,0.126,0.8,,,-0.42,-1.32,56.03,6.023,15.86,1.71,3.37,5,15.72949889,1.491244395
Leucopogon ericoides,Longley,-24.947,0.11683,0.71,0.57,90.3,90.3,0.188,0.188,1.18,,,-0.4,-1.09,82.29,7.427,32.1,2.9,2.46,2.4,12.48322836,2.992646119
Melaleuca squamea,Longley,-25.356,0.3159,,0.6,110.5,110.5,0.094,0.094,2.96,,,-0.78,-1.47,73.77,8.153,11.3,1.25,3.19,2,9.553410472,2.559804507
Melaleuca squarrosa,Longley,-24.882,0.35949,0.62,0.61,98.7,98.7,0.381,0.381,4.1,,,-0.55,-1.01,73.97,7.302,12.89,1.27,4.06,4.5,14.82633812,1.875843656
Monotoca glauca,Longley,-25.612,0.16974,0.65,0.61,123,123,0.746,0.746,1.69,,,-0.09,-0.65,42.45,5.223,11.55,1.42,5.74,4,16.98106227,0.975843958
Oxylobium ellipticum,Longley,-26.762,0.15907,,0.7,149.6,149.6,0.822,0.822,1.78,,,-0.39,-1.26,71.91,10.759,11.22,1.68,4.24,2.7,13.78053334,1.902117718
Acacia flavescens,Princess Hills,-26.03,0.2924,0.76,0.73,182.7,182.7,45.94,45.94,5.78,5.11,10535,-1.21,-2.28,82.97,15.2,12.99,2.37,2.47,16,9.302350095,6.444
Acacia leptostachya,Princess Hills,-25.841,0.21386,0.71,0.76,180,180,7.06,7.06,0.28,0.81,3684,-0.33,-2.23,54.11,9.738,9.1,1.64,3.87,1.5,7.204677264,2.5679
Allocasuarina torulosa,Princess Hills,-24.668,0.27641,0.71,0.8,264.4,264.4,0.7,0.7,4.32,6.57,6613,-1.32,-2.1,20.31,5.37,5.44,1.44,5.39,15,9.202023334,1.112
Bursaria incana,Princess Hills,-27.866,0.27641,,0.74,,,,,,,,-0.5,-2.66,,5.06,,0.26,2.29,4,,2.7148
Corymbia citriodora,Princess Hills,-26.554,0.22376,0.61,0.68,116.5,116.5,18.76,18.76,11.91,11.33,13812,-0.65,-2.55,138.26,16.1,20.23,2.36,2.85,35,8.680534661,5.838
Corymbia intermedia,Princess Hills,-26.81,0.32135,0.65,0.62,135.3,135.3,24.62,24.62,9.06,7.58,12080,-0.38,-1.5,63.96,8.656,15.83,2.14,3.39,35,9.450978844,2.994
Corymbia trachyphloia,Princess Hills,-28.142,0.24671,0.63,0.61,145.3,145.3,13.94,13.94,8.03,7.95,11009,-0.47,-1.85,92.6,13.454,15.2,2.21,3.56,30,12.17640472,3.8
Eucalyptus portuensis,Princess Hills,-26.46,0.18229,0.58,0.63,206.2,206.2,23.54,23.54,7.92,10,8485,-0.53,-1.99,63.64,13.12,14.88,3.07,3.08,35,11.27988842,4.366
Gastrolobium grandiflorum,Princess Hills,-26.18,0.16024,0.7,0.74,148.3,148.3,15.28,15.28,5.54,5.37,8357,-0.83,-2.16,59.53,8.83,11.16,1.66,5.47,1.3,6.542189987,1.6607
Grevillea glauca,Princess Hills,-27.6,0.21442,0.64,0.67,151.6,151.6,27.64,27.64,11.42,11.06,11400,-0.63,-2.1,61.87,9.382,8.9,1.35,3.34,8,10.16127723,3.448
Grevillea parallela,Princess Hills,-26.8825,0.27726,0.63,0.59,212.1,212.1,7.82,7.82,6.07,15.2,4211,-0.45,-2.09,66.44,14.092,8.19,1.74,2.04,7,8.407263224,7.1127
Lophostemon suaveolens,Princess Hills,-27.291,0.18397,0.56,0.57,136.9,136.9,26.14,26.14,6.72,8.84,8398,-0.79,-1.69,88.56,12.122,10.99,1.5,2.47,25,7.576955994,4.968
Persoonia falcata,Princess Hills,-26.512,0.20096,0.64,0.7,193.6,193.6,16.02,16.02,3.88,4.13,11204,-0.34,-1.28,73.07,14.146,11.78,2.28,2.46,4,11.10292251,5.5243
Petalostigma pubescens,Princess Hills,-26.971,0.24826,0.73,0.76,140.9,140.9,5.86,5.86,3.8,11.28,3941,-0.45,-2.47,70.91,9.992,8.97,1.26,2.72,5,6.529140596,4.2946
Planchonia careya,Princess Hills,-26.109,0.37738,0.54,0.54,96.5,96.5,27.58,27.58,10.27,9.06,13238,-0.71,-1.02,115.35,11.128,29.46,2.84,2.88,7,9.506871704,3.944
Pogonolobus reticulatus,Princess Hills,-28.132,0.3047,,0.58,,,,,,,,-0.33,-2,,10.622,,1.37,2.47,3,,4.2076
Xylomelum scottianum,Princess Hills,-26.407,0.4296,0.65,0.67,135.7,135.7,22.06,22.06,1.23,2.11,9023,-0.33,-1.07,72.55,9.842,15.14,2.05,2.27,7,5.740259192,5.324
Acacia colletioides,Round Hill,-26.374,0.16476,0.85,0.85,422.4,422.4,0.25,0.25,,,,,,25.6,8.4,5.8,,,2.6,,
Acacia havilandiorum,Round Hill,-22.984,0.22115,0.91,0.92,430.3,430.3,0.429,0.429,0.86,,570,-3.66,-4.25,30.6,12,8.9,,,4,17.67528749,
Beyeria opaca,Round Hill,-28.515,0.19749,0.74,0.74,168.7,168.7,0.32,0.32,0.26,2.5,1270,-3.95,-4.43,36.5,5.7,9.3,,,0.7,,
Bossiaea walkeri,Round Hill,-25.834,0.14684,0.94,0.86,352.2,352.2,3.21,3.21,0.15,,,-3.55,-3.99,28.5,11.1,6.7,,,2,15.71024092,
Brachychiton populneus,Round Hill,-26.71,0.39574,0.47,0.47,102.1,102.1,11.462,11.462,2.51,2.13,5282,-0.69,-0.98,50.6,7.4,4.7,,,7,10.18184289,
Dodonaea viscosa cuneata,Round Hill,-27.982,0.20338,0.84,0.81,109.3,109.3,0.356,0.356,1.27,,2836,-3.61,-4.41,75.7,12.2,20,,,4,19.86307298,
Dodonaea viscosa spathulata,Round Hill,,,,,,,,,,,,,,,,,,,4,,
Eremophila deserti,Round Hill,-27.746,0.2308,0.82,0.81,201.9,201.9,0.76,0.76,0.25,1.21,1138,-4.4,-5.22,46.4,9.1,6.4,,,1.2,22.48701756,
Eremophila glabra,Round Hill,-26.636,0.1638,0.71,0.82,159.5,159.5,0.715,0.715,0.22,3.09,1105,-4.2,-4.98,69.3,11.9,11.5,,,1.3,16.16215903,
Eucalyptus dumosa,Round Hill,-26.782,0.21363,0.76,0.82,331.2,331.2,11.24,11.24,0.83,,,-2.65,-2.61,38.3,13.4,3.7,,,6,18.36904933,
Eucalyptus socialis,Round Hill,-28.026,0.18235,0.79,0.74,307.1,307.1,8.912,8.912,1.63,2.6,3847,-1.76,-2.83,51.2,16.2,4.8,,,8.3,20.33774407,
Geijera parviflora,Round Hill,-27.416,0.24791,0.87,0.87,151,151,3.827,3.827,0.71,,2091,-3.74,-4.56,55.2,10.4,5.7,,,10.3,19.14296497,
Melaleuca uncinata,Round Hill,-26.251,0.16796,0.68,0.75,364.8,364.8,0.181,0.181,0.44,4.32,1570,-4.04,-4.9,36.1,11.2,9.2,,,3.1,23.12882923,
Micromyrtus sessilis,Round Hill,-26.719,0.0861,,0.95,115.1,115.1,0.012,0.012,0.14,,,-5.03,-5.3,,,,,,1.5,19.1941258,
Pimelea microcephala,Round Hill,-24.44,0.28379,0.7,0.79,56.8,56.8,0.262,0.262,0.75,,,-3.06,-3.68,132.7,10.6,26.6,,,3,12.09236711,
Santalum acuminatum,Round Hill,-25.791,0.26385,0.72,0.74,203.8,203.8,5.042,5.042,1.21,3,2748,-2.69,-4.27,20.6,7.4,3.9,,,6,13.40395063,
Senna artemisioides,Round Hill,-27.754,0.15256,0.81,0.8,387.3,387.3,0.437,0.437,0.34,,1881,-4.12,-4.88,32.4,12.8,14.3,,,2.5,21.29145306,
Acacia parvipinnula,Yengo,-23.519,0.18727,0.602,0.5,56.6,56.6,0.03,,0.91,,,-1.21,-1.72,316.29,17.9,12.23,0.69,6.34,6,9.642458916,2.91373487
Angophora costata,Yengo,-25.804,0.2824,0.603,0.63,179.1,179.1,24.565,24.565,1.76,,,-0.98,-1.65,51.78,9.3,2.79,0.5,4.69,30,5.483759933,1.969095049
Daviesia squarrosa,Yengo,-25.963,0.146,0.702,0.79,108.4,108.4,0.117,0.117,0.97,,,-0.92,-1.77,76.06,8.2,2.69,0.29,3.32,1.5,6.526313163,2.726990292
Eucalyptus crebra,Yengo,-24.291,0.28605,0.668,0.66,149.5,149.5,7.719,7.719,2.68,,,-1.25,-2.24,75.22,11.2,5.68,0.85,4.42,35,12.73193255,2.571565823
Eucalyptus fibrosa,Yengo,-25.627,0.21932,0.66,0.67,259.3,259.3,40.87,40.87,1.71,,,-1.33,-2.26,53.74,13.9,2.99,0.78,5.49,35,8.440556252,2.542
Eucalyptus punctata,Yengo,-24.564,0.24095,0.639,0.65,216.5,216.5,32.113,32.113,2.16,,,-1.14,-2,76.81,16.6,2.72,0.59,5.79,35,10.70382505,2.91
Eucalyptus sparsifolia,Yengo,-25.385,0.22216,0.629,0.66,250.1,250.1,14.199,14.199,3.37,,,-1.32,-2.13,50.89,12.7,3.26,0.82,4.73,20,6.898296059,2.68117752
Exocarpos cupressiformis,Yengo,-24.111,0.22043,0.695,0.72,206.3,206.3,0.351,0.351,2.09,,,-1.36,-2.74,51.48,10.6,6.95,1.43,2.42,6,8.973346804,4.522159744
Grevillea mucronulata,Yengo,-24.48,0.15253,0.677,0.67,75.2,75.2,0.65,0.65,0.95,,,-0.98,-1.61,169.62,12.8,5.84,0.44,4.69,2,16.26773225,2.72023234
Jacksonia scoparia,Yengo,-24.348,0.19574,0.682,0.64,227.8,227.8,0.27,0.27,1.13,,,-1.27,-2.25,82.09,18.7,8.37,1.91,2.91,3,10.83565151,6.581203622
Melaleuca pallida,Yengo,-24.983,0.25319,0.756,0.69,151.4,151.4,1.253,1.253,0.26,,,-1.09,-2.07,43.6,6.6,2.01,0.3,5.51,5,16.85855587,1.181544072
Monotoca scoparia,Yengo,-24.744,0.13769,0.744,0.73,129.1,129.1,0.109,0.109,0.4,,,-0.33,-1.02,59.34,7.7,4.67,0.6,3.62,1,11.65464116,2.110734218
Persoonia linearis,Yengo,-24.032,0.19567,0.593,0.58,130.3,130.3,0.902,0.902,1.91,,,-0.96,-1.66,51.23,6.7,6.72,0.87,5.53,4,8.095114578,1.202367483
Podolobium ilicifolium,Yengo,-25.118,0.16634,0.797,0.76,121.5,121.5,1.33,1.33,1.03,,,-1.04,-1.75,87.87,10.7,4.02,0.49,4.82,2,15.67643739,2.230863919
Pultenaea scabra,Yengo,-24.994,0.12815,0.803,0.78,93,93,0.087,0.087,0.86,,,-1.07,-1.86,113.75,10.6,17.41,1.62,3.25,1.5,6.983629569,3.209004643
