aligned_name,taxon_name,taxon_rank,taxonomic_status,taxonomic_dataset,taxon_name_alternatives,genus,family,binomial,trinomial,taxon_distribution,establishment_means,scientific_name,taxon_id,taxon_id_genus,taxon_id_family,scientific_name_id,aligned_name_taxon_id,aligned_name_taxonomic_status
Abildgaardia ovata,Abildgaardia ovata,species,accepted,APC,,Abildgaardia,Cyperaceae,Abildgaardia ovata,,"NT, Qld, NSW",native,Abildgaardia ovata (Burm.f.) Kral,https://id.biodiversity.org.au/node/apni/2919627,https://id.biodiversity.org.au/taxon/apni/51763074,https://id.biodiversity.org.au/taxon/apni/51763044,https://id.biodiversity.org.au/name/apni/150737,https://id.biodiversity.org.au/node/apni/2919627,accepted
Fimbristylis oxystachya,Abildgaardia oxystachya,species,accepted,APC,,Abildgaardia,Cyperaceae,Abildgaardia oxystachya,,"WA, NT, Qld",native,Abildgaardia oxystachya (F.Muell.) K.L.Wilson & J.J.Bruhl,https://id.biodiversity.org.au/taxon/apni/51763087,https://id.biodiversity.org.au/taxon/apni/51763074,https://id.biodiversity.org.au/taxon/apni/51763044,https://id.biodiversity.org.au/name/apni/51389641,https://id.biodiversity.org.au/instance/apni/51762822,nomenclatural synonym
Fimbristylis pachyptera,Abildgaardia pachyptera,species,accepted,APC,,Abildgaardia,Cyperaceae,Abildgaardia pachyptera,,"WA, NT, Qld",native,Abildgaardia pachyptera (S.T.Blake) K.L.Wilson & J.J.Bruhl,https://id.biodiversity.org.au/taxon/apni/51763092,https://id.biodiversity.org.au/taxon/apni/51763074,https://id.biodiversity.org.au/taxon/apni/51763044,https://id.biodiversity.org.au/name/apni/51389644,https://id.biodiversity.org.au/instance/apni/51389649,basionym
Abildgaardia vaginata,Abildgaardia vaginata,species,accepted,APC,,Abildgaardia,Cyperaceae,Abildgaardia vaginata,,"NT, Qld, NSW",native,Abildgaardia vaginata R.Br.,https://id.biodiversity.org.au/node/apni/2899106,https://id.biodiversity.org.au/taxon/apni/51763074,https://id.biodiversity.org.au/taxon/apni/51763044,https://id.biodiversity.org.au/name/apni/56037,https://id.biodiversity.org.au/node/apni/2899106,accepted
Fimbristylis vaginata,Abildgaardia vaginata,species,accepted,APC,,Abildgaardia,Cyperaceae,Abildgaardia vaginata,,"NT, Qld, NSW",native,Abildgaardia vaginata R.Br.,https://id.biodiversity.org.au/node/apni/2899106,https://id.biodiversity.org.au/taxon/apni/51763074,https://id.biodiversity.org.au/taxon/apni/51763044,https://id.biodiversity.org.au/name/apni/56037,https://id.biodiversity.org.au/instance/apni/943318,nomenclatural synonym
Abrodictyum brassii,Abrodictyum brassii,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum brassii,,Qld,native,Abrodictyum brassii (Croxall) Ebihara & K.Iwats.,https://id.biodiversity.org.au/taxon/apni/51773825,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241953,https://id.biodiversity.org.au/taxon/apni/51773825,accepted
Cephalomanes brassii,Abrodictyum brassii,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum brassii,,Qld,native,Abrodictyum brassii (Croxall) Ebihara & K.Iwats.,https://id.biodiversity.org.au/taxon/apni/51773825,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241953,https://id.biodiversity.org.au/instance/apni/51773544,nomenclatural synonym
Abrodictyum caudatum,Abrodictyum caudatum,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum caudatum,,"Qld, NSW, Vic",native,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,https://id.biodiversity.org.au/node/apni/7402200,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241954,https://id.biodiversity.org.au/node/apni/7402200,accepted
Cephalomanes caudatum,Abrodictyum caudatum,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum caudatum,,"Qld, NSW, Vic",native,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,https://id.biodiversity.org.au/node/apni/7402200,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241954,https://id.biodiversity.org.au/instance/apni/7402194,nomenclatural synonym
Macroglena caudata,Abrodictyum caudatum,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum caudatum,,"Qld, NSW, Vic",native,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,https://id.biodiversity.org.au/node/apni/7402200,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241954,https://id.biodiversity.org.au/instance/apni/7402193,nomenclatural synonym
Trichomanes caudatum,Abrodictyum caudatum,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum caudatum,,"Qld, NSW, Vic",native,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,https://id.biodiversity.org.au/node/apni/7402200,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241954,https://id.biodiversity.org.au/instance/apni/7402192,nomenclatural synonym
Abrodictyum obscurum,Abrodictyum obscurum,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum obscurum,,"NT, Qld, NSW",native,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,https://id.biodiversity.org.au/taxon/apni/51437775,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241956,https://id.biodiversity.org.au/taxon/apni/51437775,accepted
Cephalomanes obscurum,Abrodictyum obscurum,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum obscurum,,"NT, Qld, NSW",native,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,https://id.biodiversity.org.au/taxon/apni/51437775,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241956,https://id.biodiversity.org.au/instance/apni/51437771,nomenclatural synonym
Trichomanes obscurum,Abrodictyum obscurum,species,accepted,APC,,Abrodictyum,Hymenophyllaceae,Abrodictyum obscurum,,"NT, Qld, NSW",native,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,https://id.biodiversity.org.au/taxon/apni/51437775,https://id.biodiversity.org.au/taxon/apni/51773826,https://id.biodiversity.org.au/taxon/apni/51773631,https://id.biodiversity.org.au/name/apni/241956,https://id.biodiversity.org.au/instance/apni/51437759,nomenclatural synonym
Abroma fastuosa,Abroma fastuosa,species,unplaced,APNI,,Abroma,Malvaceae,Abroma fastuosa,,,,Abroma fastuosa R.Br.,,https://id.biodiversity.org.au/node/apni/3471412,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/178688,,
Abroma molle,Abroma molle,species,accepted,APC,,Abroma,Malvaceae,Abroma molle,,Qld,native,Abroma molle DC.,https://id.biodiversity.org.au/node/apni/2904866,https://id.biodiversity.org.au/node/apni/3471412,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/199881,https://id.biodiversity.org.au/node/apni/2904866,accepted
Abroma mollis,Abroma molle,species,accepted,APC,,Abroma,Malvaceae,Abroma molle,,Qld,native,Abroma molle DC.,https://id.biodiversity.org.au/node/apni/2904866,https://id.biodiversity.org.au/node/apni/3471412,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/199881,https://id.biodiversity.org.au/instance/apni/947717,orthographic variant
Abrophyllum ornans,Abrophyllum ornans,species,accepted,APC,,Abrophyllum,Rousseaceae,Abrophyllum ornans,,"Qld, NSW",native,Abrophyllum ornans (F.Muell.) Hook.f. ex Benth.,https://id.biodiversity.org.au/node/apni/2893678,https://id.biodiversity.org.au/node/apni/2890655,https://id.biodiversity.org.au/node/apni/2906164,https://id.biodiversity.org.au/name/apni/56085,https://id.biodiversity.org.au/node/apni/2893678,accepted
Abrophyllum ornans var. microcarpum,Abrophyllum ornans var. microcarpum,variety,accepted,APC,,Abrophyllum,Rousseaceae,Abrophyllum ornans,Abrophyllum ornans var. microcarpum,Qld,native,Abrophyllum ornans var. microcarpum F.M.Bailey,https://id.biodiversity.org.au/node/apni/2899105,https://id.biodiversity.org.au/node/apni/2890655,https://id.biodiversity.org.au/node/apni/2906164,https://id.biodiversity.org.au/name/apni/56095,https://id.biodiversity.org.au/node/apni/2899105,accepted
Abrophyllum ornans var. ornans,Abrophyllum ornans var. ornans,variety,accepted,APC,,Abrophyllum,Rousseaceae,Abrophyllum ornans,Abrophyllum ornans var. ornans,"Qld, NSW",native,Abrophyllum ornans (F.Muell.) Hook.f. ex Benth. var. ornans,https://id.biodiversity.org.au/node/apni/2887641,https://id.biodiversity.org.au/node/apni/2890655,https://id.biodiversity.org.au/node/apni/2906164,https://id.biodiversity.org.au/name/apni/119168,https://id.biodiversity.org.au/node/apni/2887641,accepted
Abrotanella forsteroides,Abrotanella forsteroides,species,accepted,APC,,Abrotanella,Asteraceae,Abrotanella forsteroides,,Tas,native,Abrotanella forsteroides (Hook.f.) Benth.,https://id.biodiversity.org.au/node/apni/2901344,https://id.biodiversity.org.au/taxon/apni/51267194,https://id.biodiversity.org.au/taxon/apni/51774774,https://id.biodiversity.org.au/name/apni/56111,https://id.biodiversity.org.au/node/apni/2901344,accepted
Abrotanella nivigena,Abrotanella nivigena,species,accepted,APC,,Abrotanella,Asteraceae,Abrotanella nivigena,,"NSW, Vic",native,Abrotanella nivigena (F.Muell.) F.Muell.,https://id.biodiversity.org.au/node/apni/2900512,https://id.biodiversity.org.au/taxon/apni/51267194,https://id.biodiversity.org.au/taxon/apni/51774774,https://id.biodiversity.org.au/name/apni/56120,https://id.biodiversity.org.au/node/apni/2900512,accepted
Abrotanella scapigera,Abrotanella scapigera,species,accepted,APC,,Abrotanella,Asteraceae,Abrotanella scapigera,,Tas,native,Abrotanella scapigera (F.Muell.) Benth.,https://id.biodiversity.org.au/node/apni/2892726,https://id.biodiversity.org.au/taxon/apni/51267194,https://id.biodiversity.org.au/taxon/apni/51774774,https://id.biodiversity.org.au/name/apni/56130,https://id.biodiversity.org.au/node/apni/2892726,accepted
Abrotanella sp. [White_2020],Abrotanella sp. [White_2020],genus,genus accepted,APC,,Abrotanella,Asteraceae,,,,,,,https://id.biodiversity.org.au/taxon/apni/51267194,https://id.biodiversity.org.au/taxon/apni/51774774,,,
Abrus precatorius,Abrus precatorius,species,accepted,APC,,Abrus,Fabaceae,Abrus precatorius,,"WA, NT, Qld, NSW",native,Abrus precatorius L.,https://id.biodiversity.org.au/node/apni/2919311,https://id.biodiversity.org.au/node/apni/2891650,https://id.biodiversity.org.au/taxon/apni/51788514,https://id.biodiversity.org.au/name/apni/56149,https://id.biodiversity.org.au/node/apni/2919311,accepted
Abrus precatorius subsp. africanus,Abrus precatorius subsp. africanus,subspecies,accepted,APC,,Abrus,Fabaceae,Abrus precatorius,Abrus precatorius subsp. africanus,Qld (naturalised),naturalised,Abrus precatorius subsp. africanus Verdc.,https://id.biodiversity.org.au/node/apni/2916143,https://id.biodiversity.org.au/node/apni/2891650,https://id.biodiversity.org.au/taxon/apni/51788514,https://id.biodiversity.org.au/name/apni/56158,https://id.biodiversity.org.au/node/apni/2916143,accepted
Abrus precatorius subsp. precatorius,Abrus precatorius subsp. precatorius,subspecies,accepted,APC,,Abrus,Fabaceae,Abrus precatorius,Abrus precatorius subsp. precatorius,"WA, NT, Qld, NSW",native,Abrus precatorius L. subsp. precatorius,https://id.biodiversity.org.au/node/apni/2892699,https://id.biodiversity.org.au/node/apni/2891650,https://id.biodiversity.org.au/taxon/apni/51788514,https://id.biodiversity.org.au/name/apni/142711,https://id.biodiversity.org.au/node/apni/2892699,accepted
Abutilon amplum,Abutilon amplum,species,accepted,APC,,Abutilon,Malvaceae,Abutilon amplum,,WA,native,Abutilon amplum Benth.,https://id.biodiversity.org.au/node/apni/2889664,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56213,https://id.biodiversity.org.au/node/apni/2889664,accepted
Abutilon auritum,Abutilon auritum,species,accepted,APC,,Abutilon,Malvaceae,Abutilon auritum,,"WA, ChI, Qld",native,Abutilon auritum (Wall. ex Link) Sweet,https://id.biodiversity.org.au/node/apni/3833263,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56254,https://id.biodiversity.org.au/node/apni/3833263,accepted
Abutilon calliphyllum,Abutilon calliphyllum,species,accepted,APC,,Abutilon,Malvaceae,Abutilon calliphyllum,,Qld,native,Abutilon calliphyllum Domin,https://id.biodiversity.org.au/node/apni/3835441,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56304,https://id.biodiversity.org.au/node/apni/3835441,accepted
Abutilon cryptopetalum,Abutilon cryptopetalum,species,accepted,APC,,Abutilon,Malvaceae,Abutilon cryptopetalum,,"WA, NT, SA, NSW",native,Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,https://id.biodiversity.org.au/node/apni/2900809,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56321,https://id.biodiversity.org.au/node/apni/2900809,accepted
Abutilon cunninghamii,Abutilon cunninghamii,species,accepted,APC,,Abutilon,Malvaceae,Abutilon cunninghamii,,"WA, NT, Qld",native,Abutilon cunninghamii Benth.,https://id.biodiversity.org.au/node/apni/2905239,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56328,https://id.biodiversity.org.au/node/apni/2905239,accepted
Abutilon fraseri,Abutilon fraseri,species,accepted,APC,,Abutilon,Malvaceae,Abutilon fraseri,,"WA, NT, SA, Qld, NSW, Vic",native,Abutilon fraseri (Hook.) Walp.,https://id.biodiversity.org.au/taxon/apni/51438953,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56365,https://id.biodiversity.org.au/taxon/apni/51438953,accepted
Abutilon fraseri subsp. diplotrichum,Abutilon fraseri subsp. diplotrichum,subspecies,accepted,APC,,Abutilon,Malvaceae,Abutilon fraseri,Abutilon fraseri subsp. diplotrichum,"SA, Qld, Vic",native,Abutilon fraseri subsp. diplotrichum (F.Muell. ex Schltdl.) R.M.Barker,https://id.biodiversity.org.au/taxon/apni/51438952,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/171075,https://id.biodiversity.org.au/taxon/apni/51438952,accepted
Abutilon fraseri subsp. fraseri,Abutilon fraseri subsp. fraseri,subspecies,accepted,APC,,Abutilon,Malvaceae,Abutilon fraseri,Abutilon fraseri subsp. fraseri,"WA, NT, SA, Qld, Vic",native,Abutilon fraseri (Hook.) Walp. subsp. fraseri,https://id.biodiversity.org.au/node/apni/2902433,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/222416,https://id.biodiversity.org.au/node/apni/2902433,accepted
Abutilon fugax,Abutilon fugax,species,accepted,APC,,Abutilon,Malvaceae,Abutilon fugax,,Qld,native,Abutilon fugax Domin,https://id.biodiversity.org.au/node/apni/2890366,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56409,https://id.biodiversity.org.au/node/apni/2890366,accepted
Abutilon geranioides,Abutilon geranioides,species,accepted,APC,,Abutilon,Malvaceae,Abutilon geranioides,,WA,native,Abutilon geranioides (DC.) Benth.,https://id.biodiversity.org.au/node/apni/2908201,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56419,https://id.biodiversity.org.au/node/apni/2908201,accepted
Abutilon grandifolium,Abutilon grandifolium,species,accepted,APC,,Abutilon,Malvaceae,Abutilon grandifolium,,"WA (doubtfully naturalised), Qld (naturalised), NSW (naturalised), NI (naturalised), Vic (doubtfully naturalised)",naturalised,Abutilon grandifolium (Willd.) Sweet,https://id.biodiversity.org.au/node/apni/2921307,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56428,https://id.biodiversity.org.au/node/apni/2921307,accepted
Abutilon guineense,Abutilon guineense,species,accepted,APC,,Abutilon,Malvaceae,Abutilon guineense,,Qld (naturalised),naturalised,Abutilon guineense (Schumach.) Baker f. ex Exell,https://id.biodiversity.org.au/node/apni/2901228,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/221523,https://id.biodiversity.org.au/node/apni/2901228,accepted
Abutilon halophilum,Abutilon halophilum,species,accepted,APC,,Abutilon,Malvaceae,Abutilon halophilum,,"NT, SA, Qld, NSW",native,Abutilon halophilum F.Muell. ex Schltdl.,https://id.biodiversity.org.au/taxon/apni/51777320,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56459,https://id.biodiversity.org.au/taxon/apni/51777320,accepted
Abutilon hannii,Abutilon hannii,species,accepted,APC,,Abutilon,Malvaceae,Abutilon hannii,,"WA, NT, Qld",native,Abutilon hannii Baker f.,https://id.biodiversity.org.au/node/apni/2887138,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56470,https://id.biodiversity.org.au/node/apni/2887138,accepted
Abutilon hannii subsp. prostrate (P.K.Latz 427),Abutilon hannii subsp. prostrate (P.K.Latz 427),subspecies,accepted,APC,,Abutilon,Malvaceae,Abutilon hannii,Abutilon hannii subsp. prostrate (P.K.Latz 427),NT,native,Abutilon hannii subsp. prostrate (P.K.Latz 427) R.M.Barker,https://id.biodiversity.org.au/node/apni/2890022,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/243847,https://id.biodiversity.org.au/node/apni/2890022,accepted
Abutilon indicum,Abutilon indicum,species,accepted,APC,,Abutilon,Malvaceae,Abutilon indicum,,"WA, NT, Qld, CSI, Vic (formerly naturalised)",native and naturalised,Abutilon indicum (L.) Sweet,https://id.biodiversity.org.au/node/apni/2888853,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56482,https://id.biodiversity.org.au/node/apni/2888853,accepted
Abutilon albescens,Abutilon indicum subsp. albescens,subspecies,accepted,APC,,Abutilon,Malvaceae,Abutilon indicum,Abutilon indicum subsp. albescens,"WA, NT, Qld, CSI",native,Abutilon indicum subsp. albescens (Miq.) Borss.Waalk.,https://id.biodiversity.org.au/node/apni/2900246,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56491,https://id.biodiversity.org.au/instance/apni/804217,basionym
Abutilon indicum subsp. albescens,Abutilon indicum subsp. albescens,subspecies,accepted,APC,,Abutilon,Malvaceae,Abutilon indicum,Abutilon indicum subsp. albescens,"WA, NT, Qld, CSI",native,Abutilon indicum subsp. albescens (Miq.) Borss.Waalk.,https://id.biodiversity.org.au/node/apni/2900246,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56491,https://id.biodiversity.org.au/node/apni/2900246,accepted
Abutilon asiaticum var. australiense,Abutilon indicum var. australiense,variety,accepted,APC,,Abutilon,Malvaceae,Abutilon indicum,Abutilon indicum var. australiense,"WA, CSI",native,Abutilon indicum var. australiense Hochr. ex Britten,https://id.biodiversity.org.au/node/apni/2915395,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56501,https://id.biodiversity.org.au/instance/apni/947806,nomenclatural synonym
Abutilon indicum var. australiense,Abutilon indicum var. australiense,variety,accepted,APC,,Abutilon,Malvaceae,Abutilon indicum,Abutilon indicum var. australiense,"WA, CSI",native,Abutilon indicum var. australiense Hochr. ex Britten,https://id.biodiversity.org.au/node/apni/2915395,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/56501,https://id.biodiversity.org.au/node/apni/2915395,accepted
