species_name,family,authority,TPL_ID,status,APC_name,APC_ID,APNI_ID
Abutilon indicum var. australiense,Malvaceae,Hochr. ex J.Britten,kew-2610703,Accepted,Abutilon indicum var. australiense,2915395,56501
Abutilon lepidum,Malvaceae,(F.Muell.) A.S.Mitch.,kew-2610742,Accepted,Abutilon lepidum,2918463,56551
Abutilon leucopetalum,Malvaceae,(F.Muell.) Benth.,kew-2610745,Accepted,Abutilon leucopetalum,2911736,56564
Abutilon macrum,Malvaceae,F.Muell.,kew-2610768,Accepted,Abutilon macrum,2906776,56592
Abutilon Mataranka,NA,NA,NA,NA,Abutilon sp. Mataranka (R.M.Barker 877),2918086,243843
Abutilon micropetalum,Malvaceae,Benth.,kew-2610796,Accepted,Abutilon micropetalum,3472572,56610
Abutilon otocarpum,Malvaceae,F.Muell.,kew-2610842,Accepted,Abutilon otocarpum,2892894,56708
Abutilon oxycarpum,Malvaceae,(F.Muell.) Benth.,kew-2610844,Accepted,Abutilon oxycarpum,3863084,56721
Abutilon oxycarpum forma oxycarpum,Malvaceae,(F.Muell.) Benth.,kew-2610844,Accepted,unknown,unknown,unknown
Abutilon oxycarpum var. incanum,Malvaceae,(Benth.) J.Black,kew-2610846,Accepted,Abutilon oxycarpum var. incanum,3863091,116357
Abutilon oxycarpum var. oxycarpum,Malvaceae,(F.Muell.) Benth.,kew-2610844,Accepted,Abutilon oxycarpum var. oxycarpum,2893249,56760
Abutilon oxycarpum var. subsagittatum,Malvaceae,(F.Muell.) Benth.,kew-2610844,Accepted,unknown,unknown,unknown
Abutilon theophrasti,Malvaceae,Medik.,kew-2611008,Accepted,Abutilon theophrasti,2899034,56831
Abutilon tubulosum,Malvaceae,(Hook.) Walp.,kew-2611029,Accepted,Abutilon tubulosum,2919903,56839
Acacia abbreviata,Leguminosae,Maslin,ild-49048,Accepted,Acacia abbreviata,2888965,57932
Acacia abrupta,Leguminosae,Maiden & Blakeley,ild-48485,Accepted,Acacia abrupta,2892503,57952
Acacia acanthaster,Leguminosae,Maslin,ild-48144,Accepted,Acacia acanthaster,2892191,161757
Acacia acanthoclada,Leguminosae,F.Muell.,ild-48137,Accepted,Acacia acanthoclada,2898796,57959
Acacia acellerata,Leguminosae,Maiden & Blakeley,ild-48627,Accepted,Acacia acellerata,2903112,57973
Acacia acinacea,Leguminosae,Lindl.,ild-39311,Accepted,Acacia acinacea,2890684,57996
Acacia acinacea s.l.,Leguminosae,Lindl.,ild-39311,Accepted,Acacia acinacea,2890684,57996
Acacia aciphylla,Leguminosae,Benth.,ild-49296,Accepted,Acacia aciphylla,2892041,58013
Acacia acoma,Leguminosae,Maslin,ild-48372,Accepted,Acacia acoma,2900057,135270
Acacia acradenia,Leguminosae,F.Muell.,ild-48945,Accepted,Acacia acradenia,2902196,58039
Acacia acrionastes,Leguminosae,Pedley,ild-47625,Accepted,Acacia acrionastes,2900521,117515
Acacia acuaria,Leguminosae,W.Fitzg.,ild-48113,Accepted,Acacia acuaria,2913771,58045
Acacia aculeatissima,Leguminosae,J.F.Macbr.,ild-48073,Accepted,Acacia aculeatissima,2919577,58056
Acacia aculeiformis,Leguminosae,Maslin,ild-48308,Accepted,Acacia aculeiformis,2900810,133462
Acacia acuminata,Leguminosae,Benth.,ild-31486,Accepted,Acacia acuminata,2899298,58066
Acacia acuminata subsp. burkittii,Leguminosae,(Benth.) Kodela & Tindale,ild-49315,Accepted,unknown,unknown,unknown
Acacia acutata,Leguminosae,W.Fitzg.,ild-48268,Accepted,Acacia acutata,2895577,58098
Acacia adenogonia,Leguminosae,(Pedley) R.S.Cowan & Maslin,ild-48760,Accepted,Acacia adenogonia,2909041,117990
Acacia adinophylla,Leguminosae,Maslin,ild-48318,Accepted,Acacia adinophylla,2898130,148727
Acacia adnata,Leguminosae,F.Muell.,ild-48606,Accepted,Acacia adnata,2920263,58129
Acacia adoxa,Leguminosae,Pedley,ild-49457,Accepted,Acacia adoxa,2903138,58136
Acacia adsurgens,Leguminosae,Maiden & Blakeley,ild-49218,Accepted,Acacia adsurgens,2907242,58171
Acacia adunca,Leguminosae,G.Don,ild-345,Accepted,Acacia adunca,2908484,58178
Acacia aemula,Leguminosae,Maslin,ild-48254,Accepted,Acacia aemula,2892254,141482
Acacia aestivalis,Leguminosae,E.Pritz.,ild-47584,Accepted,Acacia aestivalis,2895856,58186
Acacia alata,Leguminosae,R.Br.,ild-47958,Accepted,Acacia alata,2905053,58203
Acacia alata var. biglandulosa,Leguminosae,R.Br.,ild-47958,Accepted,unknown,unknown,unknown
Acacia alaticaulis,NA,NA,NA,NA,Acacia alaticaulis,2908144,244353
Acacia albizioides,Leguminosae,Pedley,ild-47393,Accepted,Senegalia albizioides,2892655,103255
Acacia alcockii,Leguminosae,Maslin & Whibley,ild-47539,Accepted,Acacia alcockii,2916861,58249
Acacia alexandri,Leguminosae,Maslin,ild-47826,Accepted,Acacia alexandri,2904701,118422
Acacia alleniana,Leguminosae,Maiden,ild-47804,Accepted,Acacia alleniana,2898989,58254
Acacia alpina,Leguminosae,F.Muell.,ild-49372,Accepted,Acacia alpina,2907301,58263
Acacia amanda,Leguminosae,G.J.Leach,ild-48822,Accepted,Acacia amanda,2916845,168449
Acacia amblygona,Leguminosae,Benth.,ild-48119,Accepted,Acacia amblygona,2917570,58303
Acacia amblyophylla,Leguminosae,F.Muell.,ild-47576,Accepted,Acacia amblyophylla,2888878,58311
Acacia amentifera,Leguminosae,F.Muell.,ild-49042,Accepted,Acacia amentifera,2900913,58322
Acacia ammobia,Leguminosae,Maconochie,ild-49180,Accepted,Acacia ammobia,2915565,58329
Acacia ammophila,Leguminosae,Pedley,ild-48737,Accepted,Acacia ammophila,2899480,58340
Acacia amoena,Leguminosae,Wendl.,ild-47516,Accepted,Acacia amoena,2901602,58347
Acacia ampliata,Leguminosae,R.S.Cowan & Maslin,ild-49286,Accepted,Acacia ampliata,2919087,151493
Acacia ampliceps,Leguminosae,Maslin,ild-47878,Accepted,Acacia ampliceps,2893158,58359
Acacia amputata,Leguminosae,Maslin,ild-49533,Accepted,Acacia amputata,2892522,150481
Acacia amyctica,Leguminosae,R.S.Cowan & Maslin,ild-48667,Accepted,Acacia amyctica,2902736,150209
Acacia anarthos,Leguminosae,Maslin,ild-49575,Accepted,Acacia anarthros,2917216,58367
Acacia anasilla,Leguminosae,A.S.George,ild-49468,Accepted,Acacia anasilla,2919396,161979
Acacia anastema,Leguminosae,Maslin,ild-49280,Accepted,Acacia anastema,2906437,58373
Acacia anaticeps,Leguminosae,Tindale,ild-48823,Accepted,Acacia anaticeps,2893873,58380
Acacia anceps,Leguminosae,DC.,ild-47540,Accepted,Acacia anceps,2916018,58390
Acacia anceps x nematophylla,Leguminosae,DC.,ild-47540,Accepted,Acacia nematophylla,2888030,67290
Acacia ancistrocarpa,Leguminosae,Maiden & Blakeley,ild-49073,Accepted,Acacia ancistrocarpa,2903070,58420
Acacia ancistrocarpa x trachycarpa,Leguminosae,Maiden & Blakeley,ild-49073,Accepted,Acacia ancistrocarpa,2903070,58420
Acacia ancistrophylla,Leguminosae,C.R.P.Andrews,ild-48661,Accepted,Acacia ancistrophylla,2904250,58425
Acacia andrewsii,Leguminosae,W.Fitzg.,ild-48231,Accepted,Acacia andrewsii,2912393,58436
Acacia aneura,Leguminosae,Benth.,ild-33174,Accepted,Acacia aneura,6707550,58443
Acacia aneura var. major,Leguminosae,Benth.,ild-33174,Accepted,unknown,unknown,unknown
Acacia aneura var. microcarpa,Leguminosae,Benth.,ild-33174,Accepted,unknown,unknown,unknown
Acacia anfractuosa,Leguminosae,Maslin,ild-49352,Accepted,Acacia anfractuosa,2891174,58503
Acacia angusta,Leguminosae,Maiden,ild-47643,Accepted,Acacia angusta,2920289,58522
Acacia angustissima,Leguminosae,(Mill.) Kuntze,ild-28172,Accepted,Acaciella angustissima,2913764,207823
Acacia anomala,Leguminosae,Court,ild-47951,Accepted,Acacia anomala,2914483,58556
Acacia anthochaera,Leguminosae,Maslin,ild-47855,Accepted,Acacia anthochaera,2892397,135429
Acacia aphanoclada,Leguminosae,Maslin,ild-47827,Accepted,Acacia aphanoclada,2894299,118423
Acacia aphylla,Leguminosae,Maslin,ild-47952,Accepted,Acacia aphylla,2913504,58565
Acacia applanata,Leguminosae,Maslin,ild-47979,Accepted,Acacia applanata,2912980,135549
Acacia aprepta,Leguminosae,Pedley,ild-49210,Accepted,Acacia aprepta,2910989,58582
Acacia aprica,Leguminosae,A.R.Chapm. & Maslin,ild-49328,Accepted,Acacia aprica,2903843,149911
Acacia arafurica,Leguminosae,Tindale & Kodela,ild-48746,Accepted,Acacia arafurica,2912672,118175
Acacia araneosa,Leguminosae,Whibley,ild-47550,Accepted,Acacia araneosa,2919802,58598
Acacia arbiana,Leguminosae,Pedley,ild-47738,Accepted,Acacia arbiana,2906686,165264
Acacia arcuatilis,Leguminosae,R.S.Cowan & Maslin,ild-49327,Accepted,Acacia arcuatilis,2918828,134874
Acacia argutifolia,Leguminosae,Maslin,ild-48246,Accepted,Acacia argutifolia,2913728,58630
Acacia argyraea,Leguminosae,Tindale,ild-49084,Accepted,Acacia argyraea,2889170,58637
Acacia argyrodendron,Leguminosae,Domin,ild-48744,Accepted,Acacia argyrodendron,2912714,58643
Acacia argyrophylla,Leguminosae,Hook.,ild-47770,Accepted,Acacia argyrophylla,2899366,58652
Acacia argyrotricha,Leguminosae,Pedley,ild-48695,Accepted,Acacia argyrotricha,2915974,165272
Acacia arida,Leguminosae,Benth.,ild-49031,Accepted,Acacia arida,2896575,58668
Acacia aristulata,Leguminosae,Maslin,ild-48150,Accepted,Acacia aristulata,2909621,150783
Acacia armillata,Leguminosae,(Pedley) Pedley,ild-48781,Accepted,Acacia armillata,2913458,117417
Acacia armitii,Leguminosae,Maiden,ild-48974,Accepted,Acacia armitii,2888073,58822
Acacia arrecta,Leguminosae,Maslin,ild-49051,Accepted,Acacia arrecta,2918611,58827
Acacia ascendens,Leguminosae,Maslin,ild-48486,Accepted,Acacia ascendens,2921287,118006
Acacia asepala,Leguminosae,Maslin,ild-48274,Accepted,Acacia asepala,2919343,150784
Acacia ashbyae,Leguminosae,Maslin,ild-47928,Accepted,Acacia ashbyae,2904761,58839
Acacia asparagoides,Leguminosae,A.Cunn.,ild-48098,Accepted,Acacia asparagoides,2900916,58846
Acacia aspera,Leguminosae,Lindl.,ild-48401,Accepted,Acacia aspera,2900765,58854
Acacia asperulacea,Leguminosae,F.Muell.,ild-49478,Accepted,Acacia asperulacea,2907403,58872
Acacia assimilis,Leguminosae,S.Moore,ild-48592,Accepted,Acacia assimilis,2890882,58880
Acacia assimilis subsp. atroviridis,Leguminosae,S.Moore,ild-48592,Accepted,unknown,unknown,unknown
Acacia ataxiphylla,Leguminosae,Benth.,ild-48235,Accepted,Acacia ataxiphylla,2896648,58898
Acacia atkinsiana,Leguminosae,Maslin,ild-49209,Accepted,Acacia atkinsiana,2918121,58905
Acacia atopa,Leguminosae,Pedley,ild-49279,Accepted,Acacia atopa,2888269,168470
Acacia attenuata,Leguminosae,Maiden & Blakeley,ild-47512,Accepted,Acacia attenuata,2887463,58907
Acacia aulacocarpa,Leguminosae,Benth.,ild-48895,Accepted,Acacia aulacocarpa,2901923,58916
Acacia aulacophylla,Leguminosae,R.S.Cowan & Maslin,ild-48591,Accepted,Acacia aulacophylla,2894733,150805
Acacia auratiflora,Leguminosae,R.S.Cowan & Maslin,ild-48527,Accepted,Acacia auratiflora,2913715,150778
Acacia aureocrinita,Leguminosae,B.J.Conn & Tame,ild-47762,Accepted,Acacia aureocrinita,2893838,147401
Acacia auricoma,Leguminosae,Maslin,ild-48824,Accepted,Acacia auricoma,2893463,58965
Acacia auriculiformis,Leguminosae,Benth.,ild-19892,Accepted,Acacia auriculiformis,2900508,58974
Acacia auripila,Leguminosae,R.S.Cowan & Maslin,ild-48710,Accepted,Acacia auripila,2904963,151268
Acacia auronitens,Leguminosae,Lindl.,ild-48264,Accepted,Acacia auronitens,2906882,58980
Acacia ausfeldii,Leguminosae,Regel,ild-48442,Accepted,Acacia ausfeldii,2886531,58998
Acacia awestoniana,Leguminosae,R.S.Cowan & Maslin,ild-48524,Accepted,Acacia awestoniana,2920288,117973
Acacia axillaris,Leguminosae,Benth.,ild-49448,Accepted,Acacia axillaris,2911902,59024
Acacia ayersiana,Leguminosae,Maconochie,ild-49269,Accepted,Acacia ayersiana,2903597,59014
Acacia baeuerlenii,Leguminosae,Maiden & R.T.Baker,ild-48468,Accepted,Acacia baeuerlenii,2908948,59046
Acacia baileyana,Leguminosae,F.Muell.,ild-364,Accepted,Acacia baileyana,2915203,59065
Acacia bakeri,Leguminosae,Maiden,ild-48854,Accepted,Acacia bakeri,2902312,59086
Acacia balsamea,Leguminosae,R.S.Cowan & Maslin,ild-48683,Accepted,Acacia balsamea,2910248,151165
Acacia bancroftiorum,Leguminosae,Maiden,ild-47496,Accepted,Acacia bancroftiorum,2917627,168491
Acacia barakulensis,Leguminosae,Pedley,ild-48053,Accepted,Acacia barakulensis,2903278,165265
Acacia barattensis,Leguminosae,J.M.Black,ild-48473,Accepted,Acacia barattensis,2905743,59118
Acacia barbinervis,Leguminosae,Benth.,ild-48249,Accepted,Acacia barbinervis,2901429,59130
Acacia barrettiorum,Leguminosae,Lewington & Maslin,kew-2895417,Unresolved,Acacia barrettiorum,2917300,222254
Acacia barringtonensis,Leguminosae,Tindale,ild-47650,Accepted,Acacia barringtonensis,2914220,59139
Acacia basedowii,Leguminosae,Maiden,ild-48131,Accepted,Acacia basedowii,2907363,59178
Acacia baueri,Leguminosae,Benth.,ild-47720,Accepted,Acacia baueri,2898040,59209
Acacia baxteri,Leguminosae,Benth.,ild-48232,Accepted,Acacia baxteri,2894350,59261
Acacia beadleana,Leguminosae,R.H.Jones & J.J.Bruhl,kew-2606014,Unresolved,Acacia beadleana,2902581,198624
Acacia beauverdiana,Leguminosae,Ewart & Sharman,ild-49290,Accepted,Acacia beauverdiana,2891187,59271
Acacia beckleri,Leguminosae,Tindale,ild-47791,Accepted,Acacia beckleri,2910007,59281
Acacia benthamii,Leguminosae,Meissner,ild-48617,Accepted,Acacia benthamii,2893199,59294
Acacia betchei,Leguminosae,Maiden & Blakeley,ild-47621,Accepted,Acacia betchei,2894406,59316
Acacia bidentata,Leguminosae,Benth.,ild-48147,Accepted,Acacia bidentata,2890396,59327
Acacia bidwillii,Leguminosae,Benth.,ild-47382,Accepted,Vachellia bidwillii,2911109,200311
Acacia bifaria,Leguminosae,Maslin,ild-48382,Accepted,Acacia bifaria,2902849,135273
Acacia biflora,Leguminosae,R.Br.,ild-48203,Accepted,Acacia biflora,2915309,59413
Acacia binata,Leguminosae,Maslin,ild-48345,Accepted,Acacia binata,2917045,59448
Acacia binervata,Leguminosae,DC.,ild-31497,Accepted,Acacia binervata,2915163,59458
Acacia binervia,Leguminosae,(Wendl.) J.F.Macbr.,ild-366,Accepted,Acacia binervia,2905078,59466
Acacia bivenosa,Leguminosae,DC.,ild-31501,Accepted,Acacia bivenosa,2912987,59491
Acacia blakei,Leguminosae,Pedley,ild-49120,Accepted,Acacia blakei,2911387,59527
Acacia blakelyi,Leguminosae,Maiden,ild-47923,Accepted,Acacia blakelyi,2901812,59535
Acacia blaxellii,Leguminosae,Maslin,ild-48348,Accepted,Acacia blaxellii,2895647,133473
Acacia blayana,Leguminosae,Tindale & Court,ild-47404,Accepted,Acacia blayana,2899631,118800
Acacia boormanii,Leguminosae,Maiden,ild-39312,Accepted,Acacia boormanii,2896783,59572
Acacia botrydion,Leguminosae,Maslin,ild-48313,Accepted,Acacia botrydion,2894868,59595
Acacia brachybotrya,Leguminosae,Benth.,ild-31500,Accepted,Acacia brachybotrya,2892012,59600
Acacia brachycarpa,Leguminosae,Pedley,ild-48075,Accepted,Acacia brachycarpa,2911143,59678
Acacia brachyclada,Leguminosae,W.Fitzg.,ild-48160,Accepted,Acacia brachyclada,2904285,59686
Acacia brachyphylla,Leguminosae,Benth.,ild-48516,Accepted,Acacia brachyphylla,2900130,59696
Acacia brachypoda,Leguminosae,Maslin,ild-48487,Accepted,Acacia brachypoda,2920010,118007
Acacia brachystachya,Leguminosae,Benth.,ild-49252,Accepted,Acacia brachystachya,2902298,59715
Acacia bracteolata,Leguminosae,Maslin,ild-48383,Accepted,Acacia bracteolata,2904593,135420
Acacia brassii,Leguminosae,Pedley,ild-48950,Accepted,Acacia brassii,2911745,59734
Acacia brockii,Leguminosae,Tindale & Kodela,ild-48996,Accepted,Acacia brockii,2887393,118186
Acacia browniana,Leguminosae,Wendl.,ild-49506,Accepted,Acacia browniana,2889160,59784
Acacia brownii,Leguminosae,(Poir.) Steud.,ild-48077,Accepted,Acacia brownii,2895217,130388
Acacia brumalis,Leguminosae,Maslin,ild-47577,Accepted,Acacia brumalis,2904422,133518
Acacia brunioides,Leguminosae,G.Don,ild-47731,Accepted,Acacia brunioides,2890355,59851
Acacia bulgaensis,Leguminosae,Tindale & S.J.Davies,ild-49119,Accepted,Acacia bulgaensis,2889179,117995
Acacia burbidgeae,Leguminosae,Pedley,ild-48050,Accepted,Acacia burbidgeae,2903628,59889
Acacia burrana,Leguminosae,Pedley,kew-2603357,Unresolved,Acacia burrana,2896819,204387
Acacia burrowii,Leguminosae,Maiden,ild-49117,Accepted,Acacia burrowii,2898960,59904
Acacia buxifolia,Leguminosae,A.Cunn.,ild-31499,Accepted,Acacia buxifolia,2906034,59912
Acacia bynoeana,Leguminosae,Benth.,ild-48563,Accepted,Acacia bynoeana,2897229,59969
Acacia caerulescens,Leguminosae,Maslin & Court,ild-47492,Accepted,Acacia caerulescens,2893725,59987
Acacia caesariata,Leguminosae,R.S.Cowan & Maslin,ild-48521,Accepted,Acacia caesariata,2908040,117996
Acacia caesiella,Leguminosae,Maiden & Blakeley,ild-31507,Accepted,Acacia caesiella,2888228,59994
Acacia calamifolia,Leguminosae,Lindl.,ild-31503,Accepted,Acacia calamifolia,2893034,60019
Acacia calantha,Leguminosae,Pedley,ild-48037,Accepted,Acacia calantha,2920995,60061
Acacia calcarata,Leguminosae,Maiden & Blakeley,ild-48275,Accepted,Acacia calcarata,2891912,60071
Acacia calcicola,Leguminosae,Forde & Ising,ild-48735,Accepted,Acacia calcicola,2889507,60081
Acacia caleyi,Leguminosae,Benth.,ild-47617,Accepted,Acacia podalyriifolia,2921020,68741
Acacia calyculata,Leguminosae,Benth.,ild-49090,Accepted,Acacia calyculata,2893908,60111
Acacia cambagei,Leguminosae,R.T.Baker,ild-48740,Accepted,Acacia cambagei,2908091,60120
Acacia camptoclada,Leguminosae,C.R.P.Andrews,ild-47866,Accepted,Acacia camptoclada,2914153,60132
Acacia campylophylla,Leguminosae,Benth.,ild-48633,Accepted,Acacia campylophylla,2888685,60152
Acacia cana,Leguminosae,Maiden,ild-48731,Accepted,Acacia cana,2920444,60165
Acacia cangaiensis,Leguminosae,Tindale & Kodela,ild-47410,Accepted,Acacia cangaiensis,2894960,117589
Acacia capillaris,Leguminosae,A.S.George,ild-49469,Accepted,Acacia capillaris,2902482,161989
Acacia cardiophylla,Leguminosae,Benth.,ild-31504,Accepted,Acacia cardiophylla,2907763,60199
Acacia carens,Leguminosae,Maslin,ild-48263,Accepted,Acacia carens,2892845,151154
Acacia carneorum,Leguminosae,Maiden,ild-47802,Accepted,Acacia carneorum,2911484,164737
Acacia carnosula,Leguminosae,Maslin,ild-48351,Accepted,Acacia carnosula,2906291,151181
Acacia caroleae,Leguminosae,Pedley,ild-49172,Accepted,Acacia caroleae,2894332,60225
Acacia cassicula,Leguminosae,R.S.Cowan & Maslin,ild-48528,Accepted,Acacia cassicula,2906576,117974
Acacia castanostegia,Leguminosae,Maslin,ild-47926,Accepted,Acacia castanostegia,2889428,151344
Acacia cataractae,Leguminosae,Tindale & Kodela,ild-49076,Accepted,Acacia cataractae,2911035,118178
Acacia catenulata,Leguminosae,C.T.White,ild-49276,Accepted,Acacia catenulata,2887680,60238
Acacia cavealis,Leguminosae,R.S.Cowan & Maslin,ild-48266,Accepted,Acacia cavealis,2916184,151259
Acacia cedroides,Leguminosae,Benth.,ild-48244,Accepted,Acacia cedroides,2892297,60250
Acacia celastrifolia,Leguminosae,Benth.,ild-47999,Accepted,Acacia celastrifolia,2902832,60261
Acacia cerastes,Leguminosae,Maslin,ild-48285,Accepted,Acacia cerastes,2901695,151049
Acacia cf irrorata,Leguminosae,Spreng.,ild-32520,Accepted,Acacia irrorata,2890998,64821
Acacia chalkeri,Leguminosae,Maiden,ild-47518,Accepted,Acacia chalkeri,2900499,60296
Acacia chamaeleon,Leguminosae,Maslin,ild-47579,Accepted,Acacia chamaeleon,2897185,147976
Acacia chapmanii,Leguminosae,R.S.Cowan & Maslin,ild-48629,Accepted,Acacia chapmanii,2905617,153427
Acacia chartacea,Leguminosae,Maslin,ild-47841,Accepted,Acacia chartacea,2899604,118424
Acacia cheelii,Leguminosae,Blakeley,ild-49131,Accepted,Acacia cheelii,2920400,60309
Acacia chinchillensis,Leguminosae,Tindale,ild-47409,Accepted,Acacia chinchillensis,2916473,60317
Acacia chippendalei,Leguminosae,Pedley,ild-49461,Accepted,Acacia chippendalei,2893631,60327
Acacia chisholmii,Leguminosae,Bailey,ild-49014,Accepted,Acacia chisholmii,2920775,60339
Acacia chrysella,Leguminosae,Maiden & Blakeley,ild-47583,Accepted,Acacia chrysella,2902588,60358
Acacia chrysocephala,Leguminosae,Maslin,ild-48200,Accepted,Acacia chrysocephala,2887749,60381
Acacia chrysochaeta,Leguminosae,Maslin,ild-49002,Accepted,Acacia chrysochaeta,2894873,60387
Acacia chrysopoda,Leguminosae,Maiden & Blakeley,ild-48531,Accepted,Acacia chrysopoda,2901476,60394
Acacia chrysotricha,Leguminosae,Tindale,ild-31505,Accepted,Acacia chrysotricha,2919959,60407
Acacia cincinnata,Leguminosae,F.Muell.,ild-32787,Accepted,Acacia cincinnata,2886243,60463
Acacia citrinoviridis,Leguminosae,Tindale & Maslin,ild-49240,Accepted,Acacia citrinoviridis,2910100,60484
Acacia citriodora,NA,NA,NA,NA,Acacia sp. Barklys (J.L.Egan 124),2886740,199440
Acacia clandullensis,Leguminosae,B.J.Conn & Tame,ild-47761,Accepted,Acacia clandullensis,2897701,162883
Acacia clelandii,Leguminosae,Pedley,ild-49257,Accepted,Acacia clelandii,2904839,168611
Acacia clunies-rossiae,Leguminosae,Maiden,ild-32785,Accepted,Acacia clunies-rossiae,2886855,60561
Acacia clydonophora,Leguminosae,Maslin,ild-47986,Accepted,Acacia clydonophora,2903184,151164
Acacia cochlearis,Leguminosae,(Labill.) Wendl.,ild-48613,Accepted,Acacia cochlearis,2908914,60569
Acacia cochlocarpa,Leguminosae,Meissner,ild-49345,Accepted,Acacia cochlocarpa,2903048,60577
Acacia cognata,Leguminosae,Domin,ild-48464,Accepted,Acacia cognata,2913109,60589
Acacia colei,Leguminosae,Maslin & L.A.J.Thomson,ild-48931,Accepted,Acacia colei,2888135,118011
Acacia colei var  colei,Leguminosae,Maslin & L.A.J.Thomson,ild-48931,Accepted,unknown,unknown,unknown
Acacia colei var. colei,Leguminosae,Maslin & L.A.J.Thomson,ild-48931,Accepted,unknown,unknown,unknown
Acacia colletioides,Leguminosae,Benth.,ild-48621,Accepted,Acacia colletioides,2891142,60608
Acacia comans,Leguminosae,W.Fitzg.,ild-48607,Accepted,Acacia comans,2887106,60648
Acacia complanata,Leguminosae,Benth.,ild-31487,Accepted,Acacia complanata,2900456,60666
Acacia concolorans,Leguminosae,Maslin,ild-48277,Accepted,Acacia concolorans,2897638,133562
Acacia concurrens,Leguminosae,Pedley,ild-31552,Accepted,Acacia concurrens,2892558,60687
Acacia conferta,Leguminosae,Benth.,ild-47739,Accepted,Acacia conferta,2888903,60695
Acacia confluens,Leguminosae,Maiden & Blakeley,ild-47567,Accepted,Acacia confluens,2888415,60704
Acacia congesta,Leguminosae,Benth.,ild-48301,Accepted,Acacia congesta,2908009,60713
Acacia conjunctifolia,Leguminosae,F.Muell.,ild-49040,Accepted,Acacia conjunctifolia,2902055,60721
Acacia conniana,Leguminosae,Maslin,ild-49187,Accepted,Acacia conniana,2917730,60727
Acacia consanguinea,Leguminosae,R.S.Cowan & Maslin,ild-48600,Accepted,Acacia consanguinea,2920132,135407
Acacia consobrina,Leguminosae,R.S.Cowan & Maslin,ild-48533,Accepted,Acacia consobrina,2896912,117975
Acacia conspersa,Leguminosae,F.Muell.,ild-48985,Accepted,Acacia conspersa,2900121,60732
Acacia constablei,Leguminosae,Tindale,ild-31506,Accepted,Acacia constablei,2918275,60740
Acacia continua,Leguminosae,Benth.,ild-48127,Accepted,Acacia continua,2907413,60749
Acacia convallium,Leguminosae,Pedley,ild-48839,Accepted,Acacia convallium,2889399,149010
Acacia coolgardiensis,Leguminosae,Maiden,ild-49281,Accepted,Acacia coolgardiensis,2912914,60762
Acacia coriacea,Leguminosae,DC.,ild-48702,Accepted,Acacia coriacea,2916972,60805
Acacia coriacea subsp. sericophylla,Leguminosae,(F.Muell.) R.S.Cowan & Maslin,ild-48707,Accepted,unknown,unknown,unknown
Acacia costata,Leguminosae,Benth.,ild-48248,Accepted,Acacia costata,2888666,60834
Acacia costiniana,Leguminosae,Tindale,ild-47652,Accepted,Acacia costiniana,2893926,60851
Acacia courtii,Leguminosae,Tindale & Hersc.,ild-49419,Accepted,Acacia courtii,2903240,118803
Acacia covenyi,Leguminosae,Tindale,ild-47654,Accepted,Acacia covenyi,2894040,60859
Acacia cowaniana,Leguminosae,Maslin,ild-48482,Accepted,Acacia cowaniana,2911684,118008
