species_name,SLA (mm2/mg),SLA_from_TRY,seed mass (mg),leaf size (cm2),dispersal appendage/syndrome,growth habit,climbing type,Original taxon in paper
Clematis aristata,NA,NA,NA,NA,coma,woody,twiner,Clematis aristata
Clematis glycinoides,NA,NA,NA,NA,coma,woody,twiner,Clematis glycinoides
Connarus conchocarpus,NA,NA,NA,NA,aril,woody,twiner,Connarus conchocarpus
Derris trifoliata,NA,NA,NA,NA,water,woody,twiner,Derris trifoliata
Desmos goezeanus,NA,NA,NA,NA,aril,woody,tendrils,Desmos goezeanus
Dichapetalum papuanum,NA,NA,NA,NA,aril,woody,scrambler,Dichapetalum papuanum
Dioscorea transversa,NA,NA,NA,NA,wing,herbaceous,twiner,Dioscorea transversa
Elaeagnus triflora,NA,NA,NA,NA,drupe,woody,scrambler,Elaeagnus triflora
Embelia grayi,NA,NA,NA,NA,drupe,woody,twiner,Embelia grayi
Entada phaseoloides,NA,NA,NA,NA,water,woody,twiner,Entada phaseoloides
Eustrephus latifolius,NA,NA,NA,NA,aril,herbaceous,twiner,Eustrephus latifolius
Faradaya splendida,NA,NA,NA,NA,fleshy,woody,twiner,Faradaya splendida
Fieldia australis,NA,NA,NA,NA,berry,herbaceous,twiner,Fieldia australis
Flagellaria indica,NA,NA,NA,NA,drupe,herbaceous,tendrils,Flagellaria indica
Freycinetia excelsa,NA,NA,NA,NA,berry,woody,scrambler,Freycinetia excelsa
Geitonoplesium cymosum,NA,NA,NA,NA,berry,herbaceous,twiner,Geitonoplesium cymosum
Geophila repens,NA,NA,NA,NA,fleshy,herbaceous,scrambler,Geophila repens
Glycine microphylla,NA,NA,NA,NA,elaiosome,herbaceous,scrambler,Glycine microphylla
Hardenbergia violacea,NA,NA,NA,NA,elaiosome,herbaceous,twiner,Hardenbergia violacea
Hibbertia scandens,NA,NA,NA,NA,aril,woody,twiner,Hibbertia scandens
Hippocratea barbata,NA,NA,NA,NA,wing,woody,twiner,Hippocratea  barbata
Hypserpa decumbens,NA,NA,NA,NA,drupe,woody,twiner,Hypserpa decumbens
Hypserpa laurina,NA,NA,NA,NA,drupe,woody,twiner,Hypserpa laurina
Jasminum didymum,NA,NA,NA,NA,drupe,woody,twiner,Jasminum didymum
Jasminum kajewskii,NA,NA,NA,NA,drupe,woody,twiner,Jasminum kajewskii
Legnephora moorei,NA,NA,NA,NA,berry,woody,twiner,Legnephora moorei
Maclura cochinchinensis,NA,NA,NA,NA,animal,woody,hooks,Maclura cochinchinensis
Marsdenia micradenia,NA,NA,NA,NA,coma,herbaceous,twiner,Marsdenia micradenia
Melodinus acutiflorus,NA,NA,NA,NA,berry,woody,twiner,Melodinus acutiflorus
Melodinus australis,NA,NA,NA,NA,berry,woody,twiner,Melodinus australis
Morinda jasminoides,NA,NA,NA,NA,fleshy syncarp,woody,twiner,Morinda jasminoides
Morinda umbellata,NA,NA,NA,NA,fleshy syncarp,woody,twiner,Morinda umbellata
Mucuna gigantea,NA,NA,NA,NA,water,woody,twiner,Mucuna gigantea
Neosepicaea jucunda,NA,NA,NA,NA,wing,woody,twiner,Neosepicaea jucunda
Nothocissus penninervis,NA,NA,NA,NA,drupe,woody,tendrils,Cissus penninervis
Pandorea jasminoides,NA,NA,NA,NA,wing,woody,twiner,Pandorea jasminoides
Pandorea pandorana,NA,NA,NA,NA,wing,woody,twiner,Pandorea pandorana
Parapachygone longifolia,NA,NA,NA,NA,berry,woody,twiner,Pachygone longifolia
Parsonsia brownii,NA,NA,NA,NA,coma,herbaceous,twiner,Parsonsia brownii
Parsonsia rotata,NA,NA,NA,NA,coma,herbaceous,twiner,Parsonsia rotata
Parsonsia straminea,NA,NA,NA,NA,coma,woody,twiner,Parsonsia straminea
Pergularia flavescens,NA,NA,NA,NA,coma,herbaceous,twiner,Marsdenia flavescens
Pergularia rostrata,NA,NA,NA,NA,coma,woody,twiner,Marsdenia rostrata
Piper caninum,NA,NA,NA,NA,berry,herbaceous,NA,Piper caninum
Pothos longipes,NA,NA,NA,NA,berry,herbaceous,roots,Pothos longipes
Rubus rosifolius,NA,NA,NA,NA,drupe,herbaceous,scrambler,Rubus rosifolius
Sageretia hamosa,NA,NA,NA,NA,drupe,woody,hooks,Sageretia hamosa
Santaloides brachyandrum,NA,NA,NA,NA,aril,woody,twiner,Rourea brachyandrum
Secamone elliptica,NA,NA,NA,NA,coma,woody,twiner,Secamone elliptica
Smilax australis,NA,NA,NA,NA,drupe,herbaceous,tendrils,Smilax australis
Smilax calophylla,NA,NA,NA,NA,berry,herbaceous,tendrils,Smilax calophylla
Smilax glyciphylla,NA,NA,NA,NA,drupe,herbaceous,tendrils,Smilax glyciphylla
Stephania japonica,NA,NA,NA,NA,drupe,woody,twiner,Stephania japonica
Uncaria lanosa,NA,NA,NA,NA,wing,woody,twiner,Uncaria lanosa
Glossocarya hemiderma,NA,NA,NA,NA,NA,woody,twiner,Glossocarya hemiderma
Grevillea laurifolia,NA,NA,NA,NA,NA,woody,scrambler,Grevillea laurifolia
Kennedia rubicunda,NA,NA,NA,NA,NA,herbaceous,twiner,Kennedia rubicunda
Motherwellia haplosciadea,NA,NA,NA,NA,NA,woody,NA,Motherwellia haplosciadea
Tournefortia sarmentosa,NA,NA,NA,NA,NA,woody,twiner,Tournefortia sarmentosa
