Site,Season,Species,Plant,Time,A,E,gs,WP,WP_pre_dawn,WP_midday,Ves Count,Phenology,Diameter,Area,Dry weight,SLA,Height max (m),Ks (kg m-1 MPa-1 s-1),KL (kg m-1 MPa-1 s-1),Kh,WP min predawn (MPa),Huber value,Max vessel length (cm),Av. conduit diameter (um),dh mean hydraulic diameter (um),wood density (g/cm3),context
1,Wet,Alphitonia excelsa,4,15:00:00,6.33,2.352,0.05,-1.35,NA,-1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Alphitonia excelsa,4,17:00:00,4.362,4.738,0.188,-1.066666667,NA,-1.066666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Brachychiton australis,1,9:00:00,9.878,2.782,0.396,-1.533333333,NA,-1.533333333,15,Deciduous,71.51421469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Brachychiton australis,1,11:00:00,9.178,3.23,0.148,-2.1,NA,-2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Brachychiton australis,1,13:00:00,7.576,3.57,0.196,-1.45,NA,-1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Brachychiton australis,1,15:00:00,5.372,1.534,0.158,-1.316666667,NA,-1.316666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Brachychiton australis,1,17:00:00,3.56,1.282,0.068,-1.1,NA,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Brachychiton australis,2,9:00:00,6.82,1.946,0.202,-1.375,NA,-1.375,12.66666667,NA,103.6424933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Brachychiton australis,2,11:00:00,8.236,3.85,0.226,-1.85,NA,-1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Brachychiton australis,2,13:00:00,6.118,3.238,0.164,-1.8,NA,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Brachychiton australis,2,15:00:00,5.904,3.584,0.172,-1.316666667,NA,-1.316666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Brachychiton australis,2,17:00:00,6,2.258,0.114,-1.333333333,NA,-1.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Brachychiton australis,3,9:00:00,10.944,6.172,0.662,-1.066666667,NA,-1.066666667,14.33333333,NA,88.96069841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Brachychiton australis,3,11:00:00,10.714,6.622,1.21,-1.35,NA,-1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Brachychiton australis,3,13:00:00,7.864,6.004,0.312,-1.35,NA,-1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
