Source Tab,Family,SPECIES_NAME,Pollinators_Bee_Records,Pollinators_Bee_Species,Pollinators_Bird,Pollinators_Bird&Insect,Pollinators_Bird_Records,buzz_pollination_by_bees_BPB,Pollinators_Butterfly,Polllination_Consistency,GDM_&_Bird,pollinators_insects_generic_GIP,Insect_group,Insect_Records,Insect_Type,Insects,non_flying_mammals&birds,non_flying_mammals_rec,Other_Insect_Records,post_pollination_colour_change_PPCC,relatively_specialised_insect_pollination_RSIP,selfing_SP,specialised_insect_pollination_SIP,Specific_pollintor,Pollination_Water,Pollination_Wind,Pollination_summary,Pollen_refs_&_notes,Breeding,Dioecy,Flower_Colour,Bud_width,Corolla_length,Corolla_length_male,Corolla_length_min,Corolla_length_max,Flower_Size,Floral_tube_length,Flower_length,Flower_display,Sepal_female,Bract_length,Inflorescence,Inflorescence_size,filament,Filament_length,Stamen,Anther_Length,Fruit_morphology,Pistil_Length,Pollen_presenter,Flower_shape,Stamen_Length,Stigma,Style_hairy,Style_Length,Anther_type,Flower,Flower_studied_in_herbarium,canopy_seed_bank_CSB,Fire_flowering,Fire_impact,FPBuds,fire_promoted_flowering_FPF,fire_promoted_germination_FPG,MFT,resprouts_epicormic_buds_REB,_repsrouts_epicormic_??_REC,Resprouts,resprouts_from_lignotubers_roots_or_rhizomes_RLR,short-lived_after_fire_SAF,seed_germination_promoted_by_fire_SGP,secondary_pollen_presentation_SPP,soil_seed_bank_SSB,Fire_response_Variable,Fire_Notes,Mycorrhizae,Rare_Flora,southwest_SW,Ecology,Ecology_ref,Habitat_and_life_history,Explosive,Dispersal_Wind_seeds,Dispersal_Wing,Notes,Photos,Rare_status,References,datasetName,GENUS,GENUS2,Group,Inf_group,INFRA_NAME,INFRA_RANK,Name,Name_Authorship,NAME_ID,new_genus,SPECIES,Subgenus,Subsp,taxa,Taxonomy,Taxonomy2
Petaloid Monocots,Asparagaceae,Acanthocarpus sp. Cooloomia (S.D. Hopper 3301),,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocarpus,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Acanthocarpus verticillatus,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocarpus,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Arthropodium curvipes,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthropodium,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Arthropodium dyeri,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthropodium,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Arthropodium sp. Goldfields (H. Pringle 2188),,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthropodium,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Arthropodium sp. Yenyenning (G.J. Keighery & N. Gibson 2957),,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthropodium,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaescilla corymbosa,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generalists,,,"MCB, GK, etc.",,Chamaescilla,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaescilla corymbosa var. corymbosa,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaescilla,,,,,,,,,,,,,,subsp NTT,
Petaloid Monocots,Asparagaceae,Chamaescilla corymbosa var. paradoxa,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaescilla,,,,,,,,,,,,,,subsp,
Petaloid Monocots,Asparagaceae,Chamaescilla gibsonii,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaescilla,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaescilla maculata,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaescilla,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaescilla spiralis,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaescilla,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaescilla versicolor,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaescilla,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaexeros fimbriata,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poorly known,,,GK,,Chamaexeros,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaexeros longicaulis,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaexeros,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaexeros macranthera,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaexeros,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Chamaexeros serra,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaexeros,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Dichopogon capillipes,,,,,,1,,,,,,,bee,,,,,,,,1,,,,SIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dichopogon,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Dichopogon preissii,,,,,,1,,,,,,,bee,,,,,,,,1,,,,SIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dichopogon,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Dichopogon tyleri,,,,,,1,,,,,,,bee,,,,,,,,1,,,,SIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dichopogon,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia arida,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia brachyphylla,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia grandiflora,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia grandiflora subsp. brendae,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,subsp,
Petaloid Monocots,Asparagaceae,Laxmannia grandiflora subsp. grandiflora,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,subsp NTT,
Petaloid Monocots,Asparagaceae,Laxmannia grandiflora subsp. stirlingensis,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,subsp,
Petaloid Monocots,Asparagaceae,Laxmannia jamesii,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia minor,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia omnifertilis,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia paleacea,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia ramosa subsp. deflexa,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,subsp,
Petaloid Monocots,Asparagaceae,Laxmannia ramosa subsp. ramosa,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,subsp NTT,
Petaloid Monocots,Asparagaceae,Laxmannia sessiliflora,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Laxmannia sessiliflora subsp. australis,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,subsp,
Petaloid Monocots,Asparagaceae,Laxmannia sessiliflora subsp. drummondii,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,subsp,
Petaloid Monocots,Asparagaceae,Laxmannia sessiliflora subsp. sessiliflora,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,subsp NTT,
Petaloid Monocots,Asparagaceae,Laxmannia squarrosa,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laxmannia,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra brittanii,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra caespitosa,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra collina,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra drummondii,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra effusa,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,long dense spike,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra hastilis,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra hermaphrodita,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,"yellow, puple",,,,,,,,,,,,,,,,,,,,,,,,,,,small closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra integra,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra leucocephala,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra leucocephala subsp. robusta,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,subsp,
Petaloid Monocots,Asparagaceae,Lomandra marginata,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra maritima,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,"white, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,small closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra micrantha,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra micrantha subsp. micrantha,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,subsp NTT,
Petaloid Monocots,Asparagaceae,Lomandra micrantha subsp. teretifolia,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,subsp,
Petaloid Monocots,Asparagaceae,Lomandra mucronata,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra nigricans,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,"white, purple",,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra nutans,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,"green, purple",,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra odora,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra ordii,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra pauciflora,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra preissii,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,"yellow, purple",,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra purpurea,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,dark purple,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra rigida,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra rupestris,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra sericea,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,small closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra sonderi,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra spartea,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra suaveolens,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,small closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Lomandra whicherensis,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lomandra,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Sowerbaea laxiflora,,,,,,1,,,,,,,bee,,,,,,,,1,,,,SIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,necatarless (Keighery 1984b),,,Fig. 10H,,Sowerbaea,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Sowerbaea multicaulis,,,,,,1,,,,,,,bee,,,,,,,,1,,,,SIP,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,buzz pollination syndome for most fringe lilies,,,,,Sowerbaea,,,,,,,,,,,,,,species,
