ID,Ref,AusTraits_key,Long,Lat,leaf_area_m2,dry_mass_g,LMA_g/m2,N_per_area_g/m2,N_per_dry_mass_g/g,thickness_m,water_per_leaf_area_g/m2,liquid_content_%,taxonomy,Species,Country,Common name,Comments,site_name,soil type,lat/lon source,veg_stratum,MAP (mm),elevation (m),description,doi,site_name_complete
15,2,Landsberg_1995,142,-35.5,5.40E-04,NA,348,3,0.0087,NA,255,42.2,D,Eucalyptus spp. (various),Australia,NA,"Wyperfeld, Poor""",Wyperfield,poor,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Wyperfield
16,2,Landsberg_1995,147.5,-34.4,0.00133,NA,242,3.3,0.0135,NA,183,43.5,D,Eucalyptus spp. (various),Australia,NA,"Ingalba, Poor""",Ingalba,poor,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Ingalba
17,2,Landsberg_1995,149.1,-34.8,0.00126,NA,242,2.4,0.0106,NA,170,42.1,D,Eucalyptus spp. (various),Australia,NA,"Mundoonen, Poor""",Mundoonen,poor,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Mundoonen
18,2,Landsberg_1995,144.2,-37.9,0.00177,NA,233,2.4,0.0105,NA,242,51,D,Eucalyptus spp. (various),Australia,NA,"Brisbane Ranges, Rich""",Brisbane Ranges,poor,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Brisbane Ranges
19,2,Landsberg_1995,146.8,-36.5,0.00272,NA,176,2.1,0.0122,NA,190,51.9,D,Eucalyptus spp. (various),Australia,NA,"Stanley Plateau, Poor""",Stanley Plateau,poor,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Stanley Plateau
20,2,Landsberg_1995,146.8,-36.7,0.00253,NA,151,1.8,0.0122,NA,100,46,D,Eucalyptus spp. (various),Australia,NA,"Mt Buffalo, Poor""",Mt Buffalo,poor,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Mt Buffalo
21,3,Specht_1990,138.7,-35,NA,NA,250,2.04,0.0082,4.40E-04,NA,NA,D,Eucalyptus baxteri,Australia,NA,"Mt Lofty, SA""",Mt Lofty,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Mt Lofty
22,3,Specht_1990,138.7,-35,NA,NA,227,2.13,0.0094,4.20E-04,NA,NA,D,Eucalyptus obliqua,Australia,NA,"Mt Lofty, SA""",Mt Lofty,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Mt Lofty
23,3,Specht_1990,138.6,-35,NA,NA,263,3.07,0.0117,4.20E-04,NA,NA,D,Eucalyptus leuc,Australia,NA,"Green Hill, SA""",Green Hill,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Green Hill
24,3,Specht_1990,138.6,-35,NA,NA,232,2.25,0.0097,3.20E-04,NA,NA,D,Eucalyptus microcarpa,Australia,NA,"Green Hill, SA""",Green Hill,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Green Hill
25,3,Specht_1990,138.6,-35,NA,NA,164,3.09,0.0189,2.80E-04,NA,NA,D,Eucalyptus viminalis,Australia,NA,"Green Hill, SA""",Green Hill,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Green Hill
26,3,Specht_1990,147.2,-33.9,NA,NA,278,3.58,0.0129,4.70E-04,NA,NA,D,Eucalyptus behriana,Australia,NA,"West Wyalong, NSW""",West Wyalong,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 West Wyalong
27,3,Specht_1990,139.3,-34.4,NA,NA,385,4,0.0104,6.30E-04,NA,NA,D,Eucalyptus socialis,Australia,NA,"Blanchedown-Truro, SA""",Blanchedown-Truro,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Blanchedown-Truro
28,3,Specht_1990,141.2,-34.3,NA,NA,357,3.71,0.0104,6.00E-04,NA,NA,D,Eucalyptus socialis,Australia,NA,"Mildura, Vic""",Mildura,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Mildura
29,3,Specht_1990,139.8,-35.6,NA,NA,313,2.13,0.0068,5.20E-04,NA,NA,D,Eucalyptus diversifolia,Australia,NA,"Ki Ki, SA""",Ki Ki,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Ki Ki
30,3,Specht_1990,140.5,-36.1,NA,NA,333,3.3,0.0099,5.00E-04,NA,NA,D,Eucalyptus focunda,Australia,NA,"Dark Island Soak, SA""",Dark Island Soak,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Dark Island Soak
31,3,Specht_1990,140.5,-36.1,NA,NA,455,3.54,0.0078,6.20E-04,NA,NA,D,Eucalyptus incrassata,Australia,NA,"Dark Island Soak, SA""",Dark Island Soak,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Dark Island Soak
32,3,Specht_1990,145.7,-34,NA,NA,455,4.91,0.0108,8.10E-04,NA,NA,D,Eucalyptus incrassata,Australia,NA,"Goolgowi, NSW""",Goolgowi,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Goolgowi
33,3,Specht_1990,140,-34.2,NA,NA,455,3.28,0.0072,8.10E-04,NA,NA,D,Eucalyptus incrassata,Australia,NA,"Waikerie, SA""",Waikerie,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Waikerie
34,3,Specht_1990,140,-34.2,NA,NA,357,3.64,0.0102,6.00E-04,NA,NA,D,Eucalyptus socialis,Australia,NA,"Waikerie, SA""",Waikerie,NA,author,NA,NA,NA,NA,10.1071/BT9900459,Specht_1990 Waikerie
39,3,Specht_1990,138.7,-35,NA,NA,149,NA,0.0085,3.50E-04,NA,NA,D,Banksia marginata,Australia,NA,"Mt Lofty, SA, Mid-stratum""",Mt Lofty,NA,author,mid-stratum,NA,NA,NA,10.1071/BT9900459,Specht_1990 Mt Lofty
40,3,Specht_1990,138.7,-35,NA,NA,149,NA,0.0108,2.10E-04,NA,NA,D,Leptospermum myrsinoides,Australia,NA,"Mt Lofty, SA, Mid-stratum""",Mt Lofty,NA,author,mid-stratum,NA,NA,NA,10.1071/BT9900459,Specht_1990 Mt Lofty
41,3,Specht_1990,138.7,-35,NA,NA,455,NA,0.0055,7.40E-04,NA,NA,D,Lepidospermum semiteres,Australia,NA,"Mt Lofty, SA, ground-stratum""",Mt Lofty,NA,author,ground-stratum,NA,NA,NA,10.1071/BT9900459,Specht_1990 Mt Lofty
42,3,Specht_1990,140.5,-36.1,NA,NA,313,NA,0.0054,0.00107,NA,NA,D,Hakea muellerana,Australia,NA,"Dark Island Soak, SA, Mid-stratum, Needle leaf ?""",Dark Island Soak,NA,author,mid-stratum,NA,NA,NA,10.1071/BT9900459,Specht_1990 Dark Island Soak
43,3,Specht_1990,140.5,-36.1,NA,NA,385,NA,0.0045,6.70E-04,NA,NA,M,Lepidosperma laterale,Australia,NA,"Dark Island Soak, SA, ground stratum""",Dark Island Soak,NA,author,ground-stratum,NA,NA,NA,10.1071/BT9900459,Specht_1990 Dark Island Soak
44,3,Specht_1990,140.5,-36.1,NA,NA,222,NA,0.0063,6.20E-04,NA,NA,D,Banksia marginata,Australia,NA,"Dark Island Soak, SA, upper stratum, heathland""",Dark Island Soak,NA,author,upper stratum,NA,NA,heathland,10.1071/BT9900459,Specht_1990 Dark Island Soak
45,3,Specht_1990,140.5,-36.1,NA,NA,263,NA,0.0067,5.00E-04,NA,NA,D,Banksia ornata,Australia,NA,"Dark Island Soak, SA, upper stratum, heathland""",Dark Island Soak,NA,author,upper stratum,NA,NA,heathland,10.1071/BT9900459,Specht_1990 Dark Island Soak
46,3,Specht_1990,140.5,-36.1,NA,NA,179,NA,0.0143,3.80E-04,NA,NA,D,Phyllota remota,Australia,NA,"Dark Island Soak, SA, mid stratum, heathland""",Dark Island Soak,NA,author,mid-stratum,NA,NA,heathland,10.1071/BT9900459,Specht_1990 Dark Island Soak
47,3,Specht_1990,140.5,-36.1,NA,NA,476,NA,0.0055,7.10E-04,NA,NA,M,Hyperlaena fastigiata,Australia,NA,"Dark Island Soak, SA, lower stratum, heathland""",Dark Island Soak,NA,author,lower stratum,NA,NA,heathland,10.1071/BT9900459,Specht_1990 Dark Island Soak
48,3,Specht_1990,140.5,-36.1,NA,NA,435,NA,0.0057,6.50E-04,NA,NA,M,Lepidosperma carphoides,Australia,NA,"Dark Island Soak, SA, upper stratum, heathland""",Dark Island Soak,NA,author,upper stratum,NA,NA,heathland,10.1071/BT9900459,Specht_1990 Dark Island Soak
49,3,Specht_1990,140.5,-36.1,NA,NA,435,NA,0.0074,7.00E-04,NA,NA,M,Lepidosperma laterale,Australia,NA,"Dark Island Soak, SA, upper stratum, heathland""",Dark Island Soak,NA,author,upper stratum,NA,NA,heathland,10.1071/BT9900459,Specht_1990 Dark Island Soak
35,4,Koerner_1985,148.59,-36.34,0.00268,NA,297,3.09,0.0104,6.20E-04,NA,NA,D,Eucalyptus pauciflora,Australia,NA,"Waste Point,NSW, Alt=940m""",Waste Point,NA,AusTraits,NA,NA,940,"dry, open, sclerophyll woodland",10.1007/BF00378313,Koerner_1985 Waste Point
36,4,Koerner_1985,148.56,-36.35,0.00242,NA,308,3.23,0.0105,6.10E-04,NA,NA,D,Eucalyptus pauciflora,Australia,NA,"Sawpit Creek, NSW, Alt=1215m""",Sawpit Creek,NA,AusTraits,NA,NA,1215,sclerophyll fores,10.1007/BF00378313,Koerner_1985 Sawpit Creek
37,4,Koerner_1985,148.47,-36.37,9.00E-04,NA,324,3.99,0.0123,6.90E-04,NA,NA,D,Eucalyptus pauciflora,Australia,NA,"Daner's Gap, NSW, Alt=1645m""",Dainer's Gap,NA,AusTraits,NA,NA,1645,subalpine shrub and tussock grassland,10.1007/BF00378313,Koerner_1985 Dainer's Gap
38,4,Koerner_1985,148.39,-36.41,8.80E-04,NA,358,4.07,0.0114,6.80E-04,NA,NA,D,Eucalyptus pauciflora,Australia,NA,"Mount Perisher, NSW, Alt=2040m""",Mount Perisher,NA,AusTraits,NA,NA,2040,alpine boundary,10.1007/BF00378313,Koerner_1985 Mount Perisher
52,6,Schulze_1994,NA,NA,NA,NA,50,NA,0.0294,NA,NA,NA,D,Gossypium hirstum,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
59,6,Schulze_1994,NA,NA,NA,NA,60,NA,0.0278,NA,NA,NA,P,Oryza sativa,Australia,NA,Cereals,NA,NA,NA,NA,NA,NA,Cereals,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
61,6,Schulze_1994,NA,NA,NA,NA,43,NA,0.0483,NA,NA,NA,P,Triticum aestivum,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
62,6,Schulze_1994,NA,NA,NA,NA,33,NA,0.041,NA,NA,NA,P,Triticum aestivum,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
63,6,Schulze_1994,NA,NA,NA,NA,32,NA,0.0343,NA,NA,NA,P,Triticum aestivum,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
64,6,Schulze_1994,NA,NA,NA,NA,37,NA,0.031,NA,NA,NA,P,Triticum aestivum,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
65,6,Schulze_1994,NA,NA,NA,NA,38,NA,0.0285,NA,NA,NA,P,Zea Mays,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
125,6,Schulze_1994,NA,NA,NA,NA,204,NA,0.0151,NA,NA,NA,D,Eucalyptus blakeyi,Australia,NA,Temperate evergreen broadleaf tree,NA,NA,NA,NA,NA,NA,Temperate evergreen broadleaf tree,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
126,6,Schulze_1994,NA,NA,NA,NA,323,NA,0.0116,NA,NA,NA,D,Eucalyptus pauciflora,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
141,6,Schulze_1994,NA,NA,NA,NA,154,NA,0.0128,NA,NA,NA,D,Mangifera indica,Australia,NA,Tropical Fruit Plantations,NA,NA,NA,NA,NA,NA,Tropical Fruit Plantations,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
142,6,Schulze_1994,NA,NA,NA,NA,120,NA,0.0144,NA,NA,NA,D,Anarcardium occidentale,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
143,6,Schulze_1994,NA,NA,NA,NA,111,NA,0.012,NA,NA,NA,P,Saccharum officinarum,Australia,NA,Sugarcane,NA,NA,NA,NA,NA,NA,Sugarcane,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
146,6,Schulze_1994,NA,NA,NA,NA,101,NA,0.0162,NA,NA,NA,*,40 Tree Species,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
148,6,Schulze_1994,NA,NA,NA,NA,52,NA,0.0189,NA,NA,NA,*,74 Tree Species,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1146/annurev.es.25.110194.003213,Schulze_1994 NA
154,7,Specht_1988,140.5,-36.1,NA,NA,380,NA,0.0106,6.80E-04,NA,NA,D,Allocasuarina pusilla,Australia,NA,"Dark Island Soak, SA, Jan 1982, Mid-stratum, Cylindrical leav""",Dark Island Soak,NA,author,mid-stratum,NA,NA,NA,book,Specht_1988 Dark Island Soak
155,7,Specht_1988,140.5,-36.1,NA,NA,400,NA,0.009,3.00E-04,NA,NA,D,Leptospermum myrsinoides,Australia,NA,"Dark Island Soak, SA, Jan 1982, Mid-stratum""",Dark Island Soak,NA,author,mid-stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
156,7,Specht_1988,140.5,-36.1,NA,NA,550,NA,0.013,5.00E-04,NA,NA,D,Spyridium subochreatum,Australia,NA,"Dark Island Soak, SA, Jan 1982, Mid-stratum, inrolled leaves""",Dark Island Soak,NA,author,mid-stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
157,7,Specht_1988,140.5,-36.1,NA,NA,470,NA,0.0104,4.40E-04,NA,NA,D,Calytrix alpestris,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground-stratum, dicot, Cylind""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
158,7,Specht_1988,140.5,-36.1,NA,NA,190,NA,0.0108,4.50E-04,NA,NA,D,Hibbertia Riparia,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground-stratum, dicot""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
159,7,Specht_1988,140.5,-36.1,NA,NA,470,NA,0.0105,9.70E-04,NA,NA,D,Hibbertia sericea,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground-stratum, dicot, inroll""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
160,7,Specht_1988,140.5,-36.1,NA,NA,480,NA,0.0055,7.10E-04,NA,NA,M,Hypolanea fastigiata,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground-stratum, monocot, cyl.""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
161,7,Specht_1988,140.5,-36.1,NA,NA,440,NA,0.0057,6.50E-04,NA,NA,M,Lepidosperma carphoides,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground-stratum, monocot, cyl.""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
162,7,Specht_1988,140.5,-36.1,NA,NA,440,NA,0.0074,7.00E-04,NA,NA,M,Lepidosperma laterale,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground-stratum, monocot, cyl.""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
163,7,Specht_1988,153,-26.9,NA,NA,190,NA,0.0063,4.80E-04,NA,NA,D,Banksia aemula,Australia,NA,"Beerwah, Qld, wet heathland, old leaves,emergent stratum""",Beerwah,NA,author,emergent stratum,NA,NA,NA,NA,Specht_1988 Beerwah
164,7,Specht_1988,153,-26.9,NA,NA,220,NA,0.006,4.60E-04,NA,NA,D,Banksia aemula,Australia,NA,"Beerwah, Qld, wet heathland, new leaves, emergent stratum""",Beerwah,NA,author,emergent stratum,NA,NA,NA,NA,Specht_1988 Beerwah
165,7,Specht_1988,153,-26.9,NA,NA,200,NA,0.0069,4.10E-04,NA,NA,D,Banksia oblongifolia,Australia,NA,"Beerwah, Qld, wet heathland, new leaves, upper stratum""",Beerwah,NA,author,upper statum,NA,NA,NA,NA,Specht_1988 Beerwah
166,7,Specht_1988,153,-26.9,NA,NA,210,NA,0.0056,4.10E-04,NA,NA,D,Banksia oblongifolia,Australia,NA,"Beerwah, Qld, wet heathland, old leaves (first sample), upper""",Beerwah,NA,author,upper statum,NA,NA,NA,NA,Specht_1988 Beerwah
167,7,Specht_1988,153,-26.9,NA,NA,210,NA,0.0045,4.10E-04,NA,NA,D,Banksia oblongifolia,Australia,NA,"Beerwah, Qld, wet heathland, old leaves (second sample), uppe""",Beerwah,NA,author,upper statum,NA,NA,NA,NA,Specht_1988 Beerwah
168,7,Specht_1988,153,-26.9,NA,NA,320,NA,0.0045,9.70E-04,NA,NA,D,Banksia robur,Australia,NA,"Beerwah, Qld, wet heathland, upper stratum""",Beerwah,NA,author,upper statum,NA,NA,NA,NA,Specht_1988 Beerwah
169,7,Specht_1988,153,-26.9,NA,NA,440,NA,0.0081,0.00124,NA,NA,D,Hakea gibbosa,Australia,NA,"Beerwah, Qld, wet heathland, upper stratum, cyl. leaves""",Beerwah,NA,author,upper statum,NA,NA,NA,NA,Specht_1988 Beerwah
170,7,Specht_1988,153,-26.9,NA,NA,440,NA,0.0056,0.00165,NA,NA,M,Xanthorrhoea resinosa,Australia,NA,"Beerwah, Qld, wet heathland, upper stratum, cyl. leaves""",Beerwah,NA,author,upper statum,NA,NA,NA,NA,Specht_1988 Beerwah
171,7,Specht_1988,153,-26.9,NA,NA,360,NA,0.0091,3.60E-04,NA,NA,D,Melaleuca sieberi,Australia,NA,"Beerwah, Qld, wet heathland, upper stratum""",Beerwah,NA,author,upper statum,NA,NA,NA,NA,Specht_1988 Beerwah
172,7,Specht_1988,153,-26.9,NA,NA,570,NA,0.0076,6.30E-04,NA,NA,D,Melaleuca nodosa,Australia,NA,"Beerwah, Qld, wet heathland, upper stratum""",Beerwah,NA,author,upper statum,NA,NA,NA,NA,Specht_1988 Beerwah
173,7,Specht_1988,153,-26.9,NA,NA,110,NA,0.0173,2.60E-04,NA,NA,D,Pultenaea myrtoides,Australia,NA,"Beerwah, Qld, wet heathland, mid stratum""",Beerwah,NA,author,mid-stratum,NA,NA,NA,NA,Specht_1988 Beerwah
174,7,Specht_1988,153,-26.9,NA,NA,460,NA,0.0046,8.30E-04,NA,NA,M,Empodisma minus,Australia,NA,"Beerwah, Qld, wet heathland, ground stratum, cyl. leaves""",Beerwah,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Beerwah
175,7,Specht_1988,153,-26.9,NA,NA,320,NA,0.0047,7.00E-04,NA,NA,M,Schoenus spp.,Australia,NA,"Beerwah, Qld, wet heathland, ground stratum, cyl. leaves""",Beerwah,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Beerwah
176,7,Specht_1988,147.2,-33.9,NA,NA,280,NA,0.0129,4.70E-04,NA,NA,D,Euc. behriana,Australia,NA,"Mallee open scrub, West Wyalong, NSW, upper stratum""",West Wyalong,NA,author,upper statum,NA,NA,mallee,NA,Specht_1988 West Wyalong
177,7,Specht_1988,147.2,-33.9,NA,NA,560,NA,0.013,4.50E-04,NA,NA,D,Melaleuca lanceolata,Australia,NA,"Mallee open scrub, West Wyalong, NSW, mid stratum""",West Wyalong,NA,author,mid-stratum,NA,NA,mallee,NA,Specht_1988 West Wyalong
178,7,Specht_1988,147.2,-33.9,NA,NA,310,NA,0.01,4.10E-04,NA,NA,D,Cassinia laevis,Australia,NA,"Mallee open scrub, West Wyalong, NSW, mid stratum""",West Wyalong,NA,author,mid-stratum,NA,NA,mallee,NA,Specht_1988 West Wyalong
179,7,Specht_1988,140.5,-36.1,NA,NA,460,NA,0.0125,7.40E-04,NA,NA,D,Melaleuca uncinata,Australia,NA,"Dark Island Soak, SA, Jan 1982, mid stratum,cyl. leaves""",Dark Island Soak,NA,author,mid-stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
180,7,Specht_1988,140.5,-36.1,NA,NA,310,NA,0.0054,0.00107,NA,NA,D,Hakea muellerana,Australia,NA,"Dark Island Soak, SA, Jan 1982, mid stratum,cyl. leaves""",Dark Island Soak,NA,author,mid-stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
181,7,Specht_1988,140.5,-36.1,NA,NA,270,NA,0.0134,3.20E-04,NA,NA,D,Pultenaea tenuifolia,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, d""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
182,7,Specht_1988,140.5,-36.1,NA,NA,240,NA,0.0095,3.60E-04,NA,NA,D,Calytrix tetragona,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, d""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
183,7,Specht_1988,140.5,-36.1,NA,NA,350,NA,0.0094,4.90E-04,NA,NA,D,Baeckea crassifolia,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, d""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
184,7,Specht_1988,140.5,-36.1,NA,NA,270,NA,0.0063,2.10E-04,NA,NA,D,Brachyloma ericoides,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, d""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
185,7,Specht_1988,140.5,-36.1,NA,NA,380,NA,0.0045,6.70E-04,NA,NA,M,Lepidosperma laterale,Australia,NA,"Dark Island Soak, SA, Jan 1982, ground stratum,cyl. leaves, m""",Dark Island Soak,NA,author,ground stratum,NA,NA,NA,NA,Specht_1988 Dark Island Soak
248,13,Landsberg_1990,149.2,-35.3,NA,NA,237,NA,0.0145,NA,NA,48.2,D,Eucalyptus blakelyi,Australia,NA,"Hall, ACT, H=Healthy, D=dieback, 13 Sep 1982, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
249,13,Landsberg_1990,149.2,-35.3,NA,NA,212,NA,0.0156,NA,NA,50.2,D,Eucalyptus blakelyi,Australia,NA,"13 Sep 1982, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
