site_ID,latitude,longitude,name_original,raw_trait_value,trait,units,primary_source_id,metadata_id
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia pendula,1.726,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia penninervis,1.999,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia pravissima,2.127,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia prominens,1.957,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia pruinosa,1.729,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia ramulosa,1.59,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia rigens,1.363,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia saliciformis,1.799,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia silvestris,1.828,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia spectabilis,2.022,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia stenophylla,1.382,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia suaveolens,1.71,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia subporosa,1.754,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia terminalis,1.707,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia uncinata,1.901,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia undulifolia,1.786,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia vestita,1.885,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia baileyana,1.727,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia podalyriifolia,1.736,genome size,picograms,4,4
NA,NA,NA,Acacia cambagei,1.354,genome size,picograms,4,4
NA,NA,NA,Acacia crassicarpa,1.519,genome size,picograms,4,4
NA,NA,NA,Acacia glaucescens,1.479,genome size,picograms,4,4
NA,NA,NA,Acacia mangium,1.357,genome size,picograms,4,4
NA,NA,NA,Acacia quornensis,1.54,genome size,picograms,4,4
NA,NA,NA,Acacia victoriae,1.26,genome size,picograms,4,4
