dataset_id,taxon_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name,StemDensity,study
Falster_2005_1,Melicope elleryana,Atherton,NA,Falster_2005_1_06,wood_density,0.346,mg/mm3,2002-11,site_mean,3,Melicope elleryana,0.42047,Wells_2012
Falster_2005_1,Neolitsea dealbata,Atherton,NA,Falster_2005_1_07,wood_density,0.352,mg/mm3,2002-11,site_mean,3,Neolitsea dealbata,0.522473057,Wells_2012
Falster_2005_1,Neolitsea dealbata,Atherton,NA,Falster_2005_1_07,wood_density,0.352,mg/mm3,2002-11,site_mean,3,Neolitsea dealbata,0.449199624,Wells_2012
Falster_2005_1,Neolitsea dealbata,Atherton,NA,Falster_2005_1_07,wood_density,0.352,mg/mm3,2002-11,site_mean,3,Neolitsea dealbata,0.431001384,Wells_2012
Falster_2005_1,Neolitsea dealbata,Atherton,NA,Falster_2005_1_07,wood_density,0.352,mg/mm3,2002-11,site_mean,3,Neolitsea dealbata,0.590555916,Wells_2012
Falster_2005_1,Polyscias australiana,Atherton,NA,Falster_2005_1_08,wood_density,0.397,mg/mm3,2002-11,site_mean,3,Polyscias australiana,0.495075,Wells_2012
Falster_2005_1,Polyscias australiana,Atherton,NA,Falster_2005_1_08,wood_density,0.397,mg/mm3,2002-11,site_mean,3,Polyscias australiana,0.4835,Wells_2012
Falster_2005_1,Aleurites rockinghamensis,Cape Tribulation,NA,Falster_2005_1_12,wood_density,0.28,mg/mm3,2002-11,site_mean,3,Aleurites rockinghamensis,0.400365,Wells_2012
Falster_2005_1,Aleurites rockinghamensis,Cape Tribulation,NA,Falster_2005_1_12,wood_density,0.28,mg/mm3,2002-11,site_mean,3,Aleurites rockinghamensis,0.44384,Wells_2012
Falster_2005_1,Alstonia scholaris,Cape Tribulation,NA,Falster_2005_1_13,wood_density,0.361,mg/mm3,2002-11,site_mean,3,Alstonia scholaris,0.339,Wells_2012
Falster_2005_1,Alstonia scholaris,Cape Tribulation,NA,Falster_2005_1_13,wood_density,0.361,mg/mm3,2002-11,site_mean,3,Alstonia scholaris,0.3444,Wells_2012
Falster_2005_1,Alstonia scholaris,Cape Tribulation,NA,Falster_2005_1_13,wood_density,0.361,mg/mm3,2002-11,site_mean,3,Alstonia scholaris,0.42161,Wells_2012
Falster_2005_1,Argyrodendron peralatum,Cape Tribulation,NA,Falster_2005_1_14,wood_density,0.726,mg/mm3,2002-11,site_mean,3,Argyrodendron peralatum,0.6888,Wells_2012
Falster_2005_1,Argyrodendron peralatum,Cape Tribulation,NA,Falster_2005_1_14,wood_density,0.726,mg/mm3,2002-11,site_mean,3,Argyrodendron peralatum,0.78698,Wells_2012
Falster_2005_1,Atractocarpus hirtus,Cape Tribulation,NA,Falster_2005_1_15,wood_density,0.804,mg/mm3,2002-11,site_mean,3,Atractocarpus hirtus,0.84025,Wells_2012
Falster_2005_1,Brombya platynema,Cape Tribulation,NA,Falster_2005_1_16,wood_density,0.603,mg/mm3,2002-11,site_mean,3,Brombya platynema,0.61131,Wells_2012
Falster_2005_1,Brombya platynema,Cape Tribulation,NA,Falster_2005_1_16,wood_density,0.603,mg/mm3,2002-11,site_mean,3,Brombya platynema,0.6258,Wells_2012
Falster_2005_1,Cardwellia sublimis,Cape Tribulation,NA,Falster_2005_1_17,wood_density,0.603,mg/mm3,2002-11,site_mean,3,Cardwellia sublimis,0.48216,Wells_2012
Falster_2005_1,Cardwellia sublimis,Cape Tribulation,NA,Falster_2005_1_17,wood_density,0.603,mg/mm3,2002-11,site_mean,3,Cardwellia sublimis,0.56313,Wells_2012
Falster_2005_1,Castanospermum australe,Cape Tribulation,NA,Falster_2005_1_18,wood_density,0.587,mg/mm3,2002-11,site_mean,3,Castanospermum australe,0.596133333,Wells_2012
Falster_2005_1,Castanospermum australe,Cape Tribulation,NA,Falster_2005_1_18,wood_density,0.587,mg/mm3,2002-11,site_mean,3,Castanospermum australe,0.650055,Wells_2012
Falster_2005_1,Castanospermum australe,Cape Tribulation,NA,Falster_2005_1_18,wood_density,0.587,mg/mm3,2002-11,site_mean,3,Castanospermum australe,0.61976,Wells_2012
Falster_2005_1,Castanospermum australe,Cape Tribulation,NA,Falster_2005_1_18,wood_density,0.587,mg/mm3,2002-11,site_mean,3,Castanospermum australe,0.63,Wells_2012
Falster_2005_1,Cryptocarya mackinnoniana,Cape Tribulation,NA,Falster_2005_1_21,wood_density,0.655,mg/mm3,2002-11,site_mean,3,Cryptocarya mackinnoniana,0.7341,Wells_2012
Falster_2005_1,Cryptocarya mackinnoniana,Cape Tribulation,NA,Falster_2005_1_21,wood_density,0.655,mg/mm3,2002-11,site_mean,3,Cryptocarya mackinnoniana,0.7319,Wells_2012
Falster_2005_1,Cryptocarya mackinnoniana,Cape Tribulation,NA,Falster_2005_1_21,wood_density,0.655,mg/mm3,2002-11,site_mean,3,Cryptocarya mackinnoniana,0.7835,Wells_2012
Falster_2005_1,Cryptocarya murrayi,Cape Tribulation,NA,Falster_2005_1_22,wood_density,0.674,mg/mm3,2002-11,site_mean,3,Cryptocarya murrayi,0.60136,Wells_2012
Falster_2005_1,Cryptocarya murrayi,Cape Tribulation,NA,Falster_2005_1_22,wood_density,0.674,mg/mm3,2002-11,site_mean,3,Cryptocarya murrayi,0.6458,Wells_2012
Falster_2005_1,Cryptocarya murrayi,Cape Tribulation,NA,Falster_2005_1_22,wood_density,0.674,mg/mm3,2002-11,site_mean,3,Cryptocarya murrayi,0.706,Wells_2012
Falster_2005_1,Elaeocarpus grandis,Cape Tribulation,NA,Falster_2005_1_24,wood_density,0.499,mg/mm3,2002-11,site_mean,3,Elaeocarpus grandis,0.426195,Wells_2012
Falster_2005_1,Elaeocarpus grandis,Cape Tribulation,NA,Falster_2005_1_24,wood_density,0.499,mg/mm3,2002-11,site_mean,3,Elaeocarpus grandis,0.47928,Wells_2012
Falster_2005_1,Elaeocarpus grandis,Cape Tribulation,NA,Falster_2005_1_24,wood_density,0.499,mg/mm3,2002-11,site_mean,3,Elaeocarpus grandis,0.443434748,Wells_2012
Falster_2005_1,Endiandra leptodendron,Cape Tribulation,NA,Falster_2005_1_25,wood_density,0.611,mg/mm3,2002-11,site_mean,3,Endiandra leptodendron,0.73014,Wells_2012
Falster_2005_1,Endiandra leptodendron,Cape Tribulation,NA,Falster_2005_1_25,wood_density,0.611,mg/mm3,2002-11,site_mean,3,Endiandra leptodendron,0.749,Wells_2012
Falster_2005_1,Harpullia rhyticarpa,Cape Tribulation,NA,Falster_2005_1_29,wood_density,0.621,mg/mm3,2002-11,site_mean,3,Harpullia rhyticarpa,0.72287,Wells_2012
Falster_2005_1,Harpullia rhyticarpa,Cape Tribulation,NA,Falster_2005_1_29,wood_density,0.621,mg/mm3,2002-11,site_mean,3,Harpullia rhyticarpa,0.7555,Wells_2012
Falster_2005_1,Litsea leefeana,Cape Tribulation,NA,Falster_2005_1_33,wood_density,0.549,mg/mm3,2002-11,site_mean,3,Litsea leefeana,0.49656,Wells_2012
Falster_2005_1,Litsea leefeana,Cape Tribulation,NA,Falster_2005_1_33,wood_density,0.549,mg/mm3,2002-11,site_mean,3,Litsea leefeana,0.4133,Wells_2012
Falster_2005_1,Litsea leefeana,Cape Tribulation,NA,Falster_2005_1_33,wood_density,0.549,mg/mm3,2002-11,site_mean,3,Litsea leefeana,0.465,Wells_2012
Falster_2005_1,Macaranga tanarius,Cape Tribulation,NA,Falster_2005_1_34,wood_density,0.344,mg/mm3,2002-11,site_mean,3,Macaranga tanarius,0.508009748,Wells_2012
Falster_2005_1,Macaranga tanarius,Cape Tribulation,NA,Falster_2005_1_34,wood_density,0.344,mg/mm3,2002-11,site_mean,3,Macaranga tanarius,0.48216,Wells_2012
Falster_2005_1,Macaranga tanarius,Cape Tribulation,NA,Falster_2005_1_34,wood_density,0.344,mg/mm3,2002-11,site_mean,3,Macaranga tanarius,0.47479,Wells_2012
Falster_2005_1,Macaranga tanarius,Cape Tribulation,NA,Falster_2005_1_34,wood_density,0.344,mg/mm3,2002-11,site_mean,3,Macaranga tanarius,0.327219495,Wells_2012
Falster_2005_1,Macaranga tanarius,Cape Tribulation,NA,Falster_2005_1_34,wood_density,0.344,mg/mm3,2002-11,site_mean,3,Macaranga tanarius,0.4305,Wells_2012
Falster_2005_1,Pittosporum rubiginosum,Cape Tribulation,NA,Falster_2005_1_39,wood_density,0.728,mg/mm3,2002-11,site_mean,3,Pittosporum rubiginosum,0.749142792,Wells_2012
Falster_2005_1,Pittosporum rubiginosum,Cape Tribulation,NA,Falster_2005_1_39,wood_density,0.728,mg/mm3,2002-11,site_mean,3,Pittosporum rubiginosum,0.662552159,Wells_2012
Falster_2005_1,Pittosporum rubiginosum,Cape Tribulation,NA,Falster_2005_1_39,wood_density,0.728,mg/mm3,2002-11,site_mean,3,Pittosporum rubiginosum,0.70969887,Wells_2012
Falster_2005_1,Pittosporum rubiginosum,Cape Tribulation,NA,Falster_2005_1_39,wood_density,0.728,mg/mm3,2002-11,site_mean,3,Pittosporum rubiginosum,0.76736,Wells_2012
Falster_2005_1,Rockinghamia angustifolia,Cape Tribulation,NA,Falster_2005_1_42,wood_density,0.455,mg/mm3,2002-11,site_mean,3,Rockinghamia angustifolia,0.6888,Wells_2012
Falster_2005_1,Rockinghamia angustifolia,Cape Tribulation,NA,Falster_2005_1_42,wood_density,0.455,mg/mm3,2002-11,site_mean,3,Rockinghamia angustifolia,0.62898,Wells_2012
Falster_2005_1,Syzygium sayeri,Cape Tribulation,NA,Falster_2005_1_44,wood_density,0.485,mg/mm3,2002-11,site_mean,3,Syzygium sayeri,0.72324,Wells_2012
Falster_2005_1,Syzygium sayeri,Cape Tribulation,NA,Falster_2005_1_44,wood_density,0.485,mg/mm3,2002-11,site_mean,3,Syzygium sayeri,0.6448,Wells_2012
Falster_2005_1,Syzygium sayeri,Cape Tribulation,NA,Falster_2005_1_44,wood_density,0.485,mg/mm3,2002-11,site_mean,3,Syzygium sayeri,0.6716,Wells_2012
Gardiner_2019,Argyrodendron trifoliolatum,Oxley Creek Common,NA,Gardiner_2019_016,wood_density,0.379230769,mg/mm3,NA,raw_value,1,ARTR,0.796425,Wells_2012
Gardiner_2019,Argyrodendron trifoliolatum,Oxley Creek Common,NA,Gardiner_2019_017,wood_density,0.592083333,mg/mm3,NA,raw_value,1,ARTR,0.796425,Wells_2012
Gardiner_2019,Argyrodendron trifoliolatum,Oxley Creek Common,NA,Gardiner_2019_018,wood_density,0.417916667,mg/mm3,NA,raw_value,1,ARTR,0.796425,Wells_2012
Gardiner_2019,Argyrodendron trifoliolatum,Oxley Creek Common,NA,Gardiner_2019_020,wood_density,0.489473684,mg/mm3,NA,raw_value,1,ARTR,0.796425,Wells_2012
Hughes_2005,Neolitsea dealbata,ghp,NA,Hughes_2005_38,wood_density,0.45,mg/mm3,NA,site_mean,4,Neolitsia dealbata,0.522473057,Wells_2012
Hughes_2005,Neolitsea dealbata,ghp,NA,Hughes_2005_38,wood_density,0.45,mg/mm3,NA,site_mean,4,Neolitsia dealbata,0.449199624,Wells_2012
Hughes_2005,Neolitsea dealbata,ghp,NA,Hughes_2005_38,wood_density,0.45,mg/mm3,NA,site_mean,4,Neolitsia dealbata,0.431001384,Wells_2012
Hughes_2005,Neolitsea dealbata,ghp,NA,Hughes_2005_38,wood_density,0.45,mg/mm3,NA,site_mean,4,Neolitsia dealbata,0.590555916,Wells_2012
Ilic_2000,Alstonia scholaris,NA,NA,Ilic_2000_0091,wood_density,0.339,mg/mm3,NA,unknown,unknown,Alstonia scholaris,0.339,Wells_2012
Ilic_2000,Alstonia scholaris,NA,NA,Ilic_2000_0091,wood_density,0.339,mg/mm3,NA,unknown,unknown,Alstonia scholaris,0.3444,Wells_2012
Ilic_2000,Alstonia scholaris,NA,NA,Ilic_2000_0091,wood_density,0.339,mg/mm3,NA,unknown,unknown,Alstonia scholaris,0.42161,Wells_2012
Ilic_2000,Citronella moorei,NA,NA,Ilic_2000_0134,wood_density,0.585,mg/mm3,NA,unknown,unknown,Citronella moorei,0.581175,Wells_2012
Ilic_2000,Argyrodendron trifoliolatum,NA,NA,Ilic_2000_0479,wood_density,0.758,mg/mm3,NA,unknown,unknown,Heritiera trifoliolata,0.796425,Wells_2012
Ilic_2000,Niemeyera prunifera,NA,NA,Ilic_2000_0498,wood_density,0.646,mg/mm3,NA,unknown,unknown,Niemeyera prunifera,0.66297,Wells_2012
Ilic_2000,Polyscias elegans,NA,NA,Ilic_2000_0513,wood_density,0.41,mg/mm3,NA,unknown,unknown,Polyscias elegans,0.41328,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0628,wood_density,0.497,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.508,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0628,wood_density,0.497,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.607,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0628,wood_density,0.497,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.497,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0629,wood_density,0.508,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.508,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0629,wood_density,0.508,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.607,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0629,wood_density,0.508,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.497,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0630,wood_density,0.607,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.508,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0630,wood_density,0.607,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.607,Wells_2012
Ilic_2000,Acronychia vestita,NA,NA,Ilic_2000_0630,wood_density,0.607,mg/mm3,NA,unknown,unknown,Acronychia vestita,0.497,Wells_2012
Ilic_2000,Alphitonia petriei,NA,NA,Ilic_2000_0668,wood_density,0.443,mg/mm3,NA,unknown,unknown,Alphitonia petriei,0.443434748,Wells_2012
Ilic_2000,Alphitonia petriei,NA,NA,Ilic_2000_0668,wood_density,0.443,mg/mm3,NA,unknown,unknown,Alphitonia petriei,0.4125,Wells_2012
Ilic_2000,Alphitonia petriei,NA,NA,Ilic_2000_0668,wood_density,0.443,mg/mm3,NA,unknown,unknown,Alphitonia petriei,0.4935,Wells_2012
Ilic_2000,Alphitonia whitei,NA,NA,Ilic_2000_0669,wood_density,0.557,mg/mm3,NA,unknown,unknown,Alphitonia whitei,0.557,Wells_2012
Ilic_2000,Alphitonia whitei,NA,NA,Ilic_2000_0669,wood_density,0.557,mg/mm3,NA,unknown,unknown,Alphitonia whitei,0.663,Wells_2012
Ilic_2000,Alphitonia whitei,NA,NA,Ilic_2000_0670,wood_density,0.663,mg/mm3,NA,unknown,unknown,Alphitonia whitei,0.557,Wells_2012
Ilic_2000,Alphitonia whitei,NA,NA,Ilic_2000_0670,wood_density,0.663,mg/mm3,NA,unknown,unknown,Alphitonia whitei,0.663,Wells_2012
