Species,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,SeedDM,cotsExp,cotsEH,cotsFR,LEE,StemDensitys1,LDMs1,LDVs1,LAs1,LtLeafs1,LMAs1,LSleafs1,LSSs1,StemDensitys2,LDMs2,LDVs2,LAs2,LtLeafs2,LMAs2,LSleafs2,LSSs2
Alstonia muelleriana,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,2.9,1,1,1,4,0.36,0.29,0.31,21.16,0.15,54.37,0.94,6.33,0.68,0.36,0.43,34.81,0.22,107.17,2.12,9.57
Alstonia scholaris,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,15.4219,1,1,1,4.5,0.19,0.21,0.17,21.45,0.18,30.35,1,5.5,0.37,0.29,0.32,52.53,0.26,83.08,2.63,10.12
Antirhea tenuiflora,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,75.563,1,1,1,3,0.36,0.16,0.21,18.78,0.11,23.7,0.73,6.48,0.73,0.18,0.26,52.56,0.14,35.26,1,7.45
Apodytes brachystylis,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,151.4599,1,1,1,2.2,0.4,0.2,0.19,23.47,0.23,44.04,2.06,9.08,0.56,0.28,0.27,37.72,0.24,65.71,1.66,6.95
Archidendron vaillantii,T,27,3,7,Moths,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,75,0,1,0,2.4,0.49,0.31,0.28,17.59,0.13,36.02,1.15,8.85,0.46,0.43,0.48,85.76,0.16,75.1,1.95,12.38
Argyrodendron peralatum,C,53,4,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,522,1,1,0,1.25,0.54,0.41,0.37,28.99,0.19,71.93,3.06,15.96,0.74,0.5,0.52,109.86,0.33,166.76,9.37,28.81
Argyrodendron trifoliolatum,C,53,4,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,110,1,1,0,1,0.51,0.4,0.42,22.52,0.14,59,3.13,22.15,0.8,0.47,0.54,62.7,0.27,144.3,8.46,32.2
Atractocarpus hirtus,S,4,3,3.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CHr,Nonflying,CHR,32,1,1,1,1.9,0.44,0.24,0.31,25.76,0.13,39.11,1.1,8.37,0.84,0.24,0.34,55.72,0.13,43.44,0.93,7.27
Atractocarpus merikin,S,5,3,4,Moths,"Fleshy (berry, pome, pepo, etc.)",Multi,DivAv,Flying,DivAv,39,1,1,1,1.2,0.53,0.31,0.51,20.97,0.12,60.5,1.26,10.65,0.8,0.32,0.47,60.45,0.14,64.02,1.82,13.26
Austrobaileya scandens,L,40,3,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,660,1,1,1,1.6,0.36,0.18,0.2,35.65,0.26,52.74,2.88,11.02,,,,,,,,
Austromatthaea elegans,S,6,3,4,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,131.575,0,0,0,1.3,,,,41.29,,37.88,,,0.73,0.32,0.41,39.88,0.13,54.4,2.08,15.69
Austrosteenisia stipularis,L,36,2,6,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,19.638,1,1,1,3.5,0.4,0.29,0.26,19.65,0.09,22.3,1.08,12.56,,,,,,,,
Beilschmiedia bancroftii,C,39,4,7,Beetles,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,43159.05,0,0,0,1.24,0.42,0.34,0.39,24.83,0.15,62.02,1.77,11.93,0.6,0.44,0.55,24.75,0.22,120.32,4.02,18.59
Beilschmiedia tooram,C,28,4,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,4021.9793,0,0,0,1.9,0.44,0.37,0.48,29.54,0.12,58.76,1.96,15.89,0.78,0.46,0.61,59.54,0.17,105.48,3.78,22.42
Breynia cernua,S,9,1,5.5,Wind,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,6.4966,1,1,1,3.3,0.43,0.21,0.17,8.38,0.13,21.77,0.65,4.77,0.53,0.23,0.23,21.89,0.13,30.16,1.2,9.24
Brombya platynema,T,19,2,6,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Avian,Flying,AvFor,2.3,1,1,1,1.4,0.39,0.17,0.17,30.22,0.23,38.97,1.7,7.49,0.62,0.22,0.19,63.16,0.31,60.14,2.3,7.4
Bubbia semecarpoides,S,12,3,5.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,DivAv,Flying,DivAv,13.315,1,1,1,1.2,0.35,0.22,0.26,38.34,0.25,65.08,4.16,16.81,0.51,0.31,0.43,117.93,0.27,113.22,3.42,12.94
Calamus australis,L,38,1,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,410,0,0,0,1.6,0.21,0.33,0.38,9.21,0.1,36.4,5.21,54.67,,,,78,,,,
Calamus moti,L,37,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,134.6133,0,0,0,1.33,0.3,0.44,0.52,7.59,0.08,40.58,2.37,30.37,,,,,,,,
Calamus radicalis,L,36,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,91.22,0,0,0,2.2,0.23,0.42,0.53,5.42,0.07,34.96,3.36,51.07,,,,,,,,
Callicarpa longifolia,S,5,1,6,Butterflies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,0.4733,1,1,1,2.8,0.31,0.21,0.26,16.79,0.08,19.43,0.45,5.95,0.35,,,37.44,,,,
Canarium muelleri,C,36,3,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,CLFor,Flying,AvFor,117.705,1,1,1,2.75,,,,,,,,,0.59,,,,,,,
Cardwellia sublimis,C,41,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,455.8658,1,1,1,1.92,0.42,0.32,0.34,31.28,0.17,58.48,2.51,14.58,0.52,0.4,0.49,67.97,0.27,130.12,5.64,22.99
Carnarvonia araliifolia var. araliifolia,C,34,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,60.861,1,1,1,1.35,0.39,0.26,0.23,38.69,0.2,47.86,2.29,11.21,0.59,0.37,0.42,43.94,0.3,124.2,5.01,16.81
Carronia protensa,L,34,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,102,0,0,0,2.14,0.49,0.36,0.32,24.93,0.18,58.95,2.53,13.96,,,,,,,,
Castanospermum australe,C,40,3,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,CHr,Nonflying,CHR,19768.0138,0,0,0,2.05,0.33,0.25,0.24,15.27,0.15,35.09,1.34,9.1,0.62,0.4,0.42,41.17,0.21,90.39,5.3,25.03
Castanospora alphandii,C,33,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrL,CHr,Nonflying,CHR,2648.5097,0,0,0,1.08,0.49,0.32,0.31,19.69,0.17,54.21,1.8,10.34,0.61,0.4,0.46,57.07,0.23,104.54,3.34,15.4
Celastrus subspicata,L,31,2,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,29.156,1,1,1,1.65,0.48,0.25,0.22,19.56,0.13,28.48,1.38,10.49,,,,20,,,,
Chionanthus ramiflora,T,22,2,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,519.88,0,0,0,1.8,0.45,0.3,0.34,29.05,0.15,49.36,3.87,26.57,0.75,0.42,0.52,52.74,0.21,107.1,4.51,21.87
Chisocheton longistipitatus,C,40,4,7,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrL,CLFor,Flying,AvFor,3600,0,0,0,2.75,0.31,0.23,0.28,66.31,0.13,36.88,1.34,10.01,0.48,,,,,,,
Cinnamomum laubatii,C,34,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,747.717,0,0,0,2.1,0.39,0.35,0.48,19.91,0.12,58.43,2.11,17.19,0.41,0.49,0.56,22.06,0.2,114.27,5.63,29.13
Cissus vinosa,L,39,3,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,24.895,0,0,0,3.3,0.19,0.11,0.12,21.52,0.19,21.45,0.99,5.28,,,,,,,,
Citronella moorei,T,25,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,166.2399,1,1,1,2.1,,,,,,,,,0.58,,,,,,,
Citronella smythii,T,25,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,310,1,1,1,1.9,0.39,0.28,0.28,41.49,0.18,50.66,2.32,12.78,0.58,0.29,0.29,62.86,0.24,68.94,2.28,9.61
Cnesmocarpon dasyantha,T,23,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,58.613,0,0,0,1.85,0.68,0.37,0.39,32.22,0.14,53.94,1.56,11.09,0.76,0.45,0.54,57.44,0.2,107.74,1.97,9.79
Connarus conchocarpus ssp. conchocarpus,L,34,3,7,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivAv,Flying,DivAv,447.307,1,1,0,1.2,0.5,0.38,0.44,33.02,0.13,55.95,1.83,14.39,,,,140.4,,,,
Cordyline cannifolia,H,5,3,4.5,Bees,"Fleshy (berry, pome, pepo, etc.)",Multi,CHr,Nonflying,CHR,12.51,0,0,0,1.28,0.25,0.21,0.25,25.52,0.21,53.61,6.55,30.51,,,,134.4,,,,
Corynocarpus cribbianus,T,20,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,8075.0943,0,0,0,2.1,0.45,0.24,0.28,33.68,0.17,47.62,4.41,25.42,0.59,0.36,0.4,51.94,0.24,97.27,6.45,26.92
Cryptocarya angulata,C,32,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1600,0,0,0,1.3,0.49,0.38,0.35,17.72,0.16,56.26,1.87,11.79,0.66,0.47,0.47,20.72,0.28,133.32,2.59,11.5
Cryptocarya corrugata,C,40,4,7.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1989.335,0,0,0,1.22,0.54,0.4,0.53,21.18,0.11,60.31,1.54,13.52,0.64,0.5,0.65,12.98,0.23,146.57,5.52,25.65
Cryptocarya grandis,C,34,3,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,1148.3412,0,0,0,1.16,0.53,0.35,0.38,41.71,0.14,52.4,1.32,9.6,0.71,0.41,0.47,42.77,0.18,85.17,2.39,13.16
Cryptocarya mackinnoniana,C,28,3,5.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1207.3505,0,0,0,1.05,0.62,0.45,0.53,47.64,0.13,70.9,2.68,20.29,0.75,0.52,0.78,98.29,0.2,155.07,7.41,37.49
Cryptocarya murrayi,C,28,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,384.032,0,0,0,1.32,0.47,0.35,0.45,44.1,0.14,63.41,1.79,12.73,0.65,0.42,0.58,98.64,0.22,124.5,4.63,21.93
Cryptocarya oblata,C,32,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,6528.6667,0,0,0,1.46,0.37,0.25,0.23,13.44,0.21,46.73,1.28,6.14,0.47,0.37,0.41,30.29,0.28,113.04,3.25,12.62
Cryptocarya pleurosperma,C,30,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,11386.7337,0,0,0,1.65,0.4,0.26,0.23,28.69,0.25,56.02,2.24,9.04,0.57,0.34,0.33,49.8,0.27,88.88,3.42,12.66
Daphnandra repandula,T,22,3,5.5,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,4.35,1,1,1,2.4,0.37,0.19,0.15,13.8,0.19,27.97,1.2,6.43,0.58,0.32,0.28,42.04,0.25,71.9,1.93,7.67
Darlingia darlingiana,C,38,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,135.0453,1,1,1,1.6,0.47,0.29,0.28,21.69,0.15,40.02,1.5,10.31,0.65,0.45,0.52,64.47,0.32,176.59,7.39,23.96
Davidsonia pruriens var. pruriens,S,16,2,5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,437.421,0,0,0,1.2,0.52,0.37,0.39,26.65,0.11,41.13,1.34,12.57,0.79,0.42,0.49,109.81,0.16,79.02,3.15,18.97
Delarbrea michieana,S,12,2,4.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,150,1,1,1,1.89,0.42,0.25,0.25,26.7,0.17,41.19,2,11.85,0.63,0.3,0.33,62.7,0.16,51.48,1.58,10.18
Derris sp. (Claudie River L.J.Webb+ 8348),L,44,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,377.504,0,0,0,2.05,,,,,,,,,,,,,,,,
Desmos goezeanus,L,39,2,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,85.929,0,0,0,1.84,0.48,0.36,0.35,12.76,0.11,38.84,1.1,9.95,,,,28.8,,,,
Dichapetalum papuanum,S,3,2,5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,60.5794,0,0,0,2.56,0.52,0.33,0.3,20.7,0.16,48.34,1.42,8.83,0.76,0.31,0.3,39.71,0.18,54.2,2.03,11.32
Diospyros sp. (Millaa Millaa L.W.Jessup 515),S,4,3,3.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,28.467,1,1,1,1.9,0.53,0.33,0.34,15.3,0.15,49.3,2.16,14.61,0.8,0.36,0.43,38.92,0.17,72.42,5.33,31.57
Diploglottis bracteata,T,23,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrL,CHr,Nonflying,CHR,3959.9417,0,0,0,2.04,0.53,0.33,0.35,35.86,0.14,49.43,1.64,12.01,0.86,0.42,0.59,50.24,0.19,114.57,2.27,12.08
Doryphora aromatica,C,34,3,6.5,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,10,1,1,1,1.82,0.39,0.23,0.23,20.23,0.2,44.67,2.01,10.29,0.48,0.3,0.31,34.16,0.24,74.09,2.95,12.18
Dysoxylum oppositifolium,T,21,3,5.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivLs,Flying,DivLs,741.0375,1,0,0,1.7,0.57,0.35,0.38,19.66,0.14,55.09,2.28,16.37,0.76,0.4,0.46,38.4,0.19,87.04,2.59,13.89
Dysoxylum papuanum,T,27,3,6,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,338,1,0,0,1.9,0.47,0.25,0.2,4.26,0.13,25.84,1.03,7.84,0.63,0.29,0.29,30.47,0.19,57.79,1.7,8.67
Dysoxylum parasiticum,C,31,2,6,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,283.5767,1,0,0,2.35,0.45,0.24,0.25,5.82,0.13,31.13,1.09,8.64,0.64,0.34,0.38,55.92,0.25,96.25,2.06,8.15
Dysoxylum pettigrewianum,C,40,4,7,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivLs,Flying,DivLs,534,1,1,0,1.85,0.54,0.26,0.26,35.37,0.19,49.45,1.65,8.64,0.73,0.33,0.39,68.39,0.25,98.82,2.67,10.53
Elaeocarpus grandis,C,38,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,39.0365,1,1,1,2.55,0.45,0.32,0.3,21.91,0.14,41.95,1.27,9.11,0.45,0.43,0.51,36.27,0.22,113.39,1.77,8.48
Elaeocarpus largiflorens ssp. largiflorens,C,29,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,448.3677,1,1,0,2.45,0.47,0.33,0.37,36.04,0.15,53.75,1.5,10.23,0.4,0.45,0.54,63.72,0.26,136.46,6.09,28.14
Embelia grayi,V,32,2,6,Butterflies,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,20.58,1,1,1,1.54,0.51,0.21,0.24,20.22,0.14,33.5,1.34,9.56,,,,9.8,,,,
Endiandra cowleyana,C,39,4,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,1006.307,0,0,0,1.9,0.57,0.3,0.38,19.16,0.15,58.76,1.65,10.68,0.64,0.42,0.54,19.76,0.21,111.89,3.96,19.11
Endiandra leptodendron,T,24,4,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,448.622,0,0,0,1.5,0.6,0.32,0.41,24.26,0.13,51.85,1.43,11.34,0.74,0.42,0.54,64.96,0.17,94.56,2.27,13.34
Endiandra montana,C,31,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CLFor,Flying,AvFor,4866.8927,0,0,0,1.8,0.56,0.32,0.38,37.29,0.18,68.21,3,16.48,0.65,0.44,0.52,33.51,0.27,141.98,7.3,28
Endiandra palmerstonii,C,37,4,7,Beetles,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,25733.9396,0,0,0,1.2,,,,,,,,,0.65,0.47,0.56,46.47,0.24,130.92,3.37,16.74
Endiandra sankeyana,C,30,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,5225.1846,0,0,0,1.4,0.52,0.38,0.55,42.48,0.11,59.16,1.61,14.69,0.71,0.49,0.72,53.15,0.16,111.7,2.96,20.09
Endiandra sideroxylon,C,35,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CLFor,Flying,AvFor,5836.1983,0,0,0,1.02,0.52,0.37,0.45,26.29,0.17,75.39,2.52,14.88,0.69,0.41,0.47,27.07,0.3,143.48,9.43,31.4
Endiandra wolfei,T,26,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,904.481,0,0,0,1.18,0.62,0.36,0.43,30.04,0.14,58.98,2.04,14.76,0.86,0.44,0.59,28.22,0.17,98.75,3.16,18.96
Epipremnum pinnatum,V,37,2,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,18.125,0,0,0,2,0.06,0.09,0.11,57.01,0.24,26.12,1.42,5.97,,,,1800,,,,
Erythroxylum sp. Brewer LA (B.Hyland 13373),T,24,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,52,1,1,1,2.32,0.47,0.26,0.23,17.03,0.16,36.89,1.74,10.92,0.81,0.41,0.45,20.65,0.25,111.14,2.89,11.78
Eupomatia barbata,S,1.2,2,4,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,Avian,Flying,AvFor,10.007,1,1,1,1.27,0.34,0.2,0.2,21.9,0.14,27.55,1.42,10.32,0.61,0.22,0.23,37.93,0.15,33.86,1.35,9.12
Eupomatia laurina,S,18,1,5.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,8.15,1,1,1,2.09,0.25,0.19,0.2,61.56,0.2,39.64,2.3,11.39,0.54,0.25,0.26,89.33,0.23,60.96,2.08,9.09
Eustrephus latifolius,V,10,2,5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,24.6859,0,0,0,2.18,,,,,,,,,,,,,,,,
Faradaya splendida,L,41,3,7,Bat,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,3766,0,0,0,1.86,0.28,0.22,0.28,63.37,0.13,37.69,1.52,11.38,,,,339.3,,,,
Ficus leptoclada,S,17,1,6,Bees,"Fleshy (berry, pome, pepo, etc.)",Fig,DivAv,Flying,DivAv,0.23,1,1,1,2.2,,,,,,,,,0.48,0.31,0.42,21.87,0.11,48.09,1.14,9.96
Ficus pleurocarpa,T,40,4,7,Bees,"Fleshy (berry, pome, pepo, etc.)",Fig,DivLs,Flying,DivLs,3.3,1,1,1,2.46,,,,,,,,,0.4,0.33,0.46,147.83,0.42,194.05,9.51,23.24
Ficus septica,S,17,1,6,Bees,"Fleshy (berry, pome, pepo, etc.)",Fig,DivAv,Flying,DivAv,0.21,1,1,1,3.2,0.24,0.15,0.19,24.81,0.09,17.88,0.82,8.83,0.42,0.24,0.32,72.51,0.16,51.35,1.75,11.03
Flagellaria indica,V,26,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,43.125,1,1,1,1.38,0.34,0.25,0.26,9.66,0.12,30.65,2.9,25.07,,,,80,,,,
Flindersia bourjotiana,C,38,2,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,130,1,1,1,1.86,0.47,0.26,0.29,49.45,0.23,65.93,2.68,11.8,0.54,0.38,0.41,31.99,0.37,153.75,7.28,20.88
Flindersia brayleyana,C,42,1,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,78.1587,1,1,1,2.72,0.41,0.23,0.23,41.12,0.24,55.45,2.49,10.35,0.48,0.4,0.43,50.66,0.34,140.23,5.71,18.32
Franciscodendron laurifolium,C,35,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,124.5,1,1,1,1.55,0.39,0.31,0.28,35.08,0.17,48.35,2.41,14.16,0.39,0.42,0.49,74.08,0.21,104.55,7.47,34.74
Freycinetia excelsa,V,25,3,6,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0.726,0,0,0,1.9,,,,,,,,,,,,,,,,
Freycinetia scandens,V,20,3,6.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0.818,0,0,0,2.2,,,,,,,,,,,,20,,,,
Galbulimima baccata,C,40,4,7,Flies,"Fleshy (berry, pome, pepo, etc.)",Multi,CLFor,Flying,AvFor,91.652,1,1,1,2.34,0.29,0.21,0.21,25.8,0.19,39.52,1.51,7.98,0.51,0.35,0.37,21.77,0.28,105.08,5.38,19.51
Glochidion harveyanum var. harveyanum,S,18,1,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,15.557,1,1,1,3.1,0.41,0.28,0.28,24.37,0.16,43.21,1.1,7.05,0.39,0.36,0.39,56.4,0.26,102.43,4.31,16.51
Glochidion sumatranum,T,24,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,12.257,1,1,1,2.6,0.35,0.25,0.25,17.39,0.14,33.65,0.98,7.17,0.61,0.37,0.4,59.68,0.22,87.93,2.02,9.25
