Species,StrataBinary,Site,SeedDM,seed_mass_to_use,seed_mass_duplicate,taxon_name
Austrobaileya scandens,Stratum_1_seedling,QRS,660,NA,Duplicate of Kew_2019_1_00800,Austrobaileya scandens
Austromatthaea elegans,Stratum_1_seedling,QRS,131.575,131.575,NA,NA
Austrosteenisia stipularis,Stratum_1_seedling,QRS,14.309,14.309,NA,NA
Austrosteenisia stipularis,Stratum_1_seedling,QRS,24.967,24.967,NA,NA
Beilschmiedia bancroftii,Stratum_1_seedling,QRS,63500,63500,NA,NA
Beilschmiedia bancroftii,Stratum_1_seedling,QRS,38900,38900,NA,NA
Beilschmiedia bancroftii,Stratum_1_seedling,QRS,51200,51200,NA,NA
Beilschmiedia bancroftii,Stratum_1_seedling,QRS,19195.25,19195.25,NA,NA
Beilschmiedia bancroftii,Stratum_1_seedling,QRS,43000,NA,Duplicate of Kew_2019_1_04325,Beilschmiedia bancroftii
Beilschmiedia tooram,Stratum_1_seedling,QRS,2243.9586,2243.9586,NA,NA
Beilschmiedia tooram,Stratum_1_seedling,QRS,5800,NA,Duplicate of Kew_2019_1_04328,Beilschmiedia tooram
Breynia cernua,Stratum_1_seedling,QRS,7.7,NA,Duplicate of Metcalfe_2009_031,Breynia cernua
Breynia cernua,Stratum_1_seedling,QRS,8.75,NA,Duplicate of Lord_1997_080,Breynia cernua
Breynia cernua,Stratum_1_seedling,QRS,6.3466,6.3466,NA,NA
Breynia cernua,Stratum_1_seedling,QRS,3.19,3.19,NA,NA
Brombya platynema,Stratum_1_seedling,QRS,2.3,2.3,NA,NA
Bubbia semecarpoides,Stratum_1_seedling,QRS,13.315,13.315,NA,NA
Calamus australis,Stratum_1_seedling,QRS,410,NA,Duplicate of Kew_2019_1_00676,Calamus australis
Calamus moti,Stratum_1_seedling,QRS,107,NA,Duplicate of Kew_2019_1_00678,Calamus moti
Calamus moti,Stratum_1_seedling,QRS,162.2266,162.2266,NA,NA
Calamus radicalis,Stratum_1_seedling,QRS,91.22,91.22,NA,NA
Callicarpa longifolia,Stratum_1_seedling,QRS,0.66,0.66,NA,NA
Callicarpa longifolia,Stratum_1_seedling,QRS,0.41,NA,Duplicate of Kew_2019_1_04198,Callicarpa longifolia
Callicarpa longifolia,Stratum_1_seedling,QRS,0.35,0.35,NA,NA
Canarium muelleri,Stratum_1_seedling,QRS,117.705,117.705,NA,NA
Cardwellia sublimis,Stratum_1_seedling,QRS,394.52,NA,Duplicate of Kew_2019_1_11627,Cardwellia sublimis
Cardwellia sublimis,Stratum_1_seedling,QRS,770,NA,Duplicate of Kew_2019_1_11628,Cardwellia sublimis
Cardwellia sublimis,Stratum_1_seedling,QRS,203.0775,203.0775,NA,NA
Carnarvonia araliifolia var. araliifolia,Stratum_1_seedling,QRS,60.861,60.861,NA,NA
Carronia protensa,Stratum_1_seedling,QRS,102,NA,Duplicate of Kew_2019_1_07423,Carronia protensa
Castanospermum australe,Stratum_1_seedling,QRS,26219.41062,26219.41062,NA,NA
Castanospermum australe,Stratum_1_seedling,QRS,28571,NA,Duplicate of Kew_2019_1_05812,Castanospermum australe
Castanospermum australe,Stratum_1_seedling,QRS,28571.42857,28571.42857,NA,NA
Castanospermum australe,Stratum_1_seedling,QRS,14737.6,14737.6,NA,NA
Castanospermum australe,Stratum_1_seedling,QRS,15569,15569,NA,NA
Castanospermum australe,Stratum_1_seedling,QRS,13124,NA,Duplicate of Kew_2019_1_05808,Castanospermum australe
Castanospermum australe,Stratum_1_seedling,QRS,14000,NA,Duplicate of Kew_2019_1_05809,Castanospermum australe
Castanospermum australe,Stratum_1_seedling,QRS,14705.86238,14705.86238,NA,NA
Castanospermum australe,Stratum_1_seedling,QRS,22413.8222,22413.8222,NA,NA
Castanospora alphandii,Stratum_1_seedling,QRS,2000,NA,Duplicate of Grubb_1996_131,Castanospora alphandii
Castanospora alphandii,Stratum_1_seedling,QRS,3530,3530,NA,NA
Castanospora alphandii,Stratum_1_seedling,QRS,2415.529,2415.529,NA,NA
Celastrus subspicata,Stratum_1_seedling,QRS,29.156,29.156,NA,NA
Chionanthus ramiflora,Stratum_1_seedling,QRS,519.88,519.88,NA,NA
Chisocheton longistipitatus,Stratum_1_seedling,QRS,3600,NA,Duplicate of Kew_2019_1_07397,Chisocheton longistipitatus
Cinnamomum laubatii,Stratum_1_seedling,QRS,650,NA,Duplicate of Kew_2019_1_04345,Cinnamomum laubatii
Cinnamomum laubatii,Stratum_1_seedling,QRS,845.434,845.434,NA,NA
Cissus vinosa,Stratum_1_seedling,QRS,24.895,24.895,NA,NA
Citronella moorei,Stratum_1_seedling,QRS,166.2399,166.2399,NA,NA
Citronella smythii,Stratum_1_seedling,QRS,310,NA,Duplicate of Kew_2019_1_01082,Citronella smythii
Cnesmocarpon dasyantha,Stratum_1_seedling,QRS,58.613,58.613,NA,NA
Connarus conchocarpus ssp. conchocarpus,Stratum_1_seedling,QRS,447.307,447.307,NA,NA
Cordyline cannifolia,Stratum_1_seedling,QRS,12,NA,Duplicate of Kew_2019_1_00719,Cordyline cannifolia
Cordyline cannifolia,Stratum_1_seedling,QRS,13.02,NA,Duplicate of Kew_2019_1_00720,Cordyline cannifolia
Cordyline cannifolia,Stratum_1_seedling,QRS,12.51,12.51,NA,NA
Corynocarpus cribbianus,Stratum_1_seedling,QRS,5500,NA,Duplicate of Kew_2019_1_02507,Corynocarpus cribbianus
Corynocarpus cribbianus,Stratum_1_seedling,QRS,11000,NA,Duplicate of Kew_2019_1_02508,Corynocarpus cribbianus
Corynocarpus cribbianus,Stratum_1_seedling,QRS,8051.9,8051.9,NA,NA
Corynocarpus cribbianus,Stratum_1_seedling,QRS,7748.4772,7748.4772,NA,NA
Cryptocarya angulata,Stratum_1_seedling,QRS,1600,NA,Duplicate of Kew_2019_1_04346,Cryptocarya angulata
Cryptocarya corrugata,Stratum_1_seedling,QRS,2400,NA,Duplicate of Kew_2019_1_04348,Cryptocarya corrugata
Cryptocarya corrugata,Stratum_1_seedling,QRS,1578.67,1578.67,NA,NA
Cryptocarya grandis,Stratum_1_seedling,QRS,1000,NA,Duplicate of Kew_2019_1_04350,Cryptocarya grandis
Cryptocarya grandis,Stratum_1_seedling,QRS,1296.6825,1296.6825,NA,NA
Cryptocarya mackinnoniana,Stratum_1_seedling,QRS,1204,1204,NA,NA
Cryptocarya mackinnoniana,Stratum_1_seedling,QRS,1210.701,1210.701,NA,NA
Cryptocarya murrayi,Stratum_1_seedling,QRS,384.032,384.032,NA,NA
Cryptocarya oblata,Stratum_1_seedling,QRS,5600,NA,Duplicate of Kew_2019_1_04354,Cryptocarya oblata
Cryptocarya oblata,Stratum_1_seedling,QRS,4286,4286,NA,NA
Cryptocarya oblata,Stratum_1_seedling,QRS,9700,NA,Duplicate of Kew_2019_1_04355,Cryptocarya oblata
Cryptocarya pleurosperma,Stratum_1_seedling,QRS,11000,NA,Duplicate of Kew_2019_1_04358,Cryptocarya pleurosperma
Cryptocarya pleurosperma,Stratum_1_seedling,QRS,11773.46732,11773.46732,NA,NA
Daphnandra repandula,Stratum_1_seedling,QRS,4,4,NA,NA
Daphnandra repandula,Stratum_1_seedling,QRS,4.7,NA,Duplicate of Kew_2019_1_00795,Daphnandra repandula
Darlingia darlingiana,Stratum_1_seedling,QRS,70.0906,70.0906,NA,NA
Darlingia darlingiana,Stratum_1_seedling,QRS,200,NA,Duplicate of Kew_2019_1_11660,Darlingia darlingiana
Davidsonia pruriens var. pruriens,Stratum_1_seedling,QRS,440,NA,Duplicate of Kew_2019_1_02591,Davidsonia pruriens
Davidsonia pruriens var. pruriens,Stratum_1_seedling,QRS,434.842,434.842,NA,NA
Delarbrea michieana,Stratum_1_seedling,QRS,150,NA,Duplicate of Kew_2019_1_07578,Delarbrea michieana
Derris sp. (Claudie River L.J.Webb+ 8348),Stratum_1_seedling,QRS,377.504,377.504,NA,NA
Desmos goezeanus,Stratum_1_seedling,QRS,85.929,85.929,NA,NA
Dichapetalum papuanum,Stratum_1_seedling,QRS,57.82,NA,Duplicate of Kew_2019_1_03314,Dichapetalum papuanum
Dichapetalum papuanum,Stratum_1_seedling,QRS,63.3388,63.3388,NA,NA
Diospyros sp. (Millaa Millaa L.W.Jessup 515),Stratum_1_seedling,QRS,28.467,28.467,NA,NA
Diploglottis bracteata,Stratum_1_seedling,QRS,3359.65,3359.65,NA,NA
Diploglottis bracteata,Stratum_1_seedling,QRS,2800,NA,Duplicate of Kew_2019_1_12975,Diploglottis bracteata
Diploglottis bracteata,Stratum_1_seedling,QRS,3500,NA,Duplicate of Kew_2019_1_12976,Diploglottis bracteata
Diploglottis bracteata,Stratum_1_seedling,QRS,5600,NA,Duplicate of Kew_2019_1_12977,Diploglottis bracteata
Diploglottis bracteata,Stratum_1_seedling,QRS,2700,2700,NA,NA
Diploglottis bracteata,Stratum_1_seedling,QRS,5800,5800,NA,NA
Doryphora aromatica,Stratum_1_seedling,QRS,10,NA,Duplicate of Kew_2019_1_00797,Doryphora aromatica
Dysoxylum oppositifolium,Stratum_1_seedling,QRS,741.0375,741.0375,NA,NA
Dysoxylum papuanum,Stratum_1_seedling,QRS,320,NA,Duplicate of Kew_2019_1_07399,Dysoxylum papuanum
Dysoxylum papuanum,Stratum_1_seedling,QRS,356,356,NA,NA
Dysoxylum parasiticum,Stratum_1_seedling,QRS,262,262,NA,NA
Dysoxylum parasiticum,Stratum_1_seedling,QRS,238.73,238.73,NA,NA
Dysoxylum parasiticum,Stratum_1_seedling,QRS,350,NA,Duplicate of Kew_2019_1_07400,Dysoxylum parasiticum
Dysoxylum pettigrewianum,Stratum_1_seedling,QRS,530,NA,Duplicate of Kew_2019_1_07402,Dysoxylum pettigrewianum
Dysoxylum pettigrewianum,Stratum_1_seedling,QRS,538,538,NA,NA
Elaeocarpus grandis,Stratum_1_seedling,QRS,17.073,17.073,NA,NA
Elaeocarpus grandis,Stratum_1_seedling,QRS,61,61,NA,NA
Elaeocarpus largiflorens ssp. largiflorens,Stratum_1_seedling,QRS,586.7353,586.7353,NA,NA
Elaeocarpus largiflorens ssp. largiflorens,Stratum_1_seedling,QRS,310,310,NA,NA
Embelia grayi,Stratum_1_seedling,QRS,20.58,20.58,NA,NA
Endiandra cowleyana,Stratum_1_seedling,QRS,1006.307,1006.307,NA,NA
Endiandra leptodendron,Stratum_1_seedling,QRS,357.936,357.936,NA,NA
Endiandra leptodendron,Stratum_1_seedling,QRS,539.308,539.308,NA,NA
Endiandra montana,Stratum_1_seedling,QRS,3700,NA,Duplicate of Kew_2019_1_04368,Endiandra montana
Endiandra montana,Stratum_1_seedling,QRS,6033.788,6033.788,NA,NA
Endiandra montana,Stratum_1_seedling,QRS,4866.89,4866.89,NA,NA
Endiandra palmerstonii,Stratum_1_seedling,QRS,25000,25000,NA,NA
Endiandra palmerstonii,Stratum_1_seedling,QRS,31000,31000,NA,NA
Endiandra palmerstonii,Stratum_1_seedling,QRS,21201.81868,21201.81868,NA,NA
Endiandra sankeyana,Stratum_1_seedling,QRS,5403.5,5403.5,NA,NA
Endiandra sankeyana,Stratum_1_seedling,QRS,4200,NA,Duplicate of Kew_2019_1_04373,Endiandra sankeyana
Endiandra sankeyana,Stratum_1_seedling,QRS,7000,NA,Duplicate of Kew_2019_1_04374,Endiandra sankeyana
Endiandra sankeyana,Stratum_1_seedling,QRS,4297.238379,4297.238379,NA,NA
Endiandra sideroxylon,Stratum_1_seedling,QRS,4000,NA,Duplicate of Kew_2019_1_04375,Endiandra sideroxylon
Endiandra sideroxylon,Stratum_1_seedling,QRS,7672.3966,7672.3966,NA,NA
Endiandra wolfei,Stratum_1_seedling,QRS,904.481,904.481,NA,NA
Epipremnum pinnatum,Stratum_1_seedling,QRS,18.125,18.125,NA,NA
Erythroxylum ecarinatum,Stratum_1_seedling,QRS,52,52,NA,NA
Eupomatia barbata,Stratum_1_seedling,QRS,10.007,10.007,NA,NA
Eupomatia laurina,Stratum_1_seedling,QRS,8.15,8.15,NA,NA
Eustrephus latifolius,Stratum_1_seedling,QRS,24.6859,NA,Duplicate of Leishman_1993_245,Eustrephus latifolius
Faradaya splendida,Stratum_1_seedling,QRS,3766,NA,Duplicate of Kew_2019_1_04203,Faradaya splendida
Ficus leptoclada,Stratum_1_seedling,QRS,0.23,NA,Duplicate of Grubb_1996_070,Ficus leptoclada
Ficus pleurocarpa,Stratum_1_seedling,QRS,3.3,NA,Duplicate of Kew_2019_1_07555,Ficus pleurocarpa
Ficus septica,Stratum_1_seedling,QRS,0.21,NA,Duplicate of Grubb_1996_069,Ficus septica
Flagellaria indica,Stratum_1_seedling,QRS,40.43,40.43,NA,NA
Flagellaria indica,Stratum_1_seedling,QRS,45.82,45.82,NA,NA
Flindersia bourjotiana,Stratum_1_seedling,QRS,130,NA,Duplicate of Kew_2019_1_12776,Flindersia bourjotiana
Flindersia brayleyana,Stratum_1_seedling,QRS,113.398,113.398,NA,NA
Flindersia brayleyana,Stratum_1_seedling,QRS,54,NA,Duplicate of Kew_2019_1_12777,Flindersia brayleyana
Flindersia brayleyana,Stratum_1_seedling,QRS,61.907,61.907,NA,NA
Flindersia brayleyana,Stratum_1_seedling,QRS,83.33,NA,Duplicate of Kew_2019_1_12779,Flindersia brayleyana
Franciscodendron laurifolium,Stratum_1_seedling,QRS,89,NA,Duplicate of Kew_2019_1_07129,Franciscodendron laurifolium
Franciscodendron laurifolium,Stratum_1_seedling,QRS,160,NA,Duplicate of Kew_2019_1_07130,Franciscodendron laurifolium
Freycinetia excelsa,Stratum_1_seedling,QRS,0.726,0.726,NA,NA
Freycinetia scandens,Stratum_1_seedling,QRS,0.818,0.818,NA,NA
Galbulimima baccata,Stratum_1_seedling,QRS,91.652,91.652,NA,NA
Glochidion harveyanum var. harveyanum,Stratum_1_seedling,QRS,18.114,18.114,NA,NA
Glochidion harveyanum var. harveyanum,Stratum_1_seedling,QRS,13,13,NA,NA
Glochidion sumatranum,Stratum_1_seedling,QRS,12.257,12.257,NA,NA
Gmelina fasciculiflora,Stratum_1_seedling,QRS,730,NA,Duplicate of Kew_2019_1_04205,Gmelina fasciculiflora
Gmelina fasciculiflora,Stratum_1_seedling,QRS,606.362,606.362,NA,NA
Gossia dallachiana,Stratum_1_seedling,QRS,44,44,NA,NA
Guioa acutifolia,Stratum_1_seedling,QRS,11,NA,Duplicate of Kew_2019_1_13113,Guioa acutifolia
Guioa acutifolia,Stratum_1_seedling,QRS,54,NA,Duplicate of Kew_2019_1_13114,Guioa acutifolia
Guioa lasioneura,Stratum_1_seedling,QRS,49,NA,Duplicate of Kew_2019_1_13115,Guioa lasioneura
Gymnostachys anceps,Stratum_1_seedling,QRS,228.6,NA,Duplicate of Leishman_1993_279,Gymnostachys anceps
Haplostichanthus sp. (Johnstone River L.W.Jessup+ 471),Stratum_1_seedling,QRS,119.114,119.114,NA,NA
Harpullia frutescens,Stratum_1_seedling,QRS,78.31,NA,Duplicate of Kew_2019_1_13116,Harpullia frutescens
Harpullia rhyticarpa,Stratum_1_seedling,QRS,309.142,309.142,NA,NA
Hedycarya loxocarya,Stratum_1_seedling,QRS,35,NA,Duplicate of Kew_2019_1_07467,Hedycarya loxocarya
Helicia nortoniana,Stratum_1_seedling,QRS,24.89,24.89,NA,NA
Hibbertia scandens,Stratum_1_seedling,QRS,6.69,NA,Duplicate of Kew_2019_1_03359,Hibbertia scandens
Hibbertia scandens,Stratum_1_seedling,QRS,7.7635,NA,Duplicate of Leishman_1993_185,Hibbertia scandens
Hibbertia scandens,Stratum_1_seedling,QRS,9.726,9.726,NA,NA
Hibbertia scandens,Stratum_1_seedling,QRS,7.1,NA,Duplicate of Grubb_1996_013,Hibbertia scandens
Hippocratea barbata,Stratum_1_seedling,QRS,41.498,NA,Duplicate of Kew_2019_1_01294,Hippocratea barbata
Hoya pottsii,Stratum_1_seedling,QRS,0.896,0.896,NA,NA
Hylandia dockrillii,Stratum_1_seedling,QRS,469.959,469.959,NA,NA
Hymenosporum flavum,Stratum_1_seedling,QRS,3.2,NA,Duplicate of Kew_2019_1_10352,Hymenosporum flavum
Hymenosporum flavum,Stratum_1_seedling,QRS,6.049,NA,Duplicate of Kew_2019_1_10353,Hymenosporum flavum
Hymenosporum flavum,Stratum_1_seedling,QRS,7.3409,7.3409,NA,NA
Hypserpa decumbens,Stratum_1_seedling,QRS,19.738,19.738,NA,NA
Ichnocarpus frutescens,Stratum_1_seedling,QRS,33.86,33.86,NA,NA
Irvingbaileya australis,Stratum_1_seedling,QRS,220,NA,Duplicate of Kew_2019_1_13352,Irvingbaileya australis
Lantana camara var. camara,Stratum_1_seedling,QRS,9.05,9.05,NA,NA
Lantana camara var. camara,Stratum_1_seedling,QRS,15.625,15.625,NA,NA
Levieria acuminata,Stratum_1_seedling,QRS,21.612,21.612,NA,NA
Linospadix minor,Stratum_1_seedling,QRS,31.844,31.844,NA,NA
Litsea bindoniana,Stratum_1_seedling,QRS,290,NA,Duplicate of Kew_2019_1_04379,Litsea bindoniana
Litsea leefeana,Stratum_1_seedling,QRS,600,NA,Duplicate of Kew_2019_1_04382,Litsea leefeana
Litsea leefeana,Stratum_1_seedling,QRS,238.1205,238.1205,NA,NA
Litsea leefeana,Stratum_1_seedling,QRS,294,294,NA,NA
Macaranga involucrata var. mallotoides,Stratum_1_seedling,QRS,33,NA,Duplicate of Kew_2019_1_03692,Macaranga involucrata
Macaranga tanarius,Stratum_1_seedling,QRS,16.5362,16.5362,NA,NA
Macaranga tanarius,Stratum_1_seedling,QRS,44.3079,44.3079,NA,NA
Mackinlaya confusa,Stratum_1_seedling,QRS,42.402,42.402,NA,NA
Maclura cochinchinensis,Stratum_1_seedling,QRS,4,NA,Duplicate of Kew_2019_1_07572,Maclura cochinchinensis
Maclura cochinchinensis,Stratum_1_seedling,QRS,8,NA,Duplicate of Kew_2019_1_07573,Maclura cochinchinensis
Maclura cochinchinensis,Stratum_1_seedling,QRS,15,NA,Duplicate of Kew_2019_1_07574,Maclura cochinchinensis
Melicope bonwickii,Stratum_1_seedling,QRS,3.159,3.159,NA,NA
Melicope elleryana,Stratum_1_seedling,QRS,3.3,3.3,NA,NA
Melicope elleryana,Stratum_1_seedling,QRS,1.61,NA,Duplicate of Kew_2019_1_12806,Melicope elleryana
Melicope xanthoxyloides,Stratum_1_seedling,QRS,1.524,1.524,NA,NA
Melodinus australis,Stratum_1_seedling,QRS,38,38,NA,NA
Melodinus australis,Stratum_1_seedling,QRS,65,NA,Duplicate of Kew_2019_1_00570,Melodinus australis
Melodinus bacellianus,Stratum_1_seedling,QRS,46.286,46.286,NA,NA
Melodorum sp. (Topaz G.Sankowsky+ 244),Stratum_1_seedling,QRS,70.669,70.669,NA,NA
Motherwellia haplosciadea,Stratum_1_seedling,QRS,30.27,30.27,NA,NA
Mucuna gigantea,Stratum_1_seedling,QRS,2982,NA,Duplicate of Kew_2019_1_06312,Mucuna gigantea
Mucuna gigantea,Stratum_1_seedling,QRS,4700,NA,Duplicate of Kew_2019_1_06313,Mucuna gigantea
Myristica globosa ssp. muelleri,Stratum_1_seedling,QRS,1365.825,1365.825,NA,NA
Myristica globosa ssp. muelleri,Stratum_1_seedling,QRS,1612,1612,NA,NA
Neisosperma poweri,Stratum_1_seedling,QRS,1000,NA,Duplicate of Kew_2019_1_00572,Neisosperma poweri
Neisosperma poweri,Stratum_1_seedling,QRS,1055.673,1055.673,NA,NA
Neolitsea dealbata,Stratum_1_seedling,QRS,112.03,NA,Duplicate of Kew_2019_1_04383,Neolitsea dealbata
Neolitsea dealbata,Stratum_1_seedling,QRS,180,NA,Duplicate of Kew_2019_1_04384,Neolitsea dealbata
Neolitsea dealbata,Stratum_1_seedling,QRS,189.886,189.886,NA,NA
Neosepicaea jucunda,Stratum_1_seedling,QRS,20,NA,Duplicate of Kew_2019_1_00803,Neosepicaea jucunda
Niemeyera prunifera,Stratum_1_seedling,QRS,8800,NA,Duplicate of Kew_2019_1_13146,Niemeyera prunifera
Opisthiolepis heterophylla,Stratum_1_seedling,QRS,180,NA,Duplicate of Kew_2019_1_12143,Opisthiolepis heterophylla
Oplismenus undulatifolius var. mollis,Stratum_1_seedling,QRS,0.7,0.7,NA,NA
Palmeria scandens,Stratum_1_seedling,QRS,25.2091,25.2091,NA,NA
Pandanus monticola,Stratum_1_seedling,QRS,17,NA,Duplicate of RBGK_2014_410,Benstonea monticola
Pandorea pandorana,Stratum_1_seedling,QRS,4.1349,4.1349,NA,NA
Pandorea pandorana,Stratum_1_seedling,QRS,5.2148,NA,Duplicate of Leishman_1993_158,Pandorea pandorana
Pararistolochia australopithecurus,Stratum_1_seedling,QRS,51.557,51.557,NA,NA
Parsonsia densivestita,Stratum_1_seedling,QRS,56.146,56.146,NA,NA
Pilidiostigma tetramerum,Stratum_1_seedling,QRS,58.549,58.549,NA,NA
Pilidiostigma tropicum,Stratum_1_seedling,QRS,50.686,50.686,NA,NA
Piper caninum,Stratum_1_seedling,QRS,33,NA,Duplicate of Grubb_1996_106,Piper caninum
Piper novae-hollandiae,Stratum_1_seedling,QRS,22.55,22.55,NA,NA
Piper novae-hollandiae,Stratum_1_seedling,QRS,32.39,32.39,NA,NA
Piper novae-hollandiae,Stratum_1_seedling,QRS,45,NA,Duplicate of Grubb_1996_001,Piper hederaceum
Pittosporum rubiginosum,Stratum_1_seedling,QRS,36.878,36.878,NA,NA
Pittosporum rubiginosum,Stratum_1_seedling,QRS,27.9379,27.9379,NA,NA
Polyalthia michaelii,Stratum_1_seedling,QRS,8610,8610,NA,NA
Polyalthia michaelii,Stratum_1_seedling,QRS,7000,NA,Duplicate of Grubb_1996_114,Monoon michaelii
Polyosma hirsuta,Stratum_1_seedling,QRS,142.779,142.779,NA,NA
Polyscias australiana,Stratum_1_seedling,QRS,9.834,9.834,NA,NA
Polyscias australiana,Stratum_1_seedling,QRS,5.7,NA,Duplicate of Kew_2019_1_00621,Polyscias australiana
Polyscias australiana,Stratum_1_seedling,QRS,11,NA,Duplicate of Kew_2019_1_00622,Polyscias australiana
Polyscias elegans,Stratum_1_seedling,QRS,4.619,4.619,NA,NA
Polyscias elegans,Stratum_1_seedling,QRS,4.576,NA,Duplicate of Kew_2019_1_00623,Polyscias elegans
Polyscias elegans,Stratum_1_seedling,QRS,8.7,NA,Duplicate of Kew_2019_1_00624,Polyscias elegans
Polyscias mollis,Stratum_1_seedling,QRS,1.5,NA,Duplicate of Kew_2019_1_00626,Polyscias mollis
Pothos longipes,Stratum_1_seedling,QRS,109,NA,Duplicate of Kew_2019_1_00589,Pothos longipes
Pothos longipes,Stratum_1_seedling,QRS,105.681,105.681,NA,NA
Pothos longipes,Stratum_1_seedling,QRS,140,NA,Duplicate of Grubb_1996_118,Pothos longipes
Pouteria myrsinodendron,Stratum_1_seedling,QRS,535.92,535.92,NA,NA
Pouteria myrsinodendron,Stratum_1_seedling,QRS,420,NA,Duplicate of Grubb_1996_132,Planchonella myrsinodendron
Pouteria xerocarpa,Stratum_1_seedling,QRS,63.761,63.761,NA,NA
Pouteria xerocarpa,Stratum_1_seedling,QRS,166.551,166.551,NA,NA
Prunus turneriana,Stratum_1_seedling,QRS,1567,NA,Duplicate of Kew_2019_1_12546,Prunus turneriana
Prunus turneriana,Stratum_1_seedling,QRS,3000,NA,Duplicate of Kew_2019_1_12547,Prunus turneriana
Prunus turneriana,Stratum_1_seedling,QRS,3990,NA,Duplicate of Kew_2019_1_12548,Prunus turneriana
Prunus turneriana,Stratum_1_seedling,QRS,2637.125,2637.125,NA,NA
Pseuduvaria villosa,Stratum_1_seedling,QRS,183.159,183.159,NA,NA
Pseuduvaria villosa,Stratum_1_seedling,QRS,225.451,225.451,NA,NA
Psidium cattleianum var. cattleianum,Stratum_1_seedling,QRS,4.259,4.259,NA,NA
Psidium guajava,Stratum_1_seedling,QRS,12.62,12.62,NA,NA
Psychotria sp. (Mt Lewis V.K.Moriarty 2445),Stratum_1_seedling,QRS,11.24,11.24,NA,NA
