error,dataset_id,taxon_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of Kooyman_2011_0367,Wells_2012,Hylandia dockrillii,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0793,plant_height,30,m,NA,expert_max,NA,Hylandia dockrillii
Duplicate of Brock_1993_218,Wells_2012,Macaranga involucrata,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0809,plant_height,12,m,NA,expert_max,NA,Macaranga involucrata var. mallotoides
Duplicate of Kooyman_2011_0051,Wells_2012,Neisosperma poweri,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0834,plant_height,10,m,NA,expert_max,NA,Neisosperma poweri
Duplicate of Barlow_1981_3606,Wells_2012,Monoon michaelii,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0857,plant_height,30,m,NA,expert_max,NA,Polyalthia michaelii
Duplicate of Kooyman_2011_1268,Wells_2012,Psychotria sp. Mt Lewis (V.K.Moriarty 2445),Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0880,plant_height,3,m,NA,expert_max,NA,Psychotria sp. (Mt Lewis V.K.Moriarty 2445)
Duplicate of Kooyman_2011_1912,Wells_2012,Psychotria sp. Utchee Creek (H.Flecker NQNC5313),Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0884,plant_height,3,m,NA,expert_max,NA,Psychotria sp. (Utchee Creek H.Flecker NQNC5313)
Duplicate of Kooyman_2011_0392,Wells_2012,Rockinghamia angustifolia,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0893,plant_height,20,m,NA,expert_max,NA,Rockinghamia angustifolia
Duplicate of Barlow_1981_4027,Wells_2012,Synima macrophylla,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0922,plant_height,11,m,NA,expert_max,NA,Synima macrophylla
Duplicate of Barlow_1981_2932,Wells_2012,Litsea bindoniana,Carrington Rd Carrington,Stratum_2_adult_plant,Wells_2012_0955,plant_height,30,m,NA,expert_max,NA,Litsea bindoniana
Duplicate of Kooyman_2011_2026,Wells_2012,Cryptocarya corrugata,East Evelyn Rd Millaa Millaa,Stratum_2_adult_plant,Wells_2012_0985,plant_height,40,m,NA,expert_max,NA,Cryptocarya corrugata
Duplicate of Kooyman_2011_1740,Wells_2012,Diploglottis bracteata,Gourka Rd Topaz 2A vine forest,Stratum_2_adult_plant,Wells_2012_0993,plant_height,23,m,NA,expert_max,NA,Diploglottis bracteata
Duplicate of Barlow_1981_0941,Wells_2012,Cryptocarya grandis,Koolmoon Creek Cardstone Basalt 980 m,Stratum_2_adult_plant,Wells_2012_1163,plant_height,35,m,NA,expert_max,NA,Cryptocarya grandis
Duplicate of Barlow_1981_1497,Wells_2012,Endiandra montana,Longlands Gap Rd Wondecla,Stratum_2_adult_plant,Wells_2012_1255,plant_height,30,m,NA,expert_max,NA,Endiandra montana
Duplicate of Barlow_1981_1505,Wells_2012,Endiandra sideroxylon,Longlands Gap Rd Wondecla,Stratum_2_adult_plant,Wells_2012_1257,plant_height,35,m,NA,expert_max,NA,Endiandra sideroxylon
Duplicate of Barlow_1981_1504,Wells_2012,Endiandra sankeyana,Mount Baldy montane granite Atherton,Stratum_2_adult_plant,Wells_2012_1309,plant_height,30,m,NA,expert_max,NA,Endiandra sankeyana
Duplicate of Kooyman_2011_0204,Wells_2012,Pullea stutzeri,Mount Fisher Ravenshoe basalt 5A rhyolite,Stratum_2_adult_plant,Wells_2012_1342,plant_height,30,m,NA,expert_max,NA,Pullea stutzeri
Duplicate of Kooyman_2011_1196,Wells_2012,Prunus turneriana,Robson Creek primary CSIRO SNVF 2200mm metamorphic,Stratum_2_adult_plant,Wells_2012_1680,plant_height,30,m,NA,expert_max,NA,Prunus turneriana
Duplicate of Kooyman_2011_0290,Wells_2012,Erythroxylum sp. Brewer LA (B.Hyland 13373),Topaz Basalt Westcott Rd,Stratum_2_adult_plant,Wells_2012_1819,plant_height,25,m,NA,expert_max,NA,Erythroxylum ecarinatum
Duplicate of Kooyman_2011_1596,Wells_2012,Chisocheton longistipitatus,Lit,Stratum_2_adult_plant,Wells_2012_2240,plant_height,40,m,NA,expert_max,NA,Chisocheton longistipitatus
Duplicate of Barlow_1981_1508,Wells_2012,Endiandra wolfei,Lit,Stratum_2_adult_plant,Wells_2012_2311,plant_height,25,m,NA,expert_max,NA,Endiandra wolfei
