Species,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,cotsExp,cotsEH,cotsFR,LEE
Daphnandra repandula,T,22,3,5.5,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,2.4
Darlingia darlingiana,C,38,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.6
Davidsonia pruriens var. pruriens,S,16,2,5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.2
Delarbrea michieana,S,12,2,4.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,1,1,1,1.89
Derris sp. (Claudie River L.J.Webb+ 8348),L,44,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,0,0,0,2.05
Desmos goezeanus,L,39,2,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,0,0,0,1.84
Dichapetalum papuanum,S,3,2,5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,0,0,0,2.56
Diospyros sp. (Millaa Millaa L.W.Jessup 515),S,4,3,3.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,1,1,1,1.9
Diploglottis bracteata,T,23,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,2.04
Doryphora aromatica,C,34,3,6.5,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,1.82
Dysoxylum oppositifolium,T,21,3,5.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivLs,Flying,DivLs,1,0,0,1.7
Dysoxylum papuanum,T,27,3,6,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,1,0,0,1.9
Dysoxylum parasiticum,C,31,2,6,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,1,0,0,2.35
Dysoxylum pettigrewianum,C,40,4,7,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivLs,Flying,DivLs,1,1,0,1.85
Elaeocarpus grandis,C,38,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,2.55
Elaeocarpus largiflorens ssp. largiflorens,C,29,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,0,2.45
Embelia grayi,V,32,2,6,Butterflies,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,1,1,1,1.54
Endiandra cowleyana,C,39,4,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,0,0,0,1.9
Endiandra leptodendron,T,24,4,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,0,0,0,1.5
Endiandra montana,C,31,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CLFor,Flying,AvFor,0,0,0,1.8
Endiandra palmerstonii,C,37,4,7,Beetles,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,0,0,0,1.2
Endiandra sankeyana,C,30,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.4
Endiandra sideroxylon,C,35,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CLFor,Flying,AvFor,0,0,0,1.02
Endiandra wolfei,T,26,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,0,0,0,1.18
Epipremnum pinnatum,V,37,2,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,2
Erythroxylum sp. Brewer LA (B.Hyland 13373),T,24,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.32
Eupomatia barbata,S,1.2,2,4,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,Avian,Flying,AvFor,1,1,1,1.27
Eupomatia laurina,S,18,1,5.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,1,1,1,2.09
Eustrephus latifolius,V,10,2,5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,0,0,0,2.18
Faradaya splendida,L,41,3,7,Bat,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.86
Ficus leptoclada,S,17,1,6,Bees,"Fleshy (berry, pome, pepo, etc.)",Fig,DivAv,Flying,DivAv,1,1,1,2.2
Ficus pleurocarpa,T,40,4,7,Bees,"Fleshy (berry, pome, pepo, etc.)",Fig,DivLs,Flying,DivLs,1,1,1,2.46
Ficus septica,S,17,1,6,Bees,"Fleshy (berry, pome, pepo, etc.)",Fig,DivAv,Flying,DivAv,1,1,1,3.2
Flagellaria indica,V,26,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,1.38
Flindersia bourjotiana,C,38,2,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.86
Flindersia brayleyana,C,42,1,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,2.72
Franciscodendron laurifolium,C,35,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.55
Freycinetia excelsa,V,25,3,6,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,1.9
Freycinetia scandens,V,20,3,6.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,2.2
Galbulimima baccata,C,40,4,7,Flies,"Fleshy (berry, pome, pepo, etc.)",Multi,CLFor,Flying,AvFor,1,1,1,2.34
Glochidion harveyanum var. harveyanum,S,18,1,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,3.1
Glochidion sumatranum,T,24,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.6
Gmelina fasciculiflora,C,34,4,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,2.1
Gossia dallachiana,S,16,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,Avian,Flying,AvFor,1,1,1,1.84
Guioa acutifolia,T,22,2,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,0,0,2.8
Guioa lasioneura,S,17,2,6.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.02
Gymnostachys anceps,H,1,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,0,0,0,1.9
Haplostichanthus rufescens,S,12,3,4.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,0,0,0,1.15
Harpullia frutescens,S,2.5,2,4,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,0,0,0,1.4
Harpullia rhyticarpa,S,14,2,4.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivAv,Flying,DivAv,0,0,0,1.3
Hedycarya loxocarya,T,23,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.36
Helicia nortoniana,S,14,2,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.1
Hibbertia scandens,L,22,2,7,Butterflies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.8
Hippocratea barbata,L,29,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,0,0,0,1.72
Hoya pottsii,V,16,2,6.5,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,3
Hylandia dockrillii,C,30,4,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,0,1,0,2.4
Hymenosporum flavum,T,26,3,6,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,2.2
Hypserpa decumbens,L,41,2,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,1.21
Ichnocarpus frutescens,V,29,1,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,0,0,0,2.18
Irvingbaileya australis,T,23,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,CHr,Nonflying,CHR,1,1,1,2.3
Lantana camara,V,15,1,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,3.4
Levieria acuminata,S,14,2,5.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.8
Linospadix minor,S,2,2,4.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,0,0,0,1.63
Litsea bindoniana,C,30,3,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,2.1
Litsea leefeana,C,36,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.6
Macaranga involucrata var. mallotoides,S,12,1,7,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,3.2
Macaranga tanarius,S,15,1,7,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,4.2
Mackinlaya confusa,S,2.6,3,4,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.26
Maclura cochinchinensis,L,22,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,1,1,1,2.52
Melicope bonwickii,T,27,2,7,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.4
Melicope elleryana,T,26,1,7,Butterflies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.8
Melicope xanthoxyloides,S,16,1,7,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.32
Melodinus australis,L,42,2,7,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,1,1,1,1.43
Melodinus bacellianus,L,37,2,7,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,0,0,0,2
Melodorum topazensis,L,41,3,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,0,0,0,2.03
Motherwellia haplosciadea,V,40,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.6
Mucuna gigantea,L,42,2,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,WL,Wind,W,0,0,0,2.62
Myristica globosa ssp. muelleri,C,38,3,6.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.64
Neisosperma poweri,S,10,3,5,Butterflies,"Fleshy (berry, pome, pepo, etc.)",DrM,CHr,Nonflying,CHR,1,1,1,1.86
Neolitsea dealbata,T,22,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,1.62
Neosepicaea jucunda,L,44,2,7,Moths,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,2.2
Niemeyera prunifera,C,34,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.42
Opisthiolepis heterophylla,C,36,4,6,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,2.09
Oplismenus undulatifolius var. mollis,H,0.4,1,4.5,Wind,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,3.02
Palmeria scandens,L,41,2,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.76
Pandanus monticola,S,7,2,5.5,Flies,"Fleshy (berry, pome, pepo, etc.)",Multi,CHr,Nonflying,CHR,0,0,0,1.68
Pandorea pandorana,L,43,2,7,Moths,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,2.37
Pararistolochia australopithecurus,V,28,2,5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,1,0,1.58
Parsonsia densivestita,V,33,2,6,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,3.22
Pilidiostigma tetramerum,S,5,3,4,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,Avian,Flying,AvFor,0,0,0,2
Pilidiostigma tropicum,T,26,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivLs,Flying,DivLs,0,0,0,1.66
Piper caninum,V,34,2,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.76
Piper hederaceum var. hederaceum,L,41,3,6.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.54
Pittosporum rubiginosum,S,2.8,2,4.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,1,1,1,2.22
Polyalthia michaelii,C,28,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,2.32
Polyosma hirsuta,S,16,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,2.69
Polyscias australiana,S,18,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.37
Polyscias elegans,T,26,1,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,4.18
Polyscias mollis,S,7,1,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,3.56
Pothos longipes,V,22,2,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,1.95
Planchonella myrsinodendron,C,32,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,1.82
Pouteria xerocarpa,T,21,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,1.49
Prunus turneriana,C,30,3,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,0,0,0,2.21
Pseuduvaria villosa,S,5,3,4,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,CHr,Nonflying,CHR,0,0,0,2.7
Psidium cattleyanum,S,10,1,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,1,1,1,2.1
Psidium guajava,S,12,1,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,1,1,1,2.46
Psychotria sp. (Mt Lewis V.K.Moriarty 2445),S,3,3,2.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,1,1,1,1.19
Psychotria sp. (Utchee Creek H.Flecker NQNC5313),S,3,3,3.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,1,1,1,2.26
Pullea stutzeri,C,31,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,2.6
Randia tuberculosa,S,2.5,2,4.5,Moths,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,1,1,1,1.36
Rhaphidophora australasica,V,29,2,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,0,0,0,3.4
Rhodamnia sessiliflora,S,16,1,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivLs,Flying,DivLs,1,1,1,1.78
Rhysotoechia robertsonii,T,20,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,CLFor,Flying,AvFor,0,0,0,1.36
Ripogonum album,V,26,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,2.11
Rockinghamia angustifolia,T,20,2,6,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,1,1,1,2.14
Rourea brachyandra,L,40,2,6.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,2.47
Rubus alceifolius,V,4,1,6,Bees,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,1,1,1,3.07
Sageretia hamosa,L,39,2,6.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.9
