species,fresh_area_mm2,SLA_mm2_mg,latitude (deg),longitude (deg),site
Acacia verniciflua,158.4,5.642663513,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Daviesia mimosoides,375.2,4.403463713,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Daviesia mimosoides,370.4,4.673305364,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Daviesia mimosoides,264,3.150163188,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Daviesia mimosoides,217.6,3.875425274,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Daviesia mimosoides,272.8,4.682693546,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Eucalyptus amplifolia,4065,5.2865194,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Eucalyptus amplifolia,4012.8,5.78150056,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus amplifolia,2561.6,7.226332866,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus amplifolia,2617.6,7.061800681,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus amplifolia,4364,5.809587175,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus dives,732.8,5.814003766,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus dives,1510.4,5.943695659,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus dives,2051.2,4.749546863,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus dives,1412.8,5.6032753810000004,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus dives,1645.6,4.416028792,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus polyanthemos,2128,5.840264217,-34.86505,149.9779139,site_at_ 34.86505 _deg_S_and_ 149.9779139 _deg_E
Eucalyptus polyanthemos,2335.2,6.719596442,-34.8991361,149.1646222,site_at_ 34.8991361 _deg_S_and_ 149.1646222 _deg_E
Pimelea glauca,28,6.327804035,-34.8991361,149.1646222,site_at_ 34.8991361 _deg_S_and_ 149.1646222 _deg_E
Pimelea glauca,31.6,8.093561957,-34.8991361,149.1646222,site_at_ 34.8991361 _deg_S_and_ 149.1646222 _deg_E
Pimelea glauca,26.2,6.670081862,-34.8991361,149.1646222,site_at_ 34.8991361 _deg_S_and_ 149.1646222 _deg_E
Pimelea glauca,31,6.662237587,-34.8991361,149.1646222,site_at_ 34.8991361 _deg_S_and_ 149.1646222 _deg_E
