Species,region,seed mass (mg),GF,site,leaf area (mm2),SLA  mm2/mg-1,LDMC (mg/g-1),height (cm),,
Deyeuxia crassiuscula,Alpine,,graminoid,Tall alpine herbfield2_72,272.449,27.2449,112.5,,,
Dianella tasmanica,Alpine,,Herb,Up Lodge_72,14362.808,5.548399044,326.675248,,,
Dichosciadium ranunculaceum var. ranunculaceum,Alpine,,Herb,On way to Club Lake_72,411.387,13.71288667,180,,,
Diplaspis nivis,Alpine,,Herb,On way to Club Lake_72,113106.9082,21381.26809,165.3125,,,
Drosera arcturi,Alpine,,Herb,Tall alpine herbfield next to snowbank_72,64.073,16.55633075,351.8181818,,,
Empodisma minus,Alpine,,graminoid,On way to Club Lake_72,8.782,3.70535865,169.2857143,,,
Epacris glacialis,Alpine,,Shrub,Spencers Creek_72,5.05,8.859649123,518.1818182,,,
Epacris microphylla s.l.,Alpine,,Shrub,Edge of track Mt Kosciuszko_72,4.1,6.721311475,554.5454545,,,
Epacris paludosa,Alpine,,Shrub,Snowy River Phebalium heath_72,11.5,9.829059829,433.3333333,,,
Epacris petrophila,Alpine,,Shrub,Spencers Creek_72,8.502,18.89333333,642.8571429,,,
Epilobium gunnianum,Alpine,,Herb,Tall alpine herbfield next to snowbank_72,214.9444,53.7361,81.63265306,,,
Epilobium sarmentaceum,Alpine,,Herb,Dainers Gap SAG3 Site_72,114.3,18.17170111,253.6290323,,,
Epilobium tasmanicum,Alpine,,Herb,Club Lake FF_72,12.348,16.24789474,23.03030303,,,
Epilobium tasmanicum,Alpine,0.044705882,,,10.625,,,5,,
Erigeron bellidiodes,Alpine,,Herb,Snowbank below Stillwell_72,168.8788,84.4394,30.76923077,,,
Erigeron bellidoides,Alpine,0.248,,,177.65,,,16,,
Erigeron nitidus,Alpine,,Herb,Tall alpine herbfield10_72,166.4504,10.00302885,291.9298246,,,
Erigeron nitidus,Alpine,0.764210526,,,160.0484,,,16,,
Erigeron paludicola,Alpine,,Herb,Dainers Gap SAG3 Site_72,564,20.23681378,102.0131772,,,
Erigeron setosus,Alpine,,Herb,Snowbank below Stillwell_72,19.8564,7.69627907,286.6666667,,,
Erigeron setosus,Alpine,0.2004,,,27.77777778,,,2,,
Euchiton argentifolius,Alpine,,Herb,Tall alpine herbfield11_72,20.346,25.11790123,405,,,
Euchiton argentifolius,Alpine,0.026052632,,,42.30769231,,,8,,
Euchiton fordianus,Alpine,,Herb,Tall alpine herbfield1_72,100.964,17.90143617,352.5,,,
Euchiton fordianus,Alpine,0.087131904,,,40.113,,,3,,
Euchiton nitidulus,Alpine,,Herb,Club Lake FF_72,22.8084,30.01105263,20,,,
Euphrasia alsa,Alpine,,Herb,,16.3301,7.038836207,773.3333333,,,
Euphrasia collina sub sp diversitcolour,Alpine,0.275,,,62.625,,,30,,
Euphrasia collina subs.glacialis,Alpine,,Herb,Start of Club Lake Creek_72,46.9278,29.89031847,65.41666667,,,
Euphrasia collina var. diversicolor,Alpine,,Herb,Snowbank below Stillwell_72,47.746,9.362039216,283.3333333,,,
Euphrasia collina var. lapidosa,Alpine,,Herb,FMUB1_72,52.517,17.27529605,26.43478261,,,
Ewartia nubigena,Alpine,,Shrub,Edge of track Mt Kosciuszko_72,14.7,19.86486486,411.1111111,,,
Ewartia nubigena,Alpine,45.89333333,,,10.804,,,2,,
Geranium antrorsum,Alpine,,Herb,Charlotte Pass Lodge_72,458.088,14.3556346,25.73387097,,,
Geranium potentilloides var.,Alpine,,Herb,Dainers Gap_72,629.979,12.89091876,261.0576923,,,
Gonocarpus micranthus subsp. micranthus,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,6.581,24.37444444,613.6363636,,,
Gonocarpus montanus,Alpine,,Herb,Snowy River Phebalium heath_72,11.1,18.81355932,256.5217391,,,
Gonocarpus montanus,Alpine,,Herb,Charlotte Pass Chairlift_72,28,11.40271493,303.1550069,,,
Gonocarpus montanus,Alpine,0.703015873,,,27.77777778,,,15,,
Grevillea australis,Alpine,,Shrub,Stillwell Path between chairlift and Charlotte Pass1_72,24.6,5.454545455,406.3063063,,,
Helichrysum scorpioides,Alpine,,Herb,Tall alpine herbfield3_72,110.7231,14.62656539,445.2941176,,,
Helichrysum scorpioides,Alpine,0.2525,,,162.12045,,,10,,
Herpolirion novae-zelandiae,Alpine,,Herb,Charlotte Pass Lodge_72,57.6173,14.66089059,30.46511628,,,
Hovea montana,Alpine,,Shrub,Stillwell Path between chairlift and Charlotte Pass2_72,52.028,5.314402451,540.8839779,,,
Isolepsis aucklandica,Alpine,,graminoid,Betts Creek_72,16.97666667,14.41415094,336.5079365,,,
Isolepsis crassiuscula,Alpine,,graminoid,Betts Creek_72,46.6798,18.59752988,295.2941176,,,
Isolepsis montivaga,Alpine,,graminoid,Charlotte Pass below Mt Stilwell_72,25.115,11.62731481,284.2105263,,,
Juncus antarcticus,Alpine,,graminoid,Charlotte Pass below Mt Stilwell_72,15.74744444,13.12287037,444.4444444,,,
Juncus falcatus,Alpine,,graminoid,Charlotte Pass Café_72,119.8731,14.06961268,314.3911439,,,
Kunzea muelleri,Alpine,,Shrub,Spencers Creek_72,4.487,8.0125,622.2222222,,,
Leptorhynchos squamatus s.l.,Alpine,,Herb,Tall alpine herbfield10_72,80.445,10.76911647,373.5,,,
Leptorynchus squamatus,Alpine,0.114285714,,,45.2984,,,25,,
Leucochrysum albicans subsp. alpinum ,Alpine,,Herb,Feldmark_72,194.1206,21.56895556,132.3529412,,,
Leucopogon montanus,Alpine,,Shrub,Up Heartbreak Hill_72,11.82,8.040816327,525,,,
Linum marginale,Subalpine ,,Herb,Dainers Gap_72,25.9055,18.90912409,240.3508772,,,
Luzula acutifolia subsp. nana,Alpine,,graminoid,Club Lake FF_72,31.6989,15.53867647,27.94520548,,,
Luzula acutifolia subsp. nana,Alpine,,graminoid,Stillwell Basin_72,33.8254,10.00751479,422.5,,,
Luzula acutifolia subsp. nana,Alpine,0.3304,,,39.95261905,,,10,,I took this out of the analyses
Luzula alpestris,Alpine,,graminoid,Tall alpine herbfield9_72,480.911,21.8596,244.4444444,,,
Luzula australasica,Alpine,,graminoid,Start of Club Lake Creek_72,47.365,7.354813665,429.3333333,,,
Luzula australasica subsp dura,Alpine,0.2572,,,192.1875,,,20,,
Luzula modesta,Alpine,,graminoid,Charlotte Pass Lodge_72,355.7511111,19.58262997,25.37243948,,,
Luzula modesta,Alpine,0.427083333,,,465.6153846,,,30,,
Luzula novae-cambriae,Alpine,,graminoid,Stillwell Path chairlift_72,470.0769,14.46835642,326.2048193,,,
Melicytus sp. (Hymenanthera auct.),Alpine,,Shrub,Between Clarke 3 and 2_72,27.7,12.14912281,296.1038961,,,
Microseris lanceolata,Alpine,,Herb,Tall alpine herbfield5_72,930.388,19.79548936,137.7850163,,,
Myosotis australis,Subalpine ,,Herb,Dainers Gap SAG3 Site_72,129.2,21.53333333,215.8273381,,,
Myriophyllum pedunculatum subsp. pedunculatum,Alpine,,Herb,Betts Creek_72,6.398,22.85,147.3684211,,,
Neopaxia australasica,Alpine,,Herb,Club Lake FF_72,47.9489,21.12286344,10.46082949,,,
Neopaxia australasica,Alpine,,Herb,Tall alpine herbfield8_72,46.568,14.5070405,160.5,,,
Neopaxia australasica,Alpine,0.7522,,,41.36,,,3,,
Olearia algida,Alpine,,Shrub,Spencers Creek_72,2.075,9.880952381,350,,,
Olearia phlogopappa  var. subrepanda,Alpine,,Shrub,Stillwell Path between chairlift and Charlotte Pass2_72,15.9,12.04545455,425.8064516,,,
Olearia phlogopappa var. flavescens,Alpine,,Shrub,Snowy River Phebalium heath_72,85.4,9.046610169,412.2270742,,,
Oreobolus distichus,Alpine,,graminoid,Charlotte Pass Lodge_72,26.1134,7.635497076,34.2,,,
Oreobolus pumilio subsp. pumilio,Alpine,,graminoid,Club Lake FF_72,33.6433,9.293729282,37.31958763,,,
Oreomyrrhis ciliata,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,210.061,10.76132172,320,,,
Oreomyrrhis eriopoda,Alpine,,Herb,Tall alpine herbfield11_72,834.2065,9.58858046,240.9972299,,,
Oreomyrrhis eriopoda (pinnae),Alpine,4.5388,,,81,,,30,,
Oreomyrrhis pulvinifica,Alpine,,Herb,Snowbank below Stillwell_72,39.6715,14.8582397,205.3846154,,,
Oreomyrrhis pulvinifica (pinnae),Alpine,1.0404,,,42.08333333,,,10,,
Orites lancifolia,Alpine,,Shrub,Stillwell Path between chairlift and Charlotte Pass1_72,189.7346,4.179176211,485.042735,,,
Oschatzia cuneifolia,Alpine,,Herb,Spencers Creek_72,175.6,,0,,,
Oxylobium ellipticum,Alpine,,Shrub,Stillwell Path between chairlift and Charlotte Pass1_72,44.9,12.93948127,394.3181818,,,
Ozothamnus alpinus,Alpine,,Shrub,Up Heartbreak Hill_72,11.65,6.695402299,470.2702703,,,
Ozothamnus rosmarinifolius,Subalpine,,Shrub,Snowy River Phebalium heath_72,29.8,8.739002933,383.1460674,,,
Ozothamnus secundiflorus,Alpine,,Shrub,Charlotte Pass Lodge_72,88.745,13.59035222,32.00980392,,,
Ozothamnus sp. (aff. hookeri),Alpine,,Shrub,Dainers Gap_72,3.4392,5.732,240,,,
Parantennaria uniceps,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,5.245,74.92428571,152.173913,,,
Pentachondra pumila,Alpine,,Shrub,Spencers Creek_72,7.535,8.970238095,646.1538462,,,
Phebalium ovatifolium,Alpine,,Shrub,Stillwell Path chairlift_72,44.0702,3.585858421,456.8773234,,,
Pimelea alpina,Alpine,,Shrub,Spencers Creek_72,15.388,11.0705036,365.7894737,,,
Pimelea axiflora subsp. alpina,Alpine,,Shrub,Dainers Gap SAG3 Site_72,68.5,19.24157303,289.4308943,,,
Pimelea ligustrina subsp. ciliata,Alpine,,Shrub,Snowy River Phebalium heath_72,231.2,13.31797235,281.8181818,,,
Plantago alpestris,Alpine,,Herb,Spencers Creek_72,127.8,,0,,,
Plantago euryphylla,Alpine,,Herb,Start of Club Lake Creek_72,40614.861,1269.214394,196.3190184,,,
Plantago glacialis,Alpine,,Herb,On way to Club Lake_72,23.109,8.28265233,398.5714286,,,
Plantago glacialis,Alpine,0.24,,,37.36,,,3,,
Plantago muelleri,Alpine,,Herb,,487.3337,8.347613909,180.1851852,,,
Poa costiniana,Alpine,,graminoid,Tall alpine herbfield8_72,131.9108,5.803378795,366.6129032,,,
Poa costiniana,Alpine,0.1975,,,386.2992,,,40,,
Poa fawcettiae,Alpine,,graminoid,Start of Club Lake Creek_72,366.146,61.0243,115.3846154,,,
Poa fawcettiae,Alpine,0.359090909,,,137.7307,,,60,,
Poa hiemata,Alpine,,graminoid,Stillwell Basin_72,30.282,,0,,,
Poa hiemata,Alpine,0.35,,,57.31733333,,,60,,
Poa saxicola,Alpine,,graminoid,Tall alpine herbfield next to Snowy River2_72,347.5628,115.8542667,60,,,
Podocarpus lawrencei,Alpine,,Shrub,Snowy River Phebalium heath_72,10.1,4.570135747,442,,,
Podocarpus lawrencei,Alpine,,Shrub,Charlotte Pass Lodge_72,20.7753,6.995050505,39.6,,,
Podolepis robusta,Alpine,,Herb,Near Snowy river_72,3073.8,13.07721761,163.1045729,,,
Prasophyllum alpestre,Alpine,,Herb,Tall alpine herbfield next to snowbank_72,1181.183,18.74893968,137.5545852,,,
Prasophyllum tadgellianum,Alpine,,Herb,Tall alpine herbfield11_72,984.32,22.89117209,133.126935,,,
Pratia surrepens s.l.,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,20.8636,10.5906599,860.2620087,,,
Pratia surrepens s.l.,Alpine,,Herb,Club Lake Creek_72,43.45244444,14.75743396,31.32387707,,,
Prostanthera cuneata,Alpine,,Shrub,Stillwell Path chairlift_72,16.3,6.70781893,391.9354839,,,
Ranunculus acrophilus,Alpine,,Herb,Feldmark_72,153.8615,51.28716667,35.29411765,,,
Ranunculus acrophilus,Alpine,1.076,,,61.66666667,,,16,,
Ranunculus anemoneus,Alpine,2.5468,,,5378.397213,,,35,,
Ranunculus anenonemous,Alpine,,Herb,Tall alpine herbfield7_72,8070.346,5.882176531,225.4354256,,,
Ranunculus dissectifolius,Alpine,,Herb,Charlotte Pass Lodge_72,845.9502,8.709463605,22.61993479,,,
Ranunculus dissectifolius,Alpine,1.7484,,,312,,,15,,
Ranunculus graniticola,Alpine,,Herb,Tall alpine herbfield next to Snowy River2_72,394.992,23.23481765,111.8421053,,,
Ranunculus gunnianus,Alpine,,Herb,On way to Club Lake_72,811.4869,9.327435632,177.5510204,,,
Ranunculus millanii,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,31.4456,12.52812749,278.8888889,,,
Ranunculus muelleri,Alpine,,Herb,Tall alpine herbfield6_72,316.055,9.295741176,203.5928144,,,
Ranunculus niphophilus,Alpine,,Herb,Start of Club Lake Creek_72,147.5606,10.47271824,230.9836066,,,
Ranunculus niphophilus,Alpine,1.6444,,,145,,,15,,
Rhodanthe anthemoides,Alpine,,Herb,Charlotte Pass Chairlift_72,27.125,13.49502488,261.038961,,,
Richea continentis,Alpine,,Shrub,Spencers Creek_72,97.8,,0,,,
Rytidosperma nivicola,Alpine,,graminoid,Club Lake FF_72,43.9868,10.75471883,32.98387097,,,
Rytidosperma nudiflorum,Alpine,,graminoid,Start of Club Lake Creek_72,136.254,45.41806667,63.82978723,,,
Rytidosperma nudiflorum,Alpine,1.275,,,46.85714286,,,40,,
Rytidosperma pumilum,Alpine,,graminoid,Charlotte Pass below Mt Stilwell_72,35.6148,11.27050633,478.7878788,,,
Scaevola hookeri,Subalpine ,,Herb,Dainers Gap carpark_72,62.3,15.15815085,202.4630542,,,
Schizeilema fragoseum,Alpine,,Herb,Between Clarke 3 and 2_72,234.781,12.52833511,183.5455436,,,
Schoenus calyptratus,Alpine,,graminoid,Charlotte Pass below Mt Stilwell_72,13.0548,15.7286747,296.4285714,,,
Scleranthus biflorus,Alpine,,Herb,Tall alpine herbfield near Club Lake_72,6.1402,12.2804,125,,,
Senecio gunnii,Alpine,,Herb,Tall alpine herbfield3_72,563.237,25.60168182,111.6751269,,,
Senecio pectinatus var. major,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,172.9245,8.68530889,223.7078652,,,
Senecio pinnatifolius var. pleicephalus,Alpine,0.2884,,,97.2,,,45,,
Senecio pinnatifolius var. pleiocephalus,Alpine,,Herb,Tall alpine herbfield next to snowbank_72,194.4204,194.4204,12.34567901,,,
Stackhousia pulvinaris,Alpine,2.6352,,,6.06,,,5,,
Stackhousia pulvinarus,Alpine,,graminoid,Start of Club Lake Creek_72,12.224,5.963073171,512.5,,,
Stellaria pungens,Subalpine ,,Herb,Dainers Gap SAG3 Site_72,10.5,16.40625,220.6896552,,,
Stylidium graminifolium,Subalpine ,,Herb,Dainers Gap SAG3 Site_72,274.125,10.36389414,207.7225131,,,
Stylidium sp. (aff. graminifolium),Alpine,,Herb,Below Clarke 4_72,110.075,10.1827012,1403.896104,,,
Tasmannia xerophila subsp. xerophila,Alpine,,Shrub,Charlotte Pass Lodge_72,503.1498,7.99157878,31.41716567,,,
Trisetum spicatum subsp australiense,Alpine,0.3772,,,463.0588235,,,40,,
Trisetum spicatum subsp. australiense,Alpine,,graminoid,Tall alpine herbfield5_72,537.7843,18.54428621,119.3415638,,,
Uncinia sulcata,Alpine,,graminoid,On way to Club Lake_72,237.72,19.81001667,200,,,
Viola betonicifolia subsp. betonicifolia,Alpine,,Herb,On way to Club Lake_72,177.114,17.17883608,234.3181818,,,
Viola fuscoviolacea,Subalpine ,,Herb,Charlotte Pass Lodge_72,48.753,26.07112299,18.51485149,,,
Viola hederacea,Subalpine ,,Herb,Dainers Gap SAG3 Site_72,214.4,19.05777778,284.0909091,,,
Wahlenbergia ceracea,Alpine,,Herb,Tall alpine herbfield9_72,112.356,19.60837696,301.5789474,,,
Wahlenbergia gloriosa ,Alpine,,Herb,Saw Pitt Creek Waterfall Walk_72,73.5655,15.39027197,247.6683938,,,
Xerochrysum bracteatum,Subalpine ,,Herb,Dainers Gap SAG3 Site_72,564.1111111,10.31281739,239.6786758,,,
