Site,latitude (deg),longitude (deg),species_name,Time,Year,Plant ID,Sex,No. flws,No. frt,% frt set,Male frt,No. lvs (flw),No. lvs (frt),"stem (cm) (at flowering for males, fruiting for females)",pedicel (mg),Flws for mean,Flw mass for mn,mean flw (mg),total flw (mg),"total lf (mg) (at flowering for males, fruiting for females)","total stm (mg) (at flowering for males, fruiting for females)",Frts for mean,Frt mass for mn,mean frt (mg),total frt (mg),# lvs/stm(cm),lf(mg)/stm(mg),# flws/# lvs,# flws/stm(cm),flw(mg)/lf(mg),flw(mg)/stm(mg),reprod tissue,RA(leafbio),Diameter
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,73,male,20,,,0,25,,12,0.0048,5,0.0122,0.00244,0.0536,0.1443,0.117,,,,,2.083333333,1.233333333,0.8,1.666666667,0.371448371,0.458119658,0.0536,0.371448371,5.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,75,male,39,,,1,10,,10.5,0.0217,5,0.0164,0.00328,0.14962,0.0144,0.1426,5,0.0561,0.01122,,0.952380952,0.100981767,3.9,3.714285714,10.39027778,1.049228612,0.14962,10.39027778,6
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,77,male,52,,,1,6,,16,0.0293,5,0.0155,0.0031,0.1905,0.1196,0.2212,5,0.0155,0.0031,,0.375,0.540687161,8.666666667,3.25,1.592809365,0.861211573,0.1905,1.592809365,1.9
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,79,male,61,,,0,8,,14.5,0.0207,5,0.0191,0.00382,0.25372,0.2357,0.1781,,,,,0.551724138,1.323413812,7.625,4.206896552,1.076453118,1.424592925,0.25372,1.076453118,3
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,2,female,78,44,56.41025641,,7,15,23.5,0.0381,5,0.007,0.0014,0.1473,0.457,0.4594,5,0.1081,0.02162,0.3709,0.638297872,0.994775795,11.14285714,3.319148936,0.322319475,0.320635612,0.4566,0.999124726,2.2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,4,female,134,60,44.7761194,,7,8,15.5,0.0464,5,0.0077,0.00154,0.25276,0.1924,0.1704,5,0.0534,0.01068,0.3044,0.516129032,1.129107981,19.14285714,8.64516129,1.313721414,1.483333333,0.46476,2.415592516,8
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,6,female,118,2,1.694915254,,33,26,34,,5,0.0055,0.0011,0.1298,0.2331,0.587,,,,0.0053,0.764705882,0.397103918,3.575757576,3.470588235,0.556842557,0.221124361,0.1329,0.57014157,3.2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,8,female,54,14,25.92592593,,13,13,10.5,0.0112,5,0.0059,0.00118,0.07492,0.1565,0.1021,4,0.0553,0.013825,0.0331,1.238095238,1.53281097,4.153846154,5.142857143,0.478722045,0.733790402,0.0915,0.584664537,10
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,12,female,91,29,31.86813187,,9,11,8.5,0.0113,5,0.0063,0.00126,0.12596,0.2202,0.0648,5,0.0388,0.00776,0.0664,1.294117647,3.398148148,10.11111111,10.70588235,0.572025431,1.94382716,0.15582,0.707629428,0
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,14,female,51,23,45.09803922,,9,13,14,0.0065,5,0.0066,0.00132,0.07382,0.2657,0.1554,5,0.0615,0.0123,0.0882,0.928571429,1.70978121,5.666666667,3.642857143,0.277832142,0.475032175,0.13166,0.495521265,4
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,16,female,18,16,88.88888889,,7,15,6.5,0.0006,5,0.0068,0.00136,0.02508,0.0831,0.075,5,0.0499,0.00998,0.0699,2.307692308,1.108,2.571428571,2.769230769,0.301805054,0.3344,0.07322,0.8811071,1.8
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,18,female,58,41,70.68965517,,12,16,13,0.0133,5,0.0072,0.00144,0.09682,0.1301,0.1377,5,0.0127,0.00254,0.1477,1.230769231,0.944807553,4.833333333,4.461538462,0.744196772,0.703122731,0.18548,1.42567256,10
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,20,female,142,63,44.36619718,,13,16,22.5,0.0404,5,0.0058,0.00116,0.20512,0.2434,0.3385,5,0.0415,0.0083,0.5026,0.711111111,0.719054653,10.92307692,6.311111111,0.84272802,0.605967504,0.63464,2.607395234,8
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,22,female,135,54,40,,18,22,11,0.0179,5,0.0063,0.00126,0.188,0.3202,0.143,5,0.0897,0.01794,0.3676,2,2.239160839,7.5,12.27272727,0.587133042,1.314685315,0.48756,1.522673329,4
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,24,female,116,49,42.24137931,,6,9,16,0.046,5,0.0088,0.00176,0.25016,0.2089,0.1992,5,0.0745,0.0149,0.3861,0.5625,1.048694779,19.33333333,7.25,1.197510771,1.255823293,0.55002,2.632934418,3.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,26,female,128,71,55.46875,,20,28,20.5,0.0583,5,0.0089,0.00178,0.28614,0.3267,0.3015,5,0.0686,0.01372,0.6505,1.365853659,1.08358209,6.4,6.243902439,0.875849403,0.949054726,0.81026,2.48013468,2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,28,female,62,41,66.12903226,,22,23,14,0.0339,5,0.0092,0.00184,0.14798,0.404,0.1685,5,0.0533,0.01066,0.4209,1.642857143,2.397626113,2.818181818,4.428571429,0.366287129,0.878219585,0.49344,1.221386139,2.8
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,30,female,20,11,55,,10,11,6.5,0.0056,5,0.008,0.0016,0.0376,0.3183,0.0737,5,0.0762,0.01524,0.079,1.692307692,4.318860244,2,3.076923077,0.118127553,0.510176391,0.099,0.311027333,7
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,34,female,169,128,75.73964497,,41,48,20.5,0.0442,5,0.0067,0.00134,0.27066,0.6569,0.2843,5,0.0462,0.00924,0.9101,2.341463415,2.310587408,4.12195122,8.243902439,0.412026184,0.952022511,1.00924,1.536367788,3.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,36,female,13,13,100,,7,9,5,0.0029,5,0.0079,0.00158,0.02344,0.1226,0.0354,3,0.0356,0.011866667,0.0872,1.8,3.463276836,1.857142857,2.6,0.191190865,0.662146893,0.0901,0.734910277,5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,38,female,18,2,11.11111111,,22,9,15,,6,0.0091,0.001516667,0.0273,0.0729,0.1839,5,0.0566,0.01132,0.0105,0.6,0.396411093,0.818181818,1.2,0.374485597,0.148450245,0.034766667,0.476909008,2.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,40,female,29,1,3.448275862,,16,16,14,0.0037,4,0.0045,0.001125,0.036325,0.1212,0.1322,,,,0.0042,1.142857143,0.916792738,1.8125,2.071428571,0.299711221,0.274773071,0.0394,0.325082508,1
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,42,female,63,34,53.96825397,,7,8,6.5,0.0144,5,0.0085,0.0017,0.1215,0.179,0.0542,5,0.05,0.01,0.2596,1.230769231,3.302583026,9,9.692307692,0.67877095,2.241697417,0.3233,1.806145251,2.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,44,female,41,0,0,,15,18,21.5,0.0051,5,0.0083,0.00166,0.07316,0.5646,0.33,,,,,0.837209302,1.710909091,2.733333333,1.906976744,0.129578463,0.22169697,0.07316,0.129578463,6.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,46,female,58,0,0,,10,0,8,,5,0.0082,0.00164,0.09512,,0.0857,,,,,0,0,5.8,7.25,,1.10991832,0.09512,#DIV/0!,2.9
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,48,female,15,0,0,,7,6,4.5,0.0003,5,0.0083,0.00166,0.0252,0.1397,0.0416,,,,,1.333333333,3.358173077,2.142857143,3.333333333,0.180386543,0.605769231,0.0252,0.180386543,2.4
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,50,female,99,12,12.12121212,,17,17,15,0.0401,5,0.0116,0.00232,0.26978,0.262,0.182,3,0.0187,0.006233333,0.0509,1.133333333,1.43956044,5.823529412,6.6,1.029694656,1.482307692,0.29284,1.117709924,4
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,52,female,25,0,0,,18,22,17.5,0.0064,5,0.0083,0.00166,0.0479,0.2961,0.1444,,,,,1.257142857,2.050554017,1.388888889,1.428571429,0.161769672,0.331717452,0.0479,0.161769672,3.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,54,female,43,0,0,,20,23,19,0.0049,5,0.0072,0.00144,0.06682,0.1329,0.1521,,,,,1.210526316,0.873767258,2.15,2.263157895,0.502784048,0.439316239,0.06682,0.502784048,4.2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,56,female,39,6,15.38461538,,15,22,12,0.0088,5,0.0073,0.00146,0.06574,0.4394,0.137,,,,0.021,1.833333333,3.20729927,2.6,3.25,0.149613109,0.479854015,0.07798,0.177469276,2.6
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,58,female,33,0,0,,9,11,10,0.0177,5,0.0098,0.00196,0.08238,0.3079,0.1229,,,,,1.1,2.505288853,3.666666667,3.3,0.267554401,0.670301058,0.08238,0.267554401,5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,60,female,77,61,79.22077922,,21,24,20.5,0.0161,5,0.0069,0.00138,0.12236,0.3229,0.2667,5,0.03,0.006,0.2716,1.170731707,1.21072366,3.666666667,3.756097561,0.378940849,0.458792651,0.30978,0.959368225,3
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,62,female,32,9,28.125,,13,18,8.5,0.0048,5,0.0081,0.00162,0.05664,0.2418,0.0632,,,,0.0298,2.117647059,3.825949367,2.461538462,3.764705882,0.234243176,0.896202532,0.07186,0.297187758,3.2
