Site,latitude (deg),longitude (deg),species_name,Time,Year,Plant ID,Sex,No. flws,No. frt,% frt set,Male frt,No. lvs (flw),No. lvs (frt),"stem (cm) (at flowering for males, fruiting for females)",pedicel (mg),Flws for mean,Flw mass for mn,mean flw (mg),total flw (mg),"total lf (mg) (at flowering for males, fruiting for females)","total stm (mg) (at flowering for males, fruiting for females)",Frts for mean,Frt mass for mn,mean frt (mg),total frt (mg),# lvs/stm(cm),lf(mg)/stm(mg),# flws/# lvs,# flws/stm(cm),flw(mg)/lf(mg),flw(mg)/stm(mg),reprod tissue,RA(leaf bio),Diameter,male stm(cm) frt,male stm(mg) frt,male lf(mg) frt,male ped(mg) frt
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,87,male,73,21,,1,26,27,13,18,5,11.8,2.36,190.28,73.6,155.5,5,0.0428,0.00856,0.1254,2,0.473311897,2.807692308,5.615384615,2.585326087,1.223665595,190.28,2.585326087,2.5,10.5,0.1149,0.1123,0.0101
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,89,male,105,32,,1,10,36,7,29.9,5,12,2.4,281.9,79.6,78.1,5,0.0525,0.0105,0.2312,1.428571429,1.019206146,10.5,15,3.541457286,3.609475032,281.9,3.541457286,5,10,0.1328,0.1634,0.0325
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,91,male,94,,,1,19,,13,18.7,5,10.2,2.04,210.46,68.4,160.2,,,,,1.461538462,0.426966292,4.947368421,7.230769231,3.076900585,1.313732834,210.46,3.076900585,14,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,93,male,146,14,,0,29,18,8.5,27.8,5,11.6,2.32,366.52,56,104.8,5,0.0484,0.00968,0.1016,3.411764706,0.534351145,5.034482759,17.17647059,6.545,3.497328244,366.52,6.545,1.2,5.5,0.0434,0.0779,0.0031
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,95,male,77,12,,1,16,9,9.5,8.9,5,10.6,2.12,172.14,161.5,89.9,5,0.062,0.0124,0.1272,1.684210526,1.796440489,4.8125,8.105263158,1.065882353,1.914794216,172.14,1.065882353,10,6.5,0.0605,0.1253,0.0068
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,97,male,116,27,,1,18,22,8.5,13.4,5,12.5,2.5,303.4,23.7,109,5,0.0463,0.00926,0.1907,2.117647059,0.217431193,6.444444444,13.64705882,12.80168776,2.783486239,303.4,12.80168776,3.1,9,0.0835,0.0601,0.0208
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,99,male,61,,,0,21,,18.5,15.5,5,13.2,2.64,176.54,136.7,272,,,,,1.135135135,0.502573529,2.904761905,3.297297297,1.291441112,0.649044118,176.54,1.291441112,2.8,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,101,male,79,,,1,16,,14,19.4,5,13.3,2.66,229.54,67.9,185.4,,,,,1.142857143,0.366235167,4.9375,5.642857143,3.380559647,1.238079827,229.54,3.380559647,11.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,103,male,101,,,1,14,,14,34.3,5,12.6,2.52,288.82,43,186.9,,,,,1,0.230069556,7.214285714,7.214285714,6.716744186,1.545318352,288.82,6.716744186,17.4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,105,male,70,,,1,9,,8,11.3,5,15,3,221.3,58.2,63.1,,,,,1.125,0.922345483,7.777777778,8.75,3.802405498,3.507131537,221.3,3.802405498,20,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,107,male,77,,,0,6,,6.5,12.6,5,9.3,1.86,155.82,39.3,57.3,,,,,0.923076923,0.685863874,12.83333333,11.84615385,3.964885496,2.719371728,155.82,3.964885496,24,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,109,male,28,,,1,14,,6,4.1,5,18.1,3.62,105.46,57,56,,,,,2.333333333,1.017857143,2,4.666666667,1.850175439,1.883214286,105.46,1.850175439,2.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,2,female,85,66,77.64705882,,33,37,15.5,16.7,5,6.2,1.24,122.1,423.7,238.7,5,45.6,9.12,410.8,2.387096774,1.77503142,2.575757576,5.483870968,0.288175596,0.511520737,451.06,1.064573991,12,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,4,female,144,57,39.58333333,,18,24,17,32.8,5,6.8,1.36,228.64,126.2,256.8,3,18.4,6.133333333,228,1.411764706,0.491433022,8,8.470588235,1.811727417,0.890342679,379.12,3.004120444,5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,6,female,63,28,44.44444444,,28,20,32.5,5.9,5,7.4,1.48,99.14,610.7,580.4,3,18,6,111,0.615384615,1.052205376,2.25,1.938461538,0.1623383,0.170813232,168.7,0.27624038,2,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,8,female,230,157,68.26086957,,37,38,27,50.1,5,5.5,1.1,303.1,207.8,415.8,5,61.4,12.28,1123,1.407407407,0.4997595,6.216216216,8.518518519,1.458614052,0.728956229,1253.4,6.031761309,8,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,10,female,250,69,27.6,,57,60,30.5,22.2,5,6.6,1.32,352.2,462.7,529.3,5,31.5,6.3,314.4,1.967213115,0.874173437,4.385964912,8.196721311,0.761184353,0.665407142,575.52,1.243829695,4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,12,female,59,28,47.45762712,,25,26,20,2.7,5,5.9,1.18,72.32,466.8,406.1,5,33.9,6.78,100.6,1.3,1.149470574,2.36,2.95,0.154927164,0.178084216,139.88,0.299657241,2.8,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,14,female,82,34,41.46341463,,20,19,11,3.7,5,6,1.2,102.1,122,204.8,5,28,5.6,132.8,1.727272727,0.595703125,4.1,7.454545455,0.836885246,0.498535156,194.1,1.590983607,3.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,16,female,45,4,8.888888889,,11,8,11.5,4.8,5,6.3,1.26,61.5,141.3,164.1,4,33.1,8.275,24,0.695652174,0.861060329,4.090909091,3.913043478,0.435244161,0.374771481,80.46,0.569426752,4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,18,female,40,33,82.5,,11,11,16.5,8.7,6,10.5,1.75,78.7,251.4,240.1,5,47.9,9.58,220.3,0.666666667,1.047063723,3.636363636,2.424242424,0.313046937,0.327780092,241.25,0.959626094,1.8,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,20,female,118,48,40.6779661,,33,28,23,30.3,4,5.3,1.325,186.65,148.3,324.8,4,30.8,7.7,266,1.217391304,0.45658867,3.575757576,5.130434783,1.258597438,0.57466133,389.05,2.623398517,4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,22,female,188,118,62.76595745,,41,43,14,19.1,5,6.2,1.24,252.22,262.6,207.1,5,46.8,9.36,699.3,3.071428571,1.26798648,4.585365854,13.42857143,0.960472201,1.217865765,805.2,3.066260472,15.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,24,female,63,37,58.73015873,,21,23,11,3.2,5,6.1,1.22,80.06,172.8,147.8,5,32,6.4,153.6,2.090909091,1.169147497,3,5.727272727,0.463310185,0.541677943,188.52,1.090972222,2,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,26,female,91,13,14.28571429,,24,25,14.5,17.3,5,5.9,1.18,124.68,425.9,231.6,5,37.8,7.56,88.3,1.724137931,1.838946459,3.791666667,6.275862069,0.292744776,0.538341969,197.64,0.464052595,4.1,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,28,female,43,15,34.88372093,,13,14,12,8,5,5.9,1.18,58.74,203.3,134.8,4,35.1,8.775,54.8,1.166666667,1.508160237,3.307692308,3.583333333,0.288932612,0.435756677,95.84,0.471421545,4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,30,female,86,52,60.46511628,,19,19,19.5,13.5,5,7.7,1.54,145.94,209.6,289.6,5,48,9.6,410.2,0.974358974,0.723756906,4.526315789,4.41025641,0.696278626,0.503936464,476.06,2.271278626,4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,32,female,71,13,18.30985915,,17,27,17.5,4.7,5,5.8,1.16,87.06,189.6,216.6,3,20,6.666666667,57.8,1.542857143,0.87534626,4.176470588,4.057142857,0.459177215,0.401939058,129.78,0.684493671,3.7,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,34,female,77,62,80.51948052,,14,14,16.5,22.8,5,6.9,1.38,129.06,205.2,283.8,5,57.5,11.5,474.3,0.848484848,0.723044397,5.5,4.666666667,0.628947368,0.454756871,517.8,2.523391813,2.9,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,36,female,82,83,101.2195122,,51,46,25,5.3,5,7.1,1.42,121.74,313.1,370.1,5,58.5,11.7,646,1.84,0.845987571,1.607843137,3.28,0.388821463,0.328938125,649.88,2.075630789,14.7,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,38,female,107,57,53.27102804,,15,15,14,18,5,6.6,1.32,159.24,102.3,206,5,43.4,8.68,375.9,1.071428571,0.496601942,7.133333333,7.642857143,1.55659824,0.773009709,459.9,4.495601173,6,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,40,female,109,71,65.13761468,,20,18,12,27.4,5,8.1,1.62,203.98,118.5,158.4,5,78.2,15.64,649.4,1.5,0.748106061,5.45,9.083333333,1.721350211,1.287752525,738.36,6.230886076,14.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,42,female,185,69,37.2972973,,32,36,17.5,32.2,5,5.9,1.18,250.5,136.7,276.8,5,30.6,6.12,250.8,2.057142857,0.493858382,5.78125,10.57142857,1.832479883,0.904985549,419.88,3.071543526,17.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,44,female,157,30,19.10828025,,39,44,16,20.7,5,6.8,1.36,234.22,230.2,252.6,4,60.3,15.075,204.3,2.75,0.911322249,4.025641026,9.8125,1.017463076,0.927236738,397.72,1.72771503,5.2,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,46,female,163,64,39.26380368,,18,19,13.5,19.2,5,5.8,1.16,208.28,106.6,210.7,5,63.9,12.78,460.8,1.407407407,0.505932606,9.055555556,12.07407407,1.953846154,0.988514476,594.84,5.58011257,3.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,48,female,117,59,50.42735043,,28,20,17.5,14.2,5,5.5,1.1,142.9,97.5,236.8,5,54.8,10.96,512.7,1.142857143,0.411739865,4.178571429,6.685714286,1.465641026,0.603462838,590.7,6.058461538,7.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,50,female,164,54,32.92682927,,23,25,11.5,12.4,5,6.3,1.26,219.04,171.8,189.2,4,46.3,11.575,339.4,2.173913043,0.908033827,7.130434783,14.26086957,1.274970896,1.157716702,490.4,2.854481956,11,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,52,female,124,31,25,,43,35,10.5,11.4,5,6.9,1.38,182.52,122.7,175.1,5,57.9,11.58,275.2,3.333333333,0.700742433,2.88372093,11.80952381,1.487530562,1.042375785,414.94,3.381744091,13.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,54,female,71,25,35.21126761,,25,16,18,3.9,5,5.6,1.12,83.42,128.2,282.4,3,16.3,5.433333333,103.8,0.888888889,0.453966006,2.84,3.944444444,0.650702028,0.295396601,159.22,1.241965679,13,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,56,female,71,58,81.69014085,,46,39,16,12.7,5,6.4,1.28,103.58,224.4,307.3,5,52,10.4,530.4,2.4375,0.730231045,1.543478261,4.4375,0.461586453,0.337064758,559.74,2.494385027,12.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,58,female,120,49,40.83333333,,16,19,7.5,12.5,5,6.9,1.38,178.1,70,122.4,5,54.7,10.94,347.4,2.533333333,0.571895425,7.5,16,2.544285714,1.455065359,457.88,6.541142857,11,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,60,female,59,30,50.84745763,,26,30,12,7,5,6.8,1.36,87.24,202.6,182.9,5,41.8,8.36,211.8,2.5,1.107709131,2.269230769,4.916666667,0.430602172,0.476981957,258.24,1.274629812,12.2,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,62,female,91,46,50.54945055,,40,43,18.5,2.5,5,6.3,1.26,117.16,314.1,331.1,5,51.9,10.38,286.7,2.324324324,0.948655995,2.275,4.918918919,0.373002229,0.3538508,345.9,1.101241643,6.1,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,64,female,91,52,57.14285714,,44,51,18.5,1,5,5.6,1.12,102.92,394.8,295.6,5,45.6,9.12,276.9,2.756756757,1.335588633,2.068181818,4.918918919,0.260688956,0.348173207,321.58,0.814539007,7.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,66,female,89,40,44.94382022,,47,35,16,2.7,5,7.4,1.48,134.42,279.5,296.2,5,60.5,12.1,368,2.1875,0.943619176,1.893617021,5.5625,0.480930233,0.45381499,443.22,1.585760286,5.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,68,female,99,30,30.3030303,,37,30,14.5,13.2,5,7.3,1.46,157.74,183,263.1,5,73.2,14.64,429,2.068965517,0.695553022,2.675675676,6.827586207,0.861967213,0.5995439,542.94,2.966885246,11,,,,
