species_name,individual,fresh_mass_g,leaf_area_mm2,dry_mass_mg,leaflet_area_mm2,sla_mm2_mg,ldmc,replicates,stem_dry_mass_mg,stem_volume_mm3,wood_density_mg_mm3,root_dry_mass_g,root_dry_mass_mg,root_length_m,root_volume_mm3,srl_m_g,rtd_mg_mm3,site_name
ALEX,3,0.17475,1269.55,57.45,1269.55,22.29850842,328.4079545,2,56.6,110,0.514545455,0.0249,24.9,1.178991,158,47.34903614,0.157594937,Oxley Creek Common
ALEX,4,0.273766667,1502.8,99.46666667,1502.8,14.78311761,364.5146029,3,61.4,110,0.558181818,0.0214,21.4,1.012095,147,47.29415888,0.145578231,Oxley Creek Common
ALEX,5,0.1752,1325.9,59.75,1325.9,22.37749751,340.4890329,2,75.7,130,0.582307692,0.0393,39.3,1.489604,205,37.90340967,0.191707317,Oxley Creek Common
ARTR,1,0.5432,2823.55,176.7,1189.9,16.04644461,325.0242634,2,49.3,130,0.379230769,0.0392,39.2,3.479797,277,88.77033163,0.141516245,Oxley Creek Common
ARTR,2,0.724,3193.05,292.9,1511.55,10.88530272,404.6051493,2,142.1,240,0.592083333,0.0288,28.8,2.252841,137,78.22364583,0.210218978,Oxley Creek Common
ARTR,3,0.62655,3198.65,193.1,1764.75,16.51008434,308.7034626,2,100.3,240,0.417916667,0.0459,45.9,3.4444,254,75.04139434,0.180708661,Oxley Creek Common
ARTR,4,0.475566667,2072.766667,156.3666667,781.1,13.21834025,327.8560544,3,,,,0.0211,21.1,1.83673,127,87.04881517,0.166141732,Oxley Creek Common
ARTR,5,0.486,2201.1,162.1,839.2,13.5571835,333.9561346,2,93,190,0.489473684,0.0429,42.9,2.985478,217,69.59156177,0.197695853,Oxley Creek Common
CRTR,1,0.1745,746.1666667,70,746.1666667,10.68903262,400.8729898,3,231.3,390,0.593076923,0.0363,36.3,1.531185,255,42.18140496,0.142352941,Oxley Creek Common
CRTR,2,0.287,1145.9,120.4,1145.9,9.513082608,419.4350481,3,677.7,1020,0.664411765,0.0491,49.1,1.465446,250,29.84615071,0.1964,Oxley Creek Common
CRTR,3,0.168133333,673.7333333,70.46666667,673.7333333,9.593785848,420.263924,3,881.3,1360,0.648014706,0.0457,45.7,1.384566,296,30.29684902,0.154391892,Oxley Creek Common
CRTR,4,0.152966667,732.2666667,62.13333333,732.2666667,11.82113879,406.3509501,3,592.1,1010,0.586237624,0.0435,43.5,1.648763,294,37.9025977,0.147959184,Oxley Creek Common
CRTR,5,0.232633333,989.7333333,95.1,989.7333333,10.38133988,409.7440626,3,574.2,870,0.66,0.0442,44.2,1.443034,253,32.64782805,0.174703557,Oxley Creek Common
CUAN,1,0.9562,3836,396.9333333,1139.833333,9.632559694,413.7191247,3,427.7,750,0.570266667,0.0493,49.3,1.930494,222,39.15809331,0.222072072,Oxley Creek Common
CUAN,2,1.02355,4017.6,444.25,1256.7,9.107058075,429.0647418,2,586,970,0.604123711,0.0661,66.1,1.886623,264,28.54195159,0.250378788,Oxley Creek Common
CUAN,3,0.7857,3518.05,318.95,1272.8,10.92952748,404.3071213,2,239.4,530,0.451698113,0.0634,63.4,2.41379,258,38.07239748,0.245736434,Oxley Creek Common
CUAN,4,1.256033333,5060.566667,508.6666667,1295.866667,10.01131893,406.3731763,3,652.5,1100,0.593181818,0.0349,34.9,1.206051,115,34.55733524,0.303478261,Oxley Creek Common
CUAN,5,0.8489,3700.566667,347.2,1069.4,10.76718906,408.1849697,3,231.7,380,0.609736842,0.0332,33.2,1.389114,121,41.84078313,0.274380165,Oxley Creek Common
DIFA,1,0.5778,1794,291.2,1794,6.324885498,501.5874265,3,1859.4,2350,0.791234043,0.0581,58.1,1.679122,238,28.90055077,0.244117647,Oxley Creek Common
DIFA,2,0.340933333,1173.733333,184.2666667,1173.733333,6.386846539,540.2749726,3,1059.2,1330,0.796390977,0.0674,67.4,1.984431,201,29.44259644,0.335323383,Oxley Creek Common
DIFA,3,0.3867,1258.566667,191,1258.566667,6.615462342,493.9182436,3,1325.9,1710,0.775380117,0.0558,55.8,2.007565,172,35.97786738,0.324418605,Oxley Creek Common
DIFA,4,0.414466667,1340.4,213.7,1340.4,6.270332788,515.4157538,3,1511.7,1890,0.79984127,0.0546,54.6,1.837434,194,33.65263736,0.281443299,Oxley Creek Common
DIFA,5,0.610533333,1649.333333,297.9333333,1649.333333,5.524791108,487.3431037,3,1557.5,2020,0.771039604,0.0794,79.4,2.734545,275,34.44011335,0.288727273,Oxley Creek Common
DRDE,1,0.2531,1044.1,95.83333333,1044.1,10.93391512,378.5481075,3,134.1,250,0.5364,0.0168,16.8,1.252352,107,74.5447619,0.157009346,Oxley Creek Common
DRDE,2,0.287966667,1109.6,92.13333333,1109.6,12.01883202,339.1132239,3,84.2,150,0.561333333,0.0162,16.2,1.412591,93,87.19697531,0.174193548,Oxley Creek Common
DRDE,3,0.209033333,842.7333333,79.4,842.7333333,10.42840196,393.9690153,3,109.7,200,0.5485,0.0166,16.6,1.160891,92,69.93319277,0.180434783,Oxley Creek Common
DRDE,4,0.295433333,1165.766667,115,1165.766667,10.14358308,391.8347574,3,188.2,330,0.57030303,0.0169,16.9,1.006998,86,59.58568047,0.196511628,Oxley Creek Common
DRDE,5,0.231166667,1007.366667,82.5,1007.366667,12.19247147,362.1386094,3,113,180,0.627777778,0.0221,22.1,1.567604,120,70.93230769,0.184166667,Oxley Creek Common
FICO,1,0.202433333,1506.2,35.96666667,1506.2,42.45082686,177.8255125,3,15.3,70,0.218571429,0.0128,12.8,2.340857,101,182.8794531,0.126732673,Oxley Creek Common
FICO,2,0.245433333,1552.233333,47.76666667,1552.233333,32.69746798,194.2414941,3,45.4,150,0.302666667,0.0142,14.2,2.089631,83,147.1571127,0.171084337,Oxley Creek Common
FICO,3,0.214366667,1442.866667,41.06666667,1442.866667,35.24557941,195.9754945,3,37.2,110,0.338181818,0.0129,12.9,2.243633,81,173.9250388,0.159259259,Oxley Creek Common
FICO,4,0.270333333,1405.133333,52.76666667,1405.133333,27.90635903,194.0257219,3,32.8,110,0.298181818,0.0114,11.4,2.00891,75,176.2201754,0.152,Oxley Creek Common
FICO,5,0.2151,1565.2,38.56666667,1565.2,40.59294336,177.8036638,3,33.1,120,0.275833333,0.0108,10.8,2.16472,72,200.437037,0.15,Oxley Creek Common
FIOB,1,0.721133333,1706.266667,198.4666667,1706.266667,8.742328173,274.2042224,3,228.3,440,0.518863636,0.0242,24.2,1.777906,137,73.46719008,0.176642336,Oxley Creek Common
FIOB,2,0.540133333,1676.2,122.7666667,1676.2,14.13016538,222.7978005,3,85.9,210,0.409047619,0.0288,28.8,2.202873,153,76.48864583,0.188235294,Oxley Creek Common
FIOB,3,0.485166667,1470.433333,136.9666667,1470.433333,10.74630137,283.1357731,3,307.9,670,0.459552239,0.0192,19.2,2.037775,84,106.1341146,0.228571429,Oxley Creek Common
FIVI,1,0.352533333,2596.8,80.4,2596.8,32.46807695,227.8428419,3,120.5,300,0.401666667,0.0092,9.2,1.595062,64,173.3763043,0.14375,Oxley Creek Common
FIVI,2,0.255833333,1809.133333,49.1,1809.133333,36.95705457,192.154607,3,99.2,260,0.381538462,0.0083,8.3,1.435052,58,172.8978313,0.143103448,Oxley Creek Common
FIVI,3,0.384766667,2469.1,65.86666667,2469.1,41.96689901,175.4098201,3,92.7,320,0.2896875,0.0068,6.8,1.859659,58,273.4792647,0.117241379,Oxley Creek Common
FIVI,4,0.171366667,1041.766667,36.46666667,1041.766667,28.5765919,212.4708749,3,78.3,200,0.3915,0.0153,15.3,1.945062,121,127.1282353,0.126446281,Oxley Creek Common
FIVI,5,0.349633333,2128.433333,88.93333333,2128.433333,23.86653297,256.4117445,3,217.8,570,0.382105263,0.0113,11.3,1.90161,69,168.2840708,0.163768116,Oxley Creek Common
FLAU,1,0.87475,3144.45,318.1,720.15,10.05389398,362.1251185,2,883,1280,0.68984375,0.0687,68.7,1.586975,325,23.10007278,0.211384615,Oxley Creek Common
FLAU,2,1.1219,3669.1,402.8,1214.3,8.939294181,352.2089943,2,394.6,550,0.717454545,0.0522,52.2,1.332554,276,25.52785441,0.189130435,Oxley Creek Common
FLAU,3,1.0519,3238.666667,341.4333333,1262.066667,9.519260963,324.1680287,3,715.1,970,0.737216495,0.0411,41.1,1.153607,193,28.06829684,0.212953368,Oxley Creek Common
FLAU,4,1.0581,3296.35,360.6,652.15,9.34637397,339.771374,2,332,480,0.691666667,0.0278,27.8,1.170469,153,42.10320144,0.181699346,Oxley Creek Common
FLAU,5,0.931866667,3671.5,331.8666667,1129.1,11.09717548,356.3872996,3,308.5,410,0.752439024,0.0461,46.1,1.411167,231,30.61099783,0.1995671,Oxley Creek Common
GLFE,1,0.702366667,3961.166667,188.2333333,3961.166667,20.99379631,267.7765519,3,444.8,730,0.609315068,0.0158,15.8,1.506921,114,95.37474684,0.138596491,Oxley Creek Common
GLFE,2,0.633266667,3425.766667,164.2,3425.766667,21.053047,258.165821,3,543.3,830,0.654578313,0.0319,31.9,2.271039,223,71.19244514,0.143049327,Oxley Creek Common
GLFE,3,0.935366667,4646.1,246.2,4646.1,18.83669159,266.4021853,3,351.1,580,0.605344828,0.0225,22.5,1.736686,143,77.18604444,0.157342657,Oxley Creek Common
GLFE,4,0.701866667,3803.866667,191.9333333,3803.866667,19.8334907,273.4674125,3,533.7,950,0.561789474,0.015,15,1.670548,122,111.3698667,0.12295082,Oxley Creek Common
GLFE,5,0.798833333,3922.266667,206.9,3922.266667,19.56746589,258.3012354,3,419.7,750,0.5596,0.0228,22.8,2.418737,158,106.0849561,0.144303797,Oxley Creek Common
GUSE,1,0.15765,739.1,61.55,187.9,12.06471958,390.2813013,2,34.6,40,0.865,0.0158,15.8,1.259397,86,79.70867089,0.18372093,Oxley Creek Common
GUSE,2,0.2092,960.3,75.45,198,12.80803495,357.9167966,2,30.9,40,0.7725,0.0184,18.4,1.375644,110,74.76326087,0.167272727,Oxley Creek Common
GUSE,3,0.37395,1390.45,143.7,379.85,10.0414152,377.4028385,2,58.88,80,0.736,0.0321,32.1,1.539435,169,47.95747664,0.189940828,Oxley Creek Common
GUSE,4,0.2933,1140.15,119.75,244.35,9.521463768,408.4484321,2,63.9,80,0.79875,0.0374,37.4,2.272765,191,60.76911765,0.195811518,Oxley Creek Common
GUSE,5,0.4406,1642.85,138,338.9,12.37562487,317.8149226,2,61.6,90,0.684444444,0.0465,46.5,2.477433,220,53.27812903,0.211363636,Oxley Creek Common
JAPS,1,0.4417,3189.3,139.8666667,535.7,22.83423262,318.4814358,3,187.8,260,0.722307692,0.0173,17.3,1.790954,91,103.5233526,0.19010989,Oxley Creek Common
JAPS,2,0.457133333,3349.233333,139.6333333,467.9333333,24.26103239,308.1296039,3,406.6,550,0.739272727,0.0176,17.6,2.668471,82,151.6176705,0.214634146,Oxley Creek Common
JAPS,3,0.468533333,3557,131.7,585.2,28.89075908,278.2127699,3,181,260,0.696153846,0.0114,11.4,1.837219,65,161.1595614,0.175384615,Oxley Creek Common
JAPS,4,0.4173,3419.166667,130.3,434.0333333,26.10631203,309.7633417,3,338.8,500,0.6776,0.0128,12.8,1.470726,72,114.9004688,0.177777778,Oxley Creek Common
JAPS,5,0.447133333,3022.5,141.2,702.6,21.42622635,316.4778798,3,417.8,640,0.6528125,0.0337,33.7,3.560608,139,105.6560237,0.242446043,Oxley Creek Common
MEBR,1,0.008233333,52.01933333,2.866666667,52.01933333,18.17658833,348.0997337,3,,,,,,,,,,Oxley Creek Common
MEBR,2,0.011533333,70.43733333,3.4,70.43733333,20.70991334,295.1835844,3,63.3,130,0.486923077,0.0248,24.8,8.708578,179,351.1523387,0.138547486,Oxley Creek Common
MEBR,3,0.007933333,52.6,2.4,52.6,22.03544533,302.2727273,3,69.2,130,0.532307692,0.0089,8.9,2.446133,73,274.8464045,0.121917808,Oxley Creek Common
MEBR,4,0.0071,40.12933333,2.633333333,40.12933333,15.25014551,370.8246708,3,391.5,720,0.54375,0.0232,23.2,3.789945,145,163.3596983,0.16,Oxley Creek Common
MEBR,5,0.007866667,35.06833333,2.166666667,35.06833333,16.22902001,275.7304424,3,167.1,330,0.506363636,0.0122,12.2,3.19693,95,262.0434426,0.128421053,Oxley Creek Common
NOLO,1,0.703666667,2808.2,305.1666667,2808.2,9.212417256,432.9134707,3,235.5,450,0.523333333,0.043,43,2.1666,277,50.38604651,0.155234657,Oxley Creek Common
NOLO,2,0.575233333,2068.333333,217.5333333,2068.333333,9.539086382,377.4206369,3,257.6,490,0.525714286,0.0333,33.3,1.809677,257,54.34465465,0.129571984,Oxley Creek Common
NOLO,3,0.57485,2363.5,221.05,2363.5,10.69245814,384.7177437,2,120.7,200,0.6035,0.0243,24.3,1.583221,171,65.15312757,0.142105263,Oxley Creek Common
NOLO,4,0.65945,2752.25,210.45,2752.25,13.0800085,319.5270862,2,119.5,260,0.459615385,0.0254,25.4,1.280968,204,50.43181102,0.124509804,Oxley Creek Common
NOLO,5,0.766133333,2939.266667,329.7333333,2939.266667,8.984361818,428.0398976,3,89,170,0.523529412,0.0421,42.1,1.571675,307,37.33194774,0.13713355,Oxley Creek Common
STBR,1,0.1202,800.8666667,26.83333333,800.8666667,30.73814071,225.910539,3,60.3,130,0.463846154,0.0182,18.2,2.614893,109,143.6754396,0.166972477,Oxley Creek Common
STBR,2,0.1741,1038.3,39.26666667,1038.3,28.34341964,224.4034535,3,76.7,140,0.547857143,0.018,18,2.652775,105,147.3763889,0.171428571,Oxley Creek Common
STBR,3,0.135833333,829.7333333,33.63333333,829.7333333,24.95155319,246.87736,3,66.2,130,0.509230769,0.0122,12.2,2.431984,74,199.3429508,0.164864865,Oxley Creek Common
STBR,4,0.091866667,581.8333333,21,581.8333333,28.60858352,225.0944112,3,42.6,90,0.473333333,0.0117,11.7,2.35541,75,201.317094,0.156,Oxley Creek Common
STBR,5,0.0798,503.8,17.76666667,503.8,28.14620031,224.5218106,3,41.2,80,0.515,0.0094,9.4,2.011504,64,213.9897872,0.146875,Oxley Creek Common
SYAU,1,0.162233333,491.0333333,30.8,491.0333333,15.94386978,189.9332354,3,125,270,0.462962963,0.0127,12.7,2.808627,106,221.1517323,0.119811321,Oxley Creek Common
SYAU,2,0.1772,642.7333333,39.66666667,642.7333333,16.06735168,223.3240746,3,205.6,430,0.478139535,0.0115,11.5,1.971238,76,171.412,0.151315789,Oxley Creek Common
SYAU,3,0.139966667,490.3,29.96666667,490.3,16.5903259,214.5075372,3,135.7,270,0.502592593,0.0098,9.8,2.314241,71,236.1470408,0.138028169,Oxley Creek Common
SYAU,4,0.154933333,573.3666667,36.56666667,573.3666667,15.72847415,235.517376,3,245.4,580,0.423103448,0.0105,10.5,3.206387,68,305.3701905,0.154411765,Oxley Creek Common
SYAU,5,0.1576,508.7333333,34.83333333,508.7333333,14.59878422,220.9709484,3,262.1,570,0.459824561,0.0105,10.5,2.770042,66,263.8135238,0.159090909,Oxley Creek Common
SYFR,1,0.146733333,773.8333333,61.4,773.8333333,12.62186104,417.5515432,3,634.3,1260,0.503412698,0.0251,25.1,3.174047,140,126.4560558,0.179285714,Oxley Creek Common
SYFR,2,0.071866667,523.6666667,29.76666667,523.6666667,17.72181052,413.7603702,3,174.7,320,0.5459375,0.0464,46.4,4.054746,169,87.38676724,0.274556213,Oxley Creek Common
SYFR,3,0.146433333,878.3,63.7,878.3,13.77461015,434.5391569,3,275.5,470,0.586170213,0.0271,27.1,3.412106,107,125.9079705,0.253271028,Oxley Creek Common
SYFR,4,0.058866667,419.4,26.1,419.4,16.12620274,443.2513585,3,286.3,470,0.609148936,0.0516,51.6,5.045669,186,97.78428295,0.277419355,Oxley Creek Common
SYSM,1,0.091933333,340.4666667,22.8,340.4666667,15.01028542,246.5353306,3,65.8,130,0.506153846,0.0112,11.2,0.970243,54,86.62883929,0.207407407,Oxley Creek Common
SYSM,2,0.068533333,271.6666667,20.56666667,271.6666667,13.37360543,300.1275129,3,57.6,120,0.48,0.0096,9.6,1.590304,53,165.6566667,0.181132075,Oxley Creek Common
SYSM,3,0.063166667,262.9,13.63333333,262.9,19.53007401,214.0996155,3,24.2,60,0.403333333,0.0053,5.3,0.817344,30,154.2158491,0.176666667,Oxley Creek Common
SYSM,4,0.078366667,263.7666667,27.33333333,263.7666667,9.681435811,348.3902547,3,98.2,230,0.426956522,0.011,11,1.623275,68,147.5704545,0.161764706,Oxley Creek Common
SYSM,5,0.075633333,371.1,22.3,371.1,16.82280856,294.4057785,3,112.8,230,0.490434783,0.0074,7.4,1.154575,41,156.0236486,0.180487805,Oxley Creek Common
TOCI,1,1.635,10199.8,372.2,1128.2,27.40408383,227.6452599,1,390.5,690,0.565942029,0.0309,30.9,1.45564,230,47.10809061,0.134347826,Oxley Creek Common
TOCI,2,0.5457,3889.2,125.5,786.1,30.98964143,229.9798424,1,448.8,860,0.521860465,0.0395,39.5,1.304545,268,33.0264557,0.14738806,Oxley Creek Common
TOCI,3,0.3138,1959.1,90.55,574.45,22.58864851,289.7073078,2,419.6,680,0.617058824,0.0488,48.8,1.492578,335,30.58561475,0.145671642,Oxley Creek Common
TOCI,4,0.8025,4816.8,178.3,571.7,27.01514302,222.1806854,1,509.1,830,0.613373494,0.0453,45.3,1.314165,296,29.0102649,0.153040541,Oxley Creek Common
TOCI,5,0.534,3720.9,122.7,862.3,30.32518337,229.7752809,1,267.4,460,0.581304348,0.0668,66.8,2.543535,464,38.07687126,0.143965517,Oxley Creek Common
TOTE,1,0.9678,4579.8,363.1,1148.466667,12.72169564,375.1146653,3,319.8,450,0.710666667,0.0434,43.4,2.355295,147,54.26947005,0.295238095,Oxley Creek Common
TOTE,2,0.8795,4173,224.5,869.1,19.54375202,261.2343897,3,311.2,490,0.635102041,0.0277,27.7,1.495788,86,53.99956679,0.322093023,Oxley Creek Common
TOTE,3,0.599966667,2679.5,172.1333333,591.5,15.64549687,288.4119723,3,251.3,420,0.598333333,0.0283,28.3,2.441871,133,86.28519435,0.212781955,Oxley Creek Common
TOTE,4,0.61855,2966.2,228,836.4,13.22725569,366.4482814,2,340,500,0.68,0.0401,40.1,2.450611,154,61.11249377,0.26038961,Oxley Creek Common
TRTO,1,0.287333333,2193.6,64.93333333,2193.6,33.81446992,226.2591201,3,143.6,450,0.319111111,0.019,19,3.393985,172,178.6307895,0.110465116,Oxley Creek Common
TRTO,2,0.212266667,1589.666667,43.86666667,1589.666667,36.67045615,205.6291212,3,128.7,300,0.429,0.0194,19.4,4.140383,235,213.4218041,0.082553191,Oxley Creek Common
TRTO,3,0.290433333,2127.766667,54.03333333,2127.766667,39.72622942,186.4842212,3,72.6,230,0.315652174,0.0478,47.8,7.750477,570,162.1438703,0.083859649,Oxley Creek Common
TRTO,4,0.1383,1041.166667,30.2,1041.166667,34.59239448,217.2561506,3,54.7,200,0.2735,0.0171,17.1,4.40003,221,257.3116959,0.077375566,Oxley Creek Common
TRTO,5,0.1309,903.9333333,30.36666667,903.9333333,29.88228942,231.8252729,3,81.9,310,0.264193548,0.0225,22.5,4.200175,250,186.6744444,0.09,Oxley Creek Common
