name_original,raw_trait_value,trait,units
Eucalyptus tereticornis,0.3519,volume seed,mm3
Eucalyptus lansdowneana,0.377,volume seed,mm3
Phyllanthus virgatus,0.377,volume seed,mm3
Vittadenia dissecta,0.377,volume seed,mm3
Calotis hispidula,0.3773,volume seed,mm3
Eucalyptus rubida,0.3927,volume seed,mm3
Randia chartacea,0.4,volume seed,mm3
Eucalyptus microcarpa,0.4147,volume seed,mm3
Chenopodium trigonum,0.4424,volume seed,mm3
Alternanthera nana,0.4435,volume seed,mm3
Eucalyptus barberi,0.4451,volume seed,mm3
Centipeda thespedioides,0.5027,volume seed,mm3
Olearia nernstii,0.5027,volume seed,mm3
Maireana carnosa,0.503,volume seed,mm3
Eucalyptus tenuipes,0.5089,volume seed,mm3
Eucalyptus robusta,0.5135,volume seed,mm3
Poranthera microphylla,0.524,volume seed,mm3
Rhagodia spinescens,0.5241,volume seed,mm3
Justicia peploides,0.5498,volume seed,mm3
Eucalyptus microcorys,0.5722,volume seed,mm3
Rubus rosifolius,0.5736,volume seed,mm3
Eucalyptus drepanophylla,0.5869,volume seed,mm3
Asteromyrtus symphio.,0.589,volume seed,mm3
Bassia microcarpa,0.6036,volume seed,mm3
Dicrastylis fulva,0.6288,volume seed,mm3
Eucalyptus umbra,0.629,volume seed,mm3
Sesuvium portulacastrum,0.6597,volume seed,mm3
Suaeda australis,0.6598,volume seed,mm3
Phyllanthus maderaspatensis,0.6707,volume seed,mm3
Polycalymma stuartii,0.6929,volume seed,mm3
Solenogyne bellioides,0.6929,volume seed,mm3
Trochocarpa laurina,0.7,volume seed,mm3
Eucalyptus socialis,0.7172,volume seed,mm3
Logania archeri,0.7257,volume seed,mm3
Calotis squamigera,0.7336,volume seed,mm3
Eucalyptus gunnii,0.754,volume seed,mm3
Eucalyptus viminalis,0.7734,volume seed,mm3
Acaena montanum,0.7965,volume seed,mm3
Eucalyptus sideroxylon,0.8042,volume seed,mm3
Eucalyptus mensalis,0.8063,volume seed,mm3
