"Species","Trait","Value","Unit","Citation_author","Citation_full"
"Acacia rhodoxylon","wood.density","1.102","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia salicina","wood.density","0.581","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia shirleyi","wood.density","1","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia sophorae","wood.density","0.51","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia stricta","wood.density","0.74","g/cm^3","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Acacia suaveolens","wood.density","0.595","g/cm^3","Onoda, 2010","Onoda, Y., A. E. Richards, and M. Westoby. 2010. The relationship between stem biomechanics and wood density is modified by rainfall in 32 Australian woody plant species. New Phytologist 185:493-501."
"Acacia ulicifolia","wood.density","0.66","g/cm^3","Knox, 2011","Knox, K. J. E., and P. J. Clarke. 2011. Fire severity and nutrient availability do not constrain resprouting in forest shrubs. Plant Ecology 212:1967-1978."
"Acmena hemilampra","wood.density","0.62","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acmena hemilampra","wood.density","0.72","g/cm^3","Cause, 1989","Cause, M. L., E. J. Rudder, and W. T. Kynaston. 1989. Queensland Timbers: Their Nomenclature, Density and Lyctid Susceptibility. Department of Forestry, Queensland, Brisbane, Australia."
"Acmena ingens","wood.density","0.456","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acmena smithii","wood.density","0.612","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acradenia euodiiformis","wood.density","0.771","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acronychia imperforata","wood.density","0.64","g/cm^3","Poropat, 2013","Poropat, P. 2013. Barks and Trunks. Rainforest Trees of Eastern Australia, Volume 2. Dragonwick Publishing, Goonellabah."
"Acronychia laevis","wood.density","0.523","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acronychia oblongifolia","wood.density","0.695","g/cm^3","Poropat, 2013","Poropat, P. 2013. Barks and Trunks. Rainforest Trees of Eastern Australia, Volume 2. Dragonwick Publishing, Goonellabah."
"Acronychia octandra","wood.density","0.551","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acronychia pubescens","wood.density","0.46","g/cm^3","Knox, 2011","Knox, K. J. E., and P. J. Clarke. 2011. Fire severity and nutrient availability do not constrain resprouting in forest shrubs. Plant Ecology 212:1967-1978."
"Acronychia suberosa","wood.density","0.63","g/cm^3","Kooyman, 2009","Kooyman, R. M., and M. Westoby. 2009. Costs of height gain in rainforest saplings: Main-stem scaling, functional traits and strategy variation across 75 species. Annals of Botany 104:987-993."
"Acronychia wilcoxiana","wood.density","0.551","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Actephila lindleyi","wood.density","0.76","g/cm^3","Kooyman, 2009","Kooyman, R. M., and M. Westoby. 2009. Costs of height gain in rainforest saplings: Main-stem scaling, functional traits and strategy variation across 75 species. Annals of Botany 104:987-993."
"Aegiceras corniculatum","wood.density","0.51","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Agathis robusta","wood.density","0.401","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Aglaia sapindina","wood.density","0.42","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Aidia racemosa","wood.density","0.771","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Ailanthus triphysa","wood.density","0.375","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Akania bidwillii","wood.density","0.573","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alangium villosum","wood.density","0.607","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alangium villosum","wood.density","0.607","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alangium villosum","wood.density","0.607","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Albizia lebbeck","wood.density","0.67","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alectryon oleifolius","wood.density","0.939","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alectryon subcinereus","wood.density","0.74","g/cm^3","Kooyman, 2009","Kooyman, R. M., and M. Westoby. 2009. Costs of height gain in rainforest saplings: Main-stem scaling, functional traits and strategy variation across 75 species. Annals of Botany 104:987-993."
"Allocasuarina inophloia","wood.density","0.773","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Allocasuarina littoralis","wood.density","0.663","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Allocasuarina luehmannii","wood.density","0.964","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Allocasuarina torulosa","wood.density","0.795","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alloxylon wickhamii","wood.density","0.456","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alphitonia excelsa","wood.density","0.575","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alphitonia petriei","wood.density","0.443","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Alstonia constricta","wood.density","0.65","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Amorphospermum antilogum","wood.density","0.81","g/cm^3","Cause, 1989","Cause, M. L., E. J. Rudder, and W. T. Kynaston. 1989. Queensland Timbers: Their Nomenclature, Density and Lyctid Susceptibility. Department of Forestry, Queensland, Brisbane, Australia."
"Angophora costata","wood.density","0.745","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Angophora costata","wood.density","0.745","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Angophora floribunda","wood.density","0.66","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Angophora subvelutina","wood.density","0.758","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Angophora woodsiana","wood.density","0.723","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Anthocarapa nitidula","wood.density","0.689","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Aphananthe philippinensis","wood.density","0.612","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Araucaria bidwillii","wood.density","0.389","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Araucaria cunninghamii","wood.density","0.745","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Araucaria cunninghamii","wood.density","0.745","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
