Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),longevity,Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (mg/g),LDMC (%),Leaf area (mm2)
Dillwynia hispida,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Diuris lanceolata,87,83,NA,perennial,30,Mobile,NA,NA,NA,NA,NA
Diuris orientis,87,83,NA,perennial,45,Mobile,NA,NA,NA,NA,NA
Diuris pardina,87,83,NA,perennial,30,Mobile,NA,NA,NA,NA,NA
Dodonaea viscosa subsp. cuneata,87,83,NA,perennial,300,Wind,NA,NA,NA,NA,NA
Drosera glanduligera,87,83,NA,perennial,5,Mobile,NA,NA,NA,NA,NA
Drosera peltata subsp. auriculata,87,83,NA,perennial,50,Mobile,NA,NA,NA,NA,NA
Drosera peltata subsp. peltata,87,83,NA,perennial,50,Mobile,NA,NA,NA,NA,NA
Drosera pygmaea,87,83,NA,perennial,3,Mobile,NA,NA,NA,NA,NA
Drosera whittakeri subsp. aberrans,87,83,NA,perennial,5,Mobile,NA,NA,NA,NA,NA
Einadia nutans subsp. nutans,87,83,NA,perennial,50,Ingestion,NA,NA,NA,NA,NA
Eleocharis acuta,87,83,NA,perennial,60,Undefined,NA,NA,NA,NA,NA
Eleocharis atricha,87,83,NA,perennial,40,Undefined,NA,NA,NA,NA,NA
Eleocharis sphacelata,87,83,NA,perennial,200,Undefined,NA,NA,NA,NA,NA
Elymus scaber var. scaber,87,83,NA,perennial,80,Adhesion,NA,NA,NA,NA,NA
Epilobium billardierianum subsp. billardierianum,87,83,NA,perennial,100,Wind,NA,NA,NA,NA,NA
Epilobium billardierianum subsp. cinereum,87,83,NA,perennial,100,Wind,NA,NA,NA,NA,NA
Epilobium billardierianum subsp. intermedium,87,83,NA,perennial,100,Wind,NA,NA,NA,NA,NA
Epilobium hirtigerum,87,83,NA,perennial,100,Wind,NA,NA,NA,NA,NA
Eryngium ovinum,87,83,NA,perennial,60,Undefined,NA,NA,NA,NA,NA
Eryngium vesiculosum,87,83,NA,perennial,10,Undefined,NA,NA,NA,NA,NA
Eucalyptus camaldulensis,87,83,NA,perennial,4500,Undefined,NA,NA,NA,NA,NA
Eucalyptus cladocalyx,87,83,NA,perennial,3000,Undefined,NA,NA,NA,NA,NA
Eucalyptus leucoxylon,87,83,NA,perennial,2500,Undefined,NA,NA,NA,NA,NA
Eucalyptus ovata,87,83,NA,perennial,3000,Undefined,NA,NA,NA,NA,NA
Eucalyptus pauciflora subsp. pauciflora,87,83,NA,perennial,3000,Undefined,NA,NA,NA,NA,NA
Eucalyptus viminalis,87,83,NA,perennial,5000,Undefined,NA,NA,NA,NA,NA
Euchiton collinus,87,83,NA,perennial,40,Mobile,NA,NA,NA,NA,NA
Exocarpos cupressiformis,87,83,NA,perennial,800,Ingestion,NA,NA,NA,NA,NA
Ficinia nodosa,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
Gahnia sieberiana,87,83,NA,perennial,300,Undefined,NA,NA,NA,NA,NA
Geranium dissectum,87,83,NA,annual,40,wind,NA,NA,NA,NA,NA
Geranium retrorsum,87,83,NA,perennial,50,wind,NA,NA,NA,NA,NA
Geranium solanderi,87,83,NA,perennial,30,wind,NA,NA,NA,NA,NA
Glyceria australis,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
Glycine latrobeana,87,83,NA,perennial,10,Undefined,NA,NA,NA,NA,NA
Gonocarpus tetragynus,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Goodenia blackiana,87,83,NA,perennial,20,Wind,NA,NA,NA,NA,NA
Goodenia geniculata,87,83,NA,perennial,10,Wind,NA,NA,NA,NA,NA
Goodenia humilis,87,83,NA,perennial,10,Wind,NA,NA,NA,NA,NA
Goodenia pinnatifida,87,83,NA,perennial,40,Ant,NA,NA,NA,NA,NA
Gratiola peruviana,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Grevillea aquifolium,87,83,NA,perennial,50,Ant,NA,NA,NA,NA,NA
Grevillea rosmarinifolia,87,83,NA,perennial,180,Ant,NA,NA,NA,NA,NA
Haloragis heterophylla,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Helichrysum scorpioides,87,83,NA,perennial,50,Wind,NA,NA,NA,NA,NA
Hemarthria uncinata var. uncinata,87,83,NA,perennial,50,Adhesion,NA,NA,NA,NA,NA
Hibbertia riparia,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
Hibbertia sericea var. sericea,87,83,NA,perennial,70,Ant,NA,NA,NA,NA,NA
Hyalosperma demissum,87,83,NA,annual,2,Wind,NA,NA,NA,NA,NA
Hydrocotyle callicarpa,87,83,NA,annual,8,Undefined,NA,NA,NA,NA,NA
Hydrocotyle foveolata,87,83,NA,annual,10,Undefined,NA,NA,NA,NA,NA
Hydrocotyle laxiflora,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Hydrocotyle sibthorpioides,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Hypericum gramineum,87,83,NA,perennial,40,Mobile,NA,NA,NA,NA,NA
Hypoxis vaginata var. vaginata,87,83,NA,perennial,35,Undefined,NA,NA,NA,NA,NA
Indigofera australis,87,83,NA,perennial,150,Undefined,NA,NA,NA,NA,NA
Isoetes drummondii,87,83,NA,perennial,20,Undefined,NA,NA,NA,NA,NA
Isolepis cernua var. cernua,87,83,NA,perennial,20,Undefined,NA,NA,NA,NA,NA
Isolepis fluitans,87,83,NA,perennial,10,Undefined,NA,NA,NA,NA,NA
Isolepis hookeriana,87,83,NA,annual,12,Undefined,NA,NA,NA,NA,NA
Isolepis hystrix,87,83,NA,annual,5,Undefined,NA,NA,NA,NA,NA
Isolepis producta,87,83,NA,perennial,2,Undefined,NA,NA,NA,NA,NA
Isopogon ceratophyllus,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Juncus bufonius,87,83,NA,annual,20,Mobile,NA,NA,NA,NA,NA
Kennedia prostrata,87,83,NA,perennial,5,Undefined,NA,NA,NA,NA,NA
Lachnagrostis aemula,87,83,NA,annual,80,Wind,NA,NA,NA,NA,NA
Lachnagrostis filiformis,87,83,NA,annual,60,Wind,NA,NA,NA,NA,NA
Lagenophora huegelii,87,83,NA,perennial,35,Undefined,NA,NA,NA,NA,NA
Lepidosperma congestum,87,83,NA,perennial,55,Undefined,NA,NA,NA,NA,NA
Lepidosperma curtisiae,87,83,NA,perennial,25,Ant,NA,NA,NA,NA,NA
Leptorhynchos squamatus,87,83,NA,perennial,40,Wind,NA,NA,NA,NA,NA
Leptospermum continentale,87,83,NA,perennial,200,Undefined,NA,NA,NA,NA,NA
Leptospermum myrsinoides,87,83,NA,perennial,150,Undefined,NA,NA,NA,NA,NA
Leptospermum obovatum,87,83,NA,perennial,300,Undefined,NA,NA,NA,NA,NA
Leucopogon virgatus,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Levenhookia dubia,87,83,NA,annual,8,Mobile,NA,NA,NA,NA,NA
Lissanthe strigosa subsp. subulata,87,83,NA,perennial,50,Ingestion,NA,NA,NA,NA,NA
Lobelia anceps,87,83,NA,perennial,30,Mobile,NA,NA,NA,NA,NA
Lobelia irrigua,87,83,NA,perennial,5,Undefined,NA,NA,NA,NA,NA
Lobelia pedunculata s.l.,87,83,NA,perennial,5,Undefined,NA,NA,NA,NA,NA
Lobelia pratioides,87,83,NA,perennial,5,Undefined,NA,NA,NA,NA,NA
Lomandra filiformis,87,83,NA,perennial,45,Undefined,NA,NA,NA,NA,NA
Lomandra micrantha,87,83,NA,perennial,70,Undefined,NA,NA,NA,NA,NA
Lomandra multiflora subsp. multiflora,87,83,NA,perennial,80,Undefined,NA,NA,NA,NA,NA
Lomandra nana,87,83,NA,perennial,17,Undefined,NA,NA,NA,NA,NA
Lomandra sororia,87,83,NA,perennial,40,Undefined,NA,NA,NA,NA,NA
Luzula meridionalis,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Lythrum hyssopifolia,87,83,NA,annual,50,Mobile,NA,NA,NA,NA,NA
Melaleuca decussata,87,83,NA,perennial,300,Wind,NA,NA,NA,NA,NA
Melaleuca ericifolia,87,83,NA,perennial,600,Wind,NA,NA,NA,NA,NA
Melaleuca gibbosa,87,83,NA,perennial,300,Wind,NA,NA,NA,NA,NA
Melaleuca hypericifolia,87,83,NA,perennial,600,Wind,NA,NA,NA,NA,NA
Melicytus dentatus,87,83,NA,perennial,300,Ingestion,NA,NA,NA,NA,NA
Mentha diemenica,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Mentha laxiflora,87,83,NA,perennial,60,Undefined,NA,NA,NA,NA,NA
Mentha pulegium,87,83,NA,perennial,40,Undefined,NA,NA,NA,NA,NA
Microlaena stipoides var. stipoides,87,83,NA,perennial,70,Undefined,NA,NA,NA,NA,NA
Microseris scapigera,87,83,NA,perennial,60,Wind,NA,NA,NA,NA,NA
Microtis unifolia,87,83,NA,perennial,90,Mobile,NA,NA,NA,NA,NA
Millotia myosotidifolia,87,83,NA,annual,11,Wind,NA,NA,NA,NA,NA
Muellerina eucalyptoides,87,83,NA,perennial,2500,Ingestion,NA,NA,NA,NA,NA
Neopaxia australasica,87,83,NA,perennial,3,Undefined,NA,NA,NA,NA,NA
Notodanthonia semiannularis,87,83,NA,perennial,80,Adhesion,NA,NA,NA,NA,NA
Opercularia ovata,87,83,NA,perennial,10,Undefined,NA,NA,NA,NA,NA
Opercularia varia,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Oreomyrrhis eriopoda,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Oxalis corniculata,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Oxalis hirta,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Oxalis spp.,87,83,NA,perennial,0,-,NA,NA,NA,NA,NA
Ozothamnus ferrugineus,87,83,NA,perennial,250,Wind,NA,NA,NA,NA,NA
Parietaria debilis,87,83,NA,annual,30,Undefined,NA,NA,NA,NA,NA
Pelargonium australe,87,83,NA,perennial,60,Undefined,NA,NA,NA,NA,NA
Pelargonium rodneyanum,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Pentapogon quadrifidus var. quadrifidus,87,83,NA,perennial,70,Adhesion,NA,NA,NA,NA,NA
Phragmites australis,87,83,NA,perennial,250,Wind,NA,NA,NA,NA,NA
Pimelea curviflora,87,83,NA,perennial,150,Undefined,NA,NA,NA,NA,NA
Pimelea glauca,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
Pimelea humilis,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Pittosporum undulatum,87,83,NA,perennial,1500,Ingestion,NA,NA,NA,NA,NA
Plantago gaudichaudii,87,83,NA,perennial,20,Undefined,NA,NA,NA,NA,NA
Platylobium obtusangulum,87,83,NA,perennial,100,Ant,NA,NA,NA,NA,NA
Poa clelandii,87,83,NA,perennial,75,Undefined,NA,NA,NA,NA,NA
Poa labillardierei,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
Poa rodwayi,87,83,NA,perennial,60,Undefined,NA,NA,NA,NA,NA
Poa sieberiana,87,83,NA,perennial,80,Undefined,NA,NA,NA,NA,NA
Poranthera microphylla,87,83,NA,annual,15,Undefined,NA,NA,NA,NA,NA
Pteridium esculentum,87,83,NA,perennial,100,Mobile,NA,NA,NA,NA,NA
Pterostylis curta,87,83,NA,perennial,30,Mobile,NA,NA,NA,NA,NA
Pterostylis pedunculata,87,83,NA,perennial,25,Mobile,NA,NA,NA,NA,NA
Ptilotus macrocephalus,87,83,NA,perennial,50,Wind,NA,NA,NA,NA,NA
Pultenaea humilis,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Pultenaea laxiflora,87,83,NA,perennial,60,Undefined,NA,NA,NA,NA,NA
Pultenaea pedunculata,87,83,NA,perennial,20,Undefined,NA,NA,NA,NA,NA
Pyracantha angustifolia,87,83,NA,perennial,400,Ingestion,NA,NA,NA,NA,NA
Pyracantha crenulata,87,83,NA,perennial,300,Ingestion,NA,NA,NA,NA,NA
Ranunculus muricatus,87,83,NA,annual,20,Adhesion,NA,NA,NA,NA,NA
Ranunculus robertsonii,87,83,NA,perennial,25,Adhesion,NA,NA,NA,NA,NA
Rubus fruticosus,87,83,NA,perennial,200,Ingestion,NA,NA,NA,NA,NA
Rumex brownii,87,83,NA,perennial,100,Adhesion,NA,NA,NA,NA,NA
Schoenus apogon,87,83,NA,perennial,25,Undefined,NA,NA,NA,NA,NA
Schoenus nitens,87,83,NA,perennial,40,Undefined,NA,NA,NA,NA,NA
Schoenus tesquorum,87,83,NA,perennial,45,Undefined,NA,NA,NA,NA,NA
Sebaea albidiflora,87,83,NA,annual,20,Mobile,NA,NA,NA,NA,NA
Sebaea ovata,87,83,NA,annual,30,Mobile,NA,NA,NA,NA,NA
Senecio glomeratus,87,83,NA,annual,120,Wind,NA,NA,NA,NA,NA
Senecio minimus,87,83,NA,annual,150,Wind,NA,NA,NA,NA,NA
Senecio quadridentatus,87,83,NA,perennial,120,Wind,NA,NA,NA,NA,NA
Senecio squarrosus,87,83,NA,perennial,40,Wind,NA,NA,NA,NA,NA
Siloxerus multiflorus,87,83,NA,annual,4,Wind,NA,NA,NA,NA,NA
Solenogyne dominii,87,83,NA,perennial,10,Undefined,NA,NA,NA,NA,NA
Stackhousia monogyna,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Stackhousia subterranea,87,83,NA,perennial,40,Undefined,NA,NA,NA,NA,NA
Stylidium graminifolium,87,83,NA,perennial,80,Undefined,NA,NA,NA,NA,NA
Tetratheca ciliata,87,83,NA,perennial,50,Ant,NA,NA,NA,NA,NA
Thelymitra megcalyptra,87,83,NA,perennial,30,Mobile,NA,NA,NA,NA,NA
Thelymitra pauciflora,87,83,NA,perennial,50,Mobile,NA,NA,NA,NA,NA
Thelymitra rubra,87,83,NA,perennial,40,Mobile,NA,NA,NA,NA,NA
Themeda triandra,87,83,NA,perennial,100,Adhesion,NA,NA,NA,NA,NA
Thysanotus patersonii,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
Tricoryne elatior,87,83,NA,perennial,70,Undefined,NA,NA,NA,NA,NA
Triglochin nana,87,83,NA,annual,8,Undefined,NA,NA,NA,NA,NA
Triglochin procera,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Triglochin striata,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Triptilodiscus pygmaeus,87,83,NA,annual,8,Wind,NA,NA,NA,NA,NA
Typha domingensis,87,83,NA,perennial,200,Wind,NA,NA,NA,NA,NA
Veronica calycina,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Veronica gracilis,87,83,NA,perennial,60,Undefined,NA,NA,NA,NA,NA
Viola hederacea,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Viola sieberiana,87,83,NA,perennial,7,Undefined,NA,NA,NA,NA,NA
Vittadinia gracilis,87,83,NA,perennial,40,Wind,NA,NA,NA,NA,NA
Wahlenbergia communis,87,83,NA,perennial,75,Mobile,NA,NA,NA,NA,NA
Wahlenbergia gracilenta,87,83,NA,annual,35,Mobile,NA,NA,NA,NA,NA
Wahlenbergia graniticola,87,83,NA,perennial,50,Mobile,NA,NA,NA,NA,NA
Wahlenbergia luteola,87,83,NA,perennial,30,Mobile,NA,NA,NA,NA,NA
Wahlenbergia multicaulis,87,83,NA,perennial,75,Mobile,NA,NA,NA,NA,NA
Wurmbea dioica,87,83,NA,perennial,30,Mobile,NA,NA,NA,NA,NA
Xanthorrhoea minor subsp. lutea,87,83,NA,perennial,100,Wind,NA,NA,NA,NA,NA
Centella cordifolia,87,83,NA,perennial,20,Undefined,NA,NA,NA,NA,NA
Centipeda cunninghamii,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Eragrostis brownii,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Juncus amabilis,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
Juncus caespiticius,87,83,NA,perennial,65,Mobile,NA,NA,NA,NA,NA
Juncus holoschoenus,87,83,NA,perennial,20,Mobile,NA,NA,NA,NA,NA
Juncus homalocaulis,87,83,NA,perennial,40,Mobile,NA,NA,NA,NA,NA
Juncus kraussii subsp. australiensis,87,83,NA,perennial,120,Undefined,NA,NA,NA,NA,NA
Juncus pallidus,87,83,NA,perennial,150,Undefined,NA,NA,NA,NA,NA
Juncus planifolius,87,83,NA,perennial,50,Mobile,NA,NA,NA,NA,NA
Juncus subsecundus,87,83,NA,perennial,90,Mobile,NA,NA,NA,NA,NA
Phyllangium divergens,87,83,NA,annual,19,Mobile,NA,NA,NA,NA,NA
Poa infirma,87,83,NA,annual,20,Undefined,NA,NA,NA,NA,NA
Polycarpon tetraphyllum,87,83,NA,annual,10,Mobile,NA,NA,NA,NA,NA
Pseudognaphalium luteoalbum,87,83,NA,annual,50,Wind,NA,NA,NA,NA,NA
Eleocharis sphacelata,87,83,NA,perennial,200,Undefined,NA,NA,NA,NA,NA
Acacia spinescens,87,83,NA,perennial,100,Ant,NA,NA,NA,NA,NA
Bursaria spinosa subsp. spinosa,87,83,NA,perennial,800,Undefined,NA,NA,NA,NA,NA
Aira sp.,87,83,NA,annual,40,Adhesion,NA,NA,NA,NA,NA
Austrostipa sp.,87,83,NA,perennial,NA,Adhesion,NA,NA,NA,NA,NA
Bromus sp.,87,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caladenia sp.,87,83,NA,perennial,NA,Mobile,NA,NA,NA,NA,NA
Callitriche sp.,87,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynoglossum sp.,87,83,NA,perennial,NA,Adhesion,NA,NA,NA,NA,NA
