Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment
BGQLD.0673,BGQLD.0673,Pittosporum ferrugineum,Brisbane Botanic Gardens,Portland Roads. Ca 1km W of township towards Iron Range,-12.60625,143.406667,,4811,,,,,,10/7/2009,,Brisbane Botanic Gardens,"JH, CP",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0876,BGQLD.0876,Bursaria tenuifolia,Brisbane Botanic Gardens,"Davies Ck NP, on creek adjacent to campsite",-17.006028,145.570944,,1,,,,,,11/13/2014,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0109,GAQLD.0109,Pittosporum angustifolium,Brisbane Botanic Gardens,,,,,1,,,,,,,,Greening Australia QLD,,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0675,BGQLD.0675,Mackinlaya confusa,Brisbane Botanic Gardens,Iron Range NP. Tozers Gap approx 8.6km W of intersection of Portland Roads Rd and Lockhart River Rd,-12.746389,143.223333,,6156,,,,,,10/8/2009,,Brisbane Botanic Gardens,"JH, CP",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0281,UQLD.0281,Bursaria incana,Brisbane Botanic Gardens,,,,,17638,,,,,,6/22/2006,,UQ Seed Bank,DB,,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0312,GAQLD.0312,Trachymene incisa subsp. incisa,Brisbane Botanic Gardens,Ca 1km along Bluff Walk Carnarvon Gorge National Park,-25.056389,148.23,,2168,,,,,,7/4/2008,,Greening Australia QLD,"JH, PB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0378,GAQLD.0378,Mackinlaya macrosciadea,Brisbane Botanic Gardens,Byfield SF. Waterpark Ck day use area – Bowenia circuit walk.,-22.8375,150.67,,836,,,,,,10/25/2008,,Greening Australia QLD,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0759,BGQLD.0759,Bursaria incana,Brisbane Botanic Gardens,"Einasleigh, 15km S of on the Lynd Rd",-18.628611,144.111944,,1,,,,,,8/21/2010,,Brisbane Botanic Gardens,"JH, JF",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD0012,GAQLD0012,Trachymene incisa,Brisbane Botanic Gardens,,,,,1,,,,,,2/21/2005,,Greening Australia QLD,,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0936,BGQLD.0936,Quintinia quatrefagesii,Brisbane Botanic Gardens,,,,,1,,,,,,11/10/2015,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.1098,BGQLD.1098,Quintinia,Brisbane Botanic Gardens,,,,,1,,,,,,12/19/2018,,Brisbane Botanic Gardens,"JH, KB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0815,BGQLD.0815,Livistona nitida,Brisbane Botanic Gardens,,,,,1,,,,,,3/25/2013,,Brisbane Botanic Gardens,"JH, JD",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0470,GAQLD.0470,Livistona mariae subsp. rigida,Brisbane Botanic Gardens,Lawn Hill NP. Lawn Hill Creek upstream from Indarri Falls,-18.710556,138.481389,,3419,,,,,,6/9/2009,,Greening Australia QLD,"JH, BB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0726,BGQLD.0726,Livistona decora,Brisbane Botanic Gardens,"Kinka, South of intersection of Scenic Hwy & Tanby-Emu Park Rd nr Kinka Creek",-23.231528,150.793417,,6271,,,,,,5/25/2010,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0963,BGQLD.0963,Livistona muelleri,Brisbane Botanic Gardens,,,,,1,,,,,,11/16/2015,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0332,UQLD.0332,Eustrephus latifolius,Brisbane Botanic Gardens,,,,,1,,,,,,11/30/2006,,UQ Seed Bank,"UQ, DB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0155,BGQLD.0155,Patersonia fragilis,Brisbane Botanic Gardens,,,,,12359,,,,,,10/19/2005,,Brisbane Botanic Gardens,PB,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0408,BGQLD.0408,Lomandra banksii,Brisbane Botanic Gardens,,,,,4037,,,,,,11/9/2006,,Brisbane Botanic Gardens,"PB, JH",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0006,BGQLD.0006,Geitonoplesium cymosum,Brisbane Botanic Gardens,,,,,1,,,,,,12/5/2004,,Brisbane Botanic Gardens,PB,,,,,,,X-Ray: 0%,,,,,,,,,,,,,,,,,,
UQLD.0334,UQLD.0334,Hemerocallidaceae,Brisbane Botanic Gardens,,,,,1,,,,,,11/30/2006,,UQ Seed Bank,"UQ, DB",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0105,UQLD.0105,Eustrephus latifolius,Brisbane Botanic Gardens,,,,,1,,,,,,4/29/2005,,UQ Seed Bank,UQ,,,,,,,X-Ray: 100%,,,,,,,,,,,,,,,,,,
BGQLD.0852,BGQLD.0852,Calochilus campestris,Brisbane Botanic Gardens,,,,,1,,,,,,11/7/2014,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0059,GAQLD.0059,Lomandra longifolia,Brisbane Botanic Gardens,,,,,21664,,,,,,,,Greening Australia QLD,,,,,,,,X-Ray: 95%,,,,,,,,,,,,,,,,,,
BGQLD.0910,BGQLD.0910,Cordyline petiolaris,Brisbane Botanic Gardens,"Mt Nebo, Boombana",-27.402167,152.792361,,1,,,,,,3/2/2015,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0849,BGQLD.0849,Geodorum densiflorum,Brisbane Botanic Gardens,,,,,1,,,,,,8/4/2014,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0144,BGQLD.0144,Patersonia sericea,Brisbane Botanic Gardens,,,,,12660,,,,,,10/13/2005,,Brisbane Botanic Gardens,PB,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0729,BGQLD.0729,Xanthorrhoea latifolia,Brisbane Botanic Gardens,"Maryborough, ca 45km S Childers on Bruce Hwy",-25.396111,152.603333,,4829,,,,,,8/13/2010,,Brisbane Botanic Gardens,"JH, JF",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0143,BGQLD.0143,Laxmannia gracilis,Brisbane Botanic Gardens,,,,,39573,,,,,,10/13/2005,,Brisbane Botanic Gardens,PB,,,,,,,TZ: 100% X-Ray: 100%,,,,,,,,,,,,,,,,,,
BGQLD.0412,BGQLD.0412,Cordyline petiolaris,Brisbane Botanic Gardens,,,,,1730,,,,,,1/28/2007,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0145,BGQLD.0145,Sowerbaea juncea,Brisbane Botanic Gardens,,,,,12488,,,,,,10/13/2005,,Brisbane Botanic Gardens,PB,,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0243,GAQLD.0243,Dianella brevipedunculata,Brisbane Botanic Gardens,,,,,1003,,,,,,12/7/2006,,Greening Australia QLD,TTD,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0859,BGQLD.0859,Cordyline manners-suttoniae,Brisbane Botanic Gardens,"Vicinity of Dows Creek on Langdon-Lumburra Rd, 5.3km from Owens Ck Rd",-21.101278,148.758639,,1,,,,,,11/9/2014,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0166,BGQLD.0166,Patersonia glabrata,Brisbane Botanic Gardens,,,,,1,,,,,,11/1/2005,,Brisbane Botanic Gardens,PB,,,,,,,TZ: 100%,,,,,,,,,,,,,,,,,,
BGQLD.0938,BGQLD.0938,Liparis bracteata,Brisbane Botanic Gardens,,,,,1,,,,,,11/10/2015,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0255,GAQLD.0255,Cordyline rubra,Brisbane Botanic Gardens,,,,,100,,,,,,1/16/2007,,Greening Australia QLD,TTD,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0889,BGQLD.0889,Borya septentrionalis,Brisbane Botanic Gardens,"Walsh’s Pyramid, north facing slope",-17.123667,145.796389,,1,,,,,,11/16/2014,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0700,BGQLD.0700,Zeuxine oblonga,Brisbane Botanic Gardens,,,,,10000,,,,,,10/13/2009,,Brisbane Botanic Gardens,"JH, CP",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0078,GAQLD.0078,Lomandra hystrix,Brisbane Botanic Gardens,,,,,8748,,,,,,,,Greening Australia QLD,,,,,,,,X-Ray: 85%,,,,,,,,,,,,,,,,,,
BGQLD.0171,BGQLD.0171,Xanthorrhoea macronema,Brisbane Botanic Gardens,,,,,1947,,,,,,11/2/2005,,Brisbane Botanic Gardens,PB,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0466,BGQLD.0466,Doryanthes palmeri,Brisbane Botanic Gardens,Mt Cordeaux summit Cunninghams Gap,-28.045,152.393056,,3245,,,,,,3/30/2007,,Brisbane Botanic Gardens,PB,,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0098,GAQLD.0098,Dianella congesta,Brisbane Botanic Gardens,,,,,4791,,,,,,,,Greening Australia QLD,,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0013,UQLD.0013,Actinobole uliginosum,Brisbane Botanic Gardens,,,,,1,,,,,,4/22/2004,,UQ Seed Bank,"UQ, OD",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0280,BGQLD.0280,Xerochrysum,Brisbane Botanic Gardens,,,,,1,,,,,,7/20/2006,,Brisbane Botanic Gardens,"PB, AP",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0136,UQLD.0136,Podolepis longipedata,Brisbane Botanic Gardens,,,,,1,,,,,,10/11/2005,,UQ Seed Bank,DB,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0200,UQLD.0200,Acomis acoma,Brisbane Botanic Gardens,,,,,1,,,,,,9/22/2005,,UQ Seed Bank,"UQ, BG",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0012,UQLD.0012,Rhodanthe moschata,Brisbane Botanic Gardens,,,,,1,,,,,,4/22/2004,,UQ Seed Bank,"UQ, OD",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0828,BGQLD.0828,Coronidium oxylepis subsp. lanatum,Brisbane Botanic Gardens,"Cracow-Taroom Rd, 27km S Cracow",-25.492194,150.2555,,1,,,,,,11/20/2013,,Brisbane Botanic Gardens,"JH, MS",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0593,BGQLD.0593,Rhodanthe stricta,Brisbane Botanic Gardens,1km east of Birdsville on banks of the Diamantina,-25.905417,139.373611,,1,,,,,,6/23/2007,,Brisbane Botanic Gardens,"PB, JH",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.1040,BGQLD.1040,Pluchea dentex,Brisbane Botanic Gardens,,,,,1,,,,,,5/26/2017,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0918,BGQLD.0918,Flaveria trinervia,Brisbane Botanic Gardens,"Moura, on Dawson Hwy approx 3.5km E of town",-24.546361,150.000944,,1,,,,,,3/31/2015,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0281,BGQLD.0281,Coronidium newcastlianum,Brisbane Botanic Gardens,,,,,25801,,,,,,7/20/2006,,Brisbane Botanic Gardens,"PB, AP",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0319,GAQLD.0319,Podolepis longipedata,Brisbane Botanic Gardens,11km along Mt Zamia Rd Spingsure,-24.082778,148.07,,1,,,,,,7/6/2008,,Greening Australia QLD,"JH, PB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0995,BGQLD.0995,Picris conyzoides,Brisbane Botanic Gardens,,,,,1,,,,,,11/24/2016,,Brisbane Botanic Gardens,"JH, ZL",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0009,UQLD.0009,Brachyscome melanocarpa,Brisbane Botanic Gardens,,,,,1,,,,,,4/22/2004,,UQ Seed Bank,"UQ, OD",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0310,UQLD.0310,Streptoglossa adscendens,Brisbane Botanic Gardens,,,,,1,,,,,,9/19/2006,,UQ Seed Bank,"UQ, DB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.1093,BGQLD.1093,Cymbonotus maidenii,Brisbane Botanic Gardens,,,,,1,,,,,,11/20/2017,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0304,GAQLD.0304,Verbesina encelioides,Brisbane Botanic Gardens,20KM east of Condamine on Kogan-Condamine Rd,-26.885833,150.329444,,1,,,,,,7/2/2008,,Greening Australia QLD,"JH, PB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0421,GAQLD.0421,Vittadinia sulcata,Brisbane Botanic Gardens,Bell. 2.5km NW Bell along Cedarvale Rd,-26.914861,151.429583,,1,,,,,,12/19/2008,,Greening Australia QLD,"JH, DM",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0306,UQLD.0306,Pterocaulon serrulatum var. serrulatum,Brisbane Botanic Gardens,,,,,22188,,,,,,9/18/2006,,UQ Seed Bank,"UQ, DB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0265,GAQLD.0265,Vittadinia dissecta var. hirta,Brisbane Botanic Gardens,,,,,1,,,,,,,,Greening Australia QLD,TTD,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0641,BGQLD.0641,Apowollastonia spilanthoides,Brisbane Botanic Gardens,"Homevale NP, Nr Sydney Heads ca 13km from Turawalla Rd on Mt Adder Rd",-21.41,148.594722,,3448,,,,,,4/28/2009,,Brisbane Botanic Gardens,"JH, FM",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0153,UQLD.0153,Brachyscome ciliaris,Brisbane Botanic Gardens,,,,,1,,,,,,11/28/2005,,UQ Seed Bank,JK,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0058,UQLD.0058,Leptorhynchos baileyi,Brisbane Botanic Gardens,,,,,1,,,,,,,,UQ Seed Bank,,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0059,UQLD.0059,Rhodanthe floribunda,Brisbane Botanic Gardens,,,,,1,,,,,,,,UQ Seed Bank,UQ,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0126,UQLD.0126,Gnephosis tenuissima,Brisbane Botanic Gardens,,,,,1,,,,,,11/3/2005,,UQ Seed Bank,"Gr, Ge",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD0004,GAQLD0004,Glossocardia bidens,Brisbane Botanic Gardens,,,,,1,,,,,,1/21/2005,,Greening Australia QLD,GA,,,,,,,TZ: 70% X-Ray: 60%,,,,,,,,,,,,,,,,,,
UQLD.0129,UQLD.0129,Xerochrysum bracteatum,Brisbane Botanic Gardens,,,,,1,,,,,,11/4/2005,,UQ Seed Bank,"Gr, Ge",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0812,BGQLD.0812,Olearia nernstii,Brisbane Botanic Gardens,"Lamington NP, Daves Ck Circuit between Surprise Rock and Numinbah L'out",-28.221667,153.213222,,1,,,,,,11/30/2012,,Brisbane Botanic Gardens,"JH, TR",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0610,BGQLD.0610,Calotis cuneifolia,Brisbane Botanic Gardens,41km N of Wyandra on Mitchell Hwy toward Charleville,-27.216389,145.985278,,1,,,,,,10/17/2007,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0742,BGQLD.0742,Blumea saxatilis,Brisbane Botanic Gardens,"Laura, 42km N of on Peninsula Development Rd at Green Ant Ck",-15.385833,144.121389,,18308,,,,,,8/18/2010,,Brisbane Botanic Gardens,"JH, JF",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0432,BGQLD.0432,Vittadinia sulcata,Brisbane Botanic Gardens,,,,,1,,,,,,2/18/2007,,Brisbane Botanic Gardens,"PB, JH",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0993,BGQLD.0993,Picris angustifolia subsp. carolorum-henricorum,Brisbane Botanic Gardens,,,,,1,,,,,,11/4/2016,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0273,GAQLD.0273,Calotis cuneifolia,Brisbane Botanic Gardens,,,,,34206,,,,,,4/20/2007,,Greening Australia QLD,TTD,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.1028,BGQLD.1028,Glossocardia refracta,Brisbane Botanic Gardens,,,,,1,,,,,,4/20/2017,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0119,UQLD.0119,Pterocaulon sphacelatum,Brisbane Botanic Gardens,,,,,1,,,,,,10/31/2005,,UQ Seed Bank,"Gr, Ge",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0818,BGQLD.0818,Leuzea australis,Brisbane Botanic Gardens,"Cambooya, Nth of town in railway reserve (Railway Parade)",-27.698639,151.862278,,1,,,,,,5/19/2013,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0001,UQLD.0001,Asteraceae,Brisbane Botanic Gardens,,,,,1,,,,,,10/21/2004,,UQ Seed Bank,"UQ, OD",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0385,BGQLD.0385,Sphaeromorphaea australis,Brisbane Botanic Gardens,,,,,1,,,,,,11/7/2006,,Brisbane Botanic Gardens,"PB, JH",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD0027,GAQLD0027,Olearia elliptica,Brisbane Botanic Gardens,,,,,1,,,,,,,,Greening Australia QLD,,,,,,,,X-Ray: 80%,,,,,,,,,,,,,,,,,,
BGQLD.0735,BGQLD.0735,Cyanthillium cinereum,Brisbane Botanic Gardens,"Dinden NP, above 1st and 2nd campsite on Davies Ck Rd",-17.019444,145.583889,,8079,,,,,,8/17/2010,,Brisbane Botanic Gardens,"JH, JF",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0052,UQLD.0052,Calotis cuneifolia,Brisbane Botanic Gardens,,,,,1,,,,,,12/8/2004,,UQ Seed Bank,UQ,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0051,UQLD.0051,Vittadinia pterochaeta,Brisbane Botanic Gardens,,,,,1146,,,,,,12/8/2004,,UQ Seed Bank,UQ,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0029,UQLD.0029,Xerochrysum bracteatum,Brisbane Botanic Gardens,,,,,1,,,,,,11/11/2004,,UQ Seed Bank,"UQ, OD",,,,,,,X-Ray: 90%,,,,,,,,,,,,,,,,,,
BGQLD.0974,BGQLD.0974,Picris angustifolia subsp. carolorum-henricorum,Brisbane Botanic Gardens,,,,,1,,,,,,7/29/2016,,Brisbane Botanic Gardens,"JH, JF",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0744,BGQLD.0744,Centipeda nidiformis,Brisbane Botanic Gardens,"Laura, 42km N of on Peninsula Development Rd at Green Ant Ck",-15.385833,144.121389,,10000,,,,,,8/18/2010,,Brisbane Botanic Gardens,"JH, JF",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0376,GAQLD.0376,Coronidium glutinosum,Brisbane Botanic Gardens,Blackdowns Tablelands NP. 5km from ranger station towards Capicorn Hwy,-23.727778,149.119167,,3902,,,,,,10/24/2008,,Greening Australia QLD,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0609,BGQLD.0609,Calotis erinacea,Brisbane Botanic Gardens,41km S of Charleville on Mitchell Hwy toward Wyandra,-26.747361,146.120972,,1,,,,,,10/17/2007,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0179,GAQLD.0179,Senecio brigalowensis,Brisbane Botanic Gardens,,,,,26563,,,,,,9/5/2006,,Greening Australia QLD,"TTD, JH",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0313,UQLD.0313,Pluchea dentex,Brisbane Botanic Gardens,,,,,5000,,,,,,9/19/2006,,UQ Seed Bank,"UQ, DB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0373,GAQLD.0373,Coronidium cymosum,Brisbane Botanic Gardens,Blackdown Tablelands NP at turn off to Mimosa Ck campsite ca 7.2km from rangers station,-23.797778,149.069444,,29662,,,,,,10/23/2008,,Greening Australia QLD,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.1087,BGQLD.1087,Brachyscome nodosa,Brisbane Botanic Gardens,,,,,1,,,,,,10/20/2017,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0996,BGQLD.0996,Picris burbidgeae,Brisbane Botanic Gardens,,,,,1,,,,,,11/24/2016,,Brisbane Botanic Gardens,"JH, ZL",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0137,UQLD.0137,Rhodanthe moschata,Brisbane Botanic Gardens,,,,,1,,,,,,10/13/2005,,UQ Seed Bank,DB,,,,,,,X-Ray: 100%,,,,,,,,,,,,,,,,,,
BGQLD.0228,BGQLD.0228,Cassinia subtropica,Brisbane Botanic Gardens,,,,,64879,,,,,,3/29/2006,,Brisbane Botanic Gardens,"PB, DB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0104,GAQLD.0104,Cassinia quinquefaria,Brisbane Botanic Gardens,,,,,2000,,,,,,,,Greening Australia QLD,,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0865,BGQLD.0865,Coronidium rupicola,Brisbane Botanic Gardens,Paluma Dam and road in,-18.956222,146.148639,,1,,,,,,11/11/2014,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0410,GAQLD.0410,Ozothamnus diosmifolius,Brisbane Botanic Gardens,Mt Coot-tha. Simpsons Falls Picnic Area,-27.468611,152.958333,,20000,,,,,,11/7/2008,,Greening Australia QLD,JH,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0605,BGQLD.0605,Ozothamnus diotophyllus,Brisbane Botanic Gardens,9km S Miles on Leichhardt Hwy towards Condamine,-26.738333,150.200694,,45960,,,,,,10/13/2007,,Brisbane Botanic Gardens,JH,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0897,BGQLD.0897,Rutidosis glandulosa,Brisbane Botanic Gardens,"Blackdown Tableland, Mimosa Ck Campsite",-23.793417,149.065972,,1,,,,,,11/18/2014,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0050,UQLD.0050,Pycnosorus chrysanthus,Brisbane Botanic Gardens,,,,,1,,,,,,12/8/2004,,UQ Seed Bank,UQ,,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0006,UQLD.0006,Leiocarpa brevicompta,Brisbane Botanic Gardens,,,,,1,,,,,,4/22/2004,,UQ Seed Bank,"UQ, Ho",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0039,UQLD.0039,Pterocaulon sphacelatum,Brisbane Botanic Gardens,,,,,1,,,,,,11/24/2004,,UQ Seed Bank,UQ,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0357,BGQLD.0357,Allopterigeron filifolius,Brisbane Botanic Gardens,,,,,5000,,,,,,11/2/2006,,Brisbane Botanic Gardens,"PB, JH",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0207,GAQLD.0207,Streptoglossa decurrens,Brisbane Botanic Gardens,,,,,20397,,,,,,10/20/2006,,Greening Australia QLD,TTD,,,,,,,,,,,,,,,,,,,,,,,,,
