taxon_name,scientificNameAuthorship,genus_APC,genus_Sjostrom,habit_to_use,lifespan_to_use,sex_type_to_use,fruit_to_use,original_name
Apium annuum,P.S.Short,Apium,Apium,1,NA,1,15,NA
Apium graveolens,L.,Apium,Apium,1,NA,1,15,NA
Apium insulare,P.S.Short,Apium,Apium,1,NA,1,15,NA
Apium prostratum,Vent.,Apium,Apium,1,NA,1,15,NA
Azorella fragosea,(F.Muell.) Druce,Azorella,Schizeilema,1,2,1,15,NA
Azorella macquariensis,Orchard,Azorella,Schizeilema,1,2,1,15,NA
Azorella polaris,(Hombr. & Jacquinot ex Hook.f.) G.M.Plunkett & A.N.Nicolas,Azorella,Schizeilema,1,2,1,15,NA
Azorella selago,Hook.f.,Azorella,Schizeilema,1,2,1,15,NA
Centella asiatica,(L.) Urb.,Centella,Centella,1,2,2,15,NA
Centella cordifolia,(Hook.f.) Nannf.,Centella,Centella,1,2,2,15,NA
Centella uniflora,(Colenso) Nannf.,Centella,Centella,1,2,2,15,NA
Chlaenosciadium gardneri,C.Norman,Chlaenosciadium,Chlaenosciadium,1,2,1,15,NA
Daucus carota,L.,Daucus,Daucus,1,1,1,15,NA
Daucus glochidiatus,"(Labill.) Fisch., C.A.Mey. & Ave-Lall.",Daucus,Daucus,1,1,1,15,NA
Dichosciadium ranunculaceum,(F.Muell.) Domin,Dichosciadium,Dichosciadium,1,2,1,15,NA
Diplaspis hydrocotyle,Hook.f.,Diplaspis,Diplaspis,1,2,1,15,NA
Diplaspis nivis,Van den Borre & Henwood,Diplaspis,Diplaspis,1,2,1,15,NA
Eryngium campestre,L.,Eryngium,Eryngium,1,2,1,15,NA
Eryngium expansum,F.Muell. ex Klatt,Eryngium,Eryngium,1,2,1,15,NA
Eryngium foetidum,L.,Eryngium,Eryngium,1,2,1,15,NA
Eryngium maritimum,L.,Eryngium,Eryngium,1,2,1,15,NA
Eryngium ovinum,A.Cunn.,Eryngium,Eryngium,1,2,1,15,NA
Eryngium paludosum,(C.Moore & Betche) P.W.Michael,Eryngium,Eryngium,1,2,1,15,NA
Eryngium pandanifolium,Cham. & Schltdl.,Eryngium,Eryngium,1,2,1,15,NA
Eryngium pinnatifidum,Bunge,Eryngium,Eryngium,1,2,1,15,NA
Eryngium plantagineum,F.Muell.,Eryngium,Eryngium,1,2,1,15,NA
Eryngium sp. Ferox (G.J.Keighery 16034),WA Herbarium,Eryngium,Eryngium,1,2,1,15,NA
Eryngium sp. Lake Muir (E.Wittwer 2293),WA Herbarium,Eryngium,Eryngium,1,2,1,15,NA
Eryngium sp. Subdecumbens (G.J.Keighery 5390),WA Herbarium,Eryngium,Eryngium,1,2,1,15,NA
Eryngium supinum,J.M.Black,Eryngium,Eryngium,1,2,1,15,NA
Eryngium vesiculosum,Labill.,Eryngium,Eryngium,1,2,1,15,NA
Gingidia algens,(F.Muell.) J.W.Dawson,Gingidia,Gingidia,1,2,7,15,NA
Gingidia harveyana,(F.Muell.) J.W.Dawson,Gingidia,Gingidia,1,2,7,15,NA
Homalosciadium homalocarpum,(F.Muell.) H.Eichler,Homalosciadium,Homalosciadium,1,1,1,15,NA
Lilaeopsis brisbanica,A.R.Bean,Lilaeopsis,Lilaeopsis,1,2,1,15,NA
Lilaeopsis polyantha,(Gand.) H.Eichler,Lilaeopsis,Lilaeopsis,1,2,1,15,NA
Lilaeopsis sp. West Coast (A.Moscal 5655),Tas. Herbarium,Lilaeopsis,Lilaeopsis,1,2,1,15,NA
Neosciadium glochidiatum,(Benth.) Domin,Neosciadium,Neosciadium,1,1,1,15,NA
Oenanthe javanica,DC.,Oenanthe,Oenanthe,1,2,2,15,NA
Oenanthe pimpinelloides,L.,Oenanthe,Oenanthe,1,2,2,15,NA
Oreomyrrhis argentea,(Hook.f.) Hook.f.,Oreomyrrhis,Oreomyrrhis,1,2,1,15,NA
Oreomyrrhis brevipes,Mathias & Constance,Oreomyrrhis,Oreomyrrhis,1,2,1,15,NA
Oreomyrrhis ciliata,Hook.f.,Oreomyrrhis,Oreomyrrhis,1,2,1,15,NA
Oreomyrrhis eriopoda,(DC.) Hook.f.,Oreomyrrhis,Oreomyrrhis,1,2,1,15,NA
Oreomyrrhis gunnii,Mathias & Constance,Oreomyrrhis,Oreomyrrhis,1,2,1,15,NA
Oreomyrrhis pulvinifica,F.Muell.,Oreomyrrhis,Oreomyrrhis,1,2,1,15,NA
Oreomyrrhis sessiliflora,Hook.f.,Oreomyrrhis,Oreomyrrhis,1,2,1,15,NA
Oschatzia cuneifolia,(F.Muell.) Drude,Oschatzia,Oschatzia,1,1,1,15,NA
Oschatzia saxifraga,(Hook.f.) Walp.,Oschatzia,Oschatzia,1,1,1,15,NA
Pentapeltis peltigera,(Hook.) Bunge,Pentapeltis,Pentapeltis,1,2,1,15,NA
Pentapeltis silvatica,(Diels) Domin,Pentapeltis,Pentapeltis,1,2,1,15,NA
Platysace cirrosa,Bunge,Platysace,Platysace,NA,2,1,15,NA
Platysace clelandii,(Maiden & Betche) L.A.S.Johnson,Platysace,Platysace,NA,2,1,15,NA
Platysace commutata,(Turcz.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace compressa,(Labill.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace deflexa,(Turcz.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace effusa,(Turcz.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace ericoides,(Sieber ex Spreng.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace filiformis,(Bunge) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace haplosciadia,(Benth.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace heterophylla,(Benth.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace juncea,(Bunge) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace lanceolata,(Labill.) Druce,Platysace,Platysace,NA,2,1,15,NA
Platysace linearifolia,(Cav.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace maxwellii,(F.Muell.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace pendula,(Benth.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace ramosissima,(Benth.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace saxatilis,Keighery,Platysace,Platysace,NA,2,1,15,NA
Platysace sp. Eneabba (R.Hnatiuk 770001),WA Herbarium,Platysace,Platysace,NA,2,1,15,NA
Platysace sp. Kalbarri (D. & B.Bellairs 1383),WA Herbarium,Platysace,Platysace,NA,2,1,15,NA
Platysace sp. Kennedy (P.G.Wilson 8450),WA Herbarium,Platysace,Platysace,NA,2,1,15,NA
Platysace sp. Mt Ninderry (P.R.Sharpe+ 2092),Qld Herbarium,Platysace,Platysace,NA,2,1,15,NA
Platysace sp. Stirling (J.M.Fox 88/262),WA Herbarium,Platysace,Platysace,NA,2,1,15,NA
Platysace sp. Watsonville (P.I.Forster PIF6259),Qld Herbarium,Platysace,Platysace,NA,2,1,15,NA
Platysace stephensonii,(Turcz.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace tenuissima,(Benth.) C.Norman,Platysace,Platysace,NA,2,1,15,NA
Platysace trachymenioides,F.Muell.,Platysace,Platysace,NA,2,1,15,NA
Platysace valida,(F.Muell.) F.Muell.,Platysace,Platysace,NA,2,1,15,NA
Platysace xerophila,(E.Pritz.) L.A.S.Johnson,Platysace,Platysace,NA,2,1,15,NA
Schoenolaena juncea,Bunge,Schoenolaena,Schoenolaena,1,2,1,15,NA
Xanthosia atkinsoniana,F.Muell.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia candida,(Benth.) Steud.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia ciliata,Hook.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia collina,Keighery,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia dissecta,Hook.f.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia eichleri,J.M.Hart & Henwood,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia fruticulosa,Benth.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia huegelii,(Benth.) Steud.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia kochii,(E.Pritz.) J.M.Hart & Henwood,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia leiophylla,F.Muell. ex Klatt,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia peduncularis,Benth.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia pilosa,Rudge,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia rotundifolia,DC.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia scopulicola,J.M.Hart & Henwood,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia singuliflora,F.Muell.,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia sp. Dardanup (B.J.Keighery & N.Gibson 174),WA Herbarium,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia stellata,J.M.Hart & Henwood,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia tasmanica,Domin,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia ternifolia,J.M.Hart & Henwood,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia tomentosa,A.S.George,Xanthosia,Xanthosia,NA,2,1,15,NA
Xanthosia tridentata,DC.,Xanthosia,Xanthosia,NA,2,1,15,NA
Astrotricha asperifolia,F.Muell. ex Klatt,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha biddulphiana,F.Muell.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha brachyandra,A.R.Bean,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha cordata,A.R.Bean,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha crassifolia,Blakely,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha floccosa,DC.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha glabra,Domin,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha hamptonii,F.Muell.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha intermedia,A.R.Bean,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha latifolia,Benth.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha ledifolia,DC.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha linearis,A.Cunn. ex Benth.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha longifolia,Benth.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha obovata,Makinson,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha parvifolia,N.A.Wakef.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha pauciflora,A.R.Bean,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha pterocarpa,Benth.,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Deua (R.O.Makinson 1647),NSW Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Howe Range (D.E.Albrecht 1054),Vic. Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Mount Boss (P.Gilmour 7907),NSW Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Mt Zero (V.Stajsic 4204),Vic. Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Quorrobolong (S.Lewer 40),NSW Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Suggan Buggan (J.Turner 211),Vic. Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Victoria Range (V.Stajsic 4207),Vic. Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Wallagaraugh (R.O.Makinson 1228),NSW Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Watchimbark (P.Gilmour 7938),NSW Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),Vic. Herbarium,Astrotricha,Astrotricha,2,2,1,10,NA
Astrotricha umbrosa,A.R.Bean,Astrotricha,Astrotricha,2,2,1,10,NA
Cephalaralia cephalobotrys,(F.Muell.) Harms,Cephalaralia,Cephalaralia,4,2,1,6,NA
Mackinlaya confusa,Hemsl.,Mackinlaya,Mackinlaya,2,2,NA,6,NA
Mackinlaya macrosciadea,(F.Muell.) F.Muell.,Mackinlaya,Mackinlaya,2,2,NA,6,NA
Motherwellia haplosciadea,F.Muell.,Motherwellia,Motherwellia,4,2,1,6,NA
Polyscias cissodendron,(C.Moore & F.Muell.) Harms,Polyscias,Polyscias,3,2,NA,6,NA
Polyscias fruticosa,(L.) Harms,Polyscias,Polyscias,3,2,NA,6,NA
Polyscias macgillivrayi,(Seem.) Harms,Polyscias,Polyscias,3,2,NA,6,NA
Polyscias purpurea,C.T.White,Polyscias,Polyscias,3,2,NA,6,NA
Polyscias sambucifolia,(Sieber ex DC.) Harms,Polyscias,Polyscias,3,2,NA,6,NA
Polyscias scutellaria,(Burm.f.) Fosberg,Polyscias,Polyscias,3,2,NA,6,NA
Polyscias sp. Douglas-Denison (R.Schahinger HO526133),Tas. Herbarium,Polyscias,Polyscias,3,2,NA,6,NA
Polyscias spectabilis,(Harms) Lowry & G.M.Plunkett,Polyscias,Polyscias,3,2,NA,6,NA
Polyscias zippeliana,(Miq.) Valeton,Polyscias,Polyscias,3,2,NA,6,NA
Pseudopanax gunnii,(Hook.f.) K.Koch,Pseudopanax,Pseudopanax,2,2,1,6,NA
Schefflera arboricola,(Hayata) Merr.,Schefflera,Schefflera,4,2,1,6,NA
Schefflera elliptica,(Blume) Harms,Schefflera,Schefflera,4,2,1,6,NA
Trachymene clivicola,Boyland & A.E.Holland,Trachymene,Uldinia,1,1,1,15,NA
Trachymene composita,(Domin) B.L.Burtt,Trachymene,Uldinia,1,1,1,15,NA
Trachymene gilleniae,(Tate) B.L.Burtt,Trachymene,Uldinia,1,1,1,15,NA
Trachymene glandulosa,(F.Muell.) Benth.,Trachymene,Uldinia,1,1,1,15,NA
Trachymene humilis,(Hook.f.) Benth.,Trachymene,Uldinia,1,1,1,15,NA
Trachymene incisa,Rudge,Trachymene,Uldinia,1,1,1,15,NA
Trachymene montana,A.E.Holland,Trachymene,Uldinia,1,1,1,15,NA
Trachymene ochracea,L.A.S.Johnson,Trachymene,Uldinia,1,1,1,15,NA
Trachymene procumbens,(F.Muell.) Benth.,Trachymene,Uldinia,1,1,1,15,NA
Trachymene sp. Hook Island (G.N.Batianoff+ 900938),Qld Herbarium,Trachymene,Uldinia,1,1,1,15,NA
Trachymene sp. Laura (A.R.Bean 1863),Qld Herbarium,Trachymene,Uldinia,1,1,1,15,NA
Trachymene sp. Sharp Point (J.R.Clarkson 2101),Qld Herbarium,Trachymene,Uldinia,1,1,1,15,NA
Trachymene sp. Temple Bay (J.R.Clarkson 2175),Qld Herbarium,Trachymene,Uldinia,1,1,1,15,NA
Trachymene sp. Theda (M.D.Barrett MDB1661),WA Herbarium,Trachymene,Uldinia,1,1,1,15,NA
Trachymene thysanocarpa,J.M.Hart,Trachymene,Uldinia,1,1,1,15,NA
Trachymene umbratica,J.M.Hart,Trachymene,Uldinia,1,1,1,15,NA
Auranticarpa melanosperma,"(F.Muell.) L.Cayzer, Crisp & I.Telford",Auranticarpa,Auranticarpa,3,2,7,3,NA
Auranticarpa resinosa,"(Domin) L.Cayzer, Crisp & I.Telford",Auranticarpa,Auranticarpa,3,2,7,3,NA
Auranticarpa rhombifolia,"(A.Cunn. ex Hook.) L.Cayzer, Crisp & I.Telford",Auranticarpa,Auranticarpa,3,2,7,3,NA
Bursaria calcicola,"L.Cayzer, Crisp & I.Telford",Bursaria,Bursaria,NA,2,NA,3,NA
Bursaria cayzerae,I.Telford & L.M.Copel.,Bursaria,Bursaria,NA,2,NA,3,NA
Bursaria incana,Lindl.,Bursaria,Bursaria,NA,2,NA,3,NA
Bursaria longisepala,Domin,Bursaria,Bursaria,NA,2,NA,3,NA
Bursaria occidentalis,E.M.Benn.,Bursaria,Bursaria,NA,2,NA,3,NA
Bursaria reevesii,"L.Cayzer, Crisp & I.Telford",Bursaria,Bursaria,NA,2,NA,3,NA
Cheiranthera alternifolia,E.M.Benn.,Cheiranthera,Cheiranthera,NA,2,1,3,NA
Cheiranthera brevifolia,F.Muell.,Cheiranthera,Cheiranthera,NA,2,1,3,NA
Cheiranthera linearis,A.Cunn. ex Lindl.,Cheiranthera,Cheiranthera,NA,2,1,3,NA
Cheiranthera parviflora,Benth.,Cheiranthera,Cheiranthera,NA,2,1,3,NA
Cheiranthera preissiana,Putt.,Cheiranthera,Cheiranthera,NA,2,1,3,NA
Cheiranthera simplicifolia,(E.M.Benn.) L.Cayzer & Crisp,Cheiranthera,Cheiranthera,NA,2,1,3,NA
Cheiranthera volubilis,Benth.,Cheiranthera,Cheiranthera,NA,2,1,3,NA
Rhytidosporum alpinum,McGill.,Rhytidosporum,Rhytidosporum,2,2,1,NA,NA
Rhytidosporum diosmoides,"(Putt.) L.Cayzer, Crisp & I.Telford",Rhytidosporum,Rhytidosporum,2,2,1,NA,NA
Rhytidosporum inconspicuum,"L.Cayzer, Crisp & I.Telford",Rhytidosporum,Rhytidosporum,2,2,1,NA,NA
Rhytidosporum procumbens,(Hook.) F.Muell.,Rhytidosporum,Rhytidosporum,2,2,1,NA,NA
Rhytidosporum prostratum,McGill.,Rhytidosporum,Rhytidosporum,2,2,1,NA,NA
Ilex aquifolium,L.,Ilex,Ilex,3,2,8,6,NA
Ilex arnhemensis,(F.Muell.) Loes.,Ilex,Ilex,3,2,8,6,NA
Ilex cassine,L.,Ilex,Ilex,3,2,8,6,NA
Ilex sp. Gadgarra (B.P.Hyland RFK 2011),Qld Herbarium,Ilex,Ilex,3,2,8,6,NA
Cardiopteris moluccana,Blume,Cardiopteris,Cardiopteris,4,2,1,10,NA
Quintinia sieberi,A.DC.,Quintinia,Quintinia,3,2,1,3,NA
Quintinia verdonii,F.Muell.,Quintinia,Quintinia,3,2,1,3,NA
Crispiloba disperma,(S.Moore) Steenis,Crispiloba,Crispiloba,2,2,1,2,NA
Wittsteinia vacciniacea,F.Muell.,Wittsteinia,Wittsteinia,2,2,1,2,NA
Argophyllum cryptophlebum,Zemann,Argophyllum,Argophyllum,NA,2,1,3,NA
Argophyllum lejourdanii,F.Muell.,Argophyllum,Argophyllum,NA,2,1,3,NA
Argophyllum nullumense,R.T.Baker,Argophyllum,Argophyllum,NA,2,1,3,NA
Argophyllum sp. Babinda (L.S.Smith 10213),Qld Herbarium,Argophyllum,Argophyllum,NA,2,1,3,NA
Argophyllum sp. Koolmoon Creek (B.Gray 1040),Qld Herbarium,Argophyllum,Argophyllum,NA,2,1,3,NA
Argophyllum verae,P.I.Forst.,Argophyllum,Argophyllum,NA,2,1,3,NA
Corokia carpodetoides,(F.Muell.) L.S.Sm.,Corokia,Corokia,2,2,1,6,NA
Corokia whiteana,L.S.Sm.,Corokia,Corokia,2,2,1,6,NA
Abrotanella forsteroides,(Hook.f.) Benth.,Abrotanella,Abrotanella,1,2,4,1,NA
Abrotanella nivigena,(F.Muell.) F.Muell.,Abrotanella,Abrotanella,1,2,4,1,NA
Abrotanella scapigera,(F.Muell.) Benth.,Abrotanella,Abrotanella,1,2,4,1,NA
Achnophora tatei,F.Muell.,Achnophora,Achnophora,1,2,1,1,NA
Acomis acoma,(F.Muell.) Druce,Acomis,Acomis,NA,NA,1,1,NA
Acomis bella,A.E.Holland,Acomis,Acomis,NA,NA,1,1,NA
Acomis kakadu,Paul G.Wilson,Acomis,Acomis,NA,NA,1,1,NA
Acomis macra,F.Muell.,Acomis,Acomis,NA,NA,1,1,NA
Actinobole condensatum,(A.Gray) P.S.Short,Actinobole,Actinobole,1,1,1,1,NA
Actinobole drummondianum,P.S.Short,Actinobole,Actinobole,1,1,1,1,NA
Actinobole oldfieldianum,P.S.Short,Actinobole,Actinobole,1,1,1,1,NA
Actinobole uliginosum,(A.Gray) H.Eichler,Actinobole,Actinobole,1,1,1,1,NA
Actites megalocarpus,(Hook.f.) Lander,Actites,Actites,1,2,1,1,NA
Adenostemma lavenia,(L.) Kuntze,Adenostemma,Adenostemma,1,1,1,1,NA
Adenostemma macrophyllum,(Blume) DC.,Adenostemma,Adenostemma,1,1,1,1,NA
Allopterigeron filifolius,(F.Muell.) Dunlop,Allopterigeron,Allopterigeron,1,1,3,1,NA
Ammobium alatum,R.Br.,Ammobium,Ammobium,1,2,1,1,NA
Ammobium craspedioides,Benth.,Ammobium,Ammobium,1,2,1,1,NA
Anemocarpa calcicola,Paul G.Wilson,Anemocarpa,Anemocarpa,1,2,1,1,NA
Anemocarpa podolepidium,(F.Muell.) Paul G.Wilson,Anemocarpa,Anemocarpa,1,2,1,1,NA
Anemocarpa saxatilis,(Paul G.Wilson) Paul G.Wilson,Anemocarpa,Anemocarpa,1,2,1,1,NA
Angianthus acrohyalinus,Morrison,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus brachypappus,F.Muell.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus conocephalus,(J.M.Black) P.S.Short,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus cornutus,P.S.Short,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus cunninghamii,(DC.) Benth.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus cyathifer,P.S.Short,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus drummondii,(Turcz.) Benth.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus glabratus,P.S.Short,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus globuliformis,M.Lyons & Keighery,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus halophilus,Keighery,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus microcephalus,(F.Muell.) Benth.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus micropodioides,(Benth.) Benth.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus milnei,Benth.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus newbeyi,P.S.Short,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus phyllocalymmeus,(F.Muell.) Druce,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus platycephalus,Benth.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus preissianus,(Steetz) Benth.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus prostratus,P.S.Short,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus pygmaeus,(A.Gray) Benth.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus tomentosus,J.C.Wendl.,Angianthus,Angianthus,NA,NA,1,1,NA
Angianthus uniflorus,P.S.Short,Angianthus,Angianthus,NA,NA,1,1,NA
Apalochlamys spectabilis,(Labill.) Steud.,Apalochlamys,Apalochlamys,1,1,1,1,NA
Argentipallium blandowskianum,(Steetz ex Sond.) Paul G.Wilson,Argentipallium,Argentipallium,1,2,1,1,NA
Argentipallium dealbatum,(Labill.) Paul G.Wilson,Argentipallium,Argentipallium,1,2,1,1,NA
Argentipallium niveum,(Steetz) Paul G.Wilson,Argentipallium,Argentipallium,1,2,1,1,NA
Argentipallium obtusifolium,(F.Muell. & Sond.) Paul G.Wilson,Argentipallium,Argentipallium,1,2,1,1,NA
Argentipallium tephrodes,(Turcz.) Paul G.Wilson,Argentipallium,Argentipallium,1,2,1,1,NA
Argyroglottis turbinata,Turcz.,Argyroglottis,Argyroglottis,2,2,1,1,NA
Arrhenechthites mixtus,(A.Rich.) Belcher,Arrhenechthites,Arrhenechthites,1,2,3,1,NA
Asteridea archeri,P.S.Short,Asteridea,Asteridea,1,1,3,1,NA
Asteridea asteroides,(Turcz.) Kroner,Asteridea,Asteridea,1,1,3,1,NA
Asteridea athrixioides,(Sond. & F.Muell. ex Sond.) Kroner,Asteridea,Asteridea,1,1,3,1,NA
Asteridea chaetopoda,(F.Muell.) Kroner,Asteridea,Asteridea,1,1,3,1,NA
Asteridea croniniana,(F.Muell.) Kroner,Asteridea,Asteridea,1,1,3,1,NA
Asteridea gracilis,A.Gray,Asteridea,Asteridea,1,1,3,1,NA
Asteridea morawana,P.S.Short,Asteridea,Asteridea,1,1,3,1,NA
Asteridea nivea,(Steetz) Kroner,Asteridea,Asteridea,1,1,3,1,NA
Asteridea pulverulenta,Lindl.,Asteridea,Asteridea,1,1,3,1,NA
Basedowia tenerrima,(F.Muell. & Tate) J.M.Black,Basedowia,Basedowia,1,1,3,1,NA
Bedfordia arborescens,Hochr.,Bedfordia,Bedfordia,3,2,1,1,NA
Bedfordia linearis,(Labill.) DC.,Bedfordia,Bedfordia,3,2,1,1,NA
Bedfordia salicina,(Labill.) DC.,Bedfordia,Bedfordia,3,2,1,1,NA
Bellida graminea,Ewart,Bellida,Bellida,1,1,1,1,NA
Blainvillea acmella,(L.) Philipson,Blainvillea,Blainvillea,2,2,3,1,NA
Blainvillea calcicola,Orchard,Blainvillea,Blainvillea,2,2,3,1,NA
Blainvillea gayana,Cass.,Blainvillea,Blainvillea,2,2,3,1,NA
Blennospora doliiformis,Keighery,Blennospora,Blennospora,1,1,1,1,NA
Blennospora drummondii,A.Gray,Blennospora,Blennospora,1,1,1,1,NA
Blennospora phlegmatocarpa,(Diels) P.S.Short,Blennospora,Blennospora,1,1,1,1,NA
