Sample,location,Soil,Species,Region,Planted,Tree height [m],Circumference [cm],BHD [cm],Leaf No.,"Celluloseext. durchführt Abt. 14C, Lars  09.2006  [d13C]","2. Celluloseext. durchführt Abt. 14C, Lars  09.2006  [d13C]",av delta C (29.78 per mille VPDB),av d13C,av d13C 1.Result,av d13C 2. Result,av C%,av C% 1.Result,av C% 2.Result, N (g/m2),N 1.Result,N 2.Result,Stemnumber,Leaf area (cm2),Leaf Area (m2),Leaf size [area/Leaf],Dry matter (g) ,Dry matter (kg),Specific Leaf Area (m2 kg),AVG,Comments
28,Coolgardie arboretum,clay,Eucalyptus kingsmillii,Coolgardie,1976,3.5,6,1.91,16,,,-25.854849,-26.104849,,,,53.12662125,53.169,3.9172878,1.019486547,1.0126,multi,102.8,0.01028,6.43,3.95,0.00395,2.602531646,,mallee form
29,Coolgardie arboretum,clay,Eucalyptus kingsmillii,Coolgardie,1976,3,5,1.59,12,,,-25.56909216,-25.81909216,,,,52.92860794,,3.934233059,0.957446098,,multi,137.5,0.01375,11.46,5.65,0.00565,2.433628319,,mallee form
30,Coolgardie arboretum,clay,Eucalyptus calastroides,Coolgardie,1976,5,9,2.86,20,,,-25.17309716,-25.42309716,,,,53.22200394,,3.314610984,1.214212418,,multi,70.7,0.00707,3.54,1.93,0.00193,3.663212435,,
31,Coolgardie arboretum,clay,Eucalyptus calastroides,Coolgardie,1976,5,7,2.23,17,,,-24.08599289,-24.33599289,-24.3816784,-24.29030738,,52.63202667,52.56906509,6.208967466,1.111415863,1.102346778,multi,83.2,0.00832,4.89,4.648,0.004648,1.790017212,,
32,Coolgardie arboretum,clay,Eucalyptus calastroides,Coolgardie,1976,5,7,2.23,20,,,-24.27419188,-24.52419188,,,,53.30964279,,3.73035733,1.123394966,,multi,78.6,0.00786,3.93,2.61,0.00261,3.011494253,,
33,Coolgardie arboretum,clay,Eucalyptus calastroides,Coolgardie,1976,5,8,2.55,22,,,-24.45814825,-24.70814825,,,,53.34718704,,3.500585826,0.98949194,,multi,94.41,0.009441,4.29,3.34,0.00334,2.826646707,,
34,Coolgardie arboretum,clay,Eucalyptus ravida,Coolgardie,1976,6,9,2.86,16,,,-22.82261226,-23.07261226,,,,52.7581749,,4.598316521,1.123084068,,1,51.29,0.005129,3.21,2.1,0.0021,2.442380952,,
35,Coolgardie arboretum,clay,Eucalyptus ravida,Coolgardie,1976,7,10,3.18,16,,,-22.93421924,-23.18421924,-23.13641527,-23.23202321,,52.35704422,,4.347783765,1.20092237,,1,64.8,0.00648,4.05,2.346,0.002346,2.762148338,,
36,Coolgardie arboretum,clay,Eucalyptus ravida,Coolgardie,1976,6,12,3.82,19,,,-23.76436276,-24.01436276,,,,52.81222916,52.77634811,4.114236259,0.973348141,0.967202544,multi,83.3,0.00833,4.38,3.521,0.003521,2.365805169,,
37,Coolgardie arboretum,clay,Eucalyptus ravida,Coolgardie,1976,11,17,5.41,15,,,-24.36297953,-24.61297953,,,,50.9656601,,6.486751226,1.144904494,,1,80.66,0.008066,5.38,4.57,0.00457,1.764989059,,
38,Coolgardie arboretum,clay,Eucalyptus transcontinentalis,Coolgardie,1975,6,11,3.5,21,,,-25.5231117,-25.7731117,,,,52.72134781,52.63604355,2.734163218,1.202848315,1.192343473,1,131.1,0.01311,6.24,2.98,0.00298,4.399328859,,
39,Coolgardie arboretum,clay,Eucalyptus transcontinentalis,Coolgardie,1975,10,18,5.73,19,,,-26.91237541,-27.16237541,,,,53.85374451,,4.652653999,1.396974087,,1,118.6,0.01186,6.24,3.95,0.00395,3.002531646,,
40,Coolgardie arboretum,clay,Eucalyptus transcontinentalis,Coolgardie,1975,12,18,5.73,15,,,-25.82664053,-26.07664053,-26.09943776,-26.05384329,,52.67159271,,4.739775136,1.333263278,,2,165.4,0.01654,11.03,5.88,0.00588,2.81292517,,
41,Coolgardie arboretum,clay,Eucalyptus transcontinentalis,Coolgardie,1975,12,23,7.32,20,-21.64738465,,,,,,,52.4111824,,4.313368816,1.157611489,,1,181.96,0.018196,9.1,6.78,0.00678,2.683775811,,
42,Coolgardie arboretum,clay,Eucalyptus lesouefii,Coolgardie,1979,9,20,6.37,9,,,-24.62255829,-24.87255829,,,,50.71216583,,4.652063721,1.032473326,,1,130.5,0.01305,14.5,5.88,0.00588,2.219387755,,
43,Coolgardie arboretum,clay,Eucalyptus lesouefii,Coolgardie,1979,9,16,5.09,13,,,-27.07761622,-27.32761622,,,,51.41413116,,3.758769076,0.936154604,,1,211.7,0.02117,16.28,8.5,0.0085,2.490588235,,
44,Coolgardie arboretum,clay,Eucalyptus lesouefii,Coolgardie,1979,9,13,4.14,12,,,-26.64814279,-26.89814279,,,,51.74433517,51.33382797,3.576341902,0.930332184,0.933627665,1,154,0.0154,12.83,5.92,0.00592,2.601351351,,
45,Coolgardie arboretum,clay,Eucalyptus lesouefii,Coolgardie,1979,8,16,5.09,14,,,-25.01898701,-25.26898701,-25.35739163,-25.18058239,,52.73909378,,4.743909313,0.967209399,,1,204.7,0.02047,14.62,10.04,0.01004,2.038844622,,
46,Coolgardie arboretum,clay,Eucalyptus ewartiana,Coolgardie,1979,4,5,1.59,12,,,-26.58124375,-26.83124375,,,,52.02982712,,2.976529228,1.162204981,,multi,188.2,0.01882,9.85,4.82,0.00482,3.904564315,,mallee form
47,Coolgardie arboretum,clay,Eucalyptus ewartiana,Coolgardie,1979,4,5,1.59,15,,,-26.18635876,-26.43635876,,,,51.69623947,,4.793091109,1.194468737,,multi,109.9,0.01099,7.33,4.41,0.00441,2.492063492,,mallee form
48,Coolgardie arboretum,clay,Eucalyptus ewartiana,Coolgardie,1979,4,7,2.23,16,,,-26.79332627,-27.04332627,,,,53.23492432,,4.055661563,1.230948091,,multi,112.3,0.01123,7.02,3.7,0.0037,3.035135135,,mallee form
49,Coolgardie arboretum,clay,Eucalyptus ewartiana,Coolgardie,1979,6,10,3.18,14,,,-28.66741834,-28.91741834,-28.82835397,-29.00648271,,53.16123199,53.18239212,3.76182921,1.179883838,1.178068399,multi,186.4,0.01864,13.31,5.943,0.005943,3.136463066,,mallee form
50,Coolgardie arboretum,clay,Eucalyptus straticalyx,Coolgardie,1982,4,8,2.55,14,,,-24.75320741,-25.00320741,,,,48.36665344,,3.585936781,1.015798092,,multi,155.8,0.01558,11.13,5.5,0.0055,2.832727273,,mallee form
51,Coolgardie arboretum,clay,Eucalyptus straticalyx,Coolgardie,1982,4,8,2.55,13,,,-23.54344899,-23.79344899,,,,47.57696152,,4.330299125,0.985309601,,multi,147.9,0.01479,11.38,6.5,0.0065,2.275384615,,mallee form
52,Coolgardie arboretum,clay,Eucalyptus straticalyx,Coolgardie,1982,4,8,2.55,15,,,-25.70975236,-25.95975236,,,,49.04964828,48.97529984,3.518843641,0.904065132,0.904338539,multi,198.6,0.01986,13.24,7.73,0.00773,2.569210867,,mallee form
53,Coolgardie arboretum,clay,Eucalyptus straticalyx,Coolgardie,1982,4,5,1.59,17,,,-24.3799934,-24.6299934,-24.62168058,-24.63830622,,48.62088776,,3.772890608,0.914503634,,multi,162.4,0.01624,9.55,6.7,0.0067,2.423880597,,mallee form
54,Coolgardie arboretum,clay,Eucalyptus yilgarnensis,Coolgardie,1974,8,20,6.37,21,,,-24.83185933,-25.08185933,,,,50.20212555,,4.021431376,1.403329372,,2,84.1,0.00841,4,2.41,0.00241,3.489626556,,
55,Coolgardie arboretum,clay,Eucalyptus yilgarnensis,Coolgardie,1974,7,17,5.41,18,,,-24.12384139,-24.37384139,-23.8858964,-24.86178639,,51.19876099,51.09915161,5.344679391,1.723254204,1.713567734,1,53.2,0.00532,2.96,1.65,0.00165,3.224242424,,
56,Coolgardie arboretum,clay,Eucalyptus yilgarnensis,Coolgardie,1974,6,12,3.82,20,-19.91181188,,-23.16385661,-23.41385661,,,,51.17945099,,3.400088818,1.27789855,,2,66.9,0.00669,3.35,1.78,0.00178,3.758426966,,
57,Coolgardie arboretum,clay,Eucalyptus yilgarnensis,Coolgardie,1974,5,10,3.18,16,,,-23.281366,-23.531366,,,,51.62524796,,4.131397547,1.580259562,,1,45.9,0.00459,2.87,1.2,0.0012,3.825,,
58,Nr. Coolgardie arboretum,sand,Eucalyptus leptopoda,Coolgardie,bush,9,17,5.41,17,,,-27.05907427,-27.30907427,-27.32059352,-27.29755503,,49.80353928,49.65924072,5.819799818,1.681017876,1.697903633,multi,72.5,0.00725,4.26,2.51,0.00251,2.888446215,,mallee form
59,Nr. Coolgardie arboretum,sand,Eucalyptus leptopoda,Coolgardie,bush,6,10,3.18,19,,,-26.15583759,-26.40583759,,,,50.24272537,,4.969848673,1.370830297,,multi,58.2,0.00582,3.06,2.11,0.00211,2.758293839,,mallee form
60,Nr. Coolgardie arboretum,sand,Eucalyptus leptopoda,Coolgardie,bush,5,9,2.86,17,,,-25.03793067,-25.28793067,,,,50.34472275,,4.845750268,1.435872316,,multi,56.3,0.00563,3.31,1.9,0.0019,2.963157895,,mallee form
61,Nr. Coolgardie arboretum,sand,Eucalyptus leptopoda,Coolgardie,bush,6,10,3.18,19,,,-27.37865433,-27.62865433,,,,51.0747757,,4.771918425,1.642604589,,multi,86.4,0.00864,4.55,2.51,0.00251,3.442231076,,mallee form
62,Kalgoorlie arboretum,clay,Eucalyptus lesouefii,Kalgoorlie,1974,8,19,6.05,13,,,-25.43671464,-25.68671464,-25.69348184,-25.67994743,,52.15235519,,4.041755216,1.055389166,,1,139.7,0.01397,10.75,5.35,0.00535,2.611214953,,
63,Kalgoorlie arboretum,clay,Eucalyptus lesouefii,Kalgoorlie,1974,8,16,5.09,19,,,-24.78513001,-25.03513001,,,,50.82312012,,4.104896735,1.097927094,,1,144.7,0.01447,7.62,5.41,0.00541,2.674676525,,
64,Kalgoorlie arboretum,clay,Eucalyptus lesouefii,Kalgoorlie,1974,5,12,3.82,15,,,-25.14219075,-25.39219075,,,,52.08040237,52.50888062,4.051353073,1.012378931,1.036548018,1,110.2,0.01102,7.35,4.41,0.00441,2.498866213,,
65,Kalgoorlie arboretum,clay,Eucalyptus lesouefii,Kalgoorlie,1974,8,17,5.41,21,,,-24.79213357,-25.04213357,,,,51.20624161,,4.156876776,1.08335042,,1,152.2,0.01522,7.25,5.84,0.00584,2.606164384,,
66,Kalgoorlie arboretum,clay,Eucalyptus yilgarnensis,Kalgoorlie,1974,5.5,12,3.82,17,,,-23.12274304,-23.37274304,,,,50.85639954,,2.896570251,1.336159825,,multi,57.2,0.00572,3.36,1.24,0.00124,4.612903226,,mallee form
67,Kalgoorlie arboretum,clay,Eucalyptus yilgarnensis,Kalgoorlie,1974,5.5,10,3.18,23,,,-22.31499104,-22.56499104,-22.59508766,-22.53489442,,50.92724228,,3.770032033,1.304550767,,multi,65.4,0.00654,2.84,1.89,0.00189,3.46031746,,mallee form
68,Kalgoorlie arboretum,clay,Eucalyptus yilgarnensis,Kalgoorlie,1974,5.5,13,4.14,20,,,-23.20757891,-23.45757891,,,,50.55344391,,1.700108666,1.405057549,,multi,128.1,0.01281,6.41,1.55,0.00155,8.264516129,,"mallee form, burnt leaf tips"
69,Kalgoorlie arboretum,clay,Eucalyptus yilgarnensis,Kalgoorlie,1974,5.5,15,4.77,29,,,-23.93640039,-24.18640039,,,,50.7820282,50.89195633,4.659110833,1.715959311,1.722428441,multi,97.6,0.00976,3.37,2.65,0.00265,3.683018868,,"mallee form, burnt leaf tips"
70,Kalgoorlie arboretum,clay,Eucalyptus ewartiana,Kalgoorlie,1975,2,5,1.59,16,,,-27.14717479,-27.39717479,,,,53.60995102,,4.486399139,1.147214174,,multi,73.9,0.00739,4.62,2.89,0.00289,2.557093426,,mallee form
71,Kalgoorlie arboretum,clay,Eucalyptus ewartiana,Kalgoorlie,1975,2,5,1.59,25,-25.92997454,,-28.01559345,-28.26559345,,,,52.8311615,,3.473663363,1.001117587,,multi,153.9,0.01539,6.16,5.34,0.00534,2.882022472,,mallee form
72,Kalgoorlie arboretum,clay,Eucalyptus ewartiana,Kalgoorlie,1975,3,5,1.59,12,,,-25.3087631,-25.5587631,-25.54660011,-25.57092609,,52.77839279,52.81486511,5.368086203,1.254971504,1.298796535,multi,103.8,0.01038,8.65,4.44,0.00444,2.337837838,,mallee form
73,Kalgoorlie arboretum,clay,Eucalyptus ewartiana,Kalgoorlie,1975,2,5,1.59,23,,,-26.47852651,-26.72852651,,,,53.5226593,,3.963559269,1.020094991,,multi,146.7,0.01467,6.38,5.7,0.0057,2.573684211,,mallee form
74,Kalgoorlie arboretum,clay,Eucalyptus transcontinentalis,Kalgoorlie,1975,12,17,5.41,16,,,-24.62111223,-24.87111223,,,,53.06444931,,4.277353122,1.337438226,,2,152.9,0.01529,9.56,4.89,0.00489,3.126789366,,
75,Kalgoorlie arboretum,clay,Eucalyptus transcontinentalis,Kalgoorlie,1975,6,16,5.09,18,,,-25.9373321,-26.1873321,-26.21440245,-26.16026175,,52.19565201,52.54437256,4.685916076,1.257443666,1.284162641,1,111.9,0.01119,6.22,4.17,0.00417,2.683453237,,
76,Kalgoorlie arboretum,clay,Eucalyptus transcontinentalis,Kalgoorlie,1975,7,16,5.09,17,,,-24.53284158,-24.78284158,,,,51.83726501,,4.685995351,1.288862109,,1,151,0.0151,8.88,5.49,0.00549,2.750455373,,
77,Kalgoorlie arboretum,clay,Eucalyptus transcontinentalis,Kalgoorlie,1975,8,19,6.05,17,,,-25.38788038,-25.63788038,,,,51.9035759,,4.375559024,1.268746376,,2,153.1,0.01531,9.01,5.28,0.00528,2.899621212,,
78,Kalgoorlie arboretum,clay,oldfieldii,Kalgoorlie,1974,6,10,3.18,13,,,-25.8295319,-26.0795319,,,,50.806995,,5.123874406,1.2193,1.325550437,3,147.3,0.01473,11.33,6.19,0.00619,2.379644588,,mallee form
79,Kalgoorlie arboretum,clay,oldfieldii,Kalgoorlie,1974,5,8,2.55,20,,,-26.33879012,-26.58879012,-26.67501624,-26.502564,,50.77711868,50.588541,5.212079534,1.236032128,1.241,multi,143,0.0143,7.15,6.03,0.00603,2.371475954,,"malle form, 2main stems"
80,Kalgoorlie arboretum,clay,Eucalyptus ravida,Kalgoorlie,1955-60,10,18,5.73,21,,,-24.61750997,-24.86750997,,,,52.65747452,,3.382571632,1.040992975,,2,119.1,0.01191,5.67,3.87,0.00387,3.07751938,,
81,Kalgoorlie arboretum,clay,Eucalyptus ravida,Kalgoorlie,1955-60,10,17,5.41,21,,,-23.84844698,-24.09844698,,,,51.72769547,,4.125805069,1.253945589,,1,100.6,0.01006,4.79,3.31,0.00331,3.039274924,,
82,Kalgoorlie arboretum,clay,Eucalyptus ravida,Kalgoorlie,1955-60,8,14,4.46,21,,,-25.7343884,-25.9843884,,,,50.98993683,51.21281433,3.7477126,1.122028589,1.169210076,1,147.3,0.01473,7.01,4.92,0.00492,2.993902439,,
83,Kalgoorlie arboretum,clay,Eucalyptus ravida,Kalgoorlie,1955-60,9,24,7.64,24,,,-23.45953618,-23.70953618,,,,51.74800491,,3.53246938,1.06509304,,1,139.3,0.01393,5.8,4.62,0.00462,3.015151515,,
84,Kalgoorlie arboretum,clay,Eucalyptus loxophleba,Kalgoorlie,1955-60,11,30,9.55,20,,,-24.81371814,-25.06371814,-25.10519599,-25.02224029,,49.93666077,,3.149131926,1.204913259,,1,187.1,0.01871,9.36,4.89,0.00489,3.826175869,,
85,Kalgoorlie arboretum,clay,Eucalyptus loxophleba,Kalgoorlie,1955-60,11,34,10.82,19,,,-25.73288868,-25.98288868,,,,48.49044037,48.385781,3.788596825,1.107697368,1.1051413,1,130.4,0.01304,6.86,4.46,0.00446,2.923766816,,
86,Kalgoorlie arboretum,clay,Eucalyptus loxophleba,Kalgoorlie,1955-60,11,26,8.28,18,-22.36564835,-22.19087986,-25.38166479,-25.63166479,,,,48.28171921,,2.677467095,1.096043348,,1,153.1,0.01531,8.51,3.74,0.00374,4.093582888,,
87,Kalgoorlie arboretum,clay,Eucalyptus capillosa,Kalgoorlie,1955-60,9,21,6.68,18,,,-25.55199897,-25.80199897,,,,52.54535675,52.68934631,3.129511109,1.307798147,1.297244787,1,170.5,0.01705,9.47,4.08,0.00408,4.178921569,,
88,Kalgoorlie arboretum,clay,Eucalyptus capillosa,Kalgoorlie,1955-60,9,20,6.37,22,,,-25.69030543,-25.94030543,-25.94725835,-25.9333525,,53.18040085,,4.179001124,1.317275405,,1,155.4,0.01554,7.06,4.93,0.00493,3.152129817,,
89,Kalgoorlie arboretum,clay,Eucalyptus capillosa,Kalgoorlie,1955-60,8,14,4.46,17,,,-23.99191397,-24.24191397,,,,53.50187683,,3.142814316,0.991999149,,1,256.3,0.02563,15.08,8.12,0.00812,3.156403941,,
90,Kalgoorlie arboretum,clay,Eucalyptus capillosa,Kalgoorlie,1955-60,7,12,3.82,18,,,-23.69419938,-23.94419938,,,,52.59270859,,3.516490118,1.224342346,,2,219,0.0219,12.17,6.29,0.00629,3.481717011,,
91,Kalgoorlie arboretum,clay,Eucalyptus intertexta,Kalgoorlie,1955-60,7,12,3.82,21,,,-26.05434667,-26.30434667,-26.32035767,-26.28833567,,49.31015015,,3.590865599,1.591173172,,1,170.6,0.01706,8.12,3.85,0.00385,4.431168831,,
92,Kalgoorlie arboretum,clay,Eucalyptus intertexta,Kalgoorlie,1955-60,12,26,8.28,20,,,-25.74617656,-25.99617656,,,,48.73743057,48.76642609,4.390795265,1.581510305,1.584779024,1,268.7,0.02687,13.44,7.46,0.00746,3.601876676,,leaf tip burn
93,Nr. Kalgoorlie arboretum,clay,Eucalyptus celastroides,Kalgoorlie,bush,4.5,5,1.59,19,,,-25.92656762,-26.17656762,,,,52.44665146,,3.041999817,0.94206661,,multi,108.7,0.01087,5.72,3.51,0.00351,3.096866097,,mallee form
94,Nr. Kalgoorlie arboretum,clay,Eucalyptus celastroides,Kalgoorlie,bush,6,8.5,2.71,18,,,-25.80015391,-26.05015391,,,,50.34778595,,3.533642359,1.151110768,,multi,86,0.0086,4.78,2.64,0.00264,3.257575758,,mallee form
95,Nr. Kalgoorlie arboretum,clay,Eucalyptus celastroides,Kalgoorlie,bush,6,7,2.23,21,,,-25.30758324,-25.55758324,-26.10256894,-25.01259754,,55.30960464,,3.185296981,1.122910142,,multi,181.2,0.01812,8.63,5.14,0.00514,3.525291829,,mallee form
96,Nr. Kalgoorlie arboretum,clay,Eucalyptus celastroides,Kalgoorlie,bush,4,5,1.59,22,,,-26.81597292,-27.06597292,,,,51.58410645,51.68936157,3.723361524,1.175917625,1.173307776,multi,155.7,0.01557,7.08,4.93,0.00493,3.15821501,,mallee form
