sort,Species,StrataBinary,Site,Lat_decimal,Long_decimal,SeedDM,seed_mass_to_use,study_with_seed_mass_duplicate,StemDensity,StemDensity_to_use,study_duplicated_for_wood_density,LA,LtLeaf,LMA,LDM,LSleaf,LSS,LSD,HeightM,HeightPlant,L1Lflt2,nLsample,LVleaf,LFrLeaf,LDrLeaf,LH20Leaf,LDV,LLV,LFV,LLA,LFA,SLA,LWC,Lasample,LVsample,LFrWtSample,LDryWtSample,LH20WtSample,LSg,Stem water displacement,Stem dry wt,Diam,UniqueID,LeafID,PlantID,SpTrees,SpID,AngioNon,Notes,Location,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,cotsExp,cotsEH,cotsFR,LEE,omit,description
14,Acronychia vestita,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,123.8,0.2,79.15964125,0.3119,NA,NA,NA,NA,NA,1,NA,2.476,NA,NA,NA,0.395798206,NA,NA,NA,NA,12.6327,0.6881,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242,acrvesAjk2,acrvesAjk2,Acronychia_vestita,Ave,0,NA,JK11,T,25,2,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,3,Kanowski,"Tully Falls Rd, near TF"
74,Aleurites rockinghamensis,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,NA,0.24,85.66631258,0.2968,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.356942969,NA,NA,NA,NA,11.6732,0.7032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1272,alerocAjk1,alerocAjk1,Aleurites_rockinghamensis,Aro,0,NA,JK11,C,33,2,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,1,1,1,4,Kanowski,"Tully Falls Rd, near TF"
116,Alphitonia whitei,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,83.6,NA,119.8566514,0.3942,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3433,0.6058,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303,alpwhiAjk6,alpwhiAjk6,Alphitonia_whitei,Awh,0,NA,JK11,T,27,2,6,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,1.8,Kanowski,"Tully Falls Rd, near TF"
480,Castanospermum australe,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,29.6,0.21336,83.10824849,0.4086,NA,NA,NA,NA,NA,2,NA,0.6315456,NA,NA,NA,0.389521225,NA,NA,NA,NA,12.0325,0.5914,NA,NA,NA,NA,NA,NA,NA,NA,NA,1471,casausAjk1,casausAjk1,Castanospermum_australe,Cas,0,NA,JK11,C,40,3,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,CHr,Nonflying,CHR,0,0,0,2.05,Kanowski,"Tully Falls Rd, near TF"
502,Castanospora alphandii,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,43.8,0.25146,110.0461093,0.417,NA,NA,NA,NA,NA,2,NA,1.1013948,NA,NA,NA,0.437628686,NA,NA,NA,NA,9.0871,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,1480,casalpAjk1,casalpAjk1,Castanospora_alphandii,Cal,0,NA,JK11,C,33,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.08,Kanowski,"Tully Falls Rd, near TF"
503,Castanospora alphandii,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,28.6,0.24638,116.0833478,0.4036,NA,NA,NA,NA,NA,2,NA,0.7046468,NA,NA,NA,0.471155726,NA,NA,NA,NA,8.6145,0.5964,NA,NA,NA,NA,NA,NA,NA,NA,NA,1481,casalpAjk2,casalpAjk2,Castanospora_alphandii,Cal,0,NA,JK11,C,33,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.08,Kanowski,"Tully Falls Rd, near TF"
975,Elaeocarpus grandis,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,31.6,0.23876,114.5567228,0.432,NA,NA,NA,NA,NA,1,NA,0.7544816,NA,NA,NA,0.479798638,NA,NA,NA,NA,8.7293,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,1723,elagraAjk4,elagraAjk4,Elaeocarpus_grandis,Egr,0,NA,JK11,C,38,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,2.55,Kanowski,"Tully Falls Rd, near TF"
1060,Endiandra palmerstonii,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,21.8,0.2794,152.2927676,0.5061,NA,NA,NA,NA,NA,1,NA,0.609092,NA,NA,NA,0.54507075,NA,NA,NA,NA,6.5663,0.4939,NA,NA,NA,NA,NA,NA,NA,NA,NA,1774,endpalAjk4,endpalAjk4,Endiandra_palmerstonii,Epa,0,NA,JK11,C,37,4,7,Beetles,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,0,0,0,1.2,Kanowski,"Tully Falls Rd, near TF"
1257,Flindersia brayleyana,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,53.8,0.38608,155.3904963,0.4043,NA,NA,NA,NA,NA,2,NA,2.0771104,NA,NA,NA,0.402482637,NA,NA,NA,NA,6.4354,0.5957,NA,NA,NA,NA,NA,NA,NA,NA,NA,1888,flibraAjk2,flibraAjk2,Flindersia_brayleyana,Fbr,0,NA,JK11,C,42,1,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,2.72,Kanowski,"Tully Falls Rd, near TF"
1575,Litsea leefeana,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,47.8,0.27,121.7567058,0.4834,NA,NA,NA,NA,NA,1,NA,1.2906,NA,NA,NA,0.450950762,NA,NA,NA,NA,8.2131,0.5166,NA,NA,NA,NA,NA,NA,NA,NA,NA,2054,litleeAjk8,litleeAjk8,Litsea_leefeana,Lle,0,NA,JK11,C,36,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.6,Kanowski,"Tully Falls Rd, near TF"
1939,Polyscias elegans,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,36.6,0.2194,119.6716211,0.3644,NA,NA,NA,NA,NA,2,NA,0.803004,NA,NA,NA,0.545449504,NA,NA,NA,NA,8.3562,0.6356,NA,NA,NA,NA,NA,NA,NA,NA,NA,2209,poleleAjk3,poleleAjk3,Polyscias_elegans,Pel,0,NA,JK11,T,26,1,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,4.18,Kanowski,"Tully Falls Rd, near TF"
2290,Symplocos cochinchinensis var. pilosiuscula,Stratum_2_adult_plant,Kanowski JK11,-17.75847,145.54569,NA,NA,NA,NA,NA,NA,32,0.26416,110.00011,0.3793,NA,NA,NA,NA,NA,1,NA,0.845312,NA,NA,NA,0.416414711,NA,NA,NA,NA,9.0909,0.6207,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,symcocAjk1,symcocAjk1,Symplocos_cochinchinensis,Scc,0,NA,JK11,T,21,2,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,1.89,Kanowski,"Tully Falls Rd, near TF"
467,Carnarvonia araliifolia var. araliifolia,Stratum_2_adult_plant,Kanowski JK7,-17.68914,145.50649,NA,NA,NA,NA,NA,NA,48,0.3068,132.1126128,0.3841,NA,NA,NA,NA,NA,2,NA,1.47264,NA,NA,NA,0.430614774,NA,NA,NA,NA,7.5693,0.6159,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,cararaAjk2,cararaAjk2,Carnarvonia_araliifolia,Car,0,NA,JK7,C,34,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.35,Kanowski,Arthur Baillie Rd
621,Cryptocarya angulata,Stratum_2_adult_plant,Kanowski JK7,-17.68914,145.50649,NA,NA,NA,NA,NA,NA,25.6,0.36068,170.3113291,0.5154,NA,NA,NA,NA,NA,1,NA,0.9233408,NA,NA,NA,0.472195101,NA,NA,NA,NA,5.8716,0.4846,NA,NA,NA,NA,NA,NA,NA,NA,NA,1535,cryangAjk1,cryangAjk1,Cryptocarya_angulata,Can,0,NA,JK7,C,32,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.3,Kanowski,Arthur Baillie Rd
773,Darlingia darlingiana,Stratum_2_adult_plant,Kanowski JK7,-17.68914,145.50649,NA,NA,NA,NA,NA,NA,71.2,0.33814,182.0233718,0.4739,NA,NA,NA,NA,NA,1,NA,2.4075568,NA,NA,NA,0.538307718,NA,NA,NA,NA,5.4938,0.5261,NA,NA,NA,NA,NA,NA,NA,NA,NA,1614,dardarAjk1,dardarAjk1,Darlingia_darlingiana,Dda,0,NA,JK7,C,38,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.6,Kanowski,Arthur Baillie Rd
1244,Flindersia bourjotiana,Stratum_2_adult_plant,Kanowski JK7,-17.68914,145.50649,NA,NA,NA,NA,NA,NA,23.6,0.42,179.662235,0.4008,NA,NA,NA,NA,NA,2,NA,0.9912,NA,NA,NA,0.427767226,NA,NA,NA,NA,5.566,0.5992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876,flibouAjk7,flibouAjk7,Flindersia_bourjotiana,Fbo,0,NA,JK7,C,38,2,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.86,Kanowski,Arthur Baillie Rd
1911,Polyscias australiana,Stratum_2_adult_plant,Kanowski JK7,-17.68914,145.50649,NA,NA,NA,NA,NA,NA,60,0.1916,58.9998348,0.2796,NA,NA,NA,NA,NA,2,NA,1.1496,NA,NA,NA,0.307932332,NA,NA,NA,NA,16.9492,0.7204,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195,polausAjk1,polausAjk1,Polyscias_australiana,Pan,0,NA,JK7,S,18,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.37,Kanowski,Arthur Baillie Rd
442,Cardwellia sublimis,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,71.4,0.25908,125.2097263,0.4023,NA,NA,NA,NA,NA,2,NA,1.8498312,NA,NA,NA,0.483285959,NA,NA,NA,NA,7.9866,0.5977,NA,NA,NA,NA,NA,NA,NA,NA,NA,1446,carsubAjk2,carsubAjk2,Cardwellia_sublimis,Csu,0,NA,JK3,C,41,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.92,Kanowski,Tully Falls Rd: Smiths
710,Cryptocarya oblata,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,50.6,0.2556,127.6682668,0.3886,NA,NA,NA,NA,NA,1,NA,1.293336,NA,NA,NA,0.499484612,NA,NA,NA,NA,7.8328,0.6114,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584,cryoblAjk1,cryoblAjk1,Cryptocarya_oblata,Cob,0,NA,JK3,C,32,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.46,Kanowski,Tully Falls Rd: Smiths
711,Cryptocarya oblata,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,45.2,0.31242,109.2920064,0.3665,NA,NA,NA,NA,NA,1,NA,1.4121384,NA,NA,NA,0.349823975,NA,NA,NA,NA,9.1498,0.6335,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585,cryoblAjk2,cryoblAjk2,Cryptocarya_oblata,Cob,0,NA,JK3,C,32,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.46,Kanowski,Tully Falls Rd: Smiths
977,Elaeocarpus grandis,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,39,0.2413,108.2052003,0.3951,NA,NA,NA,NA,NA,1,NA,0.94107,NA,NA,NA,0.448426027,NA,NA,NA,NA,9.2417,0.6049,NA,NA,NA,NA,NA,NA,NA,NA,NA,1720,elagraAjk1,elagraAjk1,Elaeocarpus_grandis,Egr,0,NA,JK3,C,38,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,2.55,Kanowski,Tully Falls Rd: Smiths
1048,Endiandra montana,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,43.4,0.30988,161.7520987,0.4722,NA,NA,NA,NA,NA,1,NA,1.3448792,NA,NA,NA,0.521983021,NA,NA,NA,NA,6.1823,0.5278,NA,NA,NA,NA,NA,NA,NA,NA,NA,1762,endmonAjk1,endmonAjk1,Endiandra_montana,Emo,0,NA,JK3,C,31,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CLFor,Flying,AvFor,0,0,0,1.8,Kanowski,Tully Falls Rd: Smiths
1077,Endiandra sankeyana,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,51.6,0.18194,130.6199222,0.5299,NA,NA,NA,NA,NA,1,NA,0.9388104,NA,NA,NA,0.71792856,NA,NA,NA,NA,7.6558,0.4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,1782,endsanAjk1,endsanAjk1,Endiandra_sankeyana,Esa,0,NA,JK3,C,30,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.4,Kanowski,Tully Falls Rd: Smiths
1580,Litsea leefeana,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,43.4,0.3,117.5115749,0.482,NA,NA,NA,NA,NA,1,NA,1.302,NA,NA,NA,0.39170525,NA,NA,NA,NA,8.5098,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,2049,litleeAjk3,litleeAjk3,Litsea_leefeana,Lle,0,NA,JK3,C,36,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.6,Kanowski,Tully Falls Rd: Smiths
1729,Neolitsea dealbata,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,49.8,0.15,76.70711689,0.4349,NA,NA,NA,NA,NA,1,NA,0.747,NA,NA,NA,0.511380779,NA,NA,NA,NA,13.0366,0.5651,NA,NA,NA,NA,NA,NA,NA,NA,NA,2129,neodeaAjk2,neodeaAjk2,Neolitsea_dealbata,Nde,0,NA,JK3,T,22,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,1.62,Kanowski,Tully Falls Rd: Smiths
2076,Pullea stutzeri,Stratum_2_adult_plant,Kanowski JK3,-17.68174,145.52989,NA,NA,NA,NA,NA,NA,93.6,0.26496,142.9490387,0.4069,NA,NA,NA,NA,NA,1,NA,2.4800256,NA,NA,NA,0.53951177,NA,NA,NA,NA,6.9955,0.5931,NA,NA,NA,NA,NA,NA,NA,NA,NA,2287,pulstuAjk1,pulstuAjk1,Pullea_stutzeri,Pst,0,NA,JK3,C,31,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,2.6,Kanowski,Tully Falls Rd: Smiths
439,Cardwellia sublimis,Stratum_2_adult_plant,Kanowski JK16,-17.64678,145.63772,NA,NA,NA,NA,NA,NA,75.8,0.24892,99.73570039,0.3529,NA,NA,NA,NA,NA,2,NA,1.8868136,NA,NA,NA,0.400673712,NA,NA,NA,NA,10.0265,0.6471,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444,carsubAjk10,carsubAjk10,Cardwellia_sublimis,Csu,0,NA,JK16,C,41,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.92,Kanowski,Sutties Gap Rd
440,Cardwellia sublimis,Stratum_2_adult_plant,Kanowski JK16,-17.64678,145.63772,NA,NA,NA,NA,NA,NA,79,0.2794,138.7347392,0.418,NA,NA,NA,NA,NA,2,NA,2.20726,NA,NA,NA,0.496545237,NA,NA,NA,NA,7.208,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445,carsubAjk11,carsubAjk11,Cardwellia_sublimis,Csu,0,NA,JK16,C,41,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.92,Kanowski,Sutties Gap Rd
976,Elaeocarpus grandis,Stratum_2_adult_plant,Kanowski JK16,-17.64678,145.63772,NA,NA,NA,NA,NA,NA,41.2,0.24384,120.8736749,0.4544,NA,NA,NA,NA,NA,1,NA,1.0046208,NA,NA,NA,0.495708969,NA,NA,NA,NA,8.2731,0.5456,NA,NA,NA,NA,NA,NA,NA,NA,NA,1724,elagraAjk5,elagraAjk5,Elaeocarpus_grandis,Egr,0,NA,JK16,C,38,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,2.55,Kanowski,Sutties Gap Rd
1237,Flindersia bourjotiana,Stratum_2_adult_plant,Kanowski JK16,-17.64678,145.63772,NA,NA,NA,NA,NA,NA,44,0.36322,146.3635964,0.363,NA,NA,NA,NA,NA,2,NA,1.598168,NA,NA,NA,0.402961281,NA,NA,NA,NA,6.8323,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,1869,flibouAjk18,flibouAjk18,Flindersia_bourjotiana,Fbo,0,NA,JK16,C,38,2,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.86,Kanowski,Sutties Gap Rd
1238,Flindersia bourjotiana,Stratum_2_adult_plant,Kanowski JK16,-17.64678,145.63772,NA,NA,NA,NA,NA,NA,29.2,0.35814,147.9443138,0.4083,NA,NA,NA,NA,NA,2,NA,1.0457688,NA,NA,NA,0.413090729,NA,NA,NA,NA,6.7593,0.5917,NA,NA,NA,NA,NA,NA,NA,NA,NA,1870,flibouAjk19,flibouAjk19,Flindersia_bourjotiana,Fbo,0,NA,JK16,C,38,2,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.86,Kanowski,Sutties Gap Rd
1325,Glochidion harveyanum var. harveyanum,Stratum_2_adult_plant,Kanowski JK16,-17.64678,145.63772,NA,NA,NA,NA,NA,NA,23.2,0.26162,89.6555434,0.3796,NA,NA,NA,NA,NA,1,NA,0.6069584,NA,NA,NA,0.342693767,NA,NA,NA,NA,11.1538,0.6204,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,gloharAjk1,gloharAjk1,Glochidion_harveyanum,Gha,0,NA,JK16,S,18,1,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,3.1,Kanowski,Sutties Gap Rd
1578,Litsea leefeana,Stratum_2_adult_plant,Kanowski JK16,-17.64678,145.63772,NA,NA,NA,NA,NA,NA,28.4,0.3,127.4648516,0.4665,NA,NA,NA,NA,NA,1,NA,0.852,NA,NA,NA,0.424882839,NA,NA,NA,NA,7.8453,0.5335,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047,litleeAjk11,litleeAjk11,Litsea_leefeana,Lle,0,NA,JK16,C,36,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.6,Kanowski,Sutties Gap Rd
