Species,region,GF,site,leaf area (mm2),SLA  mm2/mg-1,LDMC (mg/g-1)
Rytidosperma nudiflorum,Alpine,graminoid,Start of Club Lake Creek,136.254,45.41806667,63.82978723
Stackhousia pulvinarus,Alpine,graminoid,Start of Club Lake Creek,12.224,5.963073171,512.5
Luzula acutifolia subsp. nana,Alpine,graminoid,Stillwell Basin,33.8254,10.00751479,422.5
Poa hiemata,Alpine,graminoid,Stillwell Basin,30.282,,0
Grevillea australis,Alpine,Shrub,Stillwell Path between chairlift and Charlotte Pass,24.6,5.454545455,406.3063063
Orites lancifolia,Alpine,Shrub,Stillwell Path between chairlift and Charlotte Pass,189.7346,4.179176211,485.042735
Oxylobium ellipticum,Alpine,Shrub,Stillwell Path between chairlift and Charlotte Pass,44.9,12.93948127,394.3181818
Hovea montana,Alpine,Shrub,Stillwell Path between chairlift and Charlotte Pass,52.028,5.314402451,540.8839779
Olearia phlogopappa  var. subrepanda,Alpine,Shrub,Stillwell Path between chairlift and Charlotte Pass,15.9,12.04545455,425.8064516
Luzula novae-cambriae,Alpine,graminoid,Stillwell Path chairlift,470.0769,14.46835642,326.2048193
Phebalium ovatifolium,Alpine,Shrub,Stillwell Path chairlift,44.0702,3.585858421,456.8773234
Prostanthera cuneata,Alpine,Shrub,Stillwell Path chairlift,16.3,6.70781893,391.9354839
Scleranthus biflorus,Alpine,Herb,Tall alpine herbfield near Club Lake,6.1402,12.2804,125
Carex gaudichaudiana,Alpine,graminoid,Tall alpine herbfield next to snowbank,314.1021,78.525525,66.66666667
Drosera arcturi,Alpine,Herb,Tall alpine herbfield next to snowbank,64.073,16.55633075,351.8181818
Epilobium gunnianum,Alpine,Herb,Tall alpine herbfield next to snowbank,214.9444,53.7361,81.63265306
Prasophyllum alpestre,Alpine,Herb,Tall alpine herbfield next to snowbank,1181.183,18.74893968,137.5545852
Senecio pinnatifolius var. pleiocephalus,Alpine,Herb,Tall alpine herbfield next to snowbank,194.4204,194.4204,12.34567901
Acaena sp.,Alpine,Herb,Tall alpine herbfield next to Snowy River1,46.1727,19.98818182,385
Astelia alpina var. novae-hollandiae,Alpine,Herb,Tall alpine herbfield next to Snowy River1,1516.4802,9.190789091,226.6483516
Australopyrum velutinum,Alpine,graminoid,Tall alpine herbfield next to Snowy River1,303.097,101.0324667,53.57142857
Colobanthus nivicola,Alpine,,Tall alpine herbfield next to Snowy River1,18.8024,12.05282051,222.8571429
Cotula alpina,Alpine,Herb,Tall alpine herbfield next to Snowy River1,39.6281,11.8647006,256.9230769
Craspedia alba,Alpine,Herb,Tall alpine herbfield next to Snowy River1,86.855,18.67849462,258.3333333
Gonocarpus micranthus subsp. micranthus,Alpine,Herb,Tall alpine herbfield next to Snowy River1,6.581,24.37444444,613.6363636
Oreomyrrhis ciliata,Alpine,Herb,Tall alpine herbfield next to Snowy River1,210.061,10.76132172,320
Parantennaria uniceps,Alpine,Herb,Tall alpine herbfield next to Snowy River1,5.245,74.92428571,152.173913
Pratia surrepens s.l.,Alpine,Herb,Tall alpine herbfield next to Snowy River1,20.8636,10.5906599,860.2620087
Ranunculus millanii,Alpine,Herb,Tall alpine herbfield next to Snowy River1,31.4456,12.52812749,278.8888889
Senecio pectinatus var. major,Alpine,Herb,Tall alpine herbfield next to Snowy River1,172.9245,8.68530889,223.7078652
Poa saxicola,Alpine,graminoid,Tall alpine herbfield next to Snowy River2,347.5628,115.8542667,60
Ranunculus graniticola,Alpine,Herb,Tall alpine herbfield next to Snowy River2,394.992,23.23481765,111.8421053
Aciphylla simplicifolia,Alpine,Herb,Tall alpine herbfield raised bog,604.7821,264.0969869,5.571776156
Asperula gunnii,Alpine,Herb,Tall alpine herbfield1,4.141,21.79684211,593.75
Carex breviculmis,Alpine,graminoid,Tall alpine herbfield1,137.2486,16.81968137,354.7826087
Euchiton fordianus,Alpine,Herb,Tall alpine herbfield1,100.964,17.90143617,352.5
Erigeron nitidus,Alpine,Herb,Tall alpine herbfield10,166.4504,10.00302885,291.9298246
Leptorhynchos squamatus s.l.,Alpine,Herb,Tall alpine herbfield10,80.445,10.76911647,373.5
Chionogentias muelleriana subsp. alpestris,Alpine,Herb,Tall alpine herbfield11,28.244,15.26686486,616.6666667
Euchiton argentifolius,Alpine,Herb,Tall alpine herbfield11,20.346,25.11790123,405
Oreomyrrhis eriopoda,Alpine,Herb,Tall alpine herbfield11,834.2065,9.58858046,240.9972299
Prasophyllum tadgellianum,Alpine,Herb,Tall alpine herbfield11,984.32,22.89117209,133.126935
Deyeuxia crassiuscula,Alpine,graminoid,Tall alpine herbfield2,272.449,27.2449,112.5
Helichrysum scorpioides,Alpine,Herb,Tall alpine herbfield3,110.7231,14.62656539,445.2941176
Senecio gunnii,Alpine,Herb,Tall alpine herbfield3,563.237,25.60168182,111.6751269
Agrostis meionectes,Alpine,graminoid,Tall alpine herbfield4,22.844,2.928717949,975
Brachysome stolonifera,Alpine,Herb,Tall alpine herbfield5,46.3554,7.951183533,364.375
Craspedia costiniana,Alpine,Herb,Tall alpine herbfield5,1763.408,22.9013987,103.4328358
Microseris lanceolata,Alpine,Herb,Tall alpine herbfield5,930.388,19.79548936,137.7850163
Trisetum spicatum subsp. australiense,Alpine,graminoid,Tall alpine herbfield5,537.7843,18.54428621,119.3415638
Ranunculus muelleri,Alpine,Herb,Tall alpine herbfield6,316.055,9.295741176,203.5928144
Ranunculus anenonemous,Alpine,Herb,Tall alpine herbfield7,8070.346,5.882176531,225.4354256
Neopaxia australasica,Alpine,Herb,Tall alpine herbfield8,46.568,14.5070405,160.5
Poa costiniana,Alpine,graminoid,Tall alpine herbfield8,131.9108,5.803378795,366.6129032
Luzula alpestris,Alpine,graminoid,Tall alpine herbfield9,480.911,21.8596,244.4444444
Wahlenbergia ceracea,Alpine,Herb,Tall alpine herbfield9,112.356,19.60837696,301.5789474
Leucopogon montanus,Alpine,Shrub,Up Heartbreak Hill,11.82,8.040816327,525
Ozothamnus alpinus,Alpine,Shrub,Up Heartbreak Hill,11.65,6.695402299,470.2702703
Dianella tasmanica,Alpine,Herb,Up Lodge,14362.808,5.548399044,326.675248
Brachyscome sp. (aff. tadgellii),Alpine,Herb,,125.795,7.642454435,227.6625173
Brachysome spatulatha subsp. spathulata,Alpine,Herb,,160.3296,22.90422857,71.42857143
Celmisia pugioniformis,Alpine,Herb,,303.9083,17.87695882,118.8811189
Colobanthus pulvinatus,Alpine,Herb,,1.66,0.458563536,603.3333333
Euphrasia alsa,Alpine,Herb,,16.3301,7.038836207,773.3333333
Plantago muelleri,Alpine,Herb,,487.3337,8.347613909,180.1851852
