species,treatment,percent_germination (%),percent_germination_significance,germination_speed (germinants/week),germination_speed_significance
Kennedia prostrata,Smoke + heat,25.0,significant increase,7.49,significant increase
Leptorhynchos squamatus,Control,87.9,,2.37,
Leptorhynchos squamatus,Heat,92,,2.47,
Leptorhynchos squamatus,Smoke,88.6,,2.37,
Leptorhynchos squamatus,Smoke + heat,88.7,,7.60,significant increase
Leucochrysum albicans,Control,88.7,,2.53,
Leucochrysum albicans,Heat,88.9,,2.38,
Leucochrysum albicans,Smoke,91.0,,2.60,
Leucochrysum albicans,Smoke + heat,89.3,,7.45,significant increase
Linum marginale,Control,36.7,,2.47,
Linum marginale,Heat,41.5,,1.47,
Linum marginale,Smoke,100,significant increase,2.57,
Linum marginale,Smoke + heat,40.8,,7.68,significant increase
Lomandra longifolia,Control,81,,2.73,
Lomandra longifolia,Heat,48,significant decrease,1.10,significant decrease
Lomandra longifolia,Smoke,62,significant decrease,1.40,significant decrease
Lomandra longifolia,Smoke + heat,52,significant decrease,1.53,significant decrease
Lotus australis,Control,8,,2.42,
Lotus australis,Heat,40,significant increase,8.40,significant increase
Lotus australis,Smoke,13.3,,2.42,
Microseris walteri,Control,30.7,,2.20,
Microseris walteri,Heat,38.7,,2.20,
Microseris walteri,Smoke,41.0,significant increase,1.97,
Microseris walteri,Smoke + heat,93.3,significant increase,7.73,significant increase
Myosotis laxa,Control,92.0,,2.50,
Myosotis laxa,Smoke,93.3,,1.75,
Paspalidium constrictum,Control,1.33,,2.40,
Paspalidium constrictum,Heat,1.33,,1.43,
Paspalidium constrictum,Smoke,72.0,significant increase,5.60,significant increase
Paspalidium constrictum,Smoke + heat,72.5,significant increase,7.87,significant increase
Rhodanthe anthemoides,Control,36.0,,2.43,
Rhodanthe anthemoides,Smoke,93.3,significant increase,2.10,
Rhodanthe anthemoides,Smoke + heat,94.7,significant increase,7.30,significant increase
Rumex brownii,Control,40.5,,2.53,
Rumex brownii,Smoke,81.3,significant increase,2.72,
Rytidosperma caespitosum,Control,60.0,,2.50,
Rytidosperma caespitosum,Heat,26.0,significant decrease,2.46,
Rytidosperma caespitosum,Smoke,100,significant increase,5.24,
Rytidosperma caespitosum,Smoke + heat,98.0,significant increase,7.99,significant increase
Rytidosperma pallidum,Control,94.7,,2.40,
Rytidosperma pallidum,Heat,99.3,,2.42,
Rytidosperma pallidum,Smoke,94.7,,5.64,significant increase
Rytidosperma pallidum,Smoke + heat,92.0,,7.72,significant increase
Senecio quadridentatus,Control,39.7,,2.52,
Senecio quadridentatus,Smoke,53.3,significant increase,1.81,
Stackhousia monogyna,Control,0,,0,
Stackhousia monogyna,Heat,0,,0,
Stackhousia monogyna,Smoke,0,,0,
Stackhousia monogyna,Smoke + heat,0,,0,
Stypandra glauca,Control,0,,2.27,
Stypandra glauca,Heat,1.28,,2.21,
Stypandra glauca,Smoke,12,significant increase,2.08,
Stypandra glauca,Smoke + heat,28.3,significant increase,7.77,significant increase
Themeda triandra,Control,34.3,,2.45,
Themeda triandra,Heat,38.7,,2.14,
Themeda triandra,Smoke,100,significant increase,6.37,significant increase
Themeda triandra,Smoke + heat,42.8,,8.64,significant increase
Tricoryne elatior,Control,0,,0,
Tricoryne elatior,Heat,0,,0,
Tricoryne elatior,Smoke,0,,0,
Tricoryne elatior,Smoke + heat,0,,0,
Triptilodiscus pygmaeus,Control,64,,2.37,
Triptilodiscus pygmaeus,Smoke,96,significant increase,2.03,
Velleia paradoxa,Control,97.2,,2.33,
Velleia paradoxa,Heat,93.2,,1.20,
Velleia paradoxa,Smoke,87.4,,2.43,
Velleia paradoxa,Smoke + heat,97.3,,2.26,
Viola betonicifolia,Control,0,,2.72,
Viola betonicifolia,Smoke,16.3,,2.54,
Viola betonicifolia,Smoke + heat,0,,7.50,significant increase
Vittadinia cuneata,Control,34.0,,2.33,
Vittadinia cuneata,Heat,24.2,,2.23,
Vittadinia cuneata,Smoke,49.3,significant increase,1.77,
Vittadinia cuneata,Smoke + heat,38.3,,2.26,
Vittadinia gracilis,Control,72.5,,2.40,
Vittadinia gracilis,Heat,59.0,,2.13,
Vittadinia gracilis,Smoke,97.3,significant increase,1.60,
Vittadinia gracilis,Smoke + heat,93.3,significant increase,5.97,significant increase
Vittadinia muelleri,Control,90.6,,2.20,
Vittadinia muelleri,Heat,91.5,,2.03,
Vittadinia muelleri,Smoke,94.7,,2.03,
Vittadinia muelleri,Smoke + heat,92.0,,6.00,significant increase
Wahlenbergia stricta,Control,0,,0,
Wahlenbergia stricta,Heat,0,,0,
Wahlenbergia stricta,Smoke,4,,1.1,
Wahlenbergia stricta,Smoke + heat,0,,0,
Wurmbea dioica,Control,0,,0,
Wurmbea dioica,Heat,0,,0,
Wurmbea dioica,Smoke,0,,0,
Wurmbea dioica,Smoke + heat,0,,0,
Xerochrysum subundulatum,Control,45.3,,4.23,
Xerochrysum subundulatum,Smoke,72.4,significant increase,1.56,significant decrease
