Species,Replicate,Stage,LMA (g m-2),FMA (g m-2),DMC (%),N (mg g-1),P (mg g-1),NP ratio,Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,Rdark (area) umol m-2 s-1,Rdark28 (area) umol m-2 s-1,Rdark25 (area) umol m-2 s-1,Rdark (mass) nmol g-1 s-1,Rdark28 (mass) nmol g-1 s-1,Rdark25 (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1),Rdark (N based) (umol CO2 g-1 N s-1),Rdark28 (N based) (umol CO2 g-1 N s-1),Rdark25 (N based) (umol CO2 g-1 N s-1),Rdark (P based) umol CO2 g-1 P s-1,Rdark28 (P based) umol CO2 g-1 P s-1,Rdark25 (P based) umol CO2 g-1 P s-1,Rd28/Asat (area),Rd28/Asat (mass),Rd28/Amax (area),Rd28/Amax (mass),Rlight (area) (umol m-2 s-1),RL/RD (area),RL/RD 28 (area),RL/RD 25 (area)
Myoporum insulare,10,1,98.789,541.522,0.182,18.597,,8.889,18.176,37.900,183.993,383.643,2.175,2.477,1.957,22.014,25.069,19.810,9.894,20.629,87.942,183.368,1.184,1.348,1.065,10.522,12.0,9.469,0.136,0.136,0.065,0.065,,,,
Myoporum insulare,11,1,,,,,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myoporum insulare,12,1,,,,,1.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myoporum insulare,13,1,,,,,1.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myoporum insulare,14,1,,,,,4.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myoporum insulare,15,1,,,,,2.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olearia axillaris,1,1,149.259,455.556,0.328,19.279,,13.708,18.569,34.444,124.407,230.769,3.282,3.641,2.877,21.990,24.396,19.278,6.453,11.970,88.458,164.086,1.141,1.265,1.000,15.636,17.3,13.708,0.196,0.196,0.106,0.106,,,,
Olearia axillaris,2,1,130.455,406.818,0.321,14.298,,10.166,11.356,21.927,87.052,168.084,2.902,3.401,2.688,22.244,26.073,20.604,6.089,11.756,61.898,119.514,1.556,1.824,1.441,15.816,18.5,14.650,0.300,0.300,0.155,0.155,,,,
Olearia axillaris,3,1,205.647,538.824,0.382,15.469,,10.999,13.417,28.207,65.245,137.162,4.704,4.741,3.746,22.874,23.054,18.218,4.218,8.867,46.392,97.528,1.479,1.490,1.178,16.264,16.4,12.954,0.353,0.353,0.168,0.168,,,,
Olearia axillaris,4,1,203.250,572.500,0.355,17.644,,12.545,11.330,26.940,55.742,132.546,4.464,5.096,4.027,21.963,25.072,19.813,3.159,7.512,39.634,94.245,1.245,1.421,1.123,15.617,17.8,14.088,0.450,0.450,0.189,0.189,,,,
Olearia axillaris,5,1,,,,,1.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olearia axillaris,6,1,,,,,0.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olearia axillaris,7,1,,,,,1.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olearia axillaris,8,1,,,,,1.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olearia axillaris,9,1,,,,,2.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,1,1,188.305,447.458,0.421,13.301,,28.305,21.834,40.515,115.950,215.158,1.907,2.476,1.957,10.126,13.150,10.392,8.717,16.176,246.742,457.857,0.761,0.989,0.781,21.548,28.0,22.114,0.113,0.113,0.061,0.061,1.331,0.698,0.537,0.680
Spyridium globulosum,2,1,144.800,370.667,0.391,10.564,,22.480,12.757,25.760,88.099,177.901,1.036,1.279,1.010,7.157,8.830,6.978,8.340,16.841,187.477,378.574,0.678,0.836,0.661,15.230,18.8,14.849,0.100,0.100,0.050,0.050,0.250,0.241,0.195,0.247
Spyridium globulosum,3,1,192.577,449.485,0.428,12.905,,27.461,15.031,30.643,78.051,159.122,1.450,1.754,1.386,7.529,9.110,7.199,6.048,12.331,166.094,338.613,0.583,0.706,0.558,16.022,19.4,15.319,0.117,0.117,0.057,0.057,0.542,0.374,0.309,0.391
Spyridium globulosum,4,1,146.250,341.071,0.429,11.042,,23.497,18.471,39.464,126.300,269.841,,,,,,,11.439,24.439,268.769,574.225,,,,,,,,,,,,,,
