site,name_original,PLANT,growth form,leaf longevity,leaf_type,N_fixer,SLA (mm2/mg),Leaf size (mm2),Lamina_Thickness (mm),leaf N per mass (mg/g),Leaf N per area (g/m2),"Leaf P per mass, %",Leaf P per area (g/m2),punch_strength_MN/m2,punch_strength_adjusted_x103_MN/m2/m,work_to_punch_x102_J/m2,work_to_punch_adjusted_MJ/m2/m,strength_to_tear_MN/m2,work_to_tear_x10-3_J/m,work_to_tear_adjusted_kJ/m2,work_to_shear_J/m,work_to_shear_adjusted_kJ/m2
ReadWilsonsProm_heath,Banksia spinulosa,,S,E,S,N,,,,,,0.043,0.0681,6.05,22.95,21.88,8.28,3.61,9.51,6.08,0.5,1.86
ReadWilsonsProm_heath,Eucalyptus baxteri,,T,E,S,N,,,,,,0.029,0.0806,5.88,12.36,8.4,1.76,1.71,6.2,1.93,0.46,0.97
ReadWilsonsProm_heath,Leptospermum laevigatum,,S,E,S,N,,,,,,0.056,0.089,3.44,10.14,2.48,0.73,4.39,11.49,4.79,0.56,1.67
ReadWilsonsProm_heath,Melaleuca squarrosa,,S,E,S,N,,,,,,0.019,0.0111,3.1,13.67,2.25,1.01,9.37,1.29,2.5,0.14,0.63
ReadWilsonsProm_heath,Monotoca scoparia,,S,E,S,N,,,,,,0.026,0.0349,2.38,6.29,1.94,0.51,9.19,2.97,2.76,0.54,1.46
ReadWilsonsProm_heath,Platylobium obtusangulum,,S,E,S,Y,,,,,,0.049,0.0608,2.49,11.17,2.91,1.27,14.38,8.74,9.13,0.32,1.41
ReadWilsonsProm_heath,Acacia suaveolens,1,,,,,4.971145888,438.17,0.54,16.97,3.484773091,,,,,,,,,,,
ReadWilsonsProm_heath,Acacia suaveolens,2,,,,,4.788641304,440.555,0.45,23.1,4.849961201,,,,,,,,,,,
ReadWilsonsProm_heath,Acacia suaveolens,3,,,,,5.055586528,483.195,0.42,19.94,3.962697506,,,,,,,,,,,
ReadWilsonsProm_heath,Acacia suaveolens,4,,,,,4.751337093,421.365,0.48,24.62,5.264321652,,,,,,,,,,,
ReadWilsonsProm_heath,Acacia suaveolens,5,,,,,3.853206522,342.84,0.6,17.57,4.560149107,,,,,,,,,,,
ReadWilsonsProm_forest,Acacia melanoxylon,1,,,,,8.672112519,550.575,0.27,23.38,2.696060442,,,,,,,,,,,
ReadWilsonsProm_forest,Acacia melanoxylon,2,,,,,8.642540957,822.22,0.27,23.24,2.721410585,,,,,,,,,,,
ReadWilsonsProm_forest,Acacia melanoxylon,3,,,,,8.882071718,826.03,0.29,24.99,2.813532851,,,,,,,,,,,
ReadWilsonsProm_forest,Acacia melanoxylon,4,,,,,7.81994186,672.515,0.25,21.78,2.78620496,,,,,,,,,,,
ReadWilsonsProm_forest,Acacia melanoxylon,5,,,,,9.042974178,591.75,0.3,23.84,2.636640814,,,,,,,,,,,
ReadWilsonsProm_forest,Syzygium smithii,1,,,,,8.423489046,2444.805,0.3,12.83,1.523149759,,,,,,,,,,,
ReadWilsonsProm_forest,Syzygium smithii,2,,,,,10.20678491,2813.42,0.4,13.09,1.286985026,,,,,,,,,,,
ReadWilsonsProm_forest,Syzygium smithii,3,,,,,12.14316448,2017.73,0.34,12.82,1.056181729,,,,,,,,,,,
ReadWilsonsProm_forest,Syzygium smithii,4,,,,,11.52649943,2613.92,0.39,15.05,1.330849936,,,,,,,,,,,
ReadWilsonsProm_forest,Syzygium smithii,5,,,,,9.699079008,2883.6,0.4,11.68,1.20515485,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia marginata heath,1,,,,,4.63625,163.455,0.55,6.71,1.451090284,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia marginata heath,2,,,,,3.680211397,89.055,0.57,6.66,1.812611049,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia marginata heath,3,,,,,5.199270833,72.63,0.63,7.84,1.508259908,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia marginata heath,4,,,,,4.017673913,105.325,0.54,6.04,1.513362573,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia marginata heath,5,,,,,4.801770833,99.365,0.42,8.32,1.762788144,,,,,,,,,,,
ReadWilsonsProm_forest,Banksia marginata forest,1,,,,,5.381289474,131.29,0.45,12.37,2.299504233,,,,,,,,,,,
ReadWilsonsProm_forest,Banksia marginata forest,2,,,,,5.106304348,163.545,0.41,7.04,1.391836236,,,,,,,,,,,
ReadWilsonsProm_forest,Banksia marginata forest,3,,,,,4.651511299,203.51,0.41,10.92,2.353898667,,,,,,,,,,,
ReadWilsonsProm_forest,Banksia marginata forest,4,,,,,4.780921053,174.385,0.31,9.38,1.962501966,,,,,,,,,,,
ReadWilsonsProm_forest,Banksia marginata forest,5,,,,,5.224230769,164.88,0.45,7.3,1.415126034,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia spinulosa,1,,,,,5.664932322,280.49,0.34,7.95,1.403391232,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia spinulosa,2,,,,,6.97877904,438.6,0.37,7.39,1.065198242,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia spinulosa,3,,,,,7.157338384,318.685,0.35,8.49,1.189320159,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia spinulosa,4,,,,,5.409168274,257.635,0.41,7.83,1.447675161,,,,,,,,,,,
ReadWilsonsProm_heath,Banksia spinulosa,5,,,,,6.866679293,275.305,0.34,8.75,1.274957028,,,,,,,,,,,
ReadWilsonsProm_forest,Bedfordia salicina,1,,,,,19.28486977,3360.895,0.53,11.3,0.590786786,,,,,,,,,,,
ReadWilsonsProm_forest,Bedfordia salicina,2,,,,,11.61131484,3566.48,0.64,9.12,0.793991522,,,,,,,,,,,
ReadWilsonsProm_forest,Bedfordia salicina,3,,,,,11.38041599,4870.675,0.61,10.46,0.94183239,,,,,,,,,,,
ReadWilsonsProm_forest,Bedfordia salicina,4,,,,,10.19895157,2823.45,0.83,11.06,1.090027426,,,,,,,,,,,
ReadWilsonsProm_forest,Bedfordia salicina,5,,,,,8.808937976,3400.14,0.74,10.99,1.251412297,,,,,,,,,,,
ReadWilsonsProm_heath,Eucalyptus baxteri,1,,,,,3.441001908,3532.515,0.56,9.26,2.691650403,,,,,,,,,,,
ReadWilsonsProm_heath,Eucalyptus baxteri,2,,,,,2.727196327,2159.075,0.49,10.03,3.754732769,,,,,,,,,,,
ReadWilsonsProm_heath,Eucalyptus baxteri,3,,,,,6.902611903,2740.01,0.59,8.84,1.312782159,,,,,,,,,,,
ReadWilsonsProm_heath,Eucalyptus baxteri,4,,,,,3.857031162,1810.23,0.54,9.18,2.406820732,,,,,,,,,,,
ReadWilsonsProm_heath,Eucalyptus baxteri,5,,,,,3.190946193,2798.58,0.66,8.42,2.640437737,,,,,,,,,,,
ReadWilsonsProm_forest,Eucalyptus obliqua,1,,,,,5.7069693,2758.46,0.42,13.09,2.299708028,,,,,,,,,,,
ReadWilsonsProm_forest,Eucalyptus obliqua,2,,,,,5.072449847,2377.175,0.4,10.19,2.009204721,,,,,,,,,,,
ReadWilsonsProm_forest,Eucalyptus obliqua,3,,,,,5.180494687,1934.785,0.41,11.15,2.157218937,,,,,,,,,,,
ReadWilsonsProm_forest,Eucalyptus obliqua,4,,,,,5.398152935,2385,0.47,10.48,1.958511535,,,,,,,,,,,
ReadWilsonsProm_forest,Eucalyptus obliqua,5,,,,,5.65998269,3494.915,0.4,8.59,1.518206183,,,,,,,,,,,
ReadWilsonsProm_forest,Goodenia ovata,1,,,,,21.87664212,2877.82,0.28,20.31,0.952330703,,,,,,,,,,,
ReadWilsonsProm_forest,Goodenia ovata,2,,,,,18.27208104,1047.987,0.27,17.19,0.940960098,,,,,,,,,,,
ReadWilsonsProm_forest,Goodenia ovata,3,,,,,24.2258266,1960.835,0.26,18.61,0.768883683,,,,,,,,,,,
ReadWilsonsProm_forest,Goodenia ovata,4,,,,,25.93630904,1911.935,0.33,18.06,0.696514777,,,,,,,,,,,
ReadWilsonsProm_forest,Goodenia ovata,5,,,,,17.97647741,1626.79,0.3,20.13,1.119888106,,,,,,,,,,,
ReadWilsonsProm_forest,Hedycarya angustifolia,1,,,,,18.37501805,3172.53,0.28,21.56,1.189101445,,,,,,,,,,,
ReadWilsonsProm_forest,Hedycarya angustifolia,2,,,,,24.11611483,4242.97,0.29,23.4,0.977512817,,,,,,,,,,,
ReadWilsonsProm_forest,Hedycarya angustifolia,3,,,,,20.8178013,3404.05,0.38,22.62,1.08948332,,,,,,,,,,,
ReadWilsonsProm_forest,Hedycarya angustifolia,4,,,,,23.9508181,3923.11,0.35,25.05,1.065636236,,,,,,,,,,,
ReadWilsonsProm_forest,Hedycarya angustifolia,5,,,,,20.85521152,2512.815,0.32,22.89,1.099296766,,,,,,,,,,,
ReadWilsonsProm_forest,Hibbertia aspera,1,,,,,13.44746753,165.095,0.32,13.85,1.053204546,,,,,,,,,,,
ReadWilsonsProm_forest,Hibbertia aspera,2,,,,,15.595625,249.53,0.33,13.45,0.9002798,,,,,,,,,,,
ReadWilsonsProm_forest,Hibbertia aspera,3,,,,,12.743,63.715,0.3,13.35,1.08403156,,,,,,,,,,,
ReadWilsonsProm_forest,Hibbertia aspera,4,,,,,12.82383333,121.01,0.34,13.58,1.076417059,,,,,,,,,,,
ReadWilsonsProm_forest,Hibbertia aspera,5,,,,,18.765,171.62,0.25,14.62,0.796019963,,,,,,,,,,,
ReadWilsonsProm_heath,Leptospermum laevigatum,1,,,,,6.496458333,120.95,0.42,10.04,1.75500202,,,,,,,,,,,
ReadWilsonsProm_heath,Leptospermum laevigatum,2,,,,,8.99257764,196.245,0.33,9.69,1.112406885,,,,,,,,,,,
ReadWilsonsProm_heath,Leptospermum laevigatum,3,,,,,7.517863636,78.905,0.36,14.13,1.879664421,,,,,,,,,,,
ReadWilsonsProm_heath,Leptospermum laevigatum,4,,,,,4.034796182,187.89,0.41,8.22,2.054981702,,,,,,,,,,,
ReadWilsonsProm_heath,Leptospermum laevigatum,5,,,,,8.247856072,212.27,0.34,8.72,1.0654714,,,,,,,,,,,
ReadWilsonsProm_heath,Melaleuca squarrosa,1,,,,,14.045,37.635,0.21,12.91,1.024342555,,,,,,,,,,,
ReadWilsonsProm_heath,Melaleuca squarrosa,2,,,,,16.0925,22.975,0.2,12.86,0.816203861,,,,,,,,,,,
ReadWilsonsProm_heath,Melaleuca squarrosa,3,,,,,17.1775,34.355,0.21,13.12,0.766668112,,,,,,,,,,,
ReadWilsonsProm_heath,Melaleuca squarrosa,4,,,,,26.1,26.1,0.18,13.57,0.53275121,,,,,,,,,,,
ReadWilsonsProm_heath,Melaleuca squarrosa,5,,,,,19.535,19.535,0.18,13.28,0.691263047,,,,,,,,,,,
ReadWilsonsProm_heath,Monotoca scoparia,1,,,,,7.054930556,59.655,0.3,11.12,1.588623524,,,,,,,,,,,
ReadWilsonsProm_heath,Monotoca scoparia,2,,,,,7.697916667,61.885,0.36,9.79,1.417132606,,,,,,,,,,,
ReadWilsonsProm_heath,Monotoca scoparia,3,,,,,8.19375,65.55,0.38,10.52,1.293209488,,,,,,,,,,,
ReadWilsonsProm_heath,Monotoca scoparia,4,,,,,6.962,54.49,0.45,10.71,1.549978708,,,,,,,,,,,
ReadWilsonsProm_heath,Monotoca scoparia,5,,,,,8.643492063,68.37,0.39,11.85,1.382169882,,,,,,,,,,,
ReadWilsonsProm_forest,Olearia argophylla,1,,,,,9.140887945,3582.785,0.44,14.95,1.635629494,,,,,,,,,,,
ReadWilsonsProm_forest,Olearia argophylla,2,,,,,9.931977146,3459.165,0.31,11.33,1.177218742,,,,,,,,,,,
ReadWilsonsProm_forest,Olearia argophylla,3,,,,,8.623764577,3791.235,0.33,10.9,1.282728099,,,,,,,,,,,
ReadWilsonsProm_forest,Olearia argophylla,4,,,,,16.03418251,3904.725,0.41,13.38,0.842726508,,,,,,,,,,,
ReadWilsonsProm_forest,Olearia argophylla,5,,,,,11.00360643,3661.16,0.37,13.47,1.224237169,,,,,,,,,,,
ReadWilsonsProm_forest,Pimelea drupacea,1,,,,,20.28787685,641.835,0.35,29.83,1.492258961,,,,,,,,,,,
ReadWilsonsProm_forest,Pimelea drupacea,2,,,,,15.74281746,167.28,0.36,18.79,1.35983639,,,,,,,,,,,
ReadWilsonsProm_forest,Pimelea drupacea,3,,,,,17.78,333,0.45,22.72,1.18144,,,,,,,,,,,
ReadWilsonsProm_forest,Pimelea drupacea,4,,,,,21.29051471,433.26,0.44,22.89,1.077107469,,,,,,,,,,,
ReadWilsonsProm_forest,Pimelea drupacea,5,,,,,25.62791667,254.405,0.38,27.64,1.079955284,,,,,,,,,,,
ReadWilsonsProm_heath,Platylobium obtusangulum,1,,,,,7.791414474,89.675,0.28,16.65,2.45906302,,,,,,,,,,,
ReadWilsonsProm_heath,Platylobium obtusangulum,2,,,,,6.702631579,142.31,0.3,18.38,3.408046958,,,,,,,,,,,
ReadWilsonsProm_heath,Platylobium obtusangulum,3,,,,,12.80432692,207.765,0.21,14.56,1.144119563,,,,,,,,,,,
ReadWilsonsProm_heath,Platylobium obtusangulum,4,,,,,8.331888889,100.635,0.25,20.39,2.448892121,,,,,,,,,,,
ReadWilsonsProm_heath,Platylobium obtusangulum,5,,,,,11.38472782,274.65,0.28,19.3,1.70708645,,,,,,,,,,,
ReadWilsonsProm_forest,Pomaderris aspera,1,,,,,17.41809975,5543.655,0.46,17.69,1.015815031,,,,,,,,,,,
ReadWilsonsProm_forest,Pomaderris aspera,2,,,,,10.52049677,4663.22,0.43,16.72,1.59254445,,,,,,,,,,,
ReadWilsonsProm_forest,Pomaderris aspera,3,,,,,10.00957606,4013.84,0.47,15.05,1.543282033,,,,,,,,,,,
ReadWilsonsProm_forest,Pomaderris aspera,4,,,,,9.483778273,3654.725,0.48,14.37,1.618764484,,,,,,,,,,,
ReadWilsonsProm_forest,Pomaderris aspera,5,,,,,9.330982415,4465.855,0.43,12.79,1.372935991,,,,,,,,,,,
ReadWilsonsProm_forest,Zieria arborescens,1,,,,,12.23303791,3740.285,0.3,22.15,1.811305339,,,,,,,,,,,
ReadWilsonsProm_forest,Zieria arborescens,2,,,,,11.89823485,3857.65,0.29,18.78,1.580236269,,,,,,,,,,,
ReadWilsonsProm_forest,Zieria arborescens,3,,,,,14.58193538,2702.1,0.3,12.49,0.865226311,,,,,,,,,,,
ReadWilsonsProm_forest,Zieria arborescens,4,,,,,15.18160142,2151.465,0.26,19.59,1.32942837,,,,,,,,,,,
ReadWilsonsProm_forest,Zieria arborescens,5,,,,,13.3769616,3070.4,0.28,16.27,1.239618554,,,,,,,,,,,
