trip identifier,Species,Individual,Replicate,Trait,Value,Unit,latitude (deg),longitude (deg),Coordinate uncertainty (m),site_name
NA,Acrotriche aggregata,1,1,wood.density,0.67,g/cm^3,NA,NA,NA,NA
NA,Acrotriche aggregata,2,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Acrotriche aggregata,3,1,wood.density,0.61,g/cm^3,NA,NA,NA,NA
NA,Acrotriche aggregata,4,1,wood.density,0.63,g/cm^3,NA,NA,NA,NA
NA,Acrotriche aggregata,5,1,wood.density,0.68,g/cm^3,NA,NA,NA,NA
NA,Grevillea banksii,1,1,wood.density,0.49,g/cm^3,NA,NA,NA,NA
NA,Grevillea banksii,2,1,wood.density,0.51,g/cm^3,NA,NA,NA,NA
NA,Grevillea banksii,3,1,wood.density,0.53,g/cm^3,NA,NA,NA,NA
NA,Grevillea banksii,4,1,wood.density,0.51,g/cm^3,NA,NA,NA,NA
NA,Grevillea banksii,5,1,wood.density,0.51,g/cm^3,NA,NA,NA,NA
NA,Acacia fimbriata,1,1,wood.density,0.72,g/cm^3,NA,NA,NA,NA
NA,Acacia fimbriata,2,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Acacia fimbriata,3,1,wood.density,0.78,g/cm^3,NA,NA,NA,NA
NA,Acacia fimbriata,4,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Acacia fimbriata,5,1,wood.density,0.82,g/cm^3,NA,NA,NA,NA
NA,Atractocarpus chartaceus,1,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Atractocarpus chartaceus,2,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Atractocarpus chartaceus,3,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Atractocarpus chartaceus,4,1,wood.density,0.69,g/cm^3,NA,NA,NA,NA
NA,Atractocarpus chartaceus,5,1,wood.density,0.69,g/cm^3,NA,NA,NA,NA
NA,Jacksonia scoparia,1,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Jacksonia scoparia,2,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Jacksonia scoparia,3,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Jacksonia scoparia,4,1,wood.density,0.57,g/cm^3,NA,NA,NA,NA
NA,Jacksonia scoparia,5,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Erythrina numerosa,1,1,wood.density,0.33,g/cm^3,NA,NA,NA,NA
NA,Erythrina numerosa,2,1,wood.density,0.33,g/cm^3,NA,NA,NA,NA
NA,Erythrina numerosa,3,1,wood.density,0.32,g/cm^3,NA,NA,NA,NA
NA,Erythrina numerosa,4,1,wood.density,0.37,g/cm^3,NA,NA,NA,NA
NA,Erythrina numerosa,5,1,wood.density,0.3,g/cm^3,NA,NA,NA,NA
NA,Acacia leiocalyx,1,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Acacia leiocalyx,2,1,wood.density,0.57,g/cm^3,NA,NA,NA,NA
NA,Acacia leiocalyx,3,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Acacia leiocalyx,4,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Acacia leiocalyx,5,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Acacia neriifolia,1,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Acacia neriifolia,2,1,wood.density,0.59,g/cm^3,NA,NA,NA,NA
NA,Acacia neriifolia,3,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Acacia neriifolia,4,1,wood.density,0.51,g/cm^3,NA,NA,NA,NA
NA,Acacia neriifolia,5,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Lespedeza juncea,1,1,wood.density,0.65,g/cm^3,NA,NA,NA,NA
NA,Lespedeza juncea,2,1,wood.density,0.77,g/cm^3,NA,NA,NA,NA
NA,Lespedeza juncea,3,1,wood.density,0.77,g/cm^3,NA,NA,NA,NA
NA,Lespedeza juncea,4,1,wood.density,0.76,g/cm^3,NA,NA,NA,NA
NA,Lespedeza juncea,5,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Alchornea ilicifolia,3,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Erythrina numerosa,6,1,wood.density,0.36,g/cm^3,NA,NA,NA,NA
NA,Capparis velutina,1,1,wood.density,0.69,g/cm^3,NA,NA,NA,NA
NA,Capparis velutina,2,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Capparis velutina,3,1,wood.density,0.65,g/cm^3,NA,NA,NA,NA
NA,Capparis velutina,4,1,wood.density,0.51,g/cm^3,NA,NA,NA,NA
NA,Capparis velutina,5,1,wood.density,0.64,g/cm^3,NA,NA,NA,NA
NA,Dodonaea viscosa subsp. angustifolia,1,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Dodonaea viscosa subsp. angustifolia,2,1,wood.density,0.72,g/cm^3,NA,NA,NA,NA
NA,Dodonaea viscosa subsp. angustifolia,3,1,wood.density,0.68,g/cm^3,NA,NA,NA,NA
NA,Dodonaea viscosa subsp. angustifolia,4,1,wood.density,0.69,g/cm^3,NA,NA,NA,NA
NA,Dodonaea viscosa subsp. angustifolia,5,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Vitex melicopea,1,1,wood.density,0.61,g/cm^3,NA,NA,NA,NA
NA,Breynia oblongifolia,1,1,wood.density,0.57,g/cm^3,NA,NA,NA,NA
NA,Breynia oblongifolia,2,1,wood.density,0.55,g/cm^3,NA,NA,NA,NA
NA,Breynia oblongifolia,3,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Breynia oblongifolia,4,1,wood.density,0.57,g/cm^3,NA,NA,NA,NA
NA,Breynia oblongifolia,5,1,wood.density,0.61,g/cm^3,NA,NA,NA,NA
NA,Psychotria daphnoides,1,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Psychotria daphnoides,2,1,wood.density,0.61,g/cm^3,NA,NA,NA,NA
NA,Psychotria daphnoides,3,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Bridelia leichhardtii,1,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Acacia falciformis,1,1,wood.density,0.4,g/cm^3,NA,NA,NA,NA
NA,Acacia falciformis,2,1,wood.density,0.44,g/cm^3,NA,NA,NA,NA
NA,Acalypha capillipes,1,1,wood.density,0.64,g/cm^3,NA,NA,NA,NA
NA,Acalypha capillipes,2,1,wood.density,0.64,g/cm^3,NA,NA,NA,NA
NA,Acalypha capillipes,3,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Acalypha capillipes,4,1,wood.density,0.63,g/cm^3,NA,NA,NA,NA
NA,Acalypha capillipes,5,1,wood.density,0.68,g/cm^3,NA,NA,NA,NA
NA,Mallotus claoxyloides,1,1,wood.density,0.53,g/cm^3,NA,NA,NA,NA
NA,Mallotus claoxyloides,2,1,wood.density,0.51,g/cm^3,NA,NA,NA,NA
NA,Citrus australis,1,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Alyxia ruscifolia,1,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Melodorum leichhardtii,1,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Croton insularis,1,1,wood.density,0.66,g/cm^3,NA,NA,NA,NA
NA,Spartium junceum,1,1,wood.density,0.48,g/cm^3,NA,NA,NA,NA
NA,Alchornea ilicifolia,1,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Alchornea ilicifolia,2,1,wood.density,0.58,g/cm^3,NA,NA,NA,NA
NA,Tinospora smilacina,1,1,wood.density,0.25,g/cm^3,NA,NA,NA,NA
NA,Tinospora smilacina,2,1,wood.density,0.27,g/cm^3,NA,NA,NA,NA
NA,Secamone elliptica,1,1,wood.density,0.4,g/cm^3,NA,NA,NA,NA
NA,Carissa ovata,1,1,wood.density,0.59,g/cm^3,NA,NA,NA,NA
Benarkin,Solanum rixosum,1,1,wood.density,0.68,g/cm^3,-26.953056,152.1975,50,site_at_-26.953056_degS_152.1975_degE
NA,Solanum aviculare,1,1,wood.density,0.36,g/cm^3,NA,NA,NA,NA
NA,Psychotria daphnoides,4,1,wood.density,0.53,g/cm^3,NA,NA,NA,NA
NA,Alyxia ruscifolia,2,1,wood.density,0.64,g/cm^3,NA,NA,NA,NA
NA,Sambucus australasica,1,1,wood.density,0.36,g/cm^3,NA,NA,NA,NA
NA,Banksia oblongifolia,1,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Banksia oblongifolia,2,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Banksia oblongifolia,3,1,wood.density,0.63,g/cm^3,NA,NA,NA,NA
NA,Banksia oblongifolia,4,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Banksia oblongifolia,5,1,wood.density,0.61,g/cm^3,NA,NA,NA,NA
NA,Melaleuca thymifolia,1,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Melaleuca thymifolia,2,1,wood.density,0.57,g/cm^3,NA,NA,NA,NA
NA,Melaleuca thymifolia,3,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Melaleuca thymifolia,4,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Melaleuca thymifolia,5,1,wood.density,0.63,g/cm^3,NA,NA,NA,NA
NA,Leucopogon ericoides,1,1,wood.density,1.26,g/cm^3,NA,NA,NA,NA
NA,Xylomelum benthamii,1,1,wood.density,0.53,g/cm^3,NA,NA,NA,NA
NA,Xylomelum benthamii,2,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Xylomelum benthamii,3,1,wood.density,0.5,g/cm^3,NA,NA,NA,NA
NA,Xylomelum benthamii,4,1,wood.density,0.53,g/cm^3,NA,NA,NA,NA
NA,Xylomelum benthamii,5,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Banksia robur,1,1,wood.density,0.53,g/cm^3,NA,NA,NA,NA
NA,Banksia robur,2,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Banksia robur,3,1,wood.density,0.62,g/cm^3,NA,NA,NA,NA
NA,Banksia robur,4,1,wood.density,0.57,g/cm^3,NA,NA,NA,NA
NA,Banksia robur,5,1,wood.density,0.65,g/cm^3,NA,NA,NA,NA
NA,Monotoca scoparia,1,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Monotoca scoparia,2,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Monotoca scoparia,3,1,wood.density,0.72,g/cm^3,NA,NA,NA,NA
NA,Micromyrtus littoralis,1,1,wood.density,0.86,g/cm^3,NA,NA,NA,NA
NA,Micromyrtus littoralis,2,1,wood.density,0.85,g/cm^3,NA,NA,NA,NA
NA,Micromyrtus littoralis,3,1,wood.density,0.85,g/cm^3,NA,NA,NA,NA
NA,Micromyrtus littoralis,4,1,wood.density,0.86,g/cm^3,NA,NA,NA,NA
NA,Micromyrtus littoralis,5,1,wood.density,0.84,g/cm^3,NA,NA,NA,NA
NA,Petrophile shirleyae,1,1,wood.density,0.49,g/cm^3,NA,NA,NA,NA
NA,Petrophile shirleyae,2,1,wood.density,0.46,g/cm^3,NA,NA,NA,NA
NA,Petrophile shirleyae,3,1,wood.density,0.47,g/cm^3,NA,NA,NA,NA
NA,Petrophile shirleyae,4,1,wood.density,0.52,g/cm^3,NA,NA,NA,NA
NA,Petrophile shirleyae,5,1,wood.density,0.5,g/cm^3,NA,NA,NA,NA
NA,Melaleuca cheelii,1,1,wood.density,0.5,g/cm^3,NA,NA,NA,NA
NA,Melaleuca cheelii,2,1,wood.density,0.55,g/cm^3,NA,NA,NA,NA
NA,Melaleuca cheelii,3,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Melaleuca cheelii,4,1,wood.density,0.49,g/cm^3,NA,NA,NA,NA
NA,Melaleuca cheelii,5,1,wood.density,0.55,g/cm^3,NA,NA,NA,NA
NA,Boronia rosmarinifolia,1,1,wood.density,0.7,g/cm^3,NA,NA,NA,NA
NA,Boronia rosmarinifolia,2,1,wood.density,0.7,g/cm^3,NA,NA,NA,NA
NA,Boronia rosmarinifolia,3,1,wood.density,0.77,g/cm^3,NA,NA,NA,NA
NA,Boronia rosmarinifolia,4,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Boronia rosmarinifolia,5,1,wood.density,0.75,g/cm^3,NA,NA,NA,NA
NA,Strangea linearis,1,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Strangea linearis,2,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Strangea linearis,3,1,wood.density,0.58,g/cm^3,NA,NA,NA,NA
NA,Strangea linearis,4,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Strangea linearis,5,1,wood.density,0.61,g/cm^3,NA,NA,NA,NA
NA,Angophora leiocarpa,1,1,wood.density,0.43,g/cm^3,NA,NA,NA,NA
NA,Angophora leiocarpa,2,1,wood.density,0.46,g/cm^3,NA,NA,NA,NA
NA,Angophora leiocarpa,3,1,wood.density,0.44,g/cm^3,NA,NA,NA,NA
NA,Angophora leiocarpa,4,1,wood.density,0.49,g/cm^3,NA,NA,NA,NA
NA,Angophora leiocarpa,5,1,wood.density,0.48,g/cm^3,NA,NA,NA,NA
NA,Persoonia virgata,1,1,wood.density,0.52,g/cm^3,NA,NA,NA,NA
NA,Persoonia virgata,2,1,wood.density,0.55,g/cm^3,NA,NA,NA,NA
NA,Persoonia virgata,3,1,wood.density,0.48,g/cm^3,NA,NA,NA,NA
NA,Persoonia virgata,4,1,wood.density,0.54,g/cm^3,NA,NA,NA,NA
NA,Persoonia virgata,5,1,wood.density,0.55,g/cm^3,NA,NA,NA,NA
NA,Acacia hubbardiana,1,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Acacia hubbardiana,2,1,wood.density,0.72,g/cm^3,NA,NA,NA,NA
NA,Acacia hubbardiana,3,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Acacia hubbardiana,4,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Acacia hubbardiana,5,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Sannantha collina,1,1,wood.density,0.72,g/cm^3,NA,NA,NA,NA
NA,Sannantha collina,2,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Sannantha collina,3,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Sannantha collina,4,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Sannantha collina,5,1,wood.density,0.73,g/cm^3,NA,NA,NA,NA
NA,Sauropus albiflorus,1,1,wood.density,0.65,g/cm^3,NA,NA,NA,NA
NA,Sauropus albiflorus,2,1,wood.density,0.69,g/cm^3,NA,NA,NA,NA
NA,Sauropus albiflorus,3,1,wood.density,0.67,g/cm^3,NA,NA,NA,NA
NA,Sauropus albiflorus,4,1,wood.density,0.69,g/cm^3,NA,NA,NA,NA
NA,Sauropus albiflorus,5,1,wood.density,0.71,g/cm^3,NA,NA,NA,NA
NA,Melaleuca nodosa,1,1,wood.density,0.56,g/cm^3,NA,NA,NA,NA
NA,Melaleuca nodosa,2,1,wood.density,0.6,g/cm^3,NA,NA,NA,NA
NA,Melaleuca nodosa,3,1,wood.density,0.61,g/cm^3,NA,NA,NA,NA
NA,Melaleuca nodosa,4,1,wood.density,0.63,g/cm^3,NA,NA,NA,NA
NA,Melaleuca nodosa,5,1,wood.density,0.68,g/cm^3,NA,NA,NA,NA
MtEdwards etc,Melodorum leichhardtii,1,1,wood.density,0.63,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Toechima tenax,1,1,wood.density,0.65,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Bridelia leichhardtii,2,1,wood.density,0.66,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Melodorum leichhardtii,2,1,wood.density,0.52,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Melodorum leichhardtii,3,1,wood.density,0.56,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Smilax australis,1,1,wood.density,0.44,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia acrionastes,1,1,wood.density,0.61,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia acrionastes,2,1,wood.density,0.55,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia acrionastes,3,1,wood.density,0.67,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia acrionastes,4,1,wood.density,0.75,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Eucalyptus dura,1,1,wood.density,0.57,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Passiflora suberosa,1,1,wood.density,0.28,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Passiflora suberosa,2,1,wood.density,0.26,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Passiflora suberosa,3,1,wood.density,0.31,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Passiflora suberosa,4,1,wood.density,0.3,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Passiflora suberosa,5,1,wood.density,0.32,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Cayratia acris,1,1,wood.density,0.24,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Mirbelia pungens,1,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Mirbelia pungens,2,1,wood.density,0.55,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Mirbelia pungens,3,1,wood.density,0.69,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Mirbelia pungens,4,1,wood.density,0.67,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Mirbelia pungens,5,1,wood.density,0.58,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Bridelia leichhardtii,3,1,wood.density,0.65,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Bridelia leichhardtii,4,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Muehlenbeckia rhyticarya,1,1,wood.density,0.38,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Alyxia ilicifolia,1,1,wood.density,0.71,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Alyxia ilicifolia,2,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Alyxia ilicifolia,3,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Alyxia ilicifolia,4,1,wood.density,0.73,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia brunioides,1,1,wood.density,0.69,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia brunioides,2,1,wood.density,0.69,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia brunioides,3,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia brunioides,4,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Acacia brunioides,5,1,wood.density,0.67,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Dodonaea triangularis,1,1,wood.density,0.66,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Dodonaea triangularis,2,1,wood.density,0.72,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Dodonaea triangularis,3,1,wood.density,0.75,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Dodonaea triangularis,4,1,wood.density,0.66,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Dodonaea triangularis,5,1,wood.density,0.75,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Cupaniopsis serrata,1,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Cupaniopsis serrata,2,1,wood.density,0.52,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Cupaniopsis serrata,3,1,wood.density,0.52,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Capparis lasiantha,1,1,wood.density,0.59,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Capparis lasiantha,2,1,wood.density,0.79,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Capparis lasiantha,3,1,wood.density,0.58,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Capparis lasiantha,4,1,wood.density,0.6,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Smilax australis,2,1,wood.density,0.53,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Smilax australis,3,1,wood.density,0.51,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Solanum stelligerum,1,1,wood.density,0.54,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Solanum stelligerum,2,1,wood.density,0.58,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Solanum stelligerum,3,1,wood.density,0.63,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Solanum stelligerum,4,1,wood.density,0.63,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Solanum stelligerum,5,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Carissa ovata,2,1,wood.density,0.68,g/cm^3,NA,NA,NA,MtEdwards etc
MtEdwards etc,Carissa ovata,3,1,wood.density,0.6,g/cm^3,NA,NA,NA,MtEdwards etc
