running #,date_sampled,Site#,S deg,S min,S sec,E deg,E min,E sec,Site Description,Sample#,Genus,species,working title,leaf type,DN#,Field Remarks,# of leafs for LA,LA (cm),dry weight (g),Lab remarks,species_name,latitude (deg),longitude (deg),leaf_area_cm2,physical_defence,leaf_compoundness,Date,Latitude,Longitude,Life-form,Deciduous,habitat,vegetation,soil,surface/groundwater access,fire,N2 fixing,category,Specific Leaf Area (m2 kg-1),Delta vs. PDB-corr. 13/12 C,Delta vs. air-corr 29/28 N,C (g/kg),N (g/kg),P (mg/kg),Rainfall,site_name,Date_to_use,Date_to_use_edited
324,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,salubris,NA,NA,NA,NA,10,73.648,NA,NA,Eucalyptus salubris,NA,NA,7.3648,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.647746409,-28.37,-1.55,480.244,8.195,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
325,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,transcontinentalis,NA,NA,NA,NA,10,82.546,NA,NA,Eucalyptus transcontinentalis,NA,NA,8.2546,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.556484274,-28.72,2.23,517.506,14.828,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
326,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,vittata,NA,NA,NA,NA,10,130.186,NA,NA,Eucalyptus vittata,NA,NA,13.0186,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,2.277173343,-27.37,1.84,502.262,10.285,1136,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
327,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,xerothermica,NA,NA,NA,NA,10,237.448,NA,NA,Eucalyptus xerothermica,NA,NA,23.7448,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.460332265,-29.27,3.12,481.442,10.947,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
328,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,yilgarnensis,NA,NA,NA,NA,10,49.928,NA,NA,Eucalyptus yilgarnensis,NA,NA,4.9928,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.576504298,-28.86,2.69,506.813,12.249,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
298,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,camaldulensis subsp. refulgens,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus camaldulensis subsp. refulgens,NA,NA,NA,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,4.545854628,-27.95,3.46,478.642,15.476,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
299,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,celastroides subsp. celastroides,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus celastroides subsp. celastroides,NA,NA,NA,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,2.71927619,-27.89,1.94,504.508,10.108,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
303,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,ebbanoensis subsp. ebbanoensis,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus ebbanoensis subsp. ebbanoensis,NA,NA,NA,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,2.962940705,-28.46,0.34,521.606,9.988,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
308,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,gittinsii subsp. gittinsii,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus gittinsii subsp. gittinsii,NA,NA,NA,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,2.741919871,-29.28,1.87,515.003,9.117,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
310,NA,NA,NA,NA,NA,NA,NA,NA,Currency Creek Arboretum,NA,Eucalyptus,leptopoda subsp. subluta,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus leptopoda subsp. subluta,NA,NA,NA,NA,NA,8/15/2010,-35.42917,138.76278,woody,evergreen,gentle hillslope,woodland,sand-loam over clay,no,unburnt,non-N2 fixing,2,3.311338532,-29.08,1.61,499.831,12.063,NA,NA,Currency Creek Arboretum,8/15/2010,8/15/2010
