Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment,location_name
014289-a-trial,014289-a,Pimelea serpyllifolia subsp. serpyllifolia,Tasmanian Seed Conservation Centre,Inner Sister Island. Small gully above west end on North Beach.,-39.69075,147.903222,,,,,,,,,,,,,,,,,,,,,,,,,,20,,44,,,,,,,,,seeds_collected_at_-39.69075_lat_and_147.903222_long
014278-a,014278-a,Eucalyptus globulus subsp. pseudoglobulus,Tasmanian Seed Conservation Centre,Inner Sister Island. 80m inland from House Beach.,-39.697889,147.914056,,3150,,1.8528,,,-20,,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.697889_lat_and_147.914056_long
014278-a-trial,014278-a,Eucalyptus globulus subsp. pseudoglobulus,Tasmanian Seed Conservation Centre,Inner Sister Island. 80m inland from House Beach.,-39.697889,147.914056,,,,,,,,,,,,,,,,,,,,,,,,,,20,,100,,,,,,,,,seeds_collected_at_-39.697889_lat_and_147.914056_long
015422-a,015422-a,Phyllangium distylis,Tasmanian Seed Conservation Centre,King Island. Lavinia Nature Reserve. Lavinia Plains. Fire break.,-39.700694,144.060306,,10637,,0.0191106,,,-20,12/15/2011,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.700694_lat_and_144.060306_long
015422-a-trial,015422-a,Phyllangium distylis,Tasmanian Seed Conservation Centre,King Island. Lavinia Nature Reserve. Lavinia Plains. Fire break.,-39.700694,144.060306,,,,,,,,12/15/2011,,,,,,,,,,,,,,,,,,49,,100,,,,,,,,,seeds_collected_at_-39.700694_lat_and_144.060306_long
014311-a,014311-a,Muehlenbeckia adpressa,Tasmanian Seed Conservation Centre,Inner Sister Island. Bottom of Nettle Gully.,-39.702389,147.928861,,1410,,4.9092,,,-20,,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.702389_lat_and_147.928861_long
014311-a-trial,014311-a,Muehlenbeckia adpressa,Tasmanian Seed Conservation Centre,Inner Sister Island. Bottom of Nettle Gully.,-39.702389,147.928861,,,,,,,,,,,,,,,,,,,,,,,,,,20,,45,,,,,,,,,seeds_collected_at_-39.702389_lat_and_147.928861_long
015400-a,015400-a,Acacia suaveolens,Tasmanian Seed Conservation Centre,King Island. Lavinia Nature Reserve. Dunes to west of Nook Swamp.,-39.714139,144.071389,,1480,,34.7812,,,-20,12/15/2011,2/28/2013,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.714139_lat_and_144.071389_long
015411-a,015411-a,Cassytha pedicellosa,Tasmanian Seed Conservation Centre,King Island. Lavinia Nature Reserve. Lavinia Plains.,-39.714139,144.071389,,357,,11.2736,,,-20,12/15/2011,9/23/2013,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.714139_lat_and_144.071389_long_2
015400-a-trial,015400-a,Acacia suaveolens,Tasmanian Seed Conservation Centre,King Island. Lavinia Nature Reserve. Dunes to west of Nook Swamp.,-39.714139,144.071389,,,,,,,,12/15/2011,2/28/2013,,,,,,,,,,,2/28/2013,,,,,,20,,100,,,,,,,,,seeds_collected_at_-39.714139_lat_and_144.071389_long
010516-a,010516-a,Gratiola pubescens,Tasmanian Seed Conservation Centre,King Island. Nook Swamp.,-39.724703,144.080519,,3710,,0.012,,,-20,3/26/2009,8/20/2010,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.724703_lat_and_144.080519_long
010516-a-trial,010516-a,Gratiola pubescens,Tasmanian Seed Conservation Centre,King Island. Nook Swamp.,-39.724703,144.080519,,,,,,,,3/26/2009,8/20/2010,,,,,,,,,,,8/20/2010,,,,,,20,,89,,,,,,,,,seeds_collected_at_-39.724703_lat_and_144.080519_long
003234-a,003234-a,Frankenia pauciflora var. gunnii,Tasmanian Seed Conservation Centre,Flinders Island. Palanna. She Oak Point.,-39.748056,147.862778,,631,,0.5648,,,-20,1/11/2007,3/26/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.748056_lat_and_147.862778_long
006831-a,006831-a,Frankenia pauciflora var. gunnii,Tasmanian Seed Conservation Centre,Flinders Island. Palanna. She Oak Point.,-39.748056,147.862778,,8458,,0.2096,,,-20,3/28/2008,9/16/2008,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.748056_lat_and_147.862778_long
006831-a-trial,006831-a,Frankenia pauciflora var. gunnii,Tasmanian Seed Conservation Centre,Flinders Island. Palanna. She Oak Point.,-39.748056,147.862778,,,,,,,,3/28/2008,9/16/2008,,,,,,,,,,,9/16/2008,,,,,,50,,75,,,,,,,,,seeds_collected_at_-39.748056_lat_and_147.862778_long
003278-a,003278-a,Roepera billardierei,Tasmanian Seed Conservation Centre,Flinders Island. Palanna. Side of road.,-39.760833,147.876667,,3712,,2.9716,,,-20,1/10/2007,6/18/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.760833_lat_and_147.876667_long
003278-a-trial,003278-a,Roepera billardierei,Tasmanian Seed Conservation Centre,Flinders Island. Palanna. Side of road.,-39.760833,147.876667,,,,,,,,1/10/2007,6/18/2007,,,,,,,,,,,6/18/2007,,,,,,20,,5,,,,,,,,,seeds_collected_at_-39.760833_lat_and_147.876667_long
018106-a,018106-a,Leptospermum laevigatum,Tasmanian Seed Conservation Centre,Flinders Island. Killiecrankie Nature Recreation Area. 'The Dock' north of Mt Killiecrankie.,-39.7985,147.862194,,31579,,0.2252,,,-20,3/21/2014,6/14/2016,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.7985_lat_and_147.862194_long
018106-a-trial,018106-a,Leptospermum laevigatum,Tasmanian Seed Conservation Centre,Flinders Island. Killiecrankie Nature Recreation Area. 'The Dock' north of Mt Killiecrankie.,-39.7985,147.862194,,,,,,,,3/21/2014,6/14/2016,,,,,,,,,,,6/14/2016,,,,,,50,,95,,,,,,,,,seeds_collected_at_-39.7985_lat_and_147.862194_long
018183-a,018183-a,Allocasuarina verticillata,Tasmanian Seed Conservation Centre,Flinders Island. Killiecrankie Nature Recreation Area. Coast west of 'The Dock'.,-39.800722,147.855,,23773,,3.0216,,,-20,3/29/2014,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.800722_lat_and_147.855_long
018183-a-trial,018183-a,Allocasuarina verticillata,Tasmanian Seed Conservation Centre,Flinders Island. Killiecrankie Nature Recreation Area. Coast west of 'The Dock'.,-39.800722,147.855,,,,,,,,3/29/2014,,,,,,,,,,,,,,,,,,60,,87,,,,,,,,,seeds_collected_at_-39.800722_lat_and_147.855_long
018172-a,018172-a,Hakea nodosa,Tasmanian Seed Conservation Centre,"Flinders Island. Wingaroo Nature Reserve. South slope of Stony Creek valley, ~1.6km west of Mt Boyes.",-39.85975,147.900333,,1899,,14.40128,,,-20,3/28/2014,6/14/2016,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.85975_lat_and_147.900333_long
018172-a-trial,018172-a,Hakea nodosa,Tasmanian Seed Conservation Centre,"Flinders Island. Wingaroo Nature Reserve. South slope of Stony Creek valley, ~1.6km west of Mt Boyes.",-39.85975,147.900333,,,,,,,,3/28/2014,6/14/2016,,,,,,,,,,,6/14/2016,,,,,,20,,88,,,,,,,,,seeds_collected_at_-39.85975_lat_and_147.900333_long
022847-a,022847-a,Lasiopetalum macrophyllum,Tasmanian Seed Conservation Centre,Flinders Island. Palana Road boundary between Wingaroo nature Reserve and Mt Tanner Nature Recreation Area.,-39.867361,147.883472,,3753,,2.2168,,,-20,12/15/2020,3/29/2023,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.867361_lat_and_147.883472_long
022880-a,022880-a,Allocasuarina paludosa,Tasmanian Seed Conservation Centre,Flinders Island. Southern boundary of Foochow Conservation Area.,-39.887139,148.020306,,10708,,0.822,,,-20,12/17/2020,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.887139_lat_and_148.020306_long
022858-a,022858-a,Pomaderris intermedia,Tasmanian Seed Conservation Centre,Flinders Island. West End Road. Mt Tanner Nature Recreation Area.,-39.888333,147.871917,,4137,,1.4356,,,-20,12/15/2020,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.888333_lat_and_147.871917_long
003190-a,003190-a,Hypolaena fastigiata,Tasmanian Seed Conservation Centre,Flinders Island Wingaroo Nature Reserve. South side of road.,-39.889167,147.996944,,467,,4.4236,,,-20,1/10/2007,3/23/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.889167_lat_and_147.996944_long
003201-a,003201-a,Hakea ulicina,Tasmanian Seed Conservation Centre,Flinders Island. Wingaroo Nature Reserve. South of Wingaroo Property.,-39.89,147.996667,,1898,,6.4216,,,-20,1/10/2007,3/26/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.89_lat_and_147.996667_long
003201-a-trial,003201-a,Hakea ulicina,Tasmanian Seed Conservation Centre,Flinders Island. Wingaroo Nature Reserve. South of Wingaroo Property.,-39.89,147.996667,,,,,,,,1/10/2007,3/26/2007,,,,,,,,,,,3/26/2007,,,,,,20,,96,,,,,,,,,seeds_collected_at_-39.89_lat_and_147.996667_long
018117-a,018117-a,Allocasuarina monilifera,Tasmanian Seed Conservation Centre,"Flinders Island. Wingaroo Nature Reserve. Southern end of reserve, on track opposite Reedy Lagoon.",-39.893667,147.8975,,30927,,1.4436,,,-20,3/23/2014,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.893667_lat_and_147.8975_long
018117-a-trial,018117-a,Allocasuarina monilifera,Tasmanian Seed Conservation Centre,"Flinders Island. Wingaroo Nature Reserve. Southern end of reserve, on track opposite Reedy Lagoon.",-39.893667,147.8975,,,,,,,,3/23/2014,,,,,,,,,,,,,,,,,,50,,75,,,,,,,,,seeds_collected_at_-39.893667_lat_and_147.8975_long
003179-a,003179-a,Apium insulare,Tasmanian Seed Conservation Centre,Flinders Island. Egg Beach Coastal Reserve.,-39.893889,147.773889,,13108,,1.0856,,,-20,1/10/2007,3/23/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.893889_lat_and_147.773889_long
018128-a,018128-a,Hakea decurrens subsp. platytaenia,Tasmanian Seed Conservation Centre,"Flinders Island. Wingaroo Nature Reserve. Southern end of reserve, on track opposite Reedy Lagoon.",-39.894389,147.898861,,2584,,30.1832,,,-20,3/24/2014,8/28/2014,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.894389_lat_and_147.898861_long
018128-a-trial,018128-a,Hakea decurrens subsp. platytaenia,Tasmanian Seed Conservation Centre,"Flinders Island. Wingaroo Nature Reserve. Southern end of reserve, on track opposite Reedy Lagoon.",-39.894389,147.898861,,,,,,,,3/24/2014,8/28/2014,,,,,,,,,,,8/28/2014,,,,,,20,,71,,,,,,,,,seeds_collected_at_-39.894389_lat_and_147.898861_long
018095-a,018095-a,Eucalyptus willisii,Tasmanian Seed Conservation Centre,"Flinders Island. Wingaroo Nature Reserve. Southern end of reserve, on track opposite Reedy Lagoon.",-39.897028,147.891861,,69805,,0.5852,,,-20,3/21/2014,6/14/2016,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.897028_lat_and_147.891861_long
018095-a-trial,018095-a,Eucalyptus willisii,Tasmanian Seed Conservation Centre,"Flinders Island. Wingaroo Nature Reserve. Southern end of reserve, on track opposite Reedy Lagoon.",-39.897028,147.891861,,,,,,,,3/21/2014,6/14/2016,,,,,,,,,,,6/14/2016,,,,,,50,,100,,,,,,,,,seeds_collected_at_-39.897028_lat_and_147.891861_long
003300-a,003300-a,Lasiopetalum macrophyllum,Tasmanian Seed Conservation Centre,Flinders Island. Pine Scrub. Mt Tanner Road.,-39.9025,147.830278,,3476,,1.5092,,,-20,1/11/2007,3/26/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.9025_lat_and_147.830278_long_2
003289-a,003289-a,Hakea decurrens subsp. physocarpa,Tasmanian Seed Conservation Centre,Flinders Island. 'Pine Scrub'. Mt. Tanner Road.,-39.9025,147.830278,,1295,,25.206,,,-20,1/11/2007,4/17/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.9025_lat_and_147.830278_long
003300-a-trial,003300-a,Lasiopetalum macrophyllum,Tasmanian Seed Conservation Centre,Flinders Island. Pine Scrub. Mt Tanner Road.,-39.9025,147.830278,,,,,,,,1/11/2007,3/26/2007,,,,,,,,,,,3/26/2007,,,,,,20,,89,,,,,,,,,seeds_collected_at_-39.9025_lat_and_147.830278_long_2
003300-a-trial-retest,003300-a,Lasiopetalum macrophyllum,Tasmanian Seed Conservation Centre,Flinders Island. Pine Scrub. Mt Tanner Road.,-39.9025,147.830278,,,,,,,,1/11/2007,3/26/2007,,,,,,,,,,,6/11/2019,,,,,,,,79,,,,,,,,,seeds_collected_at_-39.9025_lat_and_147.830278_long_2
003289-a-trial,003289-a,Hakea decurrens subsp. physocarpa,Tasmanian Seed Conservation Centre,Flinders Island. 'Pine Scrub'. Mt. Tanner Road.,-39.9025,147.830278,,,,,,,,1/11/2007,4/17/2007,,,,,,,,,,,4/17/2007,,,,,,20,,80,,,,,,,,,seeds_collected_at_-39.9025_lat_and_147.830278_long
018139-a,018139-a,Banksia serrata,Tasmanian Seed Conservation Centre,Flinders Island. Wingaroo Nature Reserve.,-39.904083,147.909306,,1406,,58.1588,,,-20,3/25/2014,6/14/2016,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.904083_lat_and_147.909306_long
018139-a-trial,018139-a,Banksia serrata,Tasmanian Seed Conservation Centre,Flinders Island. Wingaroo Nature Reserve.,-39.904083,147.909306,,,,,,,,3/25/2014,6/14/2016,,,,,,,,,,,6/14/2016,,,,,,20,,100,,,,,,,,,seeds_collected_at_-39.904083_lat_and_147.909306_long
016280-a,016280-a,Melaleuca squamea,Tasmanian Seed Conservation Centre,Flinders Island. North Patriarch track.,-39.954833,148.180361,,2294,,0.2692,,,-20,,5/21/2013,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.954833_lat_and_148.180361_long
016280-a-trial,016280-a,Melaleuca squamea,Tasmanian Seed Conservation Centre,Flinders Island. North Patriarch track.,-39.954833,148.180361,,,,,,,,,5/21/2013,,,,,,,,,,,5/21/2013,,,,,,20,,100,,,,,,,,,seeds_collected_at_-39.954833_lat_and_148.180361_long
016269-a,016269-a,Leptospermum scoparium,Tasmanian Seed Conservation Centre,Flinders Island. North Patriarch track.,-39.962333,148.191528,,64139,,0.079333,,,-20,,5/21/2013,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.962333_lat_and_148.191528_long
016269-a-trial,016269-a,Leptospermum scoparium,Tasmanian Seed Conservation Centre,Flinders Island. North Patriarch track.,-39.962333,148.191528,,,,,,,,,5/21/2013,,,,,,,,,,,5/21/2013,,,,,,80,,100,,,,,,,,,seeds_collected_at_-39.962333_lat_and_148.191528_long
016302-a,016302-a,Melaleuca squarrosa,Tasmanian Seed Conservation Centre,Flinders Island. Lake edge; North Patriarchs.,-39.966444,148.114167,,4033,,0.2144,,,-20,12/10/2012,5/24/2013,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.966444_lat_and_148.114167_long
003267-a,003267-a,Ozothamnus argophyllus,Tasmanian Seed Conservation Centre,Flinders Island. Middle Patriarch. Northern end of ridge.,-39.983056,148.189167,,32066,,0.1072,,,-20,1/11/2007,6/18/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.983056_lat_and_148.189167_long
003267-a,003267-a,Ozothamnus argophyllus,Tasmanian Seed Conservation Centre,Flinders Island. Middle Patriarch. Northern end of ridge.,-39.983056,148.189167,,32066,,0.1072,,,-20,1/11/2007,6/18/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.983056_lat_and_148.189167_long
003267-a-trial,003267-a,Ozothamnus argophyllus,Tasmanian Seed Conservation Centre,Flinders Island. Middle Patriarch. Northern end of ridge.,-39.983056,148.189167,,,,,,,,1/11/2007,6/18/2007,,,,,,,,,,,6/18/2007,,,,,,50,,99,,,,,,,,,seeds_collected_at_-39.983056_lat_and_148.189167_long
003267-a-trial,003267-a,Ozothamnus argophyllus,Tasmanian Seed Conservation Centre,Flinders Island. Middle Patriarch. Northern end of ridge.,-39.983056,148.189167,,,,,,,,1/11/2007,6/18/2007,,,,,,,,,,,6/18/2007,,,,,,50,,99,,,,,,,,,seeds_collected_at_-39.983056_lat_and_148.189167_long
003256-a,003256-a,Zoysia macrantha subsp. walshii,Tasmanian Seed Conservation Centre,Flinders Island. Patriarch Conservation Area. Field in front of Patriarch Wildlife Trust A-Frame.,-39.996667,148.208611,,10381,,0.3388,,,-20,1/11/2007,4/18/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-39.996667_lat_and_148.208611_long
003091-a,003091-a,Gynatrix pulchella,Tasmanian Seed Conservation Centre,"Flinders Island. South of Summer Camp road, just east of Summer Camp.",-40.005833,148.086389,,5752,,2.6056,,,-20,,3/23/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-40.005833_lat_and_148.086389_long
018194-a,018194-a,Pandorea pandorana,Tasmanian Seed Conservation Centre,Flinders Island. Darling Range Conservation Area. Summer Camp Gully. ~20m upstream of the final water slides.,-40.010278,148.086389,,366,,4.8472677,,,-20,3/30/2014,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-40.010278_lat_and_148.086389_long
003135-a,003135-a,Threlkeldia diffusa,Tasmanian Seed Conservation Centre,Flinders Island. Emita. Wybalenna. Port Davies boat ramp.,-40.010556,147.872778,,4129,,2.482,,,-20,1/10/2007,3/26/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-40.010556_lat_and_147.872778_long
003135-a-trial,003135-a,Threlkeldia diffusa,Tasmanian Seed Conservation Centre,Flinders Island. Emita. Wybalenna. Port Davies boat ramp.,-40.010556,147.872778,,,,,,,,1/10/2007,3/26/2007,,,,,,,,,,,3/26/2007,,,,,,30,,88,,,,,,,,,seeds_collected_at_-40.010556_lat_and_147.872778_long
008107-a,008107-a,Gnaphalium indutum subsp. indutum,Tasmanian Seed Conservation Centre,Prime Seal Island. Northern quarter of island. Track near Spit Point.,-40.041667,147.781667,,10803,,0.0403409,,,-20,10/15/2008,5/14/2009,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-40.041667_lat_and_147.781667_long
008107-a,008107-a,Gnaphalium indutum subsp. indutum,Tasmanian Seed Conservation Centre,Prime Seal Island. Northern quarter of island. Track near Spit Point.,-40.041667,147.781667,,10803,,0.0403409,,,-20,10/15/2008,5/14/2009,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-40.041667_lat_and_147.781667_long
008107-a-trial,008107-a,Gnaphalium indutum subsp. indutum,Tasmanian Seed Conservation Centre,Prime Seal Island. Northern quarter of island. Track near Spit Point.,-40.041667,147.781667,,,,,,,,10/15/2008,5/14/2009,,,,,,,,,,,5/14/2009,,,,,,50,,92,,,,,,,,,seeds_collected_at_-40.041667_lat_and_147.781667_long
008107-a-trial,008107-a,Gnaphalium indutum subsp. indutum,Tasmanian Seed Conservation Centre,Prime Seal Island. Northern quarter of island. Track near Spit Point.,-40.041667,147.781667,,,,,,,,10/15/2008,5/14/2009,,,,,,,,,,,5/14/2009,,,,,,50,,92,,,,,,,,,seeds_collected_at_-40.041667_lat_and_147.781667_long
018161-a,018161-a,Hakea ulicina,Tasmanian Seed Conservation Centre,Flinders Island. Brougham Sugarloaf Conservation Area. 200m northeast of Memana Road.,-40.045639,148.051444,,2701,,6.936,,,-20,3/26/2014,8/27/2014,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-40.045639_lat_and_148.051444_long
018161-a-trial,018161-a,Hakea ulicina,Tasmanian Seed Conservation Centre,Flinders Island. Brougham Sugarloaf Conservation Area. 200m northeast of Memana Road.,-40.045639,148.051444,,,,,,,,3/26/2014,8/27/2014,,,,,,,,,,,8/27/2014,,,,,,20,,85,,,,,,,,,seeds_collected_at_-40.045639_lat_and_148.051444_long
016291-a,016291-a,Melaleuca gibbosa,Tasmanian Seed Conservation Centre,Flinders Island. Memana Road.,-40.047028,148.052917,,7891,,0.0772,,,-20,,5/21/2013,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-40.047028_lat_and_148.052917_long
016291-a-trial,016291-a,Melaleuca gibbosa,Tasmanian Seed Conservation Centre,Flinders Island. Memana Road.,-40.047028,148.052917,,,,,,,,,5/21/2013,,,,,,,,,,,5/21/2013,,,,,,30,,87,,,,,,,,,seeds_collected_at_-40.047028_lat_and_148.052917_long
003355-a,003355-a,Rytidosperma geniculatum,Tasmanian Seed Conservation Centre,Flinders Island. Palana Road. 5km north of Airport.,-40.05225,147.950222,,983,,0.2136,,,-20,1/13/2007,4/19/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-40.05225_lat_and_147.950222_long
