Species code ,Species name ,Location_written,Latitude,Longitude,PFT_Gosper2012,Veg_type,Time_from_fire_to_fGrounder,Fire_response,Serotiny,Soil_seedbank,Comeditive_stratum,Lifespan,location
CALSAP ,Calytrix sapphirina ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,30,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
CASPOM ,Cassytha pomiformis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,126,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
CAUDIO ,Caustis dioica ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CHASPI ,Chamaescilla spiralis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CHASER ,Chamaexeros serra ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CHOACI ,Chorizema aciculare ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,18,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
COMCAL ,Comesperma calymega ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
COMGRI ,Comesperma griffinii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,K ,6,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
COMSCO ,Comesperma scoparium ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,K ,18,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
CONPET ,Conostylis petrophiloides ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,K ,30,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
CONSETSE ,Conostylis setigera subsp. setigera ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CRYGLA ,Cryptandra glabriflora ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,6,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
CRYPUN ,Cryptandra pungens ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,30,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
CYAGEM ,Cyanicula gemmata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DAMLAV ,Dampiera lavandulacea ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,30,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DAMLIN ,Dampiera lindleyi ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,K ,18,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
DAVINC ,Daviesia incrassata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,42,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DAVRHO ,Daviesia rhombifolia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,90,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
DESFAS ,Desmocladus fasciculatus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,30,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DICCAP ,Dichopogon capillipes ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,54,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DILLAX ,Dillwynia laxiflora ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,66,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DIULON ,Diuris longifolia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,18,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DROGLA ,Drosera glanduligera ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DROLEU ,Drosera leucoblasta ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,K ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan"
DROMAC ,Drosera macrantha subsp. macrantha ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DROMIC ,Drosera microphylla ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,18,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DROSUB ,Drosera subhirtella ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
DROZON ,Drosera zonaria ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,54,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ELYBRU ,Elythranthera brunonis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ERISAC ,Ericksonella saccharata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GAHAUS ,Gahnia australis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GASCAL ,Gastrolobium calycinum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,42,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
GASPAR ,Gastrolobium parviflorum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,18,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GASTRI ,Gastrolobium trilobum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,66,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GLIAUR ,Glischrocaryon aureum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GOMMAR ,Gompholobium marginatum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,18,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GOMTOM ,Gompholobium tomentosum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,66,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GOOBER ,Goodenia berardiana ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,W ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, wandoo and she-oak woodland"
GOOCOE ,Goodenia coerulea ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GOOINC ,Goodenia incana ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,K ,42,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
GOOSCA ,Goodenia scapigera subsp. scapigera ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,W ,30,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
GRETEN ,Grevillea tenuiflora ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,66,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
GYRSUB ,Gyrostemon subnudus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Mid,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
HAESIM ,Haemodorum simplex ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,18,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
HAKGIL ,Hakea gilbertii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,K ,90,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
HAKINC ,Hakea incrassata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,54,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
HAKLEH ,Hakea lehmanniana ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,90,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
HEMINC ,Hemigenia incana ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,18,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
HIBCOM ,Hibbertia commutata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,W ,18,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
HIBEXA ,Hibbertia exasperata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,6,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
HIBHEM ,Hibbertia hemignosta ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,18,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
HIBMIC ,Hibbertia microphylla ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,K ,18,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
HYPANG ,Hypocalymma angustifolium ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,30,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
ISOTER ,Isopogon teretifolius ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,30,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
ISOCUN ,Isotropis cuneifolia subsp. cuneifolia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,W ,18,,No,Yes,Ground,Short,"Tutanning Nature Reserve, wandoo and she-oak woodland"
JACALA ,Jacksonia alata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,K ,30,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
JACRAC ,Jacksonia racemosa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,K ,90,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
JACRES ,Jacksonia restioides ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,18,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
KENPRO ,Kennedia prostrata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,W ,30,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
KUNMIC ,Kunzea micromera ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,30,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
LABLANL ,Labichea lanceolata subsp. brevifolia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,30,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LAXOMN ,Laxmannia omnifertilis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,18,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LAXPAL ,Laxmannia paleacea ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,6,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LAXRAMRA ,Laxmannia ramosa subsp. ramosa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,18,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LAXSQU ,Laxmannia squarrosa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,W ,18,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
LECBIL ,Lechenaultia biloba ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,30,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
LEPCHA ,Lepidobolus chaetocephalus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LEPPUB ,Lepidosperma aff pubisquameum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,66,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LEPLEP ,Lepidosperma leptostachyum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LEPSPSB ,"Lepidosperma sp. ""shredded bases"" (K.L. Wilson 2794) ","Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LEPTEN ,Lepidosperma tenue ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,18,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LEPTUB ,Lepidosperma tuberculatum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,30,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LEPFIM ,Leporella fimbriata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,90,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LEPMEN ,Leptoceras menziesii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,K ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan"
LEPERU ,Leptospermum erubescens ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,42,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
LEUCON ,Leucopogon conostephioides ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,66,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
LEUDIE ,Leucopogon dielsianus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,18,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LEUPLA ,Leucopogon planifolius ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,126,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LOMCAE ,Lomandra caespitosa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,66,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LOMEFF ,Lomandra effusa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,126,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LOMMICMI ,Lomandra micrantha subsp. micrantha ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
LYSCIL ,Lysinema ciliatum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,54,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
MARERU ,Marianthus erubescens ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,6,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
MELLEC ,Melaleuca lecanantha ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,K ,30,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
