current full name without authority,Endemicity_level,Growth Form,Growth Form_1,Growth Form_2,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Laminar Unit Area (mm2),1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,References,regen_strategy
Aristida hygrometrica,Australia,Tussock,NA,NA,Therophyte,0.84,not_vegetative,C4,110,270,0.8,1.2,simple,114,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,6.6,8.5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida inaequiglumis,Australia,Tussock,NA,NA,Hemicryophyte,1.55,not_vegetative,C4,150,300,2.3,4.5,simple,459,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3.1,7,NA,NA,0.001614,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Aristida ingrata,Australia,Tussock,NA,NA,Hemicryophyte,1.55,not_vegetative,C4,100,230,3,4,simple,346.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida jerichoensis,Australia,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,C4,160,180,2,2,simple,204,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3.5,4.5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida jerichoensis var. jerichoensis,Australia,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,C4,160,180,2,2,simple,204,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3.5,4.5,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida jerichoensis var. subspinulifera,Australia,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,C4,160,180,2,2,simple,204,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3.5,4.5,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida latifolia,Australia,Tussock,NA,NA,Hemicryophyte,1.31,not_vegetative,C4,350,700,2,4.5,simple,1023.75,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5,7.5,NA,NA,0.001,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Aristida lazaridis,Australia,Tussock,NA,NA,Hemicryophyte,1.4,not_vegetative,C4,100,200,2,3,simple,225,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5,8.5,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida leptopoda,Australia,Tussock,NA,NA,Hemicryophyte,0.65,not_vegetative,C4,150,300,3.5,3.5,simple,472.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,10.5,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida lignosa,Australia,Tussock,NA,NA,Hemicryophyte,2,not_vegetative,C4,150,300,2,4,simple,405,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
