current full name without authority,Endemicity_level,Growth Form,Growth Form_1,Growth Form_2,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Laminar Unit Area (mm2),1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,References,regen_strategy
Garnotia stricta var. longiseta,NA,Tussock,NA,NA,Hemicryophyte,NA,not_vegetative,C4,NA,NA,NA,NA,simple,NA,NA,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/NCA 2006,NA
Gen.(Aq577997) sp. (Port Douglas R.L.Jago 6610),NA,Tussock,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,NA,NA,NA
Germainia grandiflora,Australia,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,70,300,2,5,simple,388.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,monoecious,AusGrass/GrassBase/Watson & Dallwitz 1992/APNI,NA
Hemarthria uncinata,Australia,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,50,150,1.5,5,simple,195,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Hemarthria uncinata var. uncinata,Australia,Tussock,NA,NA,Hemicryophyte,1,vegetative,C4,50,150,1.5,5,simple,195,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,Clonal above ground
Hemarthria uncinata var. spathacea,Australia,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,50,150,1.5,5,simple,195,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/APNI,NA
Heterachne abortiva,Australia,Tussock,NA,NA,Therophyte,0.35,not_vegetative,NA,50,180,0.8,4,simple,165.6,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,2e-4,Wind,NA,AusGrass/GrassBase/APNI,NA
Heterachne gulliveri,Australia,Tussock,NA,NA,Therophyte,0.66,not_vegetative,NA,35,160,0.5,3.5,simple,117,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,NA,Wind,NA,AusGrass/GrassBase,NA
Heterachne gulliveri var. gulliveri,Australia,Tussock,NA,NA,Therophyte,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,NA,AusGrass/GrassBase,NA
Heterachne gulliveri var. major,Australia,Tussock,NA,NA,Therophyte,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,NA,AusGrass/GrassBase,NA
Heteropogon contortus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,NA,30,300,2,8,simple,495,arbuscular mycorrhiza,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.0026,Wind,gynomonoecious andromonoecious,AusGrass/GrassBase/Flora of NSW 1993/APNI/ePIC/Wang & Qiu 2006,NA
Heteropogon triticeus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.6,not_vegetative,NA,200,800,3,16,simple,2850,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.01134,Wind,gynomonoecious andromonoecious,AusGrass/GrassBase/Flora of NSW 1993/APNI/ePIC,NA
Holcolemma dispar,Queensland,Tussock,NA,NA,Hemicryophyte,0.45,not_vegetative,C3,20,100,1,3,simple,72,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/APNI/ePIC,NA
Holcus lanatus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C3,40,200,3,10,simple,468,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,3e-4,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/APNI/ePIC/Wang & Qiu 2006,NA
Hordeum vulgare subsp. vulgare,Cosmopolitan,Tussock,NA,NA,Therophyte,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Watson & Dallwitz 1992/Wang & Qiu 2006,NA
Hymenachne acutigluma,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,2,vegetative,C3,120,450,6,30,simple,3078,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992/APNI,Clonal above ground
Hymenachne amplexicaulis cv. Olive,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/APNI,NA
Hyparrhenia filipendula,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,2,not_vegetative,C4,150,300,1.5,5,simple,438.75,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/GrassBase/Watson & Dallwitz 1992/APNI,NA
Hyparrhenia hirta,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,vegetative,C4,20,300,1,4,simple,240,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,7.6e-4,Wind,andromonoecious,AusGrass/GrassBase/Watson & Dallwitz 1992/APNI/ePIC,Clonal below ground
Hyparrhenia rufa,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,3,vegetative,C4,100,600,2,8,simple,1050,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,3e-4,Wind,andromonoecious,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,Clonal below ground
Hyparrhenia rufa subsp. rufa,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,3,vegetative,C4,100,600,2,8,simple,1050,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,3e-4,Wind,andromonoecious,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,Clonal below ground
Hyparrhenia rufa subsp. altissima,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,3,vegetative,C4,100,600,2,8,simple,1050,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,3e-4,Wind,andromonoecious,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,Clonal below ground
Ichnanthus pallens,Cosmopolitan,Tussock,Short Basal,NA,Hemicryophyte,0.6,not_vegetative,C3,20,110,5,25,simple,585,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992,NA
Ichnanthus pallens var. majus,NA,Tussock,Short Basal,NA,Hemicryophyte,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992/NCA 2006,NA
Imperata cylindrica,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.5,vegetative,C4,30,1000,2,20,simple,3399,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,1.1e-4,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992/ePIC/APNI/Wang & Qiu 2006,Clonal below ground
Isachne confusa,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,0.45,not_vegetative,C3,7,25,2,10,simple,57.6,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992,NA
Isachne globosa,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,0.9,not_vegetative,C3,10,140,3,20,simple,517.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,8e-4,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992/ePIC/APNI,NA
Isachne pulchella,Cosmopolitan,Tussock,NA,NA,Therophyte,0.35,not_vegetative,C3,10,50,2,10,simple,108,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992,NA
Isachne sp. (Cape Tribulation R.L.Jago 4560),northern Wet Tropics,Tussock,NA,NA,Therophyte,0.44,not_vegetative,C3,25,55,7,13,simple,240,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992,NA
Ischaemum australe,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,C4,100,200,3,5,simple,360,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992/APNI,NA
Ischaemum australe var. australe,NA,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,C4,100,200,3,5,simple,360,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992,NA
Ischaemum australe var. arundinaceum,NA,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,C4,100,200,3,5,simple,360,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992/APNI,NA
Ischaemum australe var. villosum,NA,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,C4,100,200,3,5,simple,360,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992/APNI,NA
Ischaemum decumbens,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,C4,10,50,1,6,simple,63,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992/APNI,NA
Ischaemum fragile,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.1,not_vegetative,C4,60,330,3,7,simple,585,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992,NA
Ischaemum muticum,Cosmopolitan,Tussock,Short Basal,NA,Hemicryophyte,0.4,not_vegetative,C4,20,150,4,14,simple,459,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992/ePIC,NA
Ischaemum rugosum,Cosmopolitan,Tussock,NA,NA,Therophyte,1,not_vegetative,C4,50,300,3,15,simple,945,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2,2.5,NA,NA,8.4e-4,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992/ePIC,NA
Ischaemum rugosum var. rugosum,NA,Tussock,NA,NA,Therophyte,1,not_vegetative,C4,50,300,3,15,simple,945,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2,2.5,NA,NA,7.1e-4,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992/ePIC,NA
Ischaemum rugosum var. segetum,NA,Tussock,NA,NA,Therophyte,1,not_vegetative,C4,50,300,3,15,simple,945,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2,2.5,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992,NA
Ischaemum triticeum,Australia,Tussock,NA,NA,Therophyte Hemicryophyte,2,not_vegetative,C4,60,330,3,12,simple,877.5,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992/APNI,NA
Ischaemum tropicum,Australia,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C4,80,200,2,4,simple,252,No obvious special uptake strategy,Water,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,andromonoecious,AusGrass/Watson & Dallwitz 1992,NA
Iseilema,NA,Tussock,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,NA,NA,NA
Iseilema calvum,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,C4,100,250,3,6,simple,472.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,3,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,AusGrass/Watson & Dallwitz 1992,NA
Iseilema calvum x I. vaginiflorum,NA,Tussock,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,NA,NA
Iseilema ciliatum,Australia,Tussock,NA,NA,Therophyte,0.35,not_vegetative,C4,60,120,2,3,simple,135,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,3.5,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,AusGrass/Watson & Dallwitz 1992,NA
Iseilema convexum,Australia,Tussock,NA,NA,Therophyte,0.7,not_vegetative,C4,90,180,3,5.5,simple,344.25,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,2.5,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,AusGrass/Watson & Dallwitz 1992,NA
Iseilema fragile,Australia,Tussock,NA,NA,Therophyte,0.2,not_vegetative,C4,30,70,2,4,simple,90,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,3.75,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,AusGrass/Watson & Dallwitz 1992,NA
Iseilema macratherum,Australia,Tussock,NA,NA,Therophyte,0.7,not_vegetative,C4,100,250,2,6,simple,420,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,2.5,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,AusGrass/Watson & Dallwitz 1992,NA
Iseilema macratherum x I. vaginiflorum,NA,Tussock,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,NA,NA
Iseilema membranaceum,Australia,Tussock,NA,NA,Therophyte,0.9,not_vegetative,C4,20,200,2,5,simple,231,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2,2.2,NA,NA,0.00232,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,AusGrass/Watson & Dallwitz 1992/APNI/ePIC,NA
Iseilema membranaceum x I. vaginiflorum,NA,Tussock,NA,NA,NA,NA,not_vegetative,C4,NA,NA,NA,NA,simple,NA,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,NA,NA
Iseilema vaginiflorum,Australia,Tussock,NA,NA,Therophyte,0.75,not_vegetative,C4,100,200,2.5,6,simple,382.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2.5,3,NA,NA,0.00101,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,AusGrass/Watson & Dallwitz 1992/ePIC,NA
Iseilema windersii,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,C4,80,160,3,6,simple,324,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2.5,3.5,NA,NA,NA,Wind,hermaphrodite monoecious andromonoecious gynomonoecious,AusGrass/Watson & Dallwitz 1992,NA
Lachnagrostis filiformis,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,0.8,not_vegetative,C3,80,300,1,5,simple,342,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,1.4e-4,Wind,hermaphrodite,AusGrass/ePIC/APNI/Watson & Dallwitz 1992,NA
Leersia hexandra,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,1.5,not_vegetative,C3,60,200,2,16,simple,702,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.00093000000000000005,Wind,hermaphrodite,AusGrass/ePIC/APNI/Watson & Dallwitz 1992Wang & Qiu 2006,NA
Leptaspis banksii,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C3,95,390,9,40,simple,3564.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,monoecious,AusGrass/Watson & Dallwitz 1992,NA
Leptochloa decipiens,Gondwanan,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,NA,17,210,2,5,simple,238.35,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,GrassBase/AusGrass/Flora of NSW 1993/APNI,NA
Leptochloa decipiens subsp. decipiens,Australia,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,NA,17,210,2,5,simple,238.35,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993,NA
Leptochloa decipiens subsp. asthenes,Australia,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,NA,17,210,2,5,simple,238.35,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993/APNI,NA
Leptochloa digitata,Australia,Tussock,NA,NA,Hemicryophyte,3,vegetative,NA,50,220,2,7,simple,364.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,1.15e-4,Wind,hermaphrodite,AusGrass/Flora of NSW 1993/APNI/ePIC,Clonal below ground
Leptochloa divaricatissima,Australia,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,NA,30,240,1.5,4,simple,222.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,0.9,1.1,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993,NA
Leptochloa fusca,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,1.5,not_vegetative,NA,140,550,0.8,5,simple,600.3,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.6,1.8,NA,NA,4.1e-4,Wind,hermaphrodite,AusGrass/Flora of NSW 1993/APNI/ePIC,NA
Leptochloa fusca subsp. fusca,NA,Tussock,NA,NA,Therophyte Hemicryophyte,1.5,not_vegetative,NA,140,550,0.8,5,simple,600.3,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.6,1.8,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993/ePIC,NA
Leptochloa fusca subsp. uninervia,NA,Tussock,NA,NA,Therophyte Hemicryophyte,1.5,not_vegetative,NA,140,550,0.8,5,simple,600.3,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.6,1.8,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993/APNI/ePIC,NA
Leptochloa ligulata,Queensland,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,NA,140,350,3,7,simple,735,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,0.6,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993,NA
Leptochloa neesii,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,1.5,not_vegetative,NA,50,350,2,6,simple,480,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,0.5,0.75,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993/APNI,NA
Leptochloa panicea subsp. brachiata,Cosmopolitan,Tussock,NA,NA,Therophyte,1.2,not_vegetative,NA,30,350,1,14,simple,855,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,0.7,0.8,NA,NA,NA,Wind,hermaphrodite,AusGrass/Flora of NSW 1993/APNI,NA
Lepturus copeanus,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,C4,35,60,4,5,simple,128.25,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,GrassBase/Watson & Dallwitz 1992,NA
Lepturus minutus,Australia,Tussock,NA,NA,Therophyte,0.2,not_vegetative,C4,3,20,1,2.5,simple,12.075,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,GrassBase/Watson & Dallwitz 1992,NA
Lepturus repens,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,0.6,not_vegetative,C4,30,300,2,10,simple,594,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992,NA
Lepturus xerophilus,Australia,Tussock,NA,NA,Therophyte,0.9,not_vegetative,C4,25,110,0.5,5.5,simple,121.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/Watson & Dallwitz 1992/APNI/NCA 2006,NA
Lolium perenne,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,0.9,not_vegetative,C3,30,200,2,6,simple,276,arbuscular mycorrhiza,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3.8,4,NA,NA,0.002,Wind,hermaphrodite,AusGrass/ePIC/Watson & Dallwitz 1992/Wang & Qiu 2006,NA
Lolium x hubbardii,NA,Tussock,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,NA,NA,NA
Lophatherum gracile,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C3,80,200,14,50,simple,2688,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.00263,Wind,hermaphrodite,AusGrass/ePIC/Watson & Dallwitz 1992,NA
Megathyrsus maximus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte Therophyte,4.5,vegetative,C4,60,1000,4,35,simple,6201,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.0011,Wind,hermaphrodite,Edwards & Still 2008/AusGrass/Watson & Dallwitz 1992,Clonal below ground Clonal above ground
Megathyrsus maximus var. maximus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte Therophyte,2,not_vegetative,C4,60,1000,15,18,simple,5247,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,Edwards & Still 2008/AusGrass/ePIC/Watson & Dallwitz 1992,NA
Megathyrsus maximus var. maximus cv. Hamil,Cosmopolitan,Tussock,NA,NA,Hemicryophyte Therophyte,3.5,not_vegetative,C4,60,1000,24,26,simple,7950,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,Edwards & Still 2008/AusGrass/ePIC/Watson & Dallwitz 1992,NA
Megathyrsus maximus var. coloratus,Cosmopolitan,Tussock,NA,NA,Hemicryophyte Therophyte,4.5,not_vegetative,C4,60,1000,4,35,simple,6201,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,Edwards & Still 2008/AusGrass/ePIC/Watson & Dallwitz 1992,NA
Megathyrsus maximus var. pubiglumis,Cosmopolitan,Tussock,NA,NA,Hemicryophyte Therophyte,4.5,not_vegetative,C4,60,1000,4,35,simple,6201,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,Edwards & Still 2008/AusGrass/ePIC/Watson & Dallwitz 1992,NA
Melinis minutiflora,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C4,50,200,3,11,simple,525,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,1.1e-4,Wind,hermaphrodite,AusGrass/ePIC/Watson & Dallwitz 1992,NA
Melinis repens,Cosmopolitan,Tussock,NA,NA,Therophyte Hemicryophyte,1.5,not_vegetative,C4,30,300,2,10,simple,594,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,4.7e-4,Wind,hermaphrodite,AusGrass/ePIC/Watson & Dallwitz 1992,NA
