species,individual,birthtime,deathtime,no_flowers,longevity_days,symmetry,infloheight_m,habit,height_m,inflosize_cm,flowersperplant,budsperplant,florallength_cm,floraldiam_cm,colour,tube,site,latitude,longitude
Dampiera purpurea,Dpur01,2022-10-29T18:30:12Z,2022-11-05T03:48:31Z,5,6.387722222,zygomorphic,0.1,shrub (woody plant branching from the base),0.21,2.5,1,5,1.5,1.8,purple,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dampiera purpurea,Dpur02,2022-10-30T09:41:04Z,2022-11-04T13:37:00Z,9,5.163840021,zygomorphic,0.58,shrub (woody plant branching from the base),0.62,0.07,3,20,1.6,2.5,purple,"absent, present (at least at base)","Yondell Ave, Springwood",-33.717968,150.55742
Dampiera purpurea,Dpur03,2022-11-01T02:46:35Z,2022-11-07T09:59:14Z,10,6.300445602,zygomorphic,0.5,shrub (woody plant branching from the base),0.64,10,1,23,1.4,2.5,purple,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Dampiera purpurea,Dpur04,2022-11-11T13:39:13Z,2022-11-18T15:08:23Z,4,7.061929977,zygomorphic,0.24,shrub (woody plant branching from the base),0.34,8,3,11,1.4,1.5,purple,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Dillwynia retorta,Dret01,2022-10-19T20:26:47Z,2022-10-22T12:35:53Z,8,2.672983218,zygomorphic,0.75,shrub (woody plant branching from the base),0.89,2,10,90,1.1,1.4,yellow,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dillwynia retorta,Dret02,2022-10-21T05:23:37Z,2022-10-24T18:35:55Z,6,3.55021412,zygomorphic,0.55,shrub (woody plant branching from the base),0.8,2,17,90,1.1,1.5,yellow,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dillwynia retorta,Dret03,2022-10-20T22:14:59Z,2022-10-25T12:48:35Z,8,4.606659433,zygomorphic,0.5,shrub (woody plant branching from the base),0.8,2,11,65,1,1.4,yellow,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dillwynia retorta,Dret05,2022-10-14T00:36:28Z,2022-10-17T23:17:12Z,5,3.944949074,zygomorphic,0.7,shrub (woody plant branching from the base),0.91,2,70,1000,0.9,1.3,yellow,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Dillwynia retorta,Dret06,2022-10-27T05:13:55Z,2022-10-30T05:22:23Z,3,3.00587963,zygomorphic,0.23,shrub (woody plant branching from the base),0.68,5,70,200,1,1.5,yellow,"absent, present (at least at base)","Yondell Ave, Springwood",-33.717968,150.55742
Eriostemon australasius,Eaus01,2021-08-08T17:52:57Z,2021-08-19T16:03:27Z,16,10.92396701,actinomorphic,NA,shrub (woody plant branching from the base),2.2,15,1,35,0.8,2.5,"white, pink",absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Eriostemon australasius,Eaus03,2021-08-16T18:57:35Z,2021-08-25T11:04:48Z,19,8.671675804,actinomorphic,NA,shrub (woody plant branching from the base),0.9,15,0,20,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Eriostemon australasius,Eaus04,2021-08-26T16:50:47Z,2021-09-01T15:56:57Z,6,5.962623457,actinomorphic,NA,shrub (woody plant branching from the base),1.8,15,0,20,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Eriostemon australasius,Eaus05,2021-08-04T06:31:55Z,2021-08-12T05:17:26Z,8,7.948272569,actinomorphic,NA,shrub (woody plant branching from the base),1.3,15,0,9,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Eriostemon australasius,Eaus06,2021-08-10T16:54:27Z,2021-08-19T08:00:29Z,24,8.629182099,actinomorphic,1.15,shrub (woody plant branching from the base),1.15,12,10,100,1.4,3.2,"white, pink",absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea buxifolia,Gbux01,2021-08-04T23:18:47Z,2021-08-18T03:22:54Z,10,13.16951852,zygomorphic,NA,shrub (woody plant branching from the base),1.6,4,0,15,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea buxifolia,Gbux02,2021-08-17T00:20:41Z,2021-09-01T07:01:29Z,10,15.27833218,zygomorphic,NA,shrub (woody plant branching from the base),2.2,NA,0,20,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea buxifolia,Gbux03,2021-09-08T07:10:08Z,2021-09-18T16:34:37Z,21,10.39200121,zygomorphic,NA,shrub (woody plant branching from the base),1.6,NA,0,9,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea buxifolia,Gbux04,2021-09-08T13:57:42Z,2021-09-19T12:40:04Z,21,10.94609678,zygomorphic,NA,shrub (woody plant branching from the base),2,NA,0,10,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea buxifolia,Gbux06,2021-09-05T20:30:17Z,2021-09-18T16:16:41Z,25,12.82389398,zygomorphic,1.55,shrub (woody plant branching from the base),1.6,3.3,14,450,2,1.7,"white, grey, brown",present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Gompholobium grandiflorum,Ggra01,2021-09-14T02:36:43Z,2021-09-17T20:15:37Z,8,3.735338542,zygomorphic,1.1,shrub (woody plant branching from the base),1.1,6.5,0,40,NA,NA,yellow,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Gompholobium grandiflorum,Ggra02,2021-09-17T15:30:44Z,2021-09-21T04:08:40Z,11,3.526349958,zygomorphic,1.1,shrub (woody plant branching from the base),1.4,22,2,300,2,2.5,yellow,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Gompholobium grandiflorum,Ggra03,2021-09-15T17:38:47Z,2021-09-18T05:00:43Z,11,2.473563763,zygomorphic,0.4,shrub (woody plant branching from the base),0.53,5.5,4,22,2,2.8,yellow,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Gompholobium grandiflorum,Ggra04,2021-09-17T12:08:30Z,2021-09-20T03:01:38Z,8,2.620228588,zygomorphic,1.2,shrub (woody plant branching from the base),1.5,6,25,100,2.3,2.7,yellow,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Gompholobium grandiflorum,Ggra05,2021-09-17T09:23:14Z,2021-09-21T16:52:12Z,11,4.311779251,zygomorphic,1.75,shrub (woody plant branching from the base),2.25,20,50,300,2,2.4,yellow,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Gompholobium grandiflorum,Ggra06,2021-09-19T04:44:06Z,2021-09-22T05:33:16Z,7,3.034145172,zygomorphic,0.65,shrub (woody plant branching from the base),0.75,9,1,85,2.2,2.1,yellow,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Gompholobium latifolium,Glat01,2022-09-20T15:13:00Z,2022-09-24T23:13:03Z,4,4.333365162,zygomorphic,0.7,shrub (woody plant branching from the base),1.5,7,5,210,3,4.1,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Gompholobium latifolium,Glat02,2022-09-27T19:45:07Z,2022-09-30T05:40:26Z,6,2.413410494,zygomorphic,1.16,shrub (woody plant branching from the base),1.47,10,2,130,3,5,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Gompholobium latifolium,Glat03,2022-09-30T05:11:44Z,2022-10-03T06:33:34Z,3,3.05683642,zygomorphic,0.28,shrub (woody plant branching from the base),0.6,12,4,9,3.1,4.6,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Gompholobium latifolium,Glat04,2022-09-29T22:25:28Z,2022-10-03T11:40:34Z,4,3.552149884,zygomorphic,1.55,shrub (woody plant branching from the base),2.5,9,20,50,3.2,4.6,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Gompholobium latifolium,Glat05,2022-09-29T20:03:43Z,2022-10-02T23:16:53Z,5,3.134141204,zygomorphic,1.91,shrub (woody plant branching from the base),2.2,5,7,150,3.8,4.4,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Grevillea mucronulata,Gmuc01,2022-09-17T03:57:46Z,2022-09-21T00:11:14Z,2,3.842685185,zygomorphic,0.5,shrub (woody plant branching from the base),0.68,4.8,0,3,2.5,1,green,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Grevillea mucronulata,Gmuc02,2022-09-25T02:16:23Z,2022-09-30T13:58:09Z,6,5.487330247,zygomorphic,0.74,shrub (woody plant branching from the base),0.96,6,4,15,3,0.9,green,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Grevillea mucronulata,Gmuc03,2022-09-25T05:15:44Z,2022-10-01T04:11:05Z,2,5.955104167,zygomorphic,0.38,shrub (woody plant branching from the base),0.83,5,4,43,3,1,green,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Grevillea mucronulata,Gmuc04,2022-09-22T08:51:20Z,2022-09-26T17:33:30Z,3,4.362615741,zygomorphic,0.37,shrub (woody plant branching from the base),0.7,3.5,0,3,2.5,0.9,green,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Grevillea mucronulata,Gmuc06,2022-10-02T05:30:52Z,2022-10-07T22:29:08Z,1,5.70712963,zygomorphic,0.33,shrub (woody plant branching from the base),0.75,2.5,0,12,NA,NA,green,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Grevillea mucronulata,Gmuc07,2022-10-01T22:31:45Z,2022-10-07T09:10:54Z,3,5.443850309,zygomorphic,0.41,shrub (woody plant branching from the base),0.83,3,1,7,3,0.9,green,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Grevillea speciosa,Gspe02,2021-08-16T00:46:08Z,2021-08-21T13:13:18Z,7,5.518867394,zygomorphic,0.85,shrub (woody plant branching from the base),1.55,8,6,57,3.6,0.6,red,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea speciosa,Gspe03,2021-07-26T09:20:05Z,2021-08-01T00:31:36Z,7,5.632991071,zygomorphic,0.99,shrub (woody plant branching from the base),1.75,7,11,90,3.8,0.7,red,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea speciosa,Gspe04,2021-07-22T08:45:17Z,2021-07-30T06:57:52Z,24,7.925406539,zygomorphic,1.4,shrub (woody plant branching from the base),1.9,6,5,5,3.8,0.7,red,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea speciosa,Gspe05,2021-08-16T23:50:00Z,2021-08-20T15:07:25Z,5,3.637087963,zygomorphic,1.2,shrub (woody plant branching from the base),1.4,4,1,23,3.7,0.7,red,"absent, present (at least at base)","Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea speciosa,Gspe06,2021-07-25T04:07:32Z,2021-07-31T03:30:38Z,5,5.974375,zygomorphic,0.65 metres,shrub (woody plant branching from the base),2.2 metres,3 cm,0,180,N/A,N/A,red,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Grevillea speciosa,Gspe08,2021-08-19T09:35:35Z,2021-08-26T03:51:46Z,12,6.761231674,zygomorphic,2.05,shrub (woody plant branching from the base),3,3.5,17,90,4,1.2,red,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Hibbertia cistiflora,Hcis01,2021-07-29T16:38:21Z,2021-08-04T07:20:38Z,8,5.612690972,actinomorphic,0.09-0.46,shrub (woody plant branching from the base),0.46,N/A single flowered inflorescences,0,11,NA,NA,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hibbertia cistiflora,Hcis02,2021-07-16T22:06:14Z,2021-07-25T03:12:28Z,4,8.212667824,actinomorphic,0.29,shrub (woody plant branching from the base),0.36,8,0,10,NA,NA,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hibbertia cistiflora,Hcis03,2021-08-07T12:33:36Z,2021-08-10T05:09:35Z,18,2.691661523,actinomorphic,0.4,shrub (woody plant branching from the base),0.4,2.7,1,25,0.4,2.7,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hibbertia cistiflora,Hcis04,2021-08-04T23:36:12Z,2021-08-09T04:33:08Z,5,4.206203704,actinomorphic,0.22,shrub (woody plant branching from the base),0.25,NA,NA,NA,NA,NA,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hibbertia cistiflora,Hcis05,2021-07-25T03:56:24Z,2021-07-28T22:10:54Z,4,3.760072338,actinomorphic,0.39,shrub (woody plant branching from the base),0.39,3.2,1,10,0.5,3.3,yellow,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hakea sericea,Hser01,2021-08-06T07:52:40Z,2021-08-21T16:35:06Z,25,15.36279861,zygomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hakea sericea,Hser02,2021-07-30T13:56:15Z,2021-08-12T17:23:01Z,29,13.14358557,zygomorphic,1.35,shrub (woody plant branching from the base),2,3,30,150,0.6,0.5,white,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hakea sericea,Hser03,2021-07-31T11:14:22Z,2021-08-13T23:52:03Z,20,13.52616725,zygomorphic,1.43,shrub (woody plant branching from the base),1.73,3.5,150,1000,0.6,0.5,white,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hakea sericea,Hser04,2021-08-01T16:04:01Z,2021-08-11T13:55:47Z,20,9.910939815,zygomorphic,0.9,shrub (woody plant branching from the base),1.93,2,120,1000,0.6,0.5,white,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hakea sericea,Hser05,2021-08-02T01:16:45Z,2021-08-14T00:51:07Z,13,11.98219729,zygomorphic,1.25,shrub (woody plant branching from the base),1.6,3,450,700,0.6,0.6,white,absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Hybanthus vernonii,Hver01,2022-10-13T03:12:12Z,2022-10-29T03:58:29Z,4,16.03214988,zygomorphic,0.12,shrub (woody plant branching from the base),0.15,4,5,8,1.5,0.8,purple,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Hybanthus vernonii,Hver02,2022-10-22T16:09:06Z,2022-11-04T17:05:57Z,9,13.03948302,zygomorphic,0.29,shrub (woody plant branching from the base),0.32,5,5,9,1.4,0.8,purple,"absent, present (at least at base)","Yondell Ave, Springwood",-33.717968,150.55742
Hybanthus vernonii,Hver03,2022-10-15T14:45:52Z,2022-10-30T13:28:40Z,4,14.94638021,zygomorphic,0.29,shrub (woody plant branching from the base),0.37,5,4,10,1.5,0.8,purple,"absent, present (at least at base)","Yondell Ave, Springwood",-33.717968,150.55742
Hybanthus vernonii,Hver04,2022-10-15T12:01:15Z,2022-10-29T13:42:03Z,3,14.07000386,zygomorphic,0.26,shrub (woody plant branching from the base),0.51,4,9,11,1.5,0.9,purple,"absent, present (at least at base)","Yondell Ave, Springwood",-33.717968,150.55742
Hybanthus vernonii,Hver06,2022-10-25T16:34:28Z,2022-11-07T03:36:55Z,2,12.46002894,zygomorphic,0.2,shrub (woody plant branching from the base),0.22,3,2,5,1,0.7,purple,absent,"Yondell Ave, Springwood",-33.717968,150.55742
