Taxa,Authority,Family,Latitude,Longitude,Altitude,Sampling date,Maturity,Plant condition,Growing conditions,Tree,Forb,Gram,Terrestrial,Tda,Tdr,Amphibious,Submerged,Native nonweed,Native,Native weed,Exotic,Perennial,Biennial,Annual,clonality,stolons,rhizomes,prostrate/decumbent,plant height min (m),Plant height max (m),Seed mass (g),Dispersal,dispersal 2,dispersal 3,Leaf size (cm^2),SLA (mm2/mg),Specific leaf mass (mg/mm2)
Avena fatua,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,,,,1,,,1,0,,,,,1.6,12,Animal,,,4.664,18.50793651,0.054030875
Avena sativa cf,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,,,,1,,,1,0,,,,,1.5,31.5,Animal,,,,18.50793651,
Azolla filiculoides,Lam.,AZOLLACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,,1,1,,,,,1,,1,,,0.0,,,,,,,
Azolla pinnata,R. Br.,AZOLLACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,,1,1,,,,,1,,1,,,0.0,,,,,,,
Briza minor,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,,1,,,,,,1,,,1,0,,,,,0.6,0.32,wind,,,,,
Callitriche stagnalis,L.,CALLITRICHACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,,,,1,,,,0,,,1,,0.1,0.06,,,,,,
Calystegia sepium,(L.) R. Br.,CONVOLVULACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,1,,,,1,1,,,1,,,0,,,1,2,4.0,25.58,,,,,,
Carex gaudichaudiana,Kunth.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,0.1,0.9,0.93,,,,32.27133333,17.67323841,0.056582726
Carex inversa,R. Br.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,,1,1,,1,,,1,,1,,0.1,0.5,0.37,,,,1.406,11.1,0.09009009
Carex tereticaulis,F. Muell.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,0.4,1.2,1.46,,,,22.592,2.559130041,0.39075779
Centella cordifolia,(Hook. f.) Nannf.,APIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,1,,,1,1,,1,,0.2,0.0049,Water,,,12.33833333,22.81355932,0.043833581
Centipeda cunninghamii,(DC.) A.Br. & Asch.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,,1,1,,1,,,0,,,,,0.2,0.05,,,,0.577333333,21.65,0.046189376
Cirsium vulgare,(Savi) Ten.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,1,,0,,,,,1.5,2.9,wind,,,,9.99780569,0.100021948
Conyza bonariensis,(L.) Cronquist,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,0,,,,,1.0,0.1,wind,,,0.785,11.71641791,0.085350318
Conyza sumatrensis,(Retz.) E. Walker,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,0,,,,,2.0,0.04,,,,7.149,12.85020971,0.077819742
Cuscuta campestris cf,Yunck.,CUSCUTACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,,,,1,,0.5,0.84,,,,,,
Cynodon dactylon,(L.) Pers.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,,,,1,1,,,1,1,1,,,0.3,0.2,wind,unassisted,,0.525333333,9.270588235,0.10786802
Cynosurus echinatus,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,,1,,,,,,1,,,1,0,,,,,1.0,1.46,,,,,,
Cyperus eragrostis,Lam.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,,,,1,1,,,1,,1,,0.25,0.9,0.13,,,,10.58466667,14.34236676,0.069723499
Cyperus exaltatus cf,Retz.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,1,1.8,0.07,,,,,13.92600065,
Cyperus fulvus cf,R. Br.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,0.25,0.5,0.35,,,,,13.92,
Cyperus gunnii,Hook. f.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,,1.5,0.19,,,,,13.92,
Cyperus sp. 1,,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,,,,,1,,,,,,,,1.2,0.35,,,,50.83,13.50963455,0.074021247
Deyeuxia sp. 1,,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,,,,,,,,,,,,,,,,0.5,0.3,,,,1.231666667,18.475,0.054127199
Dichondra repens,J.R. & G. Forst.,CONVOLVULACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,1,1,,,1,,,1,1,,,,0.1,0.0025,,,,145.868,24.90429268,0.04015372
Dysphania littoralis cf,R. Br.,CHENOPODIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,,,,,,,,,,1,1,,,,1,,0.1,,,,,,,
Echium plantagineum,L.,BORAGINACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,,,,,,1.2,4.2,,,,,12.52201652,0.079859342
Eclipta platyglossa,Muell.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,1,1,,,1,1,1,1,,1,,0.3,0.000692308,water,,,,26.27781818,0.03805491
Elatine gratioloides,A. Cunn.,ELATINACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,1,1,,,,,1,1,1,,1,,0.0,0.05,,,,,,
Eleocharis acuta,R. Br.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,0.1,0.6,0.56,,,,8.75,7.109967497,0.140647619
Eleocharis atricha,R. Br.,CYPERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,0.03,0.4,0.59,,,,,7.109967497,
Elymus scaber var. scaber,(R. Br.) A. Love,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,,,,,,1.1,5.54,,,,,,
Epilobium hirtigerum,A. Cunn.,ONAGRACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,1,,,1,1,,,,1.2,0.07,wind,,,1.158571429,21.91891892,0.045622688
Eragrostis sp. 1,,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,1,1,,,,,,,,,,,0.6,0.09,,,,0.882,15.38372093,0.065003779
Eucalyptus camaldulensis,Dehnh.,MYRTACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),1,,,1,1,,,,,1,1,,1,,,,,,,,30.0,2.4,wind,unassisted,,,5.08910357,
Euchiton sphaericus,(Willd.) A. Anderb.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,1,1,,,,1,,,,,0.05,0.5,0.033,,,,1.784,13.86528497,0.072122571
Eulalia aurea,(Bory) Kunth,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,1,1,,,1,,,1,,1,,,1.0,0.25,animal,,,1.979333333,14.48292683,0.069046817
Galium aparine,L.,RUBIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,,,,1,,1.5,8.9,animal,,,,,
Geranium sp. 1,,GERANIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,,1,,,,,,,,,1,,1,,,,,,0.4,4.33,Methods originating from parent plant or diaspore; Explosive mechanism;,,,,,
Gratiola peruviana,L.,SCROPHULARIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,0,,,,0.1,0.3,0.02,,,,,,
Gratiola pubescens,R. Br.,SCROPHULARIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,,,,,0.025,0.2,0.01,,,,,,
Hemarthria uncinata var. uncinata,R. Br.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,1,,,,1,1,,,1,,,,,,,,1.0,,,,,,,
Hydrocotyle sibthorpioides,Lam.,APIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,,1,1,,1,,,1,1,,1,,0.1,0.44,,,,,43.63591176,0.022916904
Hypochaeris glabra,L.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,0,,,,0.1,0.4,0.69,wind,,,31.49266667,24.71951858,0.040453862
Hypochaeris radicata,L.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,0,,,,0.15,0.8,0.8,wind,,,16.945,25.4047976,0.039362644
Isotoma fluviatalis subsp. australis,(R. Br.) F. Muell. ex Benth.,CAMPANULACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,1,1,,1,,0.1,0.04,,,,,35.60466667,0.028086206
Juncus acuminatus,Mich.,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,,,,1,1,,,1,,1,,0.25,0.6,0.04,,,,,3.209876928,
Juncus aridicola,L.A.S. Johnson,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,,1,1,,1,,,1,,1,,0.55,1.2,0.00005,,,,14.35833333,2.675465839,0.373766686
Juncus flavidus,L.A.S. Johnson,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,1,1,,,1,,,1,,1,,0.25,0.9,0.00005,,,,7.623333333,4.160703457,0.240343973
Juncus fockei,Buchenau,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,,,,,,,1,,,1,,1,,0.08,0.5,0.01,,,,,3.21,
Juncus gregiflorus,L.A.S. Johnson,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,1,1,,,1,,,1,,1,,1.1,3.0,0.00005,,,,6.531153846,3.319194683,0.301277899
Juncus holoschoenus,R. Br.,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,1,1,,,1,,,1,,1,,0.25,0.8,0.04,,,,,3.21,
Juncus ingens,N.A. Wakef.,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,1.2,4.0,0.001,,,,,1.862274628,0.536977729
Juncus sp. 1,,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,1,1,,,1,,,1,,1,,,1.1,0.07,animal??,,,,3.21,
Juncus subsecundus,N.A. Wakef.,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,,1,1,,1,,,1,,1,,0.25,0.7,0.01,wind,,,,3.21,
Juncus usitatus,L.A.S. Johnson,JUNCACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,,1,1,,1,,,1,,1,,0.4,1.1,0.01,wind,,,5.08,4.031746032,0.248031496
Lachnagrostis filiformis var. 1,J.F. Gmel.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,1,,,,,,0.7,0.14,,,,0.62,20.10810811,0.049731183
Lactuca saligna,L.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,1,1,,,,,0.3,1.0,0.57,,,,,23.64802152,
Lactuca serriola,L.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,1,,,,,,1,2.0,0.58,wind,,,,23.64802152,0.042286836
Lemna disperma,Hegelm.,LEMNACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,,,,1,,,,,0.0,0.07,animal,water,,,38.4285,0.026022353
Limosella australis,R. Br.,SCROPHULARIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,1,1,,,0.01,0.1,0.05,,,,,,
Lobelia concolor,R. Br.,CAMPANULACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,1,,,,1,1,,,1,,,0,,,,,1.1,0.073,,,,,,
Lolium perenne,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,1,,,,,,,1,,1,1,,,,,,0.8,2,,,,,,
Lotus angustissimus,L.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,1,,1,,,,,0.08,0.4,0.41,,,,,20.451,0.048897364
Lotus uliginosus,Schkuhr,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,1,,,1,,1,,0.2,0.8,1,,,,,27.1425102,0.036842576
Ludwigia palustris,(L.) Elliott,ONAGRACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,,,,1,1,,,1,1,,,,0.2,0.04,water,,,,26.08091139,0.038342218
Ludwigia peploides subsp. montevidensis,(Spreng.) P.H. Raven,ONAGRACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,,,,1,1,,,1,1,,1,,0.1,0.07,water,,,7.795333333,29.01488834,0.034465065
Lycopus australis,R. Br.,LAMIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,1,,,1,,1,,,1.5,0.49,,,,24.67466667,14.8048,0.067545661
Lythrum hyssopifolia,L.,LYTHRACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,1,1,,,,1,,,,1,,0.5,0.5,,,,0.451333333,26.03846154,0.038404727
Marsilea drummondii,A. Braun,MARSILEACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,,,,1,,1,1,,0.3,0.01,,,,,32.55139535,0.030720649
Mentha pulegium,L.,LAMIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,1,,,1,1,1,,,0.4,0.1,,,,,17.68426724,
Mentha sp. 1,,LAMIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,,,,,,,,,0.5,0.1,,,,9.653529412,17.68426724,0.056547438
Microlaena stipoides var. stipoides,(Labill.) R. Br.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,1,,1,,,0.7,4.97,,,,1.76,4.471869328,0.22362013
Mollugo verticillata,L.,MOLLUGINACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,1,1,,,,1,,,,,,0.3,0.09,,,,2.258,15.90140845,0.062887511
Myriophyllum crispatum,Orchard,HALORAGACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,,1,1,,1,,,1,1,,1,,0.1,0.88,,,,,34.018,0.029396202
Myriophyllum papillosum,Orchard,HALORAGACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,1,1,,1,,0.1,0.88,,,,,34.018,0.029396202
Nymphoides crenata,(F. Muell.) Kuntze,MENYANTHACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,1,1,,,,2.0,0.61,water,animal,,,,
Oplismenus sp. 1 cf (O. aemulus),,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,,,,,,0.3,0.89,,,,,,
