sort,site_conditions,site,Genus species,species_abb,Stem wood density,leaf size,SLA,leaf_area_ratio,LASA10,LASA250,LASA50,LASA1000
43,hiRloP,Gosford low P,Acacia suaveolens,,0.52,555,6.5,3.39,1626,1336,,
44,hiRloP,Gosford low P,Acacia uncinata,acaurc,0.65,7,5.4,2.87,1655,1523,2070,1828
45,hiRloP,Gosford low P,Angophora costata,Angcos,0.61,3557,6.1,4.67,9351,,,
46,hiRloP,Gosford low P,Banksia ericifolia,baneri,0.56,16,5.8,3.63,1619,1238,5228,3462
47,hiRloP,Gosford low P,Banksia serrata,banser,0.49,1484,4.5,3.55,942,1605,,
48,hiRloP,Gosford low P,Dillwynia retorta,,0.83,4,8.5,3.97,3183,1681,,
49,hiRloP,Gosford low P,Epacris pulchella,epapul,0.67,9,10.9,3.16,1930,1622,,2541
50,hiRloP,Gosford low P,Gompholobium latifolium,,0.74,112,9.7,4.88,2898,2230,,
51,hiRloP,Gosford low P,Grevillea oldei,greold,0.7,49,7.9,3.97,3605,2220,4369,3725
52,hiRloP,Gosford low P,Grevillea speciosa,Grespe,0.67,174,8.4,4.52,2644,2159,2323,2664
53,hiRloP,Gosford low P,Hibbertia obtusifolia,,0.57,52,10.9,5.13,2882,2827,3202,2986
55,hiRloP,Gosford low P,Leptospermum polygalifolium,,0.77,14,9.7,5.02,3211,3020,3148,3081
54,hiRloP,Gosford low P,Leptospermum trinervium,Leptri,0.71,15,9.8,5.7,4431,3990,4352,4106
56,hiRloP,Gosford low P,Leucopogon ericoides,,0.76,15,8.5,3.17,2681,1666,,2804
57,hiRloP,Gosford low P,Persoonia lanceolata,perlan,0.57,1261,5.6,4.42,1944,2177,3165,3082
58,hiRloP,Gosford low P,Persoonia levis,Perlev_syd,0.55,3714,5.6,4.61,1668,1944,2150,2447
59,hiRloP,Gosford low P,Petrophile pulchella,petpul,0.52,508,4,2.61,772,700,1205,1172
60,hiRloP,Gosford low P,Pultenaea elliptica,pulell,0.74,44,11.4,5.86,4198,3372,6589,5169
61,hiRloP,Gosford low P,Pultenaea rosmarinifolius,pulros,0.72,172,5,2.73,2423,1719,,2380
62,hiRloP,Gosford low P,Syncarpia glomulifera,synglo,0.62,2078,7.1,4.99,6159,,,
,loRhiP,Round Hill woodland,Acacia doratoxylon,Acador,0.88,999,4.3,2.84,4633,,,
,loRhiP,Round Hill woodland,Acacia hakeoides,AcaHak,0.75,676,3.9,2.45,2961,,,
,loRhiP,Round Hill woodland,Acacia oswaldii,Acaosw,0.9,154,3.8,2.71,3746,,,
,loRhiP,Round Hill woodland,Callitris glaucophylla,Calgla,0.72,383,3.8,2.57,3352,,,
,loRhiP,Round Hill woodland,Dodonaea viscosa ssp angustissima,Dodvian,0.97,39,6,2.95,4673,,,
,loRhiP,Round Hill woodland,Dodonaea viscosa ssp spatulata,Dodvisp,0.88,266,7.4,3.5,3082,,,
,loRhiP,Round Hill woodland,Eremophila longifolia,Erelon,0.72,277,3.8,2.73,2554,,,
,loRhiP,Round Hill woodland,Eremophila mitchelli,Eremit,0.85,85,6.2,4.07,4861,,,
,loRhiP,Round Hill woodland,Eucalyptus intertexta,Eucint,0.7,1028,6.2,3.93,5095,,,
,loRhiP,Round Hill woodland,Geijera parviflora,Geipar,0.85,688,5.4,3.6,4402,,,
,loRhiP,Round Hill woodland,Hakea tephrosperma,Haktep,0.81,111,3.1,1.45,1113,,,
,loRhiP,Round Hill woodland,Philotheca difformis,Phidif,0.92,7,3.4,1.72,1574,,,
,loRhiP,Round Hill woodland,Pimelea microcephala,Pimmic,0.76,50,11.9,3.07,1906,,,
,loRhiP,Round Hill woodland,Senna artemesiodes,Senart3,0.93,164,3.7,1.6,1813,,,
,loRloP,Round Hill mallee,Acacia brachybotrya,Acabra,0.85,89,7.1,3.8,4110,,,
,loRloP,Round Hill mallee,Acacia havilandiorum,Acahav,0.97,65,2.7,1.45,1270,,,
,loRloP,Round Hill mallee,Acacia triptera,Acatri,0.95,118,3.4,1.83,2787,,,
,loRloP,Round Hill mallee,Bertya cunninghamii,Bercun,0.73,15,5.7,2.88,2447,,,
,loRloP,Round Hill mallee,Beyeria opaca,Beyopa,0.78,33,6.1,3.23,3206,,,
,loRloP,Round Hill mallee,Callitris verrucosa,Calver,0.7,200,4,2.7,2718,,,
,loRloP,Round Hill mallee,Cassinia laevis,Caslae,0.81,17,7,3.37,2133,,,
,loRloP,Round Hill mallee,Dodonaea viscosa ssp cuneata,Dodvicu,0.88,52,8.2,3.92,4855,,,
,loRloP,Round Hill mallee,Eremophila glabra,Eregla,0.83,117,6,2.36,1022,,,
,loRloP,Round Hill mallee,Eucalyptus dumosa,Eucdum,0.81,1127,2.9,1.71,1721,,,
,loRloP,Round Hill mallee,Eucalyptus socialis,Eucsoc,0.78,993,3.3,2.16,2392,,,
,loRloP,Round Hill mallee,Helichrysum tuckeri,Heltuk,0.86,3,16.5,4.23,3407,,,
,loRloP,Round Hill mallee,Melaleuca uncinata,Melunc_m,0.78,37,3.5,1.4,1299,,,
,loRloP,Round Hill mallee,Micromyrtus sessilis,Micses,0.99,1,11.3,3.69,5211,,,
,loRloP,Round Hill mallee,Olearia decurrens,Oledec,0.82,29,6.4,1.49,1437,,,
,loRloP,Round Hill mallee,Olearia pimelioides,Olepim,0.9,9,8.3,2.82,1681,,,
