Species,Tree,number,Aa,gs,WUEi,CiCa,Amass,Leaf N,PNUE,Ci,WUE,date_leaf,Fresh Weight,Dry Weight,LDMC,AreaTotal,SLA,Petiole Width,Petiole Height,Lamina,Density,S_true15N,S_per.N,S_true13C,S_per.C,L_true13C,L_true15N,L_per.C,L_per.N,L_C.N,Outer Phloem,Outer Xylem,Outer Heartood,Xylem,X_Tot_Ratio,Date_d18O,d18O,Date,Individual,Sun/Shade,Tree ID,Notes,Species_name,Growth.Form
CAR,CAR_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,1.246666667,0.5007,0.402,46.33,93.00008218,1.506666667,1.33,0.233333333,0.526299779,5.511751939,0.263359017,-28.0268608,44.27514366,-28.89154839,6.482322541,46.91226212,1.366637085,34.32678845,81.145,56.488,3.685,52.803,0.650724013,20/06/2014,-4.62,NA,NA,NA,NA,NA,Cardwelia sublimis,NA
CAR,CAR_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/06/2014,1.736666667,0.738266667,0.425,53.35333333,72.32649981,1.64,1.396666667,0.253333333,0.53622653,6.344176709,0.241030165,-27.25177715,44.27430057,-27.98772939,5.308947766,46.2546361,1.056789788,43.76900367,109.287,68.725,4.006,64.719,0.592193033,NA,NA,NA,NA,NA,NA,NA,Cardwelia sublimis,NA
CAS,CAS_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/2014,0.866666667,0.350333333,0.403,39.27333333,112.6246196,2.203333333,2.01,0.223333333,0.429263334,3.958291022,0.85258811,-27.63893348,43.74422837,-28.32215365,4.124062929,49.73378591,2.772316148,17.93943521,70.752,51.837,8.376,43.461,0.614272388,8/5/2014,-5.15,5/8/2014,3,Sun,5005,NA,Castanospermum australe,NA
CAS,CAS_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,1.216,0.47394,0.3896,51.49,109.0664078,2.148,2.136,0.206,0.422972824,3.967354226,0.641195298,-28.707273,45.21609157,-29.68701765,4.854448007,45.48652569,2.108875375,21.56909139,68.664,44.28,8.963,35.317,0.514345217,13/06/2014,-3.89,NA,NA,NA,NA,NA,Castanospermum australe,NA
CAY,CAY_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,3.344,0.61564,0.1782,115.512,212.177328,2.842,2.656,0.236,0.17480775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cayratia saponaria,L
CAY,CAY_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/4/2014,0.853333333,0.260366667,0.305333333,35.9,138.9908135,1.78,1.64,0.223333333,0.17480775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cayratia saponaria,NA
CAY,CAY_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/4/2014,1.333333333,0.3578,0.263333333,82.65,240.6031265,1.74,2.083333333,0.253333333,0.176335739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cayratia saponaria,NA
CLE,CLE_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,0.976,0.42188,0.4314,56.9,135.6359757,2,2.016,0.152,0.531388348,4.399747406,0.820289521,-28.12587327,43.35688195,-29.80377745,6.81332151,46.55174459,1.970377165,23.62580394,55.563,37.397,1.764,35.633,0.641308065,NA,NA,NA,NA,NA,NA,NA,Cleistanthus myrianthus,NA
END,END_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,1.474,0.59542,0.409,40.956,69.19953513,2.362,2.126,0.314,0.518548911,0.777380706,0.534348562,-30.55762473,44.77133857,-31.43006863,-0.010524279,47.06364651,1.552341277,30.31784775,87.608,61.409,3.88,57.529,0.656663775,13/06/2014,-3.92,NA,NA,NA,NA,NA,Endiandra microneuria,NA
ENT,ENT_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/2014,0.776666667,0.201266667,0.258333333,31.99666667,160.8309255,2.165,2.055,0.28,0.397046616,-0.563706307,0.88222171,-27.30745062,44.98944684,-28.43245235,1.042754461,46.84782981,3.348821926,13.98934636,56.798,23.018,8.547,14.471,0.254780098,8/5/2014,-4.63,5/8/2014,4,Sun,7072,NA,Entada phaseoloides,NA
