Species,Site Code,Regenerative Mechanisms,bud_bank_location,resprouting_capacity,post_fire_recruitment
Banksia marginata,"PF50,60,66","L, E, N",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Bedfordia arborescens,"PF2,27,30",L,basal_buds,resprouts,post_fire_recruitment_absent
Blechnum fluviatile,PF70,Not burnt at survey site(s),NA,NA,NA
Blechnum nudum,"PF1,25",L,basal_buds,resprouts,post_fire_recruitment_absent
Blechnum penna-marina,PF48,L,basal_buds,resprouts,post_fire_recruitment_absent
Boronia anethifolia,PF37,Se,none,fire_killed,post_fire_recruitment
Bossiaea sp,"PF10,12",L,basal_buds,resprouts,post_fire_recruitment_absent
Bothriochloa macra,"PF15,32,41",L,basal_buds,resprouts,post_fire_recruitment_absent
Brachychiton populneus,"PF17,32,41,42,46,52","L, E, Se",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Brachychiton populneus,"PF17,32,41,42,46,52","L, E, Se",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Brachycome scapigera,"PF40,57,58,78,79",L,basal_buds,resprouts,post_fire_recruitment_absent
Brachycome sp,PF73,Se,none,fire_killed,post_fire_recruitment
Bulbine bulbosa,"PF15,37",L,basal_buds,resprouts,post_fire_recruitment_absent
Bulbine glauca,PF42,L,basal_buds,resprouts,post_fire_recruitment_absent
Bulbine sp,PF17,L,basal_buds,resprouts,post_fire_recruitment_absent
Bursaria lasiophylla,"PF5,6,15,16,17,19,21,23,27,31,32,3
3,42,46,52,59,60,74,85","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Bursaria lasiophylla,"PF5,6,15,16,17,19,21,23,27,31,32,3
3,42,46,52,59,60,74,85","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Callistemon sp.,PF21,L,basal_buds,resprouts,post_fire_recruitment_absent
Callitris endlicheri,"PF15,41,46,85",N,none,fire_killed,post_fire_recruitment_absent
Carex appressa,"PF1,70",L,basal_buds,resprouts,post_fire_recruitment_absent
Carex breviculmis,PF32,L,basal_buds,resprouts,post_fire_recruitment_absent
Carex gaudichaudiana,"PF57,79",L,basal_buds,resprouts,post_fire_recruitment_absent
Carex sp,"PF15,25,30,37,39,48,57,72,85","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Carex sp,"PF15,25,30,37,39,48,57,72,85","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Cassinia longifolia,"PF6,50","L, E, N",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Cassinia longifolia,"PF6,50","L, E, N",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Casuarina cunninghamiana,"PF20,21","L, E, N",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Casuarina cunninghamiana,"PF20,21","L, E, N",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Celmisia sp,"PF40,57,72,78,80",L,basal_buds,resprouts,post_fire_recruitment_absent
Cheilanthes sp.,"PF32,37",L,basal_buds,resprouts,post_fire_recruitment_absent
Chionochloa pallida,"PF31,39",L,basal_buds,resprouts,post_fire_recruitment_absent
Chionogentias cunninghamii,PF79,N,none,fire_killed,post_fire_recruitment_absent
Chionogentias sylvicola,PF44,N,none,fire_killed,post_fire_recruitment_absent
Cirsium vulgare,"PF25,40","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Cirsium vulgare,"PF25,40","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Clematis aristata,"PF30,44,47","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Clematis aristata,"PF30,44,47","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Clematis microphylla,PF18,L,basal_buds,resprouts,post_fire_recruitment_absent
Clematis sp,"PF4,5,18,20,21,44,45,49,50,70,74,7
5,76,NA07",Se,none,fire_killed,post_fire_recruitment
Convolvulus sp,"PF17,32,41,42,46,52","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Convolvulus sp,"PF17,32,41,42,46,52","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Coprosma hirtella,"PF2,3,5,8,12,30,47,50,70,72,75,76,
80","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Coprosma hirtella,"PF2,3,5,8,12,30,47,50,70,72,75,76,
80","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Coprosma quadrifida,"PF27,70",L,basal_buds,resprouts,post_fire_recruitment_absent
Craspedia sp,"PF5,16,40,57,62,72","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Craspedia sp,"PF5,16,40,57,62,72","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Cucumis myriocarpus,PF32,L,basal_buds,resprouts,post_fire_recruitment_absent
Cucurbit,PF14,"L, Se?",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Cucurbit,PF14,"L, Se?",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Cymbonotus sp.,PF38,L,basal_buds,resprouts,post_fire_recruitment_absent
Cymbopogon refractus,PF37,L,basal_buds,resprouts,post_fire_recruitment_absent
Cynoglossum australe,PF16,L,basal_buds,resprouts,post_fire_recruitment_absent
Daucus glochidiatus,PF15,Se,none,fire_killed,post_fire_recruitment
Daviesia mimosoides,"PF39,44,66 NA03",L,basal_buds,resprouts,post_fire_recruitment_absent
Daviesia sp,PF3,N,none,fire_killed,post_fire_recruitment_absent
Daviesia ulicifolia,PF55,L,basal_buds,resprouts,post_fire_recruitment_absent
Derwentia derwentiana,"PF9,12,39,47,71,72,73, NA03","L, Su",basal_buds bud-bearing_root,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Desmodium sp,PF59,L,basal_buds,resprouts,post_fire_recruitment_absent
Desmodium varians,"PF37,38",L,basal_buds,resprouts,post_fire_recruitment_absent
Dianella revoluta,"PF18,22,39,49",L,basal_buds,resprouts,post_fire_recruitment_absent
Dianella sp,"PF6,7,12,11,26,71,NA03",L,basal_buds,resprouts,post_fire_recruitment_absent
Dianella tasmanica,"PF8,30,42",L,basal_buds,resprouts,post_fire_recruitment_absent
Dichondra repens,PF29,L,basal_buds,resprouts,post_fire_recruitment_absent
Dicksonia antarctica,"PF25,27,30",C,root_crown,resprouts,post_fire_recruitment_absent
Discaria pubescens,"PF15,85",L,basal_buds,resprouts,post_fire_recruitment_absent
Drabastrum alpestre,PF18,"L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Drabastrum alpestre,PF18,"L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Drimys sp.,PF70,L,basal_buds,resprouts,post_fire_recruitment_absent
Drosera peltata,PF37,L,basal_buds,resprouts,post_fire_recruitment_absent
Empodisma minus,PF79,L,basal_buds,resprouts,post_fire_recruitment_absent
Enneapogon sp,PF18,L,basal_buds,resprouts,post_fire_recruitment_absent
Epacris sp,PF10,L,basal_buds,resprouts,post_fire_recruitment_absent
Epilobium sp.,"PF61,51",L,basal_buds,resprouts,post_fire_recruitment_absent
Erodium cicutarium,PF14,L,basal_buds,resprouts,post_fire_recruitment_absent
Eucalyptus albens,PF14,N,none,fire_killed,post_fire_recruitment_absent
Eucalyptus blakelyi,"PF14,16,41,42","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus bridgesiana,"PF1,16,19,21,23,27,38,52,53","L, E, Se",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Eucalyptus bridgesiana,"PF1,16,19,21,23,27,38,52,53","L, E, Se",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Eucalyptus camaldulensis,PF43,E,epicormic_buds,resprouts,post_fire_recruitment_absent
Eucalyptus camphora,PF1,"L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Eucalyptus camphora,PF1,"L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Eucalyptus dalrympleana,"PF2,3,4,6,8,26,39,44,45,48,49,50,5
5,62,63,65,66,78,80,NA03","L, E, Se",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Eucalyptus dalrympleana,"PF2,3,4,6,8,26,39,44,45,48,49,50,5
5,62,63,65,66,78,80,NA03","L, E, Se",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Eucalyptus delegatensis,"PF2,3,875,76","E, N",epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus delegatensis,"PF2,3,875,76","E, N",epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus dives,"PF2,4,23,28,31,38,49,50,63,74","L, E, Se",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Eucalyptus dives,"PF2,4,23,28,31,38,49,50,63,74","L, E, Se",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Eucalyptus fastigata,"PF2,4,5,24,28","L, E, Se",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Eucalyptus fastigata,"PF2,4,5,24,28","L, E, Se",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment
Eucalyptus glaucescens,PF24,L,basal_buds,resprouts,post_fire_recruitment_absent
Eucalyptus macrorhyncha,"PF15,16,19,22,85","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus mannifera,"PF19,22","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus melliodora,"PF14,16,41","E, L, N",epicormic_buds basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus melliodora,"PF14,16,41","E, L, N",epicormic_buds basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus nortonii,"PF31,32,33,35,37,41,42,46","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus pauciflora,"PF3,7,9,11-13,39,44,45,47-49,
53,55,56,58,62,63,66,68, 71-73,
75,78,80,82-84, NA07,09","L, E, N",basal_buds epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus pauciflora,"PF3,7,9,11-13,39,44,45,47-49,
53,55,56,58,62,63,66,68, 71-73,
75,78,80,82-84, NA07,09","L, E, N",basal_buds epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus perriniana,PF47,L,basal_buds,resprouts,post_fire_recruitment_absent
Eucalyptus polyanthemos,"PF17,22,32,46","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus robertsonii,"PF26-29,36,49,70","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus rossii,"PF19,22,37,42,46","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus rubida,"PF48,61","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus sieberi,PF33,E,epicormic_buds,resprouts,post_fire_recruitment_absent
Eucalyptus stellulata,"PF48,53,61,63,65,66,80","L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus triplex,PF39,"L, E",basal_buds epicormic_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Eucalyptus viminalis,"PF1,5,25-30, 33,36,39,50,59,70","L, E, Se, N",basal_buds epicormic_buds none none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent
Eucalyptus viminalis,"PF1,5,25-30, 33,36,39,50,59,70","L, E, Se, N",basal_buds epicormic_buds none none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment post_fire_recruitment_absent
Exocarpos cupressiformis,"PF19,22,24,28,32,45,50,52","L, E, Su, N",basal_buds epicormic_buds bud-bearing_root none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Exocarpos cupressiformis,"PF19,22,24,28,32,45,50,52","L, E, Su, N",basal_buds epicormic_buds bud-bearing_root none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent post_fire_recruitment_absent
Exocarpos sp.,PF39,L,basal_buds,resprouts,post_fire_recruitment_absent
Exocarpos strictus,"PF29,52","E, Su",epicormic_buds bud-bearing_root,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Festuca hookeriana,"PF57,69,78",L,basal_buds,resprouts,post_fire_recruitment_absent
Gahnia sp,PF56,L,basal_buds,resprouts,post_fire_recruitment_absent
Geranium sp,"PF15,25,30,38,39,48,49,53,57,60,6
1,63,67,70-74,76,78,85","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Geranium sp,"PF15,25,30,38,39,48,49,53,57,60,6
1,63,67,70-74,76,78,85","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Glycine clandestina,"PF22,32,35",L,basal_buds,resprouts,post_fire_recruitment_absent
Glycine tabacina,"PF32,41","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Glycine tabacina,"PF32,41","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Gnaphalium sp.,"PF40,57",L,basal_buds,resprouts,post_fire_recruitment_absent
Gonocarpus sp,"PF50,72",L,basal_buds,resprouts,post_fire_recruitment_absent
Gonocarpus tetragynus,"PF29,31,35,37-39,49",L,basal_buds,resprouts,post_fire_recruitment_absent
Goodenia hederacea,PF39,L,basal_buds,resprouts,post_fire_recruitment_absent
Grevillea diminuta,PF10,N,none,fire_killed,post_fire_recruitment_absent
Grevillea ramosissima,PF32,N,none,fire_killed,post_fire_recruitment_absent
Hakea microcarpa,"PF40,56,57,69,78",L,basal_buds,resprouts,post_fire_recruitment_absent
Hardenbergia violacea,"PF18,19,22,31,37,52","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Hardenbergia violacea,"PF18,19,22,31,37,52","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Helichrysum apiculatum,PF32,L,basal_buds,resprouts,post_fire_recruitment_absent
Helichrysum rosmarinifolium,PF69,E,epicormic_buds,resprouts,post_fire_recruitment_absent
Hibbertia obtusifolia,"PF15,49",L,basal_buds,resprouts,post_fire_recruitment_absent
Holcus lanatus,"PF40,69",L,basal_buds,resprouts,post_fire_recruitment_absent
Hydrocotyle laxiflora,"PF25,30,32,53",L,basal_buds,resprouts,post_fire_recruitment_absent
Hypochaeris radicata,"PF40,57",L,basal_buds,resprouts,post_fire_recruitment_absent
Indigofera australis,"PF15,19,22,49,50","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Indigofera australis,"PF15,19,22,49,50","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Juncus sp.,"PF40,57,69",L,basal_buds,resprouts,post_fire_recruitment_absent
Kunzea ericoides,"PF16,23,29,31-35,41,42,45,46,48","L, N",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Kunzea ericoides,"PF16,23,29,31-35,41,42,45,46,48","L, N",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent
Lactuca serriola,"PF25,30",Se,none,fire_killed,post_fire_recruitment
Lepidosperma laterale,"PF15,39",L,basal_buds,resprouts,post_fire_recruitment_absent
Leptorhynchos squamatus,PF72,Se,none,fire_killed,post_fire_recruitment
Leptospermum lanigerum,"PF48,69,70","L, N",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Leptospermum lanigerum,"PF48,69,70","L, N",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent
Leptospermum micromyrtus,PF71,N,none,fire_killed,post_fire_recruitment_absent
Leptospermum myrtifolium,"PF40,55-58,65,66",L,basal_buds,resprouts,post_fire_recruitment_absent
Leptospermum obovatum,PF61,N,none,fire_killed,post_fire_recruitment_absent
Leptospermum sp.,"PF24,38,39,46,63,73,74","L, N",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Leptospermum sp.,"PF24,38,39,46,63,73,74","L, N",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent
Leucopogon sp.,PF79,N,none,fire_killed,post_fire_recruitment_absent
Lomandra filiformis subsp. coriacea,"PF22,29,31,32,49,53",L,basal_buds,resprouts,post_fire_recruitment_absent
Lomandra longifolia,"PF30,49,53",L,basal_buds,resprouts,post_fire_recruitment_absent
Lomandra myricoides,"PF48,70",L,basal_buds,resprouts,post_fire_recruitment_absent
Lomandra sp.,"PF5-7,17,18,3-35,38,39,45,50,55,63, NA04",L,basal_buds,resprouts,post_fire_recruitment_absent
Lomatia myricoides,"PF2,6,8,63,74",L,basal_buds,resprouts,post_fire_recruitment_absent
Luzula sp.,PF53,L,basal_buds,resprouts,post_fire_recruitment_absent
Malva parviflora,PF14,"L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Malva parviflora,PF14,"L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Microlaena stipoides,"PF1,16,29,32,38,39,53",L,basal_buds,resprouts,post_fire_recruitment_absent
Mirbelia oxylobioides,PF39,L,basal_buds,resprouts,post_fire_recruitment_absent
Modiola caroliniana,PF14,Se,none,fire_killed,post_fire_recruitment
Monotoca scoparia,"PF39,49",L,basal_buds,resprouts,post_fire_recruitment_absent
Nymphoides geminata,PF58,L,basal_buds,resprouts,post_fire_recruitment_absent
Olearia argophylla,"PF25,30",L,basal_buds,resprouts,post_fire_recruitment_absent
Olearia erubescens,PF4,"L, L",basal_buds basal_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Olearia erubescens,"PF55,58,80","L, L",basal_buds basal_buds,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Olearia lirata,PF70,Not burnt at survey site(s),NA,NA,NA
Olearia megalophylla,"PF12,47",L,basal_buds,resprouts,post_fire_recruitment_absent
Olearia sp.,"PF7,8,75",L,basal_buds,resprouts,post_fire_recruitment_absent
Orchid sp.,"PF35,56","Se, L",none basal_buds,fire_killed,post_fire_recruitment post_fire_recruitment_absent
Orchid sp.,"PF35,56","Se, L",none basal_buds,resprouts,post_fire_recruitment post_fire_recruitment_absent
Oreomyrrhis ciliata,PF79,Not burnt at survey site(s),NA,NA,NA
Oxalis sp.,"PF32,53",L,basal_buds,resprouts,post_fire_recruitment_absent
Oxylobium alpestre,"PF55,58,80,82",L,basal_buds,resprouts,post_fire_recruitment_absent
Oxylobium sp,"PF7,66,71-73,83","L, N",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Oxylobium sp,"PF7,66,71-73,83","L, N",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent
Panicum effusum,"PF32,42",L,basal_buds,resprouts,post_fire_recruitment_absent
Persoonia chamaepeuce,"PF49,55",L,basal_buds,resprouts,post_fire_recruitment_absent
Persoonia sp,"PF16,50",L,basal_buds,resprouts,post_fire_recruitment_absent
Phragmites australis,"PF48,51",L,basal_buds,resprouts,post_fire_recruitment_absent
Pinus radiata,PF17,"Se, N",none none,fire_killed,post_fire_recruitment post_fire_recruitment_absent
Pinus radiata,PF31,"Se, N",none none,fire_killed,post_fire_recruitment post_fire_recruitment_absent
Plantago varia,"PF49,50,53",L,basal_buds,resprouts,post_fire_recruitment_absent
Poa labillardieri,"PF57,58,78",L,basal_buds,resprouts,post_fire_recruitment_absent
Poa sieberiana,"PF49,55,80",L,basal_buds,resprouts,post_fire_recruitment_absent
Poa sp,"PF44,47,55,72,73,76,79, NA03,04","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Poa sp,"PF44,47,55,72,73,76,79, NA03,04","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Podocarpus lawrencei,"PF11,12","E, N",epicormic_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Podocarpus lawrencei,"PF11,12","E, N",epicormic_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent
Podolepis sp,PF9,L,basal_buds,resprouts,post_fire_recruitment_absent
Polyscias sambucifolia,"PF3,12, NA03",L,basal_buds,resprouts,post_fire_recruitment_absent
Polyscias sp,PF7,L,basal_buds,resprouts,post_fire_recruitment_absent
Polystichum proliferum,"PF8,30,62,63,70,75,76",L,basal_buds,resprouts,post_fire_recruitment_absent
Pomaderris angustifolia,PF15,N,none,fire_killed,post_fire_recruitment_absent
Pomaderris aspera,"PF4,27, NA07",L N,basal_buds none,resprouts,post_fire_recruitment_absent
Pomaderris aspera,"PF4,27, NA07",L N,basal_buds none,fire_killed,post_fire_recruitment_absent
Pomaderris pallida,"PF15,85",N,none,fire_killed,post_fire_recruitment_absent
Poranthera microphylla,PF80,L,basal_buds,resprouts,post_fire_recruitment_absent
Prostanthera lasianthos,PF70,Not burnt at survey site(s),NA,NA,NA
Prostanthera sp.,PF30,L,basal_buds,resprouts,post_fire_recruitment_absent
Pteridium esculentum,"PF1,4,5,24-26,29,30,45,59,70,
NA0745",L,basal_buds,resprouts,post_fire_recruitment_absent
Pultenea procumbens,"PF49,56",L,basal_buds,resprouts,post_fire_recruitment_absent
Ranunculus pimpinellifolius,PF79,Not burnt at survey site(s),NA,NA,NA
Ranunculus sp.,"PF39,40,69",L,basal_buds,resprouts,post_fire_recruitment_absent
Rosa rubiginosa,"PF32,69",L,basal_buds,resprouts,post_fire_recruitment_absent
Rubus fruticosus,"PF1,6,18,20,32,42,52,70,74",L,basal_buds,resprouts,post_fire_recruitment_absent
Rubus parvifolius,PF42,L,basal_buds,resprouts,post_fire_recruitment_absent
Rubus triphyllus,"PF1,11,12,32,48,63",L,basal_buds,resprouts,post_fire_recruitment_absent
Rumex acetosella,"PF25,53,57",L,basal_buds,resprouts,post_fire_recruitment_absent
Rumex sp.,"PF14,32,38,61",L,basal_buds,resprouts,post_fire_recruitment_absent
Salix sp.,"PF20,46",L,basal_buds,resprouts,post_fire_recruitment_absent
Sambucus gaudichaudiana,PF1,L,basal_buds,resprouts,post_fire_recruitment_absent
Senecio linearifolius,"PF58,78",L,basal_buds,resprouts,post_fire_recruitment_absent
Senecio sp.,"PF41,62,66",Se,none,fire_killed,post_fire_recruitment
Solanum nigrum,"PF14,25","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Solanum nigrum,"PF14,25","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
