name_original,metadata_id,primary_source,raw_trait_value,trait,units
Eustrephus latifolius,19,10,13.72,seed mass,mg
Eustrephus latifolius subsp. angustifolius,19,10,13.72,seed mass,mg
Eustrephus latifolius var. angustifolius,19,10,13.72,seed mass,mg
Flagellaria indica,19,10,42.73,seed mass,mg
Geitonoplesium cymosum,19,10,15.32,seed mass,mg
Glycine clandestina,19,10,4.5,seed mass,mg
Glycine clandestina var .sericea,19,10,4.5,seed mass,mg
Glycine clandestina var. clandestina,19,10,4.5,seed mass,mg
Glycine tabacina,19,10,4.36,seed mass,mg
Hibbertia scandens,19,10,7.49,seed mass,mg
Hibbertia scandens var glabra,19,10,7.49,seed mass,mg
Hibbertia scandens var oxyphylla,19,10,7.49,seed mass,mg
Hibbertia scandens var scandens,19,10,7.49,seed mass,mg
Hippocratea barbata,19,10,41.5,seed mass,mg
Hoya australis,19,10,2.01,seed mass,mg
Hoya australis subsp. australis,19,10,2.01,seed mass,mg
Hoya australis subsp. ormicola,19,10,2.01,seed mass,mg
Hoya australis subsp. rupicola,19,10,2.01,seed mass,mg
Hoya australis subsp. sanae,19,10,2.01,seed mass,mg
Hoya australis subsp. tenuipes,19,10,2.01,seed mass,mg
Hydrocotyle acutiloba,19,10,0.104,seed mass,mg
Hypserpa laurina,19,10,43,seed mass,mg
Jasminum didymum,19,10,68.76,seed mass,mg
Jasminum didymum subsp didymum,19,10,170,seed mass,mg
Jasminum elongatum,19,10,170,seed mass,mg
Jasminum volubile,19,10,55.17,seed mass,mg
Kennedia rubicunda,19,10,25.5,seed mass,mg
Legnephora moorei,19,10,20,seed mass,mg
Maclura cochinchinensis,19,10,9,seed mass,mg
Mallotus repandus,19,10,29,seed mass,mg
Melodinus australis,19,10,65,seed mass,mg
Melodorum leichhardtii,19,10,165.32,seed mass,mg
Morinda jasminoides,19,10,7.9,seed mass,mg
Mucuna gigantea,19,10,3841,seed mass,mg
Muehlenbeckia adpressa,19,10,5.32,seed mass,mg
Muehlenbeckia gracillima,19,10,3.2,seed mass,mg
Neosepicaea jucunda,19,10,20,seed mass,mg
Pandorea jasminoides,19,10,9.34,seed mass,mg
Pandorea pandorana,19,10,3.8,seed mass,mg
Pandorea pandorana subsp. austrocaledonica,19,10,3.8,seed mass,mg
Pandorea pandorana subsp. pandorana,19,10,3.8,seed mass,mg
Parsonsia rotata,19,10,5.39,seed mass,mg
Parsonsia straminea,19,10,8.4,seed mass,mg
Passiflora edulis,19,10,15.46,seed mass,mg
Passiflora suberosa,19,10,39.9,seed mass,mg
Passiflora subpeltata,19,10,50,seed mass,mg
Rhagodia candolleana,19,10,1.68,seed mass,mg
Rhagodia candolleana subsp argentea,19,10,1.68,seed mass,mg
Rhagodia candolleana subsp candolleana,19,10,1.68,seed mass,mg
Rubus molluccanus var. trilobus,19,10,0.85,seed mass,mg
Rubus moluccanus,19,10,0.85,seed mass,mg
Rubus parvifolius,19,10,1,seed mass,mg
Rubus rosifolius,19,10,0.6,seed mass,mg
Smilax australis,19,10,40.76,seed mass,mg
Smilax glyciphylla,19,10,36.655,seed mass,mg
Stephania japonica,19,10,19.72,seed mass,mg
Stephania japonica var. discolor,19,10,19.72,seed mass,mg
Stephania japonica var. japonica,19,10,19.72,seed mass,mg
Stephania japonica var. timorensis,19,10,19.72,seed mass,mg
Tetragonia implexicoma,19,10,16.49,seed mass,mg
Tetrastigma nitens,19,10,58.83,seed mass,mg
Tylophora barbata,19,10,10.164,seed mass,mg
Vandasina retusa,19,10,72.02,seed mass,mg
Vigna vexillata,19,10,20.4,seed mass,mg
Vigna vexillata  var. youngiana,19,10,20.4,seed mass,mg
Vigna vexillata var. angustifolia,19,10,20.4,seed mass,mg
