ID,sppsite,Species,Spp,site,site2,corr,ChlAarea(umol m-2),ChlBarea,Chl(tot)area,carots_area,Chla/b,ChlAmass(mmol/kg),ChlBmass,Chl(tot)mass,carots_mass(umol/m2),SLAchl(cm2/g),SLAall
19,BanSer_hiRloP,Banksia serrata,BanSer,Murrua,hiRloP,n,682,226,908,211,3.01,2.34,0.78,3.11,0.72,34.3,37.7
20,HakDac_hiRloP,Hakea dactyloides,HakDac,Murrua,hiRloP,y,303,82,385,169,3.68,1.14,0.31,1.44,0.63,37.5,37.9
21,HakDac_hiRloP,Hakea dactyloides,HakDac,Murrua,hiRloP,n,426,140,566,300,3.04,1.39,0.46,1.85,0.98,32.7,32.7
22,LamFor_hiRloP,Lambertia formosa,LamFor,Murrua,hiRloP,n,472,179,651,194,2.64,2.16,0.81,2.97,0.88,45.6,46.7
23,CorGum_hiRloP,Corymbia gummifera,CorGum,Murrua,hiRloP,n,460,167,627,269,2.75,1.99,0.72,2.71,1.16,43.2,44.7
24,BanMar_hiRloP,Banksia marginata,BanMar,Murrua,hiRloP,n,425,132,557,231,3.23,1.78,0.55,2.33,0.97,41.8,42.9
25,AcaSua_hiRloP,Acacia suaveolens,AcaSua,Murrua,hiRloP,n,518,224,743,320,2.31,3.01,1.3,4.32,1.86,58.1,54.1
26,PerLan_hiRloP,Persoonia lanceolata,PerLan,Murrua,hiRloP,y,200,86,286,112,2.32,1.11,0.48,1.59,0.62,55.6,52.4
27,BanMar_hiRloP,Banksia marginata,BanMar,Murrua,hiRloP,y,216,80,297,125,2.69,1.09,0.41,1.5,0.63,50.48,50.6
28,AstFlo_hiRhiP,Astrotrichia floccosa,AstFlo,WestHead,hiRhiP,n,391,143,535,118,2.73,6.63,2.42,9.05,2,169.3,165.5
29,BanMar_hiRloP,Banksia marginata,BanMar,Murrua,hiRloP,n,504,161,665,234,3.13,2.05,0.65,2.7,0.95,40.6,42.2
30,AstFlo_hiRhiP,Astrotrichia floccosa,AstFlo,WestHead,hiRhiP,n,363,122,485,124,2.98,5.68,1.91,7.59,1.94,156.5,148.7
31,AstFlo_hiRhiP,Astrotrichia floccosa,AstFlo,WestHead,hiRhiP,n,302,103,405,87,2.92,4.47,1.53,6,1.29,148.2,143
32,SynGla_hiRhiP,Synoum glandulosum,SynGla,WestHead,hiRhiP,n,380,136,515,131,2.8,5.03,1.79,6.83,1.73,132.4,137.1
33,SynGla_hiRhiP,Synoum glandulosum,SynGla,WestHead,hiRhiP,n,392,155,548,188,2.53,3.52,1.39,4.9,1.68,89.6,90.8
34,SynGla_hiRhiP,Synoum glandulosum,SynGla,WestHead,hiRhiP,n,366,139,505,184,2.63,3.09,1.18,4.27,1.55,84.6,105.9
35,BanInt_MUcampus,Banksia integrifolia,BanInt,MUcampus,MUcampus,n,268,86,354,153,3.11,1.17,0.38,1.54,0.67,43.7,41.9
36,HakDac_hiRloP,Hakea dactyloides,HakDac,KCNP_east,hiRloP,n,524,178,703,311,2.94,1.42,0.48,1.91,0.84,27.1,27
37,NotLon_hiRhiP,Notelaea longifolia,NotLon,WestHead,hiRhiP,n,340,116,456,118,2.92,1.97,0.67,2.64,0.68,58,55.8
38,NotLon_hiRhiP,Notelaea longifolia,NotLon,WestHead,hiRhiP,n,267,93,359,180,2.88,1.45,0.5,1.95,0.97,54.2,58.4
39,XylPyr_hiRhiP,Xylomelum pyriforme,XylPyr,WestHead,hiRhiP,n,448,154,601,186,2.91,3.1,1.06,4.16,1.29,69.2,69.4
40,XylPyr_hiRhiP,Xylomelum pyriforme,XylPyr,WestHead,hiRhiP,n,592,194,787,224,3.05,3.88,1.27,5.15,1.47,65.5,62.5
41,SynGlo_hiRhiP,Syncarpia glomulifera,SynGlo,WestHead,hiRhiP,n,542,188,730,180,2.88,4.48,1.55,6.03,1.49,82.6,81
42,SynGlo_hiRhiP,Syncarpia glomulifera,SynGlo,WestHead,hiRhiP,n,375,141,517,152,2.66,2.63,0.99,3.62,1.06,70,70.2
43,SynGlo_hiRhiP,Syncarpia glomulifera,SynGlo,WestHead,hiRhiP,n,308,109,417,110,2.84,1.68,0.59,2.27,0.6,54.4,58.5
44,MacCom_hiRhiP,Macrozamia communis,MacCom,WestHead,hiRhiP,n,406,168,574,136,2.41,2.04,0.84,2.88,0.68,50.2,47.2
45,MacCom_hiRhiP,Macrozamia communis,MacCom,WestHead,hiRhiP,n,748,333,1081,237,2.25,3.17,1.41,4.58,1,42.4,40.9
46,MacTer_MUcampus,Macadamia ternifolia,MacTer,MUcampus,MUcampus,n,645,239,884,258,2.7,3.27,1.21,4.48,1.31,50.7,52.2
47,BanObl_hiRloP,Banksia oblongifolia,BanObl,KCNP_east,hiRloP,y,492,203,696,97,2.42,1.76,0.73,2.48,0.35,35.7,37.9
48,BanObl_hiRloP,Banksia oblongifolia,BanObl,KCNP_east,hiRloP,y,594,155,749,242,3.82,2.14,0.56,2.7,0.87,36,35.9
49,XylPyr_hiRhiP,Xylomelum pyriforme,XylPyr,WestHead,hiRhiP,n,591,195,786,210,3.03,4.14,1.37,5.51,1.47,70.1,68.1
50,AcaMyr_hiRloP,Acacia myrtifolia,AcaMyr,KCNP_east,hiRloP,n,575,199,775,184,2.89,4.05,1.4,5.45,1.29,70.4,69
51,EucUmb_hiRhiP,Eucalyptus umbra,EucUmb,WestHead,hiRhiP,n,565,213,778,172,2.65,2.43,0.92,3.35,0.74,43,50.9
52,EucUmb_hiRhiP,Eucalyptus umbra,EucUmb,WestHead,hiRhiP,n,552,233,785,263,2.37,3.78,1.59,5.38,1.8,68.5,65
53,LamFor_hiRhiP,Lambertia formosa,LamFor,WestHead,hiRhiP,n,340,128,467,305,2.66,1.57,0.59,2.17,1.41,46.3,47.8
54,BanMar_hiRloP,Banksia marginata,BanMar,Murrua,hiRloP,n,356,113,469,233,3.13,1.69,0.54,2.23,1.11,47.5,46.5
55,BreObl_hiRhiP,Breynia oblongifolia,BreObl,WestHead,hiRhiP,n,487,179,666,219,2.72,4.05,1.49,5.54,1.82,83.2,86.6
56,EriAus_hiRloP,Eriostemon australasius,EriAus,KCNP_east,hiRloP,n,239,96,335,149,2.48,1.95,0.79,2.74,1.22,81.9,81.1
57,EriAus_hiRloP,Eriostemon australasius,EriAus,KCNP_east,hiRloP,n,429,164,593,239,2.61,2.76,1.06,3.82,1.54,64.5,66
58,EucFib_loRhiP,Eucalyptus fibrosa,EucFib,Castlereagh1,loRhiP,n,499,185,683,201,2.7,2.29,0.85,3.14,0.92,45.9,45.3
59,LamFor_hiRloP,Lambertia formosa,LamFor,Murrua,hiRloP,n,346,123,469,310,2.82,1.5,0.53,2.04,1.34,43.4,44
60,PerLau_loRhiP,Persoonia laurina,PerLau,Castlereagh2,loRhiP,n,162,54,216,124,2.97,0.99,0.33,1.32,0.76,61,63.3
61,PodEla_MUcampus,Podocarpus elatus,PodEla,MUcampus,MUcampus,y,655,235,890,236,2.78,3.94,1.41,5.35,1.42,60.2,54.3
62,AcaSua_hiRloP,Acacia suaveolens,AcaSua,KCNP_east,hiRloP,n,505,194,699,230,2.6,3.18,1.22,4.4,1.45,62.9,67.9
63,GreSpe_hiRloP,Grevillea speciosa,GreSpe,KCNP_east,hiRloP,n,269,88,356,159,3.07,2.06,0.67,2.73,1.22,76.6,75.8
64,GreSpe_hiRloP,Grevillea speciosa,GreSpe,KCNP_east,hiRloP,n,297,105,402,208,2.84,2.33,0.82,3.14,1.63,78.2,76.2
65,EucFib_loRhiP,Eucalyptus fibrosa,EucFib,Castlereagh1,loRhiP,n,594,208,802,230,2.86,2.61,0.91,3.52,1.01,43.9,44.2
66,EucScl_loRloP,Eucalyptus sclerophylla,EucScl,AgnesBanks,loRloP,n,469,159,629,223,2.94,2.4,0.81,3.21,1.14,51.1,49.9
67,PerLau_loRhiP,Persoonia laurina,PerLau,Castlereagh2,loRhiP,n,141,50,191,150,2.8,0.83,0.3,1.13,0.88,58.9,60.1
68,PerLau_loRloP,Persoonia laurina,PerLau,AgnesBanks,loRloP,n,168,54,222,87,3.11,1.06,0.34,1.4,0.55,62.9,61.8
69,AcaFal_loRhiP,Acacia falcata,AcaFal,Castlereagh1,loRhiP,n,641,196,837,247,3.27,5.41,1.65,7.06,2.09,84.4,85.3
70,EucHae_loRhiP,Eucalyptus haemostoma,EucHae,Castlereagh2,loRhiP,n,426,136,562,129,3.14,3.06,0.97,4.03,0.93,71.8,69.6
71,EucFib_loRhiP,Eucalyptus fibrosa,EucFib,Castlereagh1,loRhiP,n,413,171,584,172,2.41,2.63,1.09,3.72,1.1,63.7,54.7
72,AcaFal_loRhiP,Acacia falcata,AcaFal,Castlereagh1,loRhiP,n,581,187,768,242,3.11,3.88,1.25,5.13,1.61,66.8,66.7
73,EucScl_loRloP,Eucalyptus sclerophylla,EucScl,AgnesBanks,loRloP,n,406,140,545,161,2.9,2.13,0.73,2.87,0.84,52.6,51.4
74,AcaFal_loRhiP,Acacia falcata,AcaFal,Castlereagh1,loRhiP,n,522,157,679,168,3.33,4.51,1.35,5.86,1.45,86.3,79.2
75,MacSpi_loRhiP,Macrozamia spiralis,MacSpi,Castlereagh1,loRhiP,n,739,337,1076,349,2.19,2.82,1.29,4.1,1.33,38.1,41
76,MacSpi_loRhiP,Macrozamia spiralis,MacSpi,Castlereagh1,loRhiP,n,486,195,681,268,2.49,1.85,0.74,2.59,1.02,38,39
77,BanSpi_loRhiP,Banksia spinulosa,BanSpi,Castlereagh2,loRhiP,n,185,81,266,215,2.27,0.87,0.39,1.26,1.02,47.3,46.5
78,EucScl_loRloP,Eucalyptus sclerophylla,EucScl,AgnesBanks,loRloP,n,474,164,638,191,2.89,2.26,0.78,3.04,0.91,47.6,48.3
79,BanSpi_loRhiP,Banksia spinulosa,BanSpi,Castlereagh2,loRhiP,n,355,123,478,170,2.89,1.63,0.56,2.2,0.78,46,46
80,EriAus_hiRloP,Eriostemon australasius,EriAus,KCNP_east,hiRloP,n,414,150,565,260,2.75,2.61,0.95,3.56,1.64,63.1,63.3
81,EucHae_loRhiP,Eucalyptus haemostoma,EucHae,Castlereagh2,loRhiP,n,270,100,369,105,2.71,2.21,0.82,3.03,0.86,82.1,74.1
82,BanSpi_loRhiP,Banksia spinulosa,BanSpi,Castlereagh2,loRhiP,n,333,138,471,157,2.42,1.47,0.61,2.08,0.7,44.1,44.1
83,BanAem_loRloP,Banksia aemula,BanAem,AgnesBanks,loRloP,n,323,111,434,174,2.91,1.71,0.59,2.29,0.92,52.8,55
84,BanAem_loRloP,Banksia aemula,BanAem,AgnesBanks,loRloP,n,214,72,287,157,2.96,1.25,0.42,1.68,0.92,58.5,57.4
85,MacTer_MUcampus,Macadamia ternifolia,MacTer,MUcampus,MUcampus,n,305,124,429,125,2.46,2.21,0.9,3.11,0.91,72.5,71.9
86,PitUnd_hiRhiP,Pittosporum undulatum,PitUnd,MU_forest,hiRhiP,n,334,143,477,177,2.33,2.84,1.22,4.06,1.5,85,85.5
87,PitUnd_hiRhiP,Pittosporum undulatum,PitUnd,MU_forest,hiRhiP,n,367,167,534,206,2.2,2.98,1.36,4.34,1.67,81.2,84.3
88,BanRob_MUcampus,Banksia robur,BanRob,MUcampus,MUcampus,n,227,77,305,77,2.94,1.95,0.66,2.62,0.66,85.9,81
89,PolSam_hiRhiP,Polyscias sambucifolia,PolSam,MU_forest,hiRhiP,n,266,97,363,112,2.75,3.31,1.2,4.51,1.39,124.3,119.1
90,PolSam_hiRhiP,Polyscias sambucifolia,PolSam,MU_forest,hiRhiP,n,407,147,554,135,2.77,3.3,1.19,4.49,1.1,81,90.3
91,GinBil_MUcampus,Ginkgo biloba,GinBil,MUcampus,MUcampus,n,153,56,209,71,2.73,3.33,1.22,4.55,1.55,218.2,215.8
92,AraBid_MUcampus,Araucaria bidwilii,AraBid,MUcampus,MUcampus,n,383,137,520,162,2.79,2.45,0.88,3.32,1.04,63.9,64.8
93,GinBil_MUcampus,Ginkgo biloba,GinBil,MUcampus,MUcampus,n,437,162,599,142,2.69,5.9,2.19,8.1,1.92,135.3,124.8
94,CepFor_MUcampus,Cephalotaxus fortunei,CepFor,MUcampus,MUcampus,n,684,245,930,272,2.79,4.41,1.58,5.99,1.75,64.4,64.4
95,AgaMoo_MUcampus,Agathis moorei,AgaMoo,MUcampus,MUcampus,y,538,208,746,211,2.59,3.18,1.23,4.41,1.25,59.1,56.7
96,AcaSua_hiRhiP,Acacia longifolia,AcaSua,MU_forest,hiRhiP,n,283,94,377,158,3,2.45,0.82,3.26,1.37,86.5,84.9
97,BanRob_MUcampus,Banksia robur,BanRob,MUcampus,MUcampus,n,302,111,413,87,2.71,3.6,1.33,4.92,1.03,119.1,115
