Leaf no,Species,Conifer,N-fixing,site,Site 2,site2,Gm,gm/mass,Rd,Rd/mass,Amax for Ci=250,Amax/mass,A/Ci-curve data,TPU/area,TPU/mass,Jmax/area,Jmax/mass,Jmax/TPU mass,average ETR,Last point lower ETR,Last/previous (Jmax),Last/previous (ETR),Jmax/Vcmax,Vcmax/mass,FR,Average Vcmax,Modelled Cc-ci,Ci,Cc-modelled,Cc/Ci-modelled,Ci-Cc-modelled,Measured Ci-Cc -less reliable!,AvGtc,av-CA,av A,Av-Ci,av Ci/CA,av-Cc,Cc/Ci,Ci-Cc,Cc/Ca,Cc-modelled,GE-LMA,dC13,dN15,N%,C%,P%,P/N,GE-N/area,GE-P/area
38,Notelaea longifolia,,,hiRhiP,hiRhiP,HiR,0.03,0.161,-1.961,-0.011,2.382,0.013,,2.153,0.012,37.649,0.204,17.486,29.15,N,1.105,1.217,2.668,0.076,0.08,14.113,,250,170.019,0.68,79.981,,0.019,371.92,2.535,239.259,0.643,154.141,0.254,1.892,33.663,,184.523,-34.036,-1.7,0.75,52.9,0.031,0.019,1.384,0.057
41,Syncarpia glomulifera,,,hiRhiP,hiRhiP,HiR,0.117,0.968,-1.915,-0.016,9.202,0.076,,6.163,0.051,92.876,0.767,15.071,89.832,Y,0.968,0.942,2.191,0.35,0.255,42.38,,250,171.497,0.686,78.503,,0.107,365.68,9.8,273.62,0.748,190.015,0.076,9.052,7.01,,121.049,-31.13,2.738,1.07,54.1,0.044,0.018,1.295,0.053
42,Syncarpia glomulifera,,,hiRhiP,hiRhiP,HiR,0.117,0.822,-1.338,-0.009,8.987,0.063,,5.366,0.038,86.985,0.609,16.21,82.312,Y,0.923,0.909,2.177,0.28,0.283,39.954,,250,173.487,0.694,76.513,,0.09,381.463,9.634,275.143,0.721,193.123,0.075,8.913,7.978,,142.899,-30.879,-2,0.77,54.6,0.03,0.017,1.1,0.042
43,Syncarpia glomulifera,,,hiRhiP,hiRhiP,HiR,0.116,0.652,-1.833,-0.01,11.226,0.063,,7.941,0.045,129.285,0.727,16.28,109.309,Y,0.959,0.955,2.352,0.309,0.355,54.957,,250,153.104,0.612,96.896,,0.093,380.527,10.804,264.311,0.695,171.061,0.064,10.109,7.434,,177.828,-30.03,-3,0.68,52.1,0.032,0.021,1.209,0.057
32,Synoum glandulosum,,,hiRhiP,hiRhiP,HiR,0.08,1.056,-0.857,-0.011,4.692,0.062,,4.328,0.057,63.083,0.835,14.576,64.508,N,1.14,1.183,3.185,0.262,0.141,19.803,,250,191.189,0.765,58.811,,0.03,369.695,3.903,238.111,0.644,189.192,0.165,3.259,21.484,,75.528,-27.55,-3.3,1.45,49.6,0.075,0.024,1.095,0.057
33,Synoum glandulosum,,,hiRhiP,hiRhiP,HiR,0.08,0.719,-1.776,-0.016,4.107,0.037,,4.815,0.043,69.5,0.622,14.434,66.791,N,1.126,1.1,3.695,0.168,0.096,18.808,,250,198.859,0.795,51.141,,0.049,369.32,5.104,265.815,0.72,202.26,0.141,4.384,14.597,,111.647,-28.4,-1.6,1.37,46.1,0.062,0.02,1.53,0.069
34,Synoum glandulosum,,,hiRhiP,hiRhiP,HiR,0.076,0.643,-2.042,-0.017,5,0.042,,4.967,0.042,69.134,0.585,13.918,67.379,N,1.089,1.05,2.894,0.202,0.113,23.888,,250,184.235,0.737,65.765,,0.081,368.295,5.994,294.065,0.798,215.227,0.133,5.195,9.868,,118.263,-29,-1.997,1.4,49.3,0.066,0.021,1.656,0.078
40,Xylomelum pyriforme,,,hiRhiP,hiRhiP,HiR,0.067,0.44,-2.432,-0.016,4.896,0.032,,2.229,0.015,56.102,0.367,25.164,52.448,N,1.155,1.11,2.251,0.163,0.22,24.928,,250,177.071,0.708,72.929,,0.022,371.575,4.761,156.091,0.42,85.16,0.088,4.341,18.939,,152.694,-31.892,1.582,0.58,53.1,0.036,0.028,0.886,0.054
39,Xylomelum pyriforme,,,hiRhiP,hiRhiP,HiR,0.044,0.306,-1.347,-0.009,4.786,0.033,,3.97,0.027,58.538,0.405,14.746,56.52,N,1.166,1.007,2.237,0.181,0.162,26.163,,250,141.677,0.567,108.323,,0.034,369.255,4.602,234.931,0.636,130.762,0.138,3.966,18.57,,144.484,-32.296,2.9,0.87,52.1,0.028,0.015,1.257,0.041
49,Xylomelum pyriforme,,,hiRhiP,hiRhiP,HiR,0.089,0.623,-1.798,-0.013,8.637,0.061,,5.354,0.038,80.238,0.563,14.986,82.637,N,1.074,1.061,1.856,0.303,0.182,43.228,,250,152.764,0.611,97.236,,0.031,368.145,5.677,183.519,0.498,119.602,0.088,5.179,15.993,,142.632,-31.369,-1.421,1.3,53.5,0.037,0.013,1.854,0.052
96,Acacia suaveolens,,Y,MUcampus,hiRhiP,HiR,0.061,0.526,-1.385,-0.012,6.561,0.057,,6.056,0.052,88.294,0.764,14.579,76.565,N,1.116,1.107,2.544,0.3,0.098,34.709,,250,141.97,0.568,108.03,,0.028,386.043,4.447,224.985,0.583,151.756,0.131,3.865,21.076,,115.566,-25.886,2.386,2.38,54.05,0.041,0.008,2.75,0.048
86,Pittosporum undulatum,,,MUcampus,hiRhiP,HiR,0.107,0.913,-1.639,-0.014,7.922,0.067,,4.609,0.039,83.262,0.708,18.063,84.467,Y,0.904,0.827,2.328,0.304,0.161,35.773,,250,176.221,0.705,73.779,,0.064,366.325,8.119,239.734,0.654,164.119,0.081,7.464,10.151,,117.642,-26.728,-0.776,1.47,50.85,0.079,0.024,1.729,0.093
87,Pittosporum undulatum,,,MUcampus,hiRhiP,HiR,0.117,0.954,-1.501,-0.012,9.01,0.073,,6.551,0.053,111.823,0.908,17.068,105.611,Y,0.888,0.923,2.767,0.328,0.152,40.418,,250,173.275,0.693,76.725,,0.069,365.645,9.205,231.981,0.634,153.592,0.069,8.571,9.219,,123.124,-26.242,-0.537,1.685,50.9,0.095,0.025,2.075,0.117
89,Polyscias sambucifolia,,,MUcampus,hiRhiP,HiR,0.163,2.024,-1.335,-0.017,9.466,0.118,,6.334,0.079,99.74,1.24,15.746,95.582,Y,0.923,0.946,2.551,0.486,0.277,39.101,,250,191.841,0.767,58.159,,0.071,318.73,7.656,211.151,0.662,164.115,0.087,6.993,9.318,,80.434,-29.022,-0.885,1.37,53.62,0.074,0.024,1.102,0.06
90,Polyscias sambucifolia,,,MUcampus,hiRhiP,HiR,0.124,1.005,-1.584,-0.013,6.747,0.055,,5.518,0.045,84.296,0.683,15.275,85.885,N,1.082,1.098,2.937,0.232,0.171,28.703,,250,195.654,0.783,54.346,,0.036,367.915,5.85,202.107,0.549,154.984,0.094,5.301,15.42,,123.492,-29.005,-1.9,1.06,53.4,0.06,0.026,1.309,0.075
2,Banksia integrifolia,,,MUcampus,hiRhiP,,0.142,0.624,-2.649,-0.012,13.33,0.059,,8.624,0.038,160.11,0.704,18.565,161.216,Y,0.931,0.945,2.447,0.288,0.261,65.444,,250,155.944,0.624,94.056,,0.062,361.277,10.532,191.099,0.529,116.783,0.05,10.003,8.597,,227.304,-28.569,1.428,0.859,53.263,0.043,0.023,1.954,0.098
35,Banksia integrifolia,,,MUcampus,hiRhiP,,0.072,0.313,-1.662,-0.007,9.608,0.042,,8.184,0.036,138.44,0.605,16.916,112.631,Y,0.883,0.963,2.374,0.255,0.339,58.312,,250,115.918,0.464,134.082,,0.041,384.677,6.119,236.844,0.616,151.452,0.101,5.503,14.93,,228.988,-27.28,0.756,0.586,52.318,0.039,0.03,1.341,0.09
3,Banksia robur,,,MUcampus,hiRhiP,,0.127,0.636,-1.969,-0.01,6.49,0.033,,4.647,0.023,77.289,0.388,16.634,73.957,Y,0.943,0.913,2.745,0.141,0.171,28.154,,250,198.774,0.795,51.226,,0.067,347.57,7.697,232.666,0.669,171.919,0.087,7.027,9.979,,199.254,-27.749,6.514,0.645,49.75,0.035,0.025,1.285,0.07
88,Banksia robur,,,MUcampus,hiRhiP,,0.113,0.97,-0.914,-0.008,7.837,0.067,,3.603,0.031,72.974,0.627,20.254,70.085,Y,0.94,0.911,2.187,0.286,0.306,33.361,,250,180.626,0.723,69.374,,0.044,383.987,7.124,220.93,0.575,157.865,0.081,6.549,13.036,,116.475,-32.293,6.65,0.73,50.8,0.061,0.038,0.85,0.071
97,Banksia robur,,,MUcampus,hiRhiP,,0.079,0.914,-0.444,-0.005,4.798,0.055,,3.871,0.045,53.749,0.62,13.885,43.015,N,1.323,1.129,2.751,0.225,0.152,19.54,,250,189.435,0.758,60.565,,0.02,372.11,3.016,219.694,0.59,181.629,0.196,2.425,29.821,,86.686,-32.4,6.707,1.158,49.1,0.091,0.036,1.003,0.079
4,Banksia serrata,,,MUcampus,hiRhiP,,0.053,0.285,-1.436,-0.008,7.129,0.038,,6.683,0.036,103.555,0.553,15.495,109.808,N,1.099,1.098,2.374,0.233,0.293,43.628,,250,116.611,0.466,133.389,,0.03,399.344,4.685,243.775,0.61,156.122,0.13,4.074,20.301,,187.267,-25.8,1.7,0.62,50.9,0.043,0.031,1.161,0.081
46,Macadamia ternifolia,,,MUcampus,hiRhiP,,0.065,0.33,-2.286,-0.012,5.399,0.027,,5.05,0.026,75.067,0.381,14.866,39.642,N,1.237,1.162,2.699,0.141,0.124,27.813,,250,166.962,0.668,83.038,,0.032,371.425,5.133,210.445,0.567,131.499,0.11,4.566,17.771,,197.202,-26.838,0.313,0.89,50.8,0.04,0.02,1.755,0.079
85,Macadamia ternifolia,,,MUcampus,hiRhiP,,0.086,0.627,-0.976,-0.007,5.907,0.043,,3.306,0.024,52.15,0.378,15.775,54.75,Y,0.899,0.902,2.036,0.186,0.136,25.619,,250,181.687,0.727,68.313,,0.034,368.345,5.214,214.036,0.581,153.737,0.111,4.633,17.176,,137.893,-30.753,2.532,1.07,51.9,0.09,0.038,1.475,0.124
50,Acacia myrtifolia,,Y,hiRloP,hiRloP,HiR,0.111,0.785,-0.711,-0.005,7.868,0.055,,5.174,0.036,74.367,0.524,14.373,79.937,Y,0.985,0.97,2.238,0.234,0.11,33.233,,250,179.413,0.718,70.587,,0.06,367.225,7.586,241.276,0.657,173.223,0.087,6.929,10.925,,142.056,-30.545,-2.243,1.66,53.8,0.015,0.004,2.358,0.021
25,Acacia suaveolens,,Y,hiRloP,hiRloP,HiR,0.061,0.342,-2.191,-0.012,6.99,0.039,,6.296,0.035,100.993,0.567,16.04,101.031,Y,0.983,0.914,2.514,0.226,0.077,40.178,,250,135.007,0.54,114.993,,0.035,385.543,6.398,217.997,0.565,112.741,0.088,5.833,16.295,,177.969,-29.4,-3.2,2.285,53.95,0.026,0.005,4.067,0.046
62,Acacia suaveolens,,Y,hiRloP,hiRloP,HiR,0.071,0.456,-2.029,-0.013,8.23,0.053,,7.867,0.05,123.754,0.791,15.73,74.673,N,1.45,1.172,2.69,0.294,0.118,46.013,,250,134.699,0.539,115.301,,0.04,371.975,3.457,284.811,0.766,236.373,0.221,2.692,19.303,,156.416,-31.472,-2.4,1.94,52.8,0.032,0.007,3.034,0.05
5,Angophora hispida,,,hiRloP,hiRloP,HiR,0.032,0.155,-1.363,-0.007,4.009,0.019,,3.053,0.015,76.371,0.368,25.012,107.728,N,1.11,1.073,3.092,0.119,0.141,24.703,,250,125.057,0.5,124.943,,0.018,371.965,2.898,211.238,0.568,120.898,0.196,2.331,31.491,,207.446,-26.546,2.05,0.66,52.5,0.032,0.022,1.369,0.066
9,Angophora hispida,,,hiRloP,hiRloP,HiR,0.063,0.497,-1.635,-0.013,5.058,0.04,,3.824,0.03,69.597,0.547,18.201,83.749,Y,1,0.955,2.821,0.194,0.252,24.67,,250,169.934,0.68,80.066,,0.038,369.48,4.801,243.286,0.658,167.298,0.137,4.142,17.255,,127.204,-28.2,4.55,0.6,54.2,0.04,0.03,0.763,0.051
13,Angophora hispida,,,hiRloP,hiRloP,HiR,0.08,0.396,-2.599,-0.013,8.156,0.04,,6.246,0.031,98.659,0.486,15.794,105.832,Y,0.985,0.93,2.255,0.216,0.312,43.742,,250,148.594,0.594,101.406,,0.056,367.615,7.836,227.116,0.618,129.69,0.079,7.218,11.062,,202.904,-28.011,-3.4,0.54,53.7,0.038,0.032,1.096,0.077
14,Angophora hispida,,,hiRloP,hiRloP,HiR,0.038,0.194,-2.6,-0.013,4.398,0.022,,3.349,0.017,68.067,0.346,20.326,107.973,Y,0.825,,2.403,0.144,0.191,28.325,,250,134.94,0.54,115.06,,0.016,371.495,2.465,222.391,0.599,157.916,0.243,1.866,36.344,,196.642,-27.302,-3.762,0.59,51.6,0.037,0.028,1.16,0.072
24,Banksia marginata,,,hiRloP,hiRloP,HiR,0.037,0.158,-1.559,-0.007,4.751,0.02,,3.877,0.017,57.442,0.246,14.815,59.791,Y,1.048,0.934,1.922,0.128,0.25,29.891,,250,120.942,0.484,129.058,,0.023,388.723,2.899,263.29,0.677,184.547,0.234,2.221,29.284,,233.474,-29.8,1.536,0.4,57.7,0.008,0.009,0.934,0.018
27,Banksia marginata,,,hiRloP,hiRloP,HiR,0.099,0.454,-0.977,-0.004,8.053,0.037,,5.002,0.023,83.451,0.382,16.683,86.215,Y,0.911,0.926,2.317,0.165,0.275,36.018,,250,168.906,0.676,81.094,,0.054,383.187,7.712,238.888,0.623,161.229,0.081,7.089,11.518,,218.548,-28.625,-2.57,0.468,51.15,0.015,0.014,1.024,0.032
29,Banksia marginata,,,hiRloP,hiRloP,HiR,0.056,0.232,-1.18,-0.005,7.238,0.03,,4.324,0.018,91.653,0.377,21.195,116.93,Y,0.875,0.944,2.176,0.173,0.269,42.128,,250,121.616,0.486,128.384,,0.039,385.267,5.963,230.623,0.599,124.851,0.1,5.365,15.304,,243.311,-29.126,-2.257,0.503,52.079,0.009,0.008,1.224,0.022
54,Banksia marginata,,,hiRloP,hiRloP,HiR,0.033,0.161,-2.314,-0.011,3.672,0.018,,3.892,0.019,57.302,0.275,14.724,67.962,N,1.029,1.063,2.456,0.112,0.222,23.333,,250,140.135,0.561,109.865,,0.112,370.45,3.599,338.371,0.913,230.698,0.254,2.685,8.135,,208.218,-28.099,-0.292,0.393,51.847,0.012,0.014,0.819,0.026
7,Banksia oblongifolia,,,hiRloP,hiRloP,HiR,0.143,0.595,-2.176,-0.009,12.896,0.054,,7.581,0.032,140.109,0.583,18.481,126.363,Y,0.891,0.863,2.284,0.255,0.224,61.337,,250,159.87,0.639,90.13,,0.076,380.443,11.656,226.726,0.598,145.263,0.051,11.058,7.884,,240.342,-28.172,2.2,0.89,,0.021,0.011,2.139,0.051
47,Banksia oblongifolia,,,hiRloP,hiRloP,HiR,0.112,0.401,-2.491,-0.009,12.62,0.045,,9.841,0.035,157.915,0.564,16.047,135.609,Y,0.972,0.991,2.325,0.242,0.26,67.915,,250,137.603,0.55,112.397,,0.083,380.363,11.239,244.852,0.644,144.755,0.057,10.595,7.785,,280.098,-29.34,-3.113,0.727,51.689,0.022,0.014,2.036,0.063
48,Banksia oblongifolia,,,hiRloP,hiRloP,HiR,0.075,0.269,-1.212,-0.004,9.989,0.036,,4.707,0.017,109.525,0.395,23.266,119.865,Y,0.951,0.912,1.852,0.213,0.264,59.151,,250,116.008,0.464,133.992,,0.038,384.603,6.308,217.272,0.565,132.658,0.09,5.743,14.994,,277.571,-28.589,4.155,0.63,51.7,0.022,0.016,1.749,0.061
16,Banksia serrata,,,hiRloP,hiRloP,HiR,0.114,0.468,-1.301,-0.005,11.412,0.047,,7.514,0.031,130,0.534,17.301,115.275,Y,0.868,0.923,2.346,0.228,0.335,55.419,,250,149.996,0.6,100.004,,0.056,381.86,9.229,218.02,0.571,137.144,0.062,8.658,10.164,,243.577,-29.429,-4.765,0.53,42.6,0.023,0.02,1.291,0.056
18,Banksia serrata,,,hiRloP,hiRloP,HiR,0.091,0.381,-1.727,-0.007,10.115,0.043,,7.164,0.03,144.715,0.609,20.2,125.64,Y,0.849,0.886,2.701,0.225,0.391,53.574,,250,138.298,0.553,111.702,,0.069,381.383,10.073,236.536,0.62,125.305,0.062,9.453,8.97,,237.617,-29.125,-3.327,0.45,42.8,0.032,0.033,1.069,0.077
19,Banksia serrata,,,hiRloP,hiRloP,HiR,0.062,0.211,-1.416,-0.005,7.752,0.027,,5.42,0.019,86.839,0.298,16.023,79.161,Y,0.939,0.946,1.937,0.154,0.182,44.835,,250,124.069,0.496,125.931,,0.262,381.87,8.491,349.56,0.915,211.636,0.108,7.575,3.489,,291.785,-28.923,-3.3,0.66,53.1,0.02,0.013,1.926,0.057
23,Corymbia gummifera,,,hiRloP,hiRloP,HiR,0.04,0.174,-0.689,-0.003,5.234,0.023,,3.695,0.016,81.808,0.354,22.141,88.225,Y,0.928,0.981,2.691,0.131,0.171,30.403,,250,119.64,0.479,130.36,,0.034,386.587,3.335,288.46,0.746,205.401,0.224,2.589,22.093,,231.329,-27.4,-3.233,0.6,48.8,0.024,0.018,1.388,0.056
56,Eriostemon australasius,,,hiRloP,hiRloP,HiR,0.067,0.557,-2.027,-0.017,3.899,0.033,,4.82,0.04,73.107,0.61,15.167,71.837,N,1.318,1.141,3.855,0.158,0.104,18.965,,250,191.685,0.767,58.315,,0.031,370.57,3.685,249.876,0.674,194.761,0.183,3.011,22.073,,119.937,-30.442,-3.326,1.19,48.6,0.01,0.004,1.427,0.012
57,Eriostemon australasius,,,hiRloP,hiRloP,HiR,0.057,0.336,-1.799,-0.011,6.343,0.038,,5.684,0.034,100.916,0.598,17.756,89.821,N,1.371,1.16,2.853,0.209,0.117,35.37,,250,138.142,0.553,111.858,,0.021,387.807,3.192,232.65,0.6,176.361,0.188,2.592,29.15,,168.875,-27.935,-1.267,1.4,50.4,0.011,0.003,2.364,0.018
80,Eriostemon australasius,,,hiRloP,hiRloP,HiR,0.086,0.541,-0.919,-0.006,7.267,0.045,,6.183,0.039,88.748,0.555,14.354,89.22,Y,1.031,0.961,2.69,0.206,,32.996,,250,165.936,0.664,84.064,,0.028,386.473,5.475,187.367,0.485,124.029,0.089,4.991,17.532,,159.835,-28.006,-4.541,,,0.012,,,0.02
63,Grevillea speciosa,,,hiRloP,hiRloP,HiR,0.042,0.316,-1.516,-0.012,3.385,0.026,,4.503,0.034,59.268,0.45,13.162,64.031,N,1.316,1.136,3.388,0.133,0.314,17.494,,250,168.583,0.674,81.417,,0.097,387.547,3.991,346.655,0.894,250.655,0.224,3.097,9.178,,131.575,-30.092,-0.301,0.33,51.8,0.019,0.025,0.434,0.024
64,Grevillea speciosa,,,hiRloP,hiRloP,HiR,0.055,0.433,-1.567,-0.012,5.207,0.041,,4.673,0.036,69.157,0.54,14.8,67.682,Y,1.089,0.952,2.588,0.209,0.286,26.723,,250,156.179,0.625,93.821,,0.04,369.185,5.354,232.574,0.63,136.112,0.118,4.724,15.705,,128.115,-30,-3.117,0.57,49.6,0.007,0.006,0.73,0.009
20,Hakea dactyloides,,,hiRloP,hiRloP,HiR,0.096,0.358,-2.135,-0.008,8.944,0.034,,5.345,0.02,103.943,0.39,19.446,94.155,Y,0.925,0.9,2.331,0.167,0.362,44.592,,250,156.496,0.626,93.504,,0.067,381.987,9.177,245.811,0.644,149.866,0.07,8.534,9.597,,266.825,-29.733,3.119,0.36,53.7,0.023,0.029,0.961,0.062
21,Hakea dactyloides,,,hiRloP,hiRloP,HiR,0.126,0.412,-1.683,-0.006,10.571,0.035,,7.522,0.025,117.579,0.385,15.631,107.671,Y,0.96,0.952,2.413,0.159,0.283,48.721,,250,166.002,0.664,83.998,,0.089,380.41,11.04,254.793,0.67,167.067,0.061,10.37,7.551,,305.658,-29.873,2.374,0.44,54.4,0.015,0.016,1.345,0.047
36,Hakea dactyloides,,,hiRloP,hiRloP,HiR,0.064,0.172,-3.486,-0.009,7.161,0.019,,6.558,0.018,103.19,0.28,15.735,92.83,Y,0.939,0.994,2.362,0.119,0.185,43.68,,250,137.339,0.549,112.661,,0.093,383.687,7.57,302.768,0.789,183.68,0.104,6.781,8.441,,368.56,-30.115,2.459,0.5,52.9,0.015,0.014,1.843,0.056
59,Lambertia formosa,,,hiRloP,hiRloP,HiR,0.054,0.235,-1.189,-0.005,4.966,0.022,,3.647,0.016,54.331,0.237,14.897,57.708,Y,0.971,0.91,2.207,0.107,0.168,24.616,,250,157.832,0.631,92.168,,0.051,385.923,5.54,277.097,0.718,174.275,0.13,4.822,14.143,,229.34,-29.15,1.5,0.5,52.1,0.013,0.012,1.147,0.031
22,Lambertia formosa,,,hiRloP,hiRloP,HiR,0.08,0.349,-0.913,-0.004,8.983,0.039,,5.039,0.022,90.488,0.395,17.957,92.129,Y,0.924,0.853,1.958,0.202,0.321,46.221,,250,137.673,0.551,112.327,,0.085,391.43,9.303,281.861,0.72,165.53,0.077,8.583,8.464,,229.216,-29.5,-3.75,0.49,52.1,0.012,0.011,1.123,0.027
11,Persoonia lanceolata,,,hiRloP,hiRloP,HiR,0.043,0.262,-1.197,-0.007,4.768,0.029,,4.797,0.029,67.593,0.415,14.092,61.381,N,1.205,1.171,2.583,0.161,0.129,26.168,,250,138.425,0.554,111.575,,0.071,371.065,4.563,328.072,0.884,221.281,0.194,3.679,12.496,,162.906,-27.808,3.431,0.97,,0.01,0.005,1.58,0.016
15,Persoonia lanceolata,,,hiRloP,hiRloP,HiR,0.089,0.503,-1.331,-0.008,10.17,0.058,,6.918,0.039,109.589,0.62,15.841,112.273,Y,0.938,0.967,2.041,0.304,0.264,53.69,,250,135.51,0.542,114.49,,0.061,383.73,8.325,246.729,0.643,153.013,0.077,7.682,10.572,,176.631,-29.158,0.493,0.9,50.26,0.066,0.033,1.59,0.117
26,Persoonia lanceolata,,,hiRloP,hiRloP,HiR,0.038,0.198,-1.252,-0.007,3.673,0.019,,4.715,0.025,62.181,0.327,13.188,60.178,N,1.158,1.019,3.185,0.103,0.25,19.524,,250,152.4,0.61,97.6,,0.078,385.807,4.932,322.785,0.837,191.749,0.17,4.095,10.7,,190.232,-28.917,1.6,0.32,53.5,0.022,0.031,0.609,0.041
8,Persoonia levis,,,hiRloP,hiRloP,HiR,0.055,0.322,-1.428,-0.008,5.69,0.033,,5.206,0.03,70.752,0.414,13.591,86.953,N,1.114,1.019,2.365,0.175,0.236,29.921,,250,146.622,0.586,103.378,,0.074,368.255,6.151,285.544,0.775,173.799,0.126,5.375,10.424,,170.909,-30.3,3.2,0.58,50.7,0.025,0.019,0.991,0.043
10,Persoonia levis,,,hiRloP,hiRloP,HiR,0.07,0.369,-1.277,-0.007,6.652,0.035,,6.72,0.036,90.722,0.482,13.499,95.827,N,1.115,1.001,2.766,0.174,0.212,32.805,,250,154.32,0.617,95.68,,0.081,383.95,6.999,297.453,0.775,196.77,0.111,6.225,9.616,,188.375,-29.95,4.238,0.64,51.5,0.024,0.017,1.206,0.046
12,Persoonia levis,,,hiRloP,hiRloP,HiR,0.053,0.302,-1.955,-0.011,5.263,0.03,,5.467,0.031,78.075,0.441,14.281,78.67,Y,1.045,0.973,2.742,0.161,0.22,28.472,,250,151.441,0.606,98.559,,0.093,384.46,6.136,318.079,0.827,203.186,0.135,5.308,8.852,,176.99,-29.53,3.4,0.57,51,0.025,0.02,1.009,0.044
