site,site2,site3,site-original,Rainfall,Nutrients,Nutrients2,Species,site_spp,gymno,GF,N-fixing,TPUarea,TPUmass,Jmax/TPU mass,average ETR,Last point lower ETR,Last/previous (Jmax),Last/previous (ETR),Jmax/Vcmax,Amax/mass,Amax for Ci=250,Amax for Ci=250,Amax/mass,Perimeter (cm),Major Axis Length,Minor Axis Length,Elongation,Roundness,Ci,Cc-modelled,Cc/Ci-modelled,Ci-Cc-modelled,AMAX(CC)-Amax(ci)/amax(cc),LMA,GE-LMA,Thickness,GE-Thickness,dm/fm,GE-dm/fm,Density,GE-Density,Cmass,Nmass,Pmass,Narea,Parea,GE-Narea,GE-Parea,fL,fR,fB,fLRB,P/N,AvGtc,Gtc_mass,PNUE,Ca-Ci,Ca-Cc,CB,dC13,dN15,Aarea,AmassIan,Vcmax,Vcmax/mass,Jmax/area,Jmax/mass,Rdarea,Rdmass,average gm,gm/mass,av-CA,Av-Ci,av Ci/CA,av-Cc,Cc/Ci,Cc/Ca,Ci-Cc,Consensus-LL,LfSize,n(optics),abs400_700,Abs/mass (m2/g),R400-700,PRI,Rred/Rgreen,predicted for LCF,ChlTotarea (micromol m-2),Chl(tot)mass (micromol/g),carot_area,carots_mass,Chla/b,ChlAmass,ChlBmass,ChlAarea,ChlBarea,Carot/Chl,Chl/N (mmol/mol),site_spp
SydhiP,hiRhiP,hiRhiP,hiRhiP,high,high,high,Breynia oblongifolia,hiRhiP_Breynia oblongifolia,N,S,N,,,,,,,,,,,,,9.18,3.63,1.66,2.19,0.66,,,,,,115.9,120.19,0.25,0.29,0.41,0.41,0.46,0.42,50,1.61,0.03,1.87,0.03,1.94,0.04,0.193,,,,0.0083,,,,,,1.79,-32.2,-3.95,,,,,,,,,,,,,,,,,,0.8,4.42,2,0.864,0.0075,0.082,-0.026,0.591,0.91,665.84,5.54,218.55,1.82,2.72,4.05065,1.48934,486.83584,178.99933,0.33,4.82,hiRhiP_Breynia oblongifolia
SydhiP,hiRhiP,hiRhiP,hiRhiP,high,high,high,Eucalyptus umbra,hiRhiP_Eucalyptus umbra,N,T,N,3.55,0.02,23.28,79.43,0.5,0.83,0.83,2.51,0.0256,5.33,10.16,0.0476,29.95,11.18,3.56,3.14,0.39,250,147.25,0.59,102.75,0.44,198.26,186.14,0.41,0.39,0.5,0.5,0.49,0.47,53.6,0.83,0.04,1.6,0.08,1.49,0.07,0.232,0.173,0.044,0.449,0.0219,0.04,0.2,3.62,147.8,247.9,2.25,-31.89,-1.85,5.41,29.1,34.76,0.17,85.39,0.43,1.1,0.01,0.05,0.27,368.11,220.27,0.6,120.17,0.55,0.33,100.1,2.06,25.91,2,0.901,0.0045,0.063,0.006,0.741,0.92,781.71,4.36,217.24,1.27,2.51,3.12053,1.24293,559.03942,222.66967,0.29,7.26,hiRhiP_Eucalyptus umbra
SydhiP,hiRhiP,hiRhiP,hiRhiP,high,high,high,Lambertia formosa,hiRhiP_Lambertia formosa,N,S,N,3.38,0.02,27.63,110.75,1,0.88,0.9,2.51,0.0294,6.15,8.79,0.042,17.23,7.23,0.43,17.15,0.1,250,177.28,0.71,72.72,0.3,209.31,211.07,0.38,0.38,0.57,0.58,0.56,0.55,50.5,0.31,0.02,0.65,0.04,0.65,0.04,0.341,0.445,0.114,0.901,0.0267,0.09,0.41,16.19,121.2,246.5,2.09,-31.7,-2,10.59,50.2,37.28,0.18,93.44,0.44,1.57,0.01,0.08,0.4,383.07,261.88,0.68,136.58,0.52,0.36,125.3,2.48,2.35,3,0.9,0.0043,0.08,-0.043,0.728,0.87,467.5,2.17,304.96,1.41,2.66,1.57435,0.59183,339.76937,127.7273,0.65,9.78,hiRhiP_Lambertia formosa
SydhiP,hiRhiP,hiRhiP,hiRhiP,high,high,high,Macrozamia communis,hiRhiP_Macrozamia communis,Y,S,Y,6.37,0.03,18.58,94.68,0,1.07,1.1,2.79,0.0359,8.13,12.38,0.0547,63.95,28.41,0.87,33.26,0.06,250,165.83,0.66,84.17,0.34,228.37,220.5,0.56,0.58,0.43,0.43,0.41,0.38,51.4,1.43,0.06,3.28,0.15,3.17,0.14,0.121,0.107,0.031,0.258,0.0204,0.03,0.13,1.79,197.8,256.1,2.17,-27.23,-1.73,5.68,25.8,42.39,0.19,118.45,0.54,-1.37,-0.01,0.1,0.45,377,179.19,0.48,120.92,0.67,0.32,58.27,,20.17,3,0.939,0.0041,0.053,0.026,0.786,0.92,827.33,3.73,186.58,0.84,2.33,2.61143,1.11992,579.01545,248.31167,0.23,3.62,hiRhiP_Macrozamia communis
SydhiP,hiRhiP,hiRhiP,hiRhiP,high,high,high,Notelaea longifolia,hiRhiP_Notelaea longifolia,N,T,N,2.38,0.01,15.73,33.77,0,1.12,1.06,2.48,0.0151,2.66,3.92,0.0222,29.45,11.28,3.66,3.12,0.39,250,178.41,0.71,71.59,0.32,176,178.49,0.32,0.33,0.63,0.65,0.55,0.54,51.8,0.69,0.03,1.21,0.05,1.24,0.05,0.149,0.097,0.024,0.271,0.0192,0.03,0.15,2.5,120.8,204,2.21,-33.52,-1.75,3.09,17.3,15.01,0.08,36.98,0.21,1.42,0.01,0.04,0.21,371.32,250.56,0.67,167.34,0.67,0.45,83.22,2,28.74,2,0.899,0.0051,0.066,-0.004,0.746,0.85,407.66,2.3,148.65,0.83,2.9,1.70725,0.58844,303.16711,104.49335,0.36,4.76,hiRhiP_Notelaea longifolia
SydhiP,hiRhiP,hiRhiP,hiRhiP,high,high,high,Syncarpia glomulifera,hiRhiP_Syncarpia glomulifera,N,T,N,6.49,0.04,15.85,93.82,1,0.95,0.94,2.24,0.0628,9.02,13.26,0.0918,18.58,6.89,3.19,2.2,0.56,250,172.78,0.69,77.22,0.31,144.53,147.26,0.27,0.27,0.57,0.58,0.54,0.55,53.6,0.84,0.04,1.19,0.05,1.2,0.05,0.218,0.298,0.069,0.585,0.0191,0.1,0.66,8.39,104.9,191.2,2.11,-30.68,-0.75,10.08,68.4,45.76,0.31,103.05,0.7,1.7,0.01,0.12,0.81,375.89,271.02,0.72,184.73,0.68,0.49,86.29,1.91,15.96,3,0.906,0.0063,0.062,0.009,0.75,0.88,554.58,3.97,147.16,1.05,2.79,2.92411,1.04711,408.35228,146.22955,0.26,6.38,hiRhiP_Syncarpia glomulifera
SydhiP,hiRhiP,hiRhiP,hiRhiP,high,high,high,Synoum glandulosum,hiRhiP_Synoum glandulosum,N,T,N,4.7,0.05,14.31,66.23,0,1.12,1.11,3.05,0.0477,4.32,5.64,0.0622,13.42,5.42,2.07,2.62,0.52,250,194.94,0.78,55.06,0.23,93.94,101.81,0.3,0.32,0.32,0.33,0.31,0.32,48.33,1.41,0.07,1.32,0.06,1.43,0.07,0.174,0.123,0.039,0.335,0.0217,0.05,0.52,3.5,103.1,166.9,2.11,-28.32,-2.3,5,49.1,22.09,0.22,67.24,0.68,1.56,0.01,0.08,0.81,369.1,266,0.72,202.23,0.76,0.55,63.77,0.98,7.39,3,0.928,0.0099,0.06,-0.016,0.697,0.88,522.62,5.33,167.36,1.66,2.65,3.87349,1.4592,379.61612,143.00685,0.31,5.29,hiRhiP_Synoum glandulosum
SydhiP,hiRhiP,hiRhiP,hiRhiP,high,high,high,Xylomelum pyriforme,hiRhiP_Xylomelum pyriforme,N,T,N,4.59,0.03,14.1,63.87,0,1.13,1.06,2.11,0.0371,5.55,8.16,0.0546,30.84,11.39,3.82,2.99,0.39,250,165.76,0.66,84.24,0.33,150.55,146.6,0.32,0.33,0.49,0.48,0.47,0.45,52.9,0.92,0.03,1.37,0.05,1.33,0.05,0.263,0.188,0.041,0.492,0.0184,0.03,0.2,3.76,178.1,257.8,2.07,-31.85,1.02,5.01,34.2,31.44,0.22,64.96,0.45,1.86,0.01,0.07,0.46,369.66,191.51,0.52,111.84,0.58,0.3,79.67,3.43,29.82,4,0.896,0.006,0.061,-0.01,0.685,0.91,724.68,4.94,206.53,1.41,3,3.70497,1.23661,543.3311,181.34792,0.28,8.36,hiRhiP_Xylomelum pyriforme
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Acacia myrtifolia,hiRloP_Acacia myrtifolia,N,S,Y,5.17,0.04,14.37,79.94,1,0.98,0.97,2.24,0.0506,7.35,9.89,0.0681,10.36,3.96,1.37,2.89,0.42,250,184.04,0.74,65.96,0.26,145.16,142.06,0.36,0.38,0.41,0.41,0.41,0.37,53.8,1.66,0.02,2.41,0.02,2.36,0.02,0.146,0.11,0.025,0.282,0.004,0.06,0.42,3.22,125.9,194,2.24,-30.55,-2.24,7.59,53.4,33.23,0.23,74.37,0.52,0.71,0.01,0.11,0.78,367.23,241.28,0.66,173.22,0.72,0.47,68.05,1.5,3.58,3,0.91,0.0063,0.071,0.012,0.736,0.92,774.54,5.45,183.61,1.29,2.89,4.05096,1.40142,575.46468,199.07985,0.24,4.6,hiRloP_Acacia myrtifolia
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Acacia suaveolens,hiRloP_Acacia suaveolens,N,S,Y,7.08,0.04,15.89,87.85,0.5,1.07,1.04,2.6,0.0408,6.78,12.23,0.0736,17.21,7.48,0.49,15.42,0.12,250,147.41,0.59,102.59,0.45,170.85,167.19,0.45,0.44,0.37,0.37,0.38,0.38,53.38,2.11,0.03,3.65,0.05,3.55,0.05,0.098,0.098,0.026,0.222,0.0063,0.04,0.22,1.39,127.4,204.2,2.07,-30.44,-2.8,4.93,29.5,43.1,0.26,112.37,0.68,2.11,0.01,0.07,0.4,378.76,251.4,0.67,174.56,0.67,0.46,76.85,2.45,2.96,2,0.896,0.0052,0.085,-0.012,0.691,0.91,721.16,4.36,275.1,1.65,2.46,3.09691,1.26128,512.45224,208.70667,0.38,2.91,hiRloP_Acacia suaveolens
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Angophora hispida,hiRloP_Angophora hispida,N,T,N,4.5,0.02,17.75,101.32,0.75,0.94,0.99,2.64,0.0284,4.83,8.33,0.0479,20.08,6.89,3.56,1.94,0.57,250,155.16,0.62,94.84,0.42,178.87,183.55,0.39,0.42,0.5,0.51,0.46,0.45,53,0.6,0.04,1.07,0.06,1.1,0.07,0.2,0.224,0.059,0.483,0.028,0.03,0.18,4.1,144.1,226.2,1.98,-27.51,-0.14,4.5,24.5,30.36,0.17,78.17,0.44,2.05,0.01,0.05,0.31,370.14,226.01,0.61,143.95,0.64,0.39,82.06,2.5,18.51,3,0.891,0.005,0.069,0.002,0.727,0.86,435.53,2.52,176.87,0.99,2.79,1.85613,0.66562,320.56863,114.95735,0.39,5.88,hiRloP_Angophora hispida
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Banksia marginata,hiRloP_Banksia marginata,N,S,N,4.27,0.02,16.85,82.72,0.75,0.97,0.97,2.22,0.0242,5.29,9.18,0.0415,13.81,5.67,0.56,10.79,0.17,250,149.67,0.6,100.33,0.43,221.69,225.89,0.39,0.4,0.53,0.54,0.57,0.58,53.19,0.44,0.01,0.98,0.02,1,0.02,0.234,0.254,0.058,0.545,0.0113,0.06,0.25,5.04,114.1,206.6,2.12,-28.91,-0.9,5.04,22.3,32.84,0.14,72.46,0.32,1.51,0.01,0.06,0.25,381.91,267.79,0.7,175.33,0.65,0.46,92.46,3.03,2.55,3,0.927,0.0042,0.051,-0.025,0.763,0.87,496.88,2.19,205.72,0.91,3.05,1.64848,0.54095,374.11233,122.76475,0.42,7.02,hiRloP_Banksia marginata
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Banksia oblongifolia,hiRloP_Banksia oblongifolia,N,S,N,7.69,0.03,17.97,127.28,1,0.94,0.92,2.15,0.0416,10.6,17.15,0.0671,20.6,6.62,2.04,3.29,0.29,250,149.34,0.6,100.66,0.38,258.28,266,0.43,0.44,0.58,0.58,0.61,0.6,51.69,0.75,0.02,1.91,0.06,1.97,0.06,0.167,0.249,0.055,0.471,0.0135,0.07,0.25,4.93,152.2,240.9,2.03,-28.7,1.08,9.73,36.6,62.8,0.24,135.85,0.51,1.96,0.01,0.11,0.42,381.8,229.62,0.6,140.89,0.61,0.37,88.72,2.6,9.46,3,0.92,0.0036,0.057,-0.031,0.698,0.91,668.79,2.51,153.59,0.57,3.13,1.8994,0.60699,506.82195,161.96498,0.23,4.82,hiRloP_Banksia oblongifolia
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Banksia serrata,hiRloP_Banksia serrata,N,T,N,6.7,0.03,17.84,106.69,1,0.89,0.92,2.33,0.0354,8.75,14.59,0.059,35.16,10.77,3.25,3.32,0.25,250,148.99,0.6,101.01,0.4,249.53,257.66,0.5,0.54,0.53,0.53,0.5,0.48,46.17,0.55,0.03,1.37,0.06,1.43,0.06,0.221,0.303,0.075,0.598,0.0219,0.13,0.5,6.48,113.7,223.7,2.07,-29.16,-3.8,9.26,36,51.28,0.2,120.52,0.48,1.48,0.01,0.09,0.35,381.7,268.04,0.7,158.03,0.59,0.41,110.01,2.5,24.36,7,0.905,0.0036,0.078,-0.028,0.717,0.9,652.46,2.49,175.88,0.68,2.97,1.86341,0.62774,488.04468,164.41147,0.27,6.38,hiRloP_Banksia serrata
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Corymbia gummifera,hiRloP_Corymbia gummifera,N,T,N,3.69,0.02,22.14,88.22,1,0.93,0.98,2.69,0.0205,4.58,9.02,0.0403,39.86,13.85,3.38,4.36,0.22,250,134.16,0.54,115.84,0.49,224.03,231.33,0.4,0.43,0.53,0.54,0.55,0.54,48.8,0.6,0.02,1.34,0.05,1.39,0.06,0.208,0.171,0.047,0.427,0.0181,0.03,0.15,2.4,98.1,181.2,2.17,-27.4,-3.23,3.33,14.4,30.4,0.13,81.81,0.35,0.69,0,0.04,0.17,386.59,288.46,0.75,205.4,0.71,0.53,83.06,2,28.35,4,0.889,0.004,0.062,-0.031,0.765,0.9,626.91,2.71,268.9,1.16,2.75,1.98676,0.7233,459.59433,167.31934,0.43,6.32,hiRloP_Corymbia gummifera
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Eriostemon australasius,hiRloP_Eriostemon australasius,N,S,N,5.56,0.04,15.76,83.63,0.33,1.14,1.09,2.84,0.0362,5.34,8.18,0.0551,9.09,3.78,0.58,6.58,0.25,250,172.64,0.69,77.36,0.33,145.42,149.55,0.56,0.57,0.3,0.3,0.27,0.27,49.5,1.3,0.01,1.82,0.02,1.9,0.02,0.121,0.126,0.038,0.285,0.0037,0.03,0.18,2.17,158.3,216.6,2.16,-28.79,-3.04,4.12,27.5,31.01,0.21,87.59,0.59,1.58,0.01,0.07,0.48,381.62,223.3,0.59,165.05,0.73,0.43,58.25,1.01,1.68,3,0.904,0.0062,0.083,-0.03,0.705,0.87,497.33,3.38,215.97,1.47,2.62,2.44186,0.93349,359.78638,137.54099,0.43,3.52,hiRloP_Eriostemon australasius
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Grevillea speciosa,hiRloP_Grevillea speciosa,N,S,N,4.59,0.04,13.98,65.86,0.5,1.2,1.04,2.99,0.0297,3.92,6.04,0.0459,6.73,2.83,0.61,4.75,0.36,250,170.08,0.68,79.92,0.35,131.88,129.85,0.26,0.27,0.52,0.51,0.51,0.48,50.7,0.45,0.01,0.59,0.02,0.58,0.02,0.328,0.3,0.093,0.721,0.0155,0.07,0.53,8.03,88.8,185,1.98,-30.05,-1.71,4.67,36,22.11,0.17,64.21,0.5,1.54,0.01,0.05,0.37,378.37,289.61,0.76,193.38,0.65,0.51,96.23,1.56,1.38,1,0.918,0.007,0.068,-0.01,0.673,0.84,379.16,2.94,183.79,1.42,2.96,2.1947,0.74194,283.36459,95.7949,0.49,9.65,hiRloP_Grevillea speciosa
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Hakea dactyloides,hiRloP_Hakea dactyloides,N,S,N,6.48,0.02,16.94,98.22,1,0.94,0.95,2.37,0.0266,8.08,12.85,0.042,23.51,9.7,2.18,4.47,0.31,250,162.5,0.65,87.5,0.38,313.4,313.68,0.61,0.62,0.58,0.59,0.52,0.5,53.67,0.43,0.02,1.38,0.05,1.38,0.05,0.196,0.277,0.067,0.54,0.0195,0.08,0.26,6.7,114.2,218.4,2.04,-29.91,2.65,9.26,29.5,45.66,0.15,108.24,0.35,2.43,0.01,0.09,0.3,382.03,267.79,0.7,163.62,0.61,0.43,104.17,4.4,13.49,3,0.899,0.0029,0.084,-0.014,0.773,0.88,551.24,1.73,260.05,0.82,3.22,1.32304,0.41076,420.644,130.59757,0.47,5.61,hiRloP_Hakea dactyloides
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Lambertia formosa,hiRloP_Lambertia formosa,N,S,N,4.34,0.02,16.43,74.92,1,0.95,0.88,2.08,0.0287,6.3,9.7,0.0441,9.32,3.98,0.59,6.83,0.25,250,157.57,0.63,92.43,0.35,221.71,229.28,0.4,0.42,0.55,0.56,0.56,0.54,52.1,0.5,0.01,1.1,0.03,1.13,0.03,0.233,0.244,0.051,0.528,0.0114,0.07,0.3,6.54,109.2,218.8,2.12,-29.33,-1.13,7.42,32.4,35.42,0.15,72.41,0.32,1.05,0,0.07,0.29,388.68,279.48,0.72,169.9,0.61,0.44,109.58,2.48,1.76,3,0.9,0.0041,0.08,-0.043,0.728,0.89,560.08,2.5,251.82,1.11,2.73,1.83233,0.67122,409.92129,150.16187,0.45,7.09,hiRloP_Lambertia formosa
