Species,Year,Month,Chamber,Season,Rep,Duration,Psi_initial_Mpa,Psi_final_Mpa,Psi_average_Mpa,Initial Leaf mass_g,Final leaf mass_g,change_leaf_mass_g,change_umol{H20},LA_m2,FWU_mol H2O/m^2,Ksurf.avg_Psi_umol H2O/m^2/s/Mpa,Cleaf_mol H2O/ m^2/Mpa,Ksurf.LN_umol H2O m-2 s-1 MPa-1,change_psi_Mpa,experiment
Sonneratia alba,2019,April,3,,3,6,-3.94,-3.38,-3.66,0.973,1.038,0.065,3633.131,0.003,1.326,-16.761,2.355,16.794,,Dehydration treatments
Sonneratia alba,2019,April,3,,3,8,-3.94,-3.24,-3.59,0.990,1.178,0.189,10482.751,0.002,4.229,-40.911,5.965,41.045,,Dehydration treatments
Sonneratia alba,2019,April,3,,4,2,-3.58,-3.06,-3.32,0.890,0.901,0.011,633.298,0.002,0.263,-11.011,0.513,11.033,,Dehydration treatments
Sonneratia alba,2019,April,3,,4,4,-3.58,-3.50,-3.54,0.711,0.736,0.026,1438.809,0.002,0.839,-16.474,10.760,16.475,,Dehydration treatments
Sonneratia alba,2019,April,3,,4,6,-3.58,-3.30,-3.44,0.895,1.030,0.135,7516.249,0.002,3.469,-46.692,12.619,46.717,,Dehydration treatments
Sonneratia alba,2019,April,3,,4,8,-3.58,-3.48,-3.53,0.968,1.038,0.070,3877.562,0.002,1.652,-16.250,17.574,16.251,,Dehydration treatments
Sonneratia alba,2019,April,3,,5,2,-3.87,-3.47,-3.67,0.822,0.829,0.007,394.423,0.002,0.186,-7.017,0.460,7.024,,Dehydration treatments
Sonneratia alba,2019,April,3,,5,4,-3.87,-3.80,-3.84,0.847,0.866,0.019,1077.718,0.002,0.494,-8.933,6.580,8.934,,Dehydration treatments
Sonneratia alba,2019,April,3,,5,6,-3.87,-3.96,-3.92,1.215,1.360,0.145,8027.332,0.003,2.711,-32.050,-31.898,32.051,,Dehydration treatments
Sonneratia alba,2019,April,3,,5,8,-3.87,-3.59,-3.73,0.655,0.768,0.113,6266.319,0.002,3.923,-36.498,13.813,36.515,,Dehydration treatments
Sonneratia alba,2017,Dec,,Wet,1,1,-2.90,-2.96,-2.93,1.143,1.131,-0.012,-666.63,0.0019727,-0.338,32.075,5.54,-32.08,-0.061,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,1,2,-2.90,-2.83,-2.87,0.977,0.976,-0.001,-55.55,0.0017677,-0.031,1.523,-0.51,-1.52,0.062,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,1,3,-2.90,-2.46,-2.68,0.973,0.981,0.008,444.42,0.0017539,0.253,-8.768,0.58,8.79,0.44,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,1,4,-2.90,-2.55,-2.72,1.471,1.489,0.018,999.94,0.0022771,0.439,-11.207,1.25,11.22,0.35,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,1,6,-2.90,-2.46,-2.68,1.299,1.329,0.03,1666.57,0.0021796,0.765,-13.221,1.75,13.25,0.437,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,1,8,-2.90,-2.54,-2.72,1.036,1.065,0.029,1611.02,0.0018418,0.875,-11.168,2.48,11.18,0.353,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,1,10,-2.90,-1.71,-2.30,1.252,1.34,0.088,4888.62,0.0021777,2.245,-27.106,1.88,27.74,1.191,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,1,12,-2.90,-1.12,-2.01,1.1,1.169,0.069,3833.12,0.0018607,2.060,-23.754,1.16,25.52,1.777,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,1,-2.93,-2.92,-2.93,0.851,0.848,-0.003,-166.66,0.0013863,-0.120,11.415,-24.04,-11.41,0.005,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,2,-2.93,-2.73,-2.83,0.86,0.862,0.002,111.10,0.0014678,0.076,-3.719,0.37,3.72,0.202,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,3,-2.93,-2.59,-2.76,0.759,0.769,0.01,555.52,0.0012218,0.455,-15.259,1.35,15.28,0.338,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,3.5,-2.93,-2.08,-2.50,1.505,1.537,0.032,1777.68,0.0024841,0.716,-22.682,0.84,22.90,0.848,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,4,-2.93,-2.69,-2.81,0.949,0.958,0.009,499.97,0.0013564,0.369,-9.116,1.54,9.12,0.24,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,6,-2.93,-1.96,-2.44,0.83,0.883,0.053,2944.28,0.001558,1.890,-35.812,1.95,36.29,0.97,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,8,-2.93,-2.22,-2.58,2.161,2.232,0.071,3944.23,0.0031466,1.253,-16.902,1.78,17.01,0.706,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,10,-2.93,-1.06,-1.99,1.656,1.762,0.106,5888.56,0.0024334,2.420,-33.719,1.29,36.58,1.869,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,2,12,-2.93,-1.00,-1.96,1.159,1.242,0.083,4610.85,0.0017035,2.707,-31.918,1.40,34.94,1.93,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,3,1,-2.92,-2.83,-2.87,1.201,1.189,-0.012,-666.63,0.0016385,-0.407,39.344,-4.79,-39.35,0.085,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,3,2,-2.92,-2.85,-2.88,0.946,0.943,-0.003,-166.66,0.0014838,-0.112,5.417,-1.60,-5.42,0.07,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,3,3,-2.92,-2.80,-2.86,1.631,1.639,0.008,444.42,0.0023548,0.189,-6.115,1.64,6.12,0.115,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,3,4,-2.92,-2.30,-2.61,0.787,0.802,0.015,833.29,0.001197,0.696,-18.540,1.13,18.63,0.615,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,3,6,-2.92,-2.52,-2.72,1.132,1.151,0.019,1055.50,0.0015818,0.667,-11.372,1.68,11.39,0.397,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,3,8,-2.92,-1.68,-2.30,1.016,1.061,0.045,2499.86,0.0014391,1.737,-26.253,1.41,26.91,1.235,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,3,10,-2.92,-1.51,-2.21,1.185,1.231,0.046,2555.41,0.0015811,1.616,-20.296,1.15,21.02,1.406,Seasonal comparison
Sonneratia alba,2017,Dec,,Wet,3,12,-2.92,-1.13,-2.02,0.989,1.059,0.07,3888.67,0.0017003,2.287,-26.182,1.28,28.12,1.786,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,1,-3.18,-3.18,-3.18,1.987,1.983,-0.004,-222.21,0.0040823,-0.054,4.755,9.07,-4.75,-0.006,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,2,-3.18,-3.08,-3.13,1.18,1.181,0.001,55.55,0.0025254,0.022,-0.976,0.23,0.98,0.096,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,3,-3.18,-2.85,-3.01,1.029,1.038,0.009,499.97,0.0023287,0.215,-6.598,0.65,6.60,0.328,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,4,-3.18,-2.93,-3.05,1.013,1.02,0.007,388.87,0.0023658,0.164,-3.739,0.66,3.74,0.249,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,5,-3.18,-2.70,-2.94,1.346,1.36,0.014,777.73,0.0033167,0.234,-4.433,0.49,4.44,0.477,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,6,-3.18,-2.54,-2.86,1.282,1.301,0.019,1055.50,0.0027943,0.378,-6.117,0.59,6.14,0.636,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,8,-3.18,-2.44,-2.81,1.725,1.758,0.033,1833.23,0.0043128,0.425,-5.260,0.57,5.29,0.742,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,10,-3.18,-2.18,-2.68,1.554,1.594,0.04,2222.10,0.0037334,0.595,-6.174,0.60,6.25,0.998,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,1,12,-3.18,-2.04,-2.61,0.788,0.811,0.023,1277.71,0.001936,0.660,-5.857,0.58,5.95,1.137,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,2,1,-3.08,-3.29,-3.19,0.956,0.954,-0.002,-111.10,0.0023231,-0.048,4.167,0.23,-4.17,-0.21,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,2,2,-3.08,-3.19,-3.14,0.742,0.741,-0.001,-55.55,0.0017726,-0.031,1.387,0.29,-1.39,-0.109,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,2,3,-3.08,-3.06,-3.07,1.064,1.068,0.004,222.21,0.002352,0.094,-2.846,4.97,2.85,0.019,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,2,4,-3.08,-2.75,-2.92,0.942,0.956,0.014,777.73,0.0020521,0.379,-9.020,1.15,9.03,0.33,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,2,6,-3.08,-2.79,-2.94,1.753,1.773,0.02,1111.05,0.003193,0.348,-5.487,1.18,5.49,0.294,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,2,10,-3.08,-2.21,-2.65,1.063,1.095,0.032,1777.68,0.0026659,0.667,-6.998,0.76,7.06,0.872,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,2,12,-3.08,-1.75,-2.42,0.934,0.982,0.048,2666.52,0.0020082,1.328,-12.722,1.00,13.06,1.334,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,1,-3.42,-3.21,-3.32,1.649,1.644,-0.005,-277.76,0.0032073,-0.087,7.254,-0.40,-7.26,0.2165,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,2,-3.42,-3.21,-3.32,1.553,1.549,-0.004,-222.21,0.0031888,-0.070,2.919,-0.32,-2.92,0.2175,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,3,-3.42,-3.20,-3.31,1.285,1.293,0.008,444.42,0.0024765,0.179,-5.016,0.80,5.02,0.2235,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,4,-3.42,-3.21,-3.31,0.825,0.835,0.01,555.52,0.0016097,0.345,-7.230,1.57,7.23,0.2195,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,5,-3.42,-3.09,-3.26,1.228,1.244,0.016,888.84,0.0024305,0.366,-6.238,1.09,6.24,0.3355,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,6,-3.42,-3.10,-3.26,2.803,2.829,0.026,1444.36,0.0052666,0.274,-3.890,0.86,3.89,0.3205,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,7,-3.42,-3.07,-3.24,1.19,1.205,0.015,833.29,0.0027028,0.308,-3.770,0.86,3.77,0.3595,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,8,-3.42,-2.75,-3.09,1.093,1.128,0.035,1944.34,0.002283,0.852,-9.583,1.26,9.62,0.6775,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,9,-3.42,-2.77,-3.10,1.969,2.025,0.056,3110.94,0.0038177,0.815,-8.125,1.24,8.16,0.6585,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,10,-3.42,-2.92,-3.17,1.452,1.491,0.039,2166.55,0.0033708,0.643,-5.631,1.27,5.64,0.5075,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,11,-3.42,-2.16,-2.79,2.163,2.264,0.101,5610.80,0.0042459,1.321,-11.953,1.04,12.16,1.2655,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,3,12,-3.42,-2.20,-2.81,1.35,1.399,0.049,2722.07,0.0027945,0.974,-8.021,0.79,8.15,1.2265,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,4,1,-3.27,-3.37,-3.32,1.15,1.148,-0.002,-111.10,0.0029681,-0.037,3.132,0.39,-3.13,-0.0955,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,4,2,-3.27,-3.30,-3.29,2.291,2.294,0.003,166.66,0.0048191,0.035,-1.462,-1.31,1.46,-0.0265,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,4,4,-3.27,-3.08,-3.17,0.979,0.985,0.006,333.31,0.0024645,0.135,-2.959,0.69,2.96,0.1965,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,4,6,-3.27,-2.97,-3.12,0.84,0.852,0.012,666.63,0.0019766,0.337,-5.002,1.11,5.01,0.3025,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,4,8,-3.27,-2.89,-3.08,1.116,1.132,0.016,888.84,0.0023592,0.377,-4.248,0.98,4.25,0.3855,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,4,10,-3.27,-2.66,-2.97,1.617,1.654,0.037,2055.44,0.0033958,0.605,-5.665,0.99,5.69,0.6095,Seasonal comparison
Sonneratia alba,2018,Aug,,Dry,4,12,-3.27,-2.10,-2.69,1.711,1.771,0.06,3333.15,0.0034411,0.969,-8.342,0.83,8.48,1.1695,Seasonal comparison
