Original Taxonomic Concept,Species,Family,locality,life_history,"Height range at maturity (cm), Minimum",plant_height_maximum,"Diameter of crown (cm), 0–5","Diameter of crown (cm), 5–20","Diameter of crown (cm), 20–50","Diameter of crown (cm), 50–100","Diameter of crown (cm), 100–200","Diameter of crown (cm), >200","Canopy density, Dense","Canopy density, Intermediate","Canopy density, Sparse","Canopy density, None","Canopy elevation (cm), 0–20","Canopy elevation (cm), 20–50","Canopy elevation (cm), 50–100","Canopy elevation (cm), >100","Above-ground stem/stalk, None","Above-ground stem/stalk, Single","Above-ground stem/stalk, Multiple",stem_growth_habit,plant_climbing_mechanism,woodiness_detailed,plant_succulence,photosynthetic Flower stalk,plant_photosynthetic_organ,leaf_lamina_posture,leaf xs Terete,leaf xs Triangular,leaf xs Rectangular,leaf_compoundness,"Linear like (Tubular, Needle-like, Filiform, Linear)",Elliptical & Lanceolate,Orbicular,leaf_margin,leaf_lobation,leaf_margin_posture,leaf_hairs_adult_leaves,leaf_glaucousness_adaxial,leaf_glaucousness_abaxial,"Part protected by spines, None","Part protected by spines, Leaf","Part protected by spines, Stem","Part protected by spines, Branch","Part protected by spines, Fruit",plant_physical_defence_structures,"Root morphology, Bulb","Root morphology, Stilt",nitrogen_fixing,plant_alternative_energy_and_nutrient_acquisition_strategy,parasitic,flowering_time,fruit_fleshiness,resprouting_capacity,mycorrhizal_associations,photosynthetic_pathway,Microbial association
,Acacia dilatata,Fabaceae,Eneabba & Cooljarloo,perennial,30,70,,,1,1,,,1,1,,,1,1,1,,,,1,prostrate,,woody,,,phyllode,flat,,,,simple,,,1,entire,,undulate,glabrous hairy,not_glaucousred_brown,not_glaucousred_brown,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia drewiana subsp. drewiana,Fabaceae,Eneabba,perennial,15,90,,,1,1,1,,1,1,,,1,1,1,,,1,,prostrate,,woody,,,leaf,conduplicate,,,,compound,1,1,,entire,,,glabrous hairy,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NYYYYYYNNNNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia extensa,Fabaceae,Cooljarloo,perennial,50,300,,,1,1,1,,,,1,,,1,1,1,,1,,erect,,woody,,,phyllode,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia fagonioides,Fabaceae,Eneabba,perennial,20,100,,1,1,,,,1,,,,1,1,1,,,1,,erect,,woody,,,leaf,flat,,,,compound,,1,,entire,,,glabrous hairy,glaucous,glaucous,,spine,,thorn,,spine thorn,,,nitrogen_fixer,,not_parasitic,NNNNYYYNNNNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia huegelii,Fabaceae,Cooljarloo,perennial,30,40,,,1,1,,,1,1,,,1,1,,,,,1,erect prostrate,,woody,,,phyllode,flat,,,,simple,,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia lasiocarpa var. bracteolata,Fabaceae,Cooljarloo,perennial,20,60,,,1,1,,,1,,,,1,1,1,,,1,,erect prostrate,,woody,,,leaf,conduplicate,,,,compound,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,,spine,,thorn,,spine thorn,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia lasiocarpa var. lasiocarpa,Fabaceae,Eneabba & Cooljarloo,perennial,30,150,,,1,1,1,,1,1,,,,1,1,1,,1,,erect,,woody,,,leaf,conduplicate,,,,compound,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,spine,,thorn,,absent spine thorn,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia lasiocarpa var. sedifolia,Fabaceae,Eneabba,perennial,20,100,,,1,1,1,,1,,,,1,1,1,,,1,,prostrate,,woody,,,leaf,conduplicate,,,,compound,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,spine,,thorn,,absent spine thorn,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia latipes subsp. latipes,Fabaceae,Eneabba,perennial,30,200,,,1,1,1,,1,1,,,,1,1,1,,1,,erect prostrate,,woody,,,phyllode,flat conduplicate,,,,simple,1,1,,entire,,,glabrous hairy,glaucous,glaucous,,spine,,thorn,,spine thorn,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia microbotrya,Fabaceae,Eneabba,perennial,300,1000,,,,,1,1,,1,,,,,,1,,,1,erect,,woody,,,phyllode,flat,,,,simple,,1,,entire,,,glabrous,not_glaucousglaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NYYYYYYNNNNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia moirii subsp. recurvistipula,Fabaceae,Eneabba,perennial,10,60,,1,1,,,,,,1,,1,1,1,,,,1,erect,,woody,,,leaf,flat,,,,compound,1,1,,entire,,,glabrous hairy,glaucous,glaucous,,,,thorn,,thorn,,,nitrogen_fixer,,not_parasitic,NYYYYYYNNNNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia multispicata,Fabaceae,Eneabba,perennial,40,250,,,,1,1,1,1,1,,,,,1,1,,,1,erect prostrate,,woody,,,phyllode,flat,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NYYYYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia pulchella var. glaberrima,Fabaceae,Eneabba & Cooljarloo,perennial,50,300,,,1,1,1,,,1,,,,1,1,1,,1,,erect prostrate,,woody,,,leaf,flat,,,,compound,1,1,,entire,,,glabrous,not_glaucousglaucous,not_glaucousglaucous,,spine,,thorn,,spine thorn,,,nitrogen_fixer,,not_parasitic,NYYYYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia pulchella var. pulchella,Fabaceae,Eneabba & Cooljarloo,perennial,15,150,,1,1,1,,,,1,,,1,1,1,1,,1,,erect prostrate,,woody,,,leaf,flat,,,,compound,1,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,,spine,,thorn,,spine thorn,,,nitrogen_fixer,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Acacia pulchella var. reflexa,Fabaceae,Eneabba & Cooljarloo,perennial,40,100,,,1,1,,,,1,,,1,1,1,,,1,,erect,,woody,,,leaf,flat,,,,compound,1,1,,entire,,,hairy,not_glaucousglaucous,not_glaucousglaucous,absent,spine,,thorn,,absent spine thorn,,,nitrogen_fixer,,not_parasitic,NNNNYYYNNNNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia rostellifera,Fabaceae,Eneabba,perennial,100,600,,,,1,1,1,1,,,,,,1,1,,1,,erect,,woody,,,phyllode,flat,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
Acacia saligna subsp. lindleyi,Acacia saligna subsp. Wheatbelt (B.R. Maslin 8602),Fabaceae,Eneabba & Cooljarloo,perennial,100,1000,,,,1,1,1,1,,,,,,,1,,1,,erect,,woody,,,phyllode,flat,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia scirpifolia,Fabaceae,Eneabba,perennial,200,400,,,,,1,1,1,,,,,,1,1,,1,,erect,,woody,,,phyllode,flat,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia sessilis,Fabaceae,Eneabba & Cooljarloo,perennial,30,150,,,1,1,1,,1,1,,,1,1,1,1,,1,,erect prostrate,,woody,,,phyllode,flat,1,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,,spine,,thorn,,spine thorn,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia spathulifolia,Fabaceae,Eneabba & Cooljarloo,perennial,50,300,,,,1,1,1,1,,,,,1,1,1,,1,,prostrate,,woody,,,phyllode,flat conduplicate,,,,simple,1,1,,entire,,,glabrous,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia sphacelata subsp. verticillata,Fabaceae,Cooljarloo,perennial,20,120,,1,1,1,1,,,1,,,1,1,1,1,,1,,prostrate,,woody,,,phyllode,,1,,1,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,,spine,,thorn,,spine thorn,,,nitrogen_fixer,,not_parasitic,NNNNYYYNNNNN,dry,,arbuscular_mycorrhizal,C3,
,Acacia stenoptera,Fabaceae,Eneabba & Cooljarloo,perennial,20,150,,1,1,1,1,,,1,,,1,1,1,1,,1,,erect prostrate,,woody,,,phyllode,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,,spine,,thorn,,spine thorn,,,nitrogen_fixer,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Acacia truncata,Fabaceae,Cooljarloo,perennial,50,230,,,1,1,1,,1,,,,1,1,1,1,,1,,erect,,woody,,,phyllode,flat,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acacia willdenowiana,Fabaceae,Eneabba,perennial,30,100,,1,1,1,,,,1,,,1,1,1,,,1,,erect prostrate,,woody,,,phyllode,flat,,,,simple,1,,,entire,,,glabrous hairy,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NYYYYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Acanthocarpus canaliculatus,Asparagaceae,Eneabba & Cooljarloo,perennial,20,60,1,1,1,1,,,1,1,,,1,,,,,1,1,erect,,woody_base,,,leaf,flat,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acanthocarpus preissii,Asparagaceae,Eneabba,perennial,20,70,1,1,1,1,,,1,,,,1,,,,,1,1,erect,,woody_base,,,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYNNNNNNNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Acanthocarpus sp. Ajana (C.A. Gardner 8596),Asparagaceae,Eneabba,perennial,20,50,1,1,1,,,,,1,,,1,,,,,1,1,erect decumbent,,woody_base,,,leaf,flat,,,,simple,1,,,toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYNNNNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Actinotus leucocephalus,Apiaceae,Eneabba & Cooljarloo,,5,45,1,1,,,,,,,1,,1,1,,,,1,,erect,,herbaceous,,1,leaf,flat,,,,compound,1,1,,,lobed_deep lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Adenanthos cygnorum subsp. cygnorum,Proteaceae,Eneabba & Cooljarloo,perennial,80,400,,,,1,1,1,,1,,,,,1,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNYYYYYYYY,dry,resprouts,,C3,1
,Adenanthos drummondii,Proteaceae,Eneabba,perennial,20,100,,,1,1,1,,,1,,,,1,1,,,1,1,prostrate,,woody,,,leaf,,1,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Aira caryophyllea subsp. caryophyllea,Poaceae,Eneabba & Cooljarloo,,5,40,,1,,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Aira cupaniana,Poaceae,Cooljarloo,,5,45,,1,,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Alexgeorgea nitens,Restionaceae,Eneabba & Cooljarloo,perennial,10,20,1,1,1,1,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYNNNNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Alexgeorgea subterranea,Restionaceae,Eneabba & Cooljarloo,perennial,10,15,1,1,1,1,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Allocasuarina campestris,Casuarinaceae,Eneabba,perennial,100,300,1,1,1,1,1,1,1,,,,,1,,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Allocasuarina fraseriana,Casuarinaceae,Eneabba,perennial,500,1500,1,1,1,1,1,1,1,,,,,,,1,,1,,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Allocasuarina grevilleoides,Casuarinaceae,Cooljarloo,perennial,15,30,1,1,1,1,,,,1,,,,1,,,,,1,erect,,woody,,,leaf cladode,,,,1,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,1,,nitrogen_fixer,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Allocasuarina huegeliana,Casuarinaceae,Eneabba,perennial,400,1000,1,1,1,1,1,1,1,,,,,,,1,,1,,erect decumbent,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,nutrient_mining,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Allocasuarina humilis,Casuarinaceae,Eneabba & Cooljarloo,perennial,20,200,1,1,1,1,1,,1,,,,1,,,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Allocasuarina lehmanniana subsp. lehmanniana,Casuarinaceae,Eneabba & Cooljarloo,perennial,100,400,1,1,1,1,1,,1,,,,1,,,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,nutrient_mining,not_parasitic,YYYYYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Allocasuarina microstachya,Casuarinaceae,Eneabba & Cooljarloo,perennial,10,100,1,1,1,1,1,,1,,,,1,,,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,nutrient_mining,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Allocasuarina ramosissima,Casuarinaceae,Eneabba,perennial,30,120,1,1,1,1,1,,1,,,,,1,,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Allocasuarina thuyoides,Casuarinaceae,Cooljarloo,perennial,30,200,1,1,1,1,1,1,1,,,,,1,,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,nutrient_mining,not_parasitic,YYYYYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Amphipogon caricinus var. caricinus,Poaceae,Eneabba & Cooljarloo,perennial,18,60,,,1,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Amphipogon debilis,Poaceae,Eneabba & Cooljarloo,perennial,15,40,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Amphipogon turbinatus,Poaceae,Eneabba & Cooljarloo,perennial,10,66,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Amyema miquelii,Loranthaceae,Eneabba,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,erect climbing,twining,woody_base,succulent,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,stem_parasitic,YNNNNNNYYYYY,fleshy,resprouts,,C3,1
,Amyema preissii,Loranthaceae,Eneabba,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,erect climbing,twining,woody_base,succulent,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,stem_parasitic,YYYYYYYYYYYY,fleshy,resprouts,,C3,1
,Anarthria gracilis,Anarthriaceae,Cooljarloo,perennial,20,80,1,1,1,1,,,1,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Anarthria humilis,Anarthriaceae,Eneabba & Cooljarloo,perennial,10,30,1,1,1,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Anarthria laevis,Anarthriaceae,Eneabba & Cooljarloo,perennial,25,70,1,1,1,1,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YYYYYYYYYYYY,dry,resprouts,,C3,1
,Anarthria polyphylla,Anarthriaceae,Eneabba,perennial,5,20,1,1,1,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,1,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Andersonia gracilis,Ericaceae,Cooljarloo,perennial,10,50,1,1,1,1,,,,1,1,,1,,,,,,1,erect decumbent,,woody,,,leaf,,,1,,simple,,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,ericoid_mycorrhizal,C3,
,Andersonia heterophylla,Ericaceae,Eneabba & Cooljarloo,perennial,10,50,1,1,1,1,,,,1,1,,1,1,,,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,ericoid_mycorrhizal,C3,
,Andersonia lehmanniana subsp. lehmanniana,Ericaceae,Eneabba & Cooljarloo,perennial,15,60,1,1,1,1,,,,1,1,,1,,,,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYNNNNN,dry,,ericoid_mycorrhizal,C3,
,Androcalva pulchella,Malvaceae,Eneabba,perennial,20,100,,,1,1,,,,1,,,1,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire toothed,,undulate,hairy,not_glaucousglaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Angianthus micropodioides,Asteraceae,Cooljarloo,,3,15,1,1,,,,,,,1,,1,,,,,1,1,erect decumbent,,herbaceous,,1,leaf,flat,,,,simple,1,1,,entire,,,glabrous hairy,glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
