Accepted taxon name in Plant List www.theplantlist.org,growth habit,growth habit source,climbing type,climbing type source,dispersal appendage/syndrome,dispersal source ,SLA (mm2/mg),SLA source,leaf size (cm2),leaf size source,seed mass (mg) ,seed mass source,,,,,,,,
Adenia mcdadiana,woody,23,tendrils,9,,,,,122.50,23,,,,,,,,,,
Adenia metamorpha,herbaceous,23,tendrils,9,,,,,30.80,23,37.50,100,,,,,,,,
Adenia rumicifolia,,,tendrils,9,,,,,,,22.85,53,,,,,,,,
Adenocalymma allamandiflorum,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma bracteatum,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma bracteolatum,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma bracteosum,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma dusenii,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma magnificum,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma marginatum,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma neoflavidum,,,,,wind,"53,57",,,,,,,,,,,,,,
Adenocalymma paulistarum,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma pranceii,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma purpurascens,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma schomburgkii ,,,,,wind,87,,,,,,,,,,,,,,
Adenocalymma tanaeciicarpum,,,,,wind,87,9.090909091,57,,,,,,,,,,,,
Aegiphila cephalophora,woody,5,twiner,5,fleshy,43,,,45.13,"5,9",18.64,100,,,,,,,,
Aegiphila elata,woody,5,twiner,5,fleshy,5,,,75.73,"3,7",60.00,53,,,,,,,,
Aegiphila microcralyna,,,,,,,,,,,,,,,,,,,,
Aegiphila peruviana,,,,,fleshy,68,,,,,,,,,,,,,,
Aegiphila racemosa,,,scrambler,62,drupe,62,,,,,,,,,,,,,,
Aegiphila smithii,,25,scrambler,25,,,,,64.84,25,,,,,,,,,,
Aenigmatanthera lasiandra,,,,,,,,,,,,,,,,,,,,
Aganope heptaphylla,woody,25,twiner,25,water,57,,,,,,,,,,,,,,
Aganope thyrsiflora,,,,,,,,,,,,,,,,,,,,
Aganosma cymosa,,,twiner,"75,76",wind,"75,76",,,58.80,9,123.81,100,,,,,,,,
Aganosma heynei,,,,,,,,,,,,,,,,,,,,
Aganosma schlechteriana,,,,,,,,,,,,,,,,,,,,
Agelaea borneensis,,,,,aril,20,,,,,,,,,,,,,,
Agelaea paradoxa,,,,,aril,20,,,,,,,,,,,,,,
Agelaea pentagyna,,,twiner,20,aril,20,,,,,500.00,53,,,,,,,,
Agelaea trinervis,,,,,aril,9,,,16.54,9,,,,,,,,,,
Akebia trifoliata,woody,,twiner,10,animal,78,,,14.44,"9,10",42.30,53,,,,,,,,
Alafia barteri,woody,36,twiner,36,plume,36,,,30.49,36,,,,,,,,,,
Alafia microstylis,woody,20,twiner,83,plume ,25,,,12.60,20,,,,,,,,,,
Alafia multiflora,woody,,twiner,36,plume,36,,,63.70,36,69.65,100,,,,,,,,
Alchornea scandens,woody,28,twiner,28,berry,28,5.652291001,57,26.44,"15,30,57",,,,,,,,,,
Alicia anisopetala,,,,,,,,,,,,,,,,,,,,
Alicia macrodisca,,,,,,,,,,,,,,,,,,,,
Allamanda cathartica,woody,5,scrambler,"9,12",wing,5,,,51.71,"1,3,7",,,,,,,,,,
Allophylus serratus,,,,,,,,,,,,,,,,,,,,
Aloysia virgata,,,scrambler,25,,,,,,,,,,,,,,,,
Alstroemeria cunha,,,,,,,,,,,,,,,,,,,,
Alternanthera ficoidea,herbaceous,5,scrambler,5,,,,,12.60,5,0.83,100,,,,,,,,
Alyxia grandis,woody,27,twiner,58,berry,63,,,13.96,27,,,,,,,,,,
Alyxia reinwardtii,herbaceous,81,scrambler,81,berry,63,,,13.30,9,66.03,100,,,,,,,,
Alyxia spicata,woody,58,twiner,58,berry,27,,,10.88,"27,81",114.77,100,,,,,,,,
Ampelocissus abyssinica,,,tendrils,72,berry,72,,,,,,,,,,,,,,
Ampelocissus bombycina,,,,,fleshy,86,,,,,,,,,,,,,,
Amphilophium crucigerum,woody,1,tendrils,1,wind,"53,57",14.712208,57,52.99,"1,2,3,57",57.00,53,,,,,,,,
Amphilophium elongatum,,,,,wind,"53,57",,,,,,,,,,,,,,
Amphilophium granulosum,,,,,wind,87,,,,,,,,,,,,,,
Amphilophium magnoliifolium ,,,,,wind,87,,,,,,,,,,,,,,
Amphilophium paniculatum,woody,5,twiner,5,wing,"5,57",13.445093,57,38.19,"2,3,5,57",,,,,,,,,,
Amphilophium sandwithii,,,,,wind,87,,,,,,,,,,,,,,
Amydrium medium,,,,,,,,,,,,,,,,,,,,
Anamirta cocculus,,,,,drupe,74,,,,,,,,,,,,,,
Anchietea pyrifolia,,,,,,,,,,,,,,,,,,,,
Anchietea salutaris,,,,,,,,,,,,,,,,,,,,
Ancistrocladus heyneanus,,,,,wind,"53,57",,,,,,,,,,,,,,
Anemopaegma chamberlaynii,,,tendrils,17,wind,87,,,,,,,,,,,,,,
Anemopaegma chrysanthum,woody,17,tendrils,17,wind,"53,57",,,87.29,17,,,,,,,,,,
Anemopaegma chrysoleucum,woody,5,twiner,5,"wings, water",43,,,27.82,3,1809.81,100,,,,,,,,
Anemopaegma foetidum,,,tendrils,17,wind,87,,,,,,,,,,,,,,
Anemopaegma oligoneuron,,,tendrils,17,wind,"53,57",,,,,,,,,,,,,,
Anemopaegma orbiculatum,,,tendrils,17,wind,43,,,48.13,17,6101.38,100,,,,,,,,
Anemopaegma reticulatum,,,tendrils,17,wind,86,,,,,,,,,,,,,,
Annona hypoglauca,,,,,animal,"53,57",,,41.49,57,444.00,53,,,,,,,,
Annona spraguei,,,,,animal,"43,57",15.3483153,57,130.15,57,37.00,53,,,,,,,,
Anodendron affine,woody,10,scrambler,10,coma,9,,,18.45,9,209.74,100,,,,,,,,
Anodendron paniculatum,woody,81,scrambler,81,coma,81,,,86.81,81,251.18,100,,,,,,,,
Anredera cordifolia,herbaceous,10,twiner,9,,,25.043,57,20.15,"9,57",,,,,,,,,,
Anthodon decussatum,,,,,,,,,,,,,,,,,,,,
Aphanopetalum resinosum,woody,58,twiner,58,unassisted,56,14.47,15,,,,,,,,,,,,
Apios carnea,,,twiner,9,unassisted,77,,,25.99,9,,,,,,,,,,
Apodostigma pallens,woody,83,hooks,72,winged,83,,,11.78,83,,,,,,,,,,
Araujia sericifera,,,,,wind,15,,,,,,,,,,,,,,
Arcangelisia flava,,,,,drupe,74,,,,,,,,,,,,,,
Argyreia daltoni,,,,,,,,,,,,,,,,,,,,
Argyreia populifolia,,,,,,,,,,,,,,,,,,,,
Argyreia wallichii,,,,,berry,9,,,159.25,9,,,,,,,,,,
Aristolochia acutifolia,,,,,,,,,,,,,,,,,,,,
Aristolochia allemanii,,,,,,,,,,,,,,,,,,,,
Aristolochia arcuata,,,,,,,,,,,,,,,,,,,,
Aristolochia argentina,,,,,,,,,,,,,,,,,,,,
Aristolochia cordiflora,,,,,wind,43,,,105.00,43,,,,,,,,,,
Aristolochia cordigera,,,,,,,,,,,,,,,,,,,,
Aristolochia esperanzae,,,,,,,,,,,,,,,,,,,,
Aristolochia gigantea,woody,5,twiner,5,,,,,76.75,"2,5",,,,,,,,,,
Aristolochia indica,,,,,,,,,,,,,,,,,,,,
Aristolochia kunmingsis,,,twiner,77,wing,77,,,,,,,,,,,,,,
Aristolochia labiata,,,,,,,,,,,,,,,,,,,,
Aristolochia liukiuensis,herbaceous,10,twiner,10,wing,10,,,53.20,10,25.28,100,,,,,,,,
Aristolochia macrophylla,woody,17,twiner,17,,,,,102.90,17,,,,,,,,,,
Aristolochia maxima,,,twiner,13,wind,43,,,30.78,13,4053.38,100,,,,,,,,
Aristolochia melastoma,,,,,,,,,,,,,,,,,,,,
Aristolochia ovalifolia,,,,,,,,,,,,,,,,,,,,
Aristolochia pilosa,woody,5,twiner,5,,,,,101.50,5,,,,,,,,,,
Aristolochia rugosa,,,,,,,,,,,,,,,,,,,,
Aristolochia spruceii,woody,17,twiner,17,wing,17,,,63.70,17,,,,,,,,,,
Aristolochia tonduzii,woody,17,twiner,17,wing,17,12.714286,57,40.25,17,,,,,,,,,,
Aristolochia triangularis,,,,,,,,,,,,,,,,,,,,
Aristolochia truliformis,,,,,,,,,,,,,,,,,,,,
Aristolochia zollingeriana,herbaceous,10,twiner,9,wing,9,,,26.25,9,36.96,100,,,,,,,,
Artabotrys costatus,woody,21,twiner,21,animal,21,,,,,,,,,,,,,,
Artabotrys hongkongensis,,,,,fleshy,86,,,,,,,,,,,,,,
Artabotrys likimensis,,,,,fleshy,86,,,,,,,,,,,,,,
Artabotrys monteiroae,woody,21,twiner,21,animal,21,,,24.21,21,191.20,53,,,,,,,,
Artabotrys suaveolens,,,,,fleshy,86,,,,,,,,,,,,,,
Artabotrys suaveolus,,,,,fleshy,86,,,,,,,,,,,,,,
Artabotrys zeylanicus,,,,,fleshy,86,,,,,,,,,,,,,,
Asclepias ditasa,,,,,coma,86,,,,,,,,,,,,,,
Asparagus africanus,,,twiner,72,berry,53,,,,,56.31,53,,,,,,,,
Asparagus officinalis,herbaceous,36,hooks,36,berry,"9,57",11.034,57,0.03,57,26.00,53,,,,,,,,
Asparagus racemosus,,,twiner,72,berry,53,,,,,38.17,53,,,,,,,,
Asteranthe asterias,woody,36,twiner,72,animal,36,,,30.80,36,59.65,100,,,,,,,,
Asteranthera ovata,,,,,fleshy,86,,,,,,,,,,,,,,
Austrobaileya scandens,woody,27,twiner,58,fleshy,27,,,52.33,27,365.00,53,,,,,,,,
Austrosteenisia blackii,woody,27,twiner,58,unassisted,53,27.66,15,13.65,28,18.43,53,,,,,,,,
Austrosteenisia stipularis,,,twiner,58,unassisted,53,,,4.29,27,,,,,,,,,,
Baccharis quitensis,,,,,,,,,,,,,,,,,,,,
Baccharis trinervis,woody,5,scrambler,5,pappus,"5,57",,,10.50,5,,,,,,,,,,
Badiera caracasana,,,,,,,,,,,,,,,,,,,,
Baissea axillaris,woody,36,twiner,36,wind,"53,57",,,5.51,36,,,,,,,,,,
Baissea baillonii,,,,,,,,,,,,,,,,,,,,
Baissea multiflora,woody,36,twiner,36,wind,36,,,10.59,36,60.11,53,,,,,,,,
Bambusa radicalis,,,,,,,,,,,,,,,,,,,,
Banisteriopsis adenopoda,,,,,,,,,,,,,,,,,,,,
Banisteriopsis anisandra,,,,,,,,,,,,,,,,,,,,
Banisteriopsis argyrophylla,,,,,,,,,,,,,,,,,,,,
Banisteriopsis muricata,woody,17,twiner,17,wind,43,,,36.23,17,3.96,53,,,,,,,,
Banisteriopsis oxyclada,,,,,,,,,,,,,,,,,,,,
Banisteriopsis stellaris,,,,,,,,,,,,,,,,,,,,
Basella alba,herbaceous,10,twiner,10,fleshy,10,,,21.00,9,38.40,53,,,,,,,,
Bauhinia championii,woody,10,tendrils,9,unassisted,10,,,26.16,9,425.49,100,,,,,,,,
Bauhinia coronata,,,,,,,,,,,,,,,,,,,,
Bauhinia cupreonitens,,,,,,,,,,,,,,,,,,,,
Bauhinia ferruginea var. griffithiana,,,,,,,,,,,,,,,,,,,,
Bauhinia glabra,woody,17,tendrils,17,,,,,34.30,17,195.16,53,,,,,,,,
Bauhinia glauca var. tenuiflora,,,,,,,,,,,,,,,,,,,,
Bauhinia guianensis,woody,5,tendrils,5,wind,43,,,40.60,5,,,,,,,,,,
Bauhinia guianensis var. splendens,,,,,,,,,,,,,,,,,,,,
Bauhinia integrifolia,,,,,,,,,,,,,,,,,,,,
Bauhinia kockiana,,,,,,,,,,,,,,,,,,,,
Bauhinia leiopetala,,,,,,,,,,,,,,,,,,,,
Bauhinia microstachya,,,,,,,,,,,,,,,,,,,,
Bauhinia phoenicea,,,,,,,,,,,,,,,,,,,,
Bauhinia platycalyx,,,,,,,,,,,,,,,,,,,,
Bauhinia rutilans,,,,,,,,,,,,,,,,,,,,
Bauhinia siqueiraei,,,,,,,,,,,,,,,,,,,,
Bauhinia tarapotensis,,,,,,,,,63.58,57,,,,,,,,,,
Bauhinia ungulata,woody,17,scrambler,17,,,,,,,39.82,53,,,,,,,,
Bauhinia vahlii,woody,12,tendrils,12,,,,,548.80,12,1562.00,53,,,,,,,,
Bauhinia vestita,,,,,,,,,,,,,,,,,,,,
Beaumontia grandiflora,,,,,coma,9,,,116.55,9,,,,,,,,,,
Begonia meyeri-johannis,,,,,,,,,,,,,,,,,,,,
Berchemia racemosa,woody,10,scrambler,10,drupe,"10,57",,,6.30,10,,,,,,,,,,
Bernardinia fluminensis,,,,,,,,,,,,,,,,,,,,
Bia alienata,,,,,,,,,,,,,,,,,,,,
Bia cordata,,,,,,,,,,,,,,,,,,,,
Bidens brasiliensis,,,,,,,,,,,,,,,,,,,,
Bidens squarrosa,,,,,animal,"53,57",,,,,,,,,,,,,,
Bignonia aequinoctialis,woody,5,tendrils,5,wing,"5,57",,,62.48,"3,5",112.00,53,,,,,,,,
Bignonia binata,,,,,wind,87,,,,8,,,,,,,,,,
Bignonia binatum,,,,,wind,87,,,33.13,3,,,,,,,,,,
Bignonia campanulata,,,,,wind,87,,,,,,,,,,,,,,
Bignonia campanulatum,,,,,wind,87,,,,,,,,,,,,,,
Bignonia corymbosa,woody,5,tendrils,5,wing,5,11.49642967,57,30.44,"3,33,57",69.00,53,,,,,,,,
Bignonia decora,,,,,wing,63,,,,,,,,,,,,,,
Bignonia diversifolia,,,,,wind,"53,57",,,,,,,,,,,,,,
Bignonia heterophylla,woody,5,tendrils,5,wing,5,,,48.32,"3,5",1891.46,100,,,,,,,,
Bignonia lilacina,,,,,wing,63,,,,,,,,,,,,,,
Bignonia sciuripabulum,,,,,wind,87,,,,,,,,,,,,,,
Bignonia hyacinthina,,,,,wind,"53,57",,,,,,,,,,,,,,
Billardiera scandens,herbaceous,28,twiner,28,berry,"28,57",13.639,15,2.14,28,2.32,50,,,,,,,,
Blakea rosea,,,,,animal,53,,,,,,,,,,,,,,
Blepharodon pictum,,,,,coma,86,,,,,,,,,,,,,,
Bomarea edulis,,,,,,,,,,,,,,,,,,,,
Bonamia burchellii,,,,,,,,,,,,,,,,,,,,
Bonamia maripoides,,,,,,,17.857724,57,,,,,,,,,,,,
Bonamia trichantha,,,,,wind,43,,,,,,,,,,,,,,
Bougainvillea spectabilis,,,hooks,9,,,14.90312966,57,8.66,9,,,,,,,,,,
Bousigonia angustifolia,,,,,,,,,23.10,9,,,,,,,,,,
Bousigonia mekongensis,,,,,,,,,24.99,9,,,,,,,,,,
Bredemeyera altissima,,,,,,,,,,,,,,,,,,,,
Bredemeyera floribunda,,,,,,,,,,,,,,,,,,,,
Bridelia stipularis,woody,82,scrambler,82,drupe,9,,,47.63,"9,82",20.80,53,,,,,,,,
Bronwenia cornifolia,woody,5,twiner,5,wing,5,,,51.98,"3,6",,,,,,,,,,
Bronwenia wurdackii,,,,,wind,"53,57",,,,,,,,,,,,,,
Byttneria aculeata,woody,5,hooks,5,bird mammal ,43,,,15.75,5,9.68,100,,,,,,,,
Byttneria aspera,,,,,,,,,112.88,9,,,,,,,,,,
Byttneria australis,,,,,,,,,,,,,,,,,,,,
Byttneria catalpifolia,,,,,,,,,,,,,,,,,,,,
Byttneria gayana,,,,,,,,,,,,,,,,,,,,
Caelospermum paniculatum,woody,27,twiner,15,fleshy syncarp,27,13.989,15,37.54,"27,28",16.99,53,,,,,,,,
Caesalpinia benthamiana,woody,12,spines,36,wing,36,,,4.90,36,,,,,,,,,,
Caesalpinia bonduc,woody,27,hooks,"9,12",water,57,,,3.08,"9,12",2108.80,53,,,,,,,,
Caesalpinia cucullata,,,hooks,9,wing,9,,,21.00,9,,,,,,,,,,
Caesalpinia decapetala,woody,10,hooks,9,wing,9,,,1.10,9,659.00,53,,,,,,,,
Caesalpinia parviflora,,,,,,,,,,,,,,,,,,,,
Caesalpinia robusta,woody,27,hooks,27,unassisted,27,,,5.95,27,729.70,100,,,,,,,,
Caesalpinia traceyi,woody,27,hooks,58,unassisted,27,,,0.59,27,651.00,100,,,,,,,,
Caesalpinia volkensii,woody,36,hooks,9,prickly pods,36,,,11.55,36,5.53,100,,,,,,,,
Calamus asperrimus,,,,,,,,,,,,,,,,,,,,
Calamus australis,herbaceous,27,hooks,27,fleshy ,"27,57",,,25.20,27,410.00,53,,,,,,,,
Calamus caryotoides,herbaceous,27,hooks,27,fleshy ,27,,,25.97,27,97.71,53,,,,,,,,
Calamus conirostris,,,,,,,,,,,,,,,,,,,,
Calamus deerratus,,,,,animal,"53,57",,,,,,,,,,,,,,
Calamus elopurensis,,,,,,,,,,,,,,,,,,,,
Calamus gamblei,,,,,,,,,,,,,,,,,,,,
Calamus gonospermus,,,,,,,,,,,,,,,,,,,,
Calamus heteroideus,,,,,,,,,,,,,,,,,,,,
Calamus hispidulus,,,,,,,,,,,,,,,,,,,,
Calamus javensis,,,,,,,,,,,,,,,,,,,,
Calamus marginatus,,,,,,,,,,,,,,,,,,,,
Calamus merrillii,,,,,,,,,,,,,,,,,,,,
Calamus moti,herbaceous,27,hooks,27,fleshy ,"27,57",,,36.75,27,107.00,53,,,,,,,,
Calamus muelleri,herbaceous,28,hooks,28,fleshy ,27,13.42,15,47.25,28,211.85,100,,,,,,,,
Calamus muricatus,,,,,,,,,,,,,,,,,,,,
Calamus myricanthus,,,,,,,,,,,,,,,,,,,,
Calamus nambariensis,,,,,,,,,,,,,,,,,,,,
Calamus optimus,,,,,,,,,,,,,,,,,,,,
Calamus paspalanthus,,,,,,,,,,,,,,,,,,,,
Calamus pogonacanthus,,,,,,,,,,,,,,,,,,,,
Calamus praetermissus,,,,,,,,,,,,,,,,,,,,
Calamus radicalis,herbaceous,27,hooks,27,fleshy ,"27,57",,,45.50,27,211.85,100,,,,,,,,
Calamus scipionum,,,,,fleshy ,57,,,,,,,,,,,,,,
Calamus thwaitesii,,,,,,,,,,,,,,,,,,,,
Calamus zonatus,,,,,,,,,,,,,,,,,,,,
Calea pinnatifida,,,,,,,,,,,,,,,,,,,,
Callerya australis,woody,58,twiner,28,unassisted,28,14.70,15,5.51,28,730.80,100,,,,,,,,
Callerya megasperma,woody,28,twiner,28,,,21.30,15,13.48,28,,,,,,,,,,
Callerya nieuwenhuisii,,,,,,,,,,,,,,,,,,,,
Callerya atropurpurea,,,,,,,,,,,,,,,,,,,,
Callichlamys latifolia,woody,5,tendrils,5,wing,"43,57",,,47.75,"3,5,6",455.70,52,,,,,,,,
Calopogonium caeruleum,,,,,,,,,,,,,,,,,,,,
Calopogonium mucunoides,herbaceous,10,twiner,9,unassisted,10,,,17.15,9,11.37,53,,,,,,,,
Calycobolus africanus,,,,,,,,,,,,,,,,,,,,
Calycobolus heudelotii,,,,,,,,,,,,,,,,,,,,
Calycophysum pedunculatum,,,,,,,,,,,,,,,,,,,,
Calystegia tuguriorum,,,,,,,,,,,38.70,53,,,,,,,,
Campsis radicans,,,,,wind,"53,57",,,25.70,"40,41",4.40,53,,,,,,,,
Camptosema ellipticum,,,,,,,,,,,,,,,,,,,,
Canavalia grandiflora,,,,,,,,,,,,,,,,,,,,
Canavalia palmeri,,,,,,,,,,,,,,,,,,,,
Canavalia parviflora,,,,,,,,,,,,,,,,,,,,
Canavalia picta,,,,,,,,,,,,,,,,,,,,
Cansjera rheedii,,,scrambler,75,animal,75,,,,,,,,,,,,,,
Canthium angustifolium,,,,,,,,,,,,,,,,,,,,
Capparis brevispina,,,scrambler,75,berry,66,,,,,,,,,,,,,,
Capparis erythrocarpos,,,hooks,72,berry,66,,,,,,,,,,,,,,
Capparis fascicularis,,,,,berry,66,,,,,,,,,,,,,,
Capparis fusifera,,,,,berry,66,,,,,,,,,,,,,,
Capparis micrantha,woody,10,hooks,72,berry,10,,,33.01,10,,,,,,,,,,
Capparis moonii,,,,,berry,66,,,,,,,,,,,,,,
Capparis rotundifolia,,,scrambler,75,berry,66,,,,,,,,,,,,,,
Capparis sepiaria,,,scrambler,"9,27",berry,66,,,10.06,"9,27",37.58,100,,,,,,,,
Capparis tomentosa,,,scrambler,83,berry,66,,,7.09,83,174.93,53,,,,,,,,
Capparis zeylanica,,,scrambler,9,berry,66,,,25.20,9,63.00,100,,,,,,,,
Capparis sikkimensis subsp. yunnanensis,,,,,fleshy,9,,,106.40,9,642.90,100,,,,,,,,
Cardiospermum corindum,,,,,,,,,20.02,11,,,,,,,,,,
Cardiospermum grandiflorum,,,,,,,,,,,,,,,,,,,,
Cardiospermum halicacabum,herbaceous,15,twiner,9,wind,"53,57",,,7.70,9,39.00,53,,,,,,,,
Carissa spinarum,,,twiner,72,berry,9,,,2.45,9,50.96,53,,,,,,,,
Carolus chlorocarpus,,,,,,,,,,,,,,,,,,,,
Carronia protensa,woody,58,twiner,58,fleshy,27,,,137.77,27,102.00,53,,,,,,,,
Cassytha glabella,herbaceous,58,twiner,58,fleshy,28,,,1.50,"16,57",6.81,50,,,,,,,,
Cassytha pubescens,herbaceous,28,twiner,58,berry ,28,,,,,11.53,50,,,,,,,,
Cauratia gracilis,,,tendrils,91,drupe,63,,,,,,,,,,,,,,
Cayaponia coriacea,,,tendrils,86,fleshy,63,,,,,,,,,,,,,,
Cayaponia duckei,,,tendrils,86,fleshy,63,,,,,,,,,,,,,,
Cayaponia espelina,,,tendrils,86,fleshy,63,,,,,,,,,,,,,,
Cayaponia glandulosa,,,tendrils,86,fleshy,63,,,,,,,,,,,,,,
Cayaponia granatensis,woody,5,tendrils,5,berry,5,9.149835,57,95.12,"3,33,57",72.24,100,,,,,,,,
Cayaponia tayuya,,,tendrils,86,fleshy,63,,,,,,,,,,,,,,
Cayaponia triangularis,,,tendrils,86,fleshy,63,,,,,,,,,,,,,,
Cayratia acris,woody,28,tendrils,28,drupe,28,,,37.80,28,,,,,,,,,,
Cayratia clematidea,herbaceous,28,tendrils,28,berry ,28,49.19,15,5.21,28,12.31,50,,,,,,,,
Cayratia eurynema,woody,28,tendrils,28,berry ,28,,,26.78,28,,,,,,,,,,
Cayratia gracilis,herbaceous,36,tendrils,36,fleshy,36,,,42.00,36,25.25,53,,,,,,,,
Cayratia pedata,woody,9,tendrils,9,berry,9,,,5.51,9,29.67,100,,,,,,,,
Cayratia tenuifolia,,,tendrils,,berry,63,,,,,,,,,,,,,,
Cayratia trifolia,herbaceous,12,tendrils,12,berry,12,,,7.88,12,,,,,,,,,,
Cayratia trifolia,herbaceous,12,tendrils,12,drupe,12,,,7.88,12,13.10,53,,,,,,,,
Cecropia longipes,,,,,,,,,,,,,,,,,,,,
Celastrus angulatus,,,twiner,9,aril,9,,,83.13,9,12.88,100,,,,,,,,
Celastrus monospermus,,,twiner,9,aril,9,,,38.50,9,205.76,100,,,,,,,,
Celastrus orbiculatus,,,twiner,9,aril,"9,57",,,37.80,9,9.50,53,,,,,,,,
Celastrus paniculatus,woody,10,scrambler,10,aril,9,,,19.69,9,26.30,100,,,,,,,,
Celastrus subspicata,woody,58,twiner,58,aril,58,18.67,15,29.93,27,,,,,,,,,,
Celtis iguanaea,woody,5,scrambler,5,animals (iguanas),57,,,16.80,5,111.00,53,,,,,,,,
Centropogon argutus,,,,,,,,,,,,,,,,,,,,
Centrosema arenarium,,,,,,,,,,,,,,,,,,,,
Centrosema grandiflorum,,,,,,,,,,,,,,,,,,,,
Centrosema pascuorum,,,,,,,,,,,10.63,100,,,,,,,,
Centrosema plumieri,,,,,unassisted,"53,57",,,,,86.93,53,,,,,,,,
Centrosema pubescens,herbaceous,9,twiner,9,exozoochory,10,,,18.01,9,29.02,53,,,,,,,,
Centrosema sagittatum,,,,,,,,,,,,,,,,,,,,
Centrosema venosum,,,,,,,,,,,,,,,,,,,,
Centrosema vexillatum,,,,,,,,,,,,,,,,,,,,
Centrosema virginianum,,,,,,,,,,,,,,,,,,,,
Cephalaralia cephalobotrys,herbaceous,28,twiner,58,berry,58,38.82866551,57,15.63,"28,57",4.00,53,,,,,,,,
Ceratolobus concolor,,,,,,,,,,,,,,,,,,,,
Ceratolobus discolor,,,,,,,,,,,,,,,,,,,,
Ceratolobus subangulatus,,,,,,,,,,,,,,,,,,,,
Ceratosanthes hilariana,,,tendrils,86,,,,,,,,,,,,,,,,
Cercestis afzelii,woody,36,tendrils,36,berry,36,,,,,,,,,,,,,,
