Family,Original taxon in paper ,Accepted taxon name in Plant List www.theplantlist.org/,Specific Location,Latitude,Longitude ,Country,Original source
Vitaceae,Cayratia clematidea,Cayratia clematidea,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Celastraceae,Celastrus subspicata,Celastrus subspicata,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Celastraceae,Celastrus subspicata,Celastrus subspicata,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus antarctica,Cissus antarctica,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus antarctica,Cissus antarctica,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus antarctica,Cissus antarctica,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus antarctica,Cissus antarctica,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus antarctica,Cissus antarctica,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus antarctica,Cissus antarctica,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus antarctica,Cissus antarctica,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus hypoglauca,unresolved,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus hypoglauca,unresolved,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus hypoglauca,unresolved,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus hypoglauca,unresolved,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus hypoglauca,unresolved,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus hypoglauca,unresolved,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus sterculiifolia,Nothocissus sterculiifolia,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus sterculiifolia,Nothocissus sterculiifolia,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Cissus sterculiifolia,Nothocissus sterculiifolia,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Ranunculaceae,Clematis aristata,Clematis aristata,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Ranunculaceae,Clematis aristata,Clematis aristata,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Ranunculaceae,Clematis aristata,Clematis aristata,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Ranunculaceae,Clematis glycinoides,Clematis glycinoides,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Ranunculaceae,Clematis glycinoides,Clematis glycinoides,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Dioscoreaceae,Dioscorea transversa,Dioscorea transversa,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Dioscoreaceae,Dioscorea transversa,Dioscorea transversa,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Dioscoreaceae,Dioscorea transversa,Dioscorea transversa,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Dioscoreaceae,Dioscorea transversa,Dioscorea transversa,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Primulaceae,Embelia australiana,Embelia australiana,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Primulaceae,Embelia australiana,Embelia australiana,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Primulaceae,Embelia australiana,Embelia australiana,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Primulaceae,Embelia australiana,Embelia australiana,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Eustrephus latifolius,Eustrephus latifolius,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Eustrephus latifolius,Eustrephus latifolius,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Eustrephus latifolius,Eustrephus latifolius,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Flagellariaceae,Flagellaria indica,Flagellaria indica,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Flagellariaceae,Flagellaria indica,Flagellaria indica,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Flagellariaceae,Flagellaria indica,Flagellaria indica,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Flagellariaceae,Flagellaria indica,Flagellaria indica,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Flagellariaceae,Flagellaria indica,Flagellaria indica,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Geitonoplesium cymosum,Geitonoplesium cymosum,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Geitonoplesium cymosum,Geitonoplesium cymosum,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Geitonoplesium cymosum,Geitonoplesium cymosum,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Geitonoplesium cymosum,Geitonoplesium cymosum,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Geitonoplesium cymosum,Geitonoplesium cymosum,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Geitonoplesium cymosum,Geitonoplesium cymosum,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Geitonoplesium cymosum,Geitonoplesium cymosum,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Philesiaceae,Geitonoplesium cymosum,Geitonoplesium cymosum,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Dilleniaceae,Hibbertia scandens,Hibbertia scandens,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Dilleniaceae,Hibbertia scandens,Hibbertia scandens,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Dilleniaceae,Hibbertia scandens,Hibbertia scandens,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Celastraceae,Hippocratea barbata,unresolved,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Hoya australis,Hoya australis,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Oleaceae,Jasminum volubile,Jasminum simplicifolium subsp. australiense,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Oleaceae,Jasminum volubile,Jasminum simplicifolium subsp. australiense,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Legnephora moorei,Legnephora moorei,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Moraceae,Maclura cochinchinensis,Maclura cochinchinensis,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Moraceae,Maclura cochinchinensis,Maclura cochinchinensis,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Moraceae,Maclura cochinchinensis,Maclura cochinchinensis,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Moraceae,Maclura cochinchinensis,Maclura cochinchinensis,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Moraceae,Maclura cochinchinensis,Maclura cochinchinensis,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Moraceae,Maclura cochinchinensis,Maclura cochinchinensis,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Moraceae,Maclura cochinchinensis,Maclura cochinchinensis,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Marsdenia flavescens,Pergularia flavescens,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Marsdenia hemiptera,unresolved,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Marsdenia lloydii,unresolved,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Marsdenia rostrata,Pergularia rostrata,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Marsdenia rostrata,Pergularia rostrata,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Marsdenia rostrata,Pergularia rostrata,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Marsdenia rostrata,Pergularia rostrata,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Marsdenia rostrata,Pergularia rostrata,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Rubiaceae,Morinda jasminoides,Morinda jasminoides,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Rubiaceae,Morinda jasminoides,Morinda jasminoides,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Rubiaceae,Morinda jasminoides,Morinda jasminoides,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Rubiaceae,Morinda jasminoides,Morinda jasminoides,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Rubiaceae,Morinda jasminoides,Morinda jasminoides,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Rubiaceae,Morinda jasminoides,Morinda jasminoides,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Rubiaceae,Morinda jasminoides,Morinda jasminoides,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Rubiaceae,Morinda jasminoides,Morinda jasminoides,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Fabaceae,Mucuna gigantea,Mucuna gigantea,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Bignoniaceae,Pandorea jasminoides,Pandorea jasminoides,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Bignoniaceae,Pandorea pandorana,Pandorea pandorana,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Bignoniaceae,Pandorea pandorana,Pandorea pandorana,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Parsonsia rotata,Parsonsia rotata,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Parsonsia straminea,Parsonsia straminea,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Parsonsia straminea,Parsonsia straminea,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Parsonsia straminea,Parsonsia straminea,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Parsonsia straminea,Parsonsia straminea,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Parsonsia straminea,Parsonsia straminea,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Piperaceae,Piper novae-hollandiae,unresolved,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Ripogonaceae,Ripogonum album,Not present in The Plant List,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Ripogonaceae,Ripogonum album,Not present in The Plant List,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Ripogonaceae,Ripogonum album,Not present in The Plant List,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Sarcopetalum harveyanum,unresolved,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Sarcopetalum harveyanum,unresolved,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Sarcopetalum harveyanum,unresolved,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Sarcopetalum harveyanum,unresolved,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Sarcopetalum harveyanum,unresolved,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Sarcopetalum harveyanum,unresolved,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Secamone elliptica,Secamone elliptica,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax australis,Smilax australis,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
