species_name,seed_mass_max_Kew_2019_1,seed_mass_max_Mokany_2015,seed_mass_max_RBGK_2014,seed_mass_to_keep_max,seed_mass_mean_Kew_2019_1,seed_mass_mean_Mokany_2015,seed_mass_mean_RBGK_2014,seed_mass_to_keep_mean,original_name,seed_mass_unique
Ewartia planchonii,0.07,0.07,NA,omit,0.07,0.07,NA,omit,Ewartia planchonii,NA
Exocarpos cupressiformis,80.06,12.62,NA,keep,80.06,12.62,NA,keep,Exocarpos cupressiformis,seed_mass_to_keep
Exocarpos humifusus,NA,13.07,NA,keep,NA,13.07,NA,keep,Exocarpos humifusus,seed_mass_to_keep
Exocarpos nanus,12.14,11.01,NA,keep,10.1,11.01,NA,keep,Exocarpos nanus,seed_mass_to_keep
Exocarpos strictus,34.57,13.78,NA,keep,27.11,13.78,NA,keep,Exocarpos strictus,seed_mass_to_keep
Exocarpos syrticolus,26.4,12.62,NA,keep,18.58,12.62,NA,keep,Exocarpos syrticola,seed_mass_to_keep
Festuca arundinacea,NA,1.21,NA,keep,NA,1.21,NA,keep,Festuca arundinacea,seed_mass_to_keep
Festuca plebeia,0.69,1.21,NA,keep,0.69,1.21,NA,keep,Festuca plebeia,seed_mass_to_keep
Ficinia nodosa,0.23,0.15,NA,keep,0.16,0.15,NA,keep,Isolepis nodosa,seed_mass_to_keep
Filago gallica,NA,0.4,NA,keep,NA,0.4,NA,keep,Logfia gallica,seed_mass_to_keep
Forstera bellidifolia,0.09,0.09,NA,omit,0.09,0.09,NA,omit,Forstera bellidifolia,NA
Frankenia pauciflora,0.64,0.21,NA,keep,0.32,0.21,NA,keep,Frankenia pauciflora var gunnii,seed_mass_to_keep
Gahnia filum,1.19,1.2,NA,keep,1.19,1.2,NA,keep,Gahnia filum,seed_mass_to_keep
Gahnia grandis,7.07,6.43,NA,keep,6.75,6.43,NA,keep,Gahnia grandis,seed_mass_to_keep
Gahnia microstachya,0.76,2.59,NA,keep,0.76,2.59,NA,keep,Gahnia microstachya,seed_mass_to_keep
Gahnia radula,1.21,1.3,NA,keep,1.21,1.3,NA,keep,Gahnia radula,seed_mass_to_keep
Gahnia sieberiana,54.81,2.59,NA,keep,10.48,2.59,NA,keep,Gahnia sieberiana,seed_mass_to_keep
Gahnia trifida,1.4,1.45,NA,keep,1.4,1.45,NA,keep,Gahnia trifida,seed_mass_to_keep
Gaimardia amblyphylla,NA,0.06,NA,keep,NA,0.06,NA,keep,Gaimardia amblyphylla,seed_mass_to_keep
Gaimardia fitzgeraldii,NA,0.06,NA,keep,NA,0.06,NA,keep,Gaimardia fitzgeraldii,seed_mass_to_keep
Gaimardia setacea,NA,0.06,NA,keep,NA,0.06,NA,keep,Gaimardia setacea,seed_mass_to_keep
Galium australe,NA,11.48,NA,keep,NA,11.48,NA,keep,Galium australe,seed_mass_to_keep
Galium ciliare,NA,11.48,NA,keep,NA,11.48,NA,keep,Galium ciliare,seed_mass_to_keep
Galium gaudichaudii,NA,11.48,NA,keep,NA,11.48,NA,keep,Galium gaudichaudii,seed_mass_to_keep
Gastridium ventricosum,NA,1.21,NA,keep,NA,1.21,NA,keep,Gastridium ventricosum,seed_mass_to_keep
Gastrodia sesamoides,NA,0.01,NA,keep,NA,0.01,NA,keep,Gastrodia sesamoides,seed_mass_to_keep
Gaultheria depressa,0.04,0.06,NA,keep,0.03,0.06,NA,keep,Gaultheria depressa,seed_mass_to_keep
Gaultheria hispida,0.05,0.04,NA,keep,0.05,0.04,NA,keep,Gaultheria hispida,seed_mass_to_keep
Gaultheria tasmanica,0.07,0.05,NA,keep,0.07,0.05,NA,keep,Gaultheria tasmanica,seed_mass_to_keep
Genoplesium archeri,NA,0.01,NA,keep,NA,0.01,NA,keep,Corunastylis archeri,seed_mass_to_keep
Genoplesium archeri,NA,0.01,NA,keep,NA,0.01,NA,keep,Genoplesium archeri,seed_mass_to_keep
Gentianella diemensis,0.18,0.18,NA,omit,0.18,0.13,NA,keep,Chionogentias diemensis,seed_mass_to_keep
Gentianella diemensis,0.18,0.18,NA,omit,0.18,0.13,NA,keep,Gentianella diemensis,seed_mass_to_keep
Gentianella eichleri,0.2,0.09,NA,keep,0.2,0.09,NA,keep,Chionogentias eichleri,seed_mass_to_keep
Gentianella pleurogynoides,0.26,0.09,NA,keep,0.24,0.09,NA,keep,Chionogentias pleurogynoides,seed_mass_to_keep
Geranium potentilloides,NA,3.3,NA,keep,NA,3.3,NA,keep,Geranium potentilloides,seed_mass_to_keep
Geranium sessiliflorum,NA,3.3,2.84,keep,NA,3.3,2.84,keep,Geranium sessiliflorum,seed_mass_to_keep
Geranium solanderi,NA,3.3,NA,keep,NA,3.3,NA,keep,Geranium solanderi,seed_mass_to_keep
Gleichenia alpina,NA,3.3,NA,keep,NA,3.3,NA,keep,Gleichenia alpina,seed_mass_to_keep
Gleichenia dicarpa,NA,3.3,NA,keep,NA,3.3,NA,keep,Gleichenia dicarpa,seed_mass_to_keep
Gleichenia microphylla,NA,3.3,NA,keep,NA,3.3,NA,keep,Gleichenia microphylla,seed_mass_to_keep
Glossodia major,NA,0.01,0.18,keep,NA,0.01,0.18,keep,Glossodia major,seed_mass_to_keep
Glossostigma elatinoides,NA,0.17,NA,keep,NA,0.17,NA,keep,Glossostigma elatinoides,seed_mass_to_keep
Glycine clandestina,4.71,5.72,NA,keep,4.47,5.72,NA,keep,Glycine clandestina,seed_mass_to_keep
Glycine latrobeana,7.57,5.72,NA,keep,7.57,5.72,NA,keep,Glycine latrobeana,seed_mass_to_keep
Gnaphalium indutum,0.04,0.04,NA,omit,0.02,0.04,NA,keep,Gnaphalium indutum,seed_mass_to_keep
Gompholobium huegelii,NA,7.89,NA,keep,NA,7.89,NA,keep,Gompholobium huegelii,seed_mass_to_keep
Gonocarpus humilis,0.45,0.55,NA,keep,0.45,0.55,NA,keep,Gonocarpus humilis,seed_mass_to_keep
Gonocarpus micranthus,NA,0.22,NA,keep,NA,0.22,NA,keep,Gonocarpus micranthus,seed_mass_to_keep
Gonocarpus montanus,NA,0.55,NA,keep,NA,0.55,NA,keep,Gonocarpus montanus,seed_mass_to_keep
Gonocarpus serpyllifolius,NA,0.55,NA,keep,NA,0.55,NA,keep,Gonocarpus serpyllifolius,seed_mass_to_keep
Gonocarpus tetragynus,0.85,0.55,NA,keep,0.85,0.55,NA,keep,Gonocarpus tetragynus,seed_mass_to_keep
Gonocarpus teucrioides,0.89,1.78,NA,keep,0.89,1.34,NA,keep,Gonocarpus teucrioides,seed_mass_to_keep
Gonocarpus teucrioides,0.89,1.78,NA,keep,0.89,1.34,NA,keep,Haloragis teucrioides,seed_mass_to_keep
Goodenia elongata,1.74,1.51,NA,keep,1.74,1.51,NA,keep,Goodenia elongata,seed_mass_to_keep
Goodenia humilis,0.05,0.05,NA,omit,0.04,0.05,NA,keep,Goodenia humilis,seed_mass_to_keep
Goodenia lanata,1.86,1.86,NA,omit,1.86,1.86,NA,omit,Goodenia lanata,NA
Goodenia ovata,1.08,0.88,NA,keep,0.91,0.88,NA,keep,Goodenia ovata,seed_mass_to_keep
Goodia lotifolia,25.54,18.59,NA,keep,20.2,18.59,NA,keep,Goodia lotifolia,seed_mass_to_keep
Grammitis billardierei,NA,3.3,NA,keep,NA,3.3,NA,keep,Grammitis billardierei,seed_mass_to_keep
Grammitis magellanica,NA,3.3,NA,keep,NA,3.3,NA,keep,Grammitis magellanica,seed_mass_to_keep
Grammitis poeppigiana,NA,3.3,NA,keep,NA,3.3,NA,keep,Grammitis poeppigiana,seed_mass_to_keep
Gratiola nana,0.04,0.04,NA,omit,0.04,0.04,NA,omit,Gratiola nana,NA
Gratiola pubescens,0.02,0.02,NA,omit,0.02,0.02,NA,omit,Gratiola pubescens,NA
Grevillea australis,14.12,9.19,NA,keep,10.97,9.19,NA,keep,Grevillea australis,seed_mass_to_keep
Gunnera cordifolia,3.53,3.53,NA,omit,3.53,3.53,NA,omit,Gunnera cordifolia,NA
Gymnoschoenus sphaerocephalus,3.38,0.79,NA,keep,3.38,0.79,NA,keep,Gymnoschoenus sphaerocephalus,seed_mass_to_keep
Gyrostemon thesioides,0.83,0.66,NA,keep,0.75,0.66,NA,keep,Gyrostemon thesioides,seed_mass_to_keep
Haemodorum distichophyllum,2.23,2.23,NA,omit,2.23,2.23,NA,omit,Haemodorum distichophyllum,NA
Hakea epiglottis,4.52,4.52,NA,omit,4.02,4.52,NA,keep,Hakea epiglottis,seed_mass_to_keep
Hakea lissosperma,20.15,13,NA,keep,15.15,13,NA,keep,Hakea lissosperma,seed_mass_to_keep
Hakea microcarpa,5.21,4.39,NA,keep,4.44,4.39,NA,keep,Hakea microcarpa,seed_mass_to_keep
Hakea nodosa,17,10.95,NA,keep,13.98,10.95,NA,keep,Hakea nodosa,seed_mass_to_keep
Hakea sericea,61.15,8.22,NA,keep,29.12,8.22,NA,keep,Hakea sericea,seed_mass_to_keep
Hakea teretifolia,12.62,8.22,NA,keep,9.48,8.22,NA,keep,Hakea teretifolia,seed_mass_to_keep
Haloragis heterophylla,1.28,1.78,NA,keep,1.28,1.78,NA,keep,Haloragis heterophylla,seed_mass_to_keep
Haloragis myriocarpa,1.28,1.78,NA,keep,1.28,1.78,NA,keep,Haloragis myriocarpa,seed_mass_to_keep
Helichrysum leucopsideum,0.48,0.34,NA,keep,0.48,0.34,NA,keep,Helichrysum leucopsideum,seed_mass_to_keep
Helichrysum pumilum,0.34,0.34,NA,omit,0.34,0.34,NA,omit,Helichrysum pumilum,NA
Helichrysum rutidolepis,NA,0.34,NA,keep,NA,0.34,NA,keep,Helichrysum rutidolepis,seed_mass_to_keep
Helichrysum scorpioides,NA,0.34,NA,keep,NA,0.34,NA,keep,Helichrysum scorpioides,seed_mass_to_keep
Helichrysum stoechas,NA,0.04,NA,keep,NA,0.04,NA,keep,Gnaphalium collinum,seed_mass_to_keep
Helictotrichon neesii,NA,0.46,NA,keep,NA,0.46,NA,keep,Amphibromus neesii,seed_mass_to_keep
Helictotrichon recurvatum,NA,0.46,NA,keep,NA,0.46,NA,keep,Amphibromus recurvatus,seed_mass_to_keep
Hemarthria uncinata,NA,1.21,NA,keep,NA,1.21,NA,keep,Hemarthria uncinata,seed_mass_to_keep
Herpolirion novae-zelandiae,2.02,2.25,NA,keep,2.02,2.25,NA,keep,Herpolirion novae-zelandiae,seed_mass_to_keep
Hibbertia acicularis,2.21,1.99,NA,keep,2.21,1.99,NA,keep,Hibbertia acicularis,seed_mass_to_keep
Hibbertia aspera,NA,1.99,NA,keep,NA,1.99,NA,keep,Hibbertia aspera,seed_mass_to_keep
Hibbertia basaltica,1.18,1.18,NA,omit,1.18,1.18,NA,omit,Hibbertia basaltica,NA
Hibbertia empetrifolia,NA,1.99,NA,keep,NA,1.99,NA,keep,Hibbertia empetrifolia,seed_mass_to_keep
Hibbertia hirsuta,1.34,1.99,NA,keep,1.34,1.99,NA,keep,Hibbertia hirsuta,seed_mass_to_keep
Hibbertia hirticalyx,NA,1.99,NA,keep,NA,1.99,NA,keep,Hibbertia hirticalyx,seed_mass_to_keep
Hibbertia procumbens,2.03,1.99,NA,keep,2.03,1.99,NA,keep,Hibbertia procumbens,seed_mass_to_keep
Hibbertia prostrata,NA,1.99,NA,keep,NA,1.99,NA,keep,Hibbertia prostrata,seed_mass_to_keep
Hibbertia riparia,NA,1.99,2.8,keep,NA,1.99,2.8,keep,Hibbertia riparia,seed_mass_to_keep
Hibbertia sericea,1.52,2.81,NA,keep,1.52,2.81,NA,keep,Hibbertia sericea,seed_mass_to_keep
Hibbertia serpyllifolia,NA,1.99,NA,keep,NA,1.99,NA,keep,Hibbertia serpyllifolia,seed_mass_to_keep
Hierochloe fraseri,0.48,0.48,NA,omit,0.48,0.48,NA,omit,Hierochloe fraseri,NA
Hierochloe rariflora,0.54,0.54,NA,omit,0.54,0.54,NA,omit,Hierochloe rariflora,NA
Hierochloe redolens,1.48,0.67,NA,keep,0.75,0.67,NA,keep,Hierochloe redolens,seed_mass_to_keep
Histiopteris incisa,NA,3.3,NA,keep,NA,3.3,NA,keep,Histiopteris incisa,seed_mass_to_keep
Hovea heterophylla,NA,7.89,NA,keep,NA,7.89,NA,keep,Hovea heterophylla,seed_mass_to_keep
Hovea linearis,21.37,7.89,NA,keep,15.95,7.89,NA,keep,Hovea linearis,seed_mass_to_keep
Hovea longifolia,NA,7.89,NA,keep,NA,7.89,NA,keep,Hovea longifolia,seed_mass_to_keep
Huperzia australiana,NA,3.3,NA,keep,NA,3.3,NA,keep,Huperzia australiana,seed_mass_to_keep
Huperzia varia,NA,3.3,NA,keep,NA,3.3,NA,keep,Huperzia varia,seed_mass_to_keep
Hyalosperma demissum,0.08,0.06,NA,keep,0.05,0.06,NA,keep,Hyalosperma demissum,seed_mass_to_keep
Hydrocotyle callicarpa,0.16,0.16,NA,omit,0.11,0.16,NA,keep,Hydrocotyle callicarpa,seed_mass_to_keep
Hydrocotyle capillaris,0.14,0.14,NA,omit,0.14,0.14,NA,omit,Hydrocotyle capillaris,NA
Hydrocotyle hirta,0.16,0.2,NA,keep,0.13,0.2,NA,keep,Hydrocotyle hirta,seed_mass_to_keep
Hydrocotyle pterocarpa,NA,0.17,NA,keep,NA,0.17,NA,keep,Hydrocotyle pterocarpa,seed_mass_to_keep
Hydrocotyle sibthorpioides,0.13,0.17,NA,keep,0.13,0.17,NA,keep,Hydrocotyle sibthorpioides,seed_mass_to_keep
Hydrocotyle tripartita,NA,0.17,NA,keep,NA,0.17,NA,keep,Hydrocotyle muscosa,seed_mass_to_keep
Hymenanthera dentata,NA,0.6,NA,keep,NA,0.6,NA,keep,Hymenanthera dentata,seed_mass_to_keep
Hymenophyllum australe,NA,3.3,NA,keep,NA,3.3,NA,keep,Hymenophyllum australe,seed_mass_to_keep
Hymenophyllum cupressiforme,NA,3.3,NA,keep,NA,3.3,NA,keep,Hymenophyllum cupressiforme,seed_mass_to_keep
Hymenophyllum darwinii,NA,3.3,NA,keep,NA,3.3,NA,keep,Hymenophyllum rarum,seed_mass_to_keep
Hymenophyllum flabellatum,NA,3.3,NA,keep,NA,3.3,NA,keep,Hymenophyllum flabellatum,seed_mass_to_keep
Hymenophyllum peltatum,NA,3.3,NA,keep,NA,3.3,NA,keep,Hymenophyllum peltatum,seed_mass_to_keep
Hypericum gramineum,0.03,0.03,NA,omit,0.03,0.03,NA,omit,Hypericum gramineum,NA
Hypericum japonicum,0.05,0.03,NA,keep,0.03,0.03,NA,omit,Hypericum japonicum,seed_mass_to_keep
Hypolaena fastigiata,5.47,4.42,NA,keep,5.47,4.42,NA,keep,Hypolaena fastigiata,seed_mass_to_keep
Hypolepis rugosula,NA,3.3,NA,keep,NA,3.3,NA,keep,Hypolepis rugosula,seed_mass_to_keep
Hypolepis villoso-viscida,NA,3.3,NA,keep,NA,3.3,NA,keep,Hypolepis amaurorachis,seed_mass_to_keep
Hypoxis glabella,NA,0.16,NA,keep,NA,0.16,NA,keep,Hypoxis glabella,seed_mass_to_keep
Hypoxis hygrometrica,NA,0.16,NA,keep,NA,0.16,NA,keep,Hypoxis hygrometrica,seed_mass_to_keep
Hypoxis vaginata,NA,0.16,0.26,keep,NA,0.16,0.26,keep,Hypoxis vaginata,seed_mass_to_keep
Indigofera australis,6.14,5.38,NA,keep,4.98,5.38,NA,keep,Indigofera australis,seed_mass_to_keep
Isoetes gunnii,NA,3.3,NA,keep,NA,3.3,NA,keep,Isoetes gunnii,seed_mass_to_keep
Isoetopsis graminifolia,0.62,0.62,NA,omit,0.51,0.62,NA,keep,Isoetopsis graminifolia,seed_mass_to_keep
Isolepis alpina,0.1,0.1,NA,omit,0.08,0.1,NA,keep,Isolepis alpina,seed_mass_to_keep
Isolepis aucklandica,0.14,0.14,NA,omit,0.14,0.14,NA,omit,Isolepis aucklandica,NA
Isolepis cernua,0.21,0.15,0.11,keep,0.16,0.15,0.11,keep,Isolepis cernua,seed_mass_to_keep
Isolepis cernua var. platycarpa,NA,0.15,NA,keep,NA,0.15,NA,keep,Isolepis platycarpa,seed_mass_to_keep
Isolepis crassiuscula,0.31,0.21,NA,keep,0.25,0.21,NA,keep,Isolepis crassiuscula,seed_mass_to_keep
Isolepis fluitans,1.93,0.13,NA,keep,0.62,0.13,NA,keep,Isolepis fluitans,seed_mass_to_keep
Isolepis hookeriana,NA,0.15,NA,keep,NA,0.15,NA,keep,Isolepis hookeriana,seed_mass_to_keep
Isolepis inundata,0.07,0.08,NA,keep,0.07,0.08,NA,keep,Isolepis inundata,seed_mass_to_keep
Isolepis marginata,0.27,0.23,NA,keep,0.25,0.23,NA,keep,Isolepis marginata,seed_mass_to_keep
Isolepis montivaga,0.2,0.2,NA,omit,0.2,0.2,NA,omit,Isolepis montivaga,NA
Isolepis subtilissima,NA,0.15,NA,keep,NA,0.15,NA,keep,Isolepis subtilissima,seed_mass_to_keep
Isophysis tasmanica,NA,0.66,NA,keep,NA,0.66,NA,keep,Isophysis tasmanica,seed_mass_to_keep
Isopogon ceratophyllus,6.56,2.36,NA,keep,4.46,2.36,NA,keep,Isopogon ceratophyllus,seed_mass_to_keep
Isotoma fluviatilis,0.04,0.04,NA,omit,0.04,0.04,NA,omit,Isotoma fluviatilis,NA
Juncus amabilis,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus amabilis,NA
Juncus antarcticus,0.04,0.04,NA,omit,0.04,0.04,NA,omit,Juncus antarcticus,NA
Juncus astreptus,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus astreptus,NA
Juncus australis,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus australis,NA
Juncus bassianus,0.02,0.02,NA,omit,0.02,0.02,NA,omit,Juncus bassianus,NA
Juncus bufonius,0.14,0.04,NA,keep,0.02,0.04,NA,keep,Juncus bufonius,seed_mass_to_keep
Juncus caespiticius,0.03,0.03,NA,omit,0.03,0.03,NA,omit,Juncus caespiticius,NA
Juncus curtisiae,0.03,0.02,NA,keep,0.03,0.02,NA,keep,Juncus curtisiae,seed_mass_to_keep
Juncus falcatus,0.04,0.03,NA,keep,0.02,0.03,NA,keep,Juncus falcatus,seed_mass_to_keep
Juncus filicaulis,NA,0.02,NA,keep,NA,0.02,NA,keep,Juncus filicaulis,seed_mass_to_keep
Juncus gregiflorus,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus gregiflorus,NA
Juncus holoschoenus,0.02,0.01,NA,keep,0.02,0.01,NA,keep,Juncus holoschoenus,seed_mass_to_keep
Juncus kraussii,0.04,0.04,NA,omit,0.04,0.04,NA,omit,Juncus kraussii,NA
Juncus pallidus,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus pallidus,NA
Juncus pauciflorus,0.03,0.03,NA,omit,0.03,0.03,NA,omit,Juncus pauciflorus,NA
Juncus planifolius,0.02,0.02,NA,omit,0.02,0.02,NA,omit,Juncus planifolius,NA
Juncus procerus,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus procerus,NA
Juncus ratkowskyanus,NA,0.02,NA,keep,NA,0.02,NA,keep,Juncus ratkowskyanus,seed_mass_to_keep
Juncus revolutus,NA,0.02,NA,keep,NA,0.02,NA,keep,Juncus revolutus,seed_mass_to_keep
Juncus sandwithii,0.03,0.02,NA,keep,0.03,0.02,NA,keep,Juncus sandwithii,seed_mass_to_keep
Juncus sarophorus,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus sarophorus,NA
Juncus subsecundus,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus subsecundus,NA
Juncus vaginatus,0.01,0.01,NA,omit,0.01,0.01,NA,omit,Juncus vaginatus,NA
Kennedia prostrata,29.7,17.64,NA,keep,19.11,17.64,NA,keep,Kennedia prostrata,seed_mass_to_keep
Kunzea ambigua,0.03,0.74,NA,keep,0.03,0.74,NA,keep,Kunzea ambigua,seed_mass_to_keep
Lagarostrobos franklinii,NA,1.78,NA,keep,NA,1.78,NA,keep,Lagarostrobos franklinii,seed_mass_to_keep
Lagenophora huegelii,0.79,0.4,NA,keep,0.79,0.4,NA,keep,Lagenifera huegelii,seed_mass_to_keep
Lagenophora lanata,0.36,0.4,NA,keep,0.33,0.4,NA,keep,Lagenifera gracilis,seed_mass_to_keep
Lagenophora stipitata,0.64,0.4,NA,keep,0.56,0.4,NA,keep,Lagenifera stipitata,seed_mass_to_keep
Lagenophora stipitata,0.64,0.4,NA,keep,0.56,0.4,NA,keep,Lagenophora stipitata,seed_mass_to_keep
Laphangium luteoalbum,NA,0.02,NA,keep,NA,0.02,NA,keep,Pseudognaphalium luteoalbum,seed_mass_to_keep
Lasiopetalum macrophyllum,2.56,1.51,NA,keep,2.22,1.51,NA,keep,Lasiopetalum macrophyllum,seed_mass_to_keep
Lasiopetalum micranthum,1.72,1.36,NA,keep,1.54,1.36,NA,keep,Lasiopetalum micranthum,seed_mass_to_keep
Lastreopsis acuminata,NA,3.3,NA,keep,NA,3.3,NA,keep,Lastreopsis acuminata,seed_mass_to_keep
Laxmannia orientalis,0.47,0.34,NA,keep,0.47,0.34,NA,keep,Laxmannia orientalis,seed_mass_to_keep
Lemna disperma,NA,3.3,NA,keep,NA,3.3,NA,keep,Lemna disperma,seed_mass_to_keep
Leontodon taraxacoides,NA,0.4,NA,keep,NA,0.4,NA,keep,Leontodon taraxacoides subsp taraxacoides,seed_mass_to_keep
Lepidium africanum,0.3,0.27,NA,keep,0.28,0.27,NA,keep,Lepidium hyssopifolium,seed_mass_to_keep
Lepidium pseudotasmanicum,0.21,0.21,NA,omit,0.21,0.21,NA,omit,Lepidium pseudotasmanicum,NA
Lepidosperma concavum,5.59,4.93,NA,keep,5.59,4.93,NA,keep,Lepidosperma concavum,seed_mass_to_keep
Lepidosperma curtisiae,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma curtisiae,seed_mass_to_keep
Lepidosperma elatius,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma elatius,seed_mass_to_keep
Lepidosperma ensiforme,NA,1.65,NA,keep,NA,1.65,NA,keep,Lepidosperma ensiforme,seed_mass_to_keep
Lepidosperma filiforme,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma filiforme,seed_mass_to_keep
Lepidosperma gladiatum,5.44,3.09,NA,keep,5.44,3.09,NA,keep,Lepidosperma gladiatum,seed_mass_to_keep
Lepidosperma globosum,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma globosum,seed_mass_to_keep
Lepidosperma gunnii,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma gunnii,seed_mass_to_keep
Lepidosperma inops,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma inops,seed_mass_to_keep
Lepidosperma laterale,4.57,2.7,NA,keep,3.38,2.7,NA,keep,Lepidosperma laterale,seed_mass_to_keep
Lepidosperma longitudinale,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma longitudinale,seed_mass_to_keep
Lepidosperma neesii,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma neesii,seed_mass_to_keep
Lepidosperma oldfieldii,NA,3.09,NA,keep,NA,3.09,NA,keep,Lepidosperma oldfieldii,seed_mass_to_keep
Lepilaena cylindrocarpa,0.17,0.17,NA,omit,0.17,0.17,NA,omit,Lepilaena cylindrocarpa,NA
Leptecophylla divaricata,NA,23.93,NA,keep,NA,23.93,NA,keep,Leptecophylla divaricata,seed_mass_to_keep
Leptecophylla juniperina,NA,24.45,NA,keep,NA,24.45,NA,keep,Leptecophylla juniperina,seed_mass_to_keep
Leptecophylla pendulosa,NA,54,NA,keep,NA,54,NA,keep,Cyathodes pendulosa,seed_mass_to_keep
Leptinella filicula,0.29,0.4,NA,keep,0.25,0.29,NA,keep,Cotula filicula,seed_mass_to_keep
Leptinella filicula,0.29,0.4,NA,keep,0.25,0.29,NA,keep,Leptinella filicula,seed_mass_to_keep
Leptinella longipes,NA,0.4,NA,keep,NA,0.4,NA,keep,Leptinella longipes,seed_mass_to_keep
Leptinella reptans,0.28,0.4,NA,keep,0.27,0.29,NA,keep,Cotula reptans,seed_mass_to_keep
Leptinella reptans,0.28,0.4,NA,keep,0.27,0.29,NA,keep,Leptinella reptans,seed_mass_to_keep
Leptocarpus tenax,0.27,0.34,NA,keep,0.27,0.34,NA,keep,Leptocarpus tenax,seed_mass_to_keep
Leptoceras menziesii,NA,0.01,NA,keep,NA,0.01,NA,keep,Leptoceras menziesii,seed_mass_to_keep
Leptomeria drupacea,4.47,4.47,NA,omit,4.47,4.47,NA,omit,Leptomeria drupacea,NA
Leptomeria glomerata,NA,4.47,NA,keep,NA,4.47,NA,keep,Leptomeria glomerata,seed_mass_to_keep
Leptorhynchos nitidulus,NA,0.12,NA,keep,NA,0.12,NA,keep,Leptorhynchos linearis,seed_mass_to_keep
Leptorhynchos squamatus,0.14,0.12,NA,keep,0.1,0.12,NA,keep,Leptorhynchos squamatus,seed_mass_to_keep
Leptospermum glaucescens,0.32,0.32,NA,omit,0.15,0.32,NA,keep,Leptospermum glaucescens,seed_mass_to_keep
Leptospermum grandiflorum,0.39,0.34,NA,keep,0.36,0.34,NA,keep,Leptospermum grandiflorum,seed_mass_to_keep
Leptospermum laevigatum,2.85,0.18,NA,keep,1.12,0.18,NA,keep,Leptospermum laevigatum,seed_mass_to_keep
Leptospermum lanigerum,0.21,0.2,NA,keep,0.14,0.2,NA,keep,Leptospermum lanigerum,seed_mass_to_keep
Leptospermum nitidum,0.1,0.09,NA,keep,0.09,0.09,NA,omit,Leptospermum nitidum,seed_mass_to_keep
Leptospermum riparium,0.15,0.15,NA,omit,0.15,0.15,NA,omit,Leptospermum riparium,NA
Leptospermum rupestre,0.08,0.08,NA,omit,0.08,0.08,NA,omit,Leptospermum rupestre,NA
Leptospermum scoparium,0.5,0.08,NA,keep,0.15,0.08,NA,keep,Leptospermum scoparium,seed_mass_to_keep
Leucophyta brownii,0.22,0.12,NA,keep,0.17,0.12,NA,keep,Leucophyta brownii,seed_mass_to_keep
Leucopogon australis,NA,9.75,8.12,keep,NA,9.75,8.12,keep,Leucopogon australis,seed_mass_to_keep
Leucopogon collinus,NA,6.66,NA,keep,NA,6.66,NA,keep,Leucopogon collinus,seed_mass_to_keep
Leucopogon ericoides,NA,6.66,4.06,keep,NA,6.66,4.06,keep,Leucopogon ericoides,seed_mass_to_keep
Leucopogon milliganii,NA,6.66,NA,keep,NA,6.66,NA,keep,Leucopogon milliganii,seed_mass_to_keep
Leucopogon montanus,NA,6.66,NA,keep,NA,6.66,NA,keep,Leucopogon montanus,seed_mass_to_keep
Leucopogon parviflorus,NA,3.57,8.23,keep,NA,3.57,8.23,keep,Leucopogon parviflorus,seed_mass_to_keep
Leucopogon piliferus,NA,6.66,NA,keep,NA,6.66,NA,keep,Leucopogon pilifer,seed_mass_to_keep
Leucopogon stuartii,NA,6.66,NA,keep,NA,6.66,NA,keep,Leucopogon stuartii,seed_mass_to_keep
Leucopogon virgatus,NA,6.66,NA,keep,NA,6.66,NA,keep,Leucopogon virgatus,seed_mass_to_keep
Libertia pulchella,1.15,0.68,NA,keep,0.92,0.68,NA,keep,Libertia pulchella,seed_mass_to_keep
Lilaeopsis polyantha,NA,1.26,NA,keep,NA,1.26,NA,keep,Lilaeopsis polyantha,seed_mass_to_keep
Lindsaea linearis,NA,3.3,NA,keep,NA,3.3,NA,keep,Lindsaea linearis,seed_mass_to_keep
Linum albidum,0.75,0.75,NA,omit,0.75,0.75,NA,omit,Linum albidum,NA
Linum marginale,1.46,0.75,NA,keep,1.23,0.75,NA,keep,Linum marginale,seed_mass_to_keep
Liparophyllum exiguum,NA,0.43,NA,keep,NA,0.43,NA,keep,Nymphoides exigua,seed_mass_to_keep
