species_name,seed_mass_max_Kew_2019_1,seed_mass_max_Mokany_2015,seed_mass_max_RBGK_2014,seed_mass_to_keep_max,seed_mass_mean_Kew_2019_1,seed_mass_mean_Mokany_2015,seed_mass_mean_RBGK_2014,seed_mass_to_keep_mean,original_name,seed_mass_unique
Arthropodium minus,0.97,0.88,NA,keep,0.93,0.88,NA,keep,Arthropodium minus,seed_mass_to_keep
Asperula conferta,2.95,2.21,NA,keep,2.58,2.21,NA,keep,Asperula conferta,seed_mass_to_keep
Asperula gunnii,2.14,1.5,NA,keep,2.14,1.5,NA,keep,Asperula gunnii,seed_mass_to_keep
Asperula pusilla,0.79,0.79,NA,omit,0.79,0.79,NA,omit,Asperula pusilla,NA
Asplenium appendiculatum,NA,3.3,NA,keep,NA,3.3,NA,keep,Asplenium appendiculatum,seed_mass_to_keep
Asplenium bulbiferum,NA,3.3,NA,keep,NA,3.3,NA,keep,Asplenium bulbiferum,seed_mass_to_keep
Asplenium flabellifolium,NA,3.3,NA,keep,NA,3.3,NA,keep,Asplenium flabellifolium,seed_mass_to_keep
Asplenium flaccidum,NA,3.3,NA,keep,NA,3.3,NA,keep,Asplenium flaccidum,seed_mass_to_keep
Asplenium obtusatum,NA,3.3,NA,keep,NA,3.3,NA,keep,Asplenium obtusatum,seed_mass_to_keep
Asplenium terrestre,NA,3.3,NA,keep,NA,3.3,NA,keep,Asplenium terrestre,seed_mass_to_keep
Asplenium trichomanes,NA,3.3,NA,keep,NA,3.3,NA,keep,Asplenium trichomanes,seed_mass_to_keep
Astelia alpina,1.16,1.16,NA,omit,1.14,1.16,NA,keep,Astelia alpina,seed_mass_to_keep
Asterotrichion discolor,NA,1.43,NA,keep,NA,1.43,NA,keep,Asterotrichion discolor,seed_mass_to_keep
Astroloma humifusum,NA,14.15,61.56,keep,NA,14.15,61.56,keep,Astroloma humifusum,seed_mass_to_keep
Astroloma pinifolium,NA,14.15,NA,keep,NA,14.15,NA,keep,Astroloma pinifolium,seed_mass_to_keep
Atherosperma moschatum,1.78,3.3,NA,keep,1.58,3.3,NA,keep,Atherosperma moschatum subsp moschatum,seed_mass_to_keep
Athrotaxis cupressoides,2.59,1.89,NA,keep,1.7,1.89,NA,keep,Athrotaxis cupressoides,seed_mass_to_keep
Athrotaxis laxifolia,NA,1.6,3.62,keep,NA,1.6,3.62,keep,Athrotaxis laxifolia,seed_mass_to_keep
Athrotaxis selaginoides,1.28,1.3,NA,keep,1.11,1.3,NA,keep,Athrotaxis selaginoides,seed_mass_to_keep
Atriplex cinerea,9.16,11.96,NA,keep,7.74,11.96,NA,keep,Atriplex cinerea,seed_mass_to_keep
Atriplex paludosa,2.55,11.96,NA,keep,2.55,11.96,NA,keep,Atriplex paludosa,seed_mass_to_keep
Atriplex prostrata,NA,11.96,NA,keep,NA,11.96,NA,keep,Atriplex prostrata,seed_mass_to_keep
Australina pusilla,NA,0.25,NA,keep,NA,0.25,NA,keep,Australina pusilla,seed_mass_to_keep
Austrofestuca littoralis,3.56,1.21,NA,keep,3.56,1.21,NA,keep,Austrofestuca littoralis,seed_mass_to_keep
Austrolycopodium fastigiatum,NA,3.3,NA,keep,NA,3.3,NA,keep,Lycopodium fastigiatum,seed_mass_to_keep
Azolla filiculoides,NA,3.3,NA,keep,NA,3.3,NA,keep,Azolla filiculoides,seed_mass_to_keep
Baeckea gunniana,1.38,0.11,NA,keep,0.75,0.11,NA,keep,Baeckea gunniana,seed_mass_to_keep
Baeckea leptocaulis,0.11,0.12,NA,keep,0.11,0.12,NA,keep,Baeckea leptocaulis,seed_mass_to_keep
Balantium antarcticum,NA,3.3,NA,keep,NA,3.3,NA,keep,Dicksonia antarctica,seed_mass_to_keep
Baloskion australe,NA,1.46,NA,keep,NA,0.85,NA,keep,Baloskion australe,seed_mass_to_keep
Baloskion australe,NA,1.46,NA,keep,NA,0.85,NA,keep,Restio australis,seed_mass_to_keep
Baloskion tetraphyllum,0.17,1.46,NA,keep,0.17,0.85,NA,keep,Baloskion tetraphyllum,seed_mass_to_keep
Baloskion tetraphyllum,0.17,1.46,NA,keep,0.17,0.85,NA,keep,Restio tetraphyllus,seed_mass_to_keep
Banksia marginata,9.13,6.15,NA,keep,7.29,6.15,NA,keep,Banksia marginata,seed_mass_to_keep
Bauera rubioides,0.65,1.07,NA,keep,0.65,1.07,NA,keep,Bauera rubioides,seed_mass_to_keep
Bedfordia linearis,NA,0.83,0.83,omit,NA,0.83,0.83,omit,Bedfordia linearis,NA
Bedfordia salicina,0.54,0.54,NA,omit,0.54,0.54,NA,omit,Bedfordia salicina,NA
Bellendena montana,53.13,13.48,NA,keep,24.8,13.48,NA,keep,Bellendena montana,seed_mass_to_keep
Beyeria lechenaultii,20.78,13.36,NA,keep,13.39,13.36,NA,keep,Beyeria lechenaultii,seed_mass_to_keep
Beyeria viscosa,32.14,32.14,NA,omit,32.14,32.14,NA,omit,Beyeria viscosa,NA
Billardiera longiflora,2.31,2.61,NA,keep,1.8,2.61,NA,keep,Billardiera longiflora,seed_mass_to_keep
Billardiera mutabilis,1.64,2.61,NA,keep,1.64,2.61,NA,keep,Billardiera mutabilis,seed_mass_to_keep
Billardiera nesophila,1.58,2.61,NA,keep,1.58,2.61,NA,keep,Billardiera nesophila,seed_mass_to_keep
Billardiera scandens,1.1,2.61,NA,keep,1.09,2.61,NA,keep,Billardiera scandens,seed_mass_to_keep
Blandfordia punicea,1.45,1.45,NA,omit,1.45,1.45,NA,omit,Blandfordia punicea,NA
Blechnum chambersii,NA,3.3,NA,keep,NA,3.3,NA,keep,Blechnum chambersii,seed_mass_to_keep
Blechnum fluviatile,NA,3.3,NA,keep,NA,3.3,NA,keep,Blechnum fluviatile,seed_mass_to_keep
Blechnum medium,NA,3.3,NA,keep,NA,3.3,NA,keep,Doodia media,seed_mass_to_keep
Blechnum minus,NA,3.3,NA,keep,NA,3.3,NA,keep,Blechnum minus,seed_mass_to_keep
Blechnum nudum,NA,3.3,NA,keep,NA,3.3,NA,keep,Blechnum nudum,seed_mass_to_keep
Blechnum patersonii,NA,3.3,NA,keep,NA,3.3,NA,keep,Blechnum patersonii,seed_mass_to_keep
Blechnum penna-marina,NA,3.3,NA,keep,NA,3.3,NA,keep,Blechnum penna-marina,seed_mass_to_keep
Blechnum wattsii,NA,3.3,NA,keep,NA,3.3,NA,keep,Blechnum wattsii,seed_mass_to_keep
Bolboschoenus caldwellii,4.17,4.17,NA,omit,3.52,4.17,NA,keep,Bolboschoenus caldwellii,seed_mass_to_keep
Boronia anemonifolia,2.07,0.7,NA,keep,2.07,0.7,NA,keep,Boronia anemonifolia,seed_mass_to_keep
Boronia citriodora,1.8,0.72,NA,keep,1.8,0.72,NA,keep,Boronia citriodora,seed_mass_to_keep
Boronia gunnii,NA,0.72,NA,keep,NA,0.72,NA,keep,Boronia gunnii,seed_mass_to_keep
Boronia nana,NA,0.72,NA,keep,NA,0.72,NA,keep,Boronia nana,seed_mass_to_keep
Boronia parviflora,1.05,0.52,NA,keep,0.74,0.52,NA,keep,Boronia parviflora,seed_mass_to_keep
Boronia pilosa,0.97,0.72,NA,keep,0.74,0.72,NA,keep,Boronia pilosa,seed_mass_to_keep
Boronia rhomboidea,0.93,0.93,NA,omit,0.93,0.93,NA,omit,Boronia rhomboidea,NA
Bossiaea cinerea,13.75,13.74,NA,keep,11.22,13.74,NA,keep,Bossiaea cinerea,seed_mass_to_keep
Bossiaea cordigera,2.34,2.34,NA,omit,2.34,2.34,NA,omit,Bossiaea cordigera,NA
Bossiaea prostrata,2.89,2.89,NA,omit,2.89,2.89,NA,omit,Bossiaea prostrata,NA
Bossiaea riparia,3.31,1.62,NA,keep,2.47,1.62,NA,keep,Bossiaea riparia,seed_mass_to_keep
Brachyloma ciliatum,NA,1.04,NA,keep,NA,1.04,NA,keep,Brachyloma ciliatum,seed_mass_to_keep
Brachyscome aculeata,0.4,0.4,NA,omit,0.35,0.4,NA,keep,Brachyscome aculeata,seed_mass_to_keep
Brachyscome ciliaris,0.27,0.33,NA,keep,0.14,0.33,NA,keep,Brachyscome ciliaris var ciliaris,seed_mass_to_keep
Brachyscome decipiens,0.57,0.33,NA,keep,0.57,0.33,NA,keep,Brachyscome decipiens,seed_mass_to_keep
Brachyscome sieberi var. gunnii,NA,0.33,NA,keep,NA,0.33,NA,keep,Brachyscome sieberi var gunnii,seed_mass_to_keep
Brachyscome spathulata,0.51,0.33,NA,keep,0.49,0.33,NA,keep,Brachyscome spathulata,seed_mass_to_keep
Brachyscome tenuiscapa,0.22,0.22,NA,omit,0.22,0.22,NA,omit,Brachyscome tenuiscapa,NA
