error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Kew_2019_1_03574,Mokany_2015,Monotoca glauca,NA,NA,Mokany_2015_0781,seed_mass,1.4792,mg,NA,expert_mean,NA,Monotoca glauca
Kew_2019_1_03577,Mokany_2015,Pentachondra involucrata,NA,NA,Mokany_2015_0870,seed_mass,1.0312,mg,NA,expert_mean,NA,Pentachondra involucrata
Kew_2019_1_03583,Mokany_2015,Richea acerosa,NA,NA,Mokany_2015_1015,seed_mass,0.1,mg,NA,expert_mean,NA,Richea acerosa
Kew_2019_1_03587,Mokany_2015,Richea gunnii,NA,NA,Mokany_2015_1018,seed_mass,0.03,mg,NA,expert_mean,NA,Richea gunnii
Kew_2019_1_03616,Mokany_2015,Trochocarpa thymifolia,NA,NA,Mokany_2015_1166,seed_mass,2.8816,mg,NA,expert_mean,NA,Trochocarpa thymifolia
Kew_2019_1_03647,Mokany_2015,Anopterus glandulosus,NA,NA,Mokany_2015_0059,seed_mass,0.83,mg,NA,expert_mean,NA,Anopterus glandulosus
Kew_2019_1_03665,Mokany_2015,Beyeria lechenaultii,NA,NA,Mokany_2015_0146,seed_mass,13.3616,mg,NA,expert_mean,NA,Beyeria lechenaultii
Kew_2019_1_03669,Mokany_2015,Beyeria viscosa,NA,NA,Mokany_2015_0147,seed_mass,32.1416,mg,NA,expert_mean,NA,Beyeria viscosa
Kew_2019_1_03724,Mokany_2015,Ricinocarpos pinifolius,NA,NA,Mokany_2015_1024,seed_mass,43.2256,mg,NA,expert_mean,NA,Ricinocarpos pinifolius
Kew_2019_1_03771,Mokany_2015,Pelargonium inodorum,NA,NA,Mokany_2015_0868,seed_mass,0.45,mg,NA,expert_mean,NA,Pelargonium inodorum
Kew_2019_1_03832,Mokany_2015,Goodenia humilis,NA,NA,Mokany_2015_0539,seed_mass,0.0516,mg,NA,expert_mean,NA,Goodenia humilis
Kew_2019_1_03836,Mokany_2015,Goodenia lanata,NA,NA,Mokany_2015_0540,seed_mass,1.8648,mg,NA,expert_mean,NA,Goodenia lanata
Kew_2019_1_03928,Mokany_2015,Gunnera cordifolia,NA,NA,Mokany_2015_0549,seed_mass,3.5328,mg,NA,expert_mean,NA,Gunnera cordifolia
Kew_2019_1_03986,Mokany_2015,Haemodorum distichophyllum,NA,NA,Mokany_2015_0552,seed_mass,2.23,mg,NA,expert_mean,NA,Haemodorum distichophyllum
Kew_2019_1_04023,Mokany_2015,Myriophyllum integrifolium,NA,NA,Mokany_2015_0790,seed_mass,0.05,mg,NA,expert_mean,NA,Myriophyllum integrifolium
Kew_2019_1_04042,Mokany_2015,Hypericum gramineum,NA,NA,Mokany_2015_0607,seed_mass,0.032,mg,NA,expert_mean,NA,Hypericum gramineum
Kew_2019_1_04056,Mokany_2015,Libertia pulchella,NA,NA,Mokany_2015_0722,seed_mass,0.684,mg,NA,expert_mean,NA,Libertia pulchella
Kew_2019_1_04073,Mokany_2015,Juncus amabilis,NA,NA,Mokany_2015_0633,seed_mass,0.008,mg,NA,expert_mean,NA,Juncus amabilis
Kew_2019_1_04076,Mokany_2015,Juncus antarcticus,NA,NA,Mokany_2015_0634,seed_mass,0.04,mg,NA,expert_mean,NA,Juncus antarcticus
Kew_2019_1_04078,Mokany_2015,Juncus astreptus,NA,NA,Mokany_2015_0635,seed_mass,0.013,mg,NA,expert_mean,NA,Juncus astreptus
Kew_2019_1_04102,Mokany_2015,Juncus curtisiae,NA,NA,Mokany_2015_0640,seed_mass,0.0176,mg,NA,expert_mean,NA,Juncus curtisiae
