Taxon name,Year,Month start,Month end,Notes,canonical_name
Senecio pinnatifolius A.Rich. var. pinnatifolius,2021,June,NA,NA,Senecio pinnatifolius var. pinnatifolius
Sigesbeckia orientalis L.,2020,October,NA,NA,Sigesbeckia orientalis
Sigesbeckia orientalis L.,2021,April,NA,NA,Sigesbeckia orientalis
Sigesbeckia orientalis L.,2021,November,NA,NA,Sigesbeckia orientalis
Sigesbeckia orientalis L.,2022,October,NA,NA,Sigesbeckia orientalis
Solenogyne bellioides Cass.,2020/2021,November,May,NA,Solenogyne bellioides
Solenogyne dominii L.G.Adams,2021,November,NA,NA,Solenogyne dominii
Sonchus oleraceus L.,2020,September,November,NA,Sonchus oleraceus
Sonchus oleraceus L.,2021,January,NA,NA,Sonchus oleraceus
Sonchus oleraceus L.,2021,June,October,NA,Sonchus oleraceus
Symphyotrichum subulatum (Michx.) G.L.Nesom,2021,March,NA,NA,Symphyotrichum subulatum
Taraxacum officinale F.H.Wigg.,2020,September,November,NA,Taraxacum officinale
Taraxacum officinale F.H.Wigg.,2021,June,July,NA,Taraxacum officinale
Triptilodiscus pygmaeus Turcz.,2022,October,November,NA,Triptilodiscus pygmaeus
Urospermum picroides (L.) Scop. ex F.W.Schmidt,2021,September,November,NA,Urospermum picroides
Urospermum picroides (L.) Scop. ex F.W.Schmidt,2022,October,NA,NA,Urospermum picroides
Vittadinia sulcata N.T.Burb.,2020,November,NA,NA,Vittadinia sulcata
Brassica fruticulosa Cirillo,2020,April,NA,NA,Brassica fruticulosa
Brassica fruticulosa Cirillo,2020/2021,September,January,NA,Brassica fruticulosa
Brassica fruticulosa Cirillo,2021,May,July,NA,Brassica fruticulosa
Brassica oleracea L.,2020,September,October,NA,Brassica oleracea
Brassica oleracea L.,2021,September,October,NA,Brassica oleracea
Brassica x napus L.,2021,August,NA,NA,Brassica x napus
Capsella bursa-pastoris (L.) Medik.,2020,September,October,NA,Capsella bursa-pastoris
Capsella bursa-pastoris (L.) Medik.,2021,January,NA,NA,Capsella bursa-pastoris
Capsella bursa-pastoris (L.) Medik.,2021,June,September,NA,Capsella bursa-pastoris
Capsella bursa-pastoris (L.) Medik.,2022,October,NA,NA,Capsella bursa-pastoris
Cardamine hirsuta L.,2020,September,NA,NA,Cardamine hirsuta
Cardamine hirsuta L.,2021,May,NA,NA,Cardamine hirsuta
Cardamine hirsuta L.,2021,August,NA,NA,Cardamine hirsuta
Cardamine paucijuga Turcz.,2020,September,NA,NA,Cardamine paucijuga
Raphanus raphanistrum L.,2021,November,NA,NA,Raphanus raphanistrum
Lobelia anceps L.f.,2021,January,NA,NA,Lobelia anceps
Lobelia purpurascens R.Br.,2020,November,NA,NA,Lobelia purpurascens
Lobelia purpurascens R.Br.,2021,November,NA,NA,Lobelia purpurascens
Lobelia purpurascens R.Br.,2022,October,NA,NA,Lobelia purpurascens
Canna indica L.,2020,April,NA,NA,Canna indica
Canna indica L.,2020/2021,September,January,NA,Canna indica
Canna indica L.,2022,October,NA,NA,Canna indica
Cerastium glomeratum Thuill.,2020,September,NA,NA,Cerastium glomeratum
Paronychia brasiliana DC.,2020,September,NA,NA,Paronychia brasiliana
Petrorhagia dubia (Raf.) G.Lopez & Romo,2020,September,NA,NA,Petrorhagia dubia
Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood,2020,September,NA,NA,Petrorhagia nanteuilii
Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood,2020,December,NA,NA,Petrorhagia nanteuilii
Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood,2021,September,NA,NA,Petrorhagia nanteuilii
Silene gallica L. var. gallica,2020,September,NA,NA,Silene gallica var. gallica
Silene gallica L. var. gallica,2021,October,NA,NA,Silene gallica var. gallica
Stellaria media (L.) Vill.,2020,September,NA,NA,Stellaria media
Stellaria media (L.) Vill.,2021,January,NA,NA,Stellaria media
Stellaria media (L.) Vill.,2022,October,NA,NA,Stellaria media
Stackhousia muricata Lindl.,2021,November,December,NA,Stackhousia muricata
Tradescantia fluminensis Vell.,2020,September,October,NA,Tradescantia fluminensis
Tradescantia fluminensis Vell.,2021,September,NA,NA,Tradescantia fluminensis
Tradescantia fluminensis Vell.,2022,September,October,NA,Tradescantia fluminensis
Tradescantia fluminensis Vell.,2023,January,NA,NA,Tradescantia fluminensis
Dichondra repens J.R.Forst. & G.Forst.,2020,September,NA,NA,Dichondra repens
Dichondra repens J.R.Forst. & G.Forst.,2021,September,NA,NA,Dichondra repens
Drosera lunata Buch.-Ham. ex DC.,2022,October,NA,NA,Drosera lunata
Euphorbia maculata L.,2021,January,February,NA,Euphorbia maculata
Euphorbia prostrata Aiton,2021,April,NA,NA,Euphorbia prostrata
Euphorbia serpens Kunth,2020,September,NA,NA,Euphorbia serpens
Euphorbia serpens Kunth,2021,January,NA,NA,Euphorbia serpens
Lotus angustissimus L.,2020,September,NA,NA,Lotus angustissimus
Lotus angustissimus L.,2021,September,October,NA,Lotus angustissimus
Lotus subbiflorus Lag.,2020,September,November,NA,Lotus subbiflorus
Medicago lupulina L.,2020,November,NA,NA,Medicago lupulina
Medicago polymorpha L.,2020,September,November,NA,Medicago polymorpha
Trifolium campestre Schreb.,2020,November,NA,NA,Trifolium campestre
Trifolium dubium Sibth.,2020,September,November,NA,Trifolium dubium
Trifolium glomeratum L.,2020,September,NA,NA,Trifolium glomeratum
Trifolium repens L.,2020,September,NA,NA,Trifolium repens
Vicia hirsuta (L.) Gray,2020,September,NA,NA,Vicia hirsuta
Vicia sativa L.,2020,September,October,NA,Vicia sativa
Vicia sativa L.,2021,October,NA,NA,Vicia sativa
Vicia sativa L.,2022,September,NA,NA,Vicia sativa
Vicia tetrasperma (L.) Schreb.,2021,February,NA,NA,Vicia tetrasperma
Zornia dyctiocarpa DC.,2021,February,NA,NA,Zornia dyctiocarpa
Zornia dyctiocarpa DC.,2021/2022,November,April,NA,Zornia dyctiocarpa
Zornia dyctiocarpa DC.,2022,October,NA,NA,Zornia dyctiocarpa
Centaurium erythraea Rafn,2020,September,November,NA,Centaurium erythraea
Centaurium erythraea Rafn,2021,January,NA,NA,Centaurium erythraea
Centaurium erythraea Rafn,2021,October,NA,NA,Centaurium erythraea
Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch,2020,October,November,NA,Centaurium tenuiflorum
Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch,2021,January,NA,NA,Centaurium tenuiflorum
Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch,2022,December,NA,NA,Centaurium tenuiflorum
Geranium solanderi Carolin var. solanderi,2020,November,NA,NA,Geranium solanderi var. solanderi
Geranium solanderi Carolin var. solanderi,2021,September,NA,NA,Geranium solanderi var. solanderi
Pelargonium inodorum Willd.,2020,September,October,NA,Pelargonium inodorum
Pelargonium inodorum Willd.,2022,October,NA,NA,Pelargonium inodorum
Goodenia hederacea Sm. subsp. hederacea,2020/2021,September,June,NA,Goodenia hederacea subsp. hederacea
Goodenia hederacea Sm. subsp. hederacea,2021,October,November,NA,Goodenia hederacea subsp. hederacea
Goodenia hederacea Sm. subsp. hederacea,2022,October,NA,NA,Goodenia hederacea subsp. hederacea
Goodenia paniculata Sm.,2020,November,NA,NA,Goodenia paniculata
Goodenia paniculata Sm.,2021,January,NA,NA,Goodenia paniculata
Goodenia paniculata Sm.,2021,November,NA,NA,Goodenia paniculata
Goodenia paniculata Sm.,2022,April,NA,NA,Goodenia paniculata
Gonocarpus humilis Orchard,2022,October,NA,NA,Gonocarpus humilis
Caesia parviflora R.Br.,2020,September,November,NA,Caesia parviflora
Caesia parviflora R.Br.,2021,October,December,NA,Caesia parviflora
Caesia parviflora R.Br.,2022,October,NA,NA,Caesia parviflora
Hypoxis hygrometrica var. villosisepala R.J.F.Hend.,2021,March,April,NA,Hypoxis hygrometrica var. villosisepala
Hypoxis hygrometrica var. villosisepala R.J.F.Hend.,2021,December,NA,NA,Hypoxis hygrometrica var. villosisepala
Hypoxis hygrometrica var. villosisepala R.J.F.Hend.,2022,February,April,NA,Hypoxis hygrometrica var. villosisepala
Crocosmia x crocosmiiflora (Lemoine ex É.Morren) N.E.Br.,2021,January,NA,NA,Crocosmia x crocosmiiflora
Crocosmia x crocosmiiflora (Lemoine ex É.Morren) N.E.Br.,2023,January,NA,NA,Crocosmia x crocosmiiflora
Dietes grandiflora N.E.Br.,2020,September,NA,NA,Dietes grandiflora
Dietes grandiflora N.E.Br.,2021,October,December,NA,Dietes grandiflora
Freesia hybrid,2020,September,NA,NA,Freesia hybrid
Freesia hybrid,2021,August,NA,NA,Freesia hybrid
Freesia hybrid,2022,September,NA,NA,Freesia hybrid
Gladiolus undulatus L.,2020,November,NA,NA,Gladiolus undulatus
Romulea rosea var. australis (Ewart) M.P.de Vos,2020,September,NA,NA,Romulea rosea var. australis
Romulea rosea var. australis (Ewart) M.P.de Vos,2021,August,September,NA,Romulea rosea var. australis
Romulea rosea var. australis (Ewart) M.P.de Vos,2022,September,NA,NA,Romulea rosea var. australis
Sisyrinchium rosulatum E.P.Bicknell,2022,October,NA,NA,Sisyrinchium rosulatum
Watsonia meriana var. bulbillifera (J.W.Mathews & L.Bolus) D.A.Cooke,2021,October,NA,NA,Watsonia meriana var. bulbillifera
Watsonia meriana var. bulbillifera (J.W.Mathews & L.Bolus) D.A.Cooke,2022,October,NA,NA,Watsonia meriana var. bulbillifera
Lamium amplexicaule L.,2020,September,NA,NA,Lamium amplexicaule
Lamium amplexicaule L.,2021,August,October,NA,Lamium amplexicaule
Lamium amplexicaule L.,2022,October,NA,NA,Lamium amplexicaule
Mentha diemenica Spreng.,2021,May,NA,NA,Mentha diemenica
Salvia hispanica L.,2021,August,NA,NA,Salvia hispanica
Scutellaria racemosa Pers.,2020,October,NA,NA,Scutellaria racemosa
Scutellaria racemosa Pers.,2021,January,NA,NA,Scutellaria racemosa
Scutellaria racemosa Pers.,2022,October,NA,NA,Scutellaria racemosa
Stachys arvensis (L.) L.,2020,September,November,NA,Stachys arvensis
Stachys arvensis (L.) L.,2021,June,NA,NA,Stachys arvensis
Linum marginale A.Cunn.,2020/2021,September,February,NA,Linum marginale
Linum marginale A.Cunn.,2021,September,November,NA,Linum marginale
Linum marginale A.Cunn.,2022,September,October,NA,Linum marginale
Linum trigynum L.,2020,September,November,NA,Linum trigynum
Linum trigynum L.,2021,January,NA,NA,Linum trigynum
Linum trigynum L.,2021,October,NA,NA,Linum trigynum
Linum trigynum L.,2022,September,NA,NA,Linum trigynum
Lythrum hyssopifolia L.,2020,October,NA,NA,Lythrum hyssopifolia
Lythrum hyssopifolia L.,2022,October,NA,NA,Lythrum hyssopifolia
Malva nicaeensis All.,2020,November,NA,NA,Malva nicaeensis
Malva nicaeensis All.,2022,October,NA,NA,Malva nicaeensis
Malva parviflora L.,2020,September,NA,NA,Malva parviflora
Malva parviflora L.,2021,January,NA,NA,Malva parviflora
Modiola caroliniana (L.) G.Don,2020,September,NA,NA,Modiola caroliniana
Mirabilis jalapa L.,2021,February,May,NA,Mirabilis jalapa
Epilobium billardiereanum subsp. cinereum (A.Rich.) P.H.Raven & Engelhorn,2020/2021,November,January,NA,Epilobium billardiereanum subsp. cinereum
Epilobium billardiereanum subsp. cinereum (A.Rich.) P.H.Raven & Engelhorn,2021,October,November,NA,Epilobium billardiereanum subsp. cinereum
Epilobium billardiereanum subsp. cinereum (A.Rich.) P.H.Raven & Engelhorn,2023,January,NA,NA,Epilobium billardiereanum subsp. cinereum
Epilobium ciliatum Raf.,2022,October,NA,NA,Epilobium ciliatum
