taxon_name,trait_name,entity_measured,trait_value,units,value_type
Acanthus mollis,fruit_length,capsule,2,cm,maximum
Aciphylla glacialis,fruit_length,fruit,5.5,mm,minimum
Aciphylla glacialis,fruit_length,fruit,10.5,mm,maximum
Aciphylla simplicifolia,fruit_length,fruit,8,mm,minimum
Aciphylla simplicifolia,fruit_length,fruit,10,mm,maximum
Acokanthera oblongifolia,fruit_length,berry,20,mm,minimum
Acokanthera oblongifolia,fruit_length,berry,25,mm,maximum
Actinidia chinensis,fruit_length,berry,4,cm,minimum
Actinidia chinensis,fruit_length,berry,8,cm,maximum
Actinidia chinensis var. deliciosa,fruit_length,berry,4,cm,minimum
Actinidia chinensis var. deliciosa,fruit_length,berry,8,cm,maximum
Actinotus forsythii,fruit_length,fruit,1.9,mm,minimum
Actinotus forsythii,fruit_length,fruit,2.5,mm,maximum
Actinotus gibbonsii,fruit_length,fruit,1,mm,minimum
Actinotus gibbonsii,fruit_length,fruit,1.8,mm,maximum
Actinotus helianthi,fruit_length,fruit,3.2,mm,minimum
Actinotus helianthi,fruit_length,fruit,5,mm,maximum
Actinotus minor,fruit_length,fruit,1.9,mm,minimum
Actinotus minor,fruit_length,fruit,2.9,mm,maximum
Actinotus paddisonii,fruit_length,fruit,1.9,mm,minimum
Actinotus paddisonii,fruit_length,fruit,2.7,mm,maximum
Aerva javanica,fruit_length,fruit,1,mm,minimum
Aerva javanica,fruit_length,fruit,1.5,mm,maximum
Agave americana,fruit_length,capsule,4,cm,minimum
Agave americana,fruit_length,capsule,6,cm,maximum
Aggreflorum benwellii,fruit_length,fruit,2.5,mm,minimum
Aggreflorum benwellii,fruit_length,fruit,3,mm,maximum
Akania bidwillii,fruit_length,capsule,20,mm,minimum
Akania bidwillii,fruit_length,capsule,30,mm,maximum
Albuca bracteata,fruit_length,capsule,10,mm,maximum
Alisma lanceolatum,fruit_length,nutlet,2,mm,minimum
Alisma lanceolatum,fruit_length,nutlet,2.5,mm,maximum
Alisma plantago-aquatica,fruit_length,nutlet,2,mm,minimum
Alisma plantago-aquatica,fruit_length,nutlet,2.5,mm,maximum
Allium ampeloprasum,fruit_length,capsule,4,mm,maximum
Allium neapolitanum,fruit_length,capsule,4,mm,minimum
Allium neapolitanum,fruit_length,capsule,5,mm,maximum
Allium triquetrum,fruit_length,capsule,6,mm,minimum
Allium triquetrum,fruit_length,capsule,7,mm,maximum
Allium vineale,fruit_length,capsule,3,mm,minimum
Allium vineale,fruit_length,capsule,4,mm,maximum
Alocasia brisbanensis,fruit_length,fruit,8,mm,minimum
Alocasia brisbanensis,fruit_length,fruit,15,mm,maximum
Aloe arborescens,fruit_length,capsule,10,mm,minimum
Aloe arborescens,fruit_length,capsule,14,mm,maximum
Aloe maculata,fruit_length,capsule,20,mm,minimum
Aloe maculata,fruit_length,capsule,35,mm,maximum
Alstonia constricta,fruit_length,follicle,6,cm,minimum
Alstonia constricta,fruit_length,follicle,24,cm,maximum
Alstroemeria psittacina,fruit_length,capsule,10,mm,minimum
Alstroemeria psittacina,fruit_length,capsule,15,mm,maximum
Alyxia squamulosa,fruit_length,drupe,2,cm,maximum
Amaryllis belladonna,fruit_length,capsule,10,mm,minimum
Amaryllis belladonna,fruit_length,capsule,20,mm,maximum
Ammi majus,fruit_length,fruit,1.5,mm,minimum
Ammi majus,fruit_length,fruit,2,mm,maximum
Ammi visnaga,fruit_length,fruit,2,mm,minimum
Ammi visnaga,fruit_length,fruit,2.5,mm,maximum
Anacampseros australiana,fruit_length,capsule,5,mm,minimum
Anacampseros australiana,fruit_length,capsule,12,mm,maximum
Anethum graveolens,fruit_length,fruit,3.5,mm,minimum
Anethum graveolens,fruit_length,fruit,6,mm,maximum
Aphanopetalum resinosum,fruit_length,nut,2,mm,minimum
Aphanopetalum resinosum,fruit_length,nut,3,mm,maximum
Apium graveolens,fruit_length,fruit,1.5,mm,minimum
Apium graveolens,fruit_length,fruit,2.5,mm,maximum
Apium prostratum,fruit_length,fruit,1.3,mm,minimum
Apium prostratum,fruit_length,fruit,2.5,mm,maximum
Apium prostratum subsp. howense,fruit_length,fruit,1.5,mm,maximum
Apium prostratum var. prostratum,fruit_length,fruit,1.3,mm,minimum
Apium prostratum var. prostratum,fruit_length,fruit,2.5,mm,maximum
Aponogeton distachyos,fruit_length,follicle,10,mm,maximum
Aponogeton queenslandicus,fruit_length,fruit,2.5,mm,minimum
Aponogeton queenslandicus,fruit_length,fruit,4.5,mm,maximum
Aptenia cordifolia,fruit_length,capsule,9,mm,minimum
Aptenia cordifolia,fruit_length,capsule,12,mm,maximum
Araucaria heterophylla,fruit_length,male_cone,4,cm,minimum
Araucaria heterophylla,fruit_length,male_cone,5,cm,maximum
Araucaria heterophylla,fruit_length,female_cone,7.5,cm,minimum
Araucaria heterophylla,fruit_length,female_cone,10,cm,maximum
Araujia sericifera,fruit_length,follicle,6,cm,minimum
Araujia sericifera,fruit_length,follicle,10,cm,maximum
Archontophoenix cunninghamiana,fruit_length,fruit,13,mm,minimum
Archontophoenix cunninghamiana,fruit_length,fruit,15,mm,maximum
Aristolochia elegans,fruit_length,capsule,5,cm,minimum
Aristolochia elegans,fruit_length,capsule,8,cm,maximum
Aristolochia laheyana,fruit_length,capsule,3,cm,minimum
Aristolochia laheyana,fruit_length,capsule,5,cm,maximum
Aristolochia meridionalis,fruit_length,fruit,1,cm,minimum
Aristolochia meridionalis,fruit_length,fruit,2,cm,maximum
Aristolochia meridionalis subsp. meridionalis,fruit_length,fruit,1,cm,minimum
Aristolochia meridionalis subsp. meridionalis,fruit_length,fruit,2,cm,maximum
Aristolochia praevenosa,fruit_length,capsule,2,cm,minimum
Aristolochia praevenosa,fruit_length,capsule,4,cm,maximum
Arthropodium fimbriatum,fruit_length,capsule,5,mm,minimum
Arthropodium fimbriatum,fruit_length,capsule,7,mm,maximum
Arthropodium sp. Albury (A.D.J.Piesse 9),fruit_length,capsule,4,mm,minimum
Arthropodium sp. Albury (A.D.J.Piesse 9),fruit_length,capsule,8,mm,maximum
Arthropodium strictum,fruit_length,capsule,4,mm,minimum
Arthropodium strictum,fruit_length,capsule,8,mm,maximum
Arum italicum,fruit_length,fruit,10,mm,maximum
Asclepias curassavica,fruit_length,follicle,6,cm,minimum
Asclepias curassavica,fruit_length,follicle,9,cm,maximum
Asparagus aethiopicus,fruit_length,berry,5,mm,minimum
Asparagus aethiopicus,fruit_length,berry,8,mm,maximum
Asparagus africanus,fruit_length,berry,5,mm,minimum
Asparagus africanus,fruit_length,berry,6,mm,maximum
Asparagus asparagoides,fruit_length,berry,5,mm,minimum
Asparagus asparagoides,fruit_length,berry,19,mm,maximum
Asparagus macowanii,fruit_length,berry,7,mm,minimum
Asparagus macowanii,fruit_length,berry,10,mm,maximum
Asparagus officinalis,fruit_length,berry,5,mm,minimum
Asparagus officinalis,fruit_length,berry,10,mm,maximum
Asphodelus fistulosus,fruit_length,capsule,4,mm,minimum
Asphodelus fistulosus,fruit_length,capsule,6,mm,maximum
Astrotricha sp. Wallagaraugh (R.O.Makinson 1228),fruit_length,schizocarp,3,mm,minimum
Astrotricha sp. Wallagaraugh (R.O.Makinson 1228),fruit_length,schizocarp,3.5,mm,maximum
Astrotricha umbrosa,fruit_length,schizocarp,3.3,mm,minimum
Astrotricha umbrosa,fruit_length,schizocarp,4,mm,maximum
Asystasia gangetica,fruit_length,fruit,2.5,cm,maximum
Bertya tasmanica variant Glabrous ovary,fruit_length,capsule,6.4,mm,minimum
Bertya tasmanica variant Glabrous ovary,fruit_length,capsule,8,mm,maximum
Berula erecta,fruit_length,fruit,1.5,mm,minimum
Berula erecta,fruit_length,fruit,2,mm,maximum
Brunoniella australis,fruit_length,capsule,10,mm,minimum
Brunoniella australis,fruit_length,capsule,16,mm,maximum
Brunoniella pumilio,fruit_length,capsule,12,mm,minimum
Brunoniella pumilio,fruit_length,capsule,17,mm,maximum
Brunoniella spiciflora,fruit_length,capsule,12,mm,minimum
Brunoniella spiciflora,fruit_length,capsule,13,mm,maximum
Buddleja dysophylla,fruit_length,capsule,2,mm,minimum
Buddleja dysophylla,fruit_length,capsule,3.5,mm,maximum
Bulbine alata,fruit_length,capsule,4,mm,minimum
Bulbine alata,fruit_length,capsule,9,mm,maximum
Bulbine bulbosa,fruit_length,capsule,3,mm,minimum
Bulbine bulbosa,fruit_length,capsule,6,mm,maximum
Bulbine glauca,fruit_length,capsule,3,mm,minimum
Bulbine glauca,fruit_length,capsule,6,mm,maximum
Bulbine semibarbata,fruit_length,capsule,2,mm,minimum
Bulbine semibarbata,fruit_length,capsule,5,mm,maximum
Bulbine vagans,fruit_length,capsule,4,mm,maximum
Bulbostylis humilis,fruit_length,nut,1,mm,minimum
Bulbostylis humilis,fruit_length,nut,1.4,mm,maximum
Bupleurum lancifolium,fruit_length,fruit,3,mm,minimum
Bupleurum lancifolium,fruit_length,fruit,5,mm,maximum
Calandrinia sp. Nerriga (I.R.H.Telford 8677),fruit_length,capsule,5,mm,maximum
Capparis canescens,fruit_length,fruit,2.5,cm,minimum
Capparis canescens,fruit_length,fruit,7.5,cm,maximum
Carex divisa,fruit_length,utricle,3.5,mm,minimum
Carex divisa,fruit_length,utricle,4,mm,maximum
Carissa spinarum,fruit_length,berry,12,mm,minimum
Carissa spinarum,fruit_length,berry,18,mm,maximum
Carpobrotus aequilaterus,fruit_length,fruit,15,mm,minimum
Carpobrotus aequilaterus,fruit_length,fruit,30,mm,maximum
Carpobrotus glaucescens,fruit_length,fruit,2,cm,minimum
Carpobrotus glaucescens,fruit_length,fruit,3,cm,maximum
Cascabela thevetia,fruit_length,drupe,15,mm,minimum
Cascabela thevetia,fruit_length,drupe,20,mm,maximum
Catharanthus roseus,fruit_length,follicle,25,mm,maximum
Celtis conferta subsp. amblyphylla,fruit_length,drupe,6,mm,minimum
Celtis conferta subsp. amblyphylla,fruit_length,drupe,7,mm,maximum
Centaurea benedicta,fruit_length,achene,8,mm,maximum
Centella cordifolia,fruit_length,fruit,2.5,mm,minimum
Centella cordifolia,fruit_length,fruit,3,mm,maximum
Chlorophytum comosum,fruit_length,capsule,4,mm,minimum
Chlorophytum comosum,fruit_length,capsule,10,mm,maximum
Cistus salviifolius,fruit_length,capsule,6,mm,maximum
Cleretum papulosum,fruit_length,capsule,3,mm,minimum
Cleretum papulosum,fruit_length,capsule,7,mm,maximum
Colocasia esculenta,fruit_length,berry,3,mm,minimum
Colocasia esculenta,fruit_length,berry,5,mm,maximum
Conium maculatum,fruit_length,fruit,2.5,mm,minimum
Conium maculatum,fruit_length,fruit,4,mm,maximum
Coriandrum sativum,fruit_length,fruit,3.2,mm,minimum
Coriandrum sativum,fruit_length,fruit,3.5,mm,maximum
Corokia carpodetoides,fruit_length,fruit,3,mm,maximum
Corokia whiteana,fruit_length,drupe,8,mm,minimum
Corokia whiteana,fruit_length,drupe,12,mm,maximum
Crithmum maritimum,fruit_length,fruit,5,mm,minimum
Crithmum maritimum,fruit_length,fruit,6,mm,maximum
Crithmum maritimum,fruit_length,carpophore,5,mm,maximum
Cyclospermum leptophyllum,fruit_length,fruit,1,mm,minimum
Cyclospermum leptophyllum,fruit_length,fruit,3,mm,maximum
Cynanchum carnosum,fruit_length,follicle,5,cm,minimum
Cynanchum carnosum,fruit_length,follicle,7,cm,maximum
Cynanchum elegans,fruit_length,follicle,6,cm,minimum
Cynanchum elegans,fruit_length,follicle,7,cm,maximum
Cynanchum floribundum,fruit_length,follicle,3,cm,minimum
Cynanchum floribundum,fruit_length,follicle,5,cm,maximum
Cynanchum viminale subsp. australe,fruit_length,follicle,5,cm,minimum
Cynanchum viminale subsp. australe,fruit_length,follicle,14,cm,maximum
Cynanchum viminale subsp. brunonianum,fruit_length,follicle,5,cm,minimum
Cynanchum viminale subsp. brunonianum,fruit_length,follicle,14,cm,maximum
Damasonium minus,fruit_length,follicle,5,mm,minimum
Damasonium minus,fruit_length,follicle,6,mm,maximum
Daucus carota,fruit_length,fruit,3,mm,minimum
Daucus carota,fruit_length,fruit,4,mm,maximum
Daucus glochidiatus,fruit_length,fruit,3,mm,minimum
Daucus glochidiatus,fruit_length,fruit,5,mm,maximum
Deeringia amaranthoides,fruit_length,berry,4,mm,minimum
Deeringia amaranthoides,fruit_length,berry,5,mm,maximum
Dichosciadium ranunculaceum,fruit_length,fruit,2.5,mm,minimum
Dichosciadium ranunculaceum,fruit_length,fruit,7,mm,maximum
Dichosciadium ranunculaceum var. ranunculaceum,fruit_length,fruit,2.5,mm,minimum
Dichosciadium ranunculaceum var. ranunculaceum,fruit_length,fruit,7,mm,maximum
Diplaspis nivis,fruit_length,mericarp,2.5,mm,minimum
Diplaspis nivis,fruit_length,mericarp,3,mm,maximum
Dipteracanthus australasicus,fruit_length,capsule,7,mm,minimum
Dipteracanthus australasicus,fruit_length,capsule,17,mm,maximum
Dipteracanthus australasicus subsp. australasicus,fruit_length,capsule,10,mm,minimum
Dipteracanthus australasicus subsp. australasicus,fruit_length,capsule,17,mm,maximum
Dipteracanthus australasicus subsp. corynothecus,fruit_length,capsule,7,mm,minimum
Dipteracanthus australasicus subsp. corynothecus,fruit_length,capsule,13,mm,maximum
Dracaena trifasciata,fruit_length,berry,7,mm,minimum
Dracaena trifasciata,fruit_length,berry,9,mm,maximum
Drosanthemum candens,fruit_length,fruit,2,mm,minimum
Drosanthemum candens,fruit_length,fruit,3,mm,maximum
Drymophila cyanocarpa,fruit_length,berry,5,mm,minimum
Drymophila cyanocarpa,fruit_length,berry,10,mm,maximum
Drymophila moorei,fruit_length,berry,10,mm,minimum
Drymophila moorei,fruit_length,berry,15,mm,maximum
Eryngium expansum,fruit_length,fruit,2,mm,minimum
Eryngium expansum,fruit_length,fruit,2.5,mm,maximum
Eryngium maritimum,fruit_length,fruit,4.5,mm,minimum
Eryngium maritimum,fruit_length,fruit,6,mm,maximum
Eryngium ovinum,fruit_length,fruit,2.5,mm,minimum
Eryngium ovinum,fruit_length,fruit,4,mm,maximum
Eryngium paludosum,fruit_length,fruit,2.5,mm,minimum
Eryngium paludosum,fruit_length,fruit,3,mm,maximum
Eryngium pandanifolium,fruit_length,fruit,2.5,mm,maximum
Eryngium vesiculosum,fruit_length,fruit,5,mm,minimum
Eryngium vesiculosum,fruit_length,fruit,6,mm,maximum
Euroschinus falcatus,fruit_length,drupe,6,mm,minimum
Euroschinus falcatus,fruit_length,drupe,8,mm,maximum
Euroschinus falcatus var. falcatus,fruit_length,drupe,6,mm,minimum
Euroschinus falcatus var. falcatus,fruit_length,drupe,8,mm,maximum
Euryops virgineus,fruit_length,achene,1,mm,maximum
Eustrephus latifolius,fruit_length,capsule,10,mm,minimum
Eustrephus latifolius,fruit_length,capsule,20,mm,maximum
Ficinia marginata,fruit_length,nut,0.8,mm,minimum
Ficinia marginata,fruit_length,nut,1.2,mm,maximum
Foeniculum vulgare,fruit_length,fruit,4,mm,minimum
Foeniculum vulgare,fruit_length,fruit,10.5,mm,maximum
Fraxinus chinensis,fruit_length,samara,2.5,cm,minimum
Fraxinus chinensis,fruit_length,samara,4,cm,maximum
Galenia pubescens,fruit_length,capsule,3,mm,maximum
Gingidia algens,fruit_length,fruit,5,mm,minimum
Gingidia algens,fruit_length,fruit,6,mm,maximum
Gingidia harveyana,fruit_length,fruit,6,mm,minimum
Gingidia harveyana,fruit_length,fruit,10,mm,maximum
Gingidia rupicola,fruit_length,mericarp,6.8,mm,minimum
Gingidia rupicola,fruit_length,mericarp,7.6,mm,maximum
Gomphocarpus fruticosus,fruit_length,follicle,4,cm,minimum
Gomphocarpus fruticosus,fruit_length,follicle,6,cm,maximum
Gomphocarpus physocarpus,fruit_length,follicle,5,cm,minimum
Gomphocarpus physocarpus,fruit_length,follicle,7.5,cm,maximum
Gunniopsis papillata,fruit_length,capsule,7,mm,maximum
Gunniopsis septifraga,fruit_length,capsule,4.5,mm,maximum
Gymnostachys anceps,fruit_length,fruit,10,mm,minimum
Gymnostachys anceps,fruit_length,fruit,15,mm,maximum
Harnieria hygrophiloides,fruit_length,capsule,8,mm,minimum
Harnieria hygrophiloides,fruit_length,capsule,10,mm,maximum
Hedyscepe canterburyana,fruit_length,fruit,5,cm,maximum
Helosciadium nodiflorum,fruit_length,fruit,1.5,mm,minimum
Helosciadium nodiflorum,fruit_length,fruit,2.5,mm,maximum
Hoffmannseggia glauca,fruit_length,fruit,1.5,cm,minimum
Hoffmannseggia glauca,fruit_length,fruit,4,cm,maximum
Houttuynia cordata,fruit_length,capsule,2,mm,minimum
Houttuynia cordata,fruit_length,capsule,3,mm,maximum
Howea belmoreana,fruit_length,drupe,3,cm,minimum
Howea belmoreana,fruit_length,drupe,4,cm,maximum
Howea forsteriana,fruit_length,drupe,3,cm,minimum
Howea forsteriana,fruit_length,drupe,5,cm,maximum
Hoya australis,fruit_length,follicle,10,cm,minimum
Hoya australis,fruit_length,follicle,15,cm,maximum
Hoya australis subsp. australis,fruit_length,follicle,10,cm,minimum
Hoya australis subsp. australis,fruit_length,follicle,15,cm,maximum
Hydrangea macrophylla,fruit_length,capsule,6.5,mm,minimum
Hydrangea macrophylla,fruit_length,capsule,8,mm,maximum
Hydrocleys nymphoides,fruit_length,capsule,15,mm,maximum
Hydrocotyle acutiloba,fruit_length,fruit,1.5,mm,maximum
Hydrocotyle algida,fruit_length,fruit,1,mm,minimum
Hydrocotyle algida,fruit_length,fruit,1.7,mm,maximum
Hydrocotyle bonariensis,fruit_length,fruit,1.5,mm,minimum
Hydrocotyle bonariensis,fruit_length,fruit,2,mm,maximum
Hydrocotyle callicarpa,fruit_length,fruit,0.5,mm,minimum
Hydrocotyle callicarpa,fruit_length,fruit,1,mm,maximum
Hydrocotyle foveolata,fruit_length,fruit,0.7,mm,maximum
Hydrocotyle geraniifolia,fruit_length,fruit,2,mm,minimum
Hydrocotyle geraniifolia,fruit_length,fruit,2.5,mm,maximum
Hydrocotyle hirta,fruit_length,fruit,1,mm,minimum
Hydrocotyle hirta,fruit_length,fruit,1.5,mm,maximum
Hydrocotyle laxiflora,fruit_length,fruit,1.5,mm,minimum
Hydrocotyle laxiflora,fruit_length,fruit,2,mm,maximum
Hydrocotyle pedicellosa,fruit_length,mericarp,1,mm,maximum
Hydrocotyle pterocarpa,fruit_length,fruit,3,mm,maximum
Hydrocotyle rivularis,fruit_length,mericarp,0.9,mm,minimum
Hydrocotyle rivularis,fruit_length,mericarp,1,mm,maximum
Hydrocotyle sibthorpioides,fruit_length,fruit,1,mm,maximum
Hydrocotyle trachycarpa,fruit_length,fruit,1,mm,maximum
Hydrocotyle tripartita,fruit_length,fruit,1,mm,maximum
Hydrocotyle verticillata,fruit_length,fruit,2,mm,maximum
Hygrophila angustifolia,fruit_length,capsule,10,mm,minimum
Hygrophila angustifolia,fruit_length,capsule,14,mm,maximum
Hygrophila costata,fruit_length,capsule,8,mm,minimum
Hygrophila costata,fruit_length,capsule,13,mm,maximum
Hygrophila polysperma,fruit_length,capsule,6,mm,minimum
Hygrophila polysperma,fruit_length,capsule,7,mm,maximum
Hymenocallis caribaea,fruit_length,capsule,10,mm,minimum
Hymenocallis caribaea,fruit_length,capsule,18,mm,maximum
Hypoestes aristata,fruit_length,capsule,8,mm,minimum
Hypoestes aristata,fruit_length,capsule,12,mm,maximum
Hypoestes floribunda,fruit_length,capsule,9,mm,minimum
Hypoestes floribunda,fruit_length,capsule,12,mm,maximum
Hypoestes phyllostachya,fruit_length,capsule,8,mm,minimum
Hypoestes phyllostachya,fruit_length,capsule,12,mm,maximum
Ilex aquifolium,fruit_length,drupe,7,mm,minimum
Ilex aquifolium,fruit_length,drupe,10,mm,maximum
Impatiens sodenii,fruit_length,fruit,2.5,cm,maximum
Ipheion uniflorum,fruit_length,capsule,7,mm,minimum
Ipheion uniflorum,fruit_length,capsule,10,mm,maximum
Isoglossa eranthemoides,fruit_length,capsule,9,mm,minimum
Isoglossa eranthemoides,fruit_length,capsule,12,mm,maximum
Justicia betonica,fruit_length,capsule,14,mm,maximum
Laxmannia compacta,fruit_length,capsule,2,mm,minimum
Laxmannia compacta,fruit_length,capsule,3,mm,maximum
Laxmannia gracilis,fruit_length,capsule,2,mm,minimum
Laxmannia gracilis,fruit_length,capsule,3,mm,maximum
Laxmannia orientalis,fruit_length,capsule,2,mm,minimum
Laxmannia orientalis,fruit_length,capsule,3,mm,maximum
Lepidosperma prospectum,fruit_length,nutlet,3.7,mm,minimum
Lepidosperma prospectum,fruit_length,nutlet,4.5,mm,maximum
Leucojum aestivum,fruit_length,capsule,6,mm,minimum
Leucojum aestivum,fruit_length,capsule,15,mm,maximum
Lilaeopsis polyantha,fruit_length,fruit,1.5,mm,minimum
Lilaeopsis polyantha,fruit_length,fruit,3.5,mm,maximum
Linospadix monostachyos,fruit_length,fruit,10,mm,minimum
Linospadix monostachyos,fruit_length,fruit,12,mm,maximum
Livistona australis,fruit_length,fruit,1,cm,minimum
Livistona australis,fruit_length,fruit,1.5,cm,maximum
Mandevilla laxa,fruit_length,follicle,25,cm,minimum
Mandevilla laxa,fruit_length,follicle,40,cm,maximum
Mangifera indica,fruit_length,drupe,10,cm,minimum
Mangifera indica,fruit_length,drupe,15,cm,maximum
Margyricarpus pinnatus,fruit_length,fruit,5,mm,minimum
Margyricarpus pinnatus,fruit_length,fruit,10,mm,maximum
Marsdenia flavescens,fruit_length,follicle,4,cm,minimum
Marsdenia flavescens,fruit_length,follicle,6,cm,maximum
Marsdenia hemiptera,fruit_length,follicle,10,cm,minimum
Marsdenia hemiptera,fruit_length,follicle,12,cm,maximum
Marsdenia liisae,fruit_length,follicle,10,cm,minimum
Marsdenia liisae,fruit_length,follicle,13,cm,maximum
Marsdenia lloydii,fruit_length,follicle,6,cm,maximum
Marsdenia pleiadenia,fruit_length,follicle,5,cm,minimum
Marsdenia pleiadenia,fruit_length,follicle,6,cm,maximum
Marsdenia rostrata,fruit_length,follicle,5,cm,minimum
Marsdenia rostrata,fruit_length,follicle,7,cm,maximum
Marsdenia suaveolens,fruit_length,follicle,5,cm,minimum
Marsdenia suaveolens,fruit_length,follicle,10,cm,maximum
Melodinus acutiflorus,fruit_length,berry,3,cm,minimum
Melodinus acutiflorus,fruit_length,berry,4,cm,maximum
Melodinus australis,fruit_length,berry,4,cm,minimum
Melodinus australis,fruit_length,berry,5,cm,maximum
Mesembryanthemum aitonis,fruit_length,fruit,5,mm,minimum
Mesembryanthemum aitonis,fruit_length,fruit,7,mm,maximum
Mesembryanthemum crystallinum,fruit_length,fruit,6,mm,minimum
Mesembryanthemum crystallinum,fruit_length,fruit,11,mm,maximum
Mesembryanthemum nodiflorum,fruit_length,fruit,4,mm,minimum
Mesembryanthemum nodiflorum,fruit_length,fruit,8,mm,maximum
Muscari armeniacum,fruit_length,capsule,7,mm,minimum
Muscari armeniacum,fruit_length,capsule,9,mm,maximum
Narcissus pseudonarcissus,fruit_length,capsule,10,mm,minimum
Narcissus pseudonarcissus,fruit_length,capsule,25,mm,maximum
Neisosperma poweri,fruit_length,drupe,2.5,cm,minimum
Neisosperma poweri,fruit_length,drupe,4,cm,maximum
Nothoscordum gracile,fruit_length,capsule,7,mm,minimum
Nothoscordum gracile,fruit_length,capsule,8,mm,maximum
Ochrosia elliptica,fruit_length,drupe,3,cm,minimum
Ochrosia elliptica,fruit_length,drupe,4,cm,maximum
Ochrosia moorei,fruit_length,drupe,4,cm,minimum
Ochrosia moorei,fruit_length,drupe,8,cm,maximum
Odontonema cuspidatum,fruit_length,capsule,16,mm,minimum
Odontonema cuspidatum,fruit_length,capsule,27,mm,maximum
Orbea variegata,fruit_length,follicle,6,cm,minimum
Orbea variegata,fruit_length,follicle,12,cm,maximum
Oreomyrrhis argentea,fruit_length,fruit,3,mm,minimum
Oreomyrrhis argentea,fruit_length,fruit,5,mm,maximum
Oreomyrrhis brevipes,fruit_length,fruit,5,mm,minimum
Oreomyrrhis brevipes,fruit_length,fruit,6,mm,maximum
Oreomyrrhis ciliata,fruit_length,fruit,2,mm,minimum
Oreomyrrhis ciliata,fruit_length,fruit,5,mm,maximum
Oreomyrrhis eriopoda,fruit_length,fruit,3,mm,minimum
Oreomyrrhis eriopoda,fruit_length,fruit,6,mm,maximum
Oreomyrrhis pulvinifica,fruit_length,fruit,2.5,mm,minimum
Oreomyrrhis pulvinifica,fruit_length,fruit,4,mm,maximum
Ornithogalum pyramidale,fruit_length,capsule,13,mm,maximum
Ornithogalum umbellatum,fruit_length,capsule,10,mm,maximum
Oschatzia cuneifolia,fruit_length,fruit,3.5,mm,minimum
Oschatzia cuneifolia,fruit_length,fruit,4,mm,maximum
Oxypetalum coeruleum,fruit_length,follicle,9,cm,minimum
Oxypetalum coeruleum,fruit_length,follicle,13,cm,maximum
Parsonsia brownii,fruit_length,capsule,5,cm,minimum
Parsonsia brownii,fruit_length,capsule,10,cm,maximum
Parsonsia dorrigoensis,fruit_length,capsule,5,cm,minimum
Parsonsia dorrigoensis,fruit_length,capsule,7,cm,maximum
Parsonsia eucalyptophylla,fruit_length,capsule,5,cm,minimum
Parsonsia eucalyptophylla,fruit_length,capsule,6,cm,maximum
Parsonsia fulva,fruit_length,capsule,15,cm,minimum
Parsonsia fulva,fruit_length,capsule,20,cm,maximum
Parsonsia howeana,fruit_length,follicle,10,cm,minimum
Parsonsia howeana,fruit_length,follicle,12,cm,maximum
Parsonsia induplicata,fruit_length,capsule,6,cm,minimum
Parsonsia induplicata,fruit_length,capsule,10,cm,maximum
Parsonsia lanceolata,fruit_length,capsule,6,cm,minimum
Parsonsia lanceolata,fruit_length,capsule,12,cm,maximum
Parsonsia largiflorens,fruit_length,capsule,9,cm,minimum
Parsonsia largiflorens,fruit_length,capsule,14,cm,maximum
Parsonsia lilacina,fruit_length,capsule,5,cm,minimum
Parsonsia lilacina,fruit_length,capsule,8,cm,maximum
Parsonsia longipetiolata,fruit_length,capsule,11,cm,minimum
Parsonsia longipetiolata,fruit_length,capsule,15,cm,maximum
Parsonsia purpurascens,fruit_length,capsule,7,cm,minimum
Parsonsia purpurascens,fruit_length,capsule,10,cm,maximum
Parsonsia rotata,fruit_length,capsule,15,cm,minimum
Parsonsia rotata,fruit_length,capsule,20,cm,maximum
Parsonsia straminea,fruit_length,capsule,10,cm,minimum
Parsonsia straminea,fruit_length,capsule,20,cm,maximum
Parsonsia tenuis,fruit_length,capsule,4,cm,minimum
Parsonsia tenuis,fruit_length,capsule,9,cm,maximum
Parsonsia velutina,fruit_length,capsule,7,cm,minimum
Parsonsia velutina,fruit_length,capsule,15,cm,maximum
Parsonsia ventricosa,fruit_length,capsule,9,cm,minimum
Parsonsia ventricosa,fruit_length,capsule,14,cm,maximum
Pastinaca sativa,fruit_length,fruit,5,mm,minimum
Pastinaca sativa,fruit_length,fruit,7,mm,maximum
Pastinaca sativa subsp. sativa,fruit_length,fruit,5,mm,minimum
Pastinaca sativa subsp. sativa,fruit_length,fruit,7,mm,maximum
Patersonia rosea,fruit_length,capsule,13,mm,minimum
Patersonia rosea,fruit_length,capsule,21,mm,maximum
Persicaria chinensis,fruit_length,achene,2.8,mm,minimum
Persicaria chinensis,fruit_length,achene,4,mm,maximum
Phlegmatospermum eremaeum,fruit_length,silicula,5,mm,minimum
Phlegmatospermum eremaeum,fruit_length,silicula,7,mm,maximum
Phoenix canariensis,fruit_length,fruit,1.5,cm,minimum
Phoenix canariensis,fruit_length,fruit,2.3,cm,maximum
Pistacia chinensis,fruit_length,drupe,5,mm,minimum
Pistacia chinensis,fruit_length,drupe,6,mm,maximum
Pistia stratiotes,fruit_length,berry,5,mm,minimum
Pistia stratiotes,fruit_length,berry,10,mm,maximum
Platanus x hispanica,fruit_length,achene,7,mm,minimum
Platanus x hispanica,fruit_length,achene,9,mm,maximum
